EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,OffTwoPtRebounds,FTOffRebounds,OffRebounds,LostBallTurnovers,PenaltyTurnovers,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedAtRim,PenaltyPointsExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,AtRimPctBlocked,OffFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,LongMidRangeAssists,OffThreePtRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Loose Ball Fouls,Offensive Fouls,3SecondViolations,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,PenaltyFG3M,Technical Free Throw Trips,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceTurnovers,SecondChanceFtPoints,2pt And 1 Free Throw Trips,ShortMidRangePctAssisted,SecondChanceCorner3FGA,PtsUnassisted3s,HeaveAttempts,SecondChanceCorner3Frequency,on,PenaltyAtRimFGM,PenaltyAtRimFGA,SelfOReb,SelfORebPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3Assists,LongMidRangePctBlocked,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,FTDefRebounds,BlockedShortMidRange,DefFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceAtRimPctAssisted,Clear Path Fouls,Defensive 3 Seconds Violations
1517,1610612758,Bobby Jackson,Bobby Jackson,1517,SAC,1033.0,17,11,34,33,4,11,3.0,67,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,6.0,1.0,2.0,6.0,2.0,7.0,10.0,31,1.0,1.0,2.0,2.0,6.0,6.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,4,1.0,0.5,0.5,1.0,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.38461538461538464,0.38461538461538464,0.5384615384615384,0.16666666666666666,1.0,36.8421052631579,1.0,0.09090909090909091,0.14285714285714285,0.1111111111111111,0.25,0.3333333333333333,1.0,0.07692307692307693,1.0,1.0,1.0,0.07692307692307693,0.3076923076923077,0.25,0.25,0.07692307692307693,0.46153846153846156,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.6153846153846154,0.3333333333333333,0.4751576923076923,0.50685,0.528,13.449999999999998,25.185714285714287,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1710,1610612758,Mike Bibby,Mike Bibby,1710,SAC,1808.0,30,-12,53,50,13,23,10.0,103,1.0,2.0,2.0,2.0,9.0,1.0,,,,,4.0,13.0,,1.0,11.0,61,,,2.0,6.0,,,,2.0,1.0,1.0,2.0,1.0,1.0,,5.0,,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1,1.0,,1.0,1.0,13,,0.25,0.25,,,,0.3076923076923077,0.2857142857142857,0.34375,0.07142857142857142,0.15384615384615385,0.5,27.27272727272727,1.0,0.034482758620689655,,0.02702702702702703,0.1,,1.0,0.14285714285714285,0.5,1.0,,0.14285714285714285,0.6428571428571429,0.2222222222222222,0.2222222222222222,0.07142857142857142,,,,,,,0.21428571428571427,,0.41291785714285706,0.3611,0.391,12.930769230769231,24.0,0.24528301886792453,1.0,3.0,1.0,3.0,2.0,1.0,4.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.4166666666666667,0.5,1.0,0.038461538461538464,0.03225806451612903,0.3333333333333333,0.5,1.0,0.5,0.06666666666666667,0.07142857142857142,0.18181818181818182,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1730,1610612758,Brian Skinner,Brian Skinner,1730,SAC,2778.0,46,-5,84,81,14,32,13.0,165,4.0,8.0,,,,,,,,,4.0,8.0,,,8.0,90,,,4.0,4.0,,,,3.0,1.0,1.0,2.0,1.0,,,5.0,1.0,4.0,5.0,11.0,,,5.0,1.0,5,4.0,,4.0,1.0,14,1.0,0.5,0.6666666666666666,,,,0.5,0.5,0.5,,0.375,,12.871287128712872,,0.10256410256410256,0.07142857142857142,0.09433962264150944,,,0.25,1.0,0.5,0.8,0.5,,,,,,,,,,,,1.0,,0.54245,0.5672666666666667,,0.9875,,0.16666666666666666,,,1.0,3.0,2.0,,,,,4.0,,6.0,,1.0,,,,4.0,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,0.375,,0.11764705882352941,0.13333333333333333,,,,,,,0.25,,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,0.18181818181818182,0.3333333333333333,0.05263157894736842,0.125,0.3333333333333333,0.13333333333333333,0.2,0.1111111111111111,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
722,1610612758,Corliss Williamson,Corliss Williamson,722,SAC,98.0,2,4,4,3,3,2,,7,,,,,,,,,,,,,,,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,1.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,2.0,,,,,,2.0,2.0,,,,,,2.0,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
978,1610612758,Peja Stojakovic,Peja Stojakovic,978,SAC,1943.0,32,-15,58,55,13,28,11.0,113,1.0,1.0,1.0,1.0,5.0,,,2.0,4.0,2.0,2.0,7.0,2.0,4.0,12.0,67,2.0,3.0,4.0,,6.0,4.0,2.0,,1.0,,1.0,,,,2.0,2.0,3.0,5.0,6.0,1.0,1.0,1.0,,2,1.0,,1.0,,13,1.0,1.0,1.0,1.0,0.5,0.5,0.2857142857142857,0.45454545454545453,0.45454545454545453,0.36363636363636365,,,16.666666666666668,1.0,0.0967741935483871,0.25,0.1282051282051282,0.09090909090909091,0.5,,0.09090909090909091,1.0,1.0,1.0,0.09090909090909091,0.45454545454545453,0.2,0.2,,0.36363636363636365,0.5,0.5,1.0,0.6666666666666666,,0.45454545454545453,0.5,0.48736363636363633,0.51535,0.52745,15.257142857142856,24.95,0.22413793103448276,,2.0,,1.0,3.0,,1.0,,3.0,1.0,,1.0,,,2.0,,,1.0,3.0,,,0.5,0.375,0.5,0.375,,,0.034482758620689655,0.029411764705882353,,,,1.0,,,0.25,0.25,,,,1.0,,,,,,,,1.0,,,,,0.0625,,,0.09090909090909091,0.1111111111111111,0.16666666666666666,,,1.0,1.0,3.0,1.0,1.0,2.0,0.5,0.3333333333333333,0.5,1.0,0.75,0.3333333333333333,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1903,1610612758,Kenny Thomas,Kenny Thomas,1903,SAC,1288.0,21,-19,37,37,4,8,7.0,74,1.0,4.0,1.0,,2.0,,,,,,2.0,7.0,,,4.0,49,,,,4.0,,,,,2.0,1.0,3.0,1.0,,,7.0,,1.0,1.0,4.0,1.0,,2.0,1.0,4,1.0,,1.0,,4,1.0,,,,,,0.2857142857142857,0.2857142857142857,0.2857142857142857,,,,19.565217391304348,0.5,0.047619047619047616,,0.038461538461538464,0.16666666666666666,,,0.5714285714285714,0.25,0.25,,0.14285714285714285,0.2857142857142857,,,,,,,,,,0.5714285714285714,,0.4807428571428572,0.49675,0.4303,6.985714285714286,,0.10810810810810811,1.0,,1.0,2.0,2.0,1.0,1.0,,2.0,3.0,,3.0,1.0,1.0,,,,1.0,2.0,0.5,1.0,0.5,1.0,0.5,1.0,,,0.13636363636363635,0.125,,1.0,1.0,,,,0.5,0.5,,1.0,,2.0,,,,,,1.0,,,1.0,,,0.14285714285714285,0.16666666666666666,,,,,,0.5,,,,,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2067,1610612758,Eddie House,Eddie House,2067,SAC,970.0,16,7,31,31,1,9,3.0,62,,,1.0,2.0,5.0,,,1.0,1.0,,2.0,6.0,1.0,1.0,9.0,29,,,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,,9.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1,,,,,1,,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,0.5,0.5625,0.14285714285714285,0.16666666666666666,1.0,25.714285714285715,1.0,0.1,,0.0625,,,,,,,,0.14285714285714285,0.7142857142857143,0.4,0.4,,0.14285714285714285,1.0,1.0,1.0,,,0.14285714285714285,1.0,0.3969285714285714,0.4,,16.916666666666668,26.4,0.03225806451612903,,2.0,1.0,2.0,4.0,,,,,,,,,,2.0,1.0,,,,0.5,,0.5,,0.6666666666666666,,,,,,,,,0.5,0.125,0.14285714285714285,0.4444444444444444,,,,,1.0,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,2.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2230,1610612758,Maurice Evans,Maurice Evans,2230,SAC,835.0,14,10,26,26,1,4,2.0,52,1.0,1.0,,,,,,,1.0,,1.0,1.0,,1.0,5.0,23,,,2.0,,,1.0,,,2.0,,2.0,,,1.0,4.0,1.0,,1.0,1.0,,,,1.0,2,,,,,1,,1.0,1.0,,,,1.0,0.5,0.625,0.5,,,13.793103448275863,,,0.16666666666666666,0.07142857142857142,,0.3333333333333333,,0.5,1.0,1.0,1.0,,,,,,0.5,,,,,,1.0,,0.636225,,,,25.0,0.038461538461538464,,3.0,,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,0.5,0.6666666666666666,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2443,1610612758,Darius Songaila,Darius Songaila,2443,SAC,1392.0,23,10,43,41,7,22,6.0,84,,1.0,4.0,1.0,1.0,,,,,,4.0,6.0,,,9.0,39,,,8.0,,,,,1.0,1.0,,1.0,,1.0,,2.0,1.0,2.0,3.0,4.0,,,1.0,1.0,2,,,,,7,1.0,1.0,1.0,,,,0.6666666666666666,0.6666666666666666,0.75,,0.16666666666666666,0.25,13.72549019607843,,0.11764705882352941,0.125,0.12,0.25,0.25,,0.16666666666666666,,,,0.6666666666666666,0.16666666666666666,1.0,1.0,,,,,,,,0.16666666666666666,,0.36800000000000005,,,8.883333333333333,,0.16279069767441862,3.0,1.0,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,0.08333333333333333,0.047619047619047616,,0.75,1.0,1.0,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,1.0,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1749,1610612758,Cuttino Mobley,Cuttino Mobley,1749,SAC,1745.0,29,-16,50,48,10,21,10.0,98,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,,6.0,8.0,1.0,5.0,15.0,59,1.0,1.0,4.0,8.0,,2.0,1.0,,,,,,,,,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,3,,,,,10,,0.3333333333333333,0.3333333333333333,,0.2,0.25,0.75,0.5769230769230769,0.5769230769230769,0.38461538461538464,,,22.22222222222222,1.0,,0.14285714285714285,0.02857142857142857,,,,0.07692307692307693,1.0,1.0,,0.23076923076923078,0.3076923076923077,0.75,0.75,0.15384615384615385,0.23076923076923078,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,0.46153846153846156,0.5,0.4575166666666666,0.6054,0.4545666666666666,11.2375,31.660000000000004,0.2,2.0,,,,,2.0,2.0,,4.0,,,1.0,,,,,,,4.0,,1.0,,0.6666666666666666,,0.6666666666666666,,,,0.03225806451612903,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,0.26666666666666666,,,,,1.0,,,,,,,,,,0.2,,,0.3333333333333333,,,,0.2,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,
