EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,FTA,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,OffThreePtRebounds,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,LongMidRangeFGM,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGM,DefThreePtRebounds,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Travels,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,DefShortMidRangeReboundPct,Corner3Assists,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Technical Free Throw Trips,LiveBallTurnoverPct,Arc3PctAssisted,TwoPtAssists,AtRimAssists,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PtsAssisted2s,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,ShortMidRangeAssists,LongMidRangeAssists,FTDefRebounds,SelfOReb,BadPassSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,AtRimPctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,FTOffRebounds,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,LongMidRangePctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,ThreePtShootingFoulsDrawn,DefensiveGoaltends,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked
1712,1610612764,Antawn Jamison,Antawn Jamison,1712,WAS,697.0,12,3.0,22,21,3,11,2.0,43,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,5.0,17,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.5,28.0,0.3333333333333333,0.5,0.5,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,0.5,0.44785,0.3821,12.066666666666668,24.066666666666666,0.13636363636363635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,1610612764,Larry Hughes,Larry Hughes,1716,WAS,506.0,8,5.0,15,15,1,11,2.0,30,1.0,2.0,2.0,,,,1.0,4.0,,,3.0,10,1.0,2.0,,,,,1.0,,1,,,,0.25,0.25,0.3,,27.77777777777778,0.5,0.5,1.0,0.5,,,,,,,0.372275,0.4672,11.5,,0.06666666666666667,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,0.5,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.09090909090909091,0.3333333333333333,0.2,0.3333333333333333,0.2,0.2,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,1610612764,Brendan Haywood,Brendan Haywood,2217,WAS,641.0,11,5.0,20,18,1,10,2.0,38,,,,,,,,,,,,13,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,0.07142857142857142,,0.0625,0.07692307692307693,,0.2,,,,,1.0,4.0,2.0,2.0,4.0,3.0,0.25,0.3333333333333333,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407,1610612764,Jared Jeffries,Jared Jeffries,2407,WAS,505.0,8,-7.0,16,18,11,10,3.0,34,,,1.0,,,1.0,1.0,1.0,1.0,1.0,8.0,21,,2.0,,1.0,,,,,11,,1.0,1.0,1.0,1.25,1.0,0.5,21.05263157894737,,,,0.5,,,,,0.5,0.5,0.440725,,17.9,24.7,0.6875,3.0,,1.0,,,,1.0,2.0,,2.0,,4.0,2.0,,,0.5,,,0.2,,0.3333333333333333,,,,0.5,0.5,0.6666666666666666,0.125,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,3.0,1.0,1.0,7.0,1.0,1.0,1.25,1.1666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.440725,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2581,1610612764,Steve Blake,Steve Blake,2581,WAS,980.0,16,3.0,32,31,12,20,3.0,63,,1.0,2.0,,,1.0,1.0,3.0,,1.0,2.0,26,,2.0,,1.0,1.0,1.0,3.0,,12,,,,0.3333333333333333,0.25,0.25,0.25,14.285714285714286,0.25,,,0.5,,,,,0.25,0.25,0.4002,,13.366666666666667,25.9,0.375,,,,,,,3.0,3.0,,3.0,,,,,,,,,0.17647058823529413,,0.15,,,0.4,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,2.0,2.0,2.0,6.0,1.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,1610612764,Juan Dixon,Juan Dixon,2413,WAS,614.0,10,4.0,21,19,5,12,,40,,,2.0,,,4.0,,2.0,2.0,4.0,7.0,15,,,6.0,4.0,,1.0,,,5,1.0,0.5,0.5,,0.5,0.5,0.6666666666666666,33.333333333333336,,,,0.3333333333333333,,,,,0.6666666666666666,0.6666666666666666,0.4207666666666667,,19.05,25.75,0.23809523809523808,1.0,,,,,,3.0,3.0,,3.0,,1.0,,,,,,,0.23076923076923078,,0.2,,,0.2,,,,,,,,,,,,,,,2.0,,2.0,,,,,2.0,,,,2.0,,,,,,,,,,,0.5,0.5,1.0,,0.5,0.3705,,1.0,1.0,,3.0,,,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,1610612764,Michael Ruffin,Michael Ruffin,1913,WAS,268.0,4,,10,9,5,3,1.0,19,,,,,,,,,,,,9,,,,,,,1.0,,5,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,2.0,2.0,,2.0,1.0,,,,,,,,0.5,,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,1610612764,Laron Profit,Laron Profit,1919,WAS,241.0,4,,8,8,8,7,,16,,1.0,,,,,,1.0,,,,7,,,,,,,,,8,,,,,,,,12.5,1.0,,,,,,,,,,0.3529,,9.1,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,0.5,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.3529,,,1.0,,2.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2240,1610612764,Gilbert Arenas,Gilbert Arenas,2240,WAS,42.0,1,,2,2,1,2,1.0,4,,,,,,,,,,,2.0,2,,,,,,,,,1,,,,,,1.0,,50.0,,,,,,,,,,,,,,,0.5,2.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,2.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,1610612764,Anthony Peeler,Anthony Peeler,324,WAS,224.0,4,1.0,8,8,7,8,1.0,16,,,1.0,,,,,1.0,,,,6,,,,,,1.0,,,7,,,,,,,,25.0,,,,1.0,,,,,,,0.3754,,20.8,,0.875,,,,,,,1.0,1.0,,1.0,,,,,,,,,0.5,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.3754,,,,,,,1.0,,0.5,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
