EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PtsAssisted2s,OffTwoPtRebounds,DeadBallTurnovers,Offensive Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,Corner3FGM,PenaltyCorner3FGM,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,BadPassTurnovers,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,PenaltyCorner3Accuracy,LongMidRangeAssists,PtsPutbacks,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,BlocksRecoveredPct,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,Loose Ball Fouls,SecondChanceFg3Pct,OffAtRimReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,on,FTOffRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,BlockedAtRim,OffFTReboundPct,SecondChanceCorner3FGA,ShortMidRangeAssists,SelfOReb,BlockedLongMidRange,Defensive 3 Seconds Violations,SelfORebPct,SecondChanceCorner3Frequency,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,HeaveAttempts,ShortMidRangePctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Arc3PctBlocked,3SecondViolations
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,1841.0,31,11.0,53,55,39.0,36,7.0,108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,13.0,23.0,63,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,12.0,17.0,4.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,16.0,2.0,7.0,17.0,39.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.8461538461538461,0.8333333333333334,0.8888888888888888,0.5,0.3333333333333333,1.0,23.728813559322035,1.0,1.0,0.13333333333333333,0.3333333333333333,0.14285714285714285,0.16666666666666666,0.05,0.25,0.3333333333333333,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,0.45285000000000003,0.44206666666666666,0.5384615384615384,0.7,0.21739130434782608,0.7391304347826086,8.966666666666667,24.433333333333334,0.7358490566037735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,1610612754,Scot Pollard,Scot Pollard,1513,IND,1700.0,28,3.0,52,53,39.0,34,6.0,105,2.0,,,1.0,3.0,,,,,,,2.0,5.0,,,1.0,5.0,59,,1.0,1.0,1.0,1.0,4.0,,,,2.0,,,,,,1.0,,3.0,,3.0,3.0,6.0,,,,,1.0,,1.0,3.0,2.0,,1.0,2.0,39.0,,,,,0.4,,0.25,0.4,,0.25,0.4166666666666667,0.25,0.25,,,,12.280701754385966,,,0.2,,0.14285714285714285,0.17647058823529413,0.13636363636363635,,0.14285714285714285,,0.4,,,,0.6,0.3333333333333333,0.3333333333333333,,,,,,,,,0.4,,0.41769999999999996,0.432575,0.16666666666666666,0.16666666666666666,0.2,0.4,10.52,,0.75,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.13333333333333333,0.5,0.125,0.25,0.3333333333333333,0.2,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,1610612754,Eddie Gill,Eddie Gill,2109,IND,2655.0,44,3.0,79,81,59.0,53,10.0,160,4.0,1.0,3.0,1.0,3.0,5.0,5.0,,1.0,,1.0,4.0,10.0,1.0,6.0,13.0,24.0,88,2.0,2.0,,4.0,4.0,9.0,1.0,6.0,11.0,22.0,8.0,3.0,1.0,,3.0,,1.0,3.0,,4.0,,4.0,1.0,1.0,3.0,1.0,3.0,1.0,,,15.0,,3.0,22.0,59.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4,1.0,0.4444444444444444,0.34375,1.0,0.36666666666666664,0.5217391304347826,1.0,0.5238095238095238,0.375,0.3,0.5,29.545454545454547,1.0,,0.125,0.2,,0.13793103448275862,,,0.1111111111111111,,0.25,0.1875,0.3333333333333333,0.5,0.1875,0.3333333333333333,0.3333333333333333,0.3125,0.0625,,,,0.3333333333333333,0.06666666666666667,,0.625,,0.48503125,0.49684,0.16666666666666666,0.25,0.16666666666666666,0.9166666666666666,8.790000000000001,23.650000000000002,0.7468354430379747,2.0,1.0,2.0,4.0,,,,,,,,,,,,0.2,0.5,1.0,,,0.5,0.26666666666666666,0.5,0.3315,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,14.0,2.0,1.0,5.0,0.16666666666666666,0.3333333333333333,0.2,0.3333333333333333,0.2,0.25,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2410,1610612754,Fred Jones,Fred Jones,2410,IND,2318.0,39,8.0,67,71,50.0,47,9.0,138,,,1.0,1.0,5.0,1.0,1.0,,1.0,,1.0,1.0,6.0,1.0,2.0,4.0,9.0,76,,,,,1.0,4.0,1.0,2.0,,5.0,2.0,3.0,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,,2.0,5.0,50.0,1.0,0.5,0.5,0.5,0.16666666666666666,,0.25,0.3125,,0.4166666666666667,0.45,,0.4166666666666667,0.25,,,17.333333333333332,1.0,,0.05263157894736842,,,0.043478260869565216,,,,,,0.125,,,0.625,0.2,0.2,0.125,0.125,,,,0.16666666666666666,0.16666666666666666,,0.25,,0.377125,0.38728333333333337,0.2,0.25,,0.5555555555555556,15.700000000000001,25.45,0.746268656716418,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,1.0,1.0,,2.0,1.0,3.0,,1.0,,7.0,2.0,,,,,,,1.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2592,1610612754,James Jones,James Jones,2592,IND,2474.0,41,,73,75,56.0,53,9.0,148,1.0,,,1.0,3.0,3.0,1.0,1.0,3.0,,2.0,1.0,4.0,3.0,6.0,2.0,13.0,82,1.0,1.0,,2.0,1.0,4.0,1.0,3.0,2.0,7.0,2.0,9.0,3.0,1.0,,1.0,1.0,4.0,1.0,6.0,1.0,7.0,1.0,1.0,,,,,4.0,7.0,3.0,,,7.0,56.0,1.0,0.5,0.3333333333333333,0.5,0.25,1.0,0.25,0.55,1.0,0.35714285714285715,0.5909090909090909,1.0,0.4375,0.6,,,13.580246913580247,,0.3333333333333333,0.17391304347826086,0.25,0.08333333333333333,0.18518518518518517,0.029411764705882353,0.16666666666666666,,,0.1,,,,0.3,0.3333333333333333,0.3333333333333333,0.3,0.3,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,0.2857142857142857,,0.7,0.3333333333333333,0.49444999999999995,0.46736428571428573,0.1,,0.15384615384615385,0.5384615384615384,14.125,24.783333333333335,0.7671232876712328,,,,1.0,,,,,,,,,,,0.4,0.2222222222222222,,,,,,0.14285714285714285,,,,2.0,1.0,,2.0,1.0,3.0,,1.0,2.0,7.0,,,1.0,,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,1610612754,Anthony Johnson,Anthony Johnson,1533,IND,105.0,2,2.0,3,3,,3,1.0,6,,,,,,,,,1.0,,,,,,1.0,,,3,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,25.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,0.4488,,,,,,,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,1610612754,Stephen Jackson,Stephen Jackson,1536,IND,472.0,8,2.0,16,14,12.0,6,2.0,30,3.0,,1.0,,,,,1.0,2.0,1.0,1.0,,4.0,1.0,2.0,4.0,7.0,14,,1.0,,3.0,,4.0,1.0,1.0,4.0,7.0,,,2.0,1.0,2.0,,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,1.0,4.0,,1.0,7.0,12.0,,0.5,1.0,0.5,,,,0.25,0.75,0.3,0.4375,0.75,0.5,0.3333333333333333,0.5,0.6666666666666666,44.44444444444444,,,,0.5,,0.125,0.125,,,,0.5,0.16666666666666666,,,,,,,0.3333333333333333,0.5,0.5,,,0.2,1.0,0.8333333333333334,0.5,0.5600916666666667,0.58382,0.14285714285714285,0.2,0.42857142857142855,1.0,2.275,25.65,0.75,,1.0,,3.0,,1.0,,,,,0.2,,,,,,,,,,0.5,0.6,,0.5884,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.3333333333333333,0.5,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,1145.0,19,9.0,35,36,31.0,27,6.0,71,2.0,,,1.0,1.0,,,,,,,3.0,3.0,,,3.0,9.0,31,,,,,3.0,3.0,,,3.0,9.0,,,,,,2.0,,4.0,,4.0,3.0,7.0,,,,,1.0,,1.0,2.0,4.0,,2.0,9.0,31.0,,,,,1.0,,1.0,1.0,,1.0,1.125,,1.125,,,,12.195121951219512,,,0.3333333333333333,,0.2857142857142857,0.26666666666666666,0.17647058823529413,0.5,0.4,,0.6666666666666666,,,,0.3333333333333333,1.0,1.0,,,,,,,,,0.6666666666666666,,0.5505,0.5505,0.6666666666666666,0.6666666666666666,,1.0,6.833333333333333,,0.8857142857142857,2.0,,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,0.1,,0.3333333333333333,0.2,,0.4,1.0,1.0,1.0,1.0,,0.6666666666666666,1.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,280.0,5,-12.0,9,8,4.0,2,,17,,,,,1.0,,,,,,,,1.0,,,,,12,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,11.11111111111111,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.3617,0.3617,,,,,15.1,,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,285.0,5,-11.0,8,9,5.0,4,,17,,,,,,,,,1.0,,1.0,,,,1.0,1.0,1.0,12,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,5.0,,,,,,,,,,,,,,1.0,,,12.5,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,0.54975,0.54975,,,,1.0,,25.3,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
