EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ThreePtAssists,Arc3Assists,SecondChanceTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,OffCorner3ReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,SecondChanceAtRimPctAssisted,LostBallSteals,3SecondViolations,DefAtRimReboundPct,PenaltyArc3FGM,PenaltyFG3M,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyFg3Pct,DefCorner3ReboundPct,BlocksRecoveredPct,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,ShortMidRangeAssists,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,on,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers
1713,1610612751,Vince Carter,Vince Carter,1713,NJN,3356.0,56,-21,107,104,49,55,21.0,211,4.0,13.0,3.0,5.0,1.0,4.0,4.0,8.0,4.0,7.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,12.0,28.0,1.0,6.0,11.0,38.0,120,4.0,8.0,2.0,1.0,9.0,5.0,11.0,4.0,6.0,16.0,8.0,16.0,3.0,6.0,4.0,1.0,3.0,6.0,6.0,2.0,4.0,12.0,3.0,3.0,3.0,3.0,1.0,7.0,6.0,13.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,6.0,3.0,3.0,6.0,2.0,13.0,1.0,4.0,2.0,16.0,49,1.0,0.3333333333333333,0.4444444444444444,1.0,0.16666666666666666,0.16666666666666666,0.42857142857142855,0.5,0.45454545454545453,0.39705882352941174,0.4,0.3333333333333333,0.475,0.4090909090909091,0.4444444444444444,0.17647058823529413,0.10714285714285714,0.23076923076923078,34.58646616541353,0.6666666666666666,0.08333333333333333,0.125,0.0625,0.42857142857142855,0.13043478260869565,0.1935483870967742,0.08450704225352113,0.047619047619047616,0.1111111111111111,0.05555555555555555,0.17647058823529413,0.2727272727272727,0.75,0.05555555555555555,0.38235294117647056,0.3076923076923077,0.4,0.23529411764705882,0.5,0.5,0.25,0.20588235294117646,0.5714285714285714,0.5714285714285714,0.75,0.058823529411764705,0.11764705882352941,0.25,0.25,1.0,0.5,0.6,0.1,0.1,0.26666666666666666,0.25,0.13333333333333333,0.13333333333333333,0.5588235294117647,0.25,0.4456794117647059,0.4551833333333334,0.4227666666666667,0.10526315789473684,0.125,0.23684210526315788,0.42105263157894735,7.503571428571428,25.549999999999997,0.45794392523364486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2210,1610612751,Richard Jefferson,Richard Jefferson,2210,NJN,3301.0,55,5,109,101,45,49,16.0,210,4.0,8.0,1.0,2.0,,1.0,,4.0,3.0,6.0,,,,,3.0,1.0,2.0,7.0,18.0,,3.0,9.0,23.0,107,1.0,5.0,1.0,,2.0,1.0,6.0,2.0,2.0,4.0,12.0,2.0,,,3.0,,3.0,1.0,2.0,,1.0,5.0,4.0,1.0,1.0,2.0,2.0,5.0,5.0,10.0,2.0,1.0,1.0,4.0,2.0,,2.0,4.0,2.0,4.0,8.0,,13.0,,6.0,1.0,4.0,45,1.0,0.8571428571428571,0.8571428571428571,,,,0.3888888888888889,0.2,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.125,0.42592592592592593,0.16666666666666666,0.2,0.14285714285714285,0.16666666666666666,0.125,23.846153846153847,1.0,0.16666666666666666,0.08,0.024390243902439025,0.125,0.18181818181818182,0.09090909090909091,0.07936507936507936,,0.125,,0.2,0.09090909090909091,0.25,0.2,0.38095238095238093,0.5,0.5714285714285714,0.19047619047619047,,,,0.2857142857142857,0.5,0.5,0.6666666666666666,,0.14285714285714285,,,,0.3333333333333333,0.5,,0.16666666666666666,0.125,,,0.25,0.5238095238095238,,0.4627214285714287,0.53755,0.39044375000000003,0.23076923076923078,0.2608695652173913,0.08695652173913043,0.17391304347826086,8.433333333333334,24.400000000000002,0.41284403669724773,1.0,1.0,2.0,1.0,1.0,0.5,0.14285714285714285,0.14285714285714285,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2215,1610612751,Jason Collins,Jason Collins,2215,NJN,1436.0,24,2,49,47,17,17,9.0,96,,3.0,,3.0,,1.0,,,,2.0,,,,,,,,,5.0,,,,,45,,3.0,,,,,1.0,,,,,,,,,,2.0,,,,,,,3.0,,3.0,,3.0,3.0,6.0,,1.0,,,,3.0,,3.0,,1.0,4.0,2.0,,,,,,17,,,,,,,,,,,,,,,,,0.4,0.6666666666666666,13.333333333333334,,,0.16666666666666666,0.125,,,0.15,0.10714285714285714,0.09090909090909091,0.25,0.1111111111111111,,,,,0.6,,,,,,,0.4,,,,,,,,,1.0,,,,1.0,,,,0.6,,0.47540000000000004,0.5367333333333334,0.5545,,,,,7.38,,0.3469387755102041,,,,1.0,,,,0.2,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
361,1610612751,Clifford Robinson,Clifford Robinson,361,NJN,4288.0,71,-17,139,136,62,71,23.0,275,1.0,1.0,,,1.0,1.0,2.0,4.0,4.0,8.0,3.0,1.0,2.0,4.0,11.0,1.0,3.0,7.0,13.0,4.0,14.0,2.0,28.0,152,,,2.0,,,3.0,6.0,5.0,2.0,11.0,12.0,2.0,12.0,,11.0,4.0,,2.0,5.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,6.0,8.0,2.0,10.0,,3.0,3.0,,,,,,,9.0,20.0,,2.0,,,1.0,11.0,62,4.0,0.8571428571428571,0.8571428571428571,1.0,0.2857142857142857,0.2857142857142857,0.5384615384615384,,0.5,0.48148148148148145,,0.4090909090909091,0.5,,0.4583333333333333,0.5185185185185185,,,16.666666666666668,,0.4,0.03125,0.018867924528301886,0.09090909090909091,0.034482758620689655,0.046511627906976744,0.024390243902439025,,,0.05263157894736842,,,,,0.037037037037037035,1.0,1.0,0.14814814814814814,0.5,0.5,0.5,0.2962962962962963,0.5,0.5,1.0,0.1111111111111111,0.4074074074074074,0.36363636363636365,0.36363636363636365,1.0,,,0.5,0.5,0.09090909090909091,1.0,0.18181818181818182,0.2727272727272727,0.5555555555555556,0.36363636363636365,0.46465925925925916,0.34155,0.46677272727272734,,,,0.39285714285714285,14.407692307692306,24.364285714285717,0.4460431654676259,3.0,3.0,,,,,0.125,0.1111111111111111,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,1.0,0.3333333333333333,,,,,,,,,,,True,,,,,,,,,,,,,,
467,1610612751,Jason Kidd,Jason Kidd,467,NJN,3587.0,60,-14,118,118,51,61,20.0,236,4.0,5.0,,,2.0,2.0,1.0,1.0,1.0,6.0,,,,2.0,9.0,1.0,5.0,6.0,12.0,2.0,9.0,1.0,19.0,124,1.0,2.0,1.0,,5.0,4.0,5.0,5.0,1.0,9.0,2.0,10.0,6.0,,9.0,2.0,,10.0,12.0,3.0,5.0,26.0,1.0,2.0,1.0,6.0,4.0,11.0,3.0,14.0,,2.0,,2.0,2.0,,,2.0,1.0,4.0,9.0,,1.0,,1.0,,9.0,51,3.0,0.16666666666666666,0.16666666666666666,1.0,0.2222222222222222,0.2222222222222222,0.5,0.5,0.8,0.42857142857142855,0.8333333333333334,0.4,0.4523809523809524,0.8333333333333334,0.45,0.42857142857142855,,,16.083916083916083,1.0,0.3076923076923077,0.23076923076923078,0.045454545454545456,0.1,0.037037037037037035,0.19444444444444445,0.04225352112676056,0.05555555555555555,,0.05555555555555555,0.05,0.3076923076923077,,,0.23809523809523808,0.8,0.8,0.047619047619047616,1.0,1.0,,0.2857142857142857,0.16666666666666666,0.16666666666666666,1.0,,0.42857142857142855,0.2222222222222222,0.25,1.0,,,,0.3333333333333333,0.2,1.0,,0.5,0.6666666666666666,0.2222222222222222,0.49883571428571427,0.3874,0.50232,0.047619047619047616,0.08333333333333333,0.2631578947368421,0.47368421052631576,10.275,24.466666666666665,0.4322033898305085,2.0,2.0,,,1.0,,,0.125,,,2.0,,0.2,,,,,,,,0.25,,,1.0,1.0,1.0,2.0,1.0,0.1111111111111111,0.1111111111111111,1.0,1.0,,True,,,,,,,,,,,,,,
696,1610612751,Travis Best,Travis Best,696,NJN,2515.0,42,-16,82,82,36,53,11.0,164,2.0,6.0,,,,1.0,,1.0,,,3.0,1.0,2.0,1.0,2.0,,1.0,2.0,7.0,1.0,5.0,6.0,13.0,101,,,1.0,,,,2.0,3.0,1.0,1.0,4.0,,3.0,,2.0,1.0,2.0,2.0,4.0,1.0,1.0,10.0,1.0,,,1.0,1.0,2.0,1.0,3.0,,1.0,,1.0,,,1.0,1.0,,1.0,5.0,,6.0,1.0,3.0,,1.0,36,2.0,1.0,1.0,1.0,0.2,0.2,0.2857142857142857,,,0.2916666666666667,,,0.42857142857142855,,,0.4166666666666667,0.2857142857142857,0.3333333333333333,15.789473684210527,1.0,0.09090909090909091,0.0625,,,0.05,0.045454545454545456,0.025,,,,0.07692307692307693,0.125,,,0.5,0.3333333333333333,0.5,0.08333333333333333,,,,,,,,0.25,0.16666666666666666,0.5,0.5,1.0,,,1.0,,0.2,,0.4,0.2,0.9166666666666666,0.5,0.5412333333333333,,0.54223,0.21428571428571427,0.3333333333333333,,0.07692307692307693,1.8,23.18,0.43902439024390244,2.0,2.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2243,1610612751,Brian Scalabrine,Brian Scalabrine,2243,NJN,1016.0,17,-10,31,33,20,20,6.0,64,,2.0,,,,2.0,,,,,,,,,,,,,2.0,,,2.0,2.0,45,,,,,,,2.0,,2.0,2.0,,,,,,,,1.0,1.0,1.0,,2.0,1.0,,1.0,,,1.0,1.0,2.0,,1.0,,,,,,,,,,,2.0,,,1.0,2.0,20,,,,,,,,,,,,,0.3333333333333333,,0.3333333333333333,,,,7.692307692307692,,,,,0.25,0.16666666666666666,0.09090909090909091,0.05,,,,0.25,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,0.5052,,0.5052,,,,1.0,1.8,,0.6451612903225806,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2420,1610612751,Nenad Krstic,Nenad Krstic,2420,NJN,1817.0,30,-6,56,55,26,25,9.0,111,1.0,2.0,,1.0,,1.0,,1.0,2.0,4.0,,,,,,,,3.0,7.0,,,6.0,12.0,58,,1.0,,,,1.0,5.0,,6.0,8.0,6.0,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,2.0,,1.0,,,,1.0,,1.0,1.0,2.0,5.0,,6.0,,,3.0,8.0,26,1.0,1.0,1.0,,,,0.42857142857142855,,0.2,0.42857142857142855,,0.2,0.6,,0.5,,,,16.176470588235293,,,0.08333333333333333,,,0.07142857142857142,0.05263157894736842,0.02857142857142857,,,,0.09090909090909091,,,,0.2857142857142857,0.5,0.5,0.14285714285714285,,,,0.5714285714285714,0.5,0.5,1.0,,,,,,1.0,,,,0.2,,,,0.2857142857142857,,0.4371571428571429,,0.41734,,,,0.6666666666666666,11.557142857142859,,0.4642857142857143,,,,,,,,,1.0,,1.0,,0.25,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,
1934,1610612751,Rodney Buford,Rodney Buford,1934,NJN,31.0,1,-2,1,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2074,1610612751,Jabari Smith,Jabari Smith,2074,NJN,31.0,1,-2,1,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
