EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Rebounds,SelfOReb,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3A,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChancePointsPct,Avg3ptShotDistance,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,Corner3Assists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceCorner3FGA,BlockedLongMidRange,SecondChanceCorner3Frequency,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,SecondChanceFg3Pct,Corner3PctBlocked,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,on,StepOutOfBoundsTurnovers,OffensiveGoaltends,3SecondViolations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
1032,1610612765,Darvin Ham,Darvin Ham,1032,DET,788.0,13,-12.0,27,29,19,24,3,56,1.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0,31,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1,2.0,1.0,2.0,19,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,12.903225806451614,0.25,0.23076923076923078,0.6666666666666666,0.125,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.4872666666666667,0.2937,0.4467,0.25,0.25,0.5,1.2,0.7037037037037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1112,1610612765,Ben Wallace,Ben Wallace,1112,DET,15278.0,255,-14.0,438,459,154,176,75,897,18.0,37.0,8.0,14.0,22.0,53.0,14.0,58.0,455,8.0,21.0,12.0,28.0,32.0,6.0,20.0,24.0,75.0,3.0,5.0,16,32.0,7.0,28.0,154,0.7272727272727273,0.8421052631578947,0.41509433962264153,0.39285714285714285,0.4027777777777778,0.4117647058823529,0.11320754716981132,0.16216216216216217,15.355086372360844,0.1092896174863388,0.10526315789473684,0.13559322033898305,0.09210526315789473,0.11538461538461539,0.6607142857142857,0.4864864864864865,0.5806451612903226,0.7777777777777778,1.0,0.6086956521739131,0.7142857142857143,0.5099722222222222,0.5580375000000001,0.5139363636363636,0.1111111111111111,0.11666666666666667,0.4827586206896552,4.01320754716981,0.3515981735159817,4.0,7.0,1.0,8.0,3.0,8.0,3.0,2.0,3.0,4.0,4.0,12.0,8.0,2.0,12.0,6.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,4.0,10.0,35.0,6.0,51.0,12.0,7.0,5.0,2.0,1.0,6.0,2.0,1.0,2.0,8.0,3.0,5.0,1.0,2.0,9.0,16.0,11.0,5.0,16.0,8.0,1.0,5.0,0.5,0.38095238095238093,0.5,0.34782608695652173,0.46153846153846156,0.05357142857142857,0.25,0.4,0.2348993288590604,0.14705882352941177,0.08888888888888889,0.2073732718894009,0.10416666666666667,0.07142857142857142,0.11764705882352941,0.15517241379310345,0.2727272727272727,0.29310344827586204,0.21428571428571427,0.038461538461538464,0.5,0.14285714285714285,0.125,0.125,0.14285714285714285,0.375,0.375,0.6666666666666666,0.05357142857142857,0.5,0.25,0.5,0.08695652173913043,0.20689655172413793,41.166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,12533.0,209,14.0,369,373,130,145,52,742,5.0,13.0,,6.0,20.0,40.0,28.0,107.0,371,4.0,13.0,17.0,38.0,14.0,6.0,5.0,5.0,20.0,2.0,12.0,16,33.0,11.0,38.0,130,0.35,0.3684210526315789,0.5,0.5486111111111112,0.6046511627906976,0.5967741935483871,0.15,0.38461538461538464,23.076923076923077,0.03571428571428571,0.027624309392265192,0.0392156862745098,0.018867924528301886,0.06451612903225806,0.18055555555555555,0.38461538461538464,0.625,0.4,,0.2608695652173913,0.625,0.48815915492957757,0.4474,0.4993782608695652,0.13414634146341464,0.22,0.35514018691588783,10.557500000000001,0.3523035230352303,,1.0,3.0,7.0,12.0,20.0,25.0,8.0,32.0,1.0,8.0,10.0,3.0,10.0,26.0,2.0,1.0,24.0,26.0,5.0,31.0,4.0,10.0,2.0,67.0,,7.0,8.0,,15.0,7.0,4.0,3.0,9.0,7.0,4.0,,2.0,,13.0,,3.0,,2.0,4.0,,,,,,,2.0,0.25,0.23076923076923078,0.16666666666666666,0.45652173913043476,0.5,0.4444444444444444,0.6923076923076923,,0.064,0.125,,0.08287292817679558,0.05555555555555555,,,0.06,0.037037037037037035,0.08333333333333333,0.13513513513513514,0.10526315789473684,,0.09722222222222222,0.42857142857142855,0.5,0.2777777777777778,0.6,0.6,0.3333333333333333,0.3472222222222222,,,0.16666666666666666,0.34782608695652173,0.09345794392523364,25.71875,2.0,7.0,1.0,2.0,11.0,2.0,4.0,13.0,2.0,5.0,30.0,9.0,11.0,1.0,1.0,14.0,2.0,1.0,4.0,0.7692307692307693,0.40625,0.5,0.41935483870967744,0.03125,0.14285714285714285,0.04,0.3333333333333333,0.09722222222222222,0.2857142857142857,0.2857142857142857,0.5,0.44,0.4583333333333333,0.8181818181818182,0.3333333333333333,0.08695652173913043,0.5,0.5,0.4583333333333333,,,,,,,,,,,,,,,,,,,True,,,,,
283,1610612765,Lindsey Hunter,Lindsey Hunter,283,DET,22335.0,372,2.0,649,671,232,253,100,1320,15.0,33.0,6.0,12.0,28.0,77.0,16.0,96.0,657,11.0,27.0,8.0,40.0,26.0,7.0,8.0,10.0,40.0,4.0,9.0,45,22.0,9.0,40.0,232,0.4642857142857143,0.4642857142857143,0.36363636363636365,0.35398230088495575,0.3902439024390244,0.4444444444444444,0.09090909090909091,0.15151515151515152,18.062827225130892,0.0311284046692607,0.03067484662576687,,0.036036036036036036,0.0625,0.2920353982300885,0.45454545454545453,0.5357142857142857,0.5333333333333333,0.42857142857142855,0.3,0.6106194690265486,0.4743544642857144,0.4877636363636364,0.45549358974358983,0.075,0.10714285714285714,0.4166666666666667,9.100000000000001,0.3574730354391371,,6.0,3.0,15.0,10.0,29.0,26.0,7.0,36.0,2.0,3.0,7.0,10.0,13.0,30.0,,,26.0,35.0,4.0,39.0,4.0,9.0,12.0,82.0,2.0,10.0,19.0,1.0,30.0,22.0,11.0,11.0,5.0,2.0,10.0,3.0,3.0,,15.0,4.0,7.0,1.0,4.0,3.0,7.0,4.0,,7.0,2.0,,9.0,0.18181818181818182,0.37037037037037035,0.14285714285714285,0.4,0.21875,0.3185840707964602,0.3333333333333333,0.037037037037037035,0.0892018779342723,0.09615384615384616,0.028985507246376812,0.0914826498422713,0.0625,0.04878048780487805,,0.08974358974358974,0.04081632653061224,0.11627906976744186,0.078125,0.125,0.2857142857142857,0.13274336283185842,0.2,0.23076923076923078,0.25663716814159293,0.3448275862068966,0.3448275862068966,0.4,0.23008849557522124,,,0.5,0.175,0.07291666666666667,25.708333333333336,2.0,10.0,2.0,6.0,6.0,2.0,2.0,8.0,3.0,4.0,24.0,,6.0,,,14.0,3.0,2.0,,1.0,0.2222222222222222,0.3076923076923077,0.2222222222222222,,0.13333333333333333,,0.3333333333333333,0.08849557522123894,0.2,0.2,1.0,0.23076923076923078,0.23076923076923078,1.0,0.14285714285714285,0.15,0.3333333333333333,0.2857142857142857,0.23076923076923078,1.0,3.0,0.07142857142857142,,,,,,,,,,,,,,,,True,,,,,
686,1610612765,Antonio McDyess,Antonio McDyess,686,DET,14921.0,249,19.0,419,438,129,133,66,857,16.0,20.0,5.0,6.0,46.0,87.0,10.0,102.0,418,13.0,18.0,4.0,20.0,68.0,3.0,16.0,20.0,69.0,1.0,12.0,32,16.0,8.0,20.0,129,0.7391304347826086,0.7906976744186046,0.5287356321839081,0.5287356321839081,0.5425531914893617,0.47619047619047616,0.034482758620689655,0.05,20.52313883299799,0.0893854748603352,0.09302325581395349,0.06,0.07228915662650602,0.02631578947368421,0.22988505747126436,0.8,0.8421052631578947,0.6875,0.38461538461538464,0.3333333333333333,0.22988505747126436,0.4292586206896552,0.4284230769230769,0.4324666666666667,0.08602150537634409,0.08602150537634409,0.19607843137254902,11.363218390804597,0.30787589498806683,3.0,4.0,12.0,22.0,18.0,45.0,,,,6.0,3.0,15.0,8.0,,24.0,6.0,,,9.0,4.0,13.0,4.0,4.0,2.0,30.0,4.0,12.0,30.0,7.0,49.0,9.0,7.0,2.0,4.0,3.0,4.0,,1.0,1.0,8.0,1.0,,4.0,2.0,1.0,9.0,5.0,3.0,9.0,6.0,3.0,2.0,0.46153846153846156,0.4444444444444444,0.46153846153846156,0.4444444444444444,0.5,,0.5,0.3888888888888889,0.2054794520547945,0.16901408450704225,0.1111111111111111,0.1935483870967742,0.15217391304347827,0.15789473684210525,0.058823529411764705,0.19298245614035087,0.2777777777777778,0.16981132075471697,0.24324324324324326,0.08823529411764706,0.6666666666666666,0.25287356321839083,0.5454545454545454,0.5714285714285714,0.5172413793103449,0.4,0.4090909090909091,0.8333333333333334,,0.6,,0.6666666666666666,,0.14705882352941177,,,,,,,,,,,,,,,,,3.0,1.0,2.0,,,,,,,0.045454545454545456,,0.6666666666666666,,,,,,,,,,,,,,1.0,,1.0,0.022222222222222223,,,,,,,,,,,,,,True,,,,,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,15802.0,263,13.0,459,475,155,154,68,934,15.0,29.0,3.0,10.0,48.0,104.0,28.0,127.0,461,14.0,33.0,17.0,39.0,54.0,8.0,5.0,8.0,32.0,,2.0,18,38.0,17.0,39.0,155,0.5625,0.5869565217391305,0.46153846153846156,0.4267241379310345,0.4844961240310077,0.40425531914893614,0.07692307692307693,0.1724137931034483,27.37430167597765,0.0273224043715847,0.034934497816593885,0.03571428571428571,0.02531645569620253,,0.25,0.5172413793103449,0.625,0.5333333333333333,0.21428571428571427,0.2564102564102564,0.35344827586206895,0.45357826086956515,0.434225,0.4356921052631579,0.13821138211382114,0.15315315315315314,0.30708661417322836,10.223076923076924,0.33769063180827885,3.0,4.0,18.0,35.0,15.0,40.0,6.0,5.0,12.0,9.0,6.0,24.0,11.0,6.0,42.0,4.0,1.0,5.0,19.0,6.0,25.0,4.0,13.0,2.0,56.0,3.0,8.0,14.0,2.0,24.0,7.0,3.0,4.0,10.0,8.0,8.0,,2.0,,18.0,,8.0,,4.0,6.0,2.0,1.0,,2.0,,,5.0,0.6428571428571429,0.3333333333333333,0.6428571428571429,0.28205128205128205,0.71875,0.10344827586206896,0.5555555555555556,0.13333333333333333,0.09655172413793103,0.1111111111111111,0.06521739130434782,0.10138248847926268,0.020833333333333332,0.07407407407407407,0.05263157894736842,0.07407407407407407,0.07894736842105263,0.1320754716981132,0.046511627906976744,0.20689655172413793,,0.3017241379310345,0.5142857142857142,0.5454545454545454,0.3448275862068966,0.375,0.38461538461538464,0.6666666666666666,0.05172413793103448,1.0,0.3333333333333333,0.4,0.1282051282051282,0.1889763779527559,26.058333333333334,1.0,6.0,,1.0,,,,1.0,,,3.0,,,,2.0,4.0,3.0,10.0,2.0,1.0,0.08333333333333333,,0.09090909090909091,,0.05714285714285714,,0.5,0.05172413793103448,0.16666666666666666,0.16666666666666666,1.0,,,,,0.02564102564102564,,,,,1.0,,,0.025,,,,,,,,,,,,,,True,,,,,
2306,1610612765,Carlos Arroyo,Carlos Arroyo,2306,DET,3217.0,54,-16.0,104,99,52,55,15,203,2.0,4.0,,3.0,9.0,18.0,4.0,22.0,111,2.0,12.0,4.0,16.0,4.0,1.0,,,5.0,,3.0,10,8.0,1.0,16.0,52,0.2222222222222222,0.2222222222222222,0.5,0.5,0.5,0.5333333333333333,0.05555555555555555,0.25,19.00826446280992,,,,,,0.2222222222222222,0.5,0.6666666666666666,,,0.25,0.2222222222222222,0.3885444444444444,0.29510000000000003,0.38681666666666664,0.05263157894736842,0.05263157894736842,0.7272727272727273,12.194444444444445,0.5,,2.0,,3.0,7.0,11.0,,,,1.0,,2.0,6.0,,14.0,,,,8.0,3.0,11.0,1.0,4.0,2.0,25.0,,2.0,3.0,,5.0,1.0,,1.0,,,1.0,,,1.0,1.0,,1.0,,,3.0,,,,,,,2.0,0.5,0.5,0.5,0.5,0.5,,,,0.12,0.1111111111111111,,0.11627906976744186,,,,0.16666666666666666,0.3333333333333333,,0.09090909090909091,0.14285714285714285,,0.16666666666666666,,,0.6111111111111112,0.6363636363636364,0.6363636363636364,0.2857142857142857,,,,0.6666666666666666,,0.09090909090909091,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
2419,1610612765,Tayshaun Prince,Tayshaun Prince,2419,DET,12862.0,214,2.0,362,389,128,146,62,751,11.0,20.0,6.0,4.0,20.0,45.0,15.0,70.0,373,8.0,9.0,9.0,20.0,18.0,4.0,9.0,13.0,41.0,1.0,7.0,10,17.0,6.0,20.0,128,0.45,0.5294117647058824,0.4444444444444444,0.4661016949152542,0.5223880597014925,0.5263157894736842,0.08888888888888889,0.15,18.055555555555554,0.06428571428571428,0.05405405405405406,0.08333333333333333,0.047619047619047616,0.037037037037037035,0.3389830508474576,0.55,0.6470588235294118,0.45454545454545453,0.6,0.2857142857142857,0.576271186440678,0.49075,0.5237666666666666,0.4675692307692308,0.09375,0.12,0.2857142857142857,8.73777777777778,0.35359116022099446,3.0,3.0,1.0,6.0,8.0,19.0,7.0,3.0,14.0,4.0,2.0,16.0,4.0,5.0,22.0,6.0,1.0,6.0,13.0,3.0,16.0,2.0,4.0,3.0,35.0,1.0,11.0,15.0,2.0,28.0,4.0,1.0,3.0,8.0,6.0,3.0,,2.0,,11.0,1.0,5.0,,,3.0,2.0,2.0,,2.0,1.0,,2.0,0.5,0.4444444444444444,0.7,0.39285714285714285,0.7272727272727273,0.23728813559322035,0.7272727272727273,0.1111111111111111,0.12396694214876033,0.18333333333333332,0.022222222222222223,0.143646408839779,0.06896551724137931,0.038461538461538464,,0.13333333333333333,0.041666666666666664,0.15384615384615385,0.21052631578947367,0.13636363636363635,0.5,0.1016949152542373,0.16666666666666666,0.2,0.3220338983050847,0.42105263157894735,0.42105263157894735,0.375,0.11864406779661017,0.5,,0.75,0.21428571428571427,0.22857142857142856,25.692857142857147,2.0,7.0,1.0,2.0,3.0,1.0,,5.0,2.0,1.0,9.0,6.0,3.0,1.0,1.0,6.0,3.0,1.0,,0.6,0.35714285714285715,0.2,0.38461538461538464,0.07142857142857142,0.16666666666666666,,1.0,0.11864406779661017,0.2857142857142857,0.3333333333333333,1.0,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.1,0.14285714285714285,0.5,,0.5,1.0,,0.1,,,1.0,1.0,2.0,3.0,1.0,0.14285714285714285,0.15789473684210525,1.0,1.0,1.0,1.0,,,True,,,,,
2648,1610612765,Ronald Dupree,Ronald Dupree,2648,DET,1550.0,26,-8.0,52,50,38,44,7,102,1.0,1.0,1.0,,1.0,5.0,,2.0,52,2.0,3.0,,,2.0,1.0,1.0,1.0,3.0,,1.0,1,,,,38,1.0,1.0,0.2,0.2,0.2,,0.2,,8.19672131147541,0.043478260869565216,0.038461538461538464,,0.09090909090909091,,0.2,1.0,1.0,1.0,0.5,,0.2,0.38465999999999995,0.46375,0.3631333333333333,,,,12.440000000000001,0.7307692307692307,1.0,,,1.0,,3.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,0.5,,,0.3333333333333333,0.07692307692307693,,,0.041666666666666664,,,,,,0.14285714285714285,,,,0.2,,,0.6,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
739,1610612765,Rasheed Wallace,Rasheed Wallace,739,DET,9722.0,162,23.0,279,286,70,64,41,565,3.0,9.0,2.0,3.0,16.0,32.0,9.0,62.0,268,3.0,6.0,2.0,14.0,22.0,3.0,4.0,5.0,31.0,1.0,9.0,24,14.0,6.0,14.0,70,0.6875,0.6875,0.5,0.5,0.5254237288135594,0.5833333333333334,0.09375,0.1111111111111111,19.81707317073171,0.043010752688172046,0.035211267605633804,0.05405405405405406,0.058823529411764705,0.038461538461538464,0.16981132075471697,0.3333333333333333,0.375,0.6666666666666666,0.4,0.2727272727272727,0.5660377358490566,0.44349038461538465,0.4496875,0.448195,0.10526315789473684,0.16666666666666666,0.22580645161290322,10.534374999999999,0.25089605734767023,,1.0,7.0,10.0,6.0,13.0,13.0,5.0,21.0,1.0,3.0,5.0,3.0,5.0,10.0,,1.0,12.0,8.0,2.0,10.0,1.0,5.0,1.0,22.0,1.0,6.0,18.0,2.0,26.0,6.0,3.0,3.0,3.0,3.0,4.0,1.0,,,7.0,1.0,3.0,2.0,3.0,2.0,6.0,3.0,2.0,7.0,6.0,,4.0,0.3333333333333333,0.5,0.2,0.5454545454545454,0.35714285714285715,0.39622641509433965,0.42857142857142855,0.16666666666666666,0.1875,0.13636363636363635,0.02040816326530612,0.17142857142857143,,,0.05555555555555555,0.12903225806451613,0.3,0.17777777777777778,0.20689655172413793,,0.8571428571428571,0.18867924528301888,0.7,0.7777777777777778,0.24528301886792453,0.46153846153846156,0.5,0.6666666666666666,0.24528301886792453,,,0.3333333333333333,0.45454545454545453,0.08064516129032258,26.461904761904766,1.0,8.0,,,6.0,1.0,2.0,7.0,2.0,2.0,21.0,,6.0,,1.0,2.0,,2.0,,1.0,0.3333333333333333,0.4,0.35,,0.1,,0.7142857142857143,0.1509433962264151,0.125,0.125,1.0,0.46153846153846156,0.46153846153846156,1.0,0.2,,,0.4,0.5,1.0,1.0,0.2,,0.07692307692307693,,,,,,,,,,,,1.0,1.0,True,,,,,
