EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,FG2M,FtPoints,SecondChanceFG2M,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Arc3Assists,AtRimAssists,OffThreePtRebounds,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG3A,FTOffRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,Travels,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedAtRim,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,AtRimPctAssisted,PenaltyArc3Frequency,SecondChanceTurnovers,DefensiveGoaltends,DefAtRimReboundPct,SecondChanceAtRimPctAssisted,PenaltyAtRimFGM,BlockedShortMidRange,PenaltyAtRimAccuracy,Technical Free Throw Trips,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PtsUnassisted3s,HeaveMakes,HeaveAttempts,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked
1761,1610612743,Greg Buckner,Greg Buckner,1761,DEN,3710.0,62,-32.0,119,124,32.0,36.0,11.0,243,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,6.0,6.0,127,1.0,1.0,2.0,3.0,6.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,1.0,3.0,6.0,9.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,32.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.375,0.5,0.375,0.5,0.75,0.5,1.0,7.518796992481203,0.5,0.13636363636363635,0.019230769230769232,0.17647058823529413,0.14754098360655737,0.016129032258064516,0.05555555555555555,0.05263157894736842,0.29411764705882354,0.15384615384615385,0.25,0.2,0.125,0.125,0.5,0.25,0.25,1.0,0.25,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,1.0,0.875,0.5,0.570175,0.5915250000000001,0.5,6.25,23.766666666666666,0.2689075630252101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1863,1610612743,Earl Boykins,Earl Boykins,1863,DEN,5147.0,86,-13.0,159,155,42.0,58.0,23.0,314,6.0,1.0,11.0,,1.0,,1.0,,2.0,31.0,,3.0,44.0,173,4.0,,1.0,4.0,,2.0,,,11.0,2.0,13.0,,3.0,3.0,28.0,1.0,,,,2.0,2.0,,4.0,2.0,2.0,3.0,2.0,2.0,1.0,5.0,,6.0,42.0,1.0,,,,,0.5,0.4,0.5641025641025641,0.4,0.08823529411764706,,,24.043715846994534,0.6,,0.014705882352941176,,,0.02531645569620253,,,,,,,0.17647058823529413,0.3235294117647059,0.029411764705882353,,,,0.058823529411764705,,,,0.2,0.2,,,0.2647058823529412,,0.43414558823529414,0.43642000000000003,0.09090909090909091,10.761290322580644,24.03333333333333,0.2641509433962264,3.0,1.0,1.0,8.0,6.0,14.0,17.0,10.0,2.0,5.0,10.0,6.0,16.0,6.0,28.0,2.0,2.0,5.0,1.0,1.0,2.0,1.0,10.0,3.0,2.0,1.0,1.0,1.0,1.0,16.0,0.17647058823529413,0.1875,0.5483870967741935,0.5,0.5,0.5,0.6153846153846154,0.09090909090909091,0.041666666666666664,0.25,1.0,0.5,0.5,0.7272727272727273,0.7272727272727273,0.125,0.4117647058823529,0.42857142857142855,0.42857142857142855,0.3333333333333333,1.0,0.1,0.38985000000000003,0.08108108108108109,0.08823529411764706,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1889,1610612743,Andre Miller,Andre Miller,1889,DEN,8408.0,140,-17.0,264,263,47.0,72.0,29.0,527,19.0,,15.0,,,,,,2.0,47.0,,2.0,57.0,283,6.0,,,2.0,,2.0,,4.0,20.0,1.0,21.0,1.0,2.0,6.0,43.0,3.0,5.0,6.0,13.0,5.0,18.0,1.0,8.0,6.0,2.0,4.0,3.0,6.0,,10.0,7.0,15.0,47.0,4.0,,,,,0.3877551020408163,,0.4596774193548387,0.14285714285714285,0.04081632653061224,0.0851063829787234,0.10526315789473684,24.242424242424242,0.4,0.06593406593406594,0.02654867256637168,0.17857142857142858,0.09243697478991597,0.03278688524590164,,0.08571428571428572,0.1,0.2,0.125,0.04,0.3877551020408163,0.30612244897959184,,,,,0.04081632653061224,,,,,,,,0.42857142857142855,,0.49457244897959185,0.3704,0.03508771929824561,8.002127659574468,24.450000000000003,0.17803030303030304,9.0,,1.0,5.0,5.0,13.0,19.0,19.0,,,3.0,5.0,5.0,6.0,32.0,,,12.0,1.0,1.0,,1.0,27.0,11.0,3.0,1.0,,1.0,,5.0,0.15789473684210525,0.15789473684210525,0.40425531914893614,,,,0.3125,0.1111111111111111,0.046511627906976744,,,0.47368421052631576,0.5294117647058824,0.3333333333333333,0.38461538461538464,0.2,0.2653061224489796,0.38461538461538464,0.38461538461538464,0.2,,0.2,0.48993000000000003,0.1864406779661017,0.19298245614035087,0.08771929824561403,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,0.13333333333333333,0.2222222222222222,0.07692307692307693,0.02702702702702703,0.2,0.1111111111111111,0.4,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
2030,1610612743,Kenyon Martin,Kenyon Martin,2030,DEN,9827.0,164,-23.0,310,307,69.0,92.0,35.0,617,23.0,4.0,21.0,,,,,,1.0,57.0,,1.0,62.0,331,4.0,,,5.0,,1.0,,5.0,6.0,,6.0,,2.0,4.0,12.0,5.0,6.0,14.0,21.0,7.0,28.0,1.0,5.0,2.0,3.0,2.0,1.0,5.0,,7.0,9.0,22.0,69.0,3.0,,,,,0.46551724137931033,0.5,0.49206349206349204,0.5,0.017241379310344827,0.08771929824561403,0.08695652173913043,20.057306590257877,0.2857142857142857,0.12962962962962962,0.03816793893129771,0.17647058823529413,0.14084507042253522,0.04081632653061224,,0.15217391304347827,0.0625,0.2,0.1111111111111111,0.038461538461538464,0.39655172413793105,0.3620689655172414,,,,,0.017241379310344827,,,,1.0,,,,0.41379310344827586,,0.46955775862068977,0.5936,0.08064516129032258,7.12280701754386,27.7,0.22258064516129034,15.0,2.0,3.0,8.0,4.0,13.0,27.0,8.0,2.0,3.0,10.0,2.0,8.0,40.0,14.0,2.0,,,1.0,1.0,2.0,3.0,13.0,7.0,1.0,5.0,,5.0,,8.0,0.7407407407407407,0.7692307692307693,0.47368421052631576,0.5,0.3,0.3,0.36363636363636365,0.0625,,0.16666666666666666,,0.6521739130434783,0.7142857142857143,0.38095238095238093,0.4444444444444444,0.875,0.22413793103448276,0.3076923076923077,0.3076923076923077,1.0,0.5,0.3,0.4655100000000001,0.11290322580645161,0.11475409836065574,0.12903225806451613,,1.0,,1.0,1.0,4.0,,1.0,3.0,5.0,,0.14285714285714285,0.1111111111111111,0.07142857142857142,0.10869565217391304,,0.6,,1.0,1.0,0.16666666666666666,0.5,,,,,,,,,,,,,True,,,,,,,,,,,,,
2059,1610612743,Eduardo Najera,Eduardo Najera,2059,DEN,331.0,6,-6.0,9,10,,,1.0,19,1.0,,,,,,,,,2.0,,,,15,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,27.272727272727273,1.0,,0.25,,,0.25,1.0,,,,,,0.5,,,,,,,,,,,,,,0.5,,0.44730000000000003,,,9.05,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
948,1610612743,Marcus Camby,Marcus Camby,948,DEN,7700.0,128,-3.0,241,239,38.0,61.0,25.0,480,6.0,1.0,5.0,,,,,,,28.0,,,39.0,248,5.0,,,9.0,,,,1.0,6.0,1.0,7.0,1.0,2.0,1.0,15.0,2.0,5.0,33.0,40.0,2.0,42.0,,1.0,,1.0,4.0,2.0,3.0,1.0,7.0,9.0,14.0,38.0,,,,,,0.4642857142857143,0.6,0.527027027027027,0.75,,0.03571428571428571,0.16666666666666666,16.356877323420075,0.5714285714285714,0.3626373626373626,0.019417475728155338,0.2,0.3275862068965517,0.018018018018018018,0.03225806451612903,0.5,0.3103448275862069,0.2222222222222222,0.14285714285714285,,0.21428571428571427,0.17857142857142858,,,,,,,,,0.2,,,,0.21428571428571427,,0.4256285714285714,0.46092000000000005,0.23076923076923078,12.657142857142857,,0.15767634854771784,4.0,1.0,1.0,2.0,7.0,17.0,13.0,13.0,3.0,2.0,5.0,4.0,8.0,24.0,2.0,2.0,,3.0,,2.0,1.0,1.0,19.0,10.0,,10.0,,10.0,8.0,8.0,0.9230769230769231,1.0,0.4642857142857143,0.6,0.4,0.4,0.5714285714285714,,,,0.8,0.6666666666666666,0.8,0.4,0.4,1.0,0.6071428571428571,0.4117647058823529,0.4117647058823529,1.0,1.0,0.2,0.46138,0.2702702702702703,0.2702702702702703,0.20512820512820512,,3.0,,,2.0,,,1.0,1.0,8.0,,,0.25,,0.030303030303030304,,0.75,,,,0.23076923076923078,,1.0,2.0,1.0,,,,,,,,,,True,,,,,,,,,,,,,
2035,1610612743,DerMarr Johnson,DerMarr Johnson,2035,DEN,3093.0,52,-7.0,100,97,18.0,27.0,11.0,197,5.0,2.0,,3.0,4.0,,,,2.0,5.0,3.0,6.0,18.0,113,2.0,,,5.0,9.0,2.0,,,2.0,,2.0,,1.0,1.0,4.0,2.0,,2.0,2.0,2.0,4.0,,2.0,,2.0,,,,,,3.0,7.0,18.0,2.0,1.0,0.5,,0.5,0.7727272727272727,1.0,0.8181818181818182,1.25,0.5454545454545454,,,9.821428571428571,,0.058823529411764705,0.05,,0.047619047619047616,0.045454545454545456,,,0.1,,,,0.45454545454545453,,0.36363636363636365,0.75,0.75,1.0,0.18181818181818182,,,,1.0,,,,1.0,,0.6101454545454545,0.6041,0.2777777777777778,0.86,23.78333333333333,0.18,4.0,2.0,1.0,,,,4.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,6.0,2.0,,,,,,,1.0,1.0,,1.0,,1.0,,3.0,0.25,0.3333333333333333,0.8,1.0,1.0,0.3333333333333333,0.5,,0.06666666666666667,,,0.8,0.8,,,,,,,,1.0,0.3333333333333333,0.6014166666666666,0.09090909090909091,0.2,0.16666666666666666,2.0,1.0,2.0,,,,,,1.0,,,,,,0.0625,,0.25,0.6666666666666666,,,0.1,0.5,1.0,1.0,1.0,,,,,,,,,,True,,,,,,,,,,,,,
2403,1610612743,Nene,Nene,2403,DEN,1625.0,27,-17.0,52,52,23.0,25.0,8.0,104,6.0,1.0,1.0,,,,,,,7.0,,,10.0,59,1.0,,,2.0,,,,4.0,,,,,,,,2.0,1.0,3.0,4.0,3.0,7.0,,1.0,,1.0,,,,,,2.0,4.0,23.0,1.0,,,,,0.2857142857142857,,0.45454545454545453,0.5,,0.5714285714285714,0.5,18.0327868852459,,0.17647058823529413,0.08333333333333333,0.14285714285714285,0.16666666666666666,0.09375,,0.2,,0.16666666666666666,,,0.8571428571428571,0.14285714285714285,,,,,,,,,1.0,,,,0.8571428571428571,,0.5314714285714286,,0.2,2.9,,0.4423076923076923,2.0,,3.0,,,,2.0,6.0,,1.0,3.0,2.0,4.0,2.0,2.0,,,,1.0,,,2.0,8.0,4.0,,2.0,,2.0,2.0,4.0,0.5,0.5,0.2857142857142857,,0.3333333333333333,0.3333333333333333,0.5,0.125,0.14285714285714285,,1.0,0.3333333333333333,0.6666666666666666,,,,,,,,,1.0,0.5106333333333334,0.36363636363636365,0.36363636363636365,0.4,,2.0,,,,,,,,1.0,,1.0,,,0.08333333333333333,0.16666666666666666,0.5,,,,0.25,,1.0,1.0,0.3333333333333333,,,,,,,,,,True,,,,,,,,,,,,,
2546,1610612743,Carmelo Anthony,Carmelo Anthony,2546,DEN,7819.0,130,1.0,247,242,57.0,73.0,26.0,489,32.0,6.0,9.0,,,,,,1.0,56.0,,1.0,63.0,260,6.0,,,6.0,,1.0,,9.0,6.0,2.0,8.0,2.0,1.0,1.0,18.0,7.0,2.0,7.0,9.0,8.0,17.0,1.0,1.0,,1.0,1.0,,6.0,,7.0,4.0,13.0,57.0,1.0,,,,,0.40350877192982454,0.5,0.4696969696969697,0.5,0.017543859649122806,0.16071428571428573,0.1875,26.545454545454547,0.14285714285714285,0.07692307692307693,0.06930693069306931,0.08695652173913043,0.07894736842105263,0.07272727272727272,0.07142857142857142,0.08333333333333333,0.13333333333333333,0.11764705882352941,,0.04,0.5614035087719298,0.15789473684210525,,,,,0.017543859649122806,,,,1.0,,,,0.5789473684210527,,0.5240666666666667,0.6172799999999999,0.09523809523809523,6.61607142857143,24.7,0.23076923076923078,16.0,3.0,8.0,3.0,4.0,15.0,23.0,17.0,3.0,6.0,12.0,11.0,23.0,28.0,18.0,4.0,,4.0,1.0,1.0,1.0,1.0,21.0,7.0,4.0,1.0,,1.0,,23.0,0.6086956521739131,0.6666666666666666,0.4107142857142857,0.5,0.5,0.5,0.6388888888888888,0.1111111111111111,0.07692307692307693,,,0.5,0.6153846153846154,0.3333333333333333,0.5,0.3333333333333333,0.2631578947368421,0.26666666666666666,0.26666666666666666,1.0,0.5,0.6666666666666666,0.573625,0.11290322580645161,0.11475409836065574,0.36507936507936506,,,,,,2.0,,4.0,2.0,1.0,,0.3333333333333333,,,0.058823529411764705,0.16666666666666666,0.5625,,1.0,,,,5.0,,0.625,1.0,,,,,,,,,True,,,,,,,,,,,,,
445,1610612743,Wesley Person,Wesley Person,445,DEN,1380.0,23,,46,43,16.0,13.0,6.0,89,,,,1.0,2.0,,,1.0,3.0,1.0,2.0,5.0,6.0,42,,,,,6.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,16.0,,1.0,0.4,,0.4,0.5,,0.5,,0.8333333333333334,,,13.461538461538462,,,,,,,,,,,,,,,0.3333333333333333,0.5,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,,0.8333333333333334,0.3333333333333333,0.4857,,,15.6,24.0,0.34782608695652173,,,,,,1.0,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,3.0,,,,,,1.5,1.5,,,,,,,,,,0.16666666666666666,,,,,,0.51315,,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,True,,,,,,,,,,,,,
