EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG3M,ThreePtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,AtRimPctBlocked,OffShortMidRangeReboundPct,DefAtRimReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyArc3Accuracy,Corner3Assists,FTOffRebounds,LostBallSteals,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffFTReboundPct,BlocksRecoveredPct,Travels,BlockedLongMidRange,BlockedShortMidRange,OffCorner3ReboundPct,PtsUnassisted3s,HeaveAttempts,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,on,PenaltyCorner3FGM,Defensive 3 Seconds Violations,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,ThreePtShootingFoulsDrawn,DefensiveGoaltends,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted
1712,1610612764,Antawn Jamison,Antawn Jamison,1712,WAS,4715.0,79,11,169,164,108,86.0,18.0,333,6.0,7.0,2.0,3.0,3.0,3.0,6.0,9.0,3.0,12.0,1.0,2.0,1.0,2.0,3.0,1.0,15.0,28.0,3.0,5.0,13.0,52.0,180,2.0,3.0,2.0,6.0,6.0,15.0,2.0,8.0,20.0,10.0,20.0,9.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,6.0,5.0,11.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,6.0,1.0,4.0,3.0,5.0,2.0,13.0,1.0,5.0,2.0,20.0,108,0.3333333333333333,0.38461538461538464,1.0,0.6,0.6,0.5357142857142857,0.6666666666666666,0.4,0.5909090909090909,0.6666666666666666,0.35294117647058826,0.6666666666666666,0.75,0.47619047619047616,0.15151515151515152,0.03571428571428571,0.1111111111111111,23.68421052631579,0.6666666666666666,0.2,0.0425531914893617,0.047619047619047616,0.0625,0.1875,0.05063291139240506,0.08620689655172414,0.09090909090909091,0.05,0.2727272727272727,0.07142857142857142,0.05,0.037037037037037035,0.2,0.07142857142857142,0.21212121212121213,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.2727272727272727,0.6666666666666666,0.75,0.16666666666666666,0.36363636363636365,0.25,0.25,0.6666666666666666,0.06060606060606061,0.5,0.5,1.0,0.09090909090909091,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.17647058823529413,1.0,0.058823529411764705,0.058823529411764705,0.36363636363636365,0.6666666666666666,0.459598484848485,0.54245,0.4401176470588235,0.13513513513513514,0.15625,0.11538461538461539,0.38461538461538464,10.321428571428571,25.020000000000003,0.6390532544378699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1716,1610612764,Larry Hughes,Larry Hughes,1716,WAS,5174.0,86,-31,171,172,99,78.0,30.0,343,3.0,7.0,,1.0,1.0,2.0,6.0,10.0,6.0,16.0,,3.0,1.0,1.0,6.0,4.0,15.0,33.0,1.0,9.0,17.0,50.0,197,5.0,8.0,3.0,13.0,9.0,16.0,5.0,11.0,32.0,8.0,22.0,3.0,4.0,6.0,1.0,4.0,7.0,10.0,2.0,23.0,,4.0,3.0,9.0,2.0,14.0,4.0,18.0,1.0,3.0,3.0,4.0,4.0,5.0,,9.0,1.0,6.0,3.0,12.0,4.0,21.0,3.0,9.0,3.0,32.0,99,0.26666666666666666,0.3076923076923077,1.0,0.1111111111111111,0.1111111111111111,0.45454545454545453,0.625,0.5625,0.39285714285714285,0.5,0.5,0.49019607843137253,0.5909090909090909,0.5925925925925926,0.21428571428571427,0.12121212121212122,0.1,28.985507246376812,0.4444444444444444,0.2222222222222222,0.16363636363636364,0.0625,0.1111111111111111,,0.14634146341463414,0.047058823529411764,0.1,0.03571428571428571,,0.2,0.15789473684210525,0.13043478260869565,,0.047619047619047616,0.16666666666666666,0.42857142857142855,0.75,0.6666666666666666,0.23809523809523808,0.6,0.6666666666666666,0.16666666666666666,0.38095238095238093,0.375,0.375,0.16666666666666666,0.07142857142857142,,,,0.14285714285714285,0.16666666666666666,0.16666666666666666,1.0,0.1,,0.09523809523809523,0.5,0.047619047619047616,0.19047619047619047,0.38095238095238093,0.16666666666666666,0.45041071428571433,0.45353333333333334,0.43547619047619046,0.1875,0.23076923076923078,0.26,0.64,12.133333333333331,24.87777777777778,0.5789473684210527,1.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,4.0,0.2,0.42857142857142855,0.0625,0.14285714285714285,0.1,0.1,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1913,1610612764,Michael Ruffin,Michael Ruffin,1913,WAS,3180.0,53,6,103,102,58,52.0,22.0,205,3.0,4.0,1.0,1.0,3.0,4.0,,,,,,,,,,,3.0,4.0,,,4.0,10.0,114,1.0,1.0,,2.0,3.0,4.0,,4.0,10.0,4.0,2.0,,2.0,,,,4.0,5.0,2.0,11.0,1.0,2.0,4.0,3.0,,7.0,4.0,11.0,,1.0,,,,,,,,,8.0,10.0,,5.0,1.0,2.0,1.0,10.0,58,0.6666666666666666,1.0,,,,0.75,1.0,0.75,0.75,1.0,0.75,0.8333333333333334,1.0,0.8333333333333334,,,,4.651162790697675,,,0.1,0.05,0.21052631578947367,0.07692307692307693,0.14285714285714285,0.05660377358490566,0.09090909090909091,0.047619047619047616,0.125,0.1111111111111111,0.07692307692307693,0.21428571428571427,0.2,,1.0,0.75,0.75,0.6666666666666666,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.75,,,1.0,,0.5889,0.6733,0.5889,0.4,0.4,0.2,1.0,1.2,,0.5631067961165048,,,,,,1.0,,2.0,,,,1.0,,,,0.125,,,,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0.125,0.3333333333333333,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2041,1610612764,Etan Thomas,Etan Thomas,2041,WAS,7713.0,129,-28,260,257,154,129.0,36.0,517,16.0,24.0,6.0,8.0,8.0,15.0,2.0,4.0,1.0,1.0,,,,,,,19.0,29.0,,,10.0,48.0,290,7.0,9.0,2.0,16.0,9.0,18.0,,5.0,23.0,20.0,18.0,,10.0,,,2.0,2.0,2.0,,4.0,2.0,9.0,11.0,8.0,5.0,24.0,12.0,36.0,,,,5.0,1.0,4.0,4.0,9.0,2.0,6.0,13.0,23.0,1.0,22.0,2.0,6.0,6.0,23.0,154,0.5263157894736842,0.7142857142857143,,,,0.6551724137931034,0.7777777777777778,0.5,0.6551724137931034,0.7777777777777778,0.5,0.6153846153846154,0.7272727272727273,0.4791666666666667,,0.06896551724137931,,15.841584158415843,0.5555555555555556,0.35714285714285715,0.10256410256410256,0.10227272727272728,0.24444444444444444,0.06451612903225806,0.15447154471544716,0.09243697478991597,0.08,0.09302325581395349,,0.08695652173913043,0.10714285714285714,0.2972972972972973,,,0.8275862068965517,0.6666666666666666,0.7272727272727273,0.5625,0.13793103448275862,0.5,0.5,,0.034482758620689655,1.0,1.0,1.0,,,,,,,,,0.8888888888888888,0.75,0.8333333333333334,0.5333333333333333,,,0.8275862068965517,,0.5543655172413793,0.5253857142857143,0.5443444444444444,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.4791666666666667,2.427586206896552,,0.5923076923076923,,,,,,,,2.0,,,3.0,4.0,,0.08333333333333333,0.15,0.1111111111111111,,,,,1.0,,7.0,4.0,7.0,6.0,0.07692307692307693,0.8571428571428571,1.0,1.0,2.0,0.25,,,,,,,,,,,,,,True,,,,,,,,,,,,
2240,1610612764,Gilbert Arenas,Gilbert Arenas,2240,WAS,7095.0,118,-8,242,235,144,123.0,32.0,477,3.0,8.0,,,3.0,7.0,1.0,5.0,6.0,13.0,1.0,2.0,,3.0,14.0,9.0,10.0,26.0,4.0,16.0,20.0,52.0,262,,,,,8.0,19.0,9.0,14.0,39.0,12.0,8.0,6.0,,13.0,3.0,4.0,8.0,11.0,4.0,25.0,,1.0,1.0,10.0,,11.0,1.0,12.0,,3.0,3.0,6.0,3.0,6.0,3.0,12.0,,8.0,4.0,8.0,2.0,25.0,1.0,4.0,7.0,39.0,144,0.6,0.6,0.5,0.25,0.26666666666666666,0.38461538461538464,,0.42105263157894735,0.38095238095238093,,0.44642857142857145,0.46153846153846156,,0.5277777777777778,0.38095238095238093,0.15384615384615385,0.2,22.419928825622776,0.5,,0.13333333333333333,0.0125,0.023809523809523808,,0.09401709401709402,0.009259259259259259,,0.02631578947368421,,,0.25925925925925924,0.029411764705882353,,,0.19047619047619047,0.375,0.6,0.6666666666666666,0.11904761904761904,0.2,0.25,1.0,0.30952380952380953,0.46153846153846156,0.46153846153846156,0.5,0.047619047619047616,0.5,0.5,1.0,0.3333333333333333,0.21428571428571427,0.21428571428571427,0.3333333333333333,,,0.25,0.42857142857142855,,0.32142857142857145,0.5714285714285714,0.23076923076923078,0.4560926829268292,,0.47065925925925933,0.08888888888888889,0.13793103448275862,,0.75,10.861538461538462,26.58125,0.5950413223140496,,,3.0,,3.0,3.0,2.0,4.0,,1.0,,2.0,0.3333333333333333,0.375,,0.11538461538461539,,,0.3333333333333333,1.0,,,1.0,1.0,3.0,2.0,,0.6666666666666666,1.0,,,,6.0,1.0,1.0,4.0,2.0,1.0,1.0,,,,,,,True,,,,,,,,,,,,
324,1610612764,Anthony Peeler,Anthony Peeler,324,WAS,1259.0,21,-10,42,43,23,20.0,4.0,85,,1.0,,,,,,,,1.0,,1.0,,,2.0,2.0,,2.0,,3.0,,,45,,,,,,1.0,2.0,,,,,,,1.0,,1.0,2.0,2.0,2.0,4.0,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,2.0,1.0,3.0,,1.0,1.0,2.0,,,,,,,23,,,,,,,,,,,,,,,0.6,0.5,,17.391304347826086,0.3333333333333333,,0.07692307692307693,,,,0.05,,,,,,0.3333333333333333,,,,0.2,,,,,,,,0.2,,,,0.2,,,,0.4,,,,,,,,,0.6666666666666666,0.8,,0.5881875,0.66915,0.47540000000000004,,,,,10.4,30.0,0.5476190476190477,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,True,,,,,,,,,,,,
2198,1610612764,Kwame Brown,Kwame Brown,2198,WAS,1903.0,32,-26,65,67,39,36.0,9.0,132,,3.0,,,,2.0,,2.0,,1.0,,,,,,,,6.0,,,3.0,3.0,82,,,1.0,1.0,,3.0,,3.0,3.0,,,,,,,2.0,,,,,,1.0,1.0,4.0,2.0,7.0,2.0,9.0,,,,,,1.0,,1.0,,,1.0,4.0,1.0,6.0,,3.0,,3.0,39,,,,,,,,,,,,0.16666666666666666,0.25,0.25,,0.3333333333333333,0.5,13.157894736842104,,1.0,0.18181818181818182,0.043478260869565216,0.1111111111111111,,0.16129032258064516,0.02857142857142857,,0.1111111111111111,,,,0.125,,,0.5,,,,0.3333333333333333,,,,0.16666666666666666,,,,,,,,,,,,,,0.6666666666666666,,,,0.5,,0.48069999999999996,,0.5250333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,4.966666666666667,,0.6,,,,,,,,,,,2.0,1.0,,,,0.4,,,,,1.0,,2.0,2.0,2.0,1.0,0.5,0.5,,,,,,,,,,,,1.0,,,,,,True,,,,,,,,,,,,
2407,1610612764,Jared Jeffries,Jared Jeffries,2407,WAS,1877.0,31,-26,64,63,35,27.0,3.0,127,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,12.0,85,1.0,1.0,,2.0,1.0,1.0,2.0,2.0,7.0,2.0,2.0,3.0,2.0,3.0,2.0,,2.0,3.0,,7.0,,1.0,2.0,1.0,,3.0,1.0,4.0,,,,,,2.0,,2.0,,1.0,3.0,4.0,,2.0,,1.0,,7.0,35,0.5,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.875,0.6,,,11.76470588235294,,,0.07142857142857142,0.06666666666666667,0.25,,0.13636363636363635,0.05555555555555555,,,,,0.25,0.3333333333333333,,,0.4,1.0,1.0,0.5,,,,,,,,,,,,,0.6,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,0.3333333333333333,1.0,,0.6666666666666666,1.0,0.6666666666666666,0.51676,0.5748,0.5184166666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5833333333333334,,25.266666666666666,0.546875,,,1.0,,1.0,1.0,1.0,2.0,,,1.0,,0.5,,0.2,,,,0.5,,,,1.0,1.0,1.0,1.0,,1.0,,,,,3.0,,,,,,,,1.0,1.0,,,,True,,,,,,,,,,,,
2413,1610612764,Juan Dixon,Juan Dixon,2413,WAS,5118.0,85,-23,167,164,93,80.0,25.0,331,,2.0,,,,1.0,,5.0,9.0,24.0,1.0,3.0,,2.0,9.0,5.0,9.0,31.0,3.0,12.0,8.0,35.0,179,,4.0,,,6.0,16.0,5.0,2.0,17.0,10.0,8.0,6.0,,9.0,2.0,2.0,6.0,7.0,1.0,15.0,,2.0,3.0,4.0,,7.0,2.0,9.0,,3.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,3.0,1.0,7.0,1.0,10.0,,5.0,,17.0,93,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.25,0.25,0.2903225806451613,,0.375,0.313953488372093,,0.35714285714285715,0.3645833333333333,,0.38636363636363635,0.27906976744186046,0.06451612903225806,,26.395939086294415,0.75,,0.07692307692307693,0.030303030303030304,0.09375,,0.08333333333333333,0.021739130434782608,,0.029411764705882353,,0.13333333333333333,0.058823529411764705,0.11538461538461539,,,0.046511627906976744,,,,0.11627906976744186,,,,0.5581395348837209,0.375,0.4090909090909091,0.5555555555555556,0.06976744186046512,0.3333333333333333,0.3333333333333333,1.0,0.20930232558139536,0.2222222222222222,0.25,0.5,,,0.047619047619047616,,,0.23809523809523808,0.32558139534883723,0.2222222222222222,0.41601162790697677,0.38039999999999996,0.41295476190476194,0.10416666666666667,0.1388888888888889,,0.4857142857142857,16.687096774193552,25.10833333333333,0.5568862275449101,,2.0,1.0,2.0,1.0,1.0,,3.0,2.0,,,3.0,0.2,,0.08333333333333333,0.05,,0.3333333333333333,0.2,1.0,,1.0,,,,,,,,,,,3.0,,,,,,,0.08333333333333333,,,1.0,0.08333333333333333,0.1111111111111111,True,,,,,,,,,,,,
2217,1610612764,Brendan Haywood,Brendan Haywood,2217,WAS,108.0,2,-2,3,4,3,,1.0,7,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
