EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,PenaltyArc3FGA,FtPoints,PenaltyFtPoints,Fg2aBlocked,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,LostBallTurnovers,PenaltyTurnovers,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FG2APctBlocked,LongMidRangePctBlocked,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG2A,SecondChanceFG3M,SecondChancePoints,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,HeaveMakes,HeaveAttempts,NonHeaveArc3FGM,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,LostBallSteals,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,PtsPutbacks,FTDefRebounds,SecondChanceTurnovers,BlockedAtRim,BlockedShortMidRange,SecondChanceFg2Pct,AtRimPctBlocked,DefFTReboundPct,OffAtRimReboundPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,BadPassOutOfBoundsTurnovers,Travels,DefensiveGoaltends,LongMidRangePctAssisted,Corner3FGM,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Corner3Assists,Technical Free Throw Trips,NonHeaveArc3Accuracy,on,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffCorner3ReboundPct,FTOffRebounds,Defensive 3 Seconds Violations,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
1761,1610612743,Greg Buckner,Greg Buckner,1761,DEN,3325.0,55,-11,101,102,38.0,49,11.0,203,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0,3.0,4.0,97.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,8.0,11.0,11.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,38.0,1.0,0.5,0.5,0.2857142857142857,0.25,0.2,0.2,0.2,0.2,0.3,11.304347826086957,0.3333333333333333,0.24242424242424243,0.23076923076923078,0.2391304347826087,0.1111111111111111,0.16666666666666666,0.6666666666666666,0.2,0.3333333333333333,1.0,0.3,0.3333333333333333,0.3333333333333333,1.0,0.3,0.3333333333333333,0.3333333333333333,0.1,0.2,0.1,1.0,0.4,0.5,0.2,0.6,0.49718,0.62595,0.50756,0.5,6.285714285714286,24.0,0.37623762376237624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1863,1610612743,Earl Boykins,Earl Boykins,1863,DEN,4858.0,81,-37,152,149,63.0,72,24.0,301,1.0,5.0,1.0,2.0,7.0,12.0,17.0,,,,4.0,14.0,34.0,4.0,35.0,178.0,,7.0,15.0,1.0,20.0,2.0,26.0,4.0,8.0,9.0,2.0,19.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,8.0,1.0,,,,,,20.0,63.0,,0.07142857142857142,0.07142857142857142,0.4117647058823529,0.4666666666666667,0.3684210526315789,0.4375,0.4166666666666667,0.5,0.10526315789473684,25.69832402234637,0.75,0.0196078431372549,0.1,0.04225352112676056,,,0.09090909090909091,0.15384615384615385,,,0.13157894736842105,0.2,0.2,,0.3157894736842105,0.5833333333333334,0.5833333333333334,0.4473684210526316,,0.10526315789473684,,0.125,0.5,,0.23684210526315788,0.41815526315789475,,0.38574062499999995,0.5714285714285714,11.929411764705883,24.375,0.4144736842105263,6.0,1.0,7.0,6.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,9.0,1.0,4.0,1.0,0.029411764705882353,0.058823529411764705,0.14285714285714285,0.35294117647058826,0.375,0.0625,0.0975609756097561,0.10810810810810811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1889,1610612743,Andre Miller,Andre Miller,1889,DEN,2996.0,50,-2,88,94,32.0,43,15.0,182,1.0,3.0,,,5.0,7.0,5.0,,,,2.0,6.0,15.0,2.0,22.0,99.0,1.0,2.0,3.0,1.0,7.0,,12.0,,8.0,8.0,5.0,16.0,,4.0,4.0,8.0,4.0,3.0,1.0,1.0,1.0,,2.0,3.0,5.0,,1.0,,,,,7.0,32.0,1.0,,,0.4,0.6666666666666666,0.5294117647058824,0.875,0.5789473684210527,0.875,0.11764705882352941,19.81132075471698,0.5,0.14285714285714285,,0.10256410256410256,,0.21428571428571427,0.1,,,,0.17647058823529413,0.3333333333333333,0.3333333333333333,,0.4117647058823529,0.7142857142857143,0.8333333333333334,0.29411764705882354,,0.11764705882352941,,,,,0.29411764705882354,0.40818750000000004,0.5418000000000001,0.37223333333333336,0.3181818181818182,10.566666666666666,32.75,0.36363636363636365,,1.0,4.0,,2.0,,,1.0,2.0,,1.0,5.0,1.0,3.0,,0.13333333333333333,0.2,,,,0.25,0.15789473684210525,0.17647058823529413,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,0.75,0.14285714285714285,0.07142857142857142,0.25,0.08695652173913043,0.1,0.11764705882352941,0.3333333333333333,0.14285714285714285,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.13636363636363635,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2403,1610612743,Nene,Nene,2403,DEN,6017.0,100,-34,184,186,77.0,93,26.0,370,8.0,13.0,3.0,6.0,1.0,6.0,2.0,,,,,9.0,21.0,,33.0,208.0,,3.0,6.0,,14.0,8.0,10.0,,2.0,2.0,1.0,4.0,5.0,9.0,16.0,25.0,2.0,1.0,3.0,1.0,2.0,,5.0,9.0,16.0,2.0,2.0,2.0,,2.0,2.0,14.0,77.0,1.0,0.4444444444444444,0.5714285714285714,0.42857142857142855,0.5,0.42857142857142855,0.5,0.515625,0.6363636363636364,,17.289719626168225,0.6,0.14516129032258066,0.20833333333333334,0.16279069767441862,0.21428571428571427,0.11764705882352941,0.14285714285714285,0.26666666666666666,0.1111111111111111,1.0,0.6190476190476191,0.6153846153846154,0.8888888888888888,0.5,0.2857142857142857,0.16666666666666666,0.25,0.09523809523809523,,,,1.0,0.5,,0.6190476190476191,0.4977380952380952,0.6844666666666667,0.5177166666666667,0.42424242424242425,5.047619047619048,,0.41847826086956524,,,15.0,8.0,6.0,,,1.0,,2.0,,23.0,1.0,9.0,3.0,0.2857142857142857,,,,,,0.3103448275862069,0.3103448275862069,4.0,,,,,,4.0,,13.0,,,,,,,1.0,8.0,9.0,,1.0,,,,,,0.75,0.8125,0.3333333333333333,0.1,0.0625,0.09375,0.1,0.06060606060606061,0.09090909090909091,,,,,1.0,,,,0.3939393939393939,3.0,3.0,7.0,4.0,2.0,1.0,1.0,1.0,0.75,0.3076923076923077,0.4,0.14814814814814814,0.75,0.3333333333333333,,,,,,,,,,,,True,,,,,,,,,,,,,,
948,1610612743,Marcus Camby,Marcus Camby,948,DEN,3162.0,53,-5,93,95,38.0,43,16.0,188,2.0,3.0,2.0,2.0,1.0,3.0,6.0,,,,,4.0,12.0,,11.0,107.0,,3.0,6.0,,7.0,6.0,2.0,,1.0,2.0,1.0,5.0,3.0,6.0,10.0,11.0,2.0,,1.0,,3.0,,4.0,3.0,3.0,,,5.0,,5.0,,7.0,38.0,,0.75,0.75,0.3333333333333333,0.5,0.3333333333333333,0.5,0.4230769230769231,0.5833333333333334,,15.178571428571427,0.25,0.17142857142857143,0.2,0.18,0.125,0.17647058823529413,0.2,0.25,0.14285714285714285,,0.25,0.6666666666666666,0.6666666666666666,0.5,0.25,0.3333333333333333,0.5,0.5,,,,0.3333333333333333,1.0,,0.25,0.42687499999999995,0.3756,0.46398333333333336,0.6363636363636364,11.799999999999999,,0.40860215053763443,1.0,,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,4.0,2.0,3.0,,0.08333333333333333,,1.0,0.16666666666666666,0.16666666666666666,,0.23076923076923078,0.23076923076923078,,,,,,,1.0,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,0.3333333333333333,0.025,,0.022727272727272728,,0.05555555555555555,,,,,,,,,,,,,,,1.0,1.0,1.0,4.0,,,0.5,,,,2.0,1.0,3.0,1.0,,,,,,,,True,,,,,,,,,,,,,,
1922,1610612743,Francisco Elson,Francisco Elson,1922,DEN,294.0,5,-1,9,8,8.0,8,1.0,17,,1.0,,1.0,,,,,,,,,1.0,,,9.0,,,1.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,10.0,,0.5,,0.5,,0.3333333333333333,1.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,0.6557,,0.6557,,1.8,,0.8888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2035,1610612743,DerMarr Johnson,DerMarr Johnson,2035,DEN,1522.0,25,-13,46,48,20.0,33,6.0,94,2.0,2.0,1.0,1.0,,,,3.0,,1.0,2.0,2.0,2.0,5.0,10.0,58.0,,1.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,,2.0,3.0,,,,,,,,1.0,3.0,1.0,,1.0,,1.0,,5.0,20.0,1.0,0.5,1.0,1.0,1.0,0.5,0.25,0.625,0.5,0.7142857142857143,15.384615384615383,,,0.16666666666666666,0.043478260869565216,,,,,0.3333333333333333,,0.2857142857142857,1.0,1.0,0.5,,,,,0.42857142857142855,0.2857142857142857,,0.25,1.0,0.25,1.0,0.5953214285714286,0.5594,0.6114124999999999,0.5,,23.78,0.43478260869565216,,2.0,3.0,3.0,,,,1.0,,,,3.0,1.0,1.0,1.0,,,,,,0.5,0.14285714285714285,0.5,2.0,,,,,1.0,2.0,,5.0,,3.0,,,,,,1.0,1.0,,,1.0,0.2,,,0.2,1.0,1.25,,0.058823529411764705,,0.043478260869565216,,0.1111111111111111,,,,,,1.0,,,,0.5,2.0,2.0,1.0,2.0,1.0,,1.0,,1.0,,0.5,,1.0,0.5,,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,True,,,,,,,,,,,,,,
2030,1610612743,Kenyon Martin,Kenyon Martin,2030,DEN,1625.0,27,-17,52,52,23.0,25,8.0,104,1.0,2.0,,,,2.0,4.0,,,,,2.0,8.0,,5.0,59.0,,1.0,2.0,,2.0,2.0,2.0,,,,,,1.0,5.0,6.0,8.0,,,1.0,,1.0,,2.0,,2.0,1.0,,1.0,,1.0,,2.0,23.0,1.0,0.5,1.0,0.25,0.5,0.25,0.5,0.2777777777777778,0.5,,18.0327868852459,0.5,0.29411764705882354,0.14285714285714285,0.25,0.25,0.4,,0.16666666666666666,,,0.25,0.5,1.0,,0.25,,,0.5,,,,,,,0.25,0.4307500000000001,0.6125,0.33594999999999997,0.4,9.75,,0.4423076923076923,1.0,,1.0,,2.0,,,,,1.0,1.0,2.0,,1.0,,0.25,,,0.25,0.25,,0.1111111111111111,0.1111111111111111,1.0,,,,,,1.0,,3.0,,,,,,,,2.0,2.0,,,,,,,,1.0,0.75,0.5,0.08333333333333333,,0.0625,,,,,,,,1.0,,,,0.6,1.0,1.0,1.0,2.0,,,1.0,,1.0,0.5,,0.16666666666666666,1.0,,1.0,,,1.0,,,,,,,,True,,,,,,,,,,,,,,
2546,1610612743,Carmelo Anthony,Carmelo Anthony,2546,DEN,3508.0,58,-27,105,106,57.0,58,16.0,211,11.0,22.0,4.0,11.0,1.0,3.0,10.0,,,,,15.0,35.0,,42.0,128.0,,6.0,17.0,,19.0,20.0,10.0,,2.0,3.0,2.0,7.0,,3.0,4.0,11.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,3.0,9.0,,4.0,,,,,19.0,57.0,2.0,0.6666666666666666,0.9090909090909091,0.42857142857142855,0.35294117647058826,0.42857142857142855,0.35294117647058826,0.5,0.4523809523809524,,37.903225806451616,0.16666666666666666,0.08108108108108109,,0.0625,,0.125,0.08333333333333333,,,,0.6285714285714286,0.5,0.5789473684210527,0.5454545454545454,0.08571428571428572,0.3333333333333333,0.5,0.2857142857142857,,,,0.6470588235294118,0.36363636363636365,,0.6285714285714286,0.5115428571428572,0.6402285714285715,0.5109117647058823,0.4523809523809524,6.251428571428571,,0.5428571428571428,3.0,,12.0,7.0,4.0,1.0,,,,,3.0,14.0,1.0,5.0,2.0,0.11428571428571428,,1.0,0.3,0.3,,0.1282051282051282,0.1282051282051282,8.0,,,,,,8.0,,13.0,,,,,,,2.0,5.0,7.0,2.0,1.0,,,,,,0.75,0.7222222222222222,0.3333333333333333,0.1111111111111111,0.2857142857142857,0.1346153846153846,,0.09523809523809523,0.3333333333333333,0.125,,,,1.0,,,,0.30952380952380953,6.0,6.0,1.0,8.0,1.0,1.0,,,0.75,0.13636363636363635,1.0,0.17647058823529413,0.75,0.16666666666666666,,,1.0,1.0,,,,,1.0,1.0,,True,,,,,,,,,,,,,,
445,1610612743,Wesley Person,Wesley Person,445,DEN,2321.0,39,-15,74,74,21.0,32,6.0,148,,,,,1.0,1.0,4.0,2.0,,,5.0,3.0,5.0,7.0,12.0,76.0,,2.0,2.0,2.0,4.0,6.0,,5.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,4.0,21.0,,1.0,1.0,0.6,1.0,0.5,0.5,0.5,0.5,0.5833333333333334,15.0,,,,,,,,,,,,,,,0.08333333333333333,1.0,1.0,0.3333333333333333,0.16666666666666666,0.4166666666666667,,,,,0.5833333333333334,0.4631625,,0.47375,0.3333333333333333,17.56,24.099999999999998,0.28378378378378377,2.0,2.0,,,,,,,,,,,,,,,,1.0,0.5,0.5,0.5,,,,1.0,,,,2.0,,,,,6.0,,,,1.0,,,,,,1.0,0.2857142857142857,,,0.2857142857142857,,,,,,,,,,,0.2,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,0.5,1.0,,,0.2,True,,,,,,,,,,,,,,
