EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,AtRimAssists,ShortMidRangeAssists,BadPassSteals,DeadBallTurnovers,Offensive Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedLongMidRange,RecoveredBlocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,PtsUnassisted3s,FTDefRebounds,DefFTReboundPct,HeaveAttempts,ThreePtAssists,Arc3Assists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SecondChanceFtPoints,PtsPutbacks,Corner3Assists,SelfOReb,LostBallOutOfBoundsTurnovers,LostBallTurnovers,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedShortMidRange,ShortMidRangePctBlocked,OffAtRimReboundPct,SelfORebPct,ThreePtShootingFoulsDrawnPct,FTOffRebounds,3pt And 1 Free Throw Trips,OffFTReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,OffCorner3ReboundPct,SecondChanceArc3Frequency,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,DefensiveGoaltends,3SecondViolations,on,Travels,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,HeaveMakes
1000,1610612748,Shandon Anderson,Shandon Anderson,1000,MIA,1233.0,21,-3.0,42,45,23,24,1.0,87,2.0,2,47,3.0,3.0,3.0,6.0,4.0,3.0,7.0,7.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,23,1.0,9.30232558139535,1.0,0.2727272727272727,0.6666666666666666,0.4117647058823529,1.0,0.2857142857142857,0.75,0.5,1.0,0.39335,18.25,0.5476190476190477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
1720,1610612748,Michael Doleac,Michael Doleac,1720,MIA,462.0,8,-2.0,14,15,11,15,3.0,29,,1,14,,,,,,,,,,,,,,,,1.0,11,1.0,5.555555555555555,,,,,,,,,,0.6001,,0.7857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6001,0.6001,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
2039,1610612748,Keyon Dooling,Keyon Dooling,2039,MIA,3783.0,63,-6.0,117,123,51,55,6.0,240,13.0,17,124,4.0,4.0,,8.0,,5.0,5.0,5.0,1.0,,2.0,2.0,3.0,1.0,2.0,7.0,51,2.0,22.764227642276424,0.6666666666666666,0.1282051282051282,,0.1,,0.15789473684210525,,,0.5909090909090909,0.4232818181818182,15.394117647058822,0.4358974358974359,1.0,2.0,,,,,9.0,32.0,,,,6.0,7.0,19.0,4.0,,1.0,,1.0,19.0,0.2222222222222222,0.2222222222222222,0.5294117647058824,,0.8571428571428571,0.6136363636363636,,0.8181818181818182,0.62,,0.7916666666666666,0.09090909090909091,0.5,1.0,,,,,,,0.3181818181818182,,0.4217863636363636,,0.59375,1.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,5.0,5.0,2.0,4.0,1.0,14.0,9.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,0.6,0.5,0.6,0.22727272727272727,0.058823529411764705,0.5,0.18181818181818182,1.0,0.09090909090909091,0.5,0.5,0.5384615384615384,0.5384615384615384,0.2857142857142857,0.045454545454545456,1.0,1.0,1.0,0.18181818181818182,0.5,0.5,1.0,0.09090909090909091,1.0,0.2727272727272727,0.3333333333333333,0.5,0.08333333333333333,0.10526315789473684,25.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
2446,1610612748,Rasual Butler,Rasual Butler,2446,MIA,2919.0,49,-25.0,86,86,26,36,5.0,172,4.0,5,102,1.0,1.0,,2.0,2.0,2.0,6.0,6.0,1.0,,1.0,1.0,1.0,,6.0,8.0,26,2.0,15.384615384615383,1.0,0.06666666666666667,0.15384615384615385,0.09302325581395349,,0.06666666666666667,0.2,,0.3076923076923077,0.47142307692307683,16.82,0.3023255813953488,,,,,,,,6.0,,,,,3.0,,,,,,,,,,,,,0.23076923076923078,,,0.23076923076923078,,,,,,,,,,,,0.6153846153846154,,0.45011,,,,1.0,,,2.0,,1.0,2.0,6.0,,1.0,2.0,8.0,,,2.0,,,3.0,6.0,2.0,,1.0,,1.0,,,,,,,,,0.5,0.25,,0.25,0.6153846153846154,,,0.16666666666666666,,0.07692307692307693,,,,,,0.15384615384615385,,,,0.46153846153846156,0.3333333333333333,0.3333333333333333,0.5,0.2,,0.2,,0.3333333333333333,,,24.737499999999997,3.0,2.0,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
363,1610612748,Christian Laettner,Christian Laettner,363,MIA,8003.0,133,7.0,260,259,112,147,23.0,519,13.0,23,259,4.0,7.0,,17.0,4.0,13.0,22.0,25.0,4.0,2.0,4.0,4.0,6.0,,9.0,17.0,112,4.0,11.578947368421053,0.6666666666666666,0.13131313131313133,0.13333333333333333,0.13178294573643412,0.10714285714285714,0.13333333333333333,0.10526315789473684,0.18181818181818182,0.5416666666666666,0.46754782608695655,10.504347826086956,0.4307692307692308,5.0,9.0,,,2.0,3.0,12.0,29.0,,2.0,,6.0,10.0,17.0,20.0,2.0,,,,17.0,0.8333333333333334,0.8333333333333334,0.5217391304347826,,0.6,0.5,,0.5454545454545454,0.5370370370370371,,0.6071428571428571,0.375,0.5555555555555556,0.7142857142857143,0.8,,,,0.2727272727272727,0.6666666666666666,0.4166666666666667,0.3819,0.47721,,0.5862068965517241,,1.0,7.0,,,,,,1.0,,1.0,,1.0,5.0,,1.0,5.0,4.0,,,,3.0,4.0,,2.0,2.0,,6.0,,1.0,2.0,,,,,,,0.041666666666666664,0.13043478260869565,0.2222222222222222,0.15384615384615385,,0.041666666666666664,,,0.5384615384615384,0.5833333333333334,0.8571428571428571,,,,,0.041666666666666664,,,,,,0.09090909090909091,,,0.04,0.041666666666666664,57.7,,5.0,0.2777777777777778,1.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,0.07692307692307693,0.02631578947368421,0.037037037037037035,0.02912621359223301,0.05714285714285714,0.045454545454545456,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
2548,1610612748,Dwyane Wade,Dwyane Wade,2548,MIA,5993.0,100,29.0,199,197,96,124,22.0,396,20.0,50,184,10.0,15.0,4.0,35.0,3.0,8.0,11.0,17.0,5.0,3.0,9.0,4.0,15.0,7.0,2.0,5.0,96,1.0,36.32286995515695,0.6,0.10126582278481013,0.14285714285714285,0.11,0.08695652173913043,0.09090909090909091,0.16666666666666666,0.1111111111111111,0.39215686274509803,0.4629352941176471,9.422,0.4824120603015075,9.0,20.0,2.0,4.0,6.0,10.0,21.0,67.0,2.0,5.0,5.0,11.0,23.0,36.0,8.0,,4.0,2.0,4.0,36.0,0.19047619047619047,0.21052631578947367,0.42,0.4,0.4782608695652174,0.4117647058823529,0.4,0.4583333333333333,0.5075757575757576,0.4166666666666667,0.5454545454545454,0.39215686274509803,0.45,0.47368421052631576,0.2222222222222222,0.8,0.5,,0.4166666666666667,0.6,0.4117647058823529,0.4915,0.4834333333333334,0.07462686567164178,0.5373134328358209,6.0,10.0,6.0,,,,,,1.0,,1.0,,1.0,25.0,,1.0,14.0,34.0,,1.0,,3.0,6.0,,2.0,6.0,1.0,32.0,,11.0,4.0,,2.0,,,,,0.0196078431372549,0.06,0.05,0.13043478260869565,0.5,0.19607843137254902,0.6,0.6666666666666666,0.3,0.3157894736842105,0.3333333333333333,,,,,0.0196078431372549,,,,,,0.041666666666666664,,,0.1935483870967742,0.18333333333333332,23.9,,,,,5.0,3.0,2.0,4.0,6.0,4.0,1.0,,0.05,0.06349206349206349,0.1111111111111111,0.07407407407407407,0.0967741935483871,0.13333333333333333,1.0,4.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,0.1,0.05555555555555555,0.037037037037037035,0.5,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
1800,1610612748,Damon Jones,Damon Jones,1800,MIA,4450.0,74,9.0,152,145,62,97,17.0,297,6.0,6,144,5.0,6.0,1.0,13.0,1.0,7.0,9.0,10.0,2.0,,1.0,1.0,1.0,,,1.0,62,1.0,15.789473684210527,1.0,0.11290322580645161,0.05263157894736842,0.09876543209876543,0.05,0.19230769230769232,,0.16666666666666666,0.24,0.522794,18.45,0.40789473684210525,,,,,,,3.0,37.0,1.0,2.0,2.0,1.0,3.0,21.0,2.0,,,,,21.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.72,0.5,0.9090909090909091,0.7115384615384616,0.5,0.875,,,,,,,,,,0.76,0.4309,0.5157863636363637,0.05405405405405406,0.5675675675675675,,,3.0,2.0,3.0,,,8.0,16.0,6.0,8.0,10.0,19.0,1.0,6.0,8.0,1.0,4.0,27.0,16.0,8.0,,4.0,,2.0,,,3.0,,,1.0,,,0.9,0.5263157894736842,0.75,0.5263157894736842,0.76,,,0.0625,,,,,0.5,0.5,0.3333333333333333,0.12,0.6666666666666666,0.6666666666666666,1.0,0.64,0.5,0.5,0.875,,,0.7272727272727273,0.75,0.5,0.04,,24.80526315789474,3.0,1.0,0.1111111111111111,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,0.05263157894736842,1.0,1.0,0.08333333333333333,,,,,,,,,True,,,,,,,,,,,,,,,,,,
224,1610612748,Eddie Jones,Eddie Jones,224,MIA,5437.0,91,22.0,180,176,79,104,18.0,356,1.0,8,170,5.0,9.0,1.0,22.0,3.0,3.0,9.0,11.0,4.0,1.0,1.0,,2.0,1.0,9.0,13.0,79,2.0,11.5,0.5,0.041666666666666664,0.15,0.06521739130434782,0.045454545454545456,0.03225806451612903,0.16666666666666666,0.125,0.05,0.5499474999999999,4.2,0.4388888888888889,4.0,5.0,1.0,1.0,1.0,1.0,5.0,19.0,2.0,2.0,4.0,2.0,3.0,8.0,6.0,,2.0,1.0,2.0,8.0,0.6,1.0,0.625,1.0,0.6666666666666666,0.4,0.6666666666666666,0.3888888888888889,0.40476190476190477,0.6666666666666666,0.4,0.25,0.8,0.8,0.75,0.3333333333333333,1.0,,0.1111111111111111,1.0,0.85,0.50065,0.5149722222222223,0.21052631578947367,0.42105263157894735,1.0,2.0,,1.0,3.0,,1.0,1.0,9.0,1.0,5.0,2.0,12.0,3.0,1.0,6.0,1.0,4.0,6.0,9.0,1.0,,3.0,1.0,3.0,1.0,,5.0,2.0,1.0,1.0,,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6,,,0.05263157894736842,0.5,0.1,0.5,0.5,,,,0.15,0.3333333333333333,0.3333333333333333,1.0,0.45,0.1111111111111111,0.1111111111111111,1.0,0.1111111111111111,,0.5555555555555556,0.2,0.1111111111111111,0.05,0.125,24.941666666666666,,3.0,0.25,,4.0,3.0,1.0,1.0,2.0,1.0,,,,0.019230769230769232,0.045454545454545456,0.02702702702702703,,,,4.0,1.0,1.0,,1.0,1.0,,1.0,,0.05555555555555555,0.07692307692307693,,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,True,,,,,,,,,,,,,,,,,,
406,1610612748,Shaquille O'Neal,Shaquille O'Neal,406,MIA,4780.0,80,-1.0,147,152,42,69,11.0,299,,36,155,2.0,4.0,1.0,10.0,2.0,9.0,12.0,15.0,2.0,,3.0,2.0,5.0,,6.0,13.0,42,3.0,33.33333333333333,0.6,0.15,0.15384615384615385,0.1506849315068493,0.125,0.2,0.25,,,0.4755138888888889,3.261111111111111,0.2857142857142857,16.0,19.0,4.0,4.0,6.0,6.0,23.0,53.0,4.0,5.0,8.0,9.0,11.0,21.0,22.0,,2.0,2.0,2.0,21.0,0.4782608695652174,0.55,0.6388888888888888,0.8,0.8181818181818182,0.6388888888888888,0.8,0.8181818181818182,0.5520833333333334,0.8,0.65625,0.5277777777777778,0.8421052631578947,0.8421052631578947,0.5625,0.8,1.0,0.25,0.5454545454545454,1.0,0.5277777777777778,0.51094,0.47934545454545446,0.1509433962264151,0.39622641509433965,7.0,17.0,,,,,,,,,,,,7.0,,,3.0,24.0,,,,1.0,1.0,,2.0,2.0,2.0,27.0,,13.0,2.0,,,,,,,,0.027777777777777776,,0.07142857142857142,,0.4722222222222222,0.4117647058823529,0.4375,,,,,,,,,,,,,,,,,0.2826086956521739,0.2826086956521739,,,1.0,0.06666666666666667,,2.0,2.0,,3.0,3.0,,,1.0,,0.07142857142857142,,0.05263157894736842,,,,6.0,,1.0,,1.0,3.0,,,0.058823529411764705,0.16666666666666666,0.08333333333333333,,,,,,,,,0.08333333333333333,0.2857142857142857,,,True,,,,,,,,,,,,,,,,,,
297,1610612748,Alonzo Mourning,Alonzo Mourning,297,MIA,2014.0,34,-10.0,69,68,36,46,5.0,137,,5,69,1.0,1.0,1.0,2.0,,4.0,5.0,7.0,1.0,1.0,2.0,1.0,4.0,2.0,6.0,10.0,36,2.0,18.91891891891892,0.5,0.14814814814814814,,0.1111111111111111,0.42857142857142855,0.1,,,,0.44765999999999995,5.619999999999999,0.5217391304347826,2.0,2.0,,,2.0,2.0,4.0,16.0,1.0,1.0,4.0,4.0,5.0,11.0,4.0,1.0,4.0,4.0,4.0,11.0,0.5,0.6666666666666666,0.8,1.0,0.8,0.8,1.0,0.8,0.8,1.0,0.7857142857142857,0.4,1.0,1.0,1.0,,,,0.4,1.0,0.4,,0.44765999999999995,0.25,0.6875,2.0,3.0,,,,,,,,,,,,8.0,,,3.0,4.0,,,,,,,,2.0,1.0,11.0,,4.0,2.0,,2.0,,,,,,,,,0.5,0.6,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,0.5,0.5,,,1.0,0.5,,,,1.0,1.0,2.0,,1.0,,,0.05555555555555555,0.125,0.07692307692307693,,,2.0,2.0,,,,1.0,1.0,,,,0.16666666666666666,,,,,,,,0.3333333333333333,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,
