EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,PenaltyOffPossPct,LongMidRangeFGA,FG2A,PenaltyFG2A,Usage,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,FG2M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,ShortMidRangeFGM,Corner3FGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,AtRimAssists,BadPassSteals,NonShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,RecoveredBlocks,3SecondViolations,BlocksRecoveredPct,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,Technical Free Throw Trips,OffAtRimReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,SecondChanceFtPoints,PtsPutbacks,SelfOReb,BadPassTurnovers,Travels,BlockedShortMidRange,OffArc3ReboundPct,SelfORebPct,SecondChanceTurnovers,2pt And 1 Free Throw Trips,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,HeaveAttempts,LongMidRangePctBlocked,on,LostBallOutOfBoundsTurnovers,OffShortMidRangeReboundPct,PenaltyCorner3FGM,Fg3aBlocked,ShortMidRangeAssists,FTOffRebounds,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,Defensive 3 Seconds Violations,ShortMidRangePctAssisted,HeaveMakes,DefensiveGoaltends,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3
1000,1610612748,Shandon Anderson,Shandon Anderson,1000,MIA,784.0,13,-10.0,25,27,16,21,2.0,52,33,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,16,0.14285714285714285,0.3333333333333333,0.2,0.5,0.3333333333333333,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
120,1610612748,Steven Smith,Steven Smith,120,MIA,115.0,2,,4,3,4,2,,7,2,,,,,,,,,,,,,4,,,,,,1.0,1.0,1.0,1.0,25.0,1.0,0.3743,0.3743,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1720,1610612748,Michael Doleac,Michael Doleac,1720,MIA,3732.0,62,-7.0,120,123,63,75,14.0,243,130,,,,,2.0,8.0,12.0,14.0,1.0,1.0,11.0,13.0,63,0.2222222222222222,0.14285714285714285,0.2,0.125,0.18181818181818182,0.525,11.0,16.0,7.0,14.5985401459854,0.6875,0.4008812500000001,0.40834285714285706,13.0125,1.0,3.0,1.0,2.0,1.0,1.0,2.0,6.0,7.0,2.0,16.0,1.0,2.0,2.0,5.0,10.0,14.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,0.4375,0.5,0.7142857142857143,0.4375,0.5,0.7142857142857143,0.47058823529411764,0.5,0.7142857142857143,0.1875,0.3333333333333333,1.0,0.3333333333333333,0.4,0.023809523809523808,0.08333333333333333,0.037037037037037035,0.037037037037037035,0.3333333333333333,0.23529411764705882,0.2727272727272727,0.1875,0.3333333333333333,0.5,1.0,0.125,0.5454545454545454,0.5454545454545454,1.0,1.0,0.5,1.0,0.14285714285714285,1.0,0.1875,0.6001,0.058823529411764705,0.058823529411764705,0.125,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
2039,1610612748,Keyon Dooling,Keyon Dooling,2039,MIA,2298.0,38,-7.0,69,74,41,41,8.0,143,73,2.0,2.0,1.0,4.0,,4.0,4.0,4.0,2.0,1.0,,8.0,41,0.17391304347826086,,0.125,,,0.5942028985507246,5.0,11.0,8.0,23.076923076923077,0.35714285714285715,0.44229642857142853,0.44297999999999993,11.2,2.0,3.0,,,2.0,3.0,3.0,2.0,6.0,5.0,20.0,,,,6.0,17.0,2.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,6.0,1.0,,,,17.0,2.0,0.16666666666666666,0.16666666666666666,0.5454545454545454,,0.75,0.5357142857142857,,0.6,0.5882352941176471,,0.6538461538461539,0.09090909090909091,0.3333333333333333,,1.0,,,,,,,0.18181818181818182,0.2,0.21428571428571427,0.6666666666666666,1.0,,0.21428571428571427,0.4,0.4,0.5,,,,0.3,0.6666666666666666,0.42857142857142855,,0.06666666666666667,0.08333333333333333,,0.85,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,5.0,10.0,3.0,2.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.07142857142857142,1.0,1.0,1.0,0.14285714285714285,0.2,25.400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
297,1610612748,Alonzo Mourning,Alonzo Mourning,297,MIA,275.0,5,-2.0,8,8,8,2,,16,7,,,,,1.0,1.0,2.0,2.0,,,,1.0,8,0.5,0.5,0.5,,0.5,1.0,,1.0,1.0,25.0,,0.3561,0.3561,8.1,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1800,1610612748,Damon Jones,Damon Jones,1800,MIA,1530.0,26,2.0,54,52,25,36,7.0,106,57,5.0,7.0,3.0,16.0,1.0,,1.0,2.0,1.0,,1.0,2.0,25,,0.2,0.05,,,0.46296296296296297,,,,12.698412698412698,,0.52824,0.5319,,,,,,,,,,,3.0,6.0,,,,,2.0,,,,1.0,,1.0,2.0,,,2.0,2.0,,,,3.0,,,,,2.0,,,,,,,0.3,,,0.4166666666666667,,0.5,,,,1.0,,0.05,,0.041666666666666664,,,,,,,,,,,,,,,,,,1.0,,,,,0.3333333333333333,,,1.0,4.0,1.0,1.0,5.0,1.0,2.0,,,4.0,2.0,1.0,1.0,,0.2,0.2,1.0,,,0.2,,,,0.8,1.0,25.28,,,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.2,1.0,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
2446,1610612748,Rasual Butler,Rasual Butler,2446,MIA,1225.0,20,-3.0,37,39,20,23,5.0,76,45,3.0,3.0,1.0,6.0,,,,,,,1.0,3.0,20,,,,,,0.5405405405405406,4.0,4.0,3.0,20.930232558139537,0.4444444444444444,0.4275111111111112,0.38899,19.375,,,,,,,,1.0,1.0,,5.0,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.25,,,0.2777777777777778,0.75,,0.2777777777777778,0.75,,,,,,,,,,,,,,,,,,,0.25,0.25,1.0,,,,,,0.5555555555555556,0.4536,,,0.6,,,1.0,2.0,3.0,1.0,1.0,5.0,2.0,,,3.0,3.0,2.0,,,1.0,0.2,0.2,0.5555555555555556,,,0.2222222222222222,0.5,0.5,1.0,0.3333333333333333,0.2,24.42,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,0.5,0.2,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
2548,1610612748,Dwyane Wade,Dwyane Wade,2548,MIA,3091.0,52,-12.0,99,102,45,63,13.0,201,114,6.0,8.0,2.0,18.0,,,,4.0,3.0,1.0,2.0,2.0,45,,,,,,0.45454545454545453,16.0,29.0,13.0,39.47368421052632,0.5161290322580645,0.458741935483871,0.4415933333333333,11.455172413793106,6.0,9.0,2.0,3.0,2.0,5.0,4.0,6.0,13.0,17.0,43.0,2.0,4.0,6.0,2.0,10.0,8.0,1.0,1.0,3.0,,4.0,3.0,,1.0,2.0,4.0,2.0,,,20.0,7.0,4.0,1.0,4.0,10.0,,0.3076923076923077,0.36363636363636365,0.4482758620689655,0.5,0.15384615384615385,0.41935483870967744,0.5,0.13333333333333333,0.524390243902439,0.6,0.2631578947368421,0.034482758620689655,0.1111111111111111,,0.75,,0.07894736842105263,0.14285714285714285,0.08888888888888889,0.08,,,,0.2903225806451613,0.6666666666666666,0.75,0.16666666666666666,0.12903225806451613,0.375,0.375,0.5,0.75,0.6666666666666666,,0.3333333333333333,0.4,0.3548387096774194,0.4484333333333333,0.18421052631578946,0.19444444444444445,0.13953488372093023,0.23255813953488372,1.0,,,2.0,2.0,,2.0,2.0,6.0,18.0,,2.0,4.0,2.0,3.0,,,,0.06451612903225806,0.25,0.25,,,,,0.06451612903225806,0.13333333333333333,24.85,1.0,,0.25,,,,2.0,,2.0,,0.14285714285714285,,,,,,,,,,,,,,,,,2.0,4.0,1.0,1.0,1.0,3.0,0.16666666666666666,0.06666666666666667,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
2617,1610612748,Udonis Haslem,Udonis Haslem,2617,MIA,2703.0,45,-2.0,89,91,42,49,9.0,180,96,3.0,3.0,3.0,6.0,1.0,5.0,8.0,12.0,,,2.0,3.0,42,0.19230769230769232,0.1111111111111111,0.17142857142857143,0.16666666666666666,0.14285714285714285,0.47191011235955055,1.0,8.0,4.0,11.0,0.125,0.5003875,0.5538,4.3125,4.0,5.0,,1.0,2.0,3.0,2.0,,4.0,4.0,12.0,,1.0,2.0,2.0,8.0,8.0,1.0,1.0,3.0,2.0,4.0,1.0,,,,1.0,,,,5.0,2.0,1.0,,1.0,8.0,,1.0,1.0,0.5,,0.5,0.5,,0.5,0.6,0.5,0.6666666666666666,0.125,,0.5,1.0,0.4,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,0.09090909090909091,0.3333333333333333,0.625,0.8,0.8,1.0,0.25,,,,1.0,,,0.75,0.6666666666666666,0.625,0.6309,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.6666666666666666,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,2.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
224,1610612748,Eddie Jones,Eddie Jones,224,MIA,2445.0,41,8.0,81,81,40,48,9.0,162,79,2.0,2.0,2.0,4.0,1.0,5.0,7.0,8.0,2.0,,,4.0,40,0.21739130434782608,0.1,0.18181818181818182,0.2,0.14285714285714285,0.49382716049382713,5.0,6.0,4.0,13.978494623655914,0.5,0.48907000000000006,0.4882916666666666,15.600000000000001,1.0,1.0,,,1.0,1.0,,2.0,3.0,3.0,15.0,,1.0,3.0,1.0,7.0,4.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,4.0,1.0,1.0,1.0,1.0,7.0,1.0,0.6666666666666666,0.6666666666666666,0.5,,0.25,0.6,0.5,0.4166666666666667,0.625,0.5,0.5,,,,,0.25,,0.16666666666666666,0.029411764705882353,,,0.2222222222222222,0.2222222222222222,0.1,1.0,1.0,1.0,,0.4,0.4,0.5,,,,0.16666666666666666,1.0,0.5,0.38565,0.09090909090909091,0.14285714285714285,0.2,0.4666666666666667,,1.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,6.0,2.0,,2.0,1.0,1.0,0.5,0.5,0.4,,,0.2,0.5,0.5,1.0,0.2,0.16666666666666666,24.025,,,,1.0,,1.0,,,,,,,0.5,0.5,0.5,,1.0,1.0,1.0,1.0,2.0,0.5,0.3333333333333333,,,0.3333333333333333,0.16666666666666666,,,,,,,0.2,,,,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,,,
