EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,AtRimFGM,PenaltyAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,FG2M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,NonShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFtPoints,PtsPutbacks,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,LiveBallTurnoverPct,DefFTReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Steals,BadPassSteals,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,LongMidRangeAssists,OffShortMidRangeReboundPct,ThreePtAssists,Arc3Assists,on,SelfOReb,OffAtRimReboundPct,SelfORebPct,HeaveAttempts,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,LostBallSteals,StepOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,Fg3aBlocked,BadPassOutOfBoundsTurnovers,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,FTOffRebounds,Corner3PctBlocked,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
1032,1610612765,Darvin Ham,Darvin Ham,1032,DET,552.0,9,1.0,19,17,16,17,2,36,1.0,1.0,1.0,2.0,2.0,14,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,16,1.0,0.5,0.5,1.0,1.0,9.523809523809524,0.125,0.1111111111111111,0.16666666666666666,1.0,1.0,1.0,0.5997,0.5997,0.5,0.5,1.0,0.8421052631578947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,1610612765,Carlos Arroyo,Carlos Arroyo,2306,DET,1256.0,21,-10.0,42,40,32,40,7,82,3.0,2.0,12.0,4.0,18.0,49,9.0,4.0,14.0,,,,3.0,1.0,2.0,6.0,,14.0,32,1.0,0.6,0.5833333333333334,,,30.612244897959183,,,,0.25,0.2222222222222222,0.25,0.388025,0.37674444444444444,,,0.7777777777777778,0.7619047619047619,2.0,1.0,5.0,9.0,7.0,1.0,3.0,2.0,5.0,4.0,10.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,0.2857142857142857,0.2857142857142857,0.5833333333333334,0.3333333333333333,0.5555555555555556,0.5833333333333334,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.25,0.1111111111111111,0.17647058823529413,0.3333333333333333,1.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.75,0.5555555555555556,0.5555555555555556,0.2,0.5,0.3111,0.1111111111111111,13.091666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,1610612765,Tayshaun Prince,Tayshaun Prince,2419,DET,330.0,6,,12,11,9,11,2,23,,,1.0,,2.0,13,1.0,,2.0,,,,,,,,,2.0,9,,1.0,1.0,,,7.142857142857142,,,,,,,0.3355,0.3355,,,1.0,0.75,,,1.0,1.0,1.0,,,,1.0,,2.0,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545,1610612765,Darko Milicic,Darko Milicic,2545,DET,1343.0,22,-10.0,45,42,35,42,7,87,,,7.0,1.0,5.0,49,3.0,,2.0,,1.0,1.0,4.0,2.0,3.0,1.0,,2.0,35,1.0,0.2857142857142857,0.3333333333333333,,,15.384615384615383,0.05263157894736842,0.047619047619047616,0.08333333333333333,,,,0.36355714285714286,0.3505,,,0.4,0.7777777777777778,,,,4.0,2.0,1.0,2.0,3.0,1.0,,4.0,1.0,1.0,1.0,2.0,,2.0,3.0,,,,0.2857142857142857,0.5,0.3333333333333333,0.2857142857142857,0.5,0.3333333333333333,0.5,0.2,,0.10526315789473684,0.3333333333333333,,,,,,0.5714285714285714,,,,,0.3832,0.6,13.785714285714286,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2648,1610612765,Ronald Dupree,Ronald Dupree,2648,DET,1146.0,19,-7.0,39,37,32,37,5,76,1.0,,4.0,,2.0,40,2.0,,,,,,1.0,1.0,1.0,,,,32,,0.25,,,,9.090909090909092,,,,0.25,,0.25,0.38549999999999995,0.35405,,,,0.8205128205128205,1.0,,,3.0,1.0,1.0,1.0,2.0,,2.0,,,,,,,,1.0,,1.0,1.0,0.25,1.0,,0.25,1.0,,1.0,,,,,,,1.0,1.0,1.0,0.75,,,,,0.5462,1.0,14.525,,,,,1.0,,,,,,,,,,,,0.3333333333333333,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1610612765,Lindsey Hunter,Lindsey Hunter,283,DET,1107.0,18,-13.0,38,35,31,35,6,73,1.0,1.0,4.0,,7.0,42,3.0,,5.0,,,,2.0,,,2.0,,5.0,31,,0.4375,0.4166666666666667,,,22.727272727272727,,,,0.14285714285714285,0.2,0.5714285714285714,0.4408785714285714,0.47237,,,0.7142857142857143,0.8157894736842105,1.0,1.0,1.0,2.0,2.0,,,,1.0,,4.0,,,,,2.0,,2.0,1.0,,,0.5,,0.3333333333333333,0.5,,0.5,,,0.25,0.125,,,0.3333333333333333,1.0,1.0,,0.2857142857142857,0.5,0.5,,1.0,,,12.05,,1.0,,,,1.0,,2.0,,2.0,,,,,,0.5,,,,0.14285714285714285,,,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.5,0.5,1.0,0.4,0.5,0.5,25.3,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,1610612765,Antonio McDyess,Antonio McDyess,686,DET,270.0,4,1.0,9,8,9,8,1,17,,,,1.0,1.0,6,,1.0,1.0,,1.0,1.0,3.0,,,2.0,1.0,1.0,9,,0.5,0.5,,,10.0,0.25,0.25,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,,2.0,,2.0,2.0,,,,,,,,,,0.5,0.5,,0.4,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,197.0,3,-3.0,6,5,3,5,2,11,1.0,1.0,2.0,,2.0,9,1.0,,2.0,,1.0,1.0,1.0,,,,,2.0,3,,0.5,1.0,,,25.0,0.25,0.25,0.3333333333333333,0.5,1.0,0.5,0.5973,0.7698,,,1.0,0.5,1.0,1.0,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,1.0,1.0,0.5,,1.0,0.5,,1.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,0.4248,,6.6,,1.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,1610612765,Elden Campbell,Elden Campbell,922,DET,514.0,9,-9.0,15,15,8,15,3,30,1.0,1.0,2.0,,,23,2.0,,,1.0,1.0,1.0,4.0,,,,,,8,,,,0.5,1.0,11.11111111111111,0.125,0.1111111111111111,0.25,0.5,0.5,0.5,0.42175,0.42175,,,,0.5333333333333333,,,,,,,,,,,,1.0,2.0,1.0,5.0,1.0,1.0,3.0,,,,,,,,,,,0.5,0.3333333333333333,0.4,,,0.5,,,,,,,,,,,4.7,,1.0,,,1.0,,,,,,,,,,,,0.5,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,1610612765,Darvin Ham,Darvin Ham,1032,DET,494.0,8,-16.0,15,21,10,16,3,36,2.0,1.0,2.0,,2.0,28,1.0,,,,2.0,2.0,2.0,,,,,,10,,0.5,,,,10.526315789473685,0.2857142857142857,0.2857142857142857,,1.0,1.0,1.0,0.43105000000000004,0.2937,,,,0.6666666666666666,1.0,,,,1.0,,1.0,,,2.0,,,,,,,,,,1.0,1.0,0.5,,,0.5,,,,,,,,,,0.5,0.5,1.0,,,,,,0.2937,,1.8,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
