EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,SecondChanceArc3FGM,SecondChanceFtPoints,PtsUnassisted3s,PtsPutbacks,Fg3aBlocked,FTDefRebounds,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,ShortMidRangePctBlocked,OffCorner3ReboundPct,3SecondViolations,Defensive 3 Seconds Violations,on
133,1610612745,David Wesley,David Wesley,133,HOU,15267.0,254.0,-21.0,471.0,465,180.0,158,63.0,936,3.0,10.0,1.0,3.0,1.0,6.0,19.0,5.0,12.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,3.0,4.0,9.0,30.0,8.0,18.0,8.0,50.0,545,2.0,2.0,1.0,2.0,7.0,3.0,7.0,4.0,7.0,1.0,19.0,10.0,8.0,24.0,1.0,5.0,3.0,5.0,13.0,8.0,21.0,5.0,3.0,9.0,1.0,3.0,50.0,2.0,1.0,1.0,5.0,10.0,15.0,4.0,19.0,1.0,8.0,4.0,4.0,3.0,2.0,2.0,5.0,1.0,1.0,8.0,2.0,6.0,16.0,1.0,1.0,11.0,2.0,3.0,4.0,1.0,19.0,180.0,1.0,0.5555555555555556,0.5555555555555556,1.0,0.4444444444444444,0.5,0.5714285714285714,0.47058823529411764,0.3,1.0,0.42857142857142855,0.4375,0.875,0.6428571428571429,0.46078431372549017,0.875,0.6428571428571429,0.375,0.16666666666666666,0.4,0.05263157894736842,10.905730129390019,0.375,0.07142857142857142,0.05847953216374269,0.006329113924050633,0.09803921568627451,0.03508771929824561,0.06756756756756757,0.013953488372093023,0.013888888888888888,0.047619047619047616,0.0625,0.05555555555555555,0.056338028169014086,0.1,0.09090909090909091,0.04,0.20833333333333334,0.3,0.5,0.6666666666666666,0.020833333333333332,0.3958333333333333,0.3157894736842105,0.3333333333333333,0.5,0.25,0.4166666666666667,0.4166666666666667,1.0,0.125,0.5,0.5,1.0,0.25,1.0,1.0,0.25,0.21428571428571427,0.3333333333333333,0.21428571428571427,0.3333333333333333,0.2857142857142857,0.75,0.5833333333333334,0.6,0.5078117021276596,0.498325,0.5097807692307692,0.08,0.125,0.14,0.38,13.123333333333333,25.788888888888888,0.3821656050955414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1503,1610612745,Tracy McGrady,Tracy McGrady,1503,HOU,18111.0,302.0,-21.0,557.0,552,212.0,193,69.0,1109,31.0,52.0,13.0,17.0,18.0,24.0,55.0,3.0,6.0,,2.0,1.0,3.0,14.0,40.0,4.0,6.0,14.0,61.0,125.0,17.0,46.0,42.0,215.0,642,8.0,15.0,2.0,6.0,26.0,26.0,42.0,7.0,17.0,22.0,95.0,30.0,92.0,24.0,,40.0,14.0,5.0,32.0,15.0,47.0,11.0,4.0,23.0,2.0,7.0,109.0,1.0,10.0,1.0,9.0,29.0,40.0,12.0,52.0,4.0,11.0,9.0,2.0,13.0,3.0,12.0,13.0,1.0,,26.0,11.0,13.0,20.0,,2.0,51.0,6.0,,22.0,6.0,95.0,212.0,1.0,0.2459016393442623,0.25862068965517243,0.47058823529411764,0.3695652173913043,0.3333333333333333,0.4117647058823529,0.3695652173913043,0.488,0.5333333333333333,0.6190476190476191,0.5058479532163743,0.5238095238095238,0.6186440677966102,0.5569948186528497,0.5909090909090909,0.6785714285714286,0.26900584795321636,0.04,0.07692307692307693,0.01818181818181818,34.488188976377955,0.5,0.0625,0.14356435643564355,0.05555555555555555,0.15789473684210525,0.014925373134328358,0.14671814671814673,0.044534412955465584,0.05,0.02127659574468085,0.1038961038961039,0.17073170731707318,0.16666666666666666,0.13636363636363635,0.23076923076923078,0.047058823529411764,0.30409356725146197,0.5961538461538461,0.6458333333333334,0.16129032258064516,0.10526315789473684,0.3216374269005848,0.43636363636363634,0.4444444444444444,0.375,0.03508771929824561,0.5,0.5,1.0,0.23391812865497075,0.35,0.358974358974359,0.35714285714285715,0.09523809523809523,,,0.19047619047619047,0.288135593220339,0.7647058823529411,0.05084745762711865,0.3333333333333333,0.23728813559322035,0.42857142857142855,0.5730994152046783,0.35,0.47146929824561407,0.5356764705882353,0.4478194915254237,0.12299465240641712,0.15602836879432624,0.12093023255813953,0.4418604651162791,9.657600000000002,25.05652173913044,0.38061041292639136,7.0,12.0,6.0,2.0,4.0,27.0,6.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,10.0,7.0,1.0,2.0,10.0,4.0,0.021739130434782608,0.025,0.1,0.07462686567164178,0.030303030303030304,0.4,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5714285714285714,0.5833333333333334,0.14285714285714285,0.5,1.0,0.021739130434782608,,,,,True
1763,1610612745,Ryan Bowen,Ryan Bowen,1763,HOU,6196.0,103.0,-29.0,186.0,195,82.0,63,22.0,381,3.0,5.0,2.0,2.0,3.0,4.0,13.0,,,,,,,,,,,,7.0,21.0,,,2.0,16.0,237,1.0,4.0,,,3.0,3.0,6.0,,,,6.0,12.0,2.0,,,,,3.0,3.0,2.0,5.0,2.0,,2.0,1.0,,12.0,1.0,3.0,1.0,1.0,6.0,7.0,5.0,12.0,,5.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,,6.0,4.0,7.0,20.0,,1.0,3.0,1.0,,2.0,,6.0,82.0,6.0,0.8571428571428571,0.8571428571428571,,,,,,0.3333333333333333,0.25,0.5,0.3333333333333333,0.25,0.5,0.36363636363636365,0.3,0.5,,0.14285714285714285,0.2,,13.270142180094787,0.5,0.3333333333333333,0.09375,0.05172413793103448,0.0625,0.058823529411764705,0.0875,0.05333333333333334,0.03571428571428571,,0.25,0.08333333333333333,,0.09090909090909091,,,0.23809523809523808,0.6,0.75,0.6666666666666666,0.14285714285714285,0.6190476190476191,0.3076923076923077,0.3076923076923077,1.0,,,,,,,,,,,,,0.3333333333333333,1.0,,,,,0.23809523809523808,,0.43467619047619055,0.42989999999999995,0.44386666666666663,0.09090909090909091,0.09090909090909091,0.1875,0.375,12.242857142857142,,0.44086021505376344,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,0.05555555555555555,0.08333333333333333,,,,,0.25,,,,,,0.6666666666666666,0.2,,,True
1909,1610612745,Scott Padgett,Scott Padgett,1909,HOU,5069.0,84.0,-14.0,156.0,153,48.0,30,25.0,309,2.0,4.0,1.0,1.0,,,3.0,,,,,,,5.0,11.0,1.0,,1.0,2.0,7.0,5.0,11.0,2.0,21.0,191,,,1.0,1.0,3.0,1.0,2.0,,1.0,,2.0,4.0,,15.0,,11.0,5.0,,2.0,2.0,4.0,1.0,1.0,1.0,1.0,,10.0,2.0,2.0,,,6.0,6.0,4.0,10.0,,1.0,1.0,,2.0,1.0,2.0,1.0,,,3.0,1.0,12.0,18.0,1.0,,2.0,,,1.0,,2.0,48.0,4.0,1.0,1.0,1.0,0.45454545454545453,1.0,,0.45454545454545453,0.2857142857142857,,0.5,0.5277777777777778,1.5,0.3333333333333333,0.5526315789473685,1.5,0.3333333333333333,0.6111111111111112,,,,11.956521739130434,0.6666666666666666,,0.10714285714285714,0.0392156862745098,,0.07142857142857142,0.08450704225352113,0.05063291139240506,0.043478260869565216,0.09523809523809523,0.09090909090909091,0.09090909090909091,0.13043478260869565,,,,0.2222222222222222,0.5,0.5,1.0,,0.16666666666666666,,,,,,,,0.6111111111111112,0.45454545454545453,0.5,1.0,,,,1.0,0.3333333333333333,1.0,,,0.3333333333333333,,0.8333333333333334,0.45454545454545453,0.49662777777777783,,0.42618333333333336,0.05263157894736842,0.125,0.14285714285714285,0.09523809523809523,7.714285714285714,25.481818181818177,0.3076923076923077,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,0.09090909090909091,0.09090909090909091,,,0.16666666666666666,,,,,,,,1.0,1.0,,,,,,True
2229,1610612745,Mike James,Mike James,2229,HOU,9220.0,154.0,12.0,286.0,280,121.0,136,29.0,566,9.0,17.0,2.0,5.0,7.0,6.0,16.0,,2.0,,,,2.0,,6.0,,,1.0,20.0,40.0,,8.0,20.0,60.0,310,,,,,2.0,5.0,13.0,,3.0,17.0,27.0,6.0,34.0,,,6.0,,5.0,10.0,1.0,11.0,,1.0,2.0,3.0,5.0,23.0,,1.0,,4.0,6.0,10.0,1.0,11.0,1.0,4.0,3.0,1.0,6.0,1.0,5.0,2.0,1.0,,8.0,6.0,3.0,14.0,,,21.0,1.0,,9.0,2.0,27.0,121.0,3.0,0.15,0.15,,,,,,0.5,,0.38461538461538464,0.4166666666666667,,0.3125,0.5172413793103449,1.0,0.54,0.16666666666666666,0.125,0.23529411764705882,0.0625,20.560747663551403,0.75,,0.05714285714285714,0.011627906976744186,0.13333333333333333,,0.07407407407407407,0.008620689655172414,,,0.075,,0.06976744186046512,0.13636363636363635,0.125,0.045454545454545456,0.3541666666666667,0.5294117647058824,0.6923076923076923,0.2222222222222222,0.14583333333333334,0.3333333333333333,0.375,0.4,0.16666666666666666,0.041666666666666664,,,,0.125,,,,,,,,0.3125,0.4,0.125,,0.0625,,0.5208333333333334,,0.4726104166666667,,0.47839687499999994,0.16071428571428573,0.1875,0.03333333333333333,0.45,9.127500000000001,24.95,0.4230769230769231,,,5.0,,2.0,,,,,1.0,,1.0,,,,2.0,1.0,1.0,,2.0,1.0,,,,,0.058823529411764705,0.5,0.7142857142857143,0.7142857142857143,,,,,,,,,,,,True
682,1610612745,Bob Sura,Bob Sura,682,HOU,10106.0,168.0,-29.0,314.0,313,120.0,96,42.0,627,6.0,17.0,3.0,7.0,3.0,3.0,9.0,2.0,4.0,,,1.0,2.0,5.0,9.0,,4.0,5.0,12.0,29.0,7.0,13.0,8.0,53.0,371,1.0,3.0,,,3.0,5.0,12.0,5.0,7.0,4.0,29.0,8.0,16.0,21.0,,9.0,5.0,1.0,9.0,4.0,13.0,1.0,3.0,3.0,1.0,5.0,30.0,2.0,3.0,,4.0,15.0,20.0,5.0,25.0,1.0,7.0,3.0,4.0,8.0,1.0,6.0,2.0,2.0,,10.0,4.0,3.0,14.0,1.0,,12.0,,,4.0,2.0,29.0,120.0,3.0,0.3333333333333333,0.3333333333333333,1.0,0.5384615384615384,,0.7142857142857143,0.5384615384615384,0.41379310344827586,0.3333333333333333,0.4166666666666667,0.5357142857142857,0.3333333333333333,0.6578947368421053,0.5520833333333334,0.375,0.6304347826086957,0.30952380952380953,0.034482758620689655,0.058823529411764705,,16.11111111111111,0.8,,0.13392857142857142,0.028037383177570093,0.13333333333333333,0.05128205128205128,0.13380281690140844,0.03424657534246575,,0.03571428571428571,0.045454545454545456,0.1,0.22916666666666666,0.125,0.16666666666666666,0.045454545454545456,0.40476190476190477,0.35294117647058826,0.375,0.5,0.07142857142857142,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.09523809523809523,0.5,0.5,1.0,0.21428571428571427,0.5555555555555556,0.5555555555555556,1.0,,,,,0.3684210526315789,0.42857142857142855,0.10526315789473684,0.5,0.2631578947368421,0.8,0.7142857142857143,0.5555555555555556,0.5234285714285714,0.58245,0.5099105263157896,0.08695652173913043,0.12121212121212122,0.05660377358490566,0.5471698113207547,6.365517241379309,24.546153846153842,0.3821656050955414,1.0,3.0,3.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,0.125,0.05263157894736842,0.05263157894736842,,1.0,1.0,,1.0,0.3333333333333333,,,,,,0.09090909090909091,,,True
2397,1610612745,Yao Ming,Yao Ming,2397,HOU,11804.0,197.0,-30.0,374.0,364,133.0,106,47.0,738,35.0,41.0,14.0,15.0,24.0,2.0,6.0,,,,,,,,,,,,49.0,71.0,,,33.0,131.0,440,8.0,13.0,,,26.0,15.0,18.0,,,13.0,43.0,72.0,26.0,,,,,6.0,2.0,2.0,4.0,2.0,,1.0,,1.0,10.0,4.0,18.0,,3.0,20.0,29.0,22.0,51.0,1.0,2.0,2.0,,5.0,,2.0,11.0,3.0,,16.0,7.0,13.0,27.0,1.0,7.0,47.0,5.0,,22.0,4.0,43.0,133.0,1.0,0.7346938775510204,0.8780487804878049,,,,,,0.6901408450704225,0.6153846153846154,0.8333333333333334,0.6901408450704225,0.6153846153846154,0.8333333333333334,0.7119565217391305,0.65,0.8269230769230769,,0.08450704225352113,0.0975609756097561,,25.29274004683841,0.3125,,0.14705882352941177,0.15517241379310345,0.09375,0.0851063829787234,0.13690476190476192,0.13496932515337423,0.10204081632653061,0.12121212121212122,0.1111111111111111,0.19230769230769232,0.16071428571428573,0.12,,0.0625,0.5774647887323944,0.8536585365853658,0.9459459459459459,0.7714285714285715,0.3380281690140845,0.08450704225352113,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,,,,,0.8333333333333334,0.9333333333333333,,,,,0.5774647887323944,,0.48389859154929576,0.5324749999999999,0.5321166666666667,0.25,0.25,0.1984732824427481,0.3282442748091603,4.233802816901409,,0.35561497326203206,8.0,11.0,12.0,,10.0,,16.0,,6.0,1.0,,1.0,,,,18.0,15.0,,3.0,18.0,12.0,,,0.42857142857142855,0.19148936170212766,0.2,0.6666666666666666,0.5,0.5454545454545454,0.6666666666666666,0.8461538461538461,0.7272727272727273,,,,,0.08333333333333333,,1.0,,True
468,1610612745,Jon Barry,Jon Barry,468,HOU,9118.0,152.0,17.0,282.0,274,108.0,119,28.0,556,2.0,9.0,1.0,5.0,4.0,4.0,9.0,2.0,8.0,,1.0,1.0,6.0,8.0,12.0,,,1.0,8.0,22.0,10.0,20.0,7.0,53.0,299,,3.0,,1.0,2.0,3.0,9.0,1.0,7.0,2.0,11.0,12.0,4.0,24.0,,12.0,8.0,1.0,8.0,,8.0,,,4.0,3.0,1.0,16.0,1.0,,,8.0,9.0,23.0,1.0,24.0,,5.0,3.0,2.0,1.0,1.0,1.0,2.0,,,3.0,2.0,6.0,9.0,1.0,,8.0,,,3.0,1.0,11.0,108.0,2.0,0.75,0.75,0.8,0.5,,0.14285714285714285,0.5,0.36363636363636365,,0.3333333333333333,0.5476190476190477,,0.28125,0.5760869565217391,0.2,0.3235294117647059,0.47619047619047616,0.045454545454545456,0.1111111111111111,,15.605095541401273,0.3333333333333333,,0.08653846153846154,,0.24242424242424243,0.029411764705882353,0.12408759124087591,0.00847457627118644,,0.047619047619047616,0.022727272727272728,,0.21052631578947367,0.25925925925925924,0.16666666666666666,,0.21428571428571427,0.2222222222222222,0.25,0.5,0.09523809523809523,0.21428571428571427,0.4444444444444444,0.4444444444444444,0.75,0.19047619047619047,0.25,0.25,1.0,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.75,0.25,,,,0.3125,0.2,0.375,0.16666666666666666,0.0625,,0.6904761904761905,0.6666666666666666,0.4941892857142858,0.42825,0.508975,0.06666666666666667,0.12,0.03773584905660377,0.20754716981132076,9.75,24.185,0.3829787234042553,,2.0,2.0,,2.0,6.0,,,6.0,1.0,,,,,,,,,,,,,,0.4,,,,0.5,0.5,1.0,0.5,,,,,,,,,,True
87,1610612745,Dikembe Mutombo,Dikembe Mutombo,87,HOU,5664.0,94.0,10.0,159.0,164,56.0,64,20.0,323,5.0,8.0,4.0,7.0,3.0,,,,,,,,,,,,,,6.0,11.0,,,10.0,22.0,175,3.0,5.0,,,10.0,5.0,8.0,,,5.0,15.0,4.0,8.0,,,,,1.0,,2.0,2.0,2.0,,,,,6.0,3.0,8.0,,5.0,16.0,23.0,11.0,34.0,,2.0,2.0,,4.0,,1.0,3.0,3.0,1.0,7.0,4.0,11.0,15.0,2.0,1.0,13.0,1.0,,7.0,,15.0,56.0,1.0,0.3333333333333333,0.6666666666666666,,,,,,0.5454545454545454,0.6,0.625,0.5454545454545454,0.6,0.625,0.6470588235294118,0.625,0.75,,0.09090909090909091,0.125,,13.186813186813186,0.5714285714285714,,0.26666666666666666,0.13333333333333333,0.23809523809523808,0.1875,0.25925925925925924,0.14473684210526316,0.07407407407407407,0.2727272727272727,0.1,0.5333333333333333,0.24,0.26666666666666666,0.16666666666666666,,0.7272727272727273,0.625,0.7142857142857143,0.2,0.2727272727272727,,,,,,,,,,,,,,,,,0.875,0.5714285714285714,,,,,0.7272727272727273,,0.5256454545454546,0.5682499999999999,0.5624125,0.4117647058823529,0.4117647058823529,0.45454545454545453,0.6818181818181818,2.4909090909090907,,0.3522012578616352,3.0,5.0,1.0,,4.0,,6.0,,2.0,1.0,,1.0,,,,7.0,7.0,,,7.0,5.0,,,0.3333333333333333,0.2,0.15384615384615385,0.7142857142857143,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6,,,,,,,,1.0,True
133,1610612745,David Wesley,David Wesley,133,HOU,1547.0,26.0,8.0,46.0,47,13.0,13,9.0,93,,1.0,,,1.0,,1.0,2.0,3.0,1.0,1.0,1.0,2.0,,,,,,,3.0,2.0,3.0,1.0,7.0,45,,1.0,1.0,1.0,3.0,,1.0,1.0,2.0,,3.0,,,6.0,,,,1.0,1.0,1.0,2.0,1.0,,,1.0,,5.0,,,,1.0,1.0,2.0,,2.0,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,2.0,4.0,,,2.0,,,1.0,,3.0,13.0,,,,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,,,,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.3333333333333333,1.0,,14.545454545454545,,,0.0625,,0.16666666666666666,,0.09090909090909091,,,,,0.5,,,0.5,,0.16666666666666666,,,,0.16666666666666666,0.16666666666666666,,,,0.5,0.6666666666666666,0.6666666666666666,1.0,,,,,0.5,1.0,1.0,,,,0.6666666666666666,0.5,,,0.6666666666666666,,0.4623333333333333,0.4287,0.4793166666666666,0.14285714285714285,0.25,0.42857142857142855,0.42857142857142855,9.5,23.633333333333336,0.2826086956521739,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,0.5,,,,,,,,,,False
