EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,SecondChanceTurnovers,NonShootingFoulsDrawn,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefFTReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,Avg3ptShotDistance,ThreePtAssists,Arc3Assists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,HeaveAttempts,NonHeaveArc3FGM,BadPassTurnovers,PenaltyTurnovers,PenaltyFg3Pct,OffAtRimReboundPct,OffCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,Corner3Assists,ShortMidRangeAssists,SecondChanceFg3Pct,DefCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,BlockedLongMidRange,OffLongMidRangeReboundPct,on,LongMidRangePctBlocked,FTOffRebounds,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,SecondChanceCorner3Frequency,HeaveMakes,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,3SecondViolations
1531,1610612755,Marc Jackson,Marc Jackson,1531,PHI,1761.0,29,18,54,51,19,17,4.0,105,4.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,6.0,4.0,14.0,53,1.0,1.0,2.0,3.0,3.0,2.0,8.0,6.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,7.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,8.0,19,0.6,0.75,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,1.0,0.875,1.0,1.3333333333333333,0.16666666666666666,0.2,21.05263157894737,0.25,0.11764705882352941,0.1111111111111111,0.14285714285714285,0.11538461538461539,0.06666666666666667,0.25,0.25,0.16666666666666666,0.2,0.5,0.8333333333333334,0.8,1.0,0.5,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.5842833333333334,0.6302666666666666,0.5,0.5,0.14285714285714285,0.5714285714285714,2.1999999999999997,0.35185185185185186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
185,1610612755,Chris Webber,Chris Webber,185,PHI,2072.0,35,-15,55,63,16,30,8.0,118,,1.0,,,,,1.0,4.0,5.0,15.0,4.0,17.0,68,,1.0,,1.0,2.0,4.0,6.0,8.0,2.0,,,,1.0,1.0,4.0,1.0,5.0,1.0,1.0,,1.0,,2.0,2.0,5.0,1.0,1.0,6.0,,,2.0,1.0,1.0,,1.0,,6.0,16,0.8,0.8,0.3333333333333333,,0.5,0.38235294117647056,,0.3333333333333333,0.425,,0.5,,,33.33333333333333,0.5,0.045454545454545456,0.2,,0.07407407407407407,0.03125,,,,0.25,,0.058823529411764705,,,,0.23529411764705882,0.25,0.25,,,,,,0.17647058823529413,0.3918588235294117,0.4025666666666667,0.10526315789473684,0.11764705882352941,,0.35294117647058826,13.686666666666666,0.2909090909090909,4.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.11764705882352941,0.6666666666666666,0.041666666666666664,0.16666666666666666,0.16666666666666666,0.09090909090909091,0.5882352941176471,0.4,0.4,1.0,0.058823529411764705,1.0,1.0,1.0,0.058823529411764705,0.3333333333333333,0.5171,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
2422,1610612755,John Salmons,John Salmons,2422,PHI,219.0,4,6,8,9,8,9,,17,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
243,1610612755,Aaron McKie,Aaron McKie,243,PHI,1462.0,24,9,40,44,2,9,5.0,84,,,,,,,,,,,,,34,,,,,,,,,,,,,1.0,2.0,3.0,,3.0,,1.0,,,,1.0,,3.0,,,,,,,,,,,,,2,,,,,,,,,,,,,,2.1739130434782608,,0.1,0.125,,0.10714285714285714,,,,0.14285714285714285,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,3.0,3.0,2.0,6.0,,,,1.0,1.0,,1.0,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
2584,1610612755,Willie Green,Willie Green,2584,PHI,3958.0,66,-4,111,118,34,46,12.0,229,1.0,2.0,,,,,,1.0,6.0,9.0,9.0,27.0,127,,,1.0,2.0,3.0,9.0,16.0,2.0,10.0,,,1.0,2.0,4.0,6.0,3.0,9.0,2.0,,,1.0,,2.0,1.0,5.0,,,10.0,,,4.0,,,,,,16.0,34,0.16666666666666666,0.16666666666666666,0.6666666666666666,,0.6666666666666666,0.5,,0.5,0.5869565217391305,0.5,0.6666666666666666,,,20.0,1.0,0.09302325581395349,0.14285714285714285,0.058823529411764705,0.10526315789473684,0.06,,0.07692307692307693,0.14285714285714285,0.25,,0.1111111111111111,0.5,0.5,1.0,0.05555555555555555,,,,,,,,0.6111111111111112,0.46399999999999997,0.3982583333333333,0.18181818181818182,0.3076923076923077,0.037037037037037035,0.5925925925925926,11.766666666666667,0.3063063063063063,5.0,6.0,1.0,5.0,4.0,3.0,2.0,9.0,4.0,6.0,2.0,3.0,3.0,1.0,6.0,2.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,0.2222222222222222,0.2857142857142857,0.5,,0.06060606060606061,,0.0625,0.25,0.3333333333333333,0.8333333333333334,0.8333333333333334,,0.2777777777777778,0.2,0.2,1.0,0.2222222222222222,0.42857142857142855,,31.800000000000004,,,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.2,0.14285714285714285,0.25,0.25,1.0,0.14285714285714285,0.3333333333333333,0.5,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
2738,1610612755,Andre Iguodala,Andre Iguodala,2738,PHI,1804.0,30,-15,50,52,19,24,7.0,102,1.0,2.0,1.0,2.0,,,,3.0,2.0,9.0,2.0,6.0,67,1.0,3.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,,1.0,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,2.0,,,1.0,,,,,,4.0,19,0.5,0.5,0.2222222222222222,0.3333333333333333,1.0,0.2,0.3333333333333333,1.0,0.2727272727272727,0.3333333333333333,1.0,0.1111111111111111,0.5,20.689655172413794,,0.06666666666666667,,,0.05263157894736842,,,0.25,,,,0.2,0.5,1.0,1.0,0.3,,,,0.6666666666666666,0.5,,,0.3,0.41084000000000004,0.3466,0.09090909090909091,0.1,0.3333333333333333,0.6666666666666666,10.2,0.38,1.0,4.0,,1.0,,,,1.0,,,,1.0,2.0,1.0,5.0,,,,2.0,1.0,1.0,,,,,,,,0.1,,,,,,0.4,0.25,0.25,,0.1,,,,,,0.4111,23.6,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
947,1610612755,Allen Iverson,Allen Iverson,947,PHI,3542.0,59,-11,97,102,20,31,12.0,199,4.0,7.0,,,,,2.0,3.0,11.0,20.0,4.0,32.0,112,1.0,2.0,5.0,1.0,3.0,1.0,6.0,6.0,16.0,,2.0,,3.0,4.0,7.0,,7.0,1.0,,,,,1.0,,1.0,,,6.0,,,3.0,1.0,,1.0,1.0,1.0,6.0,20,0.2727272727272727,0.2727272727272727,0.55,0.5,0.3333333333333333,0.5384615384615384,0.8333333333333334,0.625,0.5517241379310345,0.8333333333333334,0.6,0.1,0.2857142857142857,27.027027027027025,1.0,0.10256410256410256,0.25,,0.13725490196078433,,,,,0.2857142857142857,1.0,0.2692307692307692,0.5714285714285714,0.8,0.25,0.11538461538461539,0.6666666666666666,0.6666666666666666,0.5,,,,,0.5,0.4657730769230769,0.4515625,0.10344827586206896,0.13043478260869565,0.15625,0.1875,10.765,0.20618556701030927,5.0,10.0,,1.0,5.0,1.0,2.0,6.0,1.0,,5.0,5.0,10.0,2.0,25.0,,,,2.0,1.0,1.0,,,,1.0,,0.3333333333333333,0.3333333333333333,0.23076923076923078,,,,0.3076923076923077,,0.38461538461538464,0.5,0.5,0.2,0.038461538461538464,,,,0.19230769230769232,0.25,0.37270000000000003,25.2,5.0,3.0,2.0,,,2.0,1.0,,1.0,,2.0,1.0,,1.0,,,0.4,0.4,,,1.0,0.4,,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,0.2,0.3333333333333333,1.0,,,True,,,,,,,,,,,,,,,,
2223,1610612755,Samuel Dalembert,Samuel Dalembert,2223,PHI,2125.0,35,-16,58,65,20,32,7.0,123,3.0,5.0,1.0,1.0,1.0,2.0,,,3.0,5.0,1.0,7.0,74,1.0,1.0,2.0,1.0,2.0,,2.0,4.0,2.0,,1.0,1.0,,5.0,7.0,5.0,12.0,1.0,1.0,,1.0,,2.0,2.0,5.0,1.0,,4.0,,,1.0,2.0,1.0,,2.0,2.0,2.0,20,0.6666666666666666,0.6666666666666666,0.6,1.0,0.5,0.6,1.0,0.5,0.5,1.0,0.3333333333333333,0.2,0.2,13.235294117647058,0.5,0.22727272727272727,,0.1,0.17857142857142858,0.14705882352941177,,0.25,0.42857142857142855,,1.0,1.0,0.6,0.75,0.6666666666666666,,,,,1.0,1.0,1.0,0.5,1.0,0.5506,0.5044,0.16666666666666666,0.16666666666666666,0.2857142857142857,0.2857142857142857,,0.3448275862068966,,,,,,,,,,,,1.0,1.0,,2.0,4.0,2.0,,,,,1.0,1.0,,2.0,,,,,0.4,0.16666666666666666,0.2857142857142857,,,,,,,,,,,,,0.5718,,,,,1.0,,,,,,,,,,,,0.25,,,,,,,1.0,,,,,,,1.0,,,,,1.0,0.2,True,,,,,,,,,,,,,,,,
2594,1610612755,Kyle Korver,Kyle Korver,2594,PHI,889.0,15,3,27,29,19,19,,56,,,,,,,,,,,1.0,4.0,35,,,,,,1.0,1.0,,,,,,1.0,2.0,3.0,,3.0,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,19,,,,,,0.375,,,0.375,,,,,14.814814814814813,,0.2222222222222222,0.3333333333333333,,0.25,,,,,,,,,,,,,,,,,,,1.0,0.5160374999999999,0.492675,,,,0.25,,0.7037037037037037,,,,1.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,,,,,,,,2.0,1.0,1.0,,,,,1.0,0.25,0.25,1.0,,,,0.25,,,,,,0.25,,,,0.75,1.0,,24.95,,,,,,1.0,,,,,1.0,,,,,,0.3333333333333333,0.3333333333333333,1.0,,,0.3333333333333333,,,,,,,,,,0.5,,,,,True,,,,,,,,,,,,,,,,
2668,1610612755,Josh Davis,Josh Davis,2668,PHI,266.0,4,4,9,10,9,7,,19,,,,,,,,,,,,,8,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,9,,,,,,,,,,,,,,11.11111111111111,,,1.0,,0.2,,,,,,,,,,,,,,,,,,,1.0,0.45825,0.45825,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,
