EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PtsAssisted2s,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Corner3Assists,AtRimAssists,LongMidRangeAssists,DefThreePtRebounds,FTDefRebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,PenaltyPointsPct,Avg3ptShotDistance,SecondChanceAtRimFGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsPutbacks,ShortMidRangeAssists,OffThreePtRebounds,BadPassSteals,Travels,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LongMidRangePctBlocked,OffThreePtReboundPct,OffCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,StepOutOfBoundsTurnovers,OffensiveGoaltends,OffArc3ReboundPct,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,HeaveAttempts,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedCorner3,on,3SecondViolations
1548,1610612738,Mark Blount,Mark Blount,1548,BOS,2333.0,39,13,65,68,15.0,18.0,6.0,133,2.0,5.0,2.0,2.0,1.0,3.0,4.0,3.0,12.0,6.0,56,3.0,3.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,6.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,15.0,1.0,1.0,0.25,0.25,0.23076923076923078,22.972972972972972,0.25,0.0967741935483871,0.125,0.075,0.10714285714285714,0.16666666666666666,0.14285714285714285,0.09090909090909091,0.25,0.0625,0.2222222222222222,0.4166666666666667,0.4,0.4,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.46479166666666666,0.3988333333333333,0.38230000000000003,0.07692307692307693,0.07692307692307693,8.983333333333334,0.23076923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1711,1610612738,Raef LaFrentz,Raef LaFrentz,1711,BOS,7160.0,119,14,217,218,40.0,66.0,23.0,435,3.0,7.0,1.0,2.0,1.0,4.0,3.0,5.0,14.0,28.0,217,2.0,3.0,6.0,1.0,6.0,,13.0,3.0,11.0,17.0,3.0,20.0,,3.0,1.0,1.0,,4.0,,,14.0,20.0,,8.0,5.0,40.0,0.6,0.6,0.35714285714285715,0.4782608695652174,0.5384615384615384,12.396694214876034,0.75,0.13414634146341464,0.04,0.13392857142857142,0.030927835051546393,0.05263157894736842,,0.05,0.10344827586206896,0.13043478260869565,,0.30434782608695654,0.42857142857142855,0.6,1.0,0.17391304347826086,0.25,0.3333333333333333,,0.13043478260869565,0.3333333333333333,0.6666666666666666,0.6956521739130435,0.5301934782608696,0.4698,0.4316,0.19230769230769232,0.29411764705882354,6.892857142857143,0.18433179723502305,1.0,2.0,4.0,2.0,5.0,1.0,4.0,9.0,6.0,1.0,1.0,2.0,4.0,12.0,5.0,2.0,3.0,5.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,6.0,2.0,1.0,3.0,6.0,6.0,1.0,2.0,2.0,1.0,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.391304347826087,0.21428571428571427,0.2857142857142857,0.25,0.3333333333333333,0.13333333333333333,0.16666666666666666,0.13043478260869565,0.14285714285714285,1.0,0.3333333333333333,0.3333333333333333,0.17391304347826086,0.5,0.5,1.0,0.21739130434782608,0.4,0.4,1.0,0.3333333333333333,0.4,0.07142857142857142,24.144444444444446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1718,1610612738,Paul Pierce,Paul Pierce,1718,BOS,11679.0,195,17,347,352,87.0,131.0,43.0,699,7.0,14.0,2.0,1.0,8.0,10.0,22.0,28.0,46.0,118.0,357,6.0,13.0,12.0,4.0,21.0,3.0,46.0,3.0,18.0,29.0,4.0,33.0,1.0,12.0,4.0,3.0,,15.0,2.0,2.0,8.0,13.0,,52.0,15.0,87.0,0.21428571428571427,0.23076923076923078,0.6086956521739131,0.6166666666666667,0.6890243902439024,24.31077694235589,0.8,0.15,0.025423728813559324,0.15432098765432098,0.025806451612903226,0.03278688524590164,0.043478260869565216,,0.07692307692307693,0.20930232558139536,0.05,0.23333333333333334,0.5,0.5833333333333334,0.2857142857142857,0.16666666666666666,0.8,0.8888888888888888,0.125,0.36666666666666664,0.2857142857142857,0.05263157894736842,0.4666666666666667,0.4743889830508474,0.46769,0.4671277777777778,0.2236842105263158,0.2459016393442623,10.880434782608694,0.2507204610951009,13.0,,2.0,6.0,12.0,1.0,6.0,14.0,44.0,1.0,10.0,58.0,44.0,18.0,12.0,6.0,4.0,17.0,1.0,12.0,3.0,7.0,4.0,10.0,6.0,1.0,8.0,,,9.0,7.0,,2.0,9.0,5.0,,58.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.7692307692307693,0.7631578947368421,0.8333333333333334,0.23333333333333334,0.08695652173913043,0.14285714285714285,0.1,0.2857142857142857,0.16666666666666666,0.15789473684210525,0.18181818181818182,0.1111111111111111,0.5555555555555556,0.5909090909090909,0.6190476190476191,0.03333333333333333,,,,0.2,0.5,0.5,1.0,0.14285714285714285,0.5,0.4915254237288136,25.478571428571428,1.0,3.0,6.0,5.0,2.0,12.0,3.0,6.0,29.0,4.0,2.0,1.0,4.0,1.0,1.0,6.0,2.0,6.0,0.5,0.8333333333333334,0.7142857142857143,0.75,0.045454545454545456,0.02702702702702703,0.09090909090909091,0.23076923076923078,0.5,0.3157894736842105,0.5,0.13333333333333333,0.1016949152542373,,,,,,,,,,,,,,,,,,,,,,True,
1729,1610612738,Ricky Davis,Ricky Davis,1729,BOS,14316.0,239,36,426,426,98.0,144.0,52.0,852,9.0,16.0,1.0,4.0,4.0,15.0,34.0,29.0,65.0,87.0,411,2.0,14.0,32.0,2.0,14.0,,30.0,3.0,18.0,20.0,5.0,25.0,1.0,13.0,12.0,8.0,1.0,21.0,3.0,2.0,12.0,23.0,4.0,26.0,10.0,98.0,0.5517241379310345,0.5714285714285714,0.4461538461538462,0.4527027027027027,0.5,22.085889570552148,0.6190476190476191,0.11612903225806452,0.01948051948051948,0.0970873786407767,0.02577319587628866,0.04,,,0.1346153846153846,0.07017543859649122,0.027777777777777776,0.21621621621621623,0.5625,0.6923076923076923,0.5555555555555556,0.20270270270270271,0.26666666666666666,0.2857142857142857,0.25,0.4594594594594595,0.3333333333333333,0.2222222222222222,0.33783783783783783,0.445373287671233,0.57065,0.42268823529411764,0.11904761904761904,0.13333333333333333,11.906153846153847,0.2300469483568075,16.0,2.0,4.0,1.0,5.0,1.0,3.0,9.0,20.0,1.0,4.0,22.0,26.0,6.0,5.0,1.0,4.0,12.0,2.0,5.0,4.0,2.0,,9.0,3.0,1.0,1.0,,,2.0,,2.0,,2.0,1.0,,22.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.3888888888888889,0.4782608695652174,0.12162162162162163,0.06153846153846154,0.1875,0.06666666666666667,,0.0392156862745098,0.15217391304347827,0.05,,0.5,0.47058823529411764,0.47058823529411764,0.05405405405405406,0.5,0.5,0.5,0.06756756756756757,0.2,0.2,1.0,0.3333333333333333,0.2,0.25287356321839083,26.044444444444444,1.0,,2.0,2.0,,4.0,2.0,4.0,8.0,2.0,3.0,2.0,6.0,,,,,3.0,0.5,1.0,0.6666666666666666,0.6666666666666666,,0.05,,0.625,1.0,0.1111111111111111,,,0.04597701149425287,1.0,2.0,2.0,3.0,1.0,1.0,0.07142857142857142,0.25,0.1111111111111111,1.0,,,,,,,,,,,,True,
56,1610612738,Gary Payton,Gary Payton,56,BOS,9914.0,165,43,297,295,73.0,107.0,39.0,592,11.0,20.0,3.0,4.0,5.0,8.0,4.0,18.0,32.0,40.0,288,3.0,6.0,16.0,10.0,25.0,7.0,60.0,4.0,9.0,14.0,5.0,19.0,2.0,6.0,3.0,3.0,1.0,9.0,,1.0,2.0,6.0,,4.0,3.0,73.0,0.4444444444444444,0.47058823529411764,0.5625,0.4186046511627907,0.45454545454545453,15.451895043731778,0.6666666666666666,0.0891089108910891,0.04,0.08391608391608392,0.03731343283582089,0.05555555555555555,,0.047619047619047616,0.0625,0.027777777777777776,0.09523809523809523,0.46511627906976744,0.55,0.6111111111111112,0.5454545454545454,0.18604651162790697,0.625,0.625,0.2,0.09302325581395349,1.0,0.5,0.7209302325581395,0.5073226190476191,0.5930666666666666,0.5000642857142857,0.06818181818181818,0.09090909090909091,5.231249999999999,0.24579124579124578,2.0,,3.0,,8.0,,,11.0,4.0,,3.0,6.0,20.0,,7.0,,3.0,15.0,3.0,7.0,6.0,3.0,2.0,2.0,,,3.0,,2.0,1.0,1.0,,,1.0,1.0,1.0,6.0,1.0,,,,0.5,0.375,0.375,0.2558139534883721,0.09375,0.1,,0.15384615384615385,0.07142857142857142,0.18181818181818182,0.09090909090909091,,1.0,0.5,0.6666666666666666,0.06976744186046512,,,,0.18604651162790697,,,,,,0.15,26.063636363636366,2.0,,2.0,2.0,,4.0,,2.0,,2.0,2.0,1.0,2.0,1.0,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.029411764705882353,0.1,0.5,0.6666666666666666,0.25,,,0.1,2.0,,,,,,,0.5,,,1.0,0.5,,,,,,,,,,True,
2556,1610612738,Marcus Banks,Marcus Banks,2556,BOS,4971.0,83,1,148,151,28.0,49.0,14.0,299,4.0,9.0,,1.0,,,9.0,8.0,18.0,23.0,133,,2.0,6.0,,6.0,,12.0,,5.0,7.0,1.0,8.0,,5.0,2.0,1.0,,6.0,1.0,1.0,4.0,13.0,,2.0,1.0,28.0,0.375,0.375,0.4444444444444444,0.5,0.5,17.46987951807229,0.8333333333333334,0.07692307692307693,,0.09333333333333334,0.014084507042253521,,,,0.07692307692307693,0.1,,0.4090909090909091,0.4444444444444444,0.5714285714285714,,,,,,0.4090909090909091,,0.3333333333333333,0.5909090909090909,0.5026795454545453,,0.42145000000000005,0.043478260869565216,0.05263157894736842,10.577777777777778,0.1891891891891892,4.0,,1.0,2.0,3.0,,2.0,4.0,1.0,,,,10.0,,3.0,2.0,2.0,6.0,,2.0,3.0,2.0,,4.0,2.0,1.0,3.0,,,,,,,,,,,2.0,,0.5,0.5,,,,0.18181818181818182,0.1111111111111111,0.2222222222222222,,,0.2,0.05263157894736842,,1.0,,0.4444444444444444,0.4444444444444444,0.045454545454545456,,,,0.13636363636363635,0.6666666666666666,0.6666666666666666,,,0.6666666666666666,,24.5,,,,,,,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,0.1,,0.75,,,,,,,,1.0,6.0,,,0.2,,0.3333333333333333,,,,,,,,,,,,,True,
2744,1610612738,Al Jefferson,Al Jefferson,2744,BOS,6444.0,107,45,186,184,45.0,66.0,28.0,370,10.0,24.0,13.0,2.0,3.0,8.0,1.0,13.0,33.0,35.0,157,13.0,5.0,8.0,1.0,2.0,,5.0,15.0,21.0,25.0,17.0,42.0,1.0,,,3.0,1.0,3.0,1.0,1.0,11.0,15.0,,12.0,7.0,45.0,0.3076923076923077,0.4444444444444444,0.3939393939393939,0.3939393939393939,0.4605263157894737,18.303571428571427,,0.2876712328767123,0.189873417721519,0.25,0.18478260869565216,0.25,0.13043478260869565,0.125,0.20833333333333334,0.3548387096774194,0.07692307692307693,0.7272727272727273,0.4166666666666667,0.5882352941176471,0.3,0.24242424242424243,0.375,0.375,0.3333333333333333,0.030303030303030304,1.0,0.4,0.7272727272727273,0.4872363636363636,0.5850916666666667,0.39734,0.18421052631578946,0.18421052631578946,3.6606060606060606,0.24193548387096775,,,,,,,,,9.0,,1.0,3.0,18.0,,,,7.0,1.0,1.0,1.0,,2.0,2.0,4.0,,2.0,,1.0,2.0,7.0,4.0,1.0,2.0,7.0,5.0,1.0,3.0,2.0,,,,0.2,0.2,0.25,,0.21212121212121213,0.2916666666666667,,0.25,0.10526315789473684,0.2777777777777778,0.125,,0.7142857142857143,,,,,,,,,,,,,0.08571428571428572,,4.0,,,4.0,2.0,10.0,,,1.0,8.0,,2.0,4.0,,,,,,,0.3076923076923077,0.3076923076923077,0.35714285714285715,,0.15384615384615385,,,0.3076923076923077,,,,0.2857142857142857,1.0,,,,,,0.2,0.5,,,,,,,,,,,,,,True,
952,1610612738,Antoine Walker,Antoine Walker,952,BOS,9138.0,152,-1,271,269,53.0,83.0,39.0,540,20.0,44.0,12.0,11.0,9.0,19.0,2.0,30.0,65.0,77.0,268,13.0,13.0,26.0,3.0,7.0,3.0,17.0,13.0,12.0,25.0,15.0,40.0,4.0,4.0,2.0,7.0,,11.0,1.0,1.0,4.0,16.0,4.0,3.0,2.0,53.0,0.43333333333333335,0.5416666666666666,0.46153846153846156,0.487012987012987,0.4935897435897436,27.899686520376175,0.36363636363636365,0.13186813186813187,0.12264150943396226,0.1732283464566929,0.10869565217391304,0.1694915254237288,0.08333333333333333,0.043478260869565216,0.0967741935483871,0.11428571428571428,0.1111111111111111,0.5714285714285714,0.45454545454545453,0.5,0.4,0.24675324675324675,0.47368421052631576,0.5294117647058824,0.4444444444444444,0.025974025974025976,0.8,0.7333333333333333,0.7272727272727273,0.5052577922077922,0.5804038461538462,0.5255133333333334,0.02564102564102564,0.030303030303030304,3.847692307692308,0.19557195571955718,1.0,2.0,3.0,3.0,9.0,1.0,5.0,12.0,2.0,2.0,6.0,17.0,34.0,15.0,9.0,3.0,6.0,4.0,,3.0,1.0,10.0,3.0,4.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,,2.0,4.0,3.0,1.0,17.0,4.0,1.0,0.4166666666666667,0.4166666666666667,0.46153846153846156,0.5,0.53125,0.15584415584415584,0.09230769230769231,0.09090909090909091,0.10526315789473684,0.2727272727272727,0.2777777777777778,0.2,0.27586206896551724,0.2857142857142857,0.75,0.5,0.5,0.03896103896103896,0.6666666666666666,0.6666666666666666,1.0,0.11688311688311688,0.3333333333333333,0.3333333333333333,1.0,0.06666666666666667,0.3333333333333333,0.22077922077922077,24.825000000000003,5.0,,,6.0,,15.0,1.0,2.0,2.0,12.0,,2.0,2.0,2.0,,,,,0.5,0.46153846153846156,0.5,0.5,,0.0625,,1.0,0.4166666666666667,,,,0.19480519480519481,5.0,1.0,2.0,,,,0.08,0.45454545454545453,0.13333333333333333,0.5,,,1.0,1.0,1.0,0.5,0.06666666666666667,1.0,1.0,,,True,
2753,1610612738,Delonte West,Delonte West,2753,BOS,4072.0,68,21,125,119,29.0,30.0,10.0,244,1.0,1.0,,,,1.0,1.0,2.0,3.0,21.0,114,,,4.0,,1.0,,2.0,1.0,2.0,5.0,1.0,6.0,,1.0,,,,1.0,,,2.0,10.0,,4.0,,29.0,1.0,1.0,0.6666666666666666,0.7916666666666666,0.75,11.11111111111111,1.0,0.05,0.02857142857142857,0.09615384615384616,0.023809523809523808,,,0.09090909090909091,0.09090909090909091,0.058823529411764705,,0.08333333333333333,1.0,1.0,1.0,0.08333333333333333,,,,0.08333333333333333,,,0.8333333333333334,0.5463458333333334,,0.56685,,,10.766666666666666,0.232,1.0,3.0,4.0,2.0,5.0,,5.0,9.0,2.0,,,10.0,,15.0,5.0,2.0,,1.0,,,,3.0,,4.0,3.0,,1.0,1.0,,1.0,,1.0,,1.0,,,10.0,2.0,1.0,0.5555555555555556,0.5555555555555556,,1.125,1.0,0.75,,,,,0.25,,0.42857142857142855,,,1.0,1.0,0.3333333333333333,0.75,0.75,1.0,0.4166666666666667,0.4,0.4,1.0,,0.4,0.47619047619047616,24.288888888888888,,1.0,2.0,,,,3.0,4.0,1.0,,1.0,,1.0,,,,,2.0,0.75,,,,,,,1.0,,0.5,0.5,,,,2.0,2.0,,,,,,0.5,1.0,,,,,,,,,,,,True,
2754,1610612738,Tony Allen,Tony Allen,2754,BOS,756.0,13,5,25,25,19.0,19.0,3.0,50,3.0,4.0,2.0,3.0,,1.0,1.0,3.0,6.0,6.0,23,2.0,4.0,2.0,,,,,2.0,2.0,2.0,2.0,4.0,,,,,,,,,1.0,3.0,,,,19.0,0.3333333333333333,1.0,0.5,0.5,0.5,21.428571428571427,,0.25,0.2,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.25,,,0.3333333333333333,,0.6666666666666666,0.75,0.75,0.3333333333333333,0.16666666666666666,,,,0.16666666666666666,1.0,0.75,0.6666666666666666,0.5663,0.712,0.55235,,,4.45,0.76,,,,,,,,,,,3.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,0.75,0.75,0.75,,,,,,,0.5,,,,,,,,,,,,,,,,1.0,,2.0,,,2.0,,4.0,,,,4.0,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,0.6666666666666666,3.0,,,,,,,1.0,,,,,,,,,,,,,,True,
