EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveMakes,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTOffRebounds,Blocked3s,BlockedArc3,BlockedLongMidRange,OffFTReboundPct,BlockingFouls,DefensiveGoaltends,3SecondViolations,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,OffensiveGoaltends,on,Clear Path Fouls,Corner3PctBlocked,BlockedCorner3
101108,1610612746,Chris Paul,Chris Paul,101108,LAC,91353.0,1523,444,3024,3001,978.0,704,324,6025,32.0,54.0,1.0,2.0,15.0,26.0,51.0,102.0,110.0,219.0,13.0,28.0,3.0,3.0,5.0,11.0,83.0,210.0,8.0,13.0,29.0,84.0,193.0,375,96.0,238.0,188.0,862.0,3178,8.0,15.0,11.0,16.0,13.0,62.0,71.0,143.0,34.0,95.0,146.0,390.0,54.0,332.0,126.0,162.0,2.0,1.0,2.0,207.0,82.0,12.0,1.0,298.0,119.0,417.0,83.0,36.0,176.0,16.0,106.0,953.0,10.0,19.0,70.0,128.0,1.0,199,29.0,228,10.0,89.0,46.0,43.0,65.0,28.0,46.0,48.0,9.0,19.0,2.0,2.0,113.0,4.0,32.0,35.0,113.0,2.0,7.0,3.0,172.0,2.0,4.0,6.0,15.0,209.0,7.0,1.0,19.0,27.0,6.0,64.0,7.0,5.0,2.0,7.0,4.0,1.0,374.0,960.0,24.0,53.0,0.13989637305699482,0.140625,0.4375,0.40336134453781514,0.6875,0.35789473684210527,0.4025423728813559,0.5146666666666667,0.5333333333333333,0.4965034965034965,0.5497553017944535,0.7903225806451613,0.5126050420168067,0.6018518518518519,0.7948717948717948,0.6129032258064516,0.38825448613376834,0.004201680672268907,0.032,0.12962962962962962,0.029411764705882353,0.0091324200913242,0.004761904761904762,24.047267355982274,0.5752212389380531,0.012195121951219513,0.13445378151260504,0.02334152334152334,0.1402805611222445,0.023094688221709007,0.13645761543762921,0.023255813953488372,0.0196078431372549,0.022099447513812154,0.026455026455026454,0.030120481927710843,0.1320754716981132,0.10231023102310231,0.16145833333333334,0.128686327077748,0.1746031746031746,0.033003300330033,0.5714285714285714,0.08809135399673736,0.5925925925925926,0.6808510638297872,0.1875,0.16639477977161501,0.5,0.5151515151515151,0.09803921568627451,0.3572593800978793,0.502283105022831,0.5069124423963134,0.14545454545454545,0.04567699836867863,0.4642857142857143,0.4642857142857143,0.6153846153846154,0.3425774877650897,0.3952380952380952,0.39712918660287083,0.40963855421686746,0.06451612903225806,0.5,0.0967741935483871,1.0,0.6666666666666666,0.41935483870967744,0.6153846153846154,0.875,0.1092436974789916,0.5769230769230769,0.046218487394957986,0.45454545454545453,0.35294117647058826,0.34523809523809523,0.4763458401305057,0.3961352657004831,0.467398524590164,0.4710928571428572,0.4614772340425532,0.05172413793103448,0.06835443037974684,0.024691358024691357,0.07192575406032482,0.45243619489559167,13.286666666666667,25.68991596638655,0.32341269841269843,,,,,,,,,,,,True,,,
101109,1610612746,Raymond Felton,Raymond Felton,101109,LAC,24002.0,400,-16,816,835,304.0,281,81,1651,22.0,32.0,1.0,1.0,3.0,6.0,6.0,14.0,13.0,30.0,7.0,11.0,,,1.0,3.0,7.0,32.0,,,1.0,12.0,41.0,76,14.0,43.0,9.0,133.0,940,2.0,4.0,,,2.0,6.0,8.0,17.0,2.0,15.0,6.0,28.0,26.0,56.0,39.0,3.0,,,1.0,31.0,7.0,2.0,,25.0,16.0,41.0,11.0,5.0,16.0,3.0,6.0,98.0,3.0,4.0,16.0,23.0,,39,9.0,48,3.0,13.0,11.0,2.0,11.0,4.0,7.0,9.0,3.0,4.0,,1.0,20.0,1.0,9.0,18.0,31.0,,1.0,,11.0,,2.0,2.0,,10.0,,,,2.0,,3.0,8.0,3.0,2.0,9.0,4.0,,28.0,300.0,1.0,3.0,0.3170731707317073,0.3170731707317073,0.9285714285714286,0.32558139534883723,,0.13333333333333333,0.3333333333333333,0.5394736842105263,0.5,0.47058823529411764,0.5210084033613446,0.5,0.34375,0.5362903225806451,0.6,0.4,0.36134453781512604,,0.02631578947368421,0.03125,,0.03333333333333333,,15.772179627601313,0.55,,0.09913793103448276,0.017391304347826087,0.1103448275862069,0.02158273381294964,0.10344827586206896,0.018970189701897018,0.02127659574468085,0.0196078431372549,0.011764705882352941,0.02586206896551724,0.0410958904109589,0.14814814814814814,0.10256410256410256,0.09821428571428571,0.15151515151515152,0.05,0.4444444444444444,0.2689075630252101,0.6875,0.7096774193548387,0.36363636363636365,0.11764705882352941,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.25210084033613445,0.43333333333333335,0.4482758620689655,0.23076923076923078,0.09243697478991597,0.6363636363636364,0.6363636363636364,1.0,0.2689075630252101,0.21875,0.21875,0.8571428571428571,0.25,1.0,,,,,,,0.1875,0.5,0.09375,0.3333333333333333,0.375,0.08333333333333333,0.6302521008403361,0.22580645161290322,0.48704482758620693,0.4919666666666667,0.468695,0.01652892561983471,0.02564102564102564,,0.045112781954887216,0.21052631578947367,9.932894736842105,25.90232558139535,0.37254901960784315,2.0,1.0,1.0,3.0,0.0625,,,,,,,True,,,
101138,1610612746,Brandon Bass,Brandon Bass,101138,LAC,696.0,12,-10,24,25,7.0,4,1,49,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,3,,,3.0,5.0,36,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2,,2,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,4.0,,,,2.0,,,1.0,1.0,,1.0,,,,7.0,,,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,0.5,,,,,,,,,,20.0,,,0.14285714285714285,,0.3333333333333333,,0.2,,,,,,,,0.25,,1.0,,,0.3333333333333333,,,,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,0.3856,,,0.4,0.4,,,,7.766666666666667,,0.2916666666666667,,,,,,,,,,,,True,,,
201933,1610612746,Blake Griffin,Blake Griffin,201933,LAC,124578.0,2076,443,4155,4140,1409.0,1035,443,8295,254.0,397.0,47.0,71.0,89.0,119.0,56.0,155.0,131.0,306.0,13.0,30.0,,1.0,5.0,8.0,25.0,83.0,,4.0,7.0,24.0,441.0,858,38.0,113.0,320.0,1316.0,4469,57.0,96.0,,5.0,36.0,150.0,133.0,234.0,12.0,32.0,146.0,448.0,440.0,442.0,111.0,3.0,62.0,,1.0,82.0,25.0,36.0,,175.0,125.0,300.0,83.0,42.0,108.0,17.0,50.0,725.0,30.0,75.0,101.0,236.0,48.0,385,112.0,497,40.0,57.0,31.0,26.0,91.0,17.0,61.0,51.0,8.0,30.0,2.0,4.0,142.0,11.0,43.0,76.0,157.0,4.0,13.0,7.0,363.0,9.0,18.0,11.0,13.0,421.0,40.0,,,186.0,,45.0,22.0,15.0,7.0,22.0,14.0,4.0,448.0,1389.0,19.0,35.0,0.4988662131519274,0.5365853658536586,0.9736842105263158,0.336283185840708,,0.375,0.3392857142857143,0.513986013986014,0.59375,0.5683760683760684,0.5128733264675592,0.5643564356435643,0.5676691729323309,0.5662650602409639,0.6147540983606558,0.6292134831460674,0.11637487126673532,,0.04195804195804196,0.05793450881612091,0.08387096774193549,,,27.975934679845295,0.6408450704225352,0.43636363636363634,0.18597320724980299,0.06654835847382432,0.14305949008498584,0.04862236628849271,0.17063291139240505,0.060206422018348624,0.10026385224274406,0.08560311284046693,0.03054989816700611,0.04329896907216495,0.13136729222520108,0.1687041564792176,0.24229979466119098,0.15700934579439252,0.09941520467836257,0.0894854586129754,0.6363636363636364,0.40885684860968075,0.6397984886649875,0.679144385026738,0.5039370078740157,0.1596292481977343,0.36129032258064514,0.39436619718309857,0.16071428571428573,0.31513903192584963,0.42810457516339867,0.42810457516339867,0.6335877862595419,0.030895983522142123,0.43333333333333335,0.43333333333333335,1.0,0.0854788877445932,0.30120481927710846,0.30120481927710846,0.96,0.7029702970297029,0.6619718309859155,0.009900990099009901,,,0.039603960396039604,,,0.4473684210526316,0.7478991596638656,0.03007518796992481,0.625,0.09022556390977443,0.2916666666666667,0.525231719876416,0.3048780487804878,0.4971731166150671,0.5487160493827162,0.5083435849056605,0.1665174574753805,0.1852589641434263,,0.11398176291793313,0.3404255319148936,8.716083916083917,25.362831858407073,0.3391095066185319,7.0,,,,0.04,8.0,1.0,1.0,0.06818181818181818,0.1702127659574468,,True,,,
2037,1610612746,Jamal Crawford,Jamal Crawford,2037,LAC,46666.0,778,155,1598,1557,813.0,569,177,3155,16.0,26.0,4.0,5.0,9.0,14.0,16.0,35.0,35.0,77.0,14.0,33.0,,3.0,7.0,15.0,35.0,86.0,1.0,7.0,18.0,40.0,67.0,138,49.0,119.0,66.0,347.0,1754,6.0,12.0,1.0,10.0,5.0,20.0,27.0,60.0,25.0,55.0,36.0,165.0,34.0,100.0,111.0,36.0,6.0,1.0,2.0,83.0,34.0,3.0,,42.0,12.0,54.0,9.0,3.0,31.0,3.0,8.0,120.0,1.0,4.0,15.0,15.0,1.0,31,5.0,36,2.0,22.0,19.0,3.0,27.0,3.0,21.0,11.0,3.0,6.0,3.0,,38.0,4.0,20.0,18.0,41.0,1.0,3.0,1.0,55.0,,1.0,4.0,2.0,76.0,5.0,2.0,4.0,20.0,5.0,13.0,3.0,,3.0,4.0,2.0,,160.0,800.0,6.0,9.0,0.2537313432835821,0.265625,0.7551020408163265,0.4117647058823529,0.1,0.45454545454545453,0.41025641025641024,0.4855072463768116,0.5,0.45,0.546692607003891,0.3409090909090909,0.5608695652173913,0.5972222222222222,0.4,0.6127819548872181,0.46303501945525294,,0.021739130434782608,0.038461538461538464,0.02857142857142857,0.012987012987012988,,18.20212171970966,0.7105263157894737,0.017857142857142856,0.03712871287128713,0.010075566750629723,0.054945054945054944,0.003861003861003861,0.04431314623338257,0.007621951219512195,0.015037593984962405,0.009523809523809525,0.006289308176100629,0.004807692307692308,0.05,0.007042253521126761,0.056338028169014086,0.06635071090047394,0.016129032258064516,0.015267175572519083,0.5,0.10116731517509728,0.6153846153846154,0.64,0.3125,0.13618677042801555,0.45714285714285713,0.47058823529411764,0.1875,0.29961089494163423,0.45454545454545453,0.4605263157894737,0.2571428571428571,0.12840466926070038,0.42424242424242425,0.42424242424242425,0.9285714285714286,0.3346303501945525,0.4069767441860465,0.4069767441860465,0.6857142857142857,0.22727272727272727,0.8,0.13636363636363635,,,0.3181818181818182,0.14285714285714285,1.0,0.12173913043478261,0.6428571428571429,0.13043478260869565,0.4666666666666667,0.34782608695652173,0.45,0.5642023346303502,0.40963855421686746,0.4699458333333333,0.48955,0.4729810810810811,0.09090909090909091,0.13071895424836602,0.040983606557377046,0.05763688760806916,0.4755043227665706,12.770289855072464,25.922689075630252,0.5087609511889862,,1.0,1.0,,,1.0,,,,0.25,,True,,,
200755,1610612746,JJ Redick,JJ Redick,200755,LAC,91563.0,1526,401,3061,3017,946.0,687,325,6078,26.0,45.0,,,6.0,10.0,18.0,41.0,89.0,204.0,24.0,48.0,1.0,2.0,10.0,25.0,114.0,268.0,10.0,23.0,34.0,76.0,133.0,290,138.0,316.0,147.0,827.0,3246,9.0,15.0,11.0,25.0,4.0,55.0,21.0,51.0,44.0,101.0,67.0,241.0,226.0,40.0,402.0,12.0,,,,268.0,114.0,9.0,3.0,53.0,15.0,68.0,13.0,2.0,41.0,2.0,10.0,151.0,1.0,3.0,44.0,59.0,5.0,108,4.0,112,,38.0,23.0,15.0,37.0,14.0,23.0,37.0,6.0,14.0,5.0,4.0,74.0,5.0,19.0,47.0,90.0,3.0,2.0,4.0,122.0,4.0,,10.0,6.0,162.0,7.0,4.0,21.0,34.0,14.0,25.0,11.0,6.0,4.0,11.0,3.0,,231.0,927.0,7.0,13.0,0.849624060150376,0.849624060150376,0.9710144927536232,0.43670886075949367,0.44,0.43564356435643564,0.43670886075949367,0.4586206896551724,0.6,0.4117647058823529,0.5610561056105611,0.6375,0.5723684210526315,0.6040419161676647,0.6707317073170732,0.6317204301075269,0.5214521452145214,0.00949367088607595,0.03103448275862069,0.08888888888888889,0.0975609756097561,0.004901960784313725,0.011194029850746268,21.528588098016336,0.5,0.0641025641025641,0.06063720452209661,0.0035671819262782403,0.08695652173913043,0.002288329519450801,0.06964164976335362,0.003129890453834116,0.01090909090909091,,,0.0029239766081871343,0.06690140845070422,0.05,0.06426735218508997,0.07874015748031496,0.112,,0.2727272727272727,0.07425742574257425,0.5777777777777777,0.6341463414634146,0.7307692307692307,0.06765676567656766,0.43902439024390244,0.4864864864864865,0.8333333333333334,0.33663366336633666,0.4362745098039216,0.43842364532019706,0.8876404494382022,0.07920792079207921,0.5,0.5,1.0,0.44224422442244227,0.4253731343283582,0.43018867924528303,0.9649122807017544,,,0.05,0.5,1.0,0.575,0.43478260869565216,1.0,0.06578947368421052,0.6,0.16447368421052633,0.4,0.5,0.4473684210526316,0.5957095709570958,0.4253731343283582,0.4933492499999999,0.4614090909090909,0.49853133333333327,0.07465007776049767,0.10725552050473186,0.04294478527607362,0.06650544135429262,0.2914147521160822,15.051724137931037,25.2493670886076,0.3090493302842208,,,,1.0,,1.0,,,,,,True,,,
201599,1610612746,DeAndre Jordan,DeAndre Jordan,201599,LAC,106212.0,1770,468,3513,3508,1060.0,769,376,7021,251.0,344.0,69.0,121.0,82.0,103.0,14.0,34.0,,,,,,,,,,,,,,,265.0,378,,,149.0,679.0,3736,71.0,128.0,,,31.0,173.0,83.0,107.0,,,101.0,267.0,376.0,154.0,,,122.0,,,,,17.0,,34.0,24.0,58.0,17.0,7.0,11.0,3.0,20.0,140.0,60.0,137.0,187.0,324.0,35.0,546,201.0,747,24.0,36.0,29.0,7.0,26.0,8.0,18.0,50.0,6.0,8.0,,1.0,76.0,10.0,17.0,68.0,144.0,2.0,19.0,20.0,232.0,,28.0,3.0,3.0,303.0,20.0,,,88.0,1.0,72.0,92.0,63.0,27.0,94.0,50.0,4.0,267.0,1048.0,15.0,29.0,0.7094339622641509,0.9215686274509803,,,,,,0.701058201058201,0.5546875,0.7757009345794392,0.701058201058201,0.5546875,0.7757009345794392,0.6541425818882466,0.5274390243902439,0.6675,,,0.04497354497354497,0.0377906976744186,0.11764705882352941,,,15.090032969819934,0.34210526315789475,0.40229885057471265,0.2905829596412556,0.14285714285714285,0.3070607553366174,0.12195121951219512,0.29640371229698376,0.1357684355616816,0.18210862619808307,0.1278538812785388,0.12177985948477751,0.12760416666666666,0.23692307692307693,0.33238636363636365,0.2968036529680365,0.3080260303687636,0.30405405405405406,0.25263157894736843,0.5319148936170213,0.91005291005291,0.7296511627906976,0.7583081570996979,0.7211155378486056,0.08994708994708994,0.4117647058823529,0.4666666666666667,0.5,,,,,,,,,,,,,0.9453125,0.5702479338842975,,,,,,,0.9626168224299065,0.7961165048543689,,,,,0.91005291005291,,0.6898648148148148,0.6319747572815536,0.7224214953271028,0.19910514541387025,0.19730941704035873,1.0,0.2547864506627393,0.39322533136966126,1.3087301587301587,,0.30173640762880727,4.0,2.0,2.0,2.0,0.025477707006369428,2.0,6.0,5.0,0.10185185185185185,0.07246376811594203,4.0,True,,,
201601,1610612746,Luc Mbah a Moute,Luc Mbah a Moute,201601,LAC,72125.0,1202,289,2359,2393,551.0,453,242,4752,72.0,111.0,3.0,7.0,11.0,15.0,1.0,6.0,24.0,47.0,25.0,60.0,1.0,4.0,4.0,11.0,4.0,13.0,,,1.0,2.0,97.0,164,29.0,73.0,39.0,320.0,2495,7.0,12.0,1.0,4.0,2.0,19.0,18.0,26.0,5.0,13.0,7.0,58.0,160.0,34.0,87.0,,4.0,,,13.0,4.0,19.0,,22.0,3.0,25.0,3.0,,18.0,,4.0,53.0,8.0,18.0,20.0,50.0,2.0,72,26.0,98,4.0,62.0,34.0,28.0,16.0,4.0,12.0,14.0,6.0,4.0,3.0,1.0,30.0,6.0,9.0,36.0,73.0,,4.0,,51.0,1.0,4.0,4.0,,62.0,10.0,,,33.0,,3.0,19.0,9.0,5.0,20.0,11.0,,58.0,545.0,6.0,1.0,0.8247422680412371,0.8421052631578947,1.0,0.3972602739726027,0.25,0.38461538461538464,0.3972602739726027,0.5914634146341463,0.5833333333333334,0.6923076923076923,0.5928270042194093,0.53125,0.6538461538461539,0.6083650190114068,0.5588235294117647,0.6590909090909091,0.3080168776371308,,0.11585365853658537,0.15315315315315314,0.3333333333333333,,,11.106899166034875,0.5333333333333333,0.045454545454545456,0.062421972534332085,0.0273972602739726,0.04987531172069826,0.02572347266881029,0.05823627287853577,0.026859504132231406,0.036036036036036036,0.02158273381294964,0.02364864864864865,0.024793388429752067,0.09090909090909091,0.05952380952380952,0.04234527687296417,0.049019607843137254,0.05263157894736842,0.04395604395604396,0.55,0.46835443037974683,0.6486486486486487,0.7659574468085106,0.7777777777777778,0.02531645569620253,0.16666666666666666,0.25,1.0,0.19831223628691982,0.5106382978723404,0.5106382978723404,0.9583333333333334,0.25316455696202533,0.4166666666666667,0.4166666666666667,1.0,0.05485232067510549,0.3076923076923077,0.3076923076923077,1.0,0.4375,0.42857142857142855,0.25,0.25,1.0,,,,0.38461538461538464,0.7333333333333333,0.28205128205128205,0.36363636363636365,0.05128205128205128,0.5,0.7763713080168776,0.3076923076923077,0.5625359913793101,0.5072416666666667,0.5385368421052632,0.12692307692307692,0.17647058823529413,,0.059375,0.18125,6.670731707317074,24.095890410958905,0.23357354811360745,,1.0,1.0,5.0,,1.0,,,0.028985507246376812,0.3333333333333333,,True,,,
201578,1610612746,Marreese Speights,Marreese Speights,201578,LAC,15196.0,253,-7,513,513,267.0,198,55,1026,19.0,30.0,5.0,11.0,9.0,14.0,6.0,11.0,4.0,9.0,3.0,8.0,,,1.0,6.0,18.0,48.0,,2.0,9.0,20.0,29.0,50,21.0,56.0,22.0,143.0,581,5.0,11.0,,2.0,3.0,13.0,15.0,24.0,10.0,26.0,8.0,68.0,44.0,14.0,60.0,3.0,8.0,,,48.0,18.0,3.0,,7.0,5.0,12.0,3.0,2.0,5.0,1.0,1.0,29.0,5.0,12.0,10.0,25.0,4.0,39,17.0,56,2.0,5.0,2.0,3.0,8.0,2.0,6.0,7.0,3.0,2.0,,,15.0,1.0,7.0,26.0,38.0,1.0,1.0,1.0,28.0,12.0,2.0,,,25.0,,,,9.0,1.0,2.0,10.0,8.0,2.0,10.0,7.0,1.0,68.0,267.0,3.0,2.0,0.7586206896551724,0.88,0.9523809523809523,0.375,,0.38461538461538464,0.375,0.58,0.45454545454545453,0.625,0.5707547169811321,0.38461538461538464,0.6,0.6059322033898306,0.43333333333333335,0.6296296296296297,0.5283018867924528,,0.06,0.06666666666666667,0.09090909090909091,,,23.41549295774648,0.5333333333333333,0.23529411764705882,0.18796992481203006,0.08823529411764706,0.1282051282051282,0.047619047619047616,0.16587677725118483,0.07053941908713693,0.11764705882352941,0.13333333333333333,0.03636363636363636,0.03488372093023256,0.2926829268292683,0.1875,0.09090909090909091,0.08771929824561403,0.23809523809523808,0.038461538461538464,0.7,0.2830188679245283,0.6333333333333333,0.6785714285714286,0.7368421052631579,0.10377358490566038,0.5454545454545454,0.6,0.8333333333333334,0.08490566037735849,0.4444444444444444,0.4444444444444444,0.75,0.07547169811320754,0.375,0.375,1.0,0.4528301886792453,0.375,0.375,0.9444444444444444,0.8461538461538461,0.45454545454545453,,,,0.15384615384615385,,,0.28,0.6428571428571429,0.12,0.16666666666666666,0.4,0.45,0.8113207547169812,0.375,0.5295433962264151,0.52536,0.5420079999999999,0.08620689655172414,0.15254237288135594,0.017543859649122806,0.09090909090909091,0.4755244755244755,5.889999999999999,25.528571428571432,0.52046783625731,,,,,,6.0,,,0.10526315789473684,,,True,,,
203085,1610612746,Austin Rivers,Austin Rivers,203085,LAC,47205.0,787,87,1598,1594,667.0,422,178,3192,33.0,67.0,2.0,3.0,13.0,22.0,17.0,43.0,3.0,10.0,12.0,28.0,1.0,4.0,5.0,10.0,33.0,83.0,1.0,4.0,9.0,26.0,53.0,120,45.0,111.0,31.0,272.0,1759,3.0,5.0,2.0,8.0,2.0,14.0,16.0,35.0,14.0,36.0,15.0,89.0,36.0,70.0,99.0,36.0,,,,83.0,33.0,12.0,2.0,41.0,29.0,70.0,21.0,8.0,25.0,4.0,12.0,169.0,1.0,3.0,23.0,31.0,,54,4.0,58,3.0,16.0,8.0,8.0,22.0,2.0,13.0,12.0,3.0,9.0,1.0,2.0,34.0,2.0,9.0,42.0,88.0,1.0,4.0,2.0,43.0,,,6.0,2.0,53.0,5.0,,,21.0,,8.0,3.0,2.0,1.0,3.0,2.0,,89.0,661.0,15.0,8.0,0.33962264150943394,0.33962264150943394,0.7333333333333333,0.40540540540540543,0.25,0.3888888888888889,0.40540540540540543,0.44166666666666665,0.6,0.45714285714285713,0.5216450216450217,0.46153846153846156,0.5211267605633803,0.5333333333333333,0.4666666666666667,0.536144578313253,0.4805194805194805,0.018018018018018018,0.1,0.13432835820895522,0.06976744186046512,,0.024096385542168676,16.082359488035618,0.6470588235294118,,0.06981981981981981,0.0069767441860465115,0.0798611111111111,0.0037313432835820895,0.07377049180327869,0.0057306590257879654,0.00625,0.018867924528301886,,,0.0661764705882353,0.07792207792207792,0.06493506493506493,0.0821917808219178,0.07246376811594203,0.025423728813559324,0.6666666666666666,0.29004329004329005,0.4925373134328358,0.5689655172413793,0.45454545454545453,0.18614718614718614,0.3953488372093023,0.425,0.11764705882352941,0.04329004329004329,0.3,0.3,0.3333333333333333,0.12121212121212122,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.3593073593073593,0.39759036144578314,0.4074074074074074,0.696969696969697,0.23076923076923078,0.6666666666666666,0.3076923076923077,0.25,1.0,0.3076923076923077,0.25,,0.30985915492957744,0.5909090909090909,0.14084507042253522,0.5,0.36619718309859156,0.34615384615384615,0.7705627705627706,0.39759036144578314,0.5187711790393014,0.53703125,0.5289105633802816,0.08502024291497975,0.15441176470588236,,0.051470588235294115,0.3272058823529412,5.3516666666666675,25.399099099099097,0.41739674593241555,,,,,,1.0,,,0.016666666666666666,0.5,,True,,,
