EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Blocked2s,BlockedAtRim,Blocks,Corner3FGA,PenaltyCorner3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,Travels,ShootingFouls,Fouls,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,PenaltyCorner3Frequency,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PtsAssisted2s,FTDefRebounds,Steals,BadPassSteals,Assisted2sPct,NonPutbacksAssisted2sPct,DefFTReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,LongMidRangeAssists,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,Offensive Fouls Drawn,FtPoints,PenaltyFtPoints,OffTwoPtRebounds,OffRebounds,BadPassTurnovers,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,SelfOReb,LostBallSteals,BlockingFouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,LostBallOutOfBoundsTurnovers,Charge Fouls,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,Blocked3s,BlockedArc3,BlockedCorner3,OffensiveGoaltends,OffFTReboundPct,StepOutOfBoundsTurnovers,Corner3PctBlocked,Clear Path Fouls
1626188,1610612742,Quinn Cook,Quinn Cook,1626188,DAL,541.0,9,-10.0,20,21,17,10.0,1.0,41,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,8.0,27,1.0,2.0,1.0,1.0,5.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,17,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.8333333333333334,0.8,0.625,0.5,33.333333333333336,0.5,0.25,1.0,1.0,0.25,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.4608875,0.4314166666666666,0.2,0.3333333333333333,0.625,12.65,25.35,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626257,1610612742,Salah Mejri,Salah Mejri,1626257,DAL,122.0,2,4.0,4,4,1,,,8,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627791,1610612742,Ben Bentil,Ben Bentil,1627791,DAL,592.0,10,-12.0,22,23,19,12.0,1.0,45,,1.0,1.0,,,,,,2.0,,1.0,,31,,2.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,19,,,,,,,,,,,0.3333333333333333,17.391304347826086,,0.3333333333333333,,,0.3333333333333333,,,,,,,0.3333333333333333,,0.40281666666666666,0.40281666666666666,,,,11.95,22.8,0.8636363636363636,,,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.4,0.25,0.25,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203084,1610612742,Harrison Barnes,Harrison Barnes,203084,DAL,269.0,4,,9,10,6,2.0,,19,,1.0,,,,,,1.0,2.0,,,2.0,15,1.0,1.0,,,2.0,,,,,,2.0,2.0,2.0,,6.0,,,,,,,,,,,2.0,6,,,,,0.5,1.0,0.5,1.0,0.5,1.0,,22.22222222222222,,0.5,,,,,,,,,,0.5,,0.63705,0.8719,,,1.0,3.3,,0.6666666666666666,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203552,1610612742,Seth Curry,Seth Curry,203552,DAL,269.0,4,,9,10,6,2.0,,19,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,15,,,1.0,1.0,3.0,,3.0,1.0,1.0,1.0,,1.0,,,2.0,1.0,,,1.0,1.0,,1.0,,,,3.0,6,1.0,1.0,1.0,1.0,,,1.5,1.5,1.5,1.5,1.0,22.22222222222222,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5658,0.5658,,,1.0,,24.4,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627827,1610612742,Dorian Finney-Smith,Dorian Finney-Smith,1627827,DAL,323.0,5,-12.0,13,13,13,10.0,1.0,26,,1.0,,,,,,,1.0,,,,16,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,7.142857142857142,,1.0,,,,,,,,,,,,0.3969,0.3969,,,,5.6,,1.0,,,,,,,1.0,1.0,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627852,1610612742,Nicolas Brussino,Nicolas Brussino,1627852,DAL,323.0,5,-12.0,13,13,13,10.0,1.0,26,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,13,,,,,,,,,,,,7.142857142857142,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203939,1610612742,Dwight Powell,Dwight Powell,203939,DAL,323.0,5,-12.0,13,13,13,10.0,1.0,26,,,,,,,,,,,1.0,2.0,16,,,,1.0,2.0,,,,,,,,,,,1.0,,,,1.0,,1.0,2.0,2.0,1.0,2.0,13,,,,,,,,,0.5,0.5,1.0,21.428571428571427,1.0,,,,,,,,,,,1.0,,0.5835,0.5835,0.5,1.0,1.0,,23.5,1.0,,,,1.0,1.0,,1.0,2.0,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,0.25,0.16666666666666666,0.5,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,147.0,2,-4.0,5,6,5,2.0,,11,,,1.0,,,,,1.0,1.0,,,2.0,13,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,5,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,20.0,,,,,1.0,,,,,,,,,0.423,0.423,,,1.0,18.3,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627812,1610612742,Yogi Ferrell,Yogi Ferrell,1627812,DAL,51.0,1,-2.0,2,2,2,2.0,,4,,,1.0,,,,,1.0,1.0,,,2.0,4,1.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,2,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,50.0,,,,,1.0,,,,,,,,,0.4005,0.4005,,,1.0,18.9,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
