EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,DefTwoPtRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,PenaltyTurnovers,BlockingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeFGM,DefAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SelfOReb,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockedAtRim,NonShootingPenaltyNonTakeFouls,SelfORebPct,Corner3FGM,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,DefensiveGoaltends,SecondChanceAtRimPctAssisted,on,FTOffRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,BlockingFouls,Charge Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffShortMidRangeReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg3aBlocked,StepOutOfBoundsTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,OffensiveGoaltends,3SecondViolations,PenaltyCorner3FGM,3pt And 1 Free Throw Trips,Corner3PctBlocked,PenaltyCorner3Accuracy,BlockedLongMidRange,Clear Path Fouls,HeaveMakes,BlockedCorner3
1626161,1610612758,Willie Cauley-Stein,Willie Cauley-Stein,1626161,SAC,639.0,11,4,21,20,10,10.0,3,41,2.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,28.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,10,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,16.666666666666668,0.5,0.18181818181818182,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.80685,0.9089,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15,0.47619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627746,1610612758,Skal Labissiere,Skal Labissiere,1627746,SAC,923.0,15,5,30,29,12,8.0,4,59,2.0,2.0,2.0,2.0,3.0,5.0,2.0,8.0,35.0,2.0,3.0,6.0,2.0,4.0,,,,,,,3.0,,,,,,,,3.0,3.0,1.0,6.0,12,0.3333333333333333,1.0,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666,0.75,17.64705882352941,,,,0.4,1.0,1.0,,0.6666666666666666,1.0,0.4,0.57552,0.7008,0.2,0.2,0.75,7.480000000000001,0.4,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,5.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.25,0.5,0.3333333333333333,0.3333333333333333,0.2,0.4,0.5,0.5,1.0,0.6666666666666666,1.0,0.7734,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200770,1610612758,Jordan Farmar,Jordan Farmar,200770,SAC,2123.0,35,-1,68,67,32,36.0,9,135,,2.0,,,,3.0,,12.0,84.0,,1.0,3.0,,,6.0,9.0,,21.0,1.0,2.0,3.0,2.0,1.0,,3.0,1.0,1.0,,1.0,,,3.0,32,,,,,0.5,0.3,0.5,0.3,19.48051948051948,0.0625,0.058823529411764705,0.1,0.16666666666666666,,,,,,0.9166666666666666,0.5140954545454546,0.46840000000000004,,,0.25,3.933333333333333,0.47058823529411764,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,0.05263157894736842,,0.03571428571428571,,,,0.08333333333333333,,,,,,,,,2.0,1.0,4.0,7.0,1.0,3.0,4.0,9.0,1.0,4.0,9.0,3.0,1.0,6.0,4.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,0.75,0.4444444444444444,0.25,0.5,0.75,0.3333333333333333,0.5,1.0,0.05555555555555555,0.14285714285714285,0.2,0.16666666666666666,0.5833333333333334,0.5714285714285714,0.5714285714285714,0.75,0.2,0.6,0.3333333333333333,0.6666666666666666,27.38888888888889,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202066,1610612758,Garrett Temple,Garrett Temple,202066,SAC,1797.0,30,-4,56,56,20,25.0,7,112,3.0,3.0,3.0,3.0,4.0,5.0,,20.0,71.0,3.0,3.0,9.0,4.0,4.0,3.0,5.0,1.0,12.0,1.0,3.0,4.0,2.0,2.0,,1.0,1.0,1.0,,1.0,,,9.0,20,0.5,0.6666666666666666,0.8,1.0,0.9090909090909091,1.125,0.9090909090909091,1.125,19.047619047619047,0.07142857142857142,0.1,,0.2727272727272727,1.0,1.0,0.6666666666666666,0.75,1.0,0.8181818181818182,0.5541681818181817,0.6352125,,,0.45,8.26,0.35714285714285715,1.0,1.0,,1.0,2.0,1.0,1.0,,2.0,,2.0,,1.0,1.0,,,,,1.0,1.0,1.0,0.0625,,0.041666666666666664,0.1111111111111111,,,,0.18181818181818182,0.5,0.5,,1.0,1.0,0.5327,0.1,1.0,,4.0,5.0,1.0,1.0,4.0,6.0,1.0,1.0,12.0,,,5.0,4.0,,2.0,2.0,,2.0,,2.0,,1.0,1.0,,,,1.0,0.6666666666666666,1.0,0.6666666666666666,0.5454545454545454,,,1.0,0.125,,0.25,0.09090909090909091,0.45454545454545453,0.8,0.8,1.0,,0.25,1.0,0.8,25.03333333333333,1.0,1.0,1.0,1.0,0.25,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203463,1610612758,Ben McLemore,Ben McLemore,203463,SAC,877.0,15,7,29,27,13,17.0,3,56,1.0,3.0,1.0,3.0,2.0,5.0,,4.0,39.0,2.0,4.0,4.0,4.0,,1.0,3.0,,8.0,,1.0,1.0,,,,1.0,,,,,,,4.0,13,1.0,1.0,0.4,0.5,0.3333333333333333,0.4,0.3333333333333333,0.4,21.875,,0.07692307692307693,,0.5,0.3333333333333333,0.5,1.0,0.6,0.3333333333333333,0.6666666666666666,0.5391750000000001,0.56945,,,1.0,6.720000000000001,0.4482758620689655,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,0.16666666666666666,,,,,,0.3878,,1.0,1.0,,,,,,1.0,,1.0,,,,,,1.0,2.0,2.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,0.16666666666666666,0.2,0.3333333333333333,1.0,0.125,,,0.16666666666666666,,,,,0.2,,,,23.2,,,,,,,,1.0,0.16666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202326,1610612758,DeMarcus Cousins,DeMarcus Cousins,202326,SAC,751.0,13,-3,25,24,16,23.0,3,49,1.0,3.0,,,2.0,4.0,5.0,9.0,33.0,1.0,1.0,7.0,4.0,,1.0,1.0,,2.0,,,1.0,1.0,1.0,,1.0,1.0,2.0,,6.0,6.0,,7.0,16,1.0,1.0,0.5,1.0,0.5,1.0,0.6428571428571429,0.875,28.57142857142857,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,0.75,0.539075,0.218,,,0.7777777777777778,5.0,0.64,,1.0,,1.0,1.0,1.0,2.0,2.0,4.0,5.0,,,1.0,1.0,,3.0,,3.0,0.5,0.5,0.6666666666666666,0.1111111111111111,,0.09090909090909091,0.2,,,,0.25,1.0,1.0,1.0,0.5,,0.34925,0.4444444444444444,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,2.0,1.0,,,0.5,,,,,,1.0,1.0,1.0,2.0,1.0,0.5,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627781,1610612758,Malachi Richardson,Malachi Richardson,1627781,SAC,347.0,6,-4,11,11,4,,1,22,,,,,,,,3.0,12.0,,,,,,,,,,,,,,,,,,,,1.0,,,,4,,,,,0.5,,0.5,,25.0,,,,,,,,,,1.0,0.49924999999999997,0.40155,,,,,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,1.0,3.0,,1.0,3.0,,,2.0,,,,,,,,,,,,,,,1.0,0.3333333333333333,,0.3333333333333333,1.0,,,,,,,0.3333333333333333,0.6666666666666666,,,,,1.0,,,25.099999999999998,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627834,1610612758,Georgios Papagiannis,Georgios Papagiannis,1627834,SAC,347.0,6,-4,11,11,4,,1,22,1.0,1.0,,,1.0,1.0,,2.0,12.0,,,,2.0,,,,,,1.0,1.0,1.0,,,,1.0,2.0,3.0,,,,,,4,1.0,1.0,1.0,,1.0,,1.0,,16.666666666666668,0.3333333333333333,0.25,0.5,1.0,1.0,1.0,1.0,,,1.0,0.9171,,,,,0.1,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200752,1610612758,Rudy Gay,Rudy Gay,200752,SAC,192.0,3,6,6,6,6,6.0,1,12,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,4.0,1.0,1.0,2.0,,2.0,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,2.0,6,,,1.0,1.0,0.5,0.5,0.5,0.5,28.57142857142857,,0.16666666666666666,,0.5,1.0,1.0,,0.5,1.0,1.0,0.5982,0.5982,,,1.0,1.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,0.5,,,,0.25,,,,0.5,,,,,0.5,,,78.3,,,,,0.5,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201585,1610612758,Kosta Koufos,Kosta Koufos,201585,SAC,449.0,7,-3,13,14,4,5.0,2,27,1.0,2.0,,,2.0,3.0,1.0,5.0,16.0,1.0,1.0,2.0,4.0,,,,,,,1.0,1.0,,,,,,,,1.0,2.0,1.0,2.0,4,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.625,1.0,26.666666666666668,,0.125,,0.6666666666666666,0.5,0.5,1.0,,,0.6666666666666666,0.5146333333333334,0.4096,0.25,0.25,0.4,4.666666666666667,0.3076923076923077,1.0,1.0,1.0,,,1.0,1.0,,2.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,0.3333333333333333,,,,,1.0,1.0,0.5792,0.4,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
