EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveMakes,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGM,Charge Fouls Drawn,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Technical Free Throw Trips,Defensive 3 Seconds Violations,3SecondViolations,Corner3PctBlocked,BlockedCorner3,BlockedLongMidRange,on
101107,1610612766,Marvin Williams,Marvin Williams,101107,CHA,70037.0,1167,110.0,2302,2304,462.0,252.0,257.0,4606,50.0,83.0,15.0,28.0,7.0,12.0,28.0,61.0,6.0,27.0,17.0,44.0,2.0,7.0,6.0,53.0,158.0,10.0,23.0,10.0,32.0,84.0,171.0,70.0,202.0,66.0,444.0,2444,17.0,36.0,12.0,30.0,8.0,78.0,14.0,23.0,10.0,38.0,25.0,83.0,114.0,54.0,204.0,6.0,22.0,1.0,1.0,156.0,52.0,16.0,1.0,47.0,22.0,69.0,21.0,1.0,28.0,7.0,12.0,160.0,13.0,36.0,1.0,104.0,103.0,16.0,223.0,50.0,273.0,9.0,34.0,27.0,7.0,18.0,5.0,12.0,15.0,6.0,1.0,2.0,33.0,5.0,9.0,29.0,3.0,58.0,1.0,1.0,5.0,61.0,4.0,1.0,2.0,76.0,6.0,28.0,2.0,10.0,24.0,2.0,2.0,18.0,6.0,26.0,16.0,1.0,1.0,79.0,456.0,3.0,7.0,0.6785714285714286,0.7808219178082192,0.9714285714285714,0.3465346534653465,0.4,0.2631578947368421,0.34328358208955223,0.49122807017543857,0.4722222222222222,0.6086956521739131,0.5067024128686327,0.5303030303030303,0.47540983606557374,0.5454545454545454,0.5571428571428572,0.5533333333333333,0.5415549597855228,0.0049504950495049506,0.0935672514619883,0.12048192771084337,0.08196721311475409,0.037037037037037035,0.006329113924050633,16.95568400770713,0.5454545454545454,0.43243243243243246,0.018518518518518517,0.16940789473684212,0.05056179775280899,0.2222222222222222,0.029885057471264367,0.19237918215613384,0.042720139494333044,0.04980842911877394,0.05945945945945946,0.045112781954887216,0.03116883116883117,0.02,0.11507936507936507,0.20512820512820512,0.21,0.2369146005509642,0.17142857142857143,0.04477611940298507,0.6153846153846154,0.2225201072386059,0.6024096385542169,0.684931506849315,0.64,0.16353887399463807,0.45901639344262296,0.5,0.6785714285714286,0.07238605898123325,0.2222222222222222,0.23076923076923078,1.0,0.11796246648793565,0.38636363636363635,0.38636363636363635,1.0,0.42359249329758714,0.33544303797468356,0.3375796178343949,0.9622641509433962,0.42424242424242425,0.5357142857142857,0.13333333333333333,0.10606060606060606,0.2857142857142857,1.0,0.3484848484848485,0.43478260869565216,0.9,0.19672131147540983,0.5833333333333334,0.09836065573770492,0.5245901639344263,0.3125,0.7640750670241286,0.3333333333333333,0.5294653225806452,0.561335,0.5136525,0.07556675062972293,0.14507772020725387,0.00980392156862745,0.17567567567567569,0.18693693693693694,6.628654970760235,25.075247524752477,0.20069504778453517,,,,,,,,,,,,True
1626163,1610612766,Frank Kaminsky,Frank Kaminsky,1626163,CHA,27728.0,462,114.0,922,901,226.0,102.0,93.0,1823,16.0,29.0,1.0,2.0,7.0,10.0,16.0,44.0,3.0,14.0,5.0,10.0,,3.0,6.0,21.0,71.0,1.0,6.0,9.0,17.0,35.0,87.0,26.0,81.0,22.0,170.0,944,4.0,8.0,1.0,9.0,8.0,19.0,12.0,20.0,13.0,23.0,5.0,68.0,52.0,18.0,78.0,,,,,71.0,21.0,5.0,1.0,23.0,17.0,40.0,15.0,2.0,12.0,3.0,8.0,97.0,5.0,4.0,,14.0,43.0,2.0,59.0,9.0,68.0,1.0,11.0,11.0,,4.0,2.0,3.0,6.0,1.0,,4.0,10.0,,4.0,17.0,1.0,26.0,,,,21.0,,1.0,,28.0,4.0,16.0,,,5.0,1.0,1.0,5.0,,6.0,4.0,,,68.0,220.0,3.0,,0.7428571428571429,0.7428571428571429,1.0,0.32098765432098764,0.1111111111111111,0.5652173913043478,0.32098765432098764,0.40229885057471265,0.5,0.6,0.44047619047619047,0.3235294117647059,0.7325581395348837,0.4722222222222222,0.4523809523809524,0.7555555555555555,0.48214285714285715,0.012345679012345678,0.05747126436781609,0.10344827586206896,0.045454545454545456,,0.014084507042253521,18.464528668610303,0.4,0.11764705882352941,,0.1575091575091575,0.015151515151515152,0.07291666666666667,0.029940119760479042,0.12258064516129032,0.02088167053364269,0.0196078431372549,0.02564102564102564,,0.03225806451612903,,0.14705882352941177,0.20253164556962025,0.13043478260869565,0.0728476821192053,0.07317073170731707,0.010101010101010102,0.6666666666666666,0.17261904761904762,0.5517241379310345,0.6153846153846154,0.8125,0.2619047619047619,0.36363636363636365,0.38095238095238093,0.625,0.08333333333333333,0.21428571428571427,0.21428571428571427,1.0,0.05952380952380952,0.5,0.5,1.0,0.4226190476190476,0.29577464788732394,0.3,1.0,0.11764705882352941,0.5,,0.17647058823529413,,,0.35294117647058826,0.16666666666666666,1.0,0.23255813953488372,0.7,0.13953488372093023,0.3953488372093023,0.5294117647058824,0.6547619047619048,0.29577464788732394,0.5016416666666668,0.4957090909090909,0.5193430232558138,0.08888888888888889,0.16161616161616163,,0.11176470588235295,0.4,7.589655172413792,25.491358024691355,0.24511930585683298,4.0,1.0,0.6666666666666666,,,,,,,,,True
201587,1610612766,Nicolas Batum,Nicolas Batum,201587,CHA,85363.0,1423,162.0,2826,2815,626.0,313.0,302.0,5641,38.0,66.0,9.0,12.0,2.0,6.0,45.0,109.0,62.0,152.0,6.0,19.0,2.0,6.0,2.0,62.0,209.0,7.0,21.0,13.0,50.0,145.0,327.0,68.0,228.0,118.0,612.0,2995,15.0,27.0,9.0,27.0,4.0,61.0,23.0,52.0,14.0,52.0,30.0,118.0,140.0,150.0,177.0,27.0,14.0,,1.0,208.0,62.0,22.0,1.0,195.0,71.0,266.0,55.0,16.0,132.0,41.0,22.0,603.0,7.0,17.0,,112.0,113.0,14.0,239.0,24.0,263.0,2.0,60.0,48.0,12.0,65.0,16.0,50.0,33.0,15.0,2.0,9.0,98.0,11.0,13.0,18.0,,55.0,3.0,4.0,,94.0,5.0,2.0,3.0,142.0,15.0,44.0,13.0,9.0,14.0,,,13.0,1.0,14.0,11.0,2.0,,113.0,612.0,4.0,3.0,0.4827586206896552,0.5072463768115942,0.8676470588235294,0.2982456140350877,0.3333333333333333,0.2692307692307692,0.29955947136563876,0.4434250764525994,0.5555555555555556,0.4423076923076923,0.44504504504504505,0.5277777777777778,0.4230769230769231,0.49337748344370863,0.5454545454545454,0.4829059829059829,0.41081081081081083,0.0043859649122807015,0.0672782874617737,0.18181818181818182,0.05504587155963303,0.02631578947368421,0.004784688995215311,22.099621689785625,0.6632653061224489,0.28,,0.14713541666666666,0.0199764982373678,0.19753086419753085,0.013435700575815739,0.16853932584269662,0.01749271137026239,0.015625,0.02608695652173913,0.019933554817275746,0.010752688172043012,0.03571428571428571,0.12861736334405144,0.1457286432160804,0.17054263565891473,0.19090909090909092,0.2204724409448819,0.006309148264984227,0.7857142857142857,0.11891891891891893,0.5757575757575758,0.7037037037037037,0.47368421052631576,0.1963963963963964,0.41284403669724773,0.4368932038834951,0.35555555555555557,0.27387387387387385,0.40789473684210525,0.4189189189189189,0.5806451612903226,0.03423423423423423,0.3157894736842105,0.3157894736842105,1.0,0.37657657657657656,0.2966507177033493,0.2980769230769231,0.8548387096774194,0.2222222222222222,0.75,0.3333333333333333,0.1111111111111111,0.3333333333333333,1.0,0.3888888888888889,0.3333333333333333,1.0,0.057692307692307696,0.3333333333333333,0.019230769230769232,0.4807692307692308,0.26,0.5297297297297298,0.2980769230769231,0.48626119133574003,0.5004662790697674,0.4699631067961166,0.0957983193277311,0.12359550561797752,0.05439330543933055,0.09967320261437909,0.19281045751633988,12.07737003058104,25.26535087719298,0.22151450813871196,1.0,,0.5,3.0,2.0,17.0,1.0,,,,,True
203148,1610612766,Brian Roberts,Brian Roberts,203148,CHA,6194.0,103,-35.0,202,200,59.0,39.0,16.0,402,1.0,4.0,,,1.0,3.0,,5.0,5.0,13.0,,1.0,,,,3.0,9.0,,1.0,1.0,2.0,6.0,22.0,3.0,10.0,9.0,30.0,216,1.0,2.0,,1.0,,2.0,3.0,10.0,1.0,2.0,5.0,14.0,2.0,10.0,6.0,3.0,,,,9.0,3.0,4.0,,4.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,14.0,,,,4.0,3.0,,7.0,,7.0,,5.0,3.0,2.0,6.0,3.0,5.0,4.0,1.0,,,10.0,,1.0,3.0,,4.0,,1.0,,5.0,,1.0,,9.0,,2.0,1.0,1.0,,,,,,,,,,14.0,58.0,,1.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3,,0.5,0.3,0.2727272727272727,0.5,0.3,0.328125,0.3333333333333333,0.375,0.4166666666666667,0.3333333333333333,0.5,0.3125,,0.18181818181818182,0.75,0.2,,,20.72072072072072,0.6,,,0.06521739130434782,,0.11428571428571428,,0.08641975308641975,,,,,,,0.10526315789473684,,0.06666666666666667,0.07692307692307693,0.2222222222222222,,,0.125,0.25,1.0,1.0,0.15625,,,,0.40625,0.38461538461538464,0.38461538461538464,,0.03125,,,,0.28125,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,,,,,0.3333333333333333,,,0.25,0.3333333333333333,,0.16666666666666666,0.5,0.4375,0.3333333333333333,0.47935312500000005,0.4629833333333333,0.4691624999999999,0.08571428571428572,0.08333333333333333,0.09090909090909091,0.06666666666666667,0.4666666666666667,13.077272727272726,25.449999999999996,0.29207920792079206,,,,1.0,,,,,,,,True
203469,1610612766,Cody Zeller,Cody Zeller,203469,CHA,103532.0,1726,210.0,3406,3396,759.0,409.0,366.0,6802,195.0,301.0,38.0,58.0,40.0,53.0,42.0,85.0,16.0,56.0,,,,,,,1.0,,,,1.0,253.0,442.0,,1.0,133.0,639.0,3601,43.0,70.0,,,22.0,108.0,45.0,69.0,,1.0,37.0,127.0,404.0,102.0,,,56.0,,,1.0,,55.0,,59.0,40.0,99.0,31.0,9.0,33.0,5.0,21.0,238.0,35.0,100.0,,111.0,152.0,7.0,270.0,135.0,405.0,9.0,62.0,40.0,22.0,29.0,1.0,19.0,36.0,10.0,1.0,1.0,65.0,5.0,10.0,98.0,11.0,189.0,6.0,21.0,23.0,160.0,16.0,5.0,4.0,196.0,21.0,85.0,,24.0,58.0,,,42.0,16.0,58.0,33.0,2.0,1.0,127.0,743.0,5.0,18.0,0.7984189723320159,0.8977777777777778,,,,,,0.5723981900452488,0.6142857142857143,0.6521739130434783,0.5711060948081265,0.6142857142857143,0.6428571428571429,0.6016949152542372,0.6352941176470588,0.635,0.002257336343115124,,0.1244343891402715,0.15946843853820597,0.08235294117647059,,,15.555555555555555,0.4461538461538462,0.11666666666666667,,0.16291532690246516,0.09624639076034648,0.15925394548063126,0.056179775280898875,0.16134969325153375,0.0812274368231047,0.13212435233160622,0.1003584229390681,0.05614973262032086,0.055357142857142855,0.06349206349206349,0.14171122994652408,0.16260162601626016,0.18849840255591055,0.16111111111111112,0.15286624203821655,0.06666666666666667,0.5689655172413793,0.6794582392776524,0.6478405315614618,0.7707509881422925,0.7794871794871795,0.19187358916478556,0.49411764705882355,0.5384615384615384,0.8571428571428571,0.12641083521444696,0.2857142857142857,0.2857142857142857,0.875,,,,,0.002257336343115124,,,,0.8285714285714286,0.6551724137931034,0.23684210526315788,,,,,,,0.7571428571428571,0.7547169811320755,,0.014285714285714285,,0.6817155756207675,,0.5948344243792326,0.6002033333333333,0.6395035714285714,0.16765285996055226,0.16798418972332016,,0.16901408450704225,0.19874804381846636,4.472624434389141,24.9,0.22284204345273048,,2.0,,1.0,,,4.0,2.0,,,,True
1626203,1610612766,Treveon Graham,Treveon Graham,1626203,CHA,2665.0,44,16.0,88,88,41.0,28.0,7.0,176,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,1.0,2.0,2.0,,,2.0,2.0,1.0,2.0,3.0,4.0,,11.0,79,,,,,,,,,3.0,3.0,,9.0,,2.0,9.0,,,,,2.0,2.0,,,2.0,2.0,4.0,2.0,,1.0,,1.0,10.0,,,,2.0,1.0,,3.0,,3.0,,2.0,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,4.0,,8.0,,,,2.0,,,,,,,,,,,,,,,,,,9.0,41.0,,,,,1.0,0.75,,1.0,0.75,0.5,,,0.9166666666666666,,1.5,0.9166666666666666,,1.5,0.6666666666666666,,,,,,,7.291666666666667,1.0,,,0.03571428571428571,,0.125,,0.06818181818181818,,,,,,,,,0.125,0.15384615384615385,,,,,,,,0.16666666666666666,1.0,1.0,,0.16666666666666666,,,,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,0.4731,,0.54005,,,,,0.8181818181818182,16.2,24.625,0.4659090909090909,1.0,1.0,1.0,,,,,,,,,True
201158,1610612766,Marco Belinelli,Marco Belinelli,201158,CHA,27120.0,452,109.0,911,879,341.0,174.0,88.0,1790,14.0,21.0,2.0,2.0,5.0,7.0,6.0,11.0,20.0,45.0,6.0,10.0,1.0,2.0,3.0,21.0,60.0,4.0,7.0,6.0,18.0,40.0,77.0,27.0,70.0,43.0,204.0,952,2.0,3.0,5.0,9.0,3.0,22.0,11.0,24.0,8.0,21.0,17.0,63.0,54.0,26.0,75.0,6.0,2.0,,,60.0,21.0,3.0,,27.0,12.0,39.0,7.0,5.0,18.0,6.0,3.0,90.0,4.0,1.0,,21.0,16.0,,37.0,5.0,42.0,,14.0,10.0,4.0,11.0,2.0,7.0,5.0,4.0,,1.0,16.0,,7.0,15.0,,24.0,,1.0,2.0,36.0,1.0,4.0,1.0,47.0,1.0,11.0,5.0,5.0,3.0,,,3.0,,3.0,1.0,,,58.0,335.0,1.0,2.0,0.675,0.6923076923076923,0.9259259259259259,0.38571428571428573,0.5555555555555556,0.38095238095238093,0.38571428571428573,0.5194805194805194,0.6666666666666666,0.4583333333333333,0.5476190476190477,0.7916666666666666,0.5111111111111111,0.6077844311377245,0.7857142857142857,0.5833333333333334,0.47619047619047616,,0.03896103896103896,0.09523809523809523,,0.022222222222222223,,18.208955223880597,0.6875,,,0.07239819004524888,0.004081632653061225,0.12138728323699421,0.023668639053254437,0.09390862944162437,0.012077294685990338,,,0.010752688172043012,0.01935483870967742,0.07142857142857142,0.036585365853658534,0.05172413793103448,0.12345679012345678,0.11811023622047244,0.13043478260869565,,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.7368421052631579,0.7857142857142857,0.07482993197278912,0.5454545454545454,0.5454545454545454,0.3333333333333333,0.30612244897959184,0.4444444444444444,0.45454545454545453,0.7,0.06802721088435375,0.6,0.6,1.0,0.40816326530612246,0.35,0.35,0.9047619047619048,0.16666666666666666,1.0,0.5,0.16666666666666666,0.5,1.0,0.5833333333333334,0.5714285714285714,1.0,0.15555555555555556,0.7142857142857143,0.06666666666666667,0.4,0.3333333333333333,0.6190476190476191,0.35,0.4927582191780822,0.5404562500000001,0.49510888888888893,0.09876543209876543,0.12643678160919541,0.06666666666666667,0.10784313725490197,0.3088235294117647,12.315584415584416,25.34571428571428,0.3743139407244786,2.0,,0.6666666666666666,,,1.0,,,,,,True
202689,1610612766,Kemba Walker,Kemba Walker,202689,CHA,92527.0,1542,248.0,3047,3033,668.0,332.0,322.0,6080,138.0,255.0,8.0,14.0,37.0,69.0,21.0,63.0,71.0,158.0,12.0,22.0,2.0,5.0,4.0,126.0,329.0,13.0,36.0,35.0,91.0,230.0,476.0,138.0,351.0,154.0,1028.0,3217,17.0,27.0,15.0,41.0,12.0,91.0,55.0,113.0,37.0,95.0,61.0,282.0,100.0,360.0,228.0,186.0,,,1.0,328.0,126.0,48.0,8.0,177.0,73.0,250.0,65.0,8.0,100.0,34.0,43.0,573.0,7.0,13.0,,59.0,72.0,4.0,135.0,20.0,155.0,8.0,49.0,35.0,14.0,68.0,10.0,38.0,28.0,30.0,1.0,2.0,96.0,5.0,21.0,33.0,4.0,58.0,,1.0,,165.0,6.0,9.0,8.0,184.0,17.0,64.0,10.0,21.0,7.0,1.0,1.0,6.0,1.0,8.0,6.0,,,274.0,652.0,4.0,16.0,0.21739130434782608,0.21739130434782608,0.5507246376811594,0.39316239316239315,0.36585365853658536,0.3894736842105263,0.3942857142857143,0.4831932773109244,0.6296296296296297,0.48672566371681414,0.528415961305925,0.5808823529411765,0.53125,0.5685840707964602,0.6232876712328768,0.5826446280991735,0.4244256348246675,0.022792022792022793,0.10084033613445378,0.1607843137254902,0.06349206349206349,0.0189873417721519,0.0182370820668693,29.299736302373276,0.7083333333333334,0.08333333333333333,,0.08500590318772137,0.014460511679644048,0.09350237717908082,0.012544802867383513,0.08863328822733424,0.013726835964310227,0.023121387283236993,0.00847457627118644,0.00946372239747634,0.01195219123505976,0.017857142857142856,0.08579881656804733,0.06422018348623854,0.09965635738831616,0.09898989898989899,0.07352941176470588,0.020460358056265986,0.75,0.3083434099153567,0.5411764705882353,0.6448598130841121,0.2753623188405797,0.0761789600967352,0.3333333333333333,0.3559322033898305,0.09523809523809523,0.19105199516324062,0.44936708860759494,0.45806451612903226,0.14084507042253522,0.026602176541717048,0.5454545454545454,0.6,0.9166666666666666,0.3978234582829504,0.3829787234042553,0.39009287925696595,0.5158730158730159,0.20588235294117646,0.5714285714285714,0.125,0.07352941176470588,0.4,1.0,0.5294117647058824,0.3611111111111111,0.5384615384615384,0.3317307692307692,0.5362318840579711,0.019230769230769232,0.4375,0.38461538461538464,0.7327690447400241,0.38414634146341464,0.5261191283292977,0.521499074074074,0.519069082125604,0.08380520951302378,0.12237093690248566,0.027777777777777776,0.08852140077821012,0.27431906614785995,7.90483193277311,25.481196581196592,0.21923203150639975,2.0,12.0,0.5,15.0,1.0,3.0,,,0.09090909090909091,,,True
203087,1610612766,Jeremy Lamb,Jeremy Lamb,203087,CHA,18334.0,306,36.0,591,594,156.0,96.0,68.0,1185,24.0,32.0,2.0,5.0,5.0,6.0,16.0,27.0,16.0,34.0,1.0,4.0,,,1.0,11.0,30.0,2.0,2.0,4.0,9.0,56.0,93.0,12.0,34.0,23.0,171.0,645,8.0,12.0,2.0,2.0,2.0,24.0,9.0,18.0,4.0,10.0,10.0,40.0,40.0,72.0,33.0,3.0,6.0,,,30.0,11.0,1.0,,12.0,5.0,17.0,5.0,,6.0,,6.0,39.0,2.0,5.0,,19.0,36.0,,55.0,7.0,62.0,3.0,6.0,5.0,1.0,8.0,1.0,5.0,2.0,3.0,,,10.0,1.0,2.0,13.0,2.0,22.0,1.0,,,29.0,2.0,1.0,,26.0,5.0,11.0,1.0,3.0,6.0,1.0,,4.0,1.0,7.0,3.0,,,39.0,152.0,1.0,2.0,0.35714285714285715,0.37735849056603776,0.9166666666666666,0.35294117647058826,1.0,0.4,0.35294117647058826,0.6021505376344086,0.6666666666666666,0.5,0.5826771653543307,0.7857142857142857,0.5357142857142857,0.6240875912408759,0.8,0.625,0.2677165354330709,,0.010752688172043012,0.03125,,,,22.07207207207207,0.8,,,0.20689655172413793,0.02617801047120419,0.14285714285714285,0.019230769230769232,0.1791530944625407,0.023728813559322035,0.030303030303030304,0.017857142857142856,0.028985507246376812,0.021505376344086023,,0.08955223880597014,0.2037037037037037,0.3584905660377358,0.16666666666666666,0.06451612903225806,0.05357142857142857,0.42857142857142855,0.25196850393700787,0.75,0.7741935483870968,0.2916666666666667,0.2125984251968504,0.5925925925925926,0.5925925925925926,0.4375,0.2677165354330709,0.47058823529411764,0.47058823529411764,0.375,0.031496062992125984,0.25,0.25,1.0,0.23622047244094488,0.36666666666666664,0.36666666666666664,0.9090909090909091,0.35714285714285715,0.4,,,,,0.14285714285714285,1.0,1.0,0.21428571428571427,0.8333333333333334,0.03571428571428571,0.32142857142857145,0.4444444444444444,0.5196850393700787,0.36666666666666664,0.4952,0.554188888888889,0.48677321428571424,0.08955223880597014,0.1111111111111111,0.02857142857142857,0.14035087719298245,0.23391812865497075,9.05483870967742,25.361764705882354,0.2639593908629442,,,,,,,,,,1.0,1.0,True
201150,1610612766,Spencer Hawes,Spencer Hawes,201150,CHA,1010.0,17,,34,31,20.0,13.0,1.0,65,2.0,2.0,,,2.0,2.0,,,,1.0,,,,,,1.0,2.0,,,,1.0,2.0,3.0,1.0,2.0,,7.0,36,,,,,,,2.0,3.0,,1.0,,4.0,4.0,,3.0,,,,,2.0,1.0,,,3.0,,3.0,,,3.0,,,6.0,,,,,4.0,,4.0,,4.0,,,,,1.0,,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,4.0,19.0,,,1.0,1.0,1.0,0.5,,,0.5,0.6666666666666666,,0.6666666666666666,0.7,,0.5,0.7,,0.5,0.4,,,,,,,16.666666666666668,1.0,,,0.2857142857142857,,,,0.21052631578947367,,,,,,,0.3333333333333333,0.5,,,,,,0.4,1.0,1.0,1.0,,,,,0.2,,,,,,,,0.4,0.5,0.5,1.0,,,,,,,,,,0.5,1.0,,0.25,,0.8,0.5,0.59392,,0.607325,,,,,0.5714285714285714,5.366666666666667,26.35,0.5882352941176471,,,,,,,,,,,,True
