EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Charge Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Corner3Assists,AtRimAssists,LongMidRangeAssists,PenaltyTurnovers,FTA,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyFtPoints,DefThreePtRebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,StepOutOfBoundsTurnovers,Travels,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,HeaveAttempts,Fg3aBlocked,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,BlockingFouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Clear Path Fouls,Corner3PctBlocked,FTOffRebounds,Charge Fouls,BlockingFoulsDrawn,OffFTReboundPct,Defensive 3 Seconds Violations,Blocked3s,BlockedArc3,on,3SecondViolations,BlockedCorner3,OffensiveGoaltends
101106,1610612742,Andrew Bogut,Andrew Bogut,101106,DAL,1450.0,24,-14.0,47,48,12,13,2.0,95,1.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0,6.0,64,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,12,0.6666666666666666,1.0,0.6,1.0,0.6,1.0,0.6,1.0,0.2,0.5,16.3265306122449,1.0,0.16666666666666666,0.18181818181818182,0.11764705882352941,0.10526315789473684,0.2,0.25,0.25,0.3333333333333333,0.5,0.4,0.5,1.0,0.6,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.4,0.4219200000000001,0.5552,0.3333333333333333,5.119999999999999,0.2553191489361702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
101114,1610612742,Deron Williams,Deron Williams,101114,DAL,1912.0,32,-3.0,60,63,16,11,2.0,123,1.0,1.0,,,,,3.0,4.0,22.0,77,,,,,6.0,,,1.0,6.0,,13.0,,,,,,1.0,1.0,,1.0,1.0,1.0,,5.0,,,,,,16,,,0.75,,0.9375,,1.0,,,,19.35483870967742,1.0,,,,,,,,,,0.125,1.0,1.0,,,,,,,0.625,0.51276875,,,14.0,0.26666666666666666,1.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,4.0,7.0,2.0,2.0,1.0,2.0,7.0,3.0,6.0,4.0,3.0,5.0,1.0,3.0,2.0,1.0,7.0,1.0,3.0,1.0,7.0,0.3333333333333333,0.75,0.5,0.75,1.0,0.875,0.875,0.5,0.375,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.3333333333333333,0.25,1.0,0.5,0.5,0.75,0.547725,0.36363636363636365,0.42857142857142855,0.25,0.3181818181818182,24.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1626780,1610612742,Jonathan Gibson,Jonathan Gibson,1626780,DAL,4341.0,72,-8.0,148,149,60,52,17.0,297,2.0,2.0,,,2.0,3.0,6.0,12.0,32.0,161,,,,2.0,10.0,,,5.0,9.0,4.0,23.0,,4.0,6.0,,6.0,1.0,1.0,,4.0,1.0,3.0,,8.0,1.0,,,,,59,0.16666666666666666,0.16666666666666666,0.5,,0.48,,0.5161290322580645,,,,21.08433734939759,0.25,0.10810810810810811,,0.10344827586206896,,,,0.16666666666666666,0.07692307692307693,,0.08,1.0,1.0,0.12,0.6666666666666666,0.6666666666666666,,,,0.6,0.47776000000000013,,,13.966666666666663,0.40540540540540543,2.0,2.0,2.0,7.0,4.0,13.0,2.0,4.0,4.0,13.0,8.0,3.0,6.0,2.0,4.0,17.0,9.0,3.0,13.0,4.0,4.0,1.0,4.0,,2.0,12.0,,2.0,,15.0,0.75,0.3076923076923077,0.5,0.3076923076923077,0.5,0.6,0.6071428571428571,0.52,0.28,0.2857142857142857,0.2857142857142857,0.52,0.3076923076923077,0.3076923076923077,0.75,0.2,1.0,0.4,0.5,0.3076923076923077,0.500585,0.07407407407407407,0.14285714285714285,,0.53125,25.38461538461538,5.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,0.09523809523809523,0.1111111111111111,0.06666666666666667,0.16666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1627852,1610612742,Nicolas Brussino,Nicolas Brussino,1627852,DAL,31280.0,521,-107.0,1024,1027,268,325,120.0,2051,11.0,14.0,6.0,7.0,4.0,9.0,23.0,46.0,150.0,1165,7.0,10.0,31.0,28.0,18.0,4.0,4.0,12.0,47.0,10.0,106.0,8.0,36.0,69.0,26.0,95.0,14.0,11.0,3.0,26.0,20.0,43.0,2.0,25.0,,8.0,5.0,8.0,6.0,266,0.6086956521739131,0.6666666666666666,0.5,0.7,0.4716312056737589,0.5909090909090909,0.49333333333333335,0.62,0.08695652173913043,0.07142857142857142,15.133276010318141,0.5384615384615384,0.13533834586466165,0.03076923076923077,0.15186915887850466,0.05179282868525897,0.04,0.03508771929824561,0.1411764705882353,0.16666666666666666,0.75,0.09929078014184398,0.7857142857142857,0.8461538461538461,0.06382978723404255,0.4444444444444444,0.5714285714285714,0.25,0.3181818181818182,0.8571428571428571,0.7730496453900709,0.5015285714285713,0.544875,0.20666666666666667,11.130434782608694,0.26171875,2.0,3.0,8.0,23.0,20.0,77.0,4.0,19.0,29.0,95.0,17.0,3.0,8.0,5.0,24.0,28.0,87.0,,76.0,20.0,35.0,2.0,22.0,9.0,6.0,22.0,,6.0,,28.0,1.0,0.30526315789473685,0.20833333333333334,0.30851063829787234,0.375,0.328125,0.3783783783783784,0.6737588652482269,0.16312056737588654,0.34782608695652173,0.36363636363636365,0.5460992907801419,0.2597402597402597,0.2631578947368421,1.0,0.09375,0.6666666666666666,0.59375,0.21052631578947367,0.2631578947368421,0.49365161290322584,0.041379310344827586,0.12,,0.18666666666666668,25.787368421052633,7.0,29.0,17.0,12.0,5.0,12.0,3.0,1.0,,2.0,2.0,5.0,5.0,0.17901234567901234,0.10309278350515463,0.17692307692307693,0.1875,0.7272727272727273,9.0,18.0,2.0,5.0,1.0,5.0,2.0,7.0,4.0,12.0,5.0,1.0,1.0,4.0,18.0,4.0,1.0,5.0,2.0,4.0,5.0,2.0,2.0,1.0,2.0,1.0,10.0,0.3333333333333333,0.010526315789473684,0.2222222222222222,0.043478260869565216,0.012987012987012988,0.12903225806451613,0.0743801652892562,0.014084507042253521,0.07352941176470588,0.07894736842105263,0.012195121951219513,0.625,0.1276595744680851,0.5,0.5,1.0,0.5,0.22727272727272727,0.4,1.0,0.3181818181818182,0.2857142857142857,1.0,0.15625,0.2,,,,,,,,,,True,,,
203084,1610612742,Harrison Barnes,Harrison Barnes,203084,DAL,9794.0,163,-10.0,313,314,52,82,29.0,627,10.0,13.0,4.0,4.0,12.0,22.0,35.0,57.0,129.0,369,4.0,4.0,13.0,16.0,54.0,6.0,4.0,3.0,5.0,2.0,13.0,4.0,11.0,15.0,7.0,22.0,5.0,1.0,4.0,6.0,6.0,7.0,,26.0,,,,,,52,0.22857142857142856,0.25,0.6140350877192983,1.0,0.7142857142857143,1.1,0.7588235294117647,1.0833333333333333,0.07017543859649122,0.15384615384615385,26.3768115942029,0.8333333333333334,0.13095238095238096,0.05970149253731343,0.11666666666666667,0.0546875,,0.1,0.14814814814814814,0.13043478260869565,,0.18571428571428572,0.7692307692307693,0.9090909090909091,0.3142857142857143,0.5454545454545454,0.6,0.08333333333333333,0.8,1.0,0.37142857142857144,0.4709071428571429,0.6854166666666667,0.10077519379844961,10.6,0.16613418530351437,2.0,2.0,13.0,22.0,5.0,7.0,,,10.0,13.0,29.0,8.0,10.0,2.0,2.0,33.0,27.0,3.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,34.0,,15.0,,33.0,0.9,0.7692307692307693,1.0,0.7692307692307693,0.8,0.9166666666666666,0.9705882352941176,0.18571428571428572,0.3142857142857143,0.5909090909090909,0.5909090909090909,0.1,0.7142857142857143,0.7142857142857143,1.0,0.16666666666666666,1.0,,,0.7142857142857143,0.43499166666666667,0.18292682926829268,0.21739130434782608,,0.2558139534883721,24.607692307692307,11.0,3.0,3.0,3.0,,1.0,,,,,1.0,3.0,2.0,0.08333333333333333,0.11764705882352941,0.03571428571428571,0.25,0.2,5.0,6.0,,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,3.0,1.0,2.0,1.0,,1.0,1.0,3.0,1.0,,,,,1.0,,0.09090909090909091,,,0.08333333333333333,0.04918032786885246,0.045454545454545456,0.058823529411764705,,0.09523809523809523,0.38461538461538464,0.08571428571428572,0.8333333333333334,0.8333333333333334,0.8,0.25,,,,0.2,1.0,1.0,0.16666666666666666,1.0,,,,,,,,,,True,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,4283.0,71,-37.0,143,144,9,34,14.0,287,2.0,3.0,,,2.0,8.0,18.0,40.0,47.0,172,1.0,2.0,2.0,28.0,8.0,,1.0,1.0,1.0,,3.0,1.0,10.0,15.0,2.0,17.0,3.0,3.0,,4.0,2.0,5.0,1.0,6.0,,1.0,,1.0,1.0,9,0.7777777777777778,0.7777777777777778,0.45,0.5,0.4411764705882353,0.3333333333333333,0.4519230769230769,0.3333333333333333,0.025,,35.0,0.75,0.3225806451612903,0.020833333333333332,0.25,0.024691358024691357,,0.04,0.25,0.3125,1.0,0.058823529411764705,0.6666666666666666,0.6666666666666666,0.1568627450980392,0.25,0.25,0.5,,,0.27450980392156865,0.4365333333333334,0.44520000000000004,0.0425531914893617,14.867499999999998,0.06293706293706294,,,14.0,29.0,3.0,9.0,,,3.0,11.0,2.0,1.0,2.0,,,2.0,9.0,,9.0,3.0,,1.0,,,,2.0,,1.0,,2.0,1.0,0.2727272727272727,,0.2727272727272727,0.5,0.5,0.5,0.21568627450980393,0.5686274509803921,0.4827586206896552,0.5,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,,,,,0.3333333333333333,0.4209,0.019230769230769232,0.024390243902439025,,0.0425531914893617,25.62727272727273,,3.0,,,,1.0,,,,2.0,1.0,,,0.14285714285714285,0.42857142857142855,0.11764705882352941,0.25,0.5,,2.0,,,,,,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,1.0,,1.0,,,,0.034482758620689655,,1.0,0.030303030303030304,,0.03571428571428571,,,0.8571428571428571,0.0392156862745098,,,,,,,,0.3333333333333333,,,,,1.0,,,,,,,,,True,,,
202083,1610612742,Wesley Matthews,Wesley Matthews,202083,DAL,3348.0,56,-15.0,116,119,35,61,11.0,235,2.0,3.0,1.0,1.0,,,4.0,7.0,14.0,129,1.0,1.0,2.0,2.0,6.0,,1.0,,1.0,,2.0,1.0,3.0,5.0,2.0,7.0,3.0,2.0,1.0,6.0,2.0,4.0,,4.0,1.0,1.0,1.0,1.0,1.0,35,0.25,0.25,0.5714285714285714,1.0,0.4375,0.5,0.4375,0.5,0.14285714285714285,,17.05426356589147,0.5,0.12,0.037037037037037035,0.11627906976744186,0.038461538461538464,0.09090909090909091,,,0.2857142857142857,1.0,0.1875,0.6666666666666666,0.6666666666666666,,,,,0.5,1.0,0.75,0.483896875,0.5397,0.14285714285714285,10.885714285714284,0.3017241379310345,,1.0,2.0,4.0,1.0,5.0,1.0,2.0,2.0,9.0,,,1.0,1.0,4.0,3.0,3.0,3.0,5.0,1.0,1.0,,1.0,,1.0,,,,,3.0,0.5,0.2222222222222222,0.25,0.2222222222222222,,0.3,0.3,0.5625,0.25,0.5,0.6666666666666666,0.3125,0.2,0.2,,0.2,,0.4,0.5,0.2,0.4997,,,,0.21428571428571427,25.866666666666667,,2.0,1.0,,1.0,3.0,,,,2.0,1.0,,,0.1111111111111111,0.08333333333333333,0.125,,0.5,1.0,4.0,,,,2.0,,1.0,,1.0,,,,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,0.25,,,0.04,,0.05263157894736842,,,,0.25,0.25,0.25,1.0,1.0,,,,0.5,,,0.4,,,,,,,,,,,True,,,
203552,1610612742,Seth Curry,Seth Curry,203552,DAL,7643.0,127,5.0,244,236,34,62,25.0,480,2.0,4.0,,1.0,4.0,7.0,13.0,20.0,64.0,267,,1.0,7.0,,26.0,,,5.0,13.0,4.0,31.0,,3.0,6.0,1.0,7.0,5.0,3.0,2.0,14.0,5.0,13.0,1.0,8.0,1.0,,,,,34,,,0.65,,0.56,1.0,0.5961538461538461,1.0,,,24.354243542435423,0.35714285714285715,0.05084745762711865,,0.06382978723404255,0.009174311926605505,,,,0.058823529411764705,,0.08,0.5,0.5,0.14,0.5714285714285714,0.5714285714285714,,0.3333333333333333,,0.68,0.48815,0.5781,0.109375,11.61,0.13934426229508196,1.0,1.0,7.0,9.0,7.0,25.0,2.0,4.0,10.0,30.0,8.0,2.0,2.0,2.0,5.0,11.0,18.0,12.0,25.0,7.0,8.0,1.0,4.0,4.0,4.0,8.0,1.0,3.0,1.0,11.0,0.6,0.3333333333333333,0.4,0.3333333333333333,1.0,0.7142857142857143,0.7857142857142857,0.6,0.18,0.7777777777777778,0.7777777777777778,0.5,0.28,0.28,0.5714285714285714,0.14285714285714285,1.0,0.5714285714285714,0.5,0.28,0.5275571428571428,0.07692307692307693,0.13636363636363635,0.03333333333333333,0.171875,25.299999999999997,1.0,3.0,4.0,4.0,,9.0,,,3.0,,,,,0.08571428571428572,0.1,0.1,,,3.0,5.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,,1.0,,1.0,3.0,,,1.0,1.0,2.0,,,,1.0,1.0,0.03333333333333333,,,,,0.018518518518518517,,0.02127659574468085,,0.04,,0.1,0.6,0.75,0.6666666666666666,,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.14285714285714285,,,0.2,,,,,,,,True,,,
1626147,1610612742,Justin Anderson,Justin Anderson,1626147,DAL,10091.0,168,7.0,339,338,114,141,45.0,677,18.0,29.0,4.0,6.0,6.0,12.0,24.0,49.0,105.0,366,7.0,11.0,27.0,22.0,26.0,2.0,3.0,6.0,14.0,3.0,34.0,6.0,18.0,33.0,13.0,46.0,8.0,3.0,5.0,18.0,6.0,14.0,1.0,24.0,,3.0,2.0,3.0,3.0,113,0.4583333333333333,0.4782608695652174,0.4897959183673469,0.6363636363636364,0.46987951807228917,0.7692307692307693,0.5357142857142857,0.7941176470588235,0.061224489795918366,0.034482758620689655,30.05181347150259,0.4444444444444444,0.21951219512195122,0.07317073170731707,0.20714285714285716,0.06535947712418301,0.07692307692307693,0.034482758620689655,0.3076923076923077,0.25925925925925924,1.0,0.3493975903614458,0.6206896551724138,0.6428571428571429,0.14457831325301204,0.5,0.5454545454545454,0.16666666666666666,0.46153846153846156,0.6666666666666666,0.7590361445783133,0.521762048192771,0.54291875,0.2571428571428571,5.887755102040815,0.336283185840708,9.0,15.0,,8.0,8.0,30.0,4.0,10.0,10.0,34.0,27.0,12.0,22.0,5.0,12.0,54.0,27.0,3.0,30.0,8.0,8.0,3.0,6.0,2.0,7.0,33.0,,17.0,,54.0,0.9,0.29411764705882354,0.4166666666666667,0.29411764705882354,0.5454545454545454,0.5735294117647058,0.6428571428571429,0.40963855421686746,0.0963855421686747,,,0.3614457831325301,0.26666666666666666,0.26666666666666666,0.875,0.4411764705882353,0.6,0.29411764705882354,0.4,0.26666666666666666,0.5670323529411765,0.17525773195876287,0.2698412698412698,,0.5142857142857142,25.602941176470583,15.0,11.0,10.0,7.0,3.0,10.0,,2.0,,,2.0,1.0,1.0,0.1896551724137931,0.10344827586206896,0.21739130434782608,0.08333333333333333,0.5555555555555556,2.0,4.0,,,1.0,2.0,2.0,2.0,2.0,2.0,7.0,,,,4.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,,,1.0,,1.0,1.0,,0.08333333333333333,0.125,,0.4444444444444444,0.056338028169014086,0.1111111111111111,0.046875,0.14285714285714285,0.06521739130434782,,0.04819277108433735,0.5,0.5,1.0,0.75,,,,0.15384615384615385,1.0,1.0,0.058823529411764705,0.5,,,3.0,2.0,2.0,0.25,,,,True,,,
203939,1610612742,Dwight Powell,Dwight Powell,203939,DAL,17928.0,299,-80.0,586,591,150,162,71.0,1177,29.0,37.0,6.0,6.0,7.0,14.0,39.0,65.0,144.0,657,6.0,7.0,19.0,62.0,16.0,10.0,6.0,11.0,18.0,8.0,47.0,11.0,29.0,49.0,19.0,68.0,8.0,4.0,4.0,12.0,17.0,31.0,3.0,28.0,,7.0,5.0,7.0,5.0,149,0.7948717948717948,0.9117647058823529,0.6,0.8571428571428571,0.5405405405405406,0.75,0.5714285714285714,0.7307692307692307,0.09230769230769231,0.13513513513513514,20.65868263473054,0.6666666666666666,0.18471337579617833,0.0718954248366013,0.17829457364341086,0.06312292358803986,0.06976744186046512,0.07142857142857142,0.2222222222222222,0.13725490196078433,0.7142857142857143,0.3333333333333333,0.7837837837837838,0.90625,0.12612612612612611,0.5,0.5384615384615384,0.7142857142857143,0.5,1.0,0.7477477477477478,0.5604549549549549,0.5563857142857143,0.13194444444444445,6.107692307692307,0.25597269624573377,7.0,8.0,3.0,14.0,14.0,38.0,4.0,11.0,14.0,46.0,24.0,10.0,17.0,4.0,15.0,40.0,42.0,,38.0,14.0,7.0,3.0,4.0,2.0,4.0,32.0,,13.0,1.0,40.0,1.0,0.30434782608695654,0.26666666666666666,0.30434782608695654,0.5882352941176471,0.5,0.5263157894736842,0.4144144144144144,0.12612612612612611,0.21428571428571427,0.21428571428571427,0.34234234234234234,0.3684210526315789,0.3684210526315789,1.0,0.25,0.875,0.34375,0.36363636363636365,0.3684210526315789,0.522284375,0.11290322580645161,0.16883116883116883,0.02127659574468085,0.2777777777777778,24.721739130434788,8.0,17.0,10.0,7.0,3.0,4.0,,,1.0,1.0,1.0,2.0,2.0,0.16831683168316833,0.19230769230769232,0.16049382716049382,0.2,0.8275862068965517,,8.0,,,,4.0,2.0,5.0,2.0,5.0,1.0,,,1.0,8.0,3.0,1.0,2.0,1.0,,3.0,1.0,,,2.0,,3.0,0.4,,0.07142857142857142,,,0.1875,0.05405405405405406,0.075,0.05511811023622047,0.047619047619047616,0.019230769230769232,0.6666666666666666,0.07207207207207207,,,,0.16666666666666666,,,,0.4166666666666667,0.4,1.0,0.125,,,,,,4.0,,,,,True,,,
