EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,ShortMidRangePctBlocked,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Corner3Assists,Charge Fouls Drawn,LostBallSteals,2pt And 1 Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,SelfOReb,Charge Fouls,ThreePtShootingFoulsDrawn,SelfORebPct,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,BlockedAtRim,Travels,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PtsUnassisted3s,StepOutOfBoundsTurnovers,BlockedLongMidRange,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,BlockedCorner3,3pt And 1 Free Throw Trips,DefensiveGoaltends,Defensive 3 Seconds Violations,OffensiveGoaltends,Clear Path Fouls,3SecondViolations,HeaveMakes,Corner3PctBlocked
1626245,1610612741,Cristiano Felicio,Cristiano Felicio,1626245,CHI,5013.0,84,22.0,179,172,57.0,83.0,28,351,7.0,9.0,4.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,7.0,11.0,2.0,9.0,23.0,156,4.0,5.0,2.0,10.0,2.0,4.0,1.0,3.0,7.0,6.0,8.0,8.0,2.0,1.0,9.0,9.0,6.0,2.0,1.0,18.0,4.0,5.0,1.0,4.0,11.0,1.0,16.0,10.0,26.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,10.0,1.0,1.0,12.0,2.0,1.0,16.0,7.0,1.0,7.0,57.0,2.0,1.0,0.42857142857142855,1.0,0.6363636363636364,0.8,0.5,0.5384615384615384,0.8,0.4,0.5476190476190477,0.625,0.4375,0.15384615384615385,0.09090909090909091,0.1111111111111111,12.019230769230768,0.25,1.0,0.16666666666666666,0.2558139534883721,0.12195121951219512,0.125,0.1,0.2,0.1111111111111111,0.13333333333333333,0.14285714285714285,0.08333333333333333,0.1111111111111111,0.23529411764705882,0.2,0.5,0.16,0.6923076923076923,0.7777777777777778,0.875,0.42857142857142855,0.07692307692307693,0.07692307692307693,0.15384615384615385,1.0,0.8,0.6,0.6666666666666666,0.2,0.8461538461538461,0.5744692307692307,0.72445,0.51588,0.35,0.3888888888888889,0.43478260869565216,0.30434782608695654,3.3363636363636364,30.0,0.31843575418994413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1627756,1610612741,Denzel Valentine,Denzel Valentine,1627756,CHI,3237.0,54,36.0,112,109,30.0,41.0,13,221,3.0,4.0,,,1.0,1.0,7.0,6.0,10.0,1.0,9.0,17.0,12.0,3.0,36.0,93,,,,3.0,2.0,4.0,2.0,2.0,12.0,10.0,8.0,,10.0,1.0,,4.0,,,,12.0,1.0,,,2.0,5.0,,7.0,1.0,8.0,2.0,2.0,4.0,,3.0,,,4.0,1.0,3.0,,,2.0,,,3.0,,1.0,12.0,30.0,,1.0,0.5555555555555556,0.5555555555555556,0.5294117647058824,,0.5,0.5689655172413793,1.5,0.8333333333333334,0.5833333333333334,1.5,0.8571428571428571,0.41379310344827586,0.058823529411764705,,26.984126984126984,1.0,,,0.18518518518518517,,0.08695652173913043,0.04,0.14,0.020833333333333332,,,,0.043478260869565216,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0625,0.13793103448275862,0.75,0.75,1.0,0.2413793103448276,0.20689655172413793,0.3448275862068966,,,0.16666666666666666,1.0,0.16666666666666666,0.5517241379310345,0.5037793103448276,0.5055,0.518925,,,0.08333333333333333,0.3333333333333333,10.758823529411766,25.825,0.26785714285714285,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,15.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,0.4166666666666667,1.0,1.0,0.4166666666666667,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.5,0.3333333333333333,0.5,0.5,0.3333333333333333,0.06896551724137931,1.0,1.0,1.0,0.3,0.3,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,0.3,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1627853,1610612741,Ryan Arcidiacono,Ryan Arcidiacono,1627853,CHI,2488.0,41,31.0,92,84,38.0,39.0,11,176,,,,,,,2.0,3.0,8.0,3.0,4.0,5.0,8.0,1.0,27.0,70,1.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,8.0,6.0,2.0,,8.0,,2.0,5.0,2.0,,,13.0,,1.0,,7.0,1.0,,8.0,1.0,9.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,2.0,,,2.0,,1.0,8.0,38.0,,1.0,0.75,0.75,0.8,1.0,0.6666666666666666,1.0,1.0,0.5833333333333334,0.9642857142857143,0.75,0.5714285714285714,0.6153846153846154,,,14.563106796116504,1.0,,,0.05263157894736842,0.05263157894736842,0.4666666666666667,,0.23529411764705882,0.02857142857142857,,,0.2,,,0.09090909090909091,,0.4166666666666667,,,,,0.15384615384615385,0.23076923076923078,0.6153846153846154,,,,,0.5,0.6153846153846154,0.44841923076923074,0.3816,0.41067499999999996,,,0.1111111111111111,0.2962962962962963,15.84,27.3,0.41304347826086957,2.0,2.0,,,,,6.0,,,1.0,6.0,,,1.0,18.0,6.0,3.0,1.0,,,,,1.0,0.75,,0.3333333333333333,0.75,,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,,,,,0.75,0.75,1.0,,,,,,0.3333333333333333,0.75,2.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1628374,1610612741,Lauri Markkanen,Lauri Markkanen,1628374,CHI,805.0,13,-10.0,28,29,5.0,13.0,3,57,2.0,3.0,,,,,,1.0,1.0,,2.0,4.0,2.0,1.0,8.0,38,,,,,,,,,,2.0,2.0,,1.0,1.0,,1.0,,,,3.0,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,2.0,1.0,,,5.0,,,0.5,0.5,0.5,,,0.5833333333333334,,,0.5714285714285714,,,0.3333333333333333,0.25,0.3333333333333333,25.0,1.0,,,,,,,,,,,,,,,,,0.5,0.6666666666666666,1.0,0.5,,0.16666666666666666,0.16666666666666666,,,,,,0.8333333333333334,0.6067666666666667,0.55785,,0.14285714285714285,0.2,,,5.7,24.25,0.17857142857142858,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,3.0,,1.0,1.0,,,,,1.0,0.5,,,0.5,,,,,,,,,0.16666666666666666,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
202329,1610612741,Al-Farouq Aminu,Al-Farouq Aminu,202329,CHI,445.0,7,4.0,13,13,2.0,1.0,2,26,,,,,,,,,1.0,,,,1.0,,,11,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,2.0,,,,,3.0,,3.0,,3.0,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,6.666666666666667,,,,0.6,,,,0.42857142857142855,,,,,,0.5,1.0,,,,,,,,,1.0,,,,,,1.0,0.519,,,,,,,,25.7,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1628436,1610612741,Luke Kornet,Luke Kornet,1628436,CHI,542.0,9,-2.0,21,19,6.0,17.0,6,40,,,,,,,,,2.0,,,,2.0,2.0,2.0,16,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,1.0,,,2.0,1.0,,,6.0,,,,,,,,,,,0.3333333333333333,,,1.0,,,15.384615384615383,1.0,,,,,0.3333333333333333,,0.16666666666666666,,,,,,,,,0.3333333333333333,,,,,,,1.0,,,,,,1.0,0.47325,0.4254,,0.3333333333333333,1.0,,,,26.45,0.2857142857142857,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1629690,1610612741,Adam Mokoka,Adam Mokoka,1629690,CHI,1064.0,18,,41,38,22.0,26.0,7,79,3.0,4.0,,,1.0,2.0,,,2.0,1.0,3.0,4.0,2.0,,6.0,31,,,,,1.0,2.0,1.0,,2.0,4.0,2.0,,2.0,1.0,1.0,1.0,1.0,,,2.0,,,,2.0,,,2.0,,2.0,,,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,,,1.0,1.0,,2.0,22.0,1.0,,0.6666666666666666,0.6666666666666666,0.75,,0.5,0.5,,0.3333333333333333,0.5,,0.3333333333333333,0.3333333333333333,0.25,0.25,16.666666666666668,0.5,,,,,0.25,,0.11764705882352941,,,,,,,,,0.2857142857142857,0.6666666666666666,0.75,1.0,0.6666666666666666,,,0.3333333333333333,,,0.6666666666666666,0.5,0.3333333333333333,1.0,0.618575,,0.6509666666666667,0.16666666666666666,0.25,,0.3333333333333333,1.975,25.6,0.5365853658536586,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1628972,1610612741,Troy Brown Jr.,Troy Brown Jr.,1628972,CHI,288.0,5,2.0,11,11,11.0,8.0,3,22,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,2.0,,1.0,3.0,5,,,,,1.0,2.0,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,2.0,,1.0,3.0,11.0,,1.0,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,,,,21.428571428571427,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,0.5,,,,0.5,1.0,,0.5,0.46985,,0.46985,,,,1.0,10.799999999999999,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1629750,1610612741,Javonte Green,Javonte Green,1629750,CHI,1936.0,32,29.0,71,66,39.0,29.0,12,137,3.0,5.0,2.0,4.0,2.0,4.0,2.0,,2.0,1.0,3.0,7.0,2.0,7.0,13.0,53,2.0,4.0,2.0,6.0,2.0,6.0,1.0,4.0,8.0,,6.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,,6.0,,1.0,,1.0,2.0,,3.0,1.0,4.0,4.0,2.0,,1.0,,2.0,,2.0,2.0,3.0,,,5.0,,,7.0,2.0,,8.0,39.0,,,,,0.42857142857142855,0.5,0.3333333333333333,0.3333333333333333,0.5,0.2857142857142857,0.5416666666666666,0.6,0.4444444444444444,0.2222222222222222,0.14285714285714285,0.2,16.867469879518072,,,,0.11764705882352941,0.07142857142857142,0.0625,,0.09090909090909091,0.037037037037037035,,0.25,,,0.1111111111111111,0.14285714285714285,,0.06666666666666667,0.5555555555555556,0.6,0.75,,0.2222222222222222,,0.2222222222222222,1.0,0.5,0.5714285714285714,0.5,0.14285714285714285,0.7777777777777778,0.5715999999999999,0.7296666666666667,0.5614428571428571,0.25,0.2222222222222222,0.46153846153846156,0.6153846153846154,3.1142857142857143,27.0,0.5492957746478874,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,0.2,0.3333333333333333,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1628990,1610612741,Chandler Hutchison,Chandler Hutchison,1628990,CHI,383.0,6,9.0,14,13,6.0,11.0,1,27,,1.0,,,,,1.0,,,,,2.0,,,,6,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,13.333333333333334,,,,,,0.5,,0.2,,,,,,,,,,0.5,,,,0.5,,,,,,,,0.5,0.49675,,,,,,,4.2,,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
