EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,ThreePtAssists,Assists,Arc3Assists,AssistPoints,FoulsDrawn,Charge Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,Usage,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGA,Arc3FGA,NonHeaveArc3FGA,Fg2aBlocked,Corner3Assists,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,Arc3Frequency,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,Steals,BadPassSteals,Loose Ball Fouls,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctBlocked,DefLongMidRangeReboundPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,NonHeaveArc3FGM,TwoPtAssists,AtRimAssists,OffThreePtRebounds,OffRebounds,LostBallSteals,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceFtPoints,PenaltyFtPoints,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,SecondChanceAtRimPctAssisted,Loose Ball Fouls Drawn,LostBallTurnovers,OffCorner3ReboundPct,ShortMidRangeAssists,SelfOReb,SelfORebPct,OffShortMidRangeReboundPct,on,LongMidRangeFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsPutbacks,LongMidRangeAssists,FTOffRebounds,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Charge Fouls,Offensive Fouls,ThreePtShootingFoulsDrawn,BlockedLongMidRange,DefensiveGoaltends,OffensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceFg3Pct,LongMidRangePctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveMakes,HeaveAttempts,Fg3aBlocked,3pt And 1 Free Throw Trips,Technical Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,Blocked3s,BlockedArc3,Arc3PctBlocked,BlockedCorner3,3SecondViolations,Clear Path Fouls
1626174,1610612745,Christian Wood,Christian Wood,1626174,HOU,713.0,12,6.0,24,24,10.0,3.0,48,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,18,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.625,0.5,0.6,0.5,0.25,17.857142857142854,1.0,0.25,1.0,1.0,0.5,0.25,1.0,1.0,1.0,0.5,1.0,0.5,0.5029250000000001,0.522,0.2,0.25,0.3333333333333333,13.166666666666664,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627863,1610612745,Danuel House Jr.,Danuel House Jr.,1627863,HOU,696.0,12,-14.0,26,25,9.0,1.0,51,,,,,,,1.0,,1.0,,3.0,1.0,1.0,28,,,,,,3.0,3.0,1.0,9.0,1.0,,2.0,1.0,,,,,,,,,,,,0.1,,0.75,17.24137931034483,,,,,,0.25,,,,,,0.75,0.481825,,0.2,0.5,,5.1,27.833333333333332,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.2,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628021,1610612745,David Nwaba,David Nwaba,1628021,HOU,845.0,14,16.0,29,32,18.0,3.0,61,1.0,3.0,,,,1.0,4.0,1.0,4.0,1.0,4.0,2.0,7.0,22,,,,,3.0,,,,,2.0,,3.0,2.0,,,,,1.0,0.25,0.25,0.25,,0.3125,,0.3888888888888889,,0.5,28.125,,0.375,0.3333333333333333,1.0,,0.5,0.25,0.25,1.0,,,0.875,0.5366,,0.2222222222222222,0.4,,3.85,23.1,1.0,,,3.0,,2.0,2.0,2.0,,2.0,0.75,1.0,0.2222222222222222,0.18181818181818182,,0.3333333333333333,0.125,,9.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,0.488,0.2857142857142857,0.3103448275862069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628425,1610612745,Sterling Brown,Sterling Brown,1628425,HOU,1667.0,28,-9.0,62,65,40.0,6.0,127,2.0,2.0,,,,,1.0,3.0,3.0,3.0,5.0,,15.0,66,,,,2.0,6.0,,1.0,,2.0,,,,,,,,,0.6666666666666666,0.6,0.6,1.0,,0.9375,,0.9375,,0.625,11.11111111111111,,0.25,1.0,1.0,,0.125,,,,,,0.875,0.51818125,,,,,2.9,25.32,1.0,4.0,4.0,,,2.0,2.0,3.0,2.0,4.0,,,0.11764705882352941,0.08,,0.1111111111111111,0.125,0.5,15.0,2.0,2.0,2.0,2.0,10.0,4.0,1.0,,1.0,,10.0,15.0,0.6666666666666666,0.6666666666666666,1.0,1.25,1.25,,0.5,0.5,0.5,1.0,0.5433,0.6666666666666666,0.24193548387096775,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05555555555555555,0.030303030303030304,0.09090909090909091,1.0,1.0,1.0,0.75,0.75,0.6666666666666666,0.5,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203998,1610612745,Bruno Caboclo,Bruno Caboclo,203998,HOU,2186.0,36,,78,82,56.0,10.0,160,7.0,7.0,2.0,2.0,,,2.0,8.0,12.0,,5.0,1.0,17.0,78,2.0,4.0,5.0,6.0,,1.0,1.0,,3.0,2.0,,2.0,,2.0,,2.0,2.0,,,,0.6666666666666666,0.5,0.47058823529411764,0.5,0.4722222222222222,0.5,0.29411764705882354,23.913043478260867,1.0,0.4117647058823529,1.0,1.0,,0.11764705882352941,,,,0.5,1.0,0.7058823529411765,0.5444441176470589,0.4638,,,0.29411764705882354,3.3333333333333335,24.779999999999998,5.0,3.0,3.0,1.0,1.0,4.0,11.0,14.0,4.0,6.0,0.08333333333333333,0.2,0.18181818181818182,0.2727272727272727,0.375,0.09090909090909091,0.29411764705882354,0.17647058823529413,23.0,3.0,3.0,3.0,4.0,7.0,10.0,,,,,7.0,23.0,0.625,0.625,0.75,0.75,0.7,,,0.7142857142857143,0.75,1.0,0.5633,0.4117647058823529,0.2948717948717949,1.0,,,,,,,,,,2.0,3.0,,2.0,,0.08695652173913043,0.07317073170731707,0.14285714285714285,0.2,0.25,,,,,,,,1.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,0.25,0.3333333333333333,0.05555555555555555,0.45454545454545453,0.16666666666666666,0.5,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630256,1610612745,Jae'Sean Tate,Jae'Sean Tate,1630256,HOU,1542.0,26,2.0,54,57,45.0,7.0,111,3.0,3.0,2.0,2.0,,,,4.0,6.0,1.0,2.0,,11.0,48,2.0,2.0,4.0,2.0,3.0,1.0,2.0,1.0,5.0,2.0,,,,1.0,1.0,1.0,,1.0,0.5,0.5,0.6666666666666666,1.0,0.6875,1.0,0.6875,1.0,0.25,14.285714285714286,,0.375,1.0,1.0,,,,,,1.0,1.0,0.625,0.5060625,0.3937,,,0.36363636363636365,4.45,26.25,3.0,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,0.16666666666666666,0.3333333333333333,0.11764705882352941,0.08,0.2,0.1111111111111111,0.375,0.25,16.0,1.0,1.0,2.0,3.0,4.0,6.0,,,,,4.0,16.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,1.0,0.3333333333333333,1.0,0.4058333333333333,0.36363636363636365,0.2962962962962963,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,0.3333333333333333,0.5,,0.5,0.5,1.0,,,0.5,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630271,1610612745,Brodric Thomas,Brodric Thomas,1630271,HOU,744.0,12,6.0,25,28,21.0,4.0,53,1.0,1.0,,,,,,1.0,1.0,,3.0,3.0,5.0,22,,,,2.0,,,3.0,,6.0,3.0,,5.0,2.0,,,,,,,,1.0,,0.25,,0.4166666666666667,,0.75,26.666666666666668,,0.25,1.0,1.0,,,,,,,,1.0,0.4672125,,0.4,1.0,,2.6,25.566666666666666,,3.0,3.0,,,,,1.0,,3.0,,,,,,,,0.75,9.0,1.0,1.0,1.0,1.0,5.0,,,,,1.0,5.0,9.0,,,1.0,0.3333333333333333,0.625,,,,0.3333333333333333,1.0,0.47869999999999996,1.0,0.36,,,,2.0,,2.0,,,3.0,3.0,1.0,1.0,,2.0,,0.14285714285714285,0.08333333333333333,,,,,,,,0.6666666666666666,,,,3.0,,,,2.0,,,,,2.0,,,,1.0,,1.0,1.0,,,,,,,,2.0,0.5,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201935,1610612745,James Harden,James Harden,201935,HOU,208.0,3,-11.0,8,9,9.0,,17,,,,,,,,,,,1.0,,,13,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,1.0,37.5,,,,,,,,,,,,1.0,0.54525,,,,,,26.8,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,2.0,,,,,,,0.5,0.5,,,,,,,1.0,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201569,1610612745,Eric Gordon,Eric Gordon,201569,HOU,51.0,1,-1.0,1,1,,,2,,,,,,,,,,,,2.0,2.0,3,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,2.0,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630222,1610612745,Mason Jones,Mason Jones,1630222,HOU,734.0,12,6.0,27,28,23.0,5.0,55,1.0,1.0,,,,,,2.0,3.0,,3.0,3.0,7.0,28,1.0,1.0,2.0,2.0,,,1.0,,2.0,3.0,,6.0,3.0,,,,,,,,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3888888888888889,1.0,0.5,29.41176470588235,,0.16666666666666666,1.0,1.0,,,,,,,,0.6666666666666666,0.4922583333333334,,0.3333333333333333,0.5,0.2857142857142857,6.5,26.866666666666664,2.0,3.0,3.0,1.0,,2.0,4.0,6.0,1.0,1.0,0.3333333333333333,0.5,0.4,0.2727272727272727,,0.6666666666666666,0.3333333333333333,0.5,14.0,,,1.0,1.0,4.0,2.0,,,,,4.0,14.0,0.5,0.5,1.0,0.3333333333333333,0.4,,,1.0,,,0.4673333333333334,0.5714285714285714,0.5185185185185185,1.0,,,2.0,,2.0,,,1.0,1.0,2.0,2.0,,,,0.3333333333333333,0.14285714285714285,0.5,0.5,1.0,,,,,0.6666666666666666,,,,2.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,0.5,,0.16666666666666666,,0.16666666666666666,,,,,,2.0,0.6666666666666666,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
