EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Corner3FGA,PenaltyCorner3FGA,FG3A,OpponentPoints,PenaltyFG3A,DeadBallTurnovers,Turnovers,Fouls,Charge Fouls,PenaltyOffPossExcludingTakeFouls,FG3APct,Usage,Corner3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,Points,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Travels,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,PenaltyTsPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,LiveBallTurnovers,LostBallTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,LiveBallTurnoverPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimFGA,PenaltyAtRimFGA,FG2A,PenaltyFG2A,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,Offensive Fouls,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,DefThreePtReboundPct,DefCorner3ReboundPct,AtRimFrequency,PenaltyAtRimFrequency,Avg2ptShotDistance,AtRimFGM,FG2M,PtsAssisted2s,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PtsUnassisted2s,TwoPtAssists,AtRimAssists,ShortMidRangeFGA,ShortMidRangePctBlocked,DefArc3ReboundPct,ShortMidRangeFrequency,on,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,Fg3aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,BlockedLongMidRange,BlockedShortMidRange,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,Corner3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceArc3FGM,SecondChanceFG3M,PtsPutbacks,HeaveAttempts,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,LongMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,Clear Path Fouls,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,Arc3PctBlocked,OffCorner3ReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,3SecondViolations,LongMidRangePctBlocked,Blocked3s,BlockedArc3,BlockedCorner3,DefensiveGoaltends,OffensiveGoaltends
1627789,1610612751,Timothe Luwawu-Cabarrot,Timothe Luwawu-Cabarrot,1627789,BKN,513.0,9,-10,18,17,11,16.0,35,1.0,1.0,1.0,25,1.0,1.0,1.0,1.0,1.0,11,1.0,11.11111111111111,1.0,1.0,1.0,0.597,0.597,23.2,0.6111111111111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628971,1610612751,Bruce Brown,Bruce Brown,1628971,BKN,381.0,6,-13,14,13,10,7.0,27,,,,20,,,,1.0,,10,,7.142857142857142,,,,,,,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.3333333333333333,0.25,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629013,1610612751,Landry Shamet,Landry Shamet,1629013,BKN,381.0,6,-13,14,13,10,7.0,27,,,3.0,20,2.0,1.0,1.0,,,10,1.0,28.57142857142857,,,1.0,0.40785,0.445275,28.23333333333333,0.7142857142857143,,6.0,,,,,,,,1.0,,,,,,2.0,3.0,2.0,2.0,2.0,2.0,6.0,3.0,3.0,3.0,2.0,1.0,1.0,6.0,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,1.5,1.5,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203460,1610612751,Andre Roberson,Andre Roberson,203460,BKN,188.0,3,-9,7,6,3,,13,,,,13,,,1.0,,,3,,14.285714285714285,,,,,,,0.42857142857142855,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203943,1610612751,Noah Vonleh,Noah Vonleh,203943,BKN,646.0,11,-16,23,22,14,16.0,45,,,2.0,35,2.0,1.0,2.0,2.0,,14,0.6666666666666666,21.73913043478261,,,1.0,0.5228499999999999,0.5228499999999999,26.85,0.6086956521739131,,,,1.0,1.0,,,,,,,0.16666666666666666,,,,,2.0,,2.0,,,,,,2.0,,,2.0,,,,,,,,,0.6666666666666666,,,,0.6666666666666666,,,,1.0,1.0,,,,,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,2.3,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204020,1610612751,Tyler Johnson,Tyler Johnson,204020,BKN,458.0,8,-7,16,16,11,16.0,32,,,3.0,22,1.0,,,,,11,0.75,25.0,,,1.0,0.532475,0.47565,26.433333333333334,0.6875,,8.0,1.0,1.0,1.0,,,,,1.0,0.3333333333333333,0.2,0.5,,,2.0,3.0,,1.0,2.0,,,6.0,,3.0,2.0,,,,1.0,0.6666666666666666,,0.6666666666666666,1.0,,,0.75,0.6666666666666666,0.6666666666666666,1.0,1.0,,0.6666666666666666,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,0.25,,0.7,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629185,1610612751,Chris Chiozza,Chris Chiozza,1629185,BKN,265.0,4,-3,9,9,4,9.0,18,,,,15,,,,,,4,,11.11111111111111,,,1.0,0.7547,,,0.4444444444444444,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,2.0,4.0,2.0,10.0,,,,,,,,1.0,,0.7,1.0,1.0,,,,1.0,1.0,1.0,,2.0,2.0,2.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203658,1610612751,Norvel Pelle,Norvel Pelle,203658,BKN,265.0,4,-3,9,9,4,9.0,18,,,,15,,,,2.0,,4,,22.22222222222222,,,0.5,0.56805,0.305,,0.4444444444444444,,2.0,,1.0,1.0,2.0,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,,,,,1.0,,,0.5,,1.0,,0.5,,2.45,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201145,1610612751,Jeff Green,Jeff Green,201145,BKN,133.0,2,-6,5,5,3,,10,,,,10,,,,,,3,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627747,1610612751,Caris LeVert,Caris LeVert,1627747,BKN,20020.0,334,45,714,715,193,131.0,1429,8.0,3.0,63.0,787,18.0,8.0,26.0,20.0,1.0,191,0.315,30.34134007585335,0.04,0.05660377358490566,0.57,0.5079879396984923,0.5342894230769232,25.374603174603177,0.2703081232492997,26.0,222.0,25.0,42.0,52.0,7.0,28.0,34.0,20.0,0.5186915887850467,0.11627906976744186,0.11294765840220386,0.1388888888888889,0.09345794392523364,0.13245033112582782,20.0,55.0,8.0,15.0,22.0,9.0,68.0,21.0,45.0,55.0,20.0,4.0,6.0,68.0,0.3181818181818182,0.3492063492063492,0.5,0.3492063492063492,0.49,0.5566037735849056,0.5666666666666667,0.275,0.36363636363636365,0.36363636363636365,0.25,0.2830188679245283,0.5333333333333333,0.36363636363636365,0.3063063063063063,18.0,8.0,6.0,1.0,6.0,5.0,0.6923076923076923,0.1038961038961039,0.8333333333333334,51.0,17.0,137.0,35.0,6.0,35.0,72.0,32.0,179.0,16.0,1.0,2.0,0.043795620437956206,0.09803921568627451,0.10810810810810811,0.05263157894736842,0.255,0.32075471698113206,7.569343065693432,32.0,65.0,48.0,0.36923076923076925,0.36923076923076925,0.4744525547445255,0.6274509803921569,0.6956521739130435,0.5,82.0,37.0,31.0,70.0,0.014285714285714285,0.12727272727272726,0.35,False,73.0,2.0,5.0,10.0,29.0,4.0,16.0,2.0,1.0,1.0,5.0,3.0,8.0,6.0,4.0,10.0,16.0,9.0,1.0,3.0,4.0,2.0,2.0,7.0,1.0,1.0,10.0,4.0,13.0,8.0,5.0,10.0,1.0,1.0,1.0,1.0,6.0,1.0,4.0,0.375,0.45714285714285713,0.21428571428571427,0.29411764705882354,0.015873015873015872,0.125,0.0625,0.047619047619047616,0.04294478527607362,0.015625,0.030927835051546393,0.06382978723404255,0.023255813953488372,0.06666666666666667,0.020618556701030927,0.11764705882352941,0.038834951456310676,0.4142857142857143,0.42028985507246375,0.27586206896551724,0.08,0.25,0.25,0.25,0.2857142857142857,1.0,0.35714285714285715,0.4,1.0,0.07142857142857142,0.35714285714285715,0.5882352941176471,0.3333333333333333,0.5175055555555557,0.04504504504504504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
