EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFtPoints,PtsPutbacks,LostBallTurnovers,SecondChanceTurnovers,Charge Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,FTDefRebounds,LostBallOutOfBoundsTurnovers,ShootingFouls,Loose Ball Fouls Drawn,Blocked3s,BlockedArc3,Blocks,DefFTReboundPct,PenaltyCorner3FGA,SecondChanceFtPoints,Fg2aBlocked,Fg3aBlocked,Loose Ball Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,RecoveredBlocks,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,BlocksRecoveredPct,PenaltyCorner3Frequency,FTOffRebounds,StepOutOfBoundsTurnovers,Offensive Fouls,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,OffAtRimReboundPct,LongMidRangeAssists,AtRimPctBlocked,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Travels,Technical Free Throw Trips,BlockedLongMidRange,LongMidRangePctBlocked,OffLongMidRangeReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on,Corner3PctBlocked,DefensiveGoaltends,3pt And 1 Free Throw Trips,HeaveAttempts,3SecondViolations,OffensiveGoaltends,BlockedCorner3,HeaveMakes
1626145,1610612763,Tyus Jones,Tyus Jones,1626145,MEM,7738.0,129,8,265,265,61.0,69.0,27.0,530,2.0,5.0,1.0,2.0,8.0,24.0,1.0,2.0,3.0,4.0,1.0,3.0,10.0,1.0,1.0,4.0,11.0,31,6.0,14.0,6.0,46,276,2.0,2.0,4.0,1.0,4.0,7.0,6.0,16.0,15.0,3.0,10.0,3.0,16.0,16.0,32.0,12.0,4.0,6.0,10.0,80.0,2.0,1.0,7.0,7.0,14.0,3.0,17.0,1.0,9.0,5.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,8.0,6.0,3.0,7.0,61.0,0.2727272727272727,0.2727272727272727,0.8333333333333334,0.42857142857142855,0.25,0.42857142857142855,0.3548387096774194,0.5,0.4444444444444444,0.4375,0.4791666666666667,0.4375,0.3111111111111111,17.406143344709896,0.6666666666666666,0.10144927536231885,0.014285714285714285,0.09859154929577464,0.03333333333333333,0.1,0.023076923076923078,0.022222222222222223,0.043478260869565216,0.06896551724137931,0.0967741935483871,0.2222222222222222,0.05357142857142857,0.26666666666666666,0.03571428571428571,0.1111111111111111,0.4,0.4,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.044444444444444446,0.5,0.5,1.0,0.08888888888888889,0.75,0.75,1.0,0.2222222222222222,0.3,0.3,0.6666666666666666,0.5,0.5,0.25,0.5,0.5,0.25,0.4222222222222222,0.3,0.46943333333333326,0.6258,0.5019250000000001,0.0625,0.08823529411764706,0.15217391304347827,8.96774193548387,25.16428571428571,0.23018867924528302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1626159,1610612763,Justise Winslow,Justise Winslow,1626159,MEM,2780.0,46,4,102,101,8.0,42.0,9.0,203,3.0,5.0,,,4.0,10.0,,,1.0,1.0,,3.0,5.0,,,,7.0,15,4.0,6.0,3.0,29,95,,,,,,1.0,4.0,10.0,12.0,,5.0,3.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,12.0,1.0,1.0,10.0,3.0,13.0,2.0,15.0,1.0,,,,2.0,1.0,1.0,2.0,4.0,,5.0,7.0,6.0,1.0,,6.0,0.2857142857142857,0.3333333333333333,1.0,0.6666666666666666,,0.6666666666666666,0.4666666666666667,,0.6190476190476191,,0.6041666666666666,0.25,0.2857142857142857,24.999999999999996,0.5,0.12,0.03125,0.29411764705882354,0.05555555555555555,0.22033898305084745,0.04,0.037037037037037035,0.07142857142857142,0.18181818181818182,0.07692307692307693,,0.3225806451612903,,0.1,0.23809523809523808,0.6,0.6,0.47619047619047616,0.4,0.4,0.25,,,,,0.047619047619047616,1.0,1.0,1.0,0.23809523809523808,0.6,0.6,1.0,,,,,,,0.5238095238095238,0.6,0.5263047619047619,0.8441,,0.045454545454545456,0.0625,0.034482758620689655,6.779999999999999,26.049999999999997,0.0784313725490196,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.13793103448275862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1629001,1610612763,De'Anthony Melton,De'Anthony Melton,1629001,MEM,3024.0,50,17,102,106,29.0,48.0,10.0,208,,,,,1.0,3.0,,,,,,3.0,9.0,,1.0,3.0,1.0,3,3.0,9.0,8.0,19,105,,,,1.0,3.0,5.0,,2.0,3.0,6.0,9.0,3.0,3.0,4.0,7.0,4.0,,,3.0,18.0,,,2.0,2.0,5.0,,5.0,,4.0,2.0,2.0,3.0,1.0,1.0,2.0,5.0,,2.0,7.0,8.0,4.0,5.0,29.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.4583333333333333,0.5,0.59375,0.625,0.75,18.260869565217394,0.6,0.1,,0.05405405405405406,,0.07017543859649122,,,,0.1111111111111111,0.125,,0.06451612903225806,,,,,,0.25,0.3333333333333333,0.3333333333333333,,,,,,,,,,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,1.0,0.3333333333333333,0.75,0.3333333333333333,0.512325,,0.51755,0.25,0.5714285714285714,0.2631578947368421,6.866666666666667,25.655555555555555,0.28431372549019607,,,,,,2.0,,2.0,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1629681,1610612763,Killian Tillie,Killian Tillie,1629681,MEM,10904.0,182,40,379,378,114.0,128.0,40.0,757,3.0,7.0,1.0,1.0,6.0,16.0,,1.0,2.0,11.0,,8.0,22.0,2.0,3.0,9.0,9.0,24,10.0,33.0,9.0,57,376,2.0,5.0,6.0,3.0,12.0,20.0,16.0,2.0,30.0,,22.0,8.0,5.0,3.0,8.0,2.0,1.0,1.0,4.0,19.0,3.0,3.0,10.0,6.0,18.0,6.0,24.0,1.0,5.0,4.0,1.0,2.0,,,,2.0,,20.0,8.0,11.0,6.0,20.0,112.0,0.8888888888888888,1.0,1.0,0.30303030303030304,0.25,0.30303030303030304,0.375,0.8333333333333334,0.42105263157894735,0.5277777777777778,0.4596774193548387,0.5555555555555556,0.5789473684210527,15.130023640661937,1.0,0.06451612903225806,0.03260869565217391,0.09174311926605505,0.034482758620689655,0.07920792079207921,0.0335195530726257,0.05263157894736842,0.02857142857142857,0.08333333333333333,0.06382978723404255,,0.05747126436781609,0.22727272727272727,0.02857142857142857,0.12280701754385964,0.42857142857142855,0.42857142857142855,0.2807017543859649,0.375,0.42857142857142855,0.8333333333333334,0.017543859649122806,,,,0.19298245614035087,0.18181818181818182,0.18181818181818182,1.0,0.38596491228070173,0.36363636363636365,0.38095238095238093,1.0,,0.4,0.05555555555555555,1.0,0.5,0.3333333333333333,0.7017543859649122,0.36363636363636365,0.5139087719298245,0.4189,0.4759194444444444,0.0967741935483871,0.20689655172413793,0.3508771929824561,6.470833333333331,24.863636363636367,0.3007915567282322,,1.0,1.0,3.0,5.0,1.0,2.0,2.0,,,,,,3.0,0.3333333333333333,0.2,0.35714285714285715,1.0,0.2,,0.08771929824561403,2.0,,14.0,,1.0,1.0,8.0,0.2222222222222222,3.0,3.0,2.0,1.0,2.0,1.0,7.0,4.0,3.0,5.0,0.030303030303030304,0.08333333333333333,0.125,0.045454545454545456,0.058823529411764705,0.625,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1630214,1610612763,Xavier Tillman,Xavier Tillman,1630214,MEM,5790.0,96,26,206,201,60.0,70.0,21.0,407,11.0,11.0,1.0,1.0,8.0,11.0,1.0,2.0,1.0,2.0,1.0,,2.0,1.0,,2.0,20.0,24,1.0,4.0,6.0,49,199,2.0,3.0,3.0,,3.0,11.0,32.0,8.0,3.0,,2.0,,,2.0,2.0,,2.0,,,6.0,1.0,4.0,8.0,11.0,20.0,6.0,26.0,,2.0,2.0,,2.0,1.0,2.0,4.0,6.0,1.0,6.0,6.0,9.0,3.0,11.0,58.0,0.8,0.9411764705882353,1.0,0.25,,0.25,0.8333333333333334,1.0,0.7678571428571429,0.5,0.7903225806451613,0.6111111111111112,0.14285714285714285,16.2280701754386,0.3333333333333333,0.22448979591836735,0.08695652173913043,0.13793103448275862,0.02127659574468085,0.17757009345794392,0.053763440860215055,0.034482758620689655,0.02631578947368421,0.3333333333333333,0.16,0.16666666666666666,0.15217391304347827,0.08333333333333333,,0.39285714285714285,1.0,1.0,0.39285714285714285,0.7272727272727273,0.8,0.875,0.07142857142857142,0.5,0.5,1.0,0.07142857142857142,0.5,0.5,1.0,0.07142857142857142,,,,0.2,0.2,0.16666666666666666,1.0,0.3333333333333333,,0.5357142857142857,,0.5326196428571429,0.61326,0.4967916666666667,0.10714285714285714,0.125,0.22448979591836735,5.716666666666668,24.599999999999998,0.2912621359223301,3.0,3.0,3.0,3.0,6.0,5.0,6.0,,1.0,,,,3.0,,1.0,0.6,0.6,0.7272727272727273,0.6,1.0,0.12244897959183673,1.0,1.0,3.0,1.0,,,3.0,0.2,1.0,,1.0,,,3.0,3.0,1.0,2.0,3.0,,0.041666666666666664,0.09090909090909091,,,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,3.0,0.14285714285714285,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
202685,1610612763,Jonas Valanciunas,Jonas Valanciunas,202685,MEM,2147.0,36,-6,71,72,6.0,3.0,7.0,143,6.0,8.0,,,4.0,8.0,,1.0,,,,,1.0,,,,10.0,17,,1.0,2.0,22,83,,,,,,,12.0,8.0,,,1.0,,4.0,,4.0,,,1.0,,8.0,,5.0,6.0,6.0,13.0,5.0,18.0,1.0,,,,,,,,,,3.0,6.0,3.0,2.0,,6.0,0.6,0.8571428571428571,,,,,0.5882352941176471,,0.5555555555555556,,0.5789473684210527,,0.05555555555555555,23.75,,0.42857142857142855,0.17857142857142858,0.2857142857142857,,0.34285714285714286,0.125,0.15789473684210525,,0.5,0.3333333333333333,1.0,0.29411764705882354,0.25,0.14285714285714285,0.4444444444444444,0.75,0.8571428571428571,0.4444444444444444,0.5,0.5,0.75,0.05555555555555555,,,,,,,,0.05555555555555555,,,,,,,,,,0.5,,0.5277222222222222,0.6759999999999999,,0.10526315789473684,0.1111111111111111,,5.329411764705882,25.4,0.08450704225352113,4.0,5.0,4.0,5.0,9.0,,6.0,,,,,,,,0.8,0.8,0.75,0.5,1.0,0.8,0.4090909090909091,1.0,,2.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,0.058823529411764705,,,,,,,,,2.0,,,0.2857142857142857,3.0,0.125,0.25,,,,,,,,,,,,,,,,,,True,,,,,,,,
1629723,1610612763,John Konchar,John Konchar,1629723,MEM,6926.0,115,59,236,235,86.0,79.0,28.0,471,9.0,12.0,5.0,7.0,,2.0,2.0,2.0,3.0,6.0,,3.0,8.0,1.0,1.0,2.0,11.0,16,6.0,14.0,9.0,49,225,1.0,6.0,9.0,2.0,4.0,19.0,14.0,8.0,18.0,,8.0,3.0,5.0,11.0,16.0,8.0,3.0,1.0,4.0,43.0,4.0,3.0,7.0,12.0,21.0,7.0,28.0,1.0,7.0,2.0,5.0,5.0,2.0,4.0,2.0,7.0,1.0,2.0,9.0,12.0,6.0,19.0,86.0,0.6363636363636364,0.7777777777777778,1.0,0.42857142857142855,0.5,0.42857142857142855,0.6875,0.6666666666666666,0.6666666666666666,0.6923076923076923,0.6805555555555556,0.6785714285714286,0.4666666666666667,16.165413533834585,0.7142857142857143,0.20689655172413793,0.07692307692307693,0.1044776119402985,0.0625,0.152,0.06796116504854369,0.1111111111111111,0.07692307692307693,0.21739130434782608,0.17857142857142858,0.2857142857142857,0.14,,0.1,0.4,0.75,0.9,0.06666666666666667,,,,0.06666666666666667,1.0,1.0,0.5,0.2,0.5,0.5,1.0,0.26666666666666666,0.375,0.375,1.0,,0.2,0.5384615384615384,0.7142857142857143,0.15384615384615385,0.5,0.8666666666666667,0.375,0.6000700000000001,0.8312999999999999,0.6384153846153846,0.16666666666666666,0.2727272727272727,0.3877551020408163,4.15625,24.592857142857138,0.3644067796610169,2.0,3.0,3.0,4.0,10.0,1.0,4.0,1.0,2.0,,1.0,,,,0.75,0.9,0.8333333333333334,0.6666666666666666,0.6,0.6666666666666666,0.20408163265306123,2.0,,2.0,,,,1.0,0.5,2.0,1.0,2.0,,,,1.0,1.0,,1.0,,0.125,,,,1.0,0.15384615384615385,,,,,,,0.07692307692307693,,0.16666666666666666,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,True,,,,,,,,
203476,1610612763,Gorgui Dieng,Gorgui Dieng,203476,MEM,519.0,9,9,22,22,11.0,12.0,1.0,44,,,,,1.0,2.0,,,,,,2.0,5.0,,2.0,3.0,1.0,2,2.0,5.0,4.0,12,21,,1.0,2.0,2.0,3.0,12.0,,2.0,6.0,,5.0,2.0,1.0,,1.0,,,1.0,,2.0,,,3.0,,3.0,,3.0,,,,,,,,,,,1.0,2.0,4.0,1.0,12.0,11.0,,,1.0,0.4,0.6666666666666666,0.4,0.5,0.5,0.5714285714285714,0.8,0.6666666666666666,0.8571428571428571,0.7142857142857143,39.130434782608695,,,,0.25,,0.23076923076923078,,,,,,,0.2727272727272727,,,,,,0.2857142857142857,0.5,0.5,,,,,,,,,,0.7142857142857143,0.4,0.4,1.0,,,,,0.6,0.6666666666666666,0.7142857142857143,0.4,0.4496571428571428,,0.41475,0.125,0.3333333333333333,1.0,8.35,25.339999999999996,0.5,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1630217,1610612763,Desmond Bane,Desmond Bane,1630217,MEM,5213.0,87,19,180,178,44.0,32.0,17.0,358,6.0,10.0,2.0,2.0,4.0,7.0,2.0,6.0,2.0,4.0,,7.0,15.0,2.0,2.0,2.0,12.0,23,9.0,19.0,3.0,54,194,2.0,2.0,4.0,2.0,2.0,13.0,16.0,8.0,24.0,3.0,15.0,7.0,7.0,3.0,10.0,2.0,1.0,5.0,1.0,23.0,,1.0,9.0,4.0,13.0,1.0,14.0,,3.0,2.0,1.0,2.0,,2.0,3.0,5.0,1.0,6.0,2.0,3.0,,13.0,44.0,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.47368421052631576,1.0,0.47368421052631576,0.5217391304347826,0.5,0.6071428571428571,0.8333333333333334,0.6162790697674418,0.8571428571428571,0.4523809523809524,24.242424242424242,0.4,0.11428571428571428,0.020833333333333332,0.16981132075471697,,0.14772727272727273,0.011904761904761904,,,0.13333333333333333,0.125,,0.17073170731707318,0.16666666666666666,,0.23809523809523808,0.6,0.6666666666666666,0.16666666666666666,0.5714285714285714,0.8,1.0,0.14285714285714285,0.3333333333333333,0.4,1.0,0.09523809523809523,0.5,0.5,1.0,0.35714285714285715,0.4666666666666667,0.5,0.8571428571428571,,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6904761904761905,0.4666666666666667,0.5131,0.57555,0.42994166666666667,,,0.24074074074074073,8.426086956521738,25.589473684210525,0.24444444444444444,,,,,,3.0,,,,,,,1.0,1.0,,,,0.3333333333333333,,,,,,,,,,2.0,,,,4.0,1.0,1.0,,2.0,,1.0,,0.05263157894736842,0.17391304347826086,0.2857142857142857,0.06666666666666667,,,,,,1.0,,,,,1.0,0.1,,,,,,,,,2.0,1.0,1.0,0.16666666666666666,0.125,,,,,,True,,,,,,,,
1628415,1610612763,Dillon Brooks,Dillon Brooks,1628415,MEM,1092.0,18,-13,37,38,10.0,9.0,3.0,75,2.0,3.0,2.0,3.0,1.0,4.0,,4.0,,,,2.0,4.0,1.0,1.0,2.0,3.0,11,2.0,4.0,,12,48,1.0,2.0,4.0,1.0,2.0,7.0,4.0,2.0,6.0,,4.0,2.0,,1.0,1.0,1.0,,,,3.0,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,4.0,,,,7.0,10.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.5,0.2727272727272727,0.5,0.4,0.5833333333333334,0.4,0.5833333333333334,0.26666666666666666,39.02439024390244,1.0,,,,,,,,,,,,,,,0.2,0.6666666666666666,0.6666666666666666,0.26666666666666666,0.25,0.3333333333333333,1.0,0.26666666666666666,,,,,,,,0.26666666666666666,0.5,0.5,1.0,,1.0,0.5,0.6666666666666666,0.3333333333333333,0.5,0.4666666666666667,0.5,0.5068699999999999,0.56115,0.5896,,,0.5833333333333334,10.109090909090911,25.85,0.2702702702702703,,,,,3.0,,,1.0,,,,,,1.0,,1.5,1.5,0.5,,,0.25,,,1.0,,1.0,1.0,2.0,,,,1.0,,1.0,,1.0,1.0,,,,0.09090909090909091,0.25,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,True,,,,,,,,
