EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,FoulsDrawn,FTA,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,LongMidRangeFGM,LongMidRangeFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted3s,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PtsPutbacks,TwoPtAssists,AtRimAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,DeadBallTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg2Pct,PenaltyFg2Pct,PenaltyEfgPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeAssists,Steals,BadPassSteals,Loose Ball Fouls Drawn,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,AtRimPctAssisted,PenaltyArc3FGM,PenaltyFG3M,Fg2aBlocked,Corner3Assists,LostBallSteals,BadPassOutOfBoundsTurnovers,PenaltyFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,PenaltyArc3Accuracy,FTDefRebounds,BlockedShortMidRange,AtRimPctBlocked,DefFTReboundPct,DefShortMidRangeReboundPct,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFtPoints,Fg3aBlocked,ShortMidRangeAssists,FTOffRebounds,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,OffensiveGoaltends,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,HeaveAttempts,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,3SecondViolations,Technical Free Throw Trips,Clear Path Fouls
1626192,1610612749,Pat Connaughton,Pat Connaughton,1626192,MIL,560.0,9,3,18,18,2,36,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,11.0,27,2.0,6.0,2.0,1.0,1.0,3.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.1,0.75,25.0,0.25,1.0,1.0,0.25,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5995625,1.2,24.366666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628382,1610612749,Justin Jackson,Justin Jackson,1628382,MIL,1715.0,29,8,64,63,5,127,,,,,2.0,6.0,1.0,1.0,2.0,6.0,1.0,9.0,68,,3.0,6.0,2.0,1.0,2.0,,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.5625,0.8571428571428571,13.043478260869566,,,,,,,,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.5,0.8571428571428571,0.3333333333333333,0.5346,14.7,25.099999999999998,30.0,17.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,1.0,1.5,1.5,0.16666666666666666,1.0,0.1875,0.1111111111111111,0.2857142857142857,0.16666666666666666,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,0.50625,0.5475,0.3333333333333333,0.1111111111111111,0.46875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629091,1610612749,Elijah Bryant,Elijah Bryant,1629091,MIL,1895.0,32,11,70,69,6,139,3.0,5.0,,,1.0,5.0,5.0,8.0,1.0,5.0,3.0,16.0,74,10.0,3.0,5.0,1.0,3.0,3.0,,1.0,0.2,0.2,0.625,0.5,0.5714285714285714,0.38461538461538464,23.684210526315788,0.38461538461538464,0.6,0.6,,,,,0.38461538461538464,0.2,0.2,1.0,0.7692307692307693,0.2,0.601676923076923,4.362500000000001,25.619999999999997,30.0,17.0,1.0,1.0,,,2.0,,,2.0,2.0,1.0,5.0,,,2.0,3.0,2.0,8.0,1.0,4.0,6.0,3.0,1.0,4.0,2.0,4.0,,5.0,30.0,,,,,0.5,0.5,0.625,0.75,0.058823529411764705,0.14285714285714285,0.14285714285714285,,0.07692307692307693,1.0,1.0,,,,0.5,0.8219,0.6016125,0.125,0.3125,0.42857142857142855,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.07142857142857142,0.2727272727272727,0.07142857142857142,0.07142857142857142,0.1111111111111111,0.07692307692307693,0.2222222222222222,0.5,0.14285714285714285,1.0,0.15384615384615385,0.5,0.5,1.0,0.5,0.25,1.0,0.14285714285714285,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629603,1610612749,Mamadi Diakite,Mamadi Diakite,1629603,MIL,1308.0,22,7,52,51,4,103,2.0,2.0,,,,,2.0,5.0,,,3.0,7.0,48,,,,,3.0,6.0,,,,,0.4,0.4,0.4375,,14.285714285714285,0.4,1.0,1.0,,,,,,,,,0.4,,0.5128199999999999,10.72,,30.0,17.0,,3.0,,,,,,,,3.0,5.0,4.0,,,1.0,,2.0,1.0,2.0,2.0,,,,1.0,3.0,1.0,5.0,30.0,1.0,1.0,1.0,,,,0.35714285714285715,,0.07692307692307693,0.09090909090909091,,0.16666666666666666,0.6,,,,,,,,0.4496,,0.7142857142857143,0.5769230769230769,,,1.0,1.0,,,,,1.0,4.0,,1.0,,,,1.0,,,,,,,,2.0,,,,,,0.25,0.25,,0.1111111111111111,,,,,0.14285714285714285,,,,,,,,,0.25,1.0,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201952,1610612749,Jeff Teague,Jeff Teague,201952,MIL,1062.0,18,17,40,40,2,80,1.0,3.0,,,2.0,2.0,1.0,5.0,2.0,2.0,5.0,13.0,41,2.0,3.0,2.0,2.0,3.0,6.0,,0.5,1.0,1.0,0.2,0.5714285714285714,0.65,0.2857142857142857,26.19047619047619,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,,,0.2857142857142857,1.0,1.0,0.5,0.7142857142857143,1.0,0.5373142857142857,3.7,26.0,17.0,8.0,,,,,2.0,,,,2.0,1.0,7.0,,3.0,3.0,4.0,2.0,11.0,1.0,1.0,1.0,,,1.0,,,1.0,7.0,17.0,1.0,,,,,,0.875,,0.1111111111111111,0.07692307692307693,0.25,,,,,,,,0.6666666666666666,,0.6013666666666667,,0.5384615384615384,0.425,,,,1.0,,2.0,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,0.2857142857142857,,,,,0.3333333333333333,,0.2222222222222222,0.2857142857142857,,2.0,,,,,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.4,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629670,1610612749,Jordan Nwora,Jordan Nwora,1629670,MIL,1543.0,26,7,59,57,5,116,5.0,9.0,,,4.0,6.0,8.0,12.0,4.0,6.0,1.0,29.0,58,14.0,6.0,6.0,4.0,3.0,2.0,,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7631578947368421,0.3333333333333333,32.8125,0.5,0.5555555555555556,0.7142857142857143,,,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.8333333333333334,0.6666666666666666,0.5511055555555555,4.341666666666667,27.116666666666664,30.0,17.0,1.0,1.0,,,2.0,,,6.0,2.0,1.0,14.0,2.0,6.0,,,,,3.0,9.0,12.0,2.0,1.0,2.0,,3.0,1.0,14.0,30.0,1.0,0.125,0.2,,1.0,1.0,0.7,1.0,0.1875,0.2692307692307692,0.14285714285714285,0.3333333333333333,0.05555555555555555,1.0,1.0,,,,0.2222222222222222,0.3612,0.5272388888888888,0.20689655172413793,0.4827586206896552,0.5084745762711864,2.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,5.0,7.0,6.0,,,2.0,1.0,4.0,3.0,,,1.0,,1.0,,,2.0,1.0,2.0,1.0,1.0,0.7142857142857143,0.7222222222222222,0.09090909090909091,0.4,0.15384615384615385,0.125,0.125,0.16666666666666666,0.375,0.5,,0.5,0.1111111111111111,1.0,1.0,0.6666666666666666,1.0,0.5555555555555556,0.6,,,,2.0,2.0,,,,0.2,1.0,1.0,2.0,,,,0.5,0.16666666666666666,,0.5,2.0,1.0,0.2222222222222222,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630241,1610612749,Sam Merrill,Sam Merrill,1630241,MIL,779.0,13,1,26,26,3,52,,1.0,,1.0,,1.0,,1.0,,2.0,,,28,,,1.0,,,,,,,,,,,0.6666666666666666,10.344827586206897,0.3333333333333333,,,0.3333333333333333,,,,0.3333333333333333,,,,1.0,,0.5558500000000001,2.8,24.35,9.0,9.0,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,,,,,,,1.0,2.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,0.34615384615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,1.0,,1.0,,,1.0,,,,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203648,1610612749,Thanasis Antetokounmpo,Thanasis Antetokounmpo,203648,MIL,613.0,10,1,21,21,3,42,,,,,,1.0,,,,1.0,,,26,,,1.0,,1.0,,,,,,,,,1.0,4.166666666666667,,,,,,,,1.0,,,,1.0,,0.38385,,26.6,4.0,,,,,,1.0,,,,1.0,,,,,,1.0,,2.0,1.0,1.0,1.0,,,,2.0,2.0,,,4.0,,,,,,,,,0.2,0.125,,,,,,,,,1.0,,0.38385,,,0.19047619047619047,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626171,1610612749,Bobby Portis,Bobby Portis,1626171,MIL,82337.0,1372,135,2899,2904,335,5803,118.0,181.0,28.0,61.0,46.0,96.0,239.0,441.0,74.0,157.0,54.0,754.0,3250,222.0,222.0,96.0,46.0,67.0,73.0,,1.0,0.4713375796178344,0.4713375796178344,0.5419501133786848,0.5852842809364549,0.5984126984126984,0.2625418060200669,20.800485142510613,0.30267558528428096,0.6519337016574586,0.7468354430379747,0.1020066889632107,0.45901639344262296,0.4666666666666667,1.0,0.1605351170568562,0.4791666666666667,0.4842105263157895,1.0,0.5652173913043478,0.4791666666666667,0.5162116220735786,7.786848072562362,25.161146496815288,895.0,674.0,45.0,99.0,3.0,5.0,26.0,8.0,14.0,154.0,41.0,22.0,207.0,256.0,,41.0,71.0,31.0,183.0,162.0,342.0,466.0,24.0,9.0,56.0,75.0,115.0,8.0,206.0,893.0,6.0,0.5355648535564853,0.6336633663366337,0.5714285714285714,0.5966386554621849,0.616,0.5718232044198895,0.42857142857142855,0.21951219512195122,0.22828427853553482,0.22433460076045628,0.2616279069767442,0.16555183946488294,0.45454545454545453,0.4787234042553192,0.6666666666666666,0.04201680672268908,0.6,0.15384615384615385,0.5979987341772153,0.5086943786982248,0.20424403183023873,0.27453580901856767,0.3087271472921697,42.0,72.0,35.0,59.0,76.0,161.0,59.0,105.0,67.0,128.0,74.0,30.0,21.0,48.0,67.0,156.0,124.0,11.0,32.0,15.0,8.0,15.0,9.0,33.0,26.0,13.0,26.0,16.0,0.5619047619047619,0.5234375,0.5473372781065089,0.08758169934640522,0.2381679389312977,0.0802675585284281,0.08437270726338958,0.09387755102040816,0.08149779735682819,0.24571428571428572,0.2076923076923077,0.04583333333333333,0.6153846153846154,0.2692307692307692,0.4720496894409938,0.5100671140939598,0.6050420168067226,0.5833333333333334,0.34911242603550297,0.5932203389830508,0.05305466237942122,0.07096774193548387,4.0,52.0,40.0,6.0,3.0,4.0,0.5084745762711864,11.0,17.0,40.0,10.0,12.0,6.0,0.4146341463414634,0.09070294784580499,0.07453416149068323,0.4230769230769231,24.0,13.0,0.1270718232044199,0.3582089552238806,0.19141914191419143,False,5.0,9.0,6.0,15.0,12.0,2.0,5.0,9.0,2.0,3.0,10.0,2.0,5.0,8.0,2.0,1.0,1.0,4.0,0.012738853503184714,0.050505050505050504,0.01639344262295082,0.010416666666666666,0.13043478260869565,0.09206349206349207,0.07317073170731707,0.0763888888888889,0.5,0.14285714285714285,0.07563025210084033,0.5555555555555556,1.0,1.0,0.08875739644970414,0.4,,,,,,,,,,
1626192,1610612749,Pat Connaughton,Pat Connaughton,1626192,MIL,93916.0,1565,221,3316,3324,360,6640,61.0,92.0,24.0,63.0,75.0,206.0,66.0,114.0,99.0,269.0,28.0,457.0,3670,26.0,288.0,205.0,75.0,44.0,37.0,1.0,0.9696969696969697,0.3680297397769517,0.3694029850746269,0.5789473684210527,0.5600522193211488,0.57125,0.7023498694516971,11.60235798499464,0.2402088772845953,0.6630434782608695,0.7530864197530864,0.16449086161879894,0.38095238095238093,0.38095238095238093,1.0,0.5378590078328982,0.3640776699029126,0.3640776699029126,0.96,0.9425587467362925,0.36585365853658536,0.5528170157068062,3.7236842105263155,26.156877323420066,1016.0,777.0,1.0,10.0,6.0,17.0,58.0,8.0,21.0,57.0,80.0,12.0,118.0,106.0,9.0,33.0,81.0,21.0,195.0,129.0,269.0,332.0,20.0,15.0,33.0,63.0,99.0,4.0,118.0,1008.0,4.0,0.803030303030303,0.8833333333333333,0.38095238095238093,0.5,0.5277777777777778,0.5086206896551724,0.6060606060606061,0.15598548972188633,0.1588557516737675,0.13026819923371646,0.16363636363636364,0.02610966057441253,0.1,0.1111111111111111,1.0,0.3541666666666667,0.35294117647058826,0.5321100917431193,0.575789393939394,0.5364513888888889,0.12472647702407003,0.25820568927789933,0.30639324487334135,12.0,21.0,11.0,23.0,4.0,12.0,12.0,27.0,11.0,29.0,12.0,48.0,34.0,36.0,24.0,132.0,63.0,3.0,13.0,5.0,,6.0,2.0,14.0,16.0,7.0,23.0,16.0,0.4444444444444444,0.3793103448275862,0.48623853211009177,0.030848329048843187,0.16176470588235295,0.049930651872399444,0.0400266844563042,0.014492753623188406,0.039568345323741004,0.16793893129770993,0.13664596273291926,0.015384615384615385,0.6956521739130435,0.031331592689295036,0.3333333333333333,0.5,0.4375,0.5714285714285714,0.21100917431192662,0.4782608695652174,0.03787878787878788,0.1111111111111111,4.0,49.0,35.0,4.0,,9.0,0.8032786885245902,19.0,28.0,16.0,12.0,14.0,5.0,0.35,0.14035087719298245,0.3333333333333333,0.3275862068965517,8.0,8.0,0.11956521739130435,0.1111111111111111,0.17052023121387283,False,2.0,4.0,9.0,22.0,9.0,,10.0,3.0,1.0,2.0,6.0,2.0,6.0,2.0,3.0,8.0,,,,0.1,,,0.04054054054054054,0.027303754266211604,0.05741626794258373,0.08484848484848485,0.75,0.5,0.08333333333333333,0.5,1.0,0.8333333333333334,0.2018348623853211,0.4090909090909091,1.0,7.0,6.0,1.0,1.0,0.003703703703703704,,,,
