EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BlockedLongMidRange,3SecondViolations,Defensive 3 Seconds Violations,HeaveAttempts,Clear Path Fouls,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,Technical Free Throw Trips,Corner3PctBlocked,DefensiveGoaltends,OffensiveGoaltends,on,HeaveMakes
1626162,1610612744,Kelly Oubre Jr.,Kelly Oubre Jr.,1626162,GSW,63310.0,1055,-3,2285,2281,532.0,589.0,180.0,4566,103.0,149,13.0,25.0,23.0,34.0,38.0,88.0,5.0,21.0,33.0,85.0,5.0,9.0,8.0,18.0,21.0,89.0,1.0,4.0,3.0,11.0,146.0,258,54.0,174.0,83.0,537,2520,14.0,32.0,6.0,13.0,6.0,52.0,33.0,56.0,11.0,29.0,28.0,127.0,226.0,66.0,153.0,9.0,18.0,89.0,21.0,25.0,30.0,16.0,46.0,10.0,6.0,15.0,10.0,5.0,108.0,15.0,28.0,1.0,69.0,73.0,8.0,150.0,44.0,194.0,6.0,32.0,15.0,17.0,21.0,4.0,11.0,18.0,3.0,10.0,2.0,1.0,39.0,3.0,3.0,36,76,2.0,1.0,4.0,102.0,2.0,5.0,16.0,113.0,19.0,61.0,1.0,4.0,25.0,4.0,3.0,12.0,1.0,13.0,29.0,13.0,125.0,520.0,9.0,2.0,0.773972602739726,0.8248175182481752,0.9444444444444444,0.3103448275862069,0.46153846153846156,0.3793103448275862,0.3103448275862069,0.5658914728682171,0.4375,0.5892857142857143,0.5254629629629629,0.5111111111111111,0.5823529411764706,0.5605427974947808,0.52,0.635,0.4027777777777778,0.09689922480620156,0.10738255033557047,0.09090909090909091,0.047619047619047616,20.80482897384306,0.5384615384615384,0.1702127659574468,0.019230769230769232,0.12289562289562289,0.056338028169014086,0.1377245508982036,0.03024193548387097,0.12968036529680366,0.0433031218529708,0.07344632768361582,0.05555555555555555,0.03278688524590164,0.02956989247311828,0.03225806451612903,0.11267605633802817,0.1018867924528302,0.1896551724137931,0.1518324607329843,0.09243697478991597,0.029411764705882353,0.4482758620689655,0.3449074074074074,0.6912751677852349,0.7744360902255639,0.8155339805825242,0.2037037037037037,0.4318181818181818,0.475,0.6842105263157895,0.04861111111111111,0.23809523809523808,0.25,0.6,0.19675925925925927,0.38823529411764707,0.38823529411764707,1.0,0.20601851851851852,0.23595505617977527,0.23595505617977527,0.8571428571428571,0.5555555555555556,0.52,0.15384615384615385,0.2,0.5555555555555556,1.0,0.08888888888888889,0.25,0.4,0.6764705882352942,0.21176470588235294,0.4444444444444444,0.12941176470588237,0.2727272727272727,0.7476851851851852,0.23595505617977527,0.54778125,0.6349875,0.5414588235294119,0.13052631578947368,0.20333333333333334,0.005714285714285714,0.09683426443202979,0.23649906890130354,5.097674418604651,24.82586206896552,0.23282275711159736,,,,,,,,,,,,,,,True,
1626172,1610612744,Kevon Looney,Kevon Looney,1626172,GSW,37257.0,621,154,1287,1306,232.0,252.0,141.0,2593,41.0,66,15.0,28.0,5.0,11.0,7.0,18.0,2.0,8.0,1.0,5.0,1.0,1.0,,,3.0,5.0,,,,,50.0,92,4.0,10.0,19.0,131,1403,16.0,31.0,1.0,1.0,3.0,38.0,5.0,11.0,,,5.0,15.0,66.0,34.0,12.0,,26.0,5.0,3.0,7.0,24.0,31.0,55.0,23.0,8.0,13.0,5.0,6.0,141.0,22.0,45.0,1.0,41.0,60.0,4.0,105.0,68.0,173.0,6.0,15.0,9.0,6.0,6.0,3.0,5.0,16.0,2.0,1.0,,2.0,22.0,3.0,,45,75,1.0,5.0,5.0,26.0,1.0,5.0,1.0,30.0,,13.0,,2.0,11.0,,,5.0,,4.0,11.0,8.0,15.0,231.0,4.0,2.0,0.66,0.8918918918918919,1.0,0.4,1.0,,0.4,0.5434782608695652,0.5161290322580645,0.45454545454545453,0.5490196078431373,0.546875,0.45454545454545453,0.5598290598290598,0.5588235294117647,0.5,0.09803921568627451,0.07608695652173914,0.07575757575757576,0.1111111111111111,,9.586206896551724,0.2727272727272727,0.2,0.04,0.16997167138810199,0.1541095890410959,0.14186851211072665,0.07586206896551724,0.1573208722741433,0.11512027491408934,0.2033898305084746,0.17307692307692307,0.04285714285714286,0.07048458149779736,0.09523809523809523,0.2231404958677686,0.1592356687898089,0.10666666666666667,0.14473684210526316,0.13114754098360656,0.15,0.7272727272727273,0.6470588235294118,0.6212121212121212,0.6721311475409836,0.6097560975609756,0.17647058823529413,0.3888888888888889,0.4375,1.0,0.0784313725490196,0.25,0.25,0.5,0.049019607843137254,0.2,0.2,1.0,0.049019607843137254,0.6,0.6,1.0,0.875,0.5357142857142857,,0.03125,1.0,1.0,,,1.0,0.45454545454545453,,,,,0.7450980392156863,0.6,0.566063725490196,0.6635666666666666,0.7160909090909091,0.11304347826086956,0.12380952380952381,,0.2900763358778626,0.11450381679389313,4.215217391304348,24.889999999999997,0.18026418026418026,2.0,1.0,1.0,,,,,,,,,,,,True,
1627780,1610612744,Gary Payton II,Gary Payton II,1627780,GSW,731.0,12,8,24,27,11.0,5.0,,51,3.0,3,,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,3.0,3,1.0,2.0,,9,22,,,,,,,1.0,1.0,,1.0,,2.0,6.0,,3.0,,,1.0,1.0,,,,,,,,,,,,,,3.0,1.0,,4.0,,4.0,,1.0,,1.0,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,2.0,11.0,,,1.0,1.0,1.0,0.5,,,0.5,1.0,,1.0,0.9,,0.5,0.9,,0.5,0.4,,,,,20.833333333333336,,,,0.2,,0.2727272727272727,,0.25,,,,,,,,1.0,,0.2857142857142857,0.25,,,0.6,1.0,1.0,1.0,,,,,,,,,0.2,,,,0.2,1.0,1.0,1.0,,,,,,,,,0.5,1.0,0.5,,,,1.0,1.0,0.5218,,0.52795,,,,,0.2222222222222222,2.7999999999999994,25.1,0.4583333333333333,,,,,,,,,,,,,,,True,
203110,1610612744,Draymond Green,Draymond Green,203110,GSW,118909.0,1982,239,4250,4232,1037.0,1202.0,352.0,8482,103.0,160,10.0,25.0,28.0,39.0,25.0,69.0,8.0,25.0,6.0,16.0,1.0,1.0,2.0,3.0,28.0,110.0,2.0,7.0,4.0,24.0,136.0,254,34.0,126.0,70.0,444,4702,12.0,29.0,3.0,8.0,7.0,40.0,36.0,62.0,6.0,27.0,28.0,118.0,168.0,104.0,99.0,3.0,18.0,108.0,28.0,15.0,344.0,214.0,558.0,165.0,49.0,257.0,62.0,25.0,1330.0,22.0,30.0,3.0,170.0,185.0,38.0,393.0,55.0,448.0,10.0,105.0,63.0,42.0,111.0,50.0,98.0,77.0,3.0,13.0,,5.0,188.0,10.0,42.0,100,194,6.0,7.0,10.0,119.0,17.0,12.0,13.0,88.0,14.0,41.0,,10.0,47.0,5.0,3.0,26.0,2.0,21.0,52.0,31.0,112.0,1019.0,15.0,6.0,0.6176470588235294,0.6614173228346457,0.9705882352941176,0.2698412698412698,0.375,0.2222222222222222,0.27419354838709675,0.5354330708661418,0.41379310344827586,0.5806451612903226,0.4921052631578947,0.44594594594594594,0.5056179775280899,0.5323741007194245,0.5,0.5619047619047619,0.33157894736842103,0.05905511811023622,0.05625,0.08695652173913043,,13.033175355450236,0.5904255319148937,0.40860215053763443,0.033707865168539325,0.17273576097105509,0.03525264394829612,0.1814300960512273,0.022940563086548488,0.17679282868525897,0.028729281767955802,0.06402439024390244,0.025396825396825397,0.004807692307692308,0.020891364902506964,0.029045643153526972,0.125,0.18619246861924685,0.21888412017167383,0.16890080428954424,0.23036649214659685,0.053763440860215055,0.5961538461538461,0.42105263157894735,0.64375,0.6821192052980133,0.5922330097087378,0.18157894736842106,0.36231884057971014,0.3968253968253968,0.68,0.06578947368421052,0.32,0.32,0.75,0.042105263157894736,0.375,0.375,1.0,0.2894736842105263,0.2545454545454545,0.2545454545454545,0.9642857142857143,0.6756756756756757,0.4,,0.02702702702702703,1.0,1.0,0.1891891891891892,0.2857142857142857,0.43820224719101125,0.717948717948718,0.033707865168539325,0.6666666666666666,0.2696629213483146,0.16666666666666666,0.7526315789473684,0.25925925925925924,0.5327262599469497,0.634875806451613,0.5046091954022988,0.10073710073710074,0.14590747330960854,,0.09009009009009009,0.26576576576576577,4.950393700787403,26.65476190476191,0.244,,1.0,,2.0,3.0,1.0,,,,,,,,,True,
203145,1610612744,Kent Bazemore,Kent Bazemore,203145,GSW,45653.0,761,147,1620,1631,412.0,515.0,138.0,3251,43.0,67,3.0,6.0,11.0,15.0,13.0,25.0,2.0,17.0,26.0,74.0,1.0,10.0,4.0,19.0,18.0,43.0,4.0,5.0,4.0,10.0,58.0,109,44.0,117.0,32.0,280,1770,7.0,13.0,5.0,15.0,2.0,31.0,15.0,27.0,8.0,29.0,7.0,61.0,84.0,32.0,123.0,9.0,6.0,43.0,18.0,6.0,27.0,20.0,47.0,17.0,3.0,19.0,4.0,4.0,114.0,5.0,10.0,,58.0,41.0,6.0,105.0,15.0,120.0,3.0,32.0,16.0,16.0,23.0,6.0,12.0,23.0,4.0,11.0,5.0,1.0,46.0,,14.0,49,100,2.0,,5.0,48.0,2.0,6.0,5.0,43.0,5.0,19.0,,5.0,16.0,3.0,3.0,11.0,,5.0,19.0,9.0,61.0,400.0,18.0,3.0,0.7241379310344828,0.7636363636363637,0.9318181818181818,0.37606837606837606,0.3333333333333333,0.27586206896551724,0.37606837606837606,0.5321100917431193,0.5384615384615384,0.5555555555555556,0.5486725663716814,0.5178571428571429,0.48214285714285715,0.5714285714285714,0.5344827586206896,0.5083333333333333,0.5176991150442478,0.05504587155963303,0.05970149253731343,0.08,,16.374929418407678,0.5,0.15,,0.0985576923076923,0.033112582781456956,0.16201117318435754,0.013089005235602094,0.12790697674418605,0.021929824561403508,0.04878048780487805,0.02857142857142857,0.013513513513513514,0.01845018450184502,,0.08823529411764706,0.07428571428571429,0.1523809523809524,0.17,0.1206896551724138,0.02608695652173913,0.47368421052631576,0.29646017699115046,0.6417910447761194,0.6825396825396826,0.7906976744186046,0.11061946902654868,0.52,0.5652173913043478,0.5384615384615384,0.0752212389380531,0.11764705882352941,0.11764705882352941,0.5,0.3274336283185841,0.35135135135135137,0.35135135135135137,0.9615384615384616,0.1902654867256637,0.4186046511627907,0.42857142857142855,0.8888888888888888,0.21428571428571427,0.5,0.6666666666666666,0.35714285714285715,0.1,1.0,0.17857142857142858,0.8,0.26785714285714285,0.7333333333333333,0.3392857142857143,0.21052631578947367,0.17857142857142858,0.4,0.8141592920353983,0.4186046511627907,0.5509161504424779,0.5501,0.5467517857142857,0.07916666666666666,0.15447154471544716,,0.11071428571428571,0.21785714285714286,5.787155963302751,24.33675213675214,0.254320987654321,,,,,,1.0,1.0,0.008547008547008548,0.023255813953488372,,,,,,True,
1627814,1610612744,Damion Lee,Damion Lee,1627814,GSW,18027.0,300,90,665,646,282.0,309.0,44.0,1311,12.0,12,2.0,2.0,6.0,6.0,5.0,7.0,,,9.0,18.0,1.0,1.0,5.0,8.0,13.0,42.0,1.0,3.0,5.0,17.0,17.0,19,22.0,60.0,14.0,114,739,2.0,3.0,2.0,4.0,,10.0,7.0,7.0,10.0,25.0,12.0,56.0,30.0,4.0,63.0,3.0,2.0,42.0,13.0,,7.0,9.0,16.0,4.0,5.0,5.0,2.0,,41.0,3.0,4.0,,11.0,23.0,4.0,38.0,7.0,45.0,,15.0,10.0,5.0,9.0,2.0,9.0,5.0,1.0,,,1.0,14.0,,3.0,13,24,,1.0,1.0,15.0,,1.0,4.0,15.0,1.0,4.0,,4.0,1.0,,,,,1.0,1.0,,56.0,282.0,4.0,3.0,0.8823529411764706,0.9375,0.9545454545454546,0.36666666666666664,0.5,0.4,0.36666666666666664,0.8947368421052632,0.6666666666666666,1.0,0.6329113924050633,0.7142857142857143,0.6875,0.6627906976744186,0.7142857142857143,0.7368421052631579,0.759493670886076,,,,,14.104372355430185,0.6428571428571429,0.19047619047619047,,0.1377245508982036,0.038461538461538464,0.09482758620689655,0.019867549668874173,0.12014134275618374,0.027450980392156862,0.02857142857142857,0.05405405405405406,0.03125,0.024793388429752067,,0.18181818181818182,0.12,0.10810810810810811,0.06976744186046512,0.16666666666666666,,,0.1518987341772152,1.0,1.0,0.8333333333333334,0.08860759493670886,0.7142857142857143,0.7142857142857143,1.0,,,,,0.22784810126582278,0.5,0.5,0.8888888888888888,0.5316455696202531,0.30952380952380953,0.30952380952380953,1.0,0.2857142857142857,1.0,0.5,0.14285714285714285,1.0,,0.42857142857142855,0.3333333333333333,0.1875,1.0,0.25,0.625,0.53125,0.29411764705882354,0.9113924050632911,0.30952380952380953,0.5518249999999999,0.55535,0.5711703125,0.04878048780487805,0.18181818181818182,,0.08771929824561403,0.49122807017543857,3.999999999999999,25.485,0.42406015037593986,,,,,,1.0,,,,,,,,,True,
1630185,1610612744,Nico Mannion,Nico Mannion,1630185,GSW,2061.0,34,4,73,76,23.0,24.0,9.0,149,1.0,1,,,,,,3.0,,1.0,,1.0,,,,,1.0,3.0,,,,1.0,1.0,5,1.0,4.0,2.0,7,69,,,,,,,,1.0,,1.0,,,,2.0,,3.0,,3.0,1.0,,2.0,1.0,3.0,1.0,,2.0,,,7.0,,,1.0,3.0,2.0,,5.0,1.0,6.0,,,,,2.0,,2.0,1.0,1.0,,,,3.0,,,4,4,,,,2.0,,,1.0,2.0,,1.0,,,,,,,,,,,,23.0,,,,,,0.25,,,0.25,0.2,,,0.2777777777777778,,,0.35,,,0.4444444444444444,,,,,15.66265060240964,0.6666666666666666,,0.3333333333333333,0.11764705882352941,,0.2,,0.15625,,,,,,,,,0.5,0.23076923076923078,,,,0.1111111111111111,1.0,1.0,,0.3333333333333333,,,,0.1111111111111111,,,,0.1111111111111111,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,0.5,,0.5555555555555556,0.3333333333333333,0.5101611111111111,,0.4918,0.1,0.16666666666666666,,,,10.779999999999998,25.450000000000003,0.3150684931506849,,,1.0,,,,,,,,,,,,True,
201939,1610612744,Stephen Curry,Stephen Curry,201939,GSW,104275.0,1738,278,3749,3715,932.0,1078.0,310.0,7464,139.0,204,3.0,9.0,42.0,65.0,76.0,147.0,38.0,95.0,20.0,52.0,1.0,4.0,2.0,7.0,264.0,575.0,16.0,25.0,84.0,169.0,253.0,446,284.0,627.0,288.0,1646,4130,10.0,22.0,17.0,29.0,8.0,79.0,69.0,136.0,86.0,176.0,134.0,530.0,234.0,272.0,522.0,330.0,4.0,568.0,264.0,34.0,202.0,89.0,291.0,37.0,52.0,153.0,36.0,13.0,671.0,12.0,9.0,,137.0,123.0,2.0,262.0,21.0,283.0,3.0,57.0,37.0,20.0,99.0,23.0,65.0,58.0,10.0,34.0,4.0,7.0,157.0,10.0,39.0,32,89,2.0,2.0,6.0,234.0,5.0,3.0,4.0,317.0,32.0,93.0,30.0,35.0,3.0,,,,,3.0,3.0,2.0,507.0,914.0,17.0,21.0,0.4624505928853755,0.46613545816733065,0.6126760563380281,0.4529505582137161,0.5862068965517241,0.48863636363636365,0.45806451612903226,0.5672645739910314,0.45454545454545453,0.5073529411764706,0.6328052190121156,0.696078431372549,0.6346153846153846,0.682998324958124,0.7222222222222222,0.706199460916442,0.5843429636533085,0.07623318385650224,0.08333333333333333,0.09523809523809523,0.031578947368421054,32.926531608494024,0.6305732484076433,0.02564102564102564,,0.13029661016949154,0.01227830832196453,0.1650602409638554,0.014268727705112961,0.14656144306651633,0.013341804320203304,0.006968641114982578,0.014705882352941176,0.017241379310344827,0.014516129032258065,0.013574660633484163,0.0946372239747634,0.1339712918660287,0.17703349282296652,0.15653495440729484,0.19767441860465115,0.006263048016701462,0.6666666666666666,0.19012115563839702,0.6813725490196079,0.7433155080213903,0.460431654676259,0.1369990680335508,0.5170068027210885,0.5714285714285714,0.4605263157894737,0.08853681267474371,0.4,0.41304347826086957,0.47368421052631576,0.048462255358807084,0.38461538461538464,0.38461538461538464,0.9,0.5358807082945014,0.4591304347826087,0.4647887323943662,0.5909090909090909,0.17647058823529413,0.3333333333333333,0.3333333333333333,0.0784313725490196,0.25,1.0,0.49019607843137253,0.64,0.20833333333333334,0.6461538461538462,0.022435897435897436,0.2857142857142857,0.5416666666666666,0.4970414201183432,0.7744641192917054,0.4647887323943662,0.511775307473983,0.4974821428571429,0.4965607973421926,0.10612597066436583,0.1834319526627219,0.046012269938650305,0.0479951397326853,0.3219927095990279,7.567937219730944,27.377990430622,0.24859962656708456,,,,7.0,,0.875,7.0,0.011164274322169059,0.01217391304347826,5.0,15.0,,,,True,
203952,1610612744,Andrew Wiggins,Andrew Wiggins,203952,GSW,92952.0,1549,84,3308,3300,727.0,826.0,285.0,6608,144.0,197,26.0,36.0,31.0,42.0,59.0,127.0,32.0,94.0,30.0,70.0,1.0,6.0,4.0,14.0,66.0,168.0,10.0,16.0,14.0,32.0,235.0,418,96.0,238.0,112.0,870,3724,28.0,45.0,11.0,22.0,11.0,100.0,46.0,72.0,18.0,46.0,25.0,171.0,278.0,192.0,237.0,51.0,30.0,168.0,66.0,18.0,49.0,59.0,108.0,45.0,14.0,32.0,13.0,4.0,275.0,23.0,30.0,,84.0,71.0,2.0,157.0,53.0,210.0,14.0,45.0,26.0,19.0,38.0,6.0,25.0,35.0,8.0,13.0,7.0,2.0,73.0,6.0,11.0,63,110,5.0,4.0,7.0,138.0,,7.0,5.0,157.0,18.0,79.0,1.0,7.0,44.0,3.0,2.0,15.0,1.0,23.0,47.0,30.0,171.0,709.0,9.0,6.0,0.5914893617021276,0.6318181818181818,0.8229166666666666,0.40336134453781514,0.5,0.391304347826087,0.40336134453781514,0.562200956937799,0.6222222222222222,0.6388888888888888,0.5777439024390244,0.664179104477612,0.6186440677966102,0.6,0.6666666666666666,0.6286764705882353,0.3628048780487805,0.0430622009569378,0.04568527918781726,0.05511811023622047,0.02127659574468085,21.983471074380166,0.5205479452054794,0.028985507246376812,,0.08669108669108669,0.0436046511627907,0.11666666666666667,0.0310391363022942,0.10071474983755685,0.0370888733379986,0.053231939163498096,0.051587301587301584,0.017341040462427744,0.035523978685612786,0.016853932584269662,0.08148148148148149,0.08469945355191257,0.09836065573770492,0.109375,0.14583333333333334,0.0462046204620462,0.6382978723404256,0.3003048780487805,0.7309644670050761,0.7659574468085106,0.6875,0.19359756097560976,0.4645669291338583,0.49166666666666664,0.423728813559322,0.14329268292682926,0.3404255319148936,0.34782608695652173,0.46875,0.10670731707317073,0.42857142857142855,0.43478260869565216,0.9333333333333333,0.25609756097560976,0.39285714285714285,0.39285714285714285,0.7727272727272727,0.5373134328358209,0.7222222222222222,0.38461538461538464,0.08955223880597014,0.16666666666666666,1.0,0.23880597014925373,0.625,0.3559322033898305,0.7380952380952381,0.11864406779661017,0.2857142857142857,0.2711864406779661,0.4375,0.663109756097561,0.39285714285714285,0.5201419207317071,0.6126476744186046,0.5285737288135594,0.11142061281337047,0.1649269311064718,0.0041841004184100415,0.11494252873563218,0.19655172413793104,7.599282296650717,25.563445378151272,0.219770253929867,6.0,,1.0,,,1.0,1.0,0.004201680672268907,,,,0.014285714285714285,,,True,
1628539,1610612744,Mychal Mulder,Mychal Mulder,1628539,GSW,20578.0,343,32,731,720,231.0,234.0,53.0,1451,20.0,25,,,3.0,5.0,,2.0,,,22.0,52.0,3.0,5.0,6.0,14.0,16.0,51.0,1.0,4.0,4.0,10.0,20.0,27,38.0,103.0,5.0,159,855,,,4.0,9.0,,12.0,3.0,7.0,10.0,24.0,,36.0,38.0,2.0,114.0,,,51.0,16.0,2.0,3.0,6.0,9.0,6.0,,1.0,2.0,,24.0,3.0,4.0,,10.0,12.0,,22.0,7.0,29.0,,3.0,2.0,1.0,4.0,,3.0,2.0,1.0,1.0,,1.0,6.0,1.0,5.0,13,30,,3.0,,6.0,,,1.0,8.0,,4.0,,,4.0,,,3.0,,1.0,4.0,1.0,36.0,231.0,3.0,,0.95,0.95,1.0,0.36893203883495146,0.4444444444444444,0.4166666666666667,0.36893203883495146,0.7407407407407407,,0.42857142857142855,0.5923076923076923,0.6666666666666666,0.5806451612903226,0.5932835820895522,0.6666666666666666,0.5806451612903226,0.7923076923076923,0.07407407407407407,0.08,,,17.743979721166035,0.6666666666666666,,,0.06818181818181818,0.036036036036036036,0.06097560975609756,0.014634146341463415,0.06470588235294118,0.022151898734177215,0.05263157894736842,0.03125,,0.019736842105263157,,0.01639344262295082,0.10126582278481013,0.08333333333333333,0.06666666666666667,0.034482758620689655,,0.25,0.19230769230769232,0.8,0.8695652173913043,0.95,0.015384615384615385,,,,,,,,0.4,0.4230769230769231,0.4230769230769231,1.0,0.3923076923076923,0.3137254901960784,0.3137254901960784,1.0,,,,0.5555555555555556,0.6,1.0,0.4444444444444444,0.25,0.16129032258064516,0.6,0.45161290322580644,0.42857142857142855,0.3225806451612903,0.4,0.9846153846153847,0.3137254901960784,0.5693957692307693,0.48033000000000003,0.5769774193548388,0.029850746268656716,0.12903225806451613,,0.07547169811320754,0.22641509433962265,2.585185185185185,24.69320388349514,0.31600547195622436,,,,,,1.0,,,,,,,,,True,
