EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,PlusMinus,PenaltyOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,FTOffRebounds,Charge Fouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,ThreePtAssists,Corner3Assists,DefLongMidRangeReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonShootingFoulsDrawn,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,Arc3Assists,BadPassOutOfBoundsTurnovers,LostBallTurnovers,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,on,SecondChanceArc3FGM,SecondChanceFG3M,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,LostBallSteals,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Blocked3s,BlockedCorner3,DefensiveGoaltends,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,OffLongMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Fg3aBlocked,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedArc3,3SecondViolations,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,HeaveAttempts,3pt And 1 Free Throw Trips,Technical Free Throw Trips,Corner3PctBlocked,BlockedLongMidRange,LongMidRangePctBlocked,Clear Path Fouls
1627734,1610612754,Domantas Sabonis,Domantas Sabonis,1627734,IND,42.0,1,1,2,2,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628578,1610612754,Amida Brimah,Amida Brimah,1628578,IND,1757.0,29,65,67,32,6.0,132,2.0,6.0,8.0,,,0.09090909090909091,0.1111111111111111,,22.0,20.0,5.0,6.0,1.0,1.0,2.0,5.0,8.0,3.0,13.0,55.0,1.0,1.0,1.0,3.0,2.0,2.0,8.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,3.0,3.0,1.0,2.0,5.0,3.0,2.0,5.0,5.0,1.0,2.0,19.0,1.0,0.8,1.0,0.625,1.0,0.625,1.0,0.7222222222222222,1.5,1.0,18.055555555555557,0.5,0.5,0.11764705882352941,0.14285714285714285,0.09090909090909091,0.125,0.125,0.2857142857142857,0.2222222222222222,1.0,0.75,0.8333333333333334,0.8333333333333334,0.8,0.25,1.0,1.0,0.75,0.5273125000000001,0.6871,0.2222222222222222,0.2222222222222222,0.23076923076923078,0.15384615384615385,3.0375,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629103,1610612754,Kelan Martin,Kelan Martin,1629103,IND,1577.0,26,58,60,26,5.0,118,3.0,8.0,9.0,,,0.14285714285714285,0.22857142857142856,0.25,23.0,18.0,1.0,2.0,,,2.0,4.0,7.0,1.0,21.0,45.0,1.0,1.0,,2.0,1.0,16.0,2.0,6.0,2.0,,,,,,5.0,,1.0,1.0,1.0,1.0,2.0,,,3.0,,,2.0,2.0,,1.0,2.0,2.0,,2.0,1.0,,16.0,17.0,,0.25,0.3333333333333333,0.5714285714285714,1.0,0.8333333333333334,1.0,0.8076923076923077,1.0,1.0,23.80952380952381,0.5,,,0.35714285714285715,,,,,0.3333333333333333,0.5,0.16666666666666666,0.5,1.0,1.0,0.16666666666666666,,,0.5833333333333334,0.4661583333333334,0.4672,0.07692307692307693,0.125,0.09523809523809523,0.7619047619047619,10.814285714285715,0.3103448275862069,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,6.0,6.0,4.0,3.0,2.0,1.0,1.0,0.5,0.8,1.0,0.8,0.75,1.0714285714285714,0.4166666666666667,0.2857142857142857,0.5,0.5,0.25,0.4,0.5,1.0,0.25,0.6666666666666666,0.6666666666666666,0.08333333333333333,1.0,1.0,1.0,0.3333333333333333,0.75,0.75,0.3333333333333333,0.14285714285714285,1.0,0.2857142857142857,1.0,0.75,0.44245,25.8,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630199,1610612754,Cassius Stanley,Cassius Stanley,1630199,IND,1591.0,27,58,60,29,6.0,118,3.0,4.0,4.0,,,0.14285714285714285,0.11764705882352941,0.08333333333333333,22.0,20.0,3.0,6.0,,,2.0,4.0,8.0,2.0,13.0,46.0,,,,,2.0,6.0,6.0,2.0,,,1.0,,3.0,,1.0,,,,,,,,1.0,3.0,,,1.0,2.0,,1.0,,,,,,,6.0,19.0,1.0,0.75,0.75,0.5,,0.5,,0.5416666666666666,,0.75,18.46153846153846,,,,0.07692307692307693,,,,0.16666666666666666,0.1111111111111111,,0.5454545454545454,0.5,0.75,1.0,0.18181818181818182,,,0.8181818181818182,0.5101818181818182,,0.08333333333333333,0.1111111111111111,,0.46153846153846156,3.6625,0.3448275862068966,1.0,,,,,,,1.0,3.0,,,1.0,3.0,2.0,3.0,,,3.0,,3.0,1.0,2.0,,,1.0,0.3333333333333333,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2727272727272727,0.25,0.3333333333333333,,,,0.5,0.5,,,,,,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,,,,,0.3333333333333333,0.47036666666666666,26.2,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204456,1610612754,T.J. McConnell,T.J. McConnell,204456,IND,235.0,4,8,10,6,2.0,18,,,,1.0,1.0,,,,3.0,4.0,,,,,1.0,,1.0,1.0,1.0,5.0,,,,,1.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,3.0,,,,,,,,0.16666666666666666,,0.25,30.0,,,,,,,,,,,,,,,0.5,,,0.5,0.48095,,,,,1.0,5.2,0.5,,,,,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.5,,,,,,,,1.0,,,,,0.5283,23.5,,,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627747,1610612754,Caris LeVert,Caris LeVert,1627747,IND,164.0,3,6,6,6,1.0,12,,,,1.0,1.0,,,,-1.0,2.0,,,,,1.0,,1.0,,,10.0,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,25.0,,,,,,,,,,,,,,,0.5,,,0.5,0.465,0.5202,,,,,5.4,0.3333333333333333,,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,0.5,1.0,,1.0,,,,,,,,,,,,0.5,,,,,,0.5,,,0.465,26.5,,,,,,,,,1.0,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627763,1610612754,Malcolm Brogdon,Malcolm Brogdon,1627763,IND,164.0,3,6,6,6,1.0,12,,,,,,,,,-1.0,2.0,1.0,1.0,,,1.0,4.0,4.0,1.0,9.0,10.0,,,,,,2.0,2.0,6.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0,,0.25,0.25,1.0,,1.0,,1.125,,1.0,62.5,1.0,,,,,,,,,,0.25,1.0,1.0,1.0,0.25,,,0.25,0.48092500000000005,,0.25,0.25,,0.2222222222222222,9.575,0.3333333333333333,1.0,2.0,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,0.4284,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628410,1610612754,Edmond Sumner,Edmond Sumner,1628410,IND,164.0,3,6,6,6,1.0,12,,,,1.0,1.0,,,,-1.0,2.0,,1.0,,,,,1.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,12.5,,,,,,,,,,,1.0,,,,,,,1.0,0.4111,,,,,,3.7,0.3333333333333333,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.4111,,,1.0,,,,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203926,1610612754,Doug McDermott,Doug McDermott,203926,IND,100.0,2,5,4,3,,9,,,,,,,,,1.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628988,1610612754,Aaron Holiday,Aaron Holiday,1628988,IND,1440.0,24,54,55,20,3.0,109,2.0,3.0,3.0,1.0,1.0,0.1111111111111111,0.1,0.1111111111111111,19.0,14.0,1.0,1.0,,,,1.0,1.0,,2.0,43.0,,,,,,,2.0,,,6.0,10.0,6.0,24.0,,1.0,,,3.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,14.0,,1.0,1.0,1.0,,1.0,,1.0,,,8.771929824561404,0.75,,,0.08333333333333333,,,,0.14285714285714285,0.125,,1.0,1.0,1.0,1.0,,,,1.0,0.6468,,,,,,1.0,0.25925925925925924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,,,,2.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
