EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,SecondChanceFtPoints,PtsPutbacks,LongMidRangeAssists,FTOffRebounds,SelfOReb,StepOutOfBoundsTurnovers,Travels,Offensive Fouls,OffensiveGoaltends,OffFTReboundPct,OffLongMidRangeReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Blocked3s,BlockedArc3,Arc3PctBlocked,SecondChanceCorner3PctAssisted,BlockedCorner3,Charge Fouls,Transition Take Fouls Drawn,Defensive 3 Seconds Violations,on,Transition Take Fouls,3pt And 1 Free Throw Trips,3SecondViolations,HeaveMakes
1627936,1610612760,Alex Caruso,Alex Caruso,1627936,OKC,14827.0,247,105,512,513,120,197,51,1025,17.0,26.0,1.0,3.0,3.0,4.0,2.0,3.0,2.0,7.0,18.0,1.0,2.0,1.0,3.0,10.0,24.0,1.0,6.0,2.0,3.0,19.0,31,17.0,42.0,18.0,107,534,2.0,5.0,2.0,8.0,10.0,3.0,4,3.0,6.0,3.0,18.0,20.0,18.0,45.0,6.0,24.0,10.0,2.0,1.0,13.0,18.0,31.0,14.0,4.0,8.0,5.0,80.0,3.0,4.0,14.0,16.0,2.0,32.0,7,39,21.0,13.0,8.0,10.0,4.0,8.0,5.0,1.0,2.0,15.0,1.0,3.0,10.0,19.0,2.0,19.0,3.0,1.0,2.0,19.0,5.0,11.0,1.0,8.0,2.0,1.0,5.0,8.0,3.0,1.0,18.0,120,2.0,1.0,0.5263157894736842,0.5263157894736842,0.8823529411764706,0.40476190476190477,0.25,0.5,0.40476190476190477,0.6129032258064516,0.4,0.75,0.6095890410958904,0.38461538461538464,0.75,0.66875,0.38461538461538464,0.8181818181818182,0.5753424657534246,0.023809523809523808,0.06451612903225806,0.038461538461538464,0.3333333333333333,0.05555555555555555,16.637478108581437,0.6666666666666666,0.11764705882352941,0.13333333333333333,0.038461538461538464,0.12389380530973451,0.024793388429752067,0.12875536480686695,0.03111111111111111,0.05405405405405406,0.043478260869565216,0.021505376344086023,0.03571428571428571,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.1375,0.09090909090909091,0.375,0.3561643835616438,0.6538461538461539,0.68,0.5294117647058824,0.0410958904109589,0.6666666666666666,1.0,0.5,0.0273972602739726,0.2465753424657534,0.3888888888888889,0.4117647058823529,0.8571428571428571,0.3287671232876712,0.4166666666666667,0.4166666666666667,0.9,0.23076923076923078,0.3333333333333333,0.15384615384615385,0.5,0.46153846153846156,0.16666666666666666,1.0,0.4,0.75,0.3,0.3333333333333333,0.3,0.6666666666666666,0.9315068493150684,0.4166666666666667,0.5996373239436622,0.62348,0.631935,0.13924050632911392,0.2972972972972973,0.09345794392523364,0.16822429906542055,3.467741935483871,24.780952380952378,0.234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1628392,1610612760,Isaiah Hartenstein,Isaiah Hartenstein,1628392,OKC,18100.0,302,47,608,607,60,91,70,1215,20.0,30.0,5.0,11.0,1.0,2.0,16.0,42.0,3.0,,,,,,,,5.0,,3.0,,2.0,37.0,75,,5.0,13.0,87,655,7.0,16.0,,3.0,18.0,1.0,3,,2.0,4.0,6.0,54.0,20.0,,,5.0,,5.0,,36.0,10.0,46.0,9.0,1.0,25.0,7.0,102.0,10.0,19.0,32.0,42.0,7.0,81.0,30,111,12.0,7.0,5.0,10.0,7.0,8.0,15.0,3.0,2.0,25.0,3.0,1.0,22.0,33.0,2.0,13.0,,,,21.0,1.0,10.0,1.0,16.0,8.0,,8.0,16.0,11.0,,6.0,60,2.0,1.0,0.7297297297297297,0.84375,,,,,,0.49333333333333335,0.4375,0.3333333333333333,0.4625,0.3684210526315789,0.2,0.48333333333333334,0.42857142857142855,0.375,0.0625,,0.06666666666666667,0.06666666666666667,0.07142857142857142,,16.570605187319885,0.4,0.4666666666666667,0.27450980392156865,0.11801242236024845,0.21476510067114093,0.08,0.24503311258278146,0.10139860139860139,0.13636363636363635,0.11494252873563218,0.09375,0.034482758620689655,0.18181818181818182,0.325,0.27586206896551724,0.21739130434782608,0.20588235294117646,0.6875,0.375,0.6666666666666666,0.7142857142857143,0.65,0.525,0.38095238095238093,0.41025641025641024,0.8125,0.0375,,,,,0.0625,,,,0.5789473684210527,0.45454545454545453,,,0.15789473684210525,,,0.4,0.5,,,0.4,,0.4375,,0.535126282051282,0.5510964285714286,0.5675799999999999,0.11235955056179775,0.11904761904761904,0.20689655172413793,0.06896551724137931,6.334666666666666,25.48,0.09868421052631579,1.0,4.0,10.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,0.125,0.1,0.10526315789473684,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,True,,,,
1628983,1610612760,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,1628983,OKC,34727.0,579,310,1191,1182,377,473,142,2373,74.0,99.0,8.0,12.0,24.0,31.0,69.0,127.0,72.0,,2.0,,,,,34.0,101.0,4.0,12.0,11.0,38.0,176.0,298,34.0,103.0,151.0,605,1220,21.0,35.0,4.0,12.0,58.0,52.0,91,11.0,38.0,74.0,211.0,78.0,274.0,27.0,75.0,101.0,34.0,22.0,,35.0,78.0,113.0,57.0,21.0,21.0,13.0,304.0,9.0,7.0,33.0,31.0,3.0,67.0,16,83,32.0,16.0,16.0,20.0,5.0,8.0,15.0,1.0,12.0,35.0,1.0,9.0,26.0,41.0,2.0,119.0,,3.0,2.0,170.0,16.0,68.0,17.0,18.0,7.0,1.0,10.0,18.0,11.0,,209.0,376,4.0,15.0,0.2215909090909091,0.22807017543859648,0.2647058823529412,0.3300970873786408,0.3333333333333333,0.2894736842105263,0.3300970873786408,0.5906040268456376,0.6,0.5714285714285714,0.5660847880299252,0.574468085106383,0.5310077519379846,0.6329113924050633,0.58,0.625,0.256857855361596,,0.0738255033557047,0.10101010101010101,0.08661417322834646,,37.51846381093058,0.5714285714285714,0.08571428571428572,0.10616438356164383,0.029661016949152543,0.12406015037593984,0.0297029702970297,0.11469534050179211,0.029684601113172542,0.057971014492753624,0.017857142857142856,0.02531645569620253,0.045454545454545456,0.1,0.08387096774193549,0.16417910447761194,0.12376237623762376,0.125,0.6111111111111112,0.24688279301745636,0.7474747474747475,0.8314606741573034,0.25675675675675674,0.3167082294264339,0.5433070866141733,0.5948275862068966,0.14492753623188406,0.17955112219451372,0.004987531172069825,,,,0.2518703241895262,0.33663366336633666,0.33663366336633666,0.2647058823529412,0.2553191489361702,0.6666666666666666,,,0.2553191489361702,0.3333333333333333,0.75,0.24031007751937986,0.7741935483870968,,,0.29457364341085274,0.2894736842105263,0.5037406483790524,0.33663366336633666,0.5186335064935063,0.5031777777777777,0.5020562992125984,0.1575492341356674,0.19428571428571428,0.09586776859504133,0.3487603305785124,8.771140939597315,26.095145631067968,0.3165407220822838,33.0,4.0,10.0,1.0,,5.0,2.0,2.0,5.0,,,0.01818181818181818,0.03067484662576687,0.4583333333333333,0.4647887323943662,0.30303030303030304,5.0,4.0,0.013888888888888888,0.25,0.037383177570093455,,,,,,,,,,True,,,,
1629026,1610612760,Kenrich Williams,Kenrich Williams,1629026,OKC,67896.0,1132,329,2324,2325,547,726,277,4649,70.0,102.0,13.0,23.0,17.0,23.0,26.0,58.0,23.0,16.0,43.0,2.0,5.0,4.0,11.0,50.0,128.0,5.0,16.0,11.0,29.0,105.0,183,66.0,171.0,28.0,436,2494,15.0,30.0,7.0,21.0,51.0,24.0,35,15.0,40.0,7.0,100.0,126.0,84.0,198.0,,127.0,50.0,21.0,1.0,53.0,43.0,96.0,32.0,11.0,28.0,18.0,235.0,32.0,32.0,94.0,66.0,16.0,176.0,65,241,43.0,34.0,9.0,17.0,7.0,9.0,22.0,6.0,8.0,39.0,8.0,10.0,54.0,110.0,16.0,54.0,11.0,10.0,6.0,39.0,7.0,20.0,3.0,9.0,4.0,2.0,3.0,10.0,5.0,,100.0,546,13.0,3.0,0.6,0.65625,1.0,0.38596491228070173,0.3333333333333333,0.375,0.38823529411764707,0.5737704918032787,0.5,0.6857142857142857,0.576271186440678,0.5,0.62,0.5891891891891892,0.5,0.6329113924050633,0.4830508474576271,0.005847953216374269,0.11475409836065574,0.13725490196078433,0.1206896551724138,,15.480696442089325,0.4358974358974359,0.25,0.1252371916508539,0.0631163708086785,0.16262975778546712,0.05378151260504202,0.14479638009049775,0.05807622504537205,0.07317073170731707,0.0625,0.05708245243128964,0.040983606557377046,0.0896551724137931,0.11743772241992882,0.19801980198019803,0.15839243498817968,0.17419354838709677,0.5,0.288135593220339,0.6862745098039216,0.7954545454545454,0.5857142857142857,0.1638418079096045,0.4482758620689655,0.5098039215686274,0.6538461538461539,0.06497175141242938,0.12146892655367232,0.37209302325581395,0.37209302325581395,1.0,0.3615819209039548,0.390625,0.3937007874015748,1.0,0.45098039215686275,0.5652173913043478,0.09803921568627451,0.4,0.3137254901960784,0.3125,1.0,0.30666666666666664,0.7391304347826086,0.14666666666666667,0.36363636363636365,0.38666666666666666,0.3793103448275862,0.7711864406779662,0.3937007874015748,0.5562793352601155,0.5698030303030304,0.5516577464788731,0.05449591280653951,0.10204081632653061,0.11697247706422019,0.22935779816513763,5.515846994535519,25.753254437869813,0.23537005163511188,9.0,,18.0,7.0,1.0,4.0,5.0,1.0,2.0,,0.02857142857142857,0.04854368932038835,0.02531645569620253,0.391304347826087,0.391304347826087,0.5555555555555556,,,,0.15384615384615385,,1.0,1.0,1.0,0.0078125,1.0,,,,,True,,,,
1630198,1610612760,Isaiah Joe,Isaiah Joe,1630198,OKC,32316.0,539,188,1117,1115,289,384,134,2232,12.0,17.0,1.0,1.0,3.0,3.0,3.0,11.0,9.0,15.0,32.0,2.0,4.0,4.0,11.0,52.0,131.0,4.0,13.0,13.0,32.0,19.0,37,67.0,163.0,17.0,256,1180,2.0,2.0,6.0,17.0,23.0,5.0,9,17.0,43.0,7.0,68.0,18.0,20.0,171.0,30.0,131.0,52.0,3.0,3.0,18.0,23.0,41.0,13.0,10.0,12.0,6.0,105.0,10.0,7.0,33.0,17.0,3.0,53.0,17,70,11.0,3.0,8.0,13.0,1.0,8.0,4.0,1.0,5.0,17.0,1.0,4.0,15.0,29.0,,35.0,1.0,3.0,5.0,21.0,2.0,7.0,1.0,2.0,,,2.0,2.0,,,68.0,289,3.0,1.0,0.47368421052631576,0.5,0.8507462686567164,0.4110429447852761,0.35294117647058826,0.3953488372093023,0.4110429447852761,0.5135135135135135,1.0,0.5555555555555556,0.5975,0.5789473684210527,0.5865384615384616,0.6129807692307693,0.575,0.6090909090909091,0.815,0.018404907975460124,0.08108108108108109,0.058823529411764705,0.18181818181818182,0.03125,17.68867924528302,0.7647058823529411,0.10344827586206896,0.07142857142857142,0.029787234042553193,0.1134020618556701,0.033444816053511704,0.0945179584120983,0.031835205992509365,0.011494252873563218,0.050505050505050504,0.03404255319148936,0.03125,0.07352941176470588,0.06923076923076923,0.075,0.11926605504587157,0.0958904109589041,,0.085,0.7058823529411765,0.75,0.4166666666666667,0.055,0.2727272727272727,0.3333333333333333,0.6666666666666666,0.045,0.16,0.46875,0.4838709677419355,0.8666666666666667,0.655,0.3969465648854962,0.40310077519379844,0.8461538461538461,0.05263157894736842,1.0,0.21052631578947367,0.5,0.6842105263157895,0.3076923076923077,1.0,0.057692307692307696,1.0,0.21153846153846154,0.36363636363636365,0.6153846153846154,0.40625,0.9,0.3969465648854962,0.5511216080402009,0.50715,0.5290798076923078,0.043478260869565216,0.16666666666666666,0.08984375,0.265625,7.575675675675676,25.957055214723926,0.25872873769024174,4.0,1.0,2.0,,,,2.0,,,,,0.02040816326530612,,0.4444444444444444,0.4444444444444444,0.5,1.0,2.0,,,0.012121212121212121,,,,0.015267175572519083,0.5,,,,,True,,,,
1631114,1610612760,Jalen Williams,Jalen Williams,1631114,OKC,22374.0,373,-48,760,767,107,153,73,1527,27.0,42.0,,1.0,3.0,5.0,27.0,59.0,46.0,1.0,3.0,,,,1.0,22.0,56.0,1.0,3.0,6.0,11.0,75.0,147,23.0,59.0,47.0,266,887,2.0,6.0,1.0,3.0,7.0,12.0,18,6.0,12.0,5.0,47.0,38.0,112.0,45.0,24.0,56.0,22.0,9.0,,29.0,36.0,65.0,25.0,11.0,21.0,5.0,166.0,2.0,2.0,21.0,13.0,2.0,36.0,5,41,15.0,10.0,5.0,17.0,3.0,8.0,11.0,4.0,9.0,28.0,3.0,2.0,10.0,29.0,1.0,46.0,2.0,,4.0,58.0,3.0,30.0,,8.0,5.0,1.0,2.0,8.0,5.0,2.0,47.0,107,5.0,,0.25333333333333335,0.25333333333333335,0.6521739130434783,0.3898305084745763,0.3333333333333333,0.5,0.3898305084745763,0.5102040816326531,0.3333333333333333,0.6666666666666666,0.5315533980582524,0.3888888888888889,0.7,0.5686695278969958,0.3888888888888889,0.734375,0.28640776699029125,,0.061224489795918366,0.14285714285714285,0.05084745762711865,,30.778301886792452,0.6071428571428571,0.125,0.07692307692307693,0.009852216748768473,0.11731843575418995,0.011560693641618497,0.09770114942528736,0.010638297872340425,,0.021052631578947368,0.014925373134328358,,0.06451612903225806,0.1111111111111111,,0.1076923076923077,0.14285714285714285,0.625,0.20388349514563106,0.6428571428571429,0.75,0.3333333333333333,0.28640776699029125,0.4576271186440678,0.48214285714285715,0.18518518518518517,0.22330097087378642,0.014563106796116505,0.3333333333333333,0.3333333333333333,1.0,0.27184466019417475,0.39285714285714285,0.39285714285714285,0.6363636363636364,0.1111111111111111,,,,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.6,0.03333333333333333,,0.36666666666666664,0.5454545454545454,0.49029126213592233,0.39285714285714285,0.5102373786407766,0.46211666666666673,0.49732999999999994,0.12875536480686695,0.1724137931034483,0.02631578947368421,0.17669172932330826,9.499999999999995,26.19152542372881,0.14078947368421052,21.0,,,3.0,1.0,,1.0,1.0,2.0,,0.1,,,0.45652173913043476,0.45652173913043476,0.23809523809523808,1.0,,,,,,,,,,,,,,True,,,,
1641717,1610612760,Cason Wallace,Cason Wallace,1641717,OKC,23746.0,396,26,814,819,171,257,109,1633,29.0,37.0,2.0,2.0,1.0,1.0,16.0,35.0,3.0,9.0,14.0,2.0,4.0,1.0,3.0,10.0,31.0,4.0,8.0,4.0,9.0,47.0,75,19.0,45.0,8.0,159,928,3.0,3.0,6.0,12.0,24.0,3.0,3,5.0,12.0,4.0,25.0,60.0,34.0,54.0,3.0,31.0,10.0,6.0,,20.0,21.0,41.0,16.0,5.0,12.0,8.0,103.0,13.0,4.0,15.0,15.0,1.0,31.0,17,48,26.0,13.0,13.0,11.0,2.0,5.0,4.0,,6.0,15.0,1.0,4.0,22.0,33.0,,12.0,,1.0,2.0,11.0,1.0,4.0,2.0,6.0,1.0,,5.0,8.0,4.0,,25.0,170,3.0,2.0,0.6382978723404256,0.6382978723404256,0.9473684210526315,0.4222222222222222,0.5,0.4166666666666667,0.4222222222222222,0.6266666666666667,1.0,1.0,0.6291666666666667,0.8,0.7,0.636,0.8,0.6944444444444444,0.375,,0.08,0.05405405405405406,0.11428571428571428,,14.893617021276595,0.7333333333333333,0.041666666666666664,0.08333333333333333,0.0223463687150838,0.07936507936507936,0.05752212389380531,0.08130081300813008,0.04197530864197531,,0.023529411764705882,0.06593406593406594,0.022727272727272728,0.12244897959183673,0.029411764705882353,0.20689655172413793,0.06766917293233082,0.10714285714285714,0.5,0.30833333333333335,0.7837837837837838,0.8285714285714286,0.6896551724137931,0.2916666666666667,0.45714285714285713,0.5161290322580645,0.5,0.025,0.11666666666666667,0.6428571428571429,0.6428571428571429,1.0,0.25833333333333336,0.3225806451612903,0.3225806451612903,0.9,0.13333333333333333,1.0,0.26666666666666666,0.5,0.5333333333333333,0.5,0.75,0.06666666666666667,1.0,0.2,0.3333333333333333,0.6,0.4444444444444444,0.6833333333333333,0.3225806451612903,0.5412316666666667,0.5392388888888889,0.5197966666666667,0.032520325203252036,0.05128205128205128,0.1509433962264151,0.15723270440251572,5.501333333333334,25.08666666666667,0.21007371007371006,2.0,,,,,,,1.0,,,,0.05128205128205128,,0.6666666666666666,0.6666666666666666,1.0,,,,1.0,,,2.0,1.0,,1.0,1.0,,,,True,,,,
1629652,1610612760,Luguentz Dort,Luguentz Dort,1629652,OKC,22386.0,373,156,754,755,165,189,97,1509,11.0,21.0,4.0,5.0,2.0,5.0,6.0,11.0,3.0,5.0,15.0,1.0,1.0,1.0,2.0,32.0,67.0,4.0,10.0,4.0,14.0,20.0,35,37.0,82.0,5.0,156,812,7.0,8.0,5.0,11.0,30.0,6.0,9,5.0,16.0,,27.0,20.0,20.0,105.0,6.0,67.0,32.0,4.0,,11.0,8.0,19.0,6.0,2.0,6.0,4.0,46.0,10.0,8.0,18.0,18.0,2.0,38.0,19,57,9.0,4.0,5.0,6.0,1.0,5.0,7.0,2.0,1.0,13.0,,2.0,12.0,36.0,3.0,18.0,1.0,2.0,6.0,8.0,2.0,5.0,,5.0,1.0,,4.0,5.0,3.0,,27.0,164,5.0,,0.5,0.5882352941176471,0.9459459459459459,0.45121951219512196,0.45454545454545453,0.3125,0.45121951219512196,0.5714285714285714,0.875,0.6666666666666666,0.6452991452991453,0.7631578947368421,0.54,0.65,0.7894736842105263,0.54,0.7008547008547008,,0.11428571428571428,0.19047619047619047,,,15.411355735805328,0.46153846153846156,0.11764705882352941,0.10909090909090909,0.05,0.09424083769633508,0.05128205128205128,0.10112359550561797,0.05070422535211268,0.1,0.0273972602739726,0.05063291139240506,0.05405405405405406,0.13953488372093023,0.10843373493975904,0.07692307692307693,0.1056338028169014,0.061224489795918366,0.6,0.1794871794871795,0.5238095238095238,0.6470588235294118,0.5454545454545454,0.09401709401709402,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.02564102564102564,0.1282051282051282,0.3333333333333333,0.3333333333333333,1.0,0.5726495726495726,0.47761194029850745,0.47761194029850745,0.9375,0.2631578947368421,0.8,0.05263157894736842,1.0,0.5263157894736842,0.4,1.0,0.2,0.4,0.08,0.5,0.56,0.2857142857142857,0.8803418803418803,0.47761194029850745,0.5612371559633029,0.53005,0.529475,0.041666666666666664,0.13157894736842105,0.19230769230769232,0.17307692307692307,4.894285714285715,25.3625,0.21883289124668434,3.0,1.0,6.0,1.0,1.0,1.0,,,4.0,,0.07692307692307693,0.02702702702702703,0.018867924528301886,1.0,1.0,,,,,0.5,,,,,,1.0,,,,,True,,,,
1630598,1610612760,Aaron Wiggins,Aaron Wiggins,1630598,OKC,33122.0,552,195,1142,1131,214,331,133,2273,53.0,79.0,5.0,10.0,15.0,22.0,24.0,48.0,7.0,21.0,46.0,2.0,4.0,1.0,5.0,30.0,77.0,3.0,9.0,4.0,12.0,82.0,134,51.0,123.0,24.0,341,1223,7.0,14.0,5.0,13.0,31.0,19.0,30,5.0,17.0,7.0,60.0,86.0,78.0,144.0,9.0,77.0,30.0,9.0,2.0,17.0,22.0,39.0,19.0,3.0,10.0,4.0,100.0,12.0,9.0,35.0,34.0,3.0,72.0,21,93,18.0,11.0,7.0,19.0,2.0,13.0,8.0,3.0,6.0,27.0,,5.0,23.0,32.0,2.0,22.0,1.0,,1.0,28.0,2.0,15.0,,5.0,3.0,,2.0,5.0,2.0,,60.0,214,3.0,,0.524390243902439,0.5512820512820513,0.9411764705882353,0.4146341463414634,0.38461538461538464,0.29411764705882354,0.4146341463414634,0.6119402985074627,0.5,0.6333333333333333,0.6167315175097277,0.5370370370370371,0.5638297872340425,0.6314814814814815,0.5535714285714286,0.5882352941176471,0.4785992217898833,0.016260162601626018,0.06716417910447761,0.0759493670886076,0.0625,,22.916666666666664,0.7037037037037037,0.09375,0.13127413127413126,0.03765690376569038,0.12367491166077739,0.04225352112676056,0.12730627306273062,0.040152963671128104,0.08974358974358974,0.017094017094017096,0.039473684210526314,0.05357142857142857,0.203125,0.1111111111111111,0.09803921568627451,0.10152284263959391,0.1744186046511628,0.4,0.30739299610894943,0.6708860759493671,0.726027397260274,0.5660377358490566,0.1867704280155642,0.5,0.5333333333333333,0.5,0.027237354085603113,0.17898832684824903,0.45652173913043476,0.45652173913043476,0.9523809523809523,0.29961089494163423,0.38961038961038963,0.4,0.9333333333333333,0.37037037037037035,0.5,0.14814814814814814,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.46808510638297873,0.6818181818181818,0.10638297872340426,0.2,0.2553191489361702,0.3333333333333333,0.7859922178988327,0.38961038961038963,0.5724861867704281,0.5813681818181818,0.5905617021276597,0.05555555555555555,0.10204081632653061,0.09090909090909091,0.17595307917888564,4.424626865671641,25.177235772357722,0.18739054290718038,5.0,2.0,8.0,3.0,,6.0,,2.0,1.0,,,,0.05405405405405406,0.7142857142857143,0.7142857142857143,0.2,,,,0.2,,,,,0.025974025974025976,0.5,,,,,True,,,,
1631096,1610612760,Chet Holmgren,Chet Holmgren,1631096,OKC,6622.0,110,3,228,231,69,21,29,459,7.0,12.0,2.0,3.0,1.0,3.0,1.0,9.0,3.0,,1.0,,,,,2.0,10.0,,2.0,,4.0,8.0,24,2.0,11.0,12.0,34,259,2.0,3.0,,2.0,6.0,1.0,5,,4.0,4.0,6.0,10.0,6.0,6.0,,9.0,2.0,6.0,,4.0,2.0,6.0,,2.0,2.0,1.0,14.0,1.0,3.0,17.0,13.0,4.0,34.0,4,38,2.0,2.0,,4.0,,1.0,4.0,2.0,3.0,8.0,,3.0,5.0,10.0,3.0,9.0,,,,14.0,,6.0,1.0,5.0,3.0,,2.0,5.0,4.0,,6.0,68,,1.0,0.625,0.8333333333333334,1.0,0.18181818181818182,,,0.2,0.3333333333333333,0.6666666666666666,0.2,0.3142857142857143,0.4,0.1111111111111111,0.40476190476190477,0.5,0.2727272727272727,0.3142857142857143,,0.25,0.25,0.3333333333333333,,19.083969465648853,0.5,0.8,0.20967741935483872,0.046875,0.3148148148148148,0.022222222222222223,0.25862068965517243,0.03669724770642202,0.058823529411764705,0.058823529411764705,,0.125,0.07692307692307693,0.25806451612903225,0.2222222222222222,0.325,0.2857142857142857,0.8,0.34285714285714286,0.5833333333333334,0.7777777777777778,0.5714285714285714,0.2571428571428571,0.1111111111111111,0.16666666666666666,1.0,0.08571428571428572,0.02857142857142857,,,,0.2857142857142857,0.2,0.2,1.0,0.6,0.6666666666666666,,,0.4,,,0.3333333333333333,0.3333333333333333,,,0.4444444444444444,,0.6571428571428571,0.2222222222222222,0.5471053571428571,0.56225,0.539525,0.14634146341463414,0.2,0.17647058823529413,0.17647058823529413,7.170833333333332,30.936363636363637,0.3026315789473684,,2.0,4.0,1.0,,1.0,,,,,,,0.05555555555555555,,,,,,,,,1.0,,,,,,2.0,,,True,,,,
