EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGA,FtPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,DefThreePtRebounds,FTA,TwoPtShootingFoulsDrawn,BlockedAtRim,PenaltyFg2Pct,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SecondChanceArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2A,Corner3Assists,Steals,LostBallSteals,NonShootingPenaltyNonTakeFouls,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,FTDefRebounds,BadPassSteals,DeadBallTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,LongMidRangeAssists,SecondChanceCorner3FGA,LongMidRangePctAssisted,SecondChanceCorner3Frequency,PenaltyFtPoints,FTOffRebounds,Charge Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,BadPassOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,on,SecondChanceCorner3FGM,HeaveAttempts,Fg3aBlocked,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Transition Take Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,FG3APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Travels,Transition Take Fouls,Blocked3s,BlockedCorner3,DefensiveGoaltends,3SecondViolations,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,BlockedArc3,OffensiveGoaltends
1628988,1610612745,Aaron Holiday,Aaron Holiday,1628988,HOU,1737.0,29,-13,62,64,14.0,21.0,6.0,126,1.0,3.0,1.0,4.0,7.0,1.0,2.0,1.0,3.0,4.0,8.0,14.0,85,1.0,2.0,3.0,2.0,9.0,3.0,7.0,4.0,1.0,3.0,2.0,5.0,2.0,2.0,1.0,12.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,14.0,1.0,1.0,0.75,0.5,0.5,0.5,0.3333333333333333,0.6363636363636364,0.75,0.6363636363636364,0.75,0.7272727272727273,0.3333333333333333,0.3333333333333333,21.73913043478261,1.0,0.15384615384615385,0.06666666666666667,0.08,0.03571428571428571,0.09090909090909091,0.3333333333333333,0.25,1.0,0.2727272727272727,0.3333333333333333,0.5,1.0,0.09090909090909091,0.6363636363636364,0.5714285714285714,0.5714285714285714,0.75,1.0,0.5,0.7272727272727273,0.5714285714285714,0.5129545454545454,0.53985,0.21428571428571427,12.366666666666665,27.537499999999998,0.22580645161290322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629098,1610612745,Jack McVeigh,Jack McVeigh,1629098,HOU,901.0,15,-2,33,34,20.0,12.0,2.0,67,,,2.0,,,,,,,2.0,2.0,6.0,37,2.0,2.0,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,6.0,20.0,,,1.0,1.0,1.0,1.0,,1.5,1.5,1.5,1.5,1.0,,,5.714285714285714,,,,,,,,,,,,,,1.0,,,,,,,1.0,,0.547125,0.547125,1.0,,22.8,0.6060606060606061,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631223,1610612745,David Roddy,David Roddy,1631223,HOU,1223.0,20,1,43,45,10.0,18.0,5.0,88,3.0,5.0,1.0,1.0,3.0,,1.0,3.0,5.0,1.0,4.0,11.0,52,,1.0,4.0,2.0,3.0,,3.0,1.0,,1.0,,1.0,,1.0,,2.0,,,3.0,,3.0,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,1.0,,1.0,,4.0,10.0,0.3333333333333333,0.3333333333333333,1.0,0.25,,0.25,0.6,0.5,0.6666666666666666,0.5,0.6666666666666666,0.4444444444444444,,,24.0,1.0,,,0.15789473684210525,,,,,,0.5555555555555556,0.6,0.6,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,0.4444444444444444,0.3333333333333333,0.4751611111111111,0.4313833333333333,0.36363636363636365,8.4,26.775000000000002,0.23255813953488372,,,,,,,,,1.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,0.3,0.2222222222222222,1.0,1.0,0.18181818181818182,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642263,1610612745,Reed Sheppard,Reed Sheppard,1642263,HOU,2085.0,35,-6,76,80,23.0,27.0,4.0,156,4.0,6.0,1.0,4.0,8.0,,1.0,7.0,12.0,4.0,9.0,26.0,94,,1.0,4.0,,9.0,3.0,8.0,4.0,,5.0,2.0,7.0,,1.0,4.0,16.0,,1.0,4.0,,4.0,,5.0,4.0,1.0,5.0,2.0,2.0,3.0,,,1.0,1.0,1.0,,4.0,23.0,,,0.75,0.4444444444444444,,0.4444444444444444,0.5833333333333334,0.6190476190476191,0.4,0.6190476190476191,0.4,0.42857142857142855,,,32.098765432098766,1.0,0.041666666666666664,,0.09523809523809523,,,,,,0.2857142857142857,0.6666666666666666,0.6666666666666666,,0.047619047619047616,0.38095238095238093,0.5,0.5,0.75,0.2,,0.47619047619047616,0.5,0.48376428571428576,0.45701,0.15384615384615385,11.558333333333332,26.73333333333333,0.3026315789473684,,,,,,,,,,,,2.0,4.0,14.0,3.0,,,,0.5,0.16666666666666666,0.14285714285714285,0.25,,,,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.047619047619047616,1.0,1.0,0.23809523809523808,0.4,0.4,0.2514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642368,1610612745,N'Faly Dante,N'Faly Dante,1642368,HOU,3037.0,51,-11,110,114,36.0,42.0,10.0,224,3.0,3.0,,,,,,10.0,13.0,,,24.0,142,,,10.0,12.0,,,,,,1.0,1.0,2.0,1.0,,1.0,5.0,5.0,7.0,15.0,6.0,21.0,,1.0,1.0,,2.0,1.0,7.0,9.0,3.0,,5.0,2.0,5.0,,10.0,36.0,0.6,0.8571428571428571,,,,,0.7692307692307693,0.7692307692307693,0.7142857142857143,0.8,0.7142857142857143,,,,13.934426229508198,0.5,0.23333333333333334,0.19230769230769232,0.25925925925925924,0.13953488372093023,0.2631578947368421,0.29411764705882354,,,0.23076923076923078,1.0,1.0,0.6666666666666666,,,,,,,,0.6923076923076923,,0.5583307692307692,0.5262428571428571,0.4166666666666667,3.7153846153846155,,0.32727272727272727,,,,,,,,,,4.0,,5.0,7.0,8.0,7.0,5.0,3.0,3.0,0.7142857142857143,0.2916666666666667,0.3157894736842105,0.2,,0.2,0.2,7.0,9.0,,1.0,5.0,,1.0,,,,0.6923076923076923,0.7777777777777778,0.7777777777777778,0.07692307692307693,,,0.50545,3.0,5.0,4.0,5.0,3.0,1.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.5833333333333334,1.0,0.058823529411764705,0.07692307692307693,0.2857142857142857,0.5714285714285714,1.0,0.6,0.7142857142857143,0.8,0.2916666666666667,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630224,1610612745,Jalen Green,Jalen Green,1630224,HOU,448.0,7,-8,16,15,1.0,2.0,2.0,31,,2.0,,,3.0,,1.0,,2.0,,3.0,,18,,1.0,,,,,3.0,,1.0,1.0,2.0,3.0,2.0,,,8.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,0.6,0.5,0.5,31.57894736842105,1.0,,,,0.1,,,0.3333333333333333,,0.4,,,,,0.6,,,,1.0,,0.6,,0.48003999999999997,0.4047,,5.35,27.5,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.4292,,,,,,,,,1.0,,,,,,,,,,0.2,0.25,,,,,,,,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630256,1610612745,Jae'Sean Tate,Jae'Sean Tate,1630256,HOU,547.0,9,7,22,22,2.0,7.0,,44,,,,,,,,,,,,,26,,,,,,,,,,,1.0,1.0,1.0,,,3.0,,2.0,2.0,,2.0,,,,,,,,1.0,2.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,0.25,,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631106,1610612745,Tari Eason,Tari Eason,1631106,HOU,286.0,5,-8,10,11,,,1.0,21,,1.0,,,1.0,,,,1.0,,1.0,,15,,,,,,,1.0,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,18.181818181818183,,0.5,,0.5,,,0.5,,,0.5,,,,,0.5,,,,,,0.5,,0.505625,,,4.2,27.3,,,,,,,,,,,,,,,,1.0,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201145,1610612745,Jeff Green,Jeff Green,201145,HOU,855.0,14,-3,30,31,6.0,12.0,3.0,61,,,2.0,,,,,2.0,2.0,1.0,2.0,8.0,41,,,,2.0,3.0,,,,,1.0,1.0,2.0,1.0,,1.0,5.0,,2.0,2.0,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,6.0,0.5,0.5,1.0,0.5,,0.5,1.0,0.875,,0.8,,0.5,,,15.15151515151515,,0.25,,0.14285714285714285,,,0.3333333333333333,,,,,,,0.5,,,,,,,0.75,,0.56985,,,9.5,24.049999999999997,0.2,1.0,,,0.5,0.5,1.0,,,,1.0,1.0,,,2.0,,2.0,1.0,,,,,,,0.2,0.3333333333333333,1.0,1.0,1.0,1.0,,,1.0,,,,0.25,1.0,1.0,0.25,1.0,1.0,0.5934,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631466,1610612745,Nate Williams,Nate Williams,1631466,HOU,1895.0,32,-1,70,71,35.0,36.0,9.0,141,4.0,10.0,1.0,,1.0,,,5.0,12.0,,2.0,12.0,90,,1.0,4.0,6.0,,,1.0,,,,2.0,2.0,2.0,,,6.0,1.0,1.0,2.0,2.0,4.0,,1.0,1.0,,2.0,,4.0,5.0,2.0,,,,,,4.0,35.0,0.6,0.6,,,,,0.4166666666666667,0.35714285714285715,0.16666666666666666,0.4,0.2857142857142857,0.14285714285714285,,,20.98765432098765,0.5,0.05,0.05263157894736842,0.05555555555555555,0.03571428571428571,0.07142857142857142,,,,0.7142857142857143,0.4,0.4,0.75,0.07142857142857142,0.07142857142857142,,,,,,0.2857142857142857,,0.4441107142857143,0.44539166666666663,0.3333333333333333,5.683333333333334,25.3,0.5,,,1.0,,,,0.16666666666666666,,,2.0,,1.0,5.0,4.0,1.0,2.0,,,0.2,0.0625,0.08333333333333333,,,,,1.0,2.0,,,,,2.0,2.0,,,0.14285714285714285,0.5,0.5,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,0.16666666666666666,,,,0.16666666666666666,,,,,,,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
