EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG3M,FTOffRebounds,FTDefRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Transition Take Fouls Drawn,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,DefensiveGoaltends,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,LongMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Fg3aBlocked,Charge Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,BlockedArc3,3SecondViolations,Defensive 3 Seconds Violations,Transition Take Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips,Corner3PctBlocked,BlockedLongMidRange,on,OffensiveGoaltends
1628467,1610612742,Maxi Kleber,Maxi Kleber,1628467,DAL,15774.0,263,-15.0,537,542,168.0,163.0,45.0,1079,6.0,10.0,2.0,4.0,1.0,2.0,4.0,3.0,5.0,1.0,6.0,1.0,2.0,2.0,6.0,19.0,1.0,3.0,3.0,11.0,19.0,7.0,25.0,9.0,52.0,644,3.0,7.0,2.0,5.0,2.0,14.0,4.0,5.0,4.0,4.0,18.0,4.0,18.0,3.0,4.0,19.0,6.0,2.0,8.0,15.0,23.0,12.0,3.0,6.0,1.0,1.0,61.0,2.0,7.0,12.0,10.0,22.0,9.0,31,4.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,7.0,2.0,22.0,34.0,3.0,2.0,17.0,2.0,1.0,13.0,1.0,5.0,2.0,7.0,3.0,4.0,7.0,5.0,4.0,166.0,4.0,2.0,0.8181818181818182,1.0,0.8571428571428571,0.28,0.4,0.28,0.5789473684210527,0.42857142857142855,0.48863636363636365,0.5,0.52,0.5384615384615384,0.16666666666666666,0.5681818181818182,0.10526315789473684,0.1,0.25,9.710391822827939,0.42857142857142855,0.07874015748031496,0.056910569105691054,0.10434782608695652,0.017699115044247787,0.09090909090909091,0.038135593220338986,0.09090909090909091,0.05172413793103448,0.024096385542168676,0.11363636363636363,0.05084745762711865,0.08333333333333333,0.0975609756097561,0.12121212121212122,0.7142857142857143,0.22727272727272727,0.6,0.6666666666666666,0.6666666666666666,0.09090909090909091,0.5,0.6666666666666666,1.0,0.11363636363636363,0.6,0.6,1.0,0.13636363636363635,0.16666666666666666,0.16666666666666666,1.0,0.4318181818181818,0.3157894736842105,0.3157894736842105,0.8333333333333334,0.3333333333333333,0.5,0.16666666666666666,0.5,1.0,0.25,0.3333333333333333,1.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.7954545454545454,0.3157894736842105,0.5260772727272728,0.5191625,0.4691055555555556,0.10416666666666667,0.21739130434782608,0.2692307692307692,0.07692307692307693,7.3,25.1,0.3128491620111732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1629023,1610612742,P.J. Washington,P.J. Washington,1629023,DAL,90871.0,1515,109.0,3137,3135,669.0,631.0,383.0,6272,101.0,151.0,26.0,33.0,29.0,58.0,180.0,3.0,17.0,25.0,71.0,2.0,5.0,17.0,49.0,127.0,7.0,20.0,21.0,162.0,348.0,74.0,198.0,111.0,657.0,3564,33.0,56.0,9.0,25.0,9.0,102.0,58.0,38.0,50.0,166.0,164.0,160.0,201.0,21.0,44.0,127.0,49.0,43.0,58.0,52.0,110.0,36.0,16.0,42.0,11.0,5.0,272.0,17.0,51.0,133.0,148.0,306.0,74.0,380,55.0,39.0,16.0,59.0,3.0,26.0,29.0,2.0,88.0,20.0,60.0,114.0,5.0,6.0,126.0,6.0,10.0,150.0,17.0,70.0,12.0,49.0,34.0,15.0,50.0,27.0,164.0,659.0,7.0,10.0,0.5061728395061729,0.5857142857142857,0.9054054054054054,0.37373737373737376,0.36,0.37373737373737376,0.46551724137931033,0.5892857142857143,0.5,0.5740740740740741,0.5367647058823529,0.5795454545454546,0.6747967479674797,0.3626373626373626,0.1235632183908046,0.10596026490066225,0.14444444444444443,19.618834080717487,0.6704545454545454,0.17535545023696683,0.06472081218274112,0.18838526912181303,0.025110782865583457,0.18129032258064517,0.04641638225255973,0.08786610878661087,0.0671462829736211,0.029354207436399216,0.19614147909967847,0.15609756097560976,0.18699186991869918,0.20758483033932135,0.14146341463414633,0.54,0.2765567765567766,0.6688741721854304,0.7481481481481481,0.5544554455445545,0.32967032967032966,0.32222222222222224,0.37662337662337664,0.41379310344827586,0.031135531135531136,0.17647058823529413,0.1875,0.6666666666666666,0.13003663003663005,0.352112676056338,0.352112676056338,1.0,0.2326007326007326,0.3858267716535433,0.3858267716535433,0.8571428571428571,0.4074074074074074,0.7878787878787878,0.06172839506172839,0.4,1.0,0.24691358024691357,0.35,0.8571428571428571,0.3020833333333333,0.17708333333333334,0.21875,0.6391941391941391,0.3858267716535433,0.5390024725274726,0.5487556451612904,0.5367432291666668,0.11833333333333333,0.1745635910224439,0.1552511415525114,0.2526636225266362,5.403735632183906,24.588383838383837,0.21326107746254383,23.0,7.0,9.0,34.0,16.0,6.0,25.0,29.0,10.0,33.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,0.42105263157894735,0.5862068965517241,0.6041666666666666,0.058823529411764705,0.3787878787878788,0.07407407407407407,0.015151515151515152,0.012048192771084338,0.10902255639097744,0.23076923076923078,0.7931034482758621,0.4117647058823529,0.42857142857142855,0.005025125628140704,,,,,,,,,,,,,,True,
1629029,1610612742,Luka Dončić,Luka Dončić,1629029,DAL,24960.0,416,100.0,865,862,166.0,126.0,107.0,1727,30.0,38.0,2.0,4.0,8.0,36.0,69.0,14.0,39.0,4.0,7.0,1.0,1.0,1.0,38.0,105.0,2.0,5.0,21.0,80.0,146.0,42.0,112.0,59.0,345.0,970,4.0,10.0,3.0,6.0,7.0,24.0,25.0,22.0,13.0,65.0,38.0,122.0,60.0,66.0,2.0,104.0,38.0,5.0,48.0,36.0,84.0,28.0,8.0,36.0,8.0,4.0,204.0,4.0,4.0,39.0,44.0,86.0,9.0,95,23.0,18.0,5.0,28.0,3.0,19.0,10.0,1.0,38.0,7.0,16.0,35.0,2.0,1.0,67.0,1.0,4.0,79.0,11.0,35.0,7.0,4.0,2.0,2.0,5.0,4.0,65.0,161.0,2.0,6.0,0.2375,0.24050632911392406,0.47619047619047616,0.375,0.5,0.3783783783783784,0.547945205479452,0.4,0.5542635658914729,0.53125,0.5927835051546392,0.6,0.5803571428571429,0.43410852713178294,0.03424657534246575,0.02631578947368421,0.057971014492753624,33.2995951417004,0.7368421052631579,0.21052631578947367,0.02,0.1921182266009852,0.020833333333333332,0.20145631067961164,0.02040816326530612,0.02040816326530612,0.027777777777777776,0.013793103448275862,0.18181818181818182,0.20430107526881722,0.28205128205128205,0.1958041958041958,0.18333333333333332,0.8,0.14728682170542637,0.7894736842105263,0.8108108108108109,0.4,0.26744186046511625,0.5217391304347826,0.5538461538461539,0.1388888888888889,0.1511627906976744,0.358974358974359,0.358974358974359,0.14285714285714285,0.027131782945736434,0.5714285714285714,0.5714285714285714,0.5,0.4069767441860465,0.3619047619047619,0.36538461538461536,0.47368421052631576,0.25,0.5,0.0625,1.0,1.0,0.3125,0.4,0.5,0.1702127659574468,0.02127659574468085,0.44680851063829785,0.5813953488372093,0.36538461538461536,0.5165468503937007,0.5285249999999999,0.5057193181818181,0.13028169014084506,0.20588235294117646,0.06956521739130435,0.18840579710144928,9.626712328767121,26.990178571428572,0.19190751445086704,7.0,,8.0,14.0,8.0,1.0,3.0,3.0,3.0,9.0,1.0,2.0,,,2.0,1.0,1.0,,0.36363636363636365,0.56,0.5531914893617021,,0.17647058823529413,0.03333333333333333,,0.0425531914893617,0.023809523809523808,0.5,0.875,,0.38095238095238093,0.017543859649122806,1.0,1.0,2.0,0.008928571428571428,0.009523809523809525,,,,,,,,,True,
1629655,1610612742,Daniel Gafford,Daniel Gafford,1629655,DAL,34829.0,580,49.0,1230,1223,280.0,211.0,158.0,2453,125.0,168.0,36.0,47.0,38.0,18.0,32.0,,,,,,,,,,,,,143.0,200.0,,,58.0,344.0,1416,40.0,51.0,,,12.0,92.0,40.0,,21.0,79.0,198.0,88.0,,,58.0,,,20.0,26.0,14.0,40.0,11.0,3.0,11.0,8.0,7.0,94.0,25.0,50.0,47.0,64.0,118.0,76.0,194,12.0,5.0,7.0,17.0,3.0,7.0,18.0,,35.0,7.0,46.0,73.0,10.0,3.0,74.0,12.0,2.0,83.0,13.0,36.0,11.0,52.0,34.0,18.0,54.0,32.0,79.0,276.0,,10.0,0.6923076923076923,0.868421052631579,,,,,0.715,0.7843137254901961,0.715,0.7843137254901961,0.7350427350427351,0.8070175438596491,0.7452830188679245,,0.1,0.09523809523809523,0.125,19.145907473309606,0.4857142857142857,0.17391304347826086,0.16501650165016502,0.17669172932330826,0.10638297872340426,0.1750788643533123,0.13940520446096655,0.18691588785046728,0.18840579710144928,0.11560693641618497,0.13157894736842105,0.21686746987951808,0.16,0.19072164948453607,0.1388888888888889,0.5925925925925926,0.84,0.7440476190476191,0.8223684210526315,0.696,0.16,0.5625,0.6428571428571429,0.6666666666666666,,,,,,,,,,,,,0.9215686274509803,0.7659574468085106,,,,,,,0.95,,,0.84,,0.6313105000000001,0.6306951219512195,0.6903475000000001,0.16143497757847533,0.16143497757847533,0.26744186046511625,0.22965116279069767,2.4765,,0.22764227642276422,29.0,,,29.0,,1.0,7.0,6.0,3.0,10.0,3.0,6.0,4.0,,,2.0,,6.0,,0.725,0.725,,0.2916666666666667,0.027777777777777776,0.06896551724137931,0.08064516129032258,0.16216216216216217,0.1388888888888889,0.7631578947368421,,,,,,1.0,,,2.0,1.0,2.0,,,,,,True,
1629656,1610612742,Quentin Grimes,Quentin Grimes,1629656,DAL,31619.0,527,-25.0,1091,1091,277.0,219.0,139.0,2182,33.0,44.0,3.0,5.0,11.0,6.0,17.0,5.0,15.0,10.0,21.0,,3.0,6.0,29.0,69.0,4.0,6.0,19.0,44.0,76.0,39.0,90.0,30.0,235.0,1300,5.0,12.0,4.0,9.0,1.0,23.0,18.0,25.0,11.0,65.0,50.0,38.0,99.0,18.0,4.0,69.0,29.0,1.0,29.0,20.0,49.0,14.0,6.0,23.0,6.0,,118.0,8.0,4.0,39.0,30.0,70.0,13.0,83,16.0,7.0,9.0,18.0,4.0,14.0,14.0,1.0,32.0,7.0,16.0,43.0,1.0,1.0,36.0,1.0,3.0,37.0,7.0,15.0,5.0,3.0,1.0,2.0,3.0,2.0,62.0,271.0,1.0,3.0,0.5681818181818182,0.5952380952380952,0.8461538461538461,0.43333333333333335,0.4444444444444444,0.43333333333333335,0.5789473684210527,0.4166666666666667,0.6174698795180723,0.5238095238095238,0.6527777777777778,0.5476190476190477,0.6632653061224489,0.5421686746987951,0.013157894736842105,,0.058823529411764705,16.987179487179485,0.5625,0.10273972602739725,0.01384083044982699,0.16317991631799164,0.03404255319148936,0.12994350282485875,0.022900763358778626,0.023255813953488372,0.012903225806451613,0.028089887640449437,0.06930693069306931,0.0958904109589041,0.2,0.18181818181818182,0.1111111111111111,0.6666666666666666,0.26506024096385544,0.75,0.75,0.6363636363636364,0.10240963855421686,0.35294117647058826,0.375,0.3333333333333333,0.09036144578313253,0.3333333333333333,0.3333333333333333,0.4,0.12650602409638553,0.47619047619047616,0.47619047619047616,1.0,0.41566265060240964,0.42028985507246375,0.42028985507246375,0.7931034482758621,0.23809523809523808,0.6,0.14285714285714285,,,0.2857142857142857,0.6666666666666666,1.0,0.2558139534883721,0.13953488372093023,0.4418604651162791,0.8072289156626506,0.42028985507246375,0.5579722891566262,0.5371692307692307,0.5457348837209303,0.09714285714285714,0.17857142857142858,0.09787234042553192,0.2765957446808511,6.398684210526315,25.065555555555555,0.2538955087076077,9.0,2.0,8.0,12.0,10.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,2.0,,2.0,,,,0.4,0.6666666666666666,0.627906976744186,,0.038461538461538464,0.02702702702702703,,0.05263157894736842,0.012195121951219513,0.3333333333333333,0.8181818181818182,0.3333333333333333,0.42105263157894735,0.02197802197802198,,,,,,,,,1.0,1.0,,,,True,
202681,1610612742,Kyrie Irving,Kyrie Irving,202681,DAL,57874.0,965,143.0,2001,1986,405.0,379.0,258.0,3987,55.0,89.0,9.0,12.0,19.0,60.0,150.0,17.0,49.0,13.0,30.0,4.0,9.0,7.0,62.0,160.0,8.0,16.0,29.0,132.0,288.0,75.0,190.0,101.0,590.0,2271,13.0,18.0,12.0,25.0,8.0,70.0,59.0,36.0,33.0,121.0,88.0,176.0,141.0,84.0,8.0,160.0,62.0,17.0,85.0,50.0,135.0,38.0,12.0,58.0,26.0,1.0,320.0,16.0,20.0,44.0,42.0,89.0,36.0,125,33.0,12.0,21.0,37.0,13.0,23.0,22.0,,59.0,15.0,30.0,61.0,2.0,4.0,76.0,3.0,2.0,112.0,13.0,41.0,14.0,10.0,5.0,5.0,11.0,7.0,117.0,398.0,3.0,8.0,0.3333333333333333,0.34375,0.6266666666666667,0.39473684210526316,0.48,0.39473684210526316,0.4583333333333333,0.7222222222222222,0.5115062761506276,0.7209302325581395,0.5518234165067178,0.7340425531914894,0.5357142857142857,0.39748953974895396,0.059027777777777776,0.056179775280898875,0.07333333333333333,25.119721375707446,0.6271186440677966,0.07678244972577697,0.04,0.09799554565701558,0.035634743875278395,0.08634538152610442,0.037934668071654375,0.04666666666666667,0.038461538461538464,0.03582089552238806,0.054455445544554455,0.09157509157509157,0.08333333333333333,0.09748427672955975,0.09923664122137404,0.6363636363636364,0.18619246861924685,0.6179775280898876,0.6547619047619048,0.4,0.3138075313807531,0.4,0.4316546762589928,0.25,0.10251046025104603,0.3469387755102041,0.3541666666666667,0.4117647058823529,0.06276150627615062,0.43333333333333335,0.4482758620689655,1.0,0.33472803347280333,0.3875,0.39490445859872614,0.5483870967741935,0.27906976744186046,0.75,0.20930232558139536,0.4444444444444444,1.0,0.37209302325581395,0.5,0.625,0.2,0.07368421052631578,0.30526315789473685,0.5836820083682008,0.3875,0.5142502092050208,0.5398166666666667,0.49286894736842096,0.08284023668639054,0.12974683544303797,0.11864406779661017,0.20508474576271185,7.9614583333333355,25.74947368421053,0.20239880059970014,11.0,3.0,7.0,29.0,10.0,,3.0,13.0,3.0,14.0,1.0,6.0,,1.0,1.0,1.0,,,0.2777777777777778,0.4915254237288136,0.4631578947368421,0.02040816326530612,0.06666666666666667,,0.03333333333333333,0.03508771929824561,0.05241935483870968,0.3333333333333333,0.5789473684210527,0.42857142857142855,0.2413793103448276,0.005235602094240838,,4.0,,0.021052631578947368,0.01875,1.0,,,,,15.0,0.03333333333333333,,True,
203915,1610612742,Spencer Dinwiddie,Spencer Dinwiddie,203915,DAL,44398.0,740,62.0,1529,1535,378.0,377.0,169.0,3064,33.0,50.0,1.0,2.0,10.0,22.0,61.0,6.0,11.0,12.0,23.0,1.0,3.0,6.0,33.0,100.0,4.0,8.0,25.0,61.0,122.0,45.0,123.0,80.0,337.0,1696,1.0,5.0,5.0,11.0,1.0,18.0,28.0,31.0,18.0,71.0,26.0,96.0,84.0,51.0,2.0,100.0,33.0,9.0,66.0,60.0,126.0,31.0,29.0,42.0,21.0,3.0,312.0,2.0,5.0,35.0,35.0,71.0,7.0,78,27.0,18.0,9.0,11.0,7.0,10.0,18.0,1.0,29.0,9.0,22.0,51.0,4.0,4.0,67.0,,2.0,91.0,6.0,32.0,5.0,3.0,1.0,2.0,5.0,3.0,69.0,374.0,5.0,4.0,0.21311475409836064,0.21666666666666667,0.6222222222222222,0.36585365853658536,0.45454545454545453,0.36585365853658536,0.5,0.2,0.5244897959183673,0.53125,0.5918727915194346,0.5294117647058824,0.5220588235294118,0.5020408163265306,0.07377049180327869,0.12,0.03278688524590164,18.17122888759464,0.3793103448275862,0.08215962441314555,0.013623978201634877,0.10416666666666667,0.006042296072507553,0.09186351706036745,0.01002865329512894,,0.02072538860103627,0.004098360655737705,0.06832298136645963,0.09223300970873786,0.0847457627118644,0.09795918367346938,0.12087912087912088,0.6,0.20408163265306123,0.66,0.75,0.24242424242424243,0.24897959183673468,0.36065573770491804,0.3728813559322034,0.18181818181818182,0.044897959183673466,0.5454545454545454,0.6,0.16666666666666666,0.09387755102040816,0.5217391304347826,0.5217391304347826,0.75,0.40816326530612246,0.33,0.33,0.5757575757575758,0.125,0.5,0.1875,0.3333333333333333,,0.5,0.5,1.0,0.1694915254237288,0.1016949152542373,0.423728813559322,0.7061224489795919,0.33,0.524488775510204,0.5208375,0.48772881355932185,0.14028776978417265,0.21621621621621623,0.05341246290801187,0.21068249258160238,6.297540983606557,25.41219512195122,0.2472204054937868,5.0,3.0,8.0,10.0,11.0,,1.0,3.0,2.0,1.0,1.0,2.0,2.0,,7.0,2.0,,,0.3548387096774194,0.35714285714285715,0.4491525423728814,0.09090909090909091,0.037037037037037035,,0.019230769230769232,0.011494252873563218,0.024,,0.5,0.5,0.32,0.05384615384615385,,,,,,2.0,,,,,2.0,,,True,
1641726,1610612742,Dereck Lively II,Dereck Lively II,1641726,DAL,30794.0,513,94.0,1032,1041,165.0,168.0,143.0,2073,60.0,79.0,20.0,23.0,8.0,24.0,40.0,,,,,,,,,,,,,84.0,119.0,,,29.0,197.0,1129,25.0,29.0,,,6.0,56.0,11.0,,8.0,14.0,126.0,42.0,,,28.0,,,12.0,29.0,29.0,58.0,27.0,2.0,16.0,10.0,3.0,145.0,32.0,41.0,47.0,43.0,94.0,77.0,171,11.0,7.0,4.0,12.0,4.0,7.0,11.0,1.0,23.0,4.0,34.0,58.0,5.0,4.0,35.0,4.0,,45.0,5.0,23.0,2.0,40.0,21.0,19.0,40.0,25.0,14.0,161.0,3.0,2.0,0.75,0.9,,,,,0.7058823529411765,0.8620689655172413,0.7058823529411765,0.8620689655172413,0.7086330935251799,0.8484848484848485,0.4117647058823529,,0.10084033613445378,0.10126582278481013,0.1,13.54515050167224,0.5217391304347826,0.16475095785440613,0.15298507462686567,0.18875502008032127,0.13333333333333333,0.17647058823529413,0.1437007874015748,0.15873015873015872,0.1728395061728395,0.14054054054054055,0.13636363636363635,0.2116788321167883,0.05555555555555555,0.17714285714285713,0.21621621621621623,0.625,0.6638655462184874,0.759493670886076,0.8450704225352113,0.75,0.33613445378151263,0.6,0.6666666666666666,0.75,,,,,,,,,,,,,0.7931034482758621,0.8695652173913043,,,,,,,0.7272727272727273,,,0.6638655462184874,,0.596510924369748,0.6135478260869565,0.5742636363636364,0.1678832116788321,0.1678832116788321,0.28426395939086296,0.07106598984771574,3.221848739495799,,0.15988372093023256,3.0,,,3.0,,4.0,4.0,6.0,,5.0,2.0,8.0,,,,,,4.0,,0.2727272727272727,0.2727272727272727,,0.19047619047619047,0.16666666666666666,0.06976744186046512,0.10909090909090909,0.2608695652173913,0.35,0.375,,,,,,,,,,,4.0,,,,,,True,
202691,1610612742,Klay Thompson,Klay Thompson,202691,DAL,51259.0,854,101.0,1767,1764,231.0,261.0,227.0,3531,18.0,26.0,2.0,4.0,2.0,17.0,46.0,22.0,55.0,23.0,65.0,2.0,12.0,8.0,77.0,179.0,12.0,21.0,25.0,57.0,127.0,100.0,244.0,29.0,443.0,1995,6.0,13.0,14.0,33.0,2.0,56.0,8.0,33.0,8.0,74.0,80.0,34.0,285.0,15.0,2.0,179.0,77.0,6.0,47.0,23.0,70.0,14.0,9.0,33.0,12.0,2.0,163.0,8.0,13.0,34.0,42.0,81.0,21.0,102,31.0,22.0,9.0,22.0,5.0,20.0,20.0,1.0,42.0,4.0,19.0,32.0,1.0,1.0,18.0,1.0,,31.0,4.0,12.0,3.0,18.0,5.0,12.0,18.0,11.0,74.0,229.0,2.0,3.0,0.7017543859649122,0.7142857142857143,0.95,0.4098360655737705,0.42424242424242425,0.4098360655737705,0.44881889763779526,0.46153846153846156,0.5579514824797843,0.5869565217391305,0.5757180156657964,0.5957446808510638,0.8222222222222222,0.6576819407008087,0.047244094488188976,0.038461538461538464,0.08695652173913043,20.977295162882527,0.5238095238095238,0.0880503144654088,0.029748283752860413,0.08395061728395062,0.018912529550827423,0.08616780045351474,0.02441860465116279,0.056,0.017241379310344827,0.012269938650306749,0.08571428571428572,0.06808510638297872,0.16417910447761194,0.07473309608540925,0.10483870967741936,0.6111111111111112,0.07008086253369272,0.6923076923076923,0.72,0.7777777777777778,0.12398921832884097,0.3695652173913043,0.40476190476190477,0.6470588235294118,0.14824797843665768,0.4,0.4074074074074074,0.6818181818181818,0.1752021563342318,0.35384615384615387,0.35384615384615387,1.0,0.48247978436657685,0.4301675977653631,0.43258426966292135,0.935064935064935,0.08695652173913043,0.5,0.2608695652173913,0.16666666666666666,1.0,0.45652173913043476,0.5714285714285714,0.9166666666666666,0.04878048780487805,0.1951219512195122,0.6097560975609756,0.7277628032345014,0.4301675977653631,0.5330237196765498,0.5160277777777778,0.5220439024390244,0.034210526315789476,0.08888888888888889,0.12641083521444696,0.1670428893905192,11.644881889763782,25.03524590163934,0.1307300509337861,2.0,2.0,16.0,6.0,18.0,,5.0,6.0,4.0,2.0,5.0,5.0,2.0,,1.0,,,,0.5454545454545454,0.75,0.8048780487804879,0.01818181818181818,0.12195121951219512,,0.025,0.041237113402061855,0.028985507246376812,0.5,1.0,0.25,0.64,0.004081632653061225,,1.0,,0.004098360655737705,0.00558659217877095,,1.0,,,,2.0,,1.0,True,
203939,1610612742,Dwight Powell,Dwight Powell,203939,DAL,3353.0,56,,119,120,27.0,33.0,17.0,239,2.0,3.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,3.0,4.0,,,3.0,9.0,119,1.0,1.0,,,1.0,3.0,,,2.0,2.0,4.0,2.0,,,2.0,,,,3.0,1.0,4.0,1.0,,,2.0,1.0,9.0,2.0,5.0,4.0,6.0,10.0,7.0,17,3.0,2.0,1.0,,,,1.0,,1.0,1.0,7.0,10.0,,1.0,7.0,3.0,1.0,4.0,,1.0,1.0,5.0,2.0,3.0,5.0,4.0,2.0,27.0,,1.0,0.6666666666666666,1.0,,,,,0.75,1.0,0.75,1.0,0.75,0.75,1.0,,,,,5.10948905109489,,0.15,0.13157894736842105,0.17391304347826086,0.07407407407407407,0.15873015873015872,0.1076923076923077,0.1,0.18181818181818182,0.05,0.11764705882352941,0.26666666666666666,,0.1875,0.14285714285714285,0.8,0.75,0.6666666666666666,0.6666666666666666,0.5,0.25,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,0.75,,0.5456,0.629,,0.2,0.2,0.3333333333333333,0.2222222222222222,2.35,,0.226890756302521,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,True,
