EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsUnassisted3s,Fg3aBlocked,Charge Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,DefensiveGoaltends,LongMidRangePctBlocked,Corner3PctBlocked,Transition Take Fouls Drawn,Transition Take Fouls,on,Clear Path Fouls,OffensiveGoaltends
1629628,1610612761,RJ Barrett,RJ Barrett,1629628,TOR,57056.0,951,-120.0,2003,2006,331.0,393.0,225.0,4009,121.0,206.0,10.0,18.0,18.0,30.0,60.0,133.0,5.0,8.0,124.0,24.0,186.0,347.0,162.0,96.0,633.0,2377,12.0,21.0,5.0,59.0,34.0,60.0,26.0,22.0,108.0,166.0,206.0,8.0,2.0,122.0,49.0,116.0,54.0,170.0,36.0,18.0,81.0,27.0,8.0,394.0,14.0,19.0,2.0,85.0,57.0,15.0,157.0,35.0,192.0,8.0,32.0,19.0,13.0,53.0,13.0,38.0,26.0,5.0,15.0,4.0,79.0,3.0,7.0,45.0,67.0,2.0,1.0,109.0,1.0,2.0,4.0,141.0,14.0,72.0,5.0,8.0,5.0,,3.0,9.0,6.0,,,107.0,327.0,3.0,4.0,0.44623655913978494,0.45604395604395603,0.5360230547550432,0.5714285714285714,0.5666666666666667,0.5275049115913556,0.6585365853658537,0.5,0.5533216783216783,0.6413043478260869,0.5346534653465347,0.3182711198428291,0.14121037463976946,0.1553398058252427,0.12781954887218044,28.792569659442727,0.6708860759493671,0.28846153846153844,0.04,0.1366906474820144,0.03598484848484849,0.17634854771784234,0.036939313984168866,0.15795328142380421,0.03638368246968027,0.04081632653061224,0.035555555555555556,0.017241379310344827,0.03636363636363636,0.038461538461538464,0.06918238993710692,0.1657754010695187,0.2112676056338028,0.1737891737891738,0.183206106870229,0.037914691943127965,0.6666666666666666,0.40471512770137524,0.587378640776699,0.6954022988505747,0.5702479338842975,0.26129666011787817,0.45112781954887216,0.5172413793103449,0.21666666666666667,0.015717092337917484,0.625,0.625,0.2,0.24361493123772102,0.43902439024390244,0.5555555555555556,0.3,0.3488372093023256,0.6,0.27906976744186046,0.7229862475442044,0.5693936883629194,0.6160108695652174,0.5428523809523809,0.12874779541446207,0.17777777777777778,0.09320695102685624,0.17061611374407584,4.234293948126802,25.71481481481481,0.16525212181727408,17.0,38.0,3.0,6.0,1.0,2.0,38.0,7.0,14.0,5.0,55.0,10.0,20.0,6.0,147.0,38.0,2.0,1.0,,0.8909090909090909,0.3395061728395062,0.5,0.23076923076923078,0.34375,0.07465618860510806,0.4473684210526316,0.4473684210526316,0.8823529411764706,0.3064516129032258,0.3114754098360656,0.8947368421052632,0.14634146341463414,0.5,0.3333333333333333,0.34146341463414637,0.5,0.7142857142857143,0.023255813953488372,0.5,0.20833333333333334,0.3114754098360656,18.0,2.0,1.0,1.0,1.0,1.0,0.012345679012345678,0.016129032258064516,0.006172839506172839,,,,,,,True,,
1641711,1610612761,Gradey Dick,Gradey Dick,1641711,TOR,95245.0,1587,-210.0,3291,3298,600.0,767.0,393.0,6589,83.0,158.0,12.0,22.0,12.0,21.0,43.0,104.0,25.0,59.0,238.0,48.0,151.0,321.0,326.0,133.0,777.0,3899,20.0,38.0,16.0,95.0,21.0,46.0,69.0,38.0,134.0,240.0,62.0,10.0,1.0,237.0,33.0,58.0,40.0,98.0,27.0,13.0,44.0,14.0,,236.0,18.0,23.0,3.0,85.0,60.0,4.0,149.0,44.0,193.0,10.0,48.0,30.0,18.0,61.0,5.0,33.0,22.0,4.0,28.0,1.0,83.0,9.0,17.0,58.0,120.0,2.0,3.0,127.0,6.0,4.0,10.0,155.0,5.0,58.0,13.0,9.0,4.0,,5.0,10.0,6.0,,,132.0,595.0,17.0,9.0,0.7947019867549668,0.821917808219178,0.470404984423676,0.5263157894736842,0.45652173913043476,0.49768160741885625,0.5984848484848485,0.41739130434782606,0.5376044568245125,0.6266666666666667,0.49264705882352944,0.5038639876352395,0.102803738317757,0.10759493670886076,0.11538461538461539,21.335113484646193,0.7349397590361446,0.041666666666666664,0.039473684210526314,0.08379888268156424,0.026558891454965358,0.1093951093951094,0.026865671641791045,0.0971198928332217,0.026692708333333332,0.023376623376623377,0.029490616621983913,0.027777777777777776,0.030364372469635626,0.017045454545454544,0.10144927536231885,0.050156739811912224,0.1322314049586777,0.11545293072824156,0.09345794392523364,0.029154518950437316,0.6,0.24420401854714066,0.5253164556962026,0.5886524822695035,0.8433734939759037,0.160741885625966,0.41346153846153844,0.4673913043478261,0.7441860465116279,0.09119010819165378,0.423728813559322,0.45454545454545453,0.72,0.3678516228748068,0.3333333333333333,0.5454545454545454,0.4166666666666667,0.1826086956521739,0.5714285714285714,0.41739130434782606,0.7480680061823802,0.5533270123839006,0.5638090909090908,0.5223574561403508,0.08936170212765958,0.15508021390374332,0.12226512226512226,0.17245817245817247,6.7725856697819315,25.653987730061335,0.18231540565177756,30.0,88.0,4.0,7.0,6.0,21.0,84.0,9.0,21.0,12.0,114.0,13.0,28.0,18.0,324.0,84.0,5.0,1.0,1.0,0.9473684210526315,0.3496932515337423,0.4642857142857143,0.2608695652173913,0.3507692307692308,0.13601236476043277,0.3409090909090909,0.3488372093023256,1.0,0.35294117647058826,0.35443037974683544,0.9285714285714286,0.10606060606060606,0.5714285714285714,1.0,0.3181818181818182,0.42857142857142855,1.0,0.1826086956521739,0.2857142857142857,0.25,0.35443037974683544,18.0,3.0,4.0,,5.0,,0.009202453987730062,0.004201680672268907,0.015105740181268883,5.0,1.0,0.06779661016949153,0.022727272727272728,,,True,,
1630193,1610612761,Immanuel Quickley,Immanuel Quickley,1630193,TOR,23009.0,383,-54.0,783,789,126.0,141.0,84.0,1572,16.0,31.0,,,3.0,4.0,19.0,44.0,6.0,11.0,78.0,11.0,41.0,86.0,87.0,38.0,222.0,925,5.0,7.0,2.0,30.0,7.0,15.0,12.0,12.0,35.0,40.0,42.0,,2.0,76.0,12.0,48.0,28.0,76.0,16.0,12.0,27.0,19.0,2.0,180.0,3.0,,,22.0,10.0,3.0,35.0,3.0,38.0,,7.0,5.0,2.0,15.0,,11.0,6.0,3.0,4.0,1.0,21.0,2.0,4.0,11.0,29.0,2.0,1.0,37.0,,3.0,2.0,43.0,5.0,19.0,4.0,1.0,1.0,,,1.0,1.0,,,35.0,123.0,1.0,4.0,0.4878048780487805,0.4878048780487805,0.47674418604651164,0.7142857142857143,0.4666666666666667,0.5317919075144508,0.7777777777777778,0.42592592592592593,0.5759162303664922,0.7894736842105263,0.5151515151515151,0.5028901734104047,0.13953488372093023,0.16129032258064516,0.1590909090909091,24.200913242009133,0.7142857142857143,0.3333333333333333,,0.06535947712418301,,0.1134020618556701,0.019230769230769232,0.09221902017291066,0.008264462809917356,,,,0.008130081300813009,0.06060606060606061,0.017857142857142856,0.1038961038961039,0.05,0.11428571428571428,0.1111111111111111,,1.0,0.1791907514450867,0.5161290322580645,0.6153846153846154,0.625,0.2543352601156069,0.4318181818181818,0.5135135135135135,0.42105263157894735,0.06358381502890173,0.5454545454545454,0.5454545454545454,0.3333333333333333,0.4508670520231214,,,,0.14814814814814814,0.75,0.4074074074074074,0.6820809248554913,0.5271476608187133,0.47968500000000003,0.4881076923076923,0.10160427807486631,0.19,0.13513513513513514,0.15765765765765766,7.402325581395351,26.932183908045975,0.16091954022988506,2.0,9.0,1.0,2.0,,1.0,32.0,5.0,9.0,3.0,34.0,6.0,11.0,3.0,69.0,32.0,1.0,,,0.6764705882352942,0.39080459770114945,0.5454545454545454,0.25,0.4,0.05202312138728324,0.2222222222222222,0.2222222222222222,0.5,0.41025641025641024,0.4155844155844156,0.6875,0.1111111111111111,0.5,,0.5,0.5555555555555556,1.0,0.037037037037037035,,0.2727272727272727,0.42105263157894735,33.0,1.0,,,,,0.011494252873563218,0.01282051282051282,,2.0,,,,,,True,,
1630534,1610612761,Ochai Agbaji,Ochai Agbaji,1630534,TOR,53393.0,890,-79.0,1856,1855,331.0,428.0,219.0,3711,79.0,123.0,13.0,23.0,14.0,23.0,9.0,29.0,3.0,6.0,54.0,5.0,91.0,158.0,126.0,20.0,349.0,2130,13.0,23.0,,53.0,19.0,35.0,14.0,4.0,57.0,144.0,38.0,14.0,,54.0,18.0,31.0,23.0,54.0,13.0,10.0,21.0,6.0,4.0,131.0,14.0,17.0,2.0,47.0,41.0,7.0,95.0,33.0,128.0,5.0,29.0,21.0,8.0,15.0,2.0,9.0,11.0,3.0,6.0,3.0,26.0,3.0,2.0,40.0,68.0,5.0,3.0,29.0,,1.0,,30.0,4.0,16.0,1.0,16.0,12.0,,4.0,16.0,7.0,,,57.0,330.0,7.0,1.0,0.7912087912087912,0.8571428571428571,0.5759493670886076,0.5652173913043478,0.5428571428571428,0.579225352112676,0.7361111111111112,0.5408163265306123,0.5875420875420876,0.7361111111111112,0.5480769230769231,0.44366197183098594,0.11392405063291139,0.12195121951219512,0.10344827586206896,15.373631603998096,0.5769230769230769,0.14285714285714285,0.047619047619047616,0.0985576923076923,0.035196687370600416,0.1006423982869379,0.03664921465968586,0.09966024915062288,0.035838150289017344,0.03686635944700461,0.02512562814070352,0.05970149253731343,0.02973977695167286,0.05309734513274336,0.11728395061728394,0.07526881720430108,0.11764705882352941,0.09037900874635568,0.12903225806451613,0.04032258064516129,0.4375,0.43309859154929575,0.6422764227642277,0.7314814814814815,0.7848101265822784,0.10211267605633803,0.3103448275862069,0.34615384615384615,0.8888888888888888,0.02112676056338028,0.5,0.5,0.6666666666666666,0.19014084507042253,0.6388888888888888,0.5652173913043478,0.38461538461538464,0.46938775510204084,0.6086956521739131,0.10204081632653061,0.8767605633802817,0.6100931338028168,0.6335391304347826,0.6027163265306122,0.05405405405405406,0.09411764705882353,0.1518624641833811,0.16332378223495703,3.3943037974683548,24.423809523809524,0.1783405172413793,34.0,72.0,7.0,8.0,4.0,9.0,15.0,2.0,5.0,1.0,49.0,9.0,13.0,5.0,144.0,15.0,,,,0.9795918367346939,0.3888888888888889,0.6923076923076923,0.35714285714285715,0.3888888888888889,0.2535211267605634,0.4722222222222222,0.4722222222222222,1.0,0.2777777777777778,0.2830188679245283,0.9333333333333333,0.2222222222222222,0.875,1.0,0.1388888888888889,0.4,1.0,0.1836734693877551,0.4444444444444444,0.2,0.2777777777777778,3.0,1.0,,,,,0.007936507936507936,0.018518518518518517,,,,,,1.0,,True,,
1630558,1610612761,Davion Mitchell,Davion Mitchell,1630558,TOR,37011.0,617,-31.0,1278,1280,251.0,297.0,167.0,2558,24.0,44.0,1.0,2.0,5.0,8.0,9.0,21.0,2.0,8.0,48.0,12.0,35.0,73.0,59.0,12.0,145.0,1497,3.0,6.0,,9.0,7.0,11.0,13.0,5.0,34.0,22.0,48.0,,1.0,47.0,9.0,75.0,44.0,119.0,27.0,17.0,42.0,29.0,4.0,282.0,6.0,4.0,,26.0,13.0,1.0,40.0,10.0,50.0,1.0,15.0,7.0,8.0,30.0,7.0,24.0,14.0,1.0,6.0,,44.0,4.0,7.0,26.0,70.0,1.0,3.0,36.0,5.0,,14.0,18.0,4.0,9.0,2.0,4.0,2.0,,2.0,5.0,2.0,,,34.0,249.0,10.0,2.0,0.3142857142857143,0.3142857142857143,0.4794520547945205,0.5,0.6363636363636364,0.5037878787878788,0.34615384615384615,0.6041666666666666,0.5215827338129496,0.34615384615384615,0.6296296296296297,0.44696969696969696,0.1232876712328767,0.13636363636363635,0.14285714285714285,12.491467576791809,0.6818181818181818,0.021739130434782608,,0.045454545454545456,0.012195121951219513,0.08333333333333333,0.022813688212927757,0.06521739130434782,0.01692047377326565,0.006211180124223602,0.015503875968992248,0.02631578947368421,0.02631578947368421,0.0136986301369863,0.06306306306306306,0.03968253968253968,0.02040816326530612,0.09170305676855896,0.060240963855421686,0.015384615384615385,0.4,0.3333333333333333,0.5454545454545454,0.631578947368421,0.25,0.1590909090909091,0.42857142857142855,0.5,0.4444444444444444,0.06060606060606061,0.25,0.25,0.5,0.36363636363636365,0.15384615384615385,0.5,,0.3333333333333333,0.625,0.5,0.7803030303030303,0.5697561068702292,0.48212727272727274,0.589213043478261,0.06569343065693431,0.11538461538461539,0.06206896551724138,0.23448275862068965,5.204109589041095,25.694915254237287,0.19640062597809077,2.0,11.0,,3.0,,1.0,19.0,1.0,4.0,5.0,21.0,1.0,7.0,5.0,51.0,19.0,,1.0,,0.8095238095238095,0.3559322033898305,0.14285714285714285,0.38461538461538464,0.3620689655172414,0.08333333333333333,0.18181818181818182,0.18181818181818182,1.0,0.3958333333333333,0.3958333333333333,0.7894736842105263,0.23076923076923078,,,0.3076923076923077,0.25,,0.041666666666666664,,0.4166666666666667,0.40425531914893614,12.0,,1.0,,,1.0,,,,,,,,,,True,,
1642266,1610612761,Ja'Kobe Walter,Ja'Kobe Walter,1642266,TOR,13920.0,232,-70.0,477,482,71.0,162.0,60.0,959,14.0,24.0,1.0,6.0,2.0,2.0,8.0,13.0,4.0,10.0,23.0,3.0,26.0,47.0,36.0,10.0,104.0,599,3.0,8.0,2.0,14.0,4.0,6.0,5.0,6.0,20.0,40.0,12.0,,,23.0,7.0,8.0,5.0,13.0,3.0,2.0,5.0,3.0,,31.0,5.0,4.0,,5.0,8.0,1.0,14.0,9.0,23.0,3.0,8.0,5.0,3.0,4.0,,3.0,6.0,,1.0,2.0,10.0,1.0,3.0,21.0,31.0,2.0,1.0,10.0,1.0,,,13.0,2.0,6.0,1.0,2.0,1.0,,1.0,2.0,1.0,,,20.0,71.0,2.0,1.0,0.7692307692307693,0.7692307692307693,0.5531914893617021,0.375,0.6666666666666666,0.5662650602409639,0.5,0.6363636363636364,0.5909090909090909,0.5384615384615384,0.7142857142857143,0.43373493975903615,0.14893617021276595,0.25,0.07692307692307693,17.65765765765766,0.4,0.045454545454545456,,0.08080808080808081,0.031007751937984496,0.056179775280898875,0.0423728813559322,0.06914893617021277,0.03643724696356275,0.029850746268656716,0.045454545454545456,,0.03296703296703297,0.07407407407407407,0.10526315789473684,0.0625,0.07692307692307693,0.06451612903225806,0.037037037037037035,0.08571428571428572,0.5,0.2891566265060241,0.5833333333333334,0.7777777777777778,0.9285714285714286,0.1566265060240964,0.6153846153846154,0.6666666666666666,0.75,0.12048192771084337,0.4,0.4,0.25,0.27710843373493976,0.5,0.16666666666666666,1.0,0.18181818181818182,1.0,0.2727272727272727,0.7228915662650602,0.5609337349397588,0.5597625,0.5536500000000001,0.08045977011494253,0.11764705882352941,0.1346153846153846,0.19230769230769232,6.968085106382978,25.144444444444446,0.1488469601677149,6.0,13.0,1.0,2.0,1.0,2.0,8.0,1.0,2.0,1.0,14.0,2.0,4.0,2.0,39.0,8.0,2.0,,,0.9285714285714286,0.3888888888888889,0.5,0.4,0.3888888888888889,0.1566265060240964,0.46153846153846156,0.46153846153846156,1.0,0.34782608695652173,0.36363636363636365,0.875,0.16666666666666666,0.5,1.0,0.16666666666666666,0.5,1.0,0.18181818181818182,0.5,0.3333333333333333,0.34782608695652173,3.0,1.0,,1.0,1.0,,0.027777777777777776,0.043478260869565216,0.027777777777777776,,,,,,,True,,
1642347,1610612761,Jamal Shead,Jamal Shead,1642347,TOR,23292.0,388,-102.0,789,791,165.0,242.0,95.0,1580,14.0,26.0,1.0,1.0,1.0,4.0,17.0,38.0,2.0,5.0,50.0,10.0,33.0,69.0,57.0,7.0,127.0,967,1.0,3.0,,11.0,6.0,14.0,11.0,1.0,25.0,30.0,36.0,2.0,2.0,48.0,6.0,52.0,45.0,97.0,30.0,15.0,35.0,11.0,6.0,239.0,2.0,4.0,,11.0,10.0,1.0,22.0,6.0,28.0,1.0,11.0,7.0,4.0,16.0,9.0,15.0,13.0,1.0,1.0,1.0,29.0,2.0,6.0,22.0,44.0,1.0,1.0,26.0,3.0,,8.0,13.0,3.0,7.0,1.0,3.0,1.0,,2.0,4.0,1.0,,,25.0,165.0,4.0,1.0,0.45454545454545453,0.46875,0.4782608695652174,0.3333333333333333,0.42857142857142855,0.47619047619047616,0.5,0.48,0.4847328244274809,0.5,0.4807692307692308,0.4523809523809524,0.08695652173913043,0.11538461538461539,0.07894736842105263,17.738359201773836,0.5517241379310345,0.037037037037037035,,0.05319148936170213,0.01904761904761905,0.0658682634730539,0.0125,0.059154929577464786,0.016216216216216217,,0.021505376344086023,0.06451612903225806,0.01680672268907563,,0.0821917808219178,0.025974025974025976,0.05263157894736842,0.05737704918032787,0.08888888888888889,0.015151515151515152,0.25,0.20634920634920634,0.5384615384615384,0.6086956521739131,0.5,0.30158730158730157,0.4473684210526316,0.4857142857142857,0.4117647058823529,0.03968253968253968,0.4,0.4,0.5,0.3968253968253968,0.09090909090909091,1.0,,0.16,0.25,0.4,0.6587301587301587,0.5200076612903225,0.5202666666666667,0.5014369565217391,0.05384615384615385,0.0958904109589041,0.08661417322834646,0.1968503937007874,6.9101449275362326,27.052631578947363,0.20912547528517111,3.0,7.0,,1.0,1.0,1.0,15.0,3.0,7.0,3.0,18.0,3.0,8.0,4.0,51.0,15.0,,1.0,,0.9444444444444444,0.3157894736842105,0.375,0.36363636363636365,0.32727272727272727,0.05555555555555555,0.42857142857142855,0.42857142857142855,1.0,0.3,0.3,0.9333333333333333,0.09090909090909091,,,0.6363636363636364,0.42857142857142855,1.0,0.04,1.0,0.3,0.3125,3.0,,,,,1.0,,,,,,,,,,True,,
1630567,1610612761,Scottie Barnes,Scottie Barnes,1630567,TOR,48456.0,808,-138.0,1672,1683,276.0,390.0,175.0,3355,58.0,87.0,5.0,11.0,2.0,5.0,52.0,116.0,18.0,48.0,91.0,18.0,128.0,251.0,106.0,78.0,418.0,1979,9.0,21.0,7.0,25.0,12.0,40.0,21.0,29.0,74.0,116.0,140.0,4.0,2.0,89.0,13.0,93.0,46.0,139.0,33.0,13.0,72.0,19.0,2.0,324.0,13.0,14.0,1.0,79.0,59.0,11.0,149.0,28.0,177.0,11.0,31.0,18.0,13.0,43.0,8.0,34.0,24.0,5.0,9.0,2.0,67.0,1.0,10.0,23.0,50.0,1.0,8.0,84.0,,9.0,3.0,96.0,8.0,43.0,9.0,27.0,19.0,,8.0,30.0,18.0,,1.0,74.0,272.0,5.0,7.0,0.453125,0.4603174603174603,0.5099601593625498,0.42857142857142855,0.3,0.47619047619047616,0.34615384615384615,0.36885245901639346,0.5199501246882793,0.4166666666666667,0.46835443037974683,0.2969187675070028,0.05179282868525897,0.06896551724137931,0.0603448275862069,24.76089266737513,0.6417910447761194,0.22,0.02857142857142857,0.16619718309859155,0.03317535545023697,0.20572916666666666,0.037463976945244955,0.18673883626522328,0.035110533159947985,0.017142857142857144,0.04736842105263158,0.03508771929824561,0.04868913857677903,,0.14814814814814814,0.15853658536585366,0.23214285714285715,0.1897810218978102,0.24545454545454545,0.06043956043956044,0.6,0.24369747899159663,0.6666666666666666,0.7160493827160493,0.603448275862069,0.32492997198879553,0.4482758620689655,0.47706422018348627,0.3076923076923077,0.13445378151260504,0.375,0.375,0.3888888888888889,0.2549019607843137,0.4230769230769231,0.45454545454545453,0.2,0.08196721311475409,0.4,0.29508196721311475,0.5406162464985994,0.5270501408450704,0.5240916666666666,0.4571983050847459,0.1096938775510204,0.15034965034965034,0.05980861244019139,0.17703349282296652,7.614342629482071,26.393396226415092,0.16507177033492823,8.0,15.0,,,3.0,3.0,20.0,,5.0,4.0,28.0,,5.0,7.0,57.0,20.0,,3.0,3.0,0.6785714285714286,0.2641509433962264,,0.3333333333333333,0.2692307692307692,0.04201680672268908,0.5333333333333333,0.5714285714285714,0.875,0.21978021978021978,0.2222222222222222,0.6,,,,0.19230769230769232,,,0.04918032786885246,1.0,0.2222222222222222,0.2247191011235955,27.0,2.0,,,,,0.018867924528301886,0.01098901098901099,,2.0,1.0,,0.06666666666666667,,,True,,
1642419,1610612761,Jamison Battle,Jamison Battle,1642419,TOR,5571.0,93,-43.0,193,191,52.0,60.0,26.0,384,2.0,4.0,,,1.0,1.0,1.0,3.0,,,11.0,1.0,3.0,7.0,18.0,,36.0,246,,,,,1.0,2.0,3.0,,11.0,6.0,,,,11.0,3.0,5.0,4.0,9.0,3.0,1.0,4.0,1.0,,22.0,4.0,,,4.0,7.0,2.0,13.0,4.0,17.0,,1.0,1.0,,1.0,,1.0,1.0,,,,2.0,1.0,,5.0,9.0,,,,,,,,,,,,,,,,,,,11.0,51.0,2.0,,1.0,1.0,0.42857142857142855,,0.5,0.72,,1.1,0.72,,1.1,0.72,0.42857142857142855,0.5,0.3333333333333333,12.32876712328767,0.5,0.2222222222222222,,0.175,,0.09090909090909091,0.08163265306122448,0.13095238095238096,0.04081632653061224,,,,0.0975609756097561,,0.14285714285714285,0.17647058823529413,0.2222222222222222,0.08333333333333333,0.125,,,0.16,0.5,1.0,1.0,0.12,0.3333333333333333,0.5,1.0,,,,,0.44,,,,0.2,1.0,0.2,0.88,0.541392,,0.55076,,,,0.3055555555555556,3.6285714285714286,25.005555555555556,0.2694300518134715,3.0,7.0,,1.0,2.0,2.0,7.0,,,1.0,10.0,,1.0,3.0,30.0,7.0,1.0,,,1.0,0.5555555555555556,,1.0,0.5555555555555556,0.28,0.42857142857142855,0.42857142857142855,1.0,0.6363636363636364,0.6363636363636364,1.0,1.0,,,,,,0.4,1.0,1.0,0.6363636363636364,,,,,,,,,,,,,,,,True,,
202066,1610612761,Garrett Temple,Garrett Temple,202066,TOR,769.0,13,14.0,32,30,16.0,10.0,2.0,62,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,2.0,1.0,,5.0,28,,,,,1.0,1.0,,,2.0,2.0,,,,1.0,,2.0,2.0,4.0,1.0,1.0,2.0,,,10.0,,,,1.0,1.0,,2.0,,2.0,,2.0,,2.0,,,,1.0,1.0,,,1.0,,1.0,,2.0,1.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,2.0,16.0,,,1.0,1.0,0.5,,1.0,0.8333333333333334,,1.0,0.8333333333333334,,1.0,0.3333333333333333,,,,11.76470588235294,,,,0.1,,0.25,,0.14285714285714285,,,,,,,,0.16666666666666666,,,0.5,,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,,,,0.3333333333333333,,,,1.0,1.0,,0.6666666666666666,0.6173666666666667,,0.8542,,,,0.4,3.2,24.6,0.5,,,,,,,1.0,,,,1.0,,,,3.0,1.0,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,True,,
