EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,Transition Take Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,FTOffRebounds,Charge Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedCorner3,DefensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,LongMidRangeFGM,SecondChanceCorner3FGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,Corner3PctBlocked,on,BlockedArc3,Transition Take Fouls,OffensiveGoaltends,3SecondViolations,LongMidRangePctBlocked,Clear Path Fouls,BlockedLongMidRange
1627732,1610612751,Ben Simmons,Ben Simmons,1627732,BKN,17064.0,284,-21.0,563,570,72.0,84.0,40.0,1133,28.0,40.0,3.0,4.0,1.0,1.0,7.0,19.0,35.0,59.0,7.0,77.0,663,3.0,6.0,2.0,8.0,2.0,3.0,1.0,5.0,34.0,36.0,4.0,1.0,39.0,29.0,68.0,20.0,9.0,28.0,8.0,3.0,165.0,6.0,4.0,30.0,22.0,4.0,56.0,10.0,66.0,1.0,8.0,6.0,2.0,15.0,12.0,10.0,22.0,3.0,5.0,2.0,37.0,1.0,4.0,13.0,34.0,1.0,4.0,16.0,3.0,1.0,9.0,3.0,6.0,7.0,4.0,3.0,7.0,3.0,5.0,70.0,1.0,0.4857142857142857,0.5151515151515151,0.5932203389830508,0.5,0.6666666666666666,0.5932203389830508,0.5,0.6666666666666666,0.6209677419354839,0.5714285714285714,0.8333333333333334,0.0169491525423728,0.025,16.256157635467982,0.4054054054054054,0.4,0.180327868852459,0.0388349514563106,0.2325581395348837,0.0451127819548872,0.2071713147410358,0.0423728813559322,0.0222222222222222,0.0208333333333333,0.2,0.0344827586206896,0.0652173913043478,0.1454545454545454,0.1219512195121951,0.3461538461538461,0.2650602409638554,0.1739130434782608,0.0454545454545454,0.4285714285714285,0.6779661016949152,0.7,0.717948717948718,0.5357142857142857,0.3220338983050847,0.3684210526315789,0.3684210526315789,0.2857142857142857,0.6666666666666666,0.75,0.3333333333333333,1.0,0.6779661016949152,0.5883050847457627,0.4942666666666667,0.4702,0.0967741935483871,0.0967741935483871,0.1038961038961039,0.0649350649350649,3.530508474576271,0.127886323268206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1627827,1610612751,Dorian Finney-Smith,Dorian Finney-Smith,1627827,BKN,34756.0,579,41.0,1147,1147,251.0,260.0,107.0,2294,24.0,41.0,8.0,14.0,1.0,2.0,2.0,9.0,26.0,51.0,15.0,208.0,1330,8.0,15.0,3.0,25.0,1.0,2.0,7.0,45.0,36.0,16.0,12.0,8.0,18.0,13.0,31.0,11.0,2.0,11.0,4.0,3.0,75.0,16.0,14.0,26.0,28.0,6.0,60.0,31.0,91.0,4.0,18.0,11.0,7.0,7.0,5.0,6.0,11.0,2.0,1.0,2.0,18.0,2.0,4.0,28.0,54.0,7.0,1.0,23.0,1.0,,24.0,2.0,6.0,11.0,8.0,3.0,12.0,7.0,44.0,247.0,2.0,0.6923076923076923,0.9,0.5098039215686274,0.5333333333333333,0.5,0.6069182389937107,0.5238095238095238,0.7307692307692307,0.6153846153846154,0.5681818181818182,0.7258064516129032,0.1568627450980392,0.1219512195121951,14.770932069510268,0.3888888888888889,0.2307692307692307,0.10727969348659,0.063063063063063,0.099236641221374,0.0581818181818181,0.1032504780114722,0.0603621730382293,0.0642201834862385,0.0344827586206896,0.1538461538461538,0.0463917525773195,0.0864197530864197,0.0982142857142857,0.1509433962264151,0.0232558139534883,0.0893854748603352,0.1204819277108433,0.0547945205479452,0.5833333333333334,0.2578616352201258,0.5853658536585366,0.6666666666666666,0.7083333333333334,0.0566037735849056,0.2222222222222222,0.3333333333333333,0.5,0.6666666666666666,0.5714285714285714,0.0769230769230769,0.5,0.9371069182389936,0.57252893081761,0.5385208333333332,0.521625,0.0426829268292682,0.109090909090909,0.1201923076923077,0.2163461538461538,2.958823529411765,0.2188317349607672,1.0,17.0,42.0,1.0,3.0,9.0,30.0,66.0,2.0,5.0,9.0,15.0,47.0,108.0,2.0,6.0,12.0,24.0,138.0,3.0,66.0,30.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,0.9787234042553192,0.4351851851851852,0.3333333333333333,0.5,0.4351851851851852,0.6792452830188679,0.0092592592592592,0.3333333333333333,0.0151515151515151,0.0666666666666666,0.0062893081761006,0.2641509433962264,0.4047619047619047,0.4047619047619047,0.9411764705882352,0.4150943396226415,0.4545454545454545,0.4615384615384615,1.0,0.125,0.0476190476190476,0.238095238095238,0.4,1.0,0.3461538461538461,0.3333333333333333,0.5769230769230769,0.6,0.4545454545454545,0.0091743119266055,24.76944444444445,,,,,,,,,,,,,True,,,,,,,
1629003,1610612751,Shake Milton,Shake Milton,1629003,BKN,4462.0,74,22.0,143,143,24.0,36.0,13.0,286,3.0,5.0,1.0,2.0,,,3.0,4.0,6.0,9.0,2.0,23.0,152,1.0,2.0,,2.0,1.0,1.0,,5.0,4.0,8.0,2.0,1.0,6.0,7.0,13.0,4.0,3.0,4.0,1.0,1.0,33.0,1.0,1.0,3.0,,,3.0,2.0,5.0,,2.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,6.0,,,2.0,,,2.0,,1.0,,,,,,5.0,22.0,2.0,0.3333333333333333,0.4,0.6666666666666666,0.5,1.0,0.7,0.3333333333333333,0.8333333333333334,0.71875,0.3333333333333333,0.8333333333333334,0.1111111111111111,0.2,10.559006211180124,1.0,,,0.0263157894736842,0.09375,0.0357142857142857,0.0434782608695652,0.0303030303030303,0.0476190476190476,,,0.0416666666666666,,,,,0.1052631578947368,0.0769230769230769,,,0.3333333333333333,0.6,0.75,0.3333333333333333,0.2666666666666666,0.75,0.75,0.3333333333333333,0.6666666666666666,0.5,,,0.7333333333333333,0.5312633333333333,0.5771,0.4924,0.0625,0.1,0.0869565217391304,0.217391304347826,4.277777777777778,0.1678321678321678,,,1.0,,,1.0,3.0,5.0,,1.0,1.0,1.0,3.0,6.0,,1.0,1.0,2.0,9.0,,5.0,3.0,,,,,,,,,,,,,1.0,0.5,,0.5,0.5,0.4,,,,,,0.0666666666666666,,,,0.3333333333333333,0.6,0.6,1.0,,,0.3333333333333333,,,0.3333333333333333,,0.3333333333333333,1.0,0.6,,26.15,,,,,,,,,,,,,True,,,,,,,
1629661,1610612751,Cameron Johnson,Cameron Johnson,1629661,BKN,30252.0,504,66.0,1007,996,239.0,227.0,96.0,2003,33.0,43.0,5.0,8.0,8.0,11.0,13.0,25.0,51.0,77.0,61.0,310.0,1163,5.0,10.0,7.0,35.0,10.0,19.0,29.0,73.0,64.0,38.0,6.0,6.0,28.0,27.0,55.0,18.0,9.0,22.0,5.0,1.0,137.0,4.0,7.0,27.0,33.0,2.0,62.0,11.0,73.0,2.0,13.0,10.0,3.0,12.0,,8.0,4.0,3.0,4.0,,16.0,,1.0,9.0,31.0,4.0,,51.0,3.0,,71.0,4.0,14.0,9.0,4.0,5.0,10.0,6.0,69.0,236.0,7.0,0.6274509803921569,0.6666666666666666,0.6623376623376623,0.5,0.5263157894736842,0.631979695431472,0.6363636363636364,0.55,0.6747787610619469,0.7,0.6545454545454545,0.0779220779220779,0.0930232558139534,21.6021602160216,0.75,0.0952380952380952,0.1434782608695652,0.0366492146596858,0.1205357142857142,0.0169491525423728,0.13215859030837,0.0257611241217798,0.0326086956521739,0.0256410256410256,0.0952380952380952,0.024390243902439,,0.1855670103092783,0.0842105263157894,0.1842105263157894,0.141025641025641,0.0735294117647058,0.0224719101123595,0.6,0.2182741116751269,0.7674418604651163,0.8461538461538461,0.696969696969697,0.1269035532994923,0.52,0.5652173913043478,0.4615384615384615,0.3636363636363636,0.625,0.275,0.7272727272727273,0.8274111675126904,0.5577647208121828,0.5372166666666666,0.5481637500000001,0.0853080568720379,0.160919540229885,0.1129032258064516,0.2354838709677419,5.988311688311689,0.23733862959285,9.0,13.0,27.0,2.0,3.0,6.0,36.0,93.0,5.0,10.0,5.0,15.0,49.0,120.0,6.0,12.0,8.0,21.0,135.0,12.0,93.0,36.0,1.0,,1.0,,3.0,5.0,4.0,15.0,1.0,1.0,,11.0,0.9183673469387756,0.4083333333333333,0.5,0.3809523809523809,0.4083333333333333,0.6091370558375635,0.0083333333333333,0.08,0.010752688172043,,0.0456852791878172,0.1370558375634517,0.4814814814814814,0.4814814814814814,1.0,0.4720812182741117,0.3870967741935484,0.391304347826087,0.8888888888888888,0.4,0.0909090909090909,0.4545454545454545,0.5,0.8,0.15,0.5,0.375,0.3333333333333333,0.3870967741935484,0.032258064516129,25.760833333333323,5.0,1.0,0.5555555555555556,0.5555555555555556,0.6,0.5,1.0,,,,,,True,,,,,,,
1630533,1610612751,Ziaire Williams,Ziaire Williams,1630533,BKN,5408.0,90,16.0,175,183,36.0,35.0,19.0,358,11.0,15.0,1.0,2.0,2.0,2.0,2.0,2.0,13.0,18.0,9.0,47.0,196,1.0,2.0,,2.0,2.0,2.0,3.0,7.0,22.0,4.0,2.0,1.0,1.0,4.0,5.0,4.0,,,1.0,,14.0,2.0,,15.0,3.0,1.0,19.0,2.0,21.0,,4.0,2.0,2.0,3.0,,3.0,,,,,3.0,1.0,,4.0,13.0,1.0,,10.0,1.0,,11.0,,3.0,1.0,1.0,,1.0,1.0,5.0,35.0,3.0,0.8461538461538461,0.9166666666666666,0.7222222222222222,0.5,1.0,0.59375,0.5,0.4,0.6351351351351351,0.5,0.5,0.0555555555555555,0.0666666666666666,20.40816326530612,1.0,0.25,0.0769230769230769,,0.3488372093023256,0.0392156862745098,0.2195121951219512,0.025,,,,0.0285714285714285,0.0625,0.0555555555555555,0.0625,0.2,0.375,0.2727272727272727,,1.0,0.46875,0.7333333333333333,0.7857142857142857,0.8181818181818182,0.0625,1.0,1.0,1.0,1.0,0.5,0.4,1.0,0.90625,0.6078193548387096,0.4352,0.6209749999999999,0.0857142857142857,0.1428571428571428,0.0425531914893617,0.1489361702127659,3.466666666666667,0.2057142857142857,1.0,3.0,8.0,,,2.0,1.0,6.0,,,,1.0,4.0,14.0,,,,3.0,12.0,,5.0,1.0,,,,,,,1.0,1.0,,,,,1.0,0.2857142857142857,,,0.3076923076923077,0.4375,,,,,0.03125,0.25,0.375,0.375,1.0,0.1875,0.1666666666666666,0.1666666666666666,1.0,,,,,,0.4,,0.2,,0.2,,25.735714285714288,,,,,,,,1.0,,,,,True,,,,,,,
1630549,1610612751,Day'Ron Sharpe,Day'Ron Sharpe,1630549,BKN,1271.0,21,9.0,44,39,6.0,14.0,5.0,83,3.0,7.0,,3.0,,,1.0,2.0,4.0,9.0,2.0,13.0,43,,3.0,,,,,2.0,2.0,8.0,,,2.0,,2.0,2.0,1.0,1.0,,,,6.0,,3.0,1.0,3.0,,4.0,3.0,7.0,1.0,3.0,1.0,2.0,1.0,,1.0,1.0,,,,2.0,,1.0,1.0,6.0,,1.0,1.0,,,2.0,,,1.0,1.0,,1.0,1.0,2.0,6.0,1.0,1.0,1.0,0.4444444444444444,,,0.5,,,0.5416666666666666,,1.0,0.2222222222222222,0.2857142857142857,28.0,0.5,,0.375,0.25,0.125,,0.25,0.1428571428571428,0.25,0.25,,,,0.2,0.6666666666666666,,0.25,,0.25,1.0,0.6363636363636364,0.4285714285714285,0.6,1.0,0.1818181818181818,0.5,0.5,1.0,1.0,,,,0.8181818181818182,0.654340909090909,0.6514,,,,,0.1538461538461538,1.6111111111111112,0.1363636363636363,,,1.0,,,,1.0,1.0,,,,,1.0,2.0,,,,,3.0,,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,0.5,,,0.5,0.1818181818181818,,,,,,0.0909090909090909,,,,0.0909090909090909,1.0,1.0,1.0,,,,,,,,,,1.0,,24.95,,,,,,,,,,,,,True,,,,,,,
1630553,1610612751,Keon Johnson,Keon Johnson,1630553,BKN,7806.0,130,-48.0,264,268,26.0,54.0,23.0,532,6.0,13.0,1.0,1.0,,,,5.0,7.0,19.0,2.0,43.0,323,1.0,1.0,,2.0,,1.0,1.0,1.0,8.0,6.0,2.0,6.0,5.0,4.0,9.0,4.0,,4.0,1.0,,22.0,,1.0,9.0,9.0,,18.0,1.0,19.0,,6.0,3.0,3.0,8.0,,6.0,1.0,,2.0,,9.0,1.0,,12.0,22.0,,1.0,5.0,1.0,,4.0,,1.0,2.0,1.0,1.0,2.0,,1.0,26.0,,0.5714285714285714,0.6666666666666666,0.3684210526315789,1.0,,0.4555555555555555,0.5,,0.4574468085106383,0.5,0.125,0.3157894736842105,0.2307692307692307,19.444444444444446,0.8888888888888888,,0.15,0.0169491525423728,0.15,,0.15,0.0084033613445378,0.032258064516129,,,,,0.15625,0.0666666666666666,0.2307692307692307,0.175,0.1,,,0.2888888888888888,0.4615384615384615,0.6,0.6666666666666666,0.1111111111111111,,,,0.5,1.0,,,0.8666666666666667,0.5586977777777778,0.5644,0.47945,0.0217391304347826,0.05,0.0465116279069767,0.0232558139534883,4.3,0.0984848484848484,1.0,4.0,10.0,,,,5.0,16.0,,1.0,,2.0,9.0,26.0,,1.0,,2.0,24.0,3.0,16.0,5.0,,,,,,,,1.0,,,1.0,1.0,0.8888888888888888,0.3461538461538461,,,0.3461538461538461,0.5777777777777777,,0.6,,,0.0222222222222222,0.2222222222222222,0.4,0.4,0.75,0.3555555555555555,0.3125,0.3125,1.0,,,0.5,,,,,0.6666666666666666,,0.3125,,24.72692307692308,1.0,,1.0,1.0,,,,,,,,,True,,,,,,,
1630560,1610612751,Cam Thomas,Cam Thomas,1630560,BKN,19996.0,333,18.0,661,654,161.0,161.0,63.0,1315,25.0,41.0,,3.0,10.0,13.0,17.0,34.0,55.0,99.0,56.0,247.0,769,2.0,5.0,,13.0,16.0,27.0,21.0,71.0,60.0,50.0,,13.0,20.0,17.0,37.0,11.0,6.0,17.0,2.0,1.0,91.0,,2.0,14.0,9.0,,23.0,2.0,25.0,,9.0,7.0,2.0,12.0,1.0,5.0,10.0,3.0,7.0,2.0,22.0,1.0,6.0,12.0,21.0,,2.0,52.0,4.0,,67.0,9.0,29.0,1.0,1.0,,1.0,,71.0,160.0,,0.5454545454545454,0.5454545454545454,0.5555555555555556,0.4,0.5925925925925926,0.5552325581395349,0.4333333333333333,0.5813953488372093,0.6180904522613065,0.4333333333333333,0.660377358490566,0.1313131313131313,0.2439024390243902,30.273972602739725,0.5454545454545454,,0.0604026845637583,0.0157480314960629,0.0945945945945946,,0.0774410774410774,0.0068027210884353,0.0169491525423728,0.0208333333333333,,,,0.0545454545454545,0.0571428571428571,0.0833333333333333,0.1121495327102803,0.048780487804878,,,0.2383720930232558,0.6097560975609756,0.8064516129032258,0.48,0.1976744186046511,0.5,0.5483870967741935,0.4705882352941176,0.2,,0.3023255813953488,0.7692307692307693,0.6627906976744186,0.5291822674418605,0.5230909090909092,0.5219662790697674,0.1649484536082474,0.2436974789915966,0.0526315789473684,0.2874493927125506,8.253535353535353,0.2435703479576399,24.0,1.0,13.0,2.0,,2.0,26.0,60.0,2.0,8.0,6.0,14.0,27.0,73.0,3.0,10.0,6.0,16.0,45.0,36.0,60.0,26.0,,,1.0,,2.0,1.0,3.0,5.0,,,,5.0,0.5555555555555556,0.3698630136986301,0.3,0.375,0.3698630136986301,0.4244186046511627,,0.088235294117647,,,0.1395348837209302,0.0755813953488372,0.0769230769230769,0.0769230769230769,1.0,0.3488372093023256,0.4333333333333333,0.4333333333333333,0.5384615384615384,,0.1333333333333333,0.5333333333333333,0.25,1.0,0.0465116279069767,,0.3255813953488372,0.4285714285714285,0.4333333333333333,0.04,25.31643835616439,13.0,1.0,0.5416666666666666,0.5416666666666666,0.7692307692307693,0.5,1.0,,1.0,1.0,,,True,,,,,,,
1631213,1610612751,Tyrese Martin,Tyrese Martin,1631213,BKN,1069.0,18,6.0,41,40,14.0,17.0,1.0,81,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,19.0,42,,,,,1.0,1.0,,5.0,2.0,2.0,,,1.0,,1.0,,,,1.0,,2.0,,,1.0,,,1.0,,1.0,,,,,2.0,,1.0,,,1.0,,2.0,,,1.0,3.0,1.0,,,,,,,,,,,,,5.0,13.0,2.0,0.5,0.5,1.0,,1.0,0.95,,1.25,0.95,,1.25,,,28.571428571428573,1.0,,,,0.0833333333333333,,0.0555555555555555,,,,,,,,,,,0.3333333333333333,,,0.1,1.0,1.0,1.0,0.1,1.0,1.0,,,,0.5,1.0,0.9,0.55784,,0.59265,,,,0.2631578947368421,4.95,0.3414634146341463,,2.0,3.0,,,,3.0,5.0,,,1.0,1.0,5.0,8.0,,,1.0,1.0,15.0,,5.0,3.0,,,,,,,,,,,,,1.0,0.625,,1.0,0.625,0.8,,,,,,0.3,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6,0.6,1.0,,,,,,,,0.5,1.0,0.6,,24.95,,,,,,,,,,,,,True,,,,,,,
1641730,1610612751,Noah Clowney,Noah Clowney,1641730,BKN,2664.0,44,4.0,83,85,22.0,18.0,5.0,168,,2.0,,,,,1.0,2.0,1.0,4.0,1.0,9.0,101,,,,,,,,,2.0,,,1.0,1.0,1.0,2.0,1.0,,,1.0,,5.0,,,4.0,2.0,3.0,9.0,,9.0,,1.0,1.0,,,,,,,,,,,,3.0,7.0,,,4.0,2.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,20.0,,1.0,1.0,0.25,,,0.4,,,0.45,,,0.25,0.5,10.989010989010987,,0.6,0.0714285714285714,,0.25,,0.1363636363636363,,,,,,,0.0666666666666666,0.0909090909090909,,0.3333333333333333,0.1428571428571428,,1.0,0.2,,,,0.2,0.5,0.5,1.0,,,,,0.8,0.55619,,0.46485,0.1,0.25,,,4.699999999999999,0.2650602409638554,,1.0,4.0,1.0,,,1.0,2.0,,,,1.0,2.0,6.0,,1.0,,1.0,6.0,,2.0,1.0,,,,1.0,,,,,,,,,1.0,0.3333333333333333,,,0.3333333333333333,0.6,,,,,,0.4,0.25,0.25,1.0,0.2,0.5,0.5,1.0,,1.0,,,,,,1.0,,0.5,,24.0,,,,,,,,,,,,,True,,,,,,,
