EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,Minutes,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceArc3FGM,SecondChanceFG2M,PenaltyFtPoints,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffThreePtRebounds,LostBallTurnovers,SecondChanceTurnovers,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,BlockedLongMidRange,PtsUnassisted3s,FTDefRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Offensive Fouls,ThreePtShootingFoulsDrawn,DefFTReboundPct,DefCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,BlockedShortMidRange,DefAtRimReboundPct,SecondChanceFtPoints,Blocked3s,BlockedArc3,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,LongMidRangeAssists,OffLongMidRangeReboundPct,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefensiveGoaltends,DefLongMidRangeReboundPct,on,HeaveAttempts,Fg3aBlocked,StepOutOfBoundsTurnovers,Travels,Charge Fouls,Clear Path Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedCorner3,OffensiveGoaltends,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,FTOffRebounds,Charge Fouls Drawn,OffFTReboundPct,Transition Take Fouls,3SecondViolations,Defensive 3 Seconds Violations,Transition Take Fouls Drawn
1627739,1610612746,Kris Dunn,Kris Dunn,1627739,LAC,27.0,-1,1,2,1.0,2.0,3,2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1629599,1610612746,Amir Coffey,Amir Coffey,1629599,LAC,1271.0,-1,40,42,16.0,21.0,82,43,16.0,0.4,21.0,8.0,3.0,6.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,10.0,3.0,4.0,2.0,17.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,10.0,6.0,9.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,10.0,1.0,1.0,1.0,0.75,0.5,0.6666666666666666,0.75,0.3,0.6666666666666666,0.5357142857142857,0.375,0.8333333333333334,0.5666666666666667,0.375,0.8333333333333334,0.2857142857142857,0.1,0.16666666666666666,30.0,0.16666666666666666,0.125,0.08695652173913043,0.09523809523809523,0.5,0.13333333333333333,0.14285714285714285,0.42857142857142855,0.5,0.6,1.0,0.2857142857142857,0.07142857142857142,1.0,1.0,1.0,0.21428571428571427,0.6666666666666666,0.6666666666666666,1.0,0.5,0.25,1.0,1.0,0.25,0.3333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.5,0.7142857142857143,0.6666666666666666,0.602125,0.7139833333333333,0.6285250000000001,0.06666666666666667,0.09090909090909091,0.17647058823529413,0.5882352941176471,7.619999999999999,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1629645,1610612746,Kevin Porter Jr.,Kevin Porter Jr.,1629645,LAC,27.0,-1,1,2,1.0,2.0,3,2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1642353,1610612746,Cam Christie,Cam Christie,1642353,LAC,3518.0,-10,123,124,61.0,64.0,247,133,61.0,0.4959349593495935,59.0,17.0,4.0,8.0,3.0,3.0,3.0,1.0,,3.0,,,,1.0,2.0,10.0,1.0,1.0,5.0,5.0,11.0,2.0,13.0,2.0,18.0,3.0,1.0,1.0,5.0,4.0,5.0,1.0,6.0,12.0,6.0,6.0,10.0,2.0,1.0,3.0,6.0,9.0,3.0,12.0,2.0,5.0,3.0,2.0,4.0,,3.0,4.0,2.0,12.0,0.6,0.75,1.0,0.15384615384615385,1.0,0.16666666666666666,0.15384615384615385,0.45454545454545453,0.8,0.3333333333333333,0.625,0.5,0.34615384615384615,0.625,0.5,0.5416666666666666,0.09090909090909091,0.125,19.58041958041958,0.09090909090909091,0.1875,0.16363636363636364,0.05172413793103448,0.1875,0.21428571428571427,0.125,0.3333333333333333,0.5,0.5714285714285714,0.5,0.041666666666666664,0.125,,,,0.4166666666666667,0.2,0.2,1.0,0.75,,,,0.25,0.2727272727272727,1.0,0.09090909090909091,,0.45454545454545453,0.2,0.875,0.2,0.54921875,0.5452,0.5447909090909091,0.07692307692307693,0.15384615384615385,0.2777777777777778,0.6666666666666666,4.318181818181818,25.684615384615384,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,6.0,2.0,1.0,1.0,2.0,15.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.3333333333333333,0.5,0.13043478260869565,0.2,1.0,0.08333333333333333,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
201587,1610612746,Nicolas Batum,Nicolas Batum,201587,LAC,27.0,-1,1,2,1.0,2.0,3,2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1627826,1610612746,Ivica Zubac,Ivica Zubac,1627826,LAC,206.0,-3,7,7,,2.0,14,7,,,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,22.22222222222222,,,,0.4,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,0.7125,,,,,1.0,,,,1.0,,,,1.0,,2.0,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,,,2.0,1.0,1.0,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1627884,1610612746,Derrick Jones Jr.,Derrick Jones Jr.,1627884,LAC,277.0,-4,10,10,,4.0,20,10,,,5.0,2.0,,,,,,1.0,,,,,,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,2.0,2.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,25.0,,0.5,0.4,,,0.5,,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,,,,,,,,0.3333333333333333,,0.4672666666666667,,,,,,,9.35,27.6,,,1.0,,,,,,1.0,,1.0,,,1.0,,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,,0.3333333333333333,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
201935,1610612746,James Harden,James Harden,201935,LAC,206.0,-3,7,7,,2.0,14,7,,,3.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,0.5,,,1.0,,,33.333333333333336,,0.3333333333333333,0.25,,,0.3333333333333333,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,0.4419,,,0.5,1.0,,,,26.8,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1630538,1610612746,Bones Hyland,Bones Hyland,1630538,LAC,1210.0,12,43,43,20.0,17.0,86,37,20.0,0.46511627906976744,20.0,5.0,,,,,,,,,,,,,4.0,6.0,,2.0,3.0,1.0,1.0,4.0,6.0,3.0,17.0,,,,,,,2.0,3.0,6.0,,,6.0,4.0,,,2.0,4.0,,4.0,,,,,5.0,,2.0,3.0,,6.0,,,,0.6666666666666666,,0.6666666666666666,0.6666666666666666,1.0,,1.0,,1.0,1.0625,,1.0,0.8571428571428571,,,24.489795918367346,,0.11764705882352941,0.13043478260869565,,,,,,,,,,,,,,0.8571428571428571,0.6666666666666666,0.6666666666666666,,,,,,,,,,,1.0,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.4768857142857143,,0.45525,0.125,,,0.35294117647058826,4.2,28.016666666666666,,1.0,1.0,,,,2.0,,1.0,,1.0,,,,1.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,,,,,1.0,,0.25,0.16666666666666666,0.3333333333333333,,0.14285714285714285,1.0,1.0,,,,,,,,,,,,12.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1641738,1610612746,Kobe Brown,Kobe Brown,1641738,LAC,2424.0,-17,84,84,40.0,45.0,168,100,40.0,0.47619047619047616,40.0,11.0,1.0,4.0,2.0,,1.0,,,,,,,,1.0,3.0,,,1.0,2.0,6.0,1.0,3.0,,7.0,3.0,,,4.0,,1.0,,1.0,,2.0,3.0,3.0,1.0,1.0,1.0,4.0,9.0,3.0,12.0,1.0,3.0,,3.0,2.0,1.0,1.0,,,,0.5,1.0,1.0,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,,0.3888888888888889,0.6666666666666666,,0.3888888888888889,0.6666666666666666,,0.3333333333333333,0.16666666666666666,0.25,14.285714285714286,0.04,0.21052631578947367,0.2222222222222222,0.075,0.08333333333333333,0.17647058823529413,0.2,0.4444444444444444,0.25,0.3333333333333333,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,,,,,0.5,,,,0.5,,0.7777777777777778,0.3333333333333333,0.5082055555555556,0.6074,0.6315500000000001,,,0.5714285714285714,,3.8666666666666667,27.166666666666668,1.0,1.0,2.0,,2.0,,2.0,2.0,5.0,3.0,8.0,3.0,,4.0,1.0,19.0,4.0,,,5.0,5.0,,,1.0,,1.0,,,0.6666666666666666,,0.23529411764705882,0.16666666666666666,,0.2222222222222222,0.5,0.5,1.0,0.5,,,2.0,,,0.13333333333333333,0.16666666666666666,,,,1.0,4.0,1.0,,,0.3333333333333333,0.5,,1.0,0.4,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
