EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG3APctBlocked,Corner3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,FTDefRebounds,Travels,DefFTReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,Fg2aBlocked,StepOutOfBoundsTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Transition Take Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Offensive Fouls,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls Drawn,PenaltyArc3FGM,FTOffRebounds,Charge Fouls,Defensive 3 Seconds Violations,OffFTReboundPct,PenaltyArc3Accuracy,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,DefensiveGoaltends,ThreePtShootingFoulsDrawnPct,BlockedCorner3,3SecondViolations,HeaveMakes,HeaveAttempts,Arc3PctBlocked,on,Transition Take Fouls,Technical Free Throw Trips,LongMidRangePctBlocked,OffensiveGoaltends,BlockedLongMidRange
101108,1610612759,Chris Paul,Chris Paul,101108,SAS,7988.0,133,10.0,271,268,18.0,34,22,539,2.0,2.0,6.0,9.0,1.0,8.0,1.0,3.0,1.0,7.0,18.0,1.0,2.0,9.0,19.0,8.0,21.0,1.0,43.0,301,1.0,1.0,2.0,2.0,4.0,2.0,2.0,16.0,15.0,9.0,18.0,7.0,1.0,13.0,14.0,27.0,11.0,3.0,9.0,3.0,1.0,68.0,1.0,1.0,5.0,8.0,13,2.0,15,1.0,8.0,4.0,4.0,11.0,1.0,9.0,2.0,1.0,2.0,13.0,1.0,1.0,8.0,11.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,18.0,0.1111111111111111,0.1111111111111111,0.625,0.38095238095238093,0.38095238095238093,0.47368421052631576,1.0,0.525,0.3333333333333333,0.524390243902439,0.3333333333333333,0.525,0.047619047619047616,0.3333333333333333,17.905405405405407,0.8461538461538461,0.12698412698412698,0.023255813953488372,0.07142857142857142,0.014285714285714285,0.09774436090225563,0.017699115044247787,0.08333333333333333,0.018518518518518517,0.07692307692307693,0.16,0.16666666666666666,0.05454545454545454,0.13333333333333333,0.05,0.5,0.05,1.0,1.0,0.5,0.225,0.6666666666666666,0.6666666666666666,0.2,0.125,0.125,0.075,0.3333333333333333,0.5,1.0,0.45,0.3888888888888889,0.3888888888888889,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.575,0.3888888888888889,0.49799249999999995,0.4788,0.43483333333333335,0.046511627906976744,13.499999999999996,25.32857142857143,0.06642066420664207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1628368,1610612759,De'Aaron Fox,De'Aaron Fox,1628368,SAS,750.0,12,-7.0,24,23,,1,2,47,1.0,3.0,2.0,3.0,,,,1.0,,,1.0,,,3.0,6.0,,2.0,,6.0,30,,1.0,,,,,,6.0,,,1.0,,,1.0,,1.0,,,1.0,,,2.0,,,1.0,2.0,4,,4,,,,,1.0,,1.0,1.0,,,2.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,0.5,,0.375,,0.375,,0.25,,,38.46153846153846,0.5,0.4,,0.14285714285714285,,0.25,,,,,0.6666666666666666,,0.2,,,,0.375,0.3333333333333333,0.3333333333333333,,0.375,0.6666666666666666,0.6666666666666666,,,,0.125,,,,0.125,,,,,,,0.625,,0.54635,0.6568,,,5.583333333333333,24.85,,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1631104,1610612759,Blake Wesley,Blake Wesley,1631104,SAS,40984.0,683,-9.0,1409,1420,358.0,413,151,2829,54.0,90.0,8.0,26.0,2.0,12.0,7.0,20.0,,10.0,38.0,7.0,8.0,64.0,128.0,17.0,58.0,38.0,217.0,1599,3.0,14.0,7.0,10.0,28.0,12.0,84.0,44.0,48.0,3.0,38.0,10.0,,61.0,53.0,114.0,38.0,15.0,50.0,10.0,1.0,281.0,6.0,11.0,23.0,20.0,44,17.0,61,4.0,37.0,22.0,15.0,40.0,5.0,27.0,14.0,2.0,13.0,54.0,3.0,15.0,25.0,46.0,56.0,6.0,61.0,2.0,5.0,,5.0,6.0,3.0,357.0,0.65625,0.6666666666666666,0.9411764705882353,0.29310344827586204,0.29310344827586204,0.5,0.21428571428571427,0.48118279569892475,0.21428571428571427,0.5046511627906977,0.21739130434782608,0.3118279569892473,,,16.91823899371069,0.7407407407407407,0.06493506493506493,0.03678929765886288,0.06534090909090909,0.018292682926829267,0.06515151515151515,0.02711323763955343,0.022222222222222223,0.016129032258064516,0.045454545454545456,0.06451612903225806,0.11538461538461539,0.06766917293233082,0.05813953488372093,0.0449438202247191,0.5,0.4838709677419355,0.6,0.6585365853658537,0.6851851851851852,0.13978494623655913,0.3076923076923077,0.38095238095238093,0.06451612903225806,0.16666666666666666,0.16666666666666666,0.10752688172043011,0.35,0.35,1.0,0.20430107526881722,0.2631578947368421,0.2631578947368421,0.9,,0.3333333333333333,0.2,0.7956989247311828,0.2631578947368421,0.5968759776536313,0.609323076923077,0.6036397435897436,0.04608294930875576,4.438281249999999,24.759649122807016,0.2540809084457062,13.0,1.0,2.0,0.03225806451612903,0.6190476190476191,3.0,13.0,22.0,1.0,4.0,1.0,1.0,1.0,14.0,1.0,12.0,43.0,2.0,13.0,5.0,1.0,3.0,1.0,3.0,30.0,1.0,1.0,41.0,4.0,1.0,0.14285714285714285,0.08333333333333333,0.5,0.3875,0.4387755102040816,0.1015625,0.08888888888888889,0.19230769230769232,0.06504065040650407,0.015267175572519083,0.025,0.5,0.5,0.23076923076923078,0.3333333333333333,0.14285714285714285,1.0,0.55,0.5909090909090909,0.1,0.25,0.14084507042253522,0.1935483870967742,0.19815668202764977,,,,,,,,,,,,,,,,,,,,,True,,,,,
202687,1610612759,Bismack Biyombo,Bismack Biyombo,202687,SAS,4696.0,78,-26.0,157,156,39.0,44,20,313,6.0,6.0,5.0,6.0,,,,,,,,,,11.0,12.0,,,2.0,24.0,186,1.0,1.0,,2.0,1.0,,22.0,,,,,,,1.0,2.0,3.0,2.0,,,1.0,,8.0,2.0,2.0,8.0,8.0,18,4.0,22,,1.0,1.0,,2.0,,,2.0,,2.0,4.0,1.0,,2.0,6.0,5.0,1.0,3.0,,4.0,2.0,2.0,4.0,3.0,39.0,1.0,1.0,,,,0.9166666666666666,1.0,0.9166666666666666,1.0,0.9230769230769231,1.0,,,,9.444444444444445,0.5,0.25806451612903225,0.05555555555555555,0.20512820512820512,0.05128205128205128,0.22857142857142856,0.05333333333333334,,0.06666666666666667,0.1,0.35294117647058826,0.25,0.25,0.09090909090909091,,0.75,0.5,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,,,,,,,,,,,,,,,0.5,,0.5874,,0.4113,0.08333333333333333,4.325,,0.2484076433121019,1.0,2.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,1.0,,,2.0,,1.0,2.0,,,,,,,,,,,0.08333333333333333,,0.16666666666666666,0.09090909090909091,0.058823529411764705,,1.0,,1.0,1.0,,,,,,,0.15384615384615385,0.15384615384615385,,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,
203084,1610612759,Harrison Barnes,Harrison Barnes,203084,SAS,9596.0,160,27.0,324,321,40.0,32,28,645,6.0,8.0,2.0,5.0,,,6.0,12.0,1.0,4.0,12.0,2.0,1.0,8.0,13.0,10.0,24.0,17.0,63.0,343,,,3.0,7.0,,1.0,8.0,8.0,27.0,3.0,12.0,4.0,,7.0,8.0,15.0,5.0,3.0,5.0,2.0,,38.0,3.0,,10.0,13.0,23,3.0,26,,5.0,3.0,2.0,2.0,,1.0,1.0,,1.0,3.0,,,1.0,3.0,13.0,,20.0,,1.0,,1.0,1.0,1.0,40.0,0.5,0.5,0.9,0.4166666666666667,0.4166666666666667,0.6153846153846154,,0.6216216216216216,1.0,0.6847826086956522,0.875,0.6486486486486487,,,13.461538461538462,0.6666666666666666,0.17333333333333334,,0.12345679012345678,0.03896103896103896,0.14743589743589744,0.020134228187919462,,0.017543859649122806,0.19047619047619047,0.175,0.14285714285714285,0.15789473684210525,0.041666666666666664,,1.0,0.21621621621621623,0.75,0.75,0.5,0.13513513513513514,0.4,0.4,,,,0.32432432432432434,0.5,0.5,1.0,0.32432432432432434,0.3333333333333333,0.3333333333333333,0.75,0.3333333333333333,0.6666666666666666,1.0,0.8648648648648649,0.3333333333333333,0.5668888888888889,0.5571499999999999,0.3633,0.1111111111111111,3.415384615384615,24.55416666666667,0.12345679012345678,,,,,,,,,,,1.0,2.0,1.0,,,2.0,2.0,,,,,,,2.0,11.0,,,2.0,,,0.6666666666666666,,,,0.5,,,,,,0.1,0.5,,,,0.5,1.0,,,,,0.2391304347826087,0.5,0.031746031746031744,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,
1628380,1610612759,Zach Collins,Zach Collins,1628380,SAS,6209.0,103,-22.0,215,212,58.0,74,22,427,9.0,12.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,5.0,9.0,,2.0,12.0,16.0,7.0,13.0,5.0,50.0,255,1.0,1.0,1.0,2.0,7.0,3.0,18.0,6.0,21.0,,9.0,5.0,,13.0,2.0,15.0,2.0,,8.0,4.0,1.0,32.0,3.0,5.0,6.0,5.0,11,8.0,19,,2.0,2.0,,5.0,1.0,2.0,2.0,,3.0,7.0,,1.0,11.0,16.0,8.0,1.0,6.0,2.0,4.0,3.0,1.0,4.0,2.0,58.0,0.75,0.75,1.0,0.5384615384615384,0.5384615384615384,0.75,1.0,0.7758620689655172,0.5,0.78125,0.5,0.4482758620689655,,,16.182572614107883,0.7142857142857143,0.1,0.1,0.10714285714285714,0.07142857142857142,0.10377358490566038,0.08695652173913043,,0.10714285714285714,0.12,0.125,,0.11363636363636363,0.08333333333333333,,0.5,0.41379310344827586,0.75,1.0,0.7777777777777778,0.06896551724137931,1.0,1.0,0.06896551724137931,0.5,0.5,0.13793103448275862,0.5,0.5,1.0,0.3103448275862069,0.5555555555555556,0.5555555555555556,1.0,0.5,,0.2,0.8620689655172413,0.5555555555555556,0.562555172413793,0.55845,0.588715,0.04,5.387500000000001,24.676923076923075,0.26976744186046514,1.0,,,,0.5,1.0,5.0,6.0,1.0,1.0,,,,5.0,1.0,3.0,16.0,,3.0,,1.0,,,,1.0,,,16.0,,2.0,,0.3333333333333333,0.7142857142857143,0.65,0.6666666666666666,0.1875,0.25,,0.17647058823529413,0.07692307692307693,,0.5,1.0,1.0,1.0,,,0.6,0.8333333333333334,0.1,1.0,0.03333333333333333,0.058823529411764705,0.32,1.0,,,,1.0,,,,,,,,,,,,,,,,True,,,,,
1629640,1610612759,Keldon Johnson,Keldon Johnson,1629640,SAS,20627.0,344,-87.0,698,708,177.0,233,87,1406,48.0,67.0,12.0,40.0,,2.0,2.0,20.0,3.0,11.0,35.0,9.0,9.0,60.0,109.0,13.0,55.0,25.0,184.0,833,7.0,13.0,12.0,19.0,30.0,16.0,68.0,52.0,33.0,6.0,35.0,11.0,,10.0,20.0,30.0,12.0,8.0,9.0,,1.0,80.0,6.0,19.0,35.0,28.0,66,26.0,92,8.0,6.0,5.0,1.0,14.0,1.0,6.0,4.0,,8.0,18.0,,4.0,14.0,23.0,29.0,3.0,36.0,1.0,7.0,6.0,1.0,8.0,3.0,177.0,0.5666666666666667,0.6415094339622641,0.8461538461538461,0.23636363636363636,0.23636363636363636,0.5504587155963303,0.5384615384615384,0.4847560975609756,0.28,0.5139664804469274,0.35185185185185186,0.3353658536585366,,,24.56359102244389,0.7777777777777778,0.18791946308724833,0.11046511627906977,0.2147239263803681,0.03592814371257485,0.20192307692307693,0.07374631268436578,0.05,0.047244094488188976,0.18309859154929578,0.1896551724137931,0.2,0.192,0.2894736842105263,0.1,0.375,0.40853658536585363,0.7164179104477612,0.75,0.5625,0.24390243902439024,0.3,0.34285714285714286,0.012195121951219513,,,0.12195121951219512,0.1,0.1,1.0,0.21341463414634146,0.3142857142857143,0.3142857142857143,0.8181818181818182,0.12,0.36,0.1956521739130435,0.7439024390243902,0.3142857142857143,0.5712643312101912,0.5794,0.5807866666666666,0.10326086956521739,3.74954128440367,24.78909090909091,0.25358166189111747,9.0,3.0,1.0,0.17647058823529413,0.36,5.0,12.0,19.0,1.0,7.0,,,5.0,13.0,3.0,7.0,42.0,14.0,8.0,,1.0,,,6.0,20.0,1.0,1.0,42.0,1.0,1.0,,0.1875,0.43333333333333335,0.3804347826086957,0.4117647058823529,0.07339449541284404,0.04477611940298507,0.125,0.1282051282051282,0.10810810810810811,,0.5833333333333334,,0.5555555555555556,,,,0.41304347826086957,0.631578947368421,0.15217391304347827,0.14285714285714285,0.11235955056179775,0.16260162601626016,0.22826086956521738,,,,,,2.0,1.0,1.0,2.0,0.05555555555555555,0.2222222222222222,,,,,,,,,,True,,,,,
1630577,1610612759,Julian Champagnie,Julian Champagnie,1630577,SAS,23760.0,396,-64.0,819,829,173.0,198,91,1648,15.0,27.0,2.0,8.0,2.0,4.0,10.0,27.0,,30.0,75.0,6.0,14.0,19.0,39.0,40.0,102.0,23.0,181.0,986,5.0,10.0,6.0,20.0,9.0,17.0,24.0,14.0,114.0,6.0,75.0,30.0,2.0,19.0,11.0,30.0,9.0,2.0,13.0,4.0,2.0,71.0,6.0,9.0,25.0,27.0,55,16.0,71,2.0,12.0,8.0,4.0,8.0,4.0,8.0,7.0,,,15.0,2.0,5.0,21.0,27.0,15.0,,25.0,,7.0,2.0,5.0,7.0,4.0,173.0,0.631578947368421,0.8,0.95,0.39215686274509803,0.39215686274509803,0.48717948717948717,0.5,0.5602836879432624,0.5,0.5993377483443708,0.5555555555555556,0.723404255319149,0.0196078431372549,0.07407407407407407,17.792068595927116,0.5333333333333333,0.15428571428571428,0.04918032786885246,0.1358695652173913,0.02912621359223301,0.14484679665738162,0.038560411311053984,,0.025806451612903226,0.15384615384615385,0.10294117647058823,0.27586206896551724,0.13768115942028986,0.13043478260869565,0.02666666666666667,0.5714285714285714,0.19148936170212766,0.5555555555555556,0.625,0.5333333333333333,0.05673758865248227,0.25,0.3333333333333333,0.028368794326241134,0.5,0.5,0.19148936170212766,0.37037037037037035,0.4,1.0,0.5319148936170213,0.4,0.4,0.9333333333333333,,0.375,0.5384615384615384,0.9148936170212766,0.4,0.5626262962962962,0.6163812500000001,0.5676596153846154,0.11049723756906077,3.938461538461538,25.28235294117647,0.21123321123321123,9.0,3.0,1.0,0.21428571428571427,0.5625,5.0,5.0,8.0,1.0,3.0,2.0,2.0,4.0,5.0,6.0,10.0,38.0,8.0,5.0,2.0,1.0,,,1.0,8.0,,,38.0,1.0,,0.3333333333333333,0.35294117647058826,0.5555555555555556,0.5384615384615384,0.6333333333333333,0.1282051282051282,0.1111111111111111,0.25,0.03614457831325301,0.07792207792207792,0.0392156862745098,1.0,1.0,0.5555555555555556,,0.3333333333333333,1.0,0.3076923076923077,0.625,0.11538461538461539,0.3333333333333333,0.07333333333333333,0.17391304347826086,0.20994475138121546,,,,,,5.0,1.0,,,0.05,0.35714285714285715,1.0,4.0,1.0,0.028846153846153848,,,,,,True,,,,,
1630572,1610612759,Sandro Mamukelashvili,Sandro Mamukelashvili,1630572,SAS,22256.0,371,13.0,777,781,210.0,236,87,1558,39.0,51.0,12.0,23.0,1.0,1.0,4.0,15.0,,33.0,74.0,5.0,16.0,52.0,75.0,37.0,89.0,27.0,242.0,869,10.0,16.0,5.0,36.0,23.0,21.0,64.0,40.0,111.0,,74.0,33.0,,15.0,7.0,22.0,6.0,1.0,10.0,4.0,1.0,51.0,23.0,10.0,35.0,33.0,72,34.0,106,1.0,11.0,8.0,3.0,13.0,2.0,10.0,5.0,,3.0,18.0,2.0,3.0,16.0,30.0,23.0,,36.0,1.0,11.0,8.0,3.0,12.0,5.0,209.0,0.6153846153846154,0.7619047619047619,1.0,0.4157303370786517,0.4157303370786517,0.6933333333333334,0.625,0.6554878048780488,0.7619047619047619,0.6722222222222223,0.72,0.5426829268292683,,,22.448979591836736,0.7222222222222222,0.20245398773006135,0.06802721088435375,0.17676767676767677,0.11794871794871795,0.1883656509695291,0.09649122807017543,0.08333333333333333,0.0958904109589041,0.21428571428571427,0.21666666666666667,0.15151515151515152,0.18,0.16666666666666666,0.014925373134328358,0.4166666666666667,0.31097560975609756,0.7647058823529411,0.8666666666666667,0.5897435897435898,0.1402439024390244,0.5217391304347826,0.5714285714285714,0.006097560975609756,1.0,1.0,0.09146341463414634,0.26666666666666666,0.26666666666666666,1.0,0.45121951219512196,0.44594594594594594,0.44594594594594594,1.0,,0.23809523809523808,0.36363636363636365,0.8536585365853658,0.44594594594594594,0.5625841772151898,0.5759818181818182,0.5582034883720931,0.1487603305785124,3.3360000000000003,25.668539325842698,0.2702702702702703,16.0,4.0,1.0,0.21052631578947367,0.7619047619047619,10.0,11.0,15.0,1.0,5.0,4.0,4.0,4.0,14.0,11.0,16.0,77.0,20.0,8.0,,2.0,1.0,,4.0,19.0,1.0,,77.0,2.0,1.0,0.8,0.5238095238095238,0.6086956521739131,0.6931818181818182,0.7,0.10666666666666667,0.11764705882352941,0.08695652173913043,0.06153846153846154,0.06896551724137931,0.1836734693877551,0.75,,0.625,0.1,0.8,1.0,0.3409090909090909,0.7333333333333333,0.11363636363636363,0.2,0.10614525139664804,0.2111111111111111,0.3181818181818182,,,,,,10.0,1.0,,,0.04,0.625,,,1.0,,1.0,1.0,,,,True,,,,,
1631110,1610612759,Jeremy Sochan,Jeremy Sochan,1631110,SAS,8343.0,139,20.0,275,281,66.0,74,39,556,17.0,28.0,2.0,12.0,,,3.0,4.0,1.0,2.0,8.0,2.0,5.0,19.0,40.0,5.0,12.0,6.0,59.0,317,2.0,5.0,3.0,7.0,5.0,5.0,34.0,4.0,12.0,3.0,6.0,1.0,,5.0,9.0,14.0,8.0,1.0,3.0,1.0,1.0,37.0,5.0,9.0,9.0,8.0,17,14.0,31,3.0,5.0,4.0,1.0,3.0,,,2.0,1.0,3.0,5.0,,2.0,6.0,14.0,10.0,,8.0,,5.0,4.0,1.0,5.0,3.0,66.0,0.8947368421052632,1.0625,0.8,0.4166666666666667,0.36363636363636365,0.475,0.4,0.5096153846153846,0.4375,0.5267857142857143,0.4375,0.23076923076923078,,,18.827160493827158,0.6,0.15384615384615385,0.11392405063291139,0.12,0.08928571428571429,0.13385826771653545,0.1037037037037037,0.125,0.07317073170731707,0.21428571428571427,0.10526315789473684,,0.0847457627118644,0.25,0.125,0.6,0.5384615384615384,0.6071428571428571,0.7083333333333334,0.8823529411764706,0.23076923076923078,0.16666666666666666,0.16666666666666666,,,,0.07692307692307693,0.75,0.75,1.0,0.15384615384615385,0.25,0.25,0.5,0.125,0.25,0.5,0.7692307692307693,0.16666666666666666,0.6020102040816326,0.5317999999999999,0.5958,0.11864406779661017,3.629999999999999,26.7,0.24,4.0,,,,0.5,2.0,2.0,4.0,,,,1.0,,2.0,2.0,2.0,12.0,6.0,4.0,,1.0,1.0,,,4.0,,,12.0,1.0,,0.3333333333333333,0.4,0.4,0.5,0.5454545454545454,0.1,0.14285714285714285,,0.03333333333333333,0.17073170731707318,0.13333333333333333,1.0,,0.5,,,,0.4,0.5,,,0.07142857142857142,0.09090909090909091,0.2033898305084746,1.0,1.0,1.0,1.0,,2.0,,,,,0.4,,,1.0,,,,1.0,1.0,,True,,,,,
