EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,SecondChanceArc3FGA,FG2M,FG2A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,OffThreePtRebounds,ShootingFouls,OffThreePtReboundPct,OffArc3ReboundPct,Charge Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefCorner3ReboundPct,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,SecondChanceFtPoints,FTOffRebounds,Offensive Fouls,RecoveredBlocks,OffFTReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,on,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,FTDefRebounds,SelfOReb,LostBallSteals,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,OffensiveGoaltends,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Travels,Clear Path Fouls,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,Charge Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,DefensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Corner3PctBlocked
1629680,1610612757,Matisse Thybulle,Matisse Thybulle,1629680,POR,499.0,8.0,6.0,16,19,13,6.0,35,1.0,2.0,1.0,2.0,1.0,2.0,3.0,11.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,13,1.0,0.5,0.5,0.5,0.75,0.75,0.75,0.75,1.0,25.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.518175,0.518175,1.0,25.6,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631104,1610612757,Blake Wesley,Blake Wesley,1631104,POR,1059.0,18.0,4.0,35,38,20,19.0,73,,2.0,,,,2.0,11.0,31.0,,,9.0,,2.0,,,,,,,,,,1.0,1.0,,2.0,1.0,9.0,20,,,,,0.5555555555555556,0.8,0.5,0.75,0.2222222222222222,32.5,0.5,0.2222222222222222,,,,,,0.8888888888888888,,0.6689833333333334,0.6502000000000001,0.8181818181818182,25.25,0.5714285714285714,4.0,5.0,6.0,1.0,1.0,4.0,4.0,1.0,1.0,5.0,7.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,4.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,0.4,0.5,0.7142857142857143,1.0,0.8,0.5,0.5,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.2,0.125,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.25,0.2,0.6666666666666666,0.8333333333333334,1.0,0.4,0.1111111111111111,0.5,1.0,0.5,0.8,1.0,0.8716,0.18181818181818182,0.2222222222222222,0.18181818181818182,1.6428571428571428,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631200,1610612757,Kris Murray,Kris Murray,1631200,POR,1165.0,19.0,2.0,38,42,23,20.0,80,,2.0,,,,2.0,4.0,36.0,,,,,2.0,,1.0,,1.0,,1.0,2.0,,,,,,,,,23,,,,,0.5,,0.5,,0.5,9.30232558139535,,0.5,,,,,,1.0,,0.664825,,,24.7,0.6052631578947368,4.0,2.0,2.0,1.0,1.0,,,,,2.0,2.0,,1.0,1.0,,2.0,,,,,4.0,2.0,,,1.0,,1.0,2.0,3.0,,,3.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,0.1111111111111111,0.0625,0.13333333333333333,,,0.2,0.5,1.0,1.0,,,1.0,1.0,,,,,,,0.5,0.55,2.0,1.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631321,1610612757,Sidy Cissoko,Sidy Cissoko,1631321,POR,1053.0,18.0,-1.0,34,37,22,20.0,71,,1.0,,1.0,,1.0,1.0,34.0,,1.0,1.0,,1.0,,2.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,,,,,,1.0,22,,,,,,,0.16666666666666666,0.16666666666666666,0.5,7.692307692307692,,0.5,,,,0.5,,0.5,,0.4823,0.4823,1.0,26.1,0.6470588235294118,4.0,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,3.0,,3.0,1.0,4.0,,,,3.0,2.0,,,,,,,,,,,,,,0.42857142857142855,0.23076923076923078,0.07142857142857142,,,0.25,,,,,0.5,,,,,,,,,,4.4,1.0,,0.1111111111111111,0.1111111111111111,1.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643257,1610612757,Jayson Kent,Jayson Kent,1643257,POR,1165.0,19.0,2.0,38,42,23,20.0,80,1.0,3.0,1.0,2.0,1.0,3.0,10.0,36.0,1.0,2.0,5.0,3.0,3.0,1.0,,,,,,,1.0,1.0,,,,,,5.0,23,1.0,0.3333333333333333,0.5,0.3333333333333333,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,13.953488372093023,,0.5,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,0.6211083333333334,0.5982,0.5,25.833333333333332,0.6052631578947368,4.0,3.0,3.0,,,1.0,1.0,,,3.0,3.0,1.0,,,,,1.0,1.0,,4.0,2.0,,,,4.0,,4.0,,4.0,,,1.0,1.0,1.0,1.0,,0.6666666666666666,0.6666666666666666,1.0,,1.0,,,,,,,0.4444444444444444,0.25,,,,0.4,0.5,1.0,1.0,0.6666666666666666,,,,,0.3333333333333333,1.0,,0.16666666666666666,0.3333333333333333,,1.8333333333333333,,1.0,,,,,,,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642905,1610612757,Yang Hansen,Yang Hansen,1642905,POR,645.0,11.0,1.0,22,23,7,13.0,45,,2.0,,1.0,,2.0,6.0,22.0,,1.0,2.0,,2.0,,,,,,,,,,1.0,1.0,,2.0,,2.0,7,,,,,0.2,,0.42857142857142855,0.5,0.4,33.33333333333333,0.5,0.4,,,,1.0,,1.0,,0.61406,0.46935,0.3333333333333333,27.1,0.3181818181818182,4.0,1.0,3.0,,1.0,,,,,1.0,3.0,4.0,,1.0,,2.0,,,2.0,2.0,,,,,,3.0,3.0,1.0,4.0,,1.0,3.0,4.0,4.0,1.0,,1.0,1.0,0.3333333333333333,,,,0.5,,,0.5,,,0.3,,,0.5,,0.6,0.3333333333333333,0.3333333333333333,1.0,,1.0,,,,,,0.16666666666666666,0.25,0.3333333333333333,1.8666666666666665,,2.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630703,1610612757,Scoot Henderson,Scoot Henderson,1630703,POR,106.0,2.0,-2.0,3,4,3,1.0,7,,,,,,,3.0,5.0,,,3.0,,,,,,,,,,,,,,,1.0,1.0,3.0,3,,,,,1.0,1.0,0.75,0.75,,100.0,,,,,,,,,,0.4349,0.4349,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,12.4,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201950,1610612757,Jrue Holiday,Jrue Holiday,201950,POR,106.0,2.0,-2.0,3,4,3,1.0,7,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641739,1610612757,Toumani Camara,Toumani Camara,1641739,POR,27.0,,,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629057,1610612757,Robert Williams III,Robert Williams III,1629057,POR,58083.2,968.0,41.0,2021,2029,708,710.0,4050,1.0,4.0,,1.0,7.0,21.0,378.0,2252.0,2.0,11.0,129.0,21.0,4.0,1.0,33.0,26.0,59.0,21.0,24.0,144.0,32.0,25.0,29.0,18.0,11.0,48.0,12.0,129.0,705,1.0,0.3333333333333333,0.18181818181818182,0.3333333333333333,0.7259414225941423,0.6962025316455697,0.7159090909090909,0.6861702127659575,0.08786610878661087,13.237165888841748,0.6041666666666666,0.016736401673640166,0.25,0.25,1.0,0.012658227848101266,,0.8410041841004184,0.25,0.6172675732217572,0.6139987341772154,0.3412698412698413,23.77619047619048,0.3503216229589312,290.0,142.0,180.0,49.0,69.0,47.0,61.0,30.0,1.0,163.0,218.0,31.0,53.0,74.0,3.0,112.0,52.0,68.0,19.0,226.0,100.0,84.0,12.0,79.0,102.0,129.0,259.0,136.0,395.0,3.0,19.0,71.0,41.0,53.0,22.0,3.0,0.6932515337423313,0.9338842975206612,0.7477064220183486,0.7162162162162162,0.7647058823529411,0.6883116883116883,0.6829268292682927,0.05504587155963303,0.03888888888888889,0.2471264367816092,0.18944844124700239,0.23129251700680273,0.2398753894080997,0.14377682403433475,0.22929936305732485,0.2962962962962963,0.2345679012345679,0.7531380753138075,0.7888888888888889,0.8208092485549133,0.6619718309859155,0.12552301255230125,0.8961038961038961,0.7101449275362319,0.012987012987012988,0.7721518987341772,0.7704918032786885,0.6061106557377048,0.08527131782945736,0.09282700421940929,0.2962962962962963,2.546330275229357,55.0,54.0,0.10679611650485436,0.10497237569060773,,,6.0,6.0,0.2222222222222222,3.0,67.0,28.0,85.0,6.0,2.0,5.0,55.0,0.03076923076923077,0.15760869565217392,0.6470588235294118,17.0,0.5666666666666667,0.68,False,4.0,8.0,6.0,17.0,2.0,2.0,10.0,5.0,5.0,4.0,28.0,10.0,7.0,1.0,1.0,13.0,4.0,9.0,18.0,14.0,4.0,4.0,35.0,5.0,9.0,0.16666666666666666,0.4444444444444444,0.20526315789473684,0.05714285714285714,0.1111111111111111,0.29473684210526313,0.17857142857142858,0.9411764705882353,0.03347280334728033,0.5,0.5,0.75,0.07112970711297072,0.35294117647058826,0.35294117647058826,1.0,0.08163265306122448,0.025974025974025976,0.12658227848101267,0.2,,,,,,,,,,,,,,,,,,,,,,
