EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGA,PenaltyCorner3FGA,SelfOReb,SecondChanceTurnovers,Loose Ball Fouls Drawn,BlockedAtRim,RecoveredBlocks,ShortMidRangePctBlocked,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,ShortMidRangeAssists,BlockedLongMidRange,Corner3FGM,PenaltyCorner3FGM,Fg3aBlocked,FTOffRebounds,Technical Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffFTReboundPct,DefLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,LostBallOutOfBoundsTurnovers,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls Drawn,3pt And 1 Free Throw Trips,StepOutOfBoundsTurnovers,OffensiveGoaltends,Blocked3s,BlockedArc3,BlockedCorner3,on,LongMidRangePctBlocked,Defensive 3 Seconds Violations
1627783,1610612754,Pascal Siakam,Pascal Siakam,1627783,IND,11880.499999999998,198,-33.0,419,426,133.0,138,57,845,20.0,29.0,2.0,3.0,5.0,7.0,20.0,43.0,5.0,17.0,1.0,11.0,24.0,1.0,5.0,4.0,10.0,45.0,89.0,11.0,25.0,27.0,150.0,516,4.0,7.0,1.0,5.0,2.0,13.0,13.0,27.0,4.0,10.0,3.0,41.0,32.0,58.0,24.0,9.0,2.0,24.0,11.0,1.0,14.0,18.0,32.0,16.0,2.0,13.0,1.0,82.0,4.0,4.0,12.0,10.0,4.0,26.0,8.0,34.0,7.0,4.0,3.0,8.0,2.0,5.0,5.0,3.0,1.0,13.0,4.0,10.0,20.0,1.0,3.0,1.0,30.0,3.0,42.0,7.0,21.0,1.0,2.0,1.0,1.0,1.0,1.0,41.0,132.0,6.0,1.0,0.35555555555555557,0.36363636363636365,0.7272727272727273,0.44,0.2,0.4,0.44,0.5056179775280899,0.5714285714285714,0.48148148148148145,0.5394736842105263,0.4583333333333333,0.5135135135135135,0.5725190839694656,0.5,0.5125,0.21929824561403508,0.011235955056179775,0.034482758620689655,29.447852760736197,0.6153846153846154,0.2857142857142857,0.11235955056179775,0.03773584905660377,0.13793103448275862,0.038461538461538464,0.125,0.0380952380952381,0.07407407407407407,0.03488372093023256,0.05555555555555555,0.17142857142857143,0.1111111111111111,0.1643835616438356,0.2543859649122807,0.6896551724137931,0.7142857142857143,0.55,0.37719298245614036,0.46511627906976744,0.46511627906976744,0.2,0.14912280701754385,0.29411764705882354,0.29411764705882354,0.2,0.008771929824561403,0.21052631578947367,0.4583333333333333,0.4583333333333333,0.7272727272727273,0.25,0.6666666666666666,0.5,0.4166666666666667,0.2,1.0,0.1891891891891892,0.7142857142857143,0.2702702702702703,0.4,0.47368421052631576,0.4583333333333333,0.4895311403508772,0.5085050000000001,0.48392027027027024,0.17054263565891473,0.20388349514563106,0.038461538461538464,0.08666666666666667,0.2733333333333333,8.628089887640447,26.044000000000004,0.31742243436754175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1628396,1610612754,Tony Bradley,Tony Bradley,1628396,IND,4736.9,79,-49.0,162,162,40.0,69,30,324,11.0,16.0,5.0,9.0,3.0,3.0,4.0,5.0,,,1.0,,,,,,,15.0,21.0,,1.0,6.0,36.0,205,6.0,10.0,,1.0,1.0,13.0,4.0,4.0,,1.0,1.0,9.0,18.0,12.0,,,10.0,,,2.0,3.0,1.0,4.0,,1.0,2.0,1.0,9.0,3.0,14.0,6.0,1.0,2.0,9.0,17.0,26.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,,5.0,11.0,,3.0,,8.0,,11.0,1.0,4.0,,2.0,1.0,,1.0,,9.0,40.0,5.0,2.0,0.6,0.9,,,,,,0.7142857142857143,0.6,1.0,0.6818181818181818,0.5454545454545454,0.8,0.6666666666666666,0.5416666666666666,0.6428571428571429,0.045454545454545456,0.09523809523809523,0.0625,14.215686274509803,0.5,0.5,0.03333333333333333,0.2545454545454545,0.13953488372093023,0.06521739130434782,0.0958904109589041,0.16831683168316833,0.2962962962962963,0.07894736842105263,,,0.058823529411764705,0.03571428571428571,0.7272727272727273,0.6875,0.7333333333333333,0.5454545454545454,0.22727272727272727,0.8,1.0,0.75,,,,,0.045454545454545456,,,,,0.8181818181818182,0.5555555555555556,,,,,0.6,1.0,,,0.7727272727272727,,0.5739818181818183,0.592375,0.58526,0.16,0.16666666666666666,,0.3611111111111111,0.25,2.4476190476190474,23.0,0.24691358024691357,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.2,0.22727272727272727,0.16666666666666666,0.3333333333333333,0.4,1.0,0.09090909090909091,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1628420,1610612754,Monté Morris,Monté Morris,1628420,IND,2211.0,37,-19.0,81,78,31.0,33,12,159,2.0,3.0,,,,,,3.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,,1.0,3.0,7.0,2.0,6.0,,12.0,85,,,1.0,2.0,,3.0,1.0,4.0,,1.0,,2.0,6.0,,6.0,,,4.0,2.0,,5.0,2.0,7.0,2.0,,2.0,,16.0,,1.0,3.0,1.0,,4.0,1.0,5.0,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,1.0,,2.0,31.0,,,1.0,1.0,1.0,0.3333333333333333,0.5,,0.3333333333333333,0.42857142857142855,,0.25,0.46153846153846156,0.75,0.2,0.46153846153846156,0.75,0.2,0.46153846153846156,,,14.73684210526316,1.0,,0.06666666666666667,0.041666666666666664,0.125,,0.10256410256410256,0.022222222222222223,,,,,0.1111111111111111,0.07142857142857142,0.23076923076923078,0.6666666666666666,0.6666666666666666,1.0,0.23076923076923078,,,,0.07692307692307693,1.0,1.0,1.0,0.15384615384615385,0.3076923076923077,0.5,0.5,1.0,,,,0.5,1.0,1.0,,,0.2,,0.6923076923076923,0.5,0.5371423076923076,0.555675,0.45381,,,,0.25,0.16666666666666666,6.2285714285714295,24.75,0.38271604938271603,1.0,,,,,,1.0,,0.09090909090909091,,0.2,,1.0,0.5,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1630174,1610612754,Aaron Nesmith,Aaron Nesmith,1630174,IND,12039.099999999999,201,-31.0,419,426,126.0,109,63,845,9.0,17.0,,1.0,5.0,7.0,3.0,15.0,2.0,6.0,13.0,11.0,38.0,1.0,6.0,5.0,13.0,14.0,38.0,16.0,51.0,24.0,100.0,493,1.0,4.0,1.0,8.0,1.0,6.0,6.0,13.0,8.0,20.0,8.0,44.0,24.0,4.0,45.0,3.0,,38.0,11.0,5.0,7.0,3.0,10.0,2.0,1.0,1.0,,23.0,8.0,2.0,8.0,9.0,1.0,18.0,11.0,29.0,6.0,4.0,2.0,2.0,,,3.0,2.0,1.0,5.0,1.0,7.0,13.0,,,2.0,23.0,5.0,29.0,2.0,10.0,1.0,2.0,1.0,,1.0,,44.0,125.0,,2.0,0.8571428571428571,0.8571428571428571,0.9375,0.3137254901960784,0.125,0.4,0.3137254901960784,0.3684210526315789,0.25,0.46153846153846156,0.42696629213483145,0.20833333333333334,0.5454545454545454,0.49,0.20833333333333334,0.5945945945945946,0.5730337078651685,0.13157894736842105,0.23529411764705882,21.255060728744937,0.4,0.09090909090909091,0.09782608695652174,0.016129032258064516,0.09090909090909091,0.0761904761904762,0.09444444444444444,0.043668122270742356,0.017857142857142856,0.08139534883720931,0.05263157894736842,0.03125,0.15384615384615385,0.05714285714285714,0.19101123595505617,0.5294117647058824,0.6923076923076923,0.8888888888888888,0.16853932584269662,0.2,0.21428571428571427,0.6666666666666666,0.06741573033707865,0.3333333333333333,0.3333333333333333,1.0,0.14606741573033707,0.42696629213483145,0.2894736842105263,0.2972972972972973,0.9090909090909091,0.08333333333333333,,,0.5,0.16666666666666666,1.0,0.21212121212121213,0.7142857142857143,0.3939393939393939,0.38461538461538464,0.7640449438202247,0.2894736842105263,0.5357089887640448,0.48928333333333335,0.5162787878787879,0.11224489795918367,0.21739130434782608,0.019230769230769232,0.06,0.44,7.563157894736841,25.560784313725485,0.30071599045346065,2.0,7.0,2.0,1.0,1.0,1.0,,0.06666666666666667,0.02127659574468085,,0.2222222222222222,0.04081632653061224,,0.16666666666666666,0.21212121212121213,6.0,,5.0,3.0,2.0,1.0,4.0,0.0392156862745098,0.07692307692307693,0.02631578947368421,0.07692307692307693,0.09523809523809523,0.38461538461538464,0.4166666666666667,1.0,0.42857142857142855,,,,,,,,,,,,True,,
1641716,1610612754,Jarace Walker,Jarace Walker,1641716,IND,20946.1,349,-101.0,733,741,224.0,240,105,1474,11.0,25.0,4.0,7.0,6.0,8.0,11.0,42.0,1.0,6.0,7.0,15.0,58.0,3.0,6.0,3.0,13.0,23.0,73.0,18.0,65.0,24.0,124.0,890,6.0,13.0,4.0,7.0,,24.0,11.0,20.0,4.0,15.0,13.0,47.0,20.0,26.0,45.0,9.0,6.0,58.0,15.0,4.0,24.0,15.0,39.0,12.0,3.0,21.0,,93.0,4.0,3.0,32.0,17.0,4.0,53.0,9.0,62.0,5.0,2.0,3.0,17.0,5.0,7.0,8.0,10.0,2.0,25.0,8.0,17.0,25.0,,1.0,,25.0,,29.0,2.0,15.0,,1.0,7.0,2.0,7.0,,47.0,223.0,1.0,1.0,0.43478260869565216,0.5,0.8333333333333334,0.27692307692307694,0.5714285714285714,0.26666666666666666,0.27692307692307694,0.3150684931506849,0.46153846153846156,0.55,0.36231884057971014,0.6,0.4857142857142857,0.40789473684210525,0.5714285714285714,0.5595238095238095,0.47101449275362317,0.0547945205479452,0.08,20.60535506402794,0.68,0.18181818181818182,0.10897435897435898,0.014634146341463415,0.18497109826589594,0.02127659574468085,0.14893617021276595,0.017811704834605598,0.010101010101010102,0.026490066225165563,,0.08333333333333333,0.10144927536231885,0.20610687022900764,0.18115942028985507,0.44,0.4782608695652174,0.7272727272727273,0.30434782608695654,0.2619047619047619,0.275,0.18181818181818182,0.043478260869565216,0.16666666666666666,0.16666666666666666,,0.050724637681159424,0.42028985507246375,0.25862068965517243,0.25862068965517243,0.8,0.35,0.5714285714285714,0.25,0.3,0.5,1.0,0.22857142857142856,0.75,0.37142857142857144,0.23076923076923078,0.6521739130434783,0.25862068965517243,0.5090583333333335,0.5206066666666668,0.5083528571428572,0.09933774834437085,0.1744186046511628,,0.1935483870967742,0.3790322580645161,7.054794520547947,25.672307692307687,0.30559345156889495,1.0,2.0,2.0,4.0,,4.0,4.0,0.047619047619047616,0.013888888888888888,0.029411764705882353,0.11904761904761904,0.021739130434782608,0.5714285714285714,0.05,0.05714285714285714,3.0,1.0,3.0,1.0,,2.0,,,,,0.07407407407407407,0.18518518518518517,0.42857142857142855,0.42857142857142855,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,True,,
1628998,1610612754,Cody Martin,Cody Martin,1628998,IND,1291.6999999999998,22,-8.0,44,48,17.0,25,8,92,,,,,,,,2.0,,,1.0,,2.0,,,,,,2.0,,3.0,,,50,,,,,,,,,,1.0,,,,,,,,2.0,,1.0,,1.0,1.0,1.0,,,,3.0,,1.0,7.0,,,7.0,1.0,8.0,1.0,1.0,,,1.0,,1.0,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,0.6,0.5,,11.11111111111111,,,,0.07142857142857142,0.3888888888888889,,0.25925925925925924,0.03571428571428571,,,,,,0.5,,,,,0.4,,,,,,,,0.2,0.4,,,,,,,,,,,,,,0.6,,0.50874,,0.59745,,,,,,9.1,24.5,0.38636363636363635,,1.0,,,,,,0.5,0.16666666666666666,,0.16666666666666666,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1643007,1610612754,Taelon Peter,Taelon Peter,1643007,IND,2038.0,34,-13.0,72,74,12.0,23,7,146,,,,,,,,,,,3.0,2.0,3.0,,,,1.0,,,3.0,6.0,,9.0,88,,,,,,,,,,1.0,,,,,9.0,,,3.0,2.0,,2.0,2.0,4.0,2.0,,2.0,,10.0,1.0,,1.0,2.0,,3.0,1.0,4.0,2.0,,2.0,,3.0,,4.0,,,4.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,12.0,,,,,1.0,0.5,,,0.5,,,,0.75,,,0.75,,,1.0,,,12.658227848101266,,,0.11764705882352941,,0.045454545454545456,0.047619047619047616,0.07692307692307693,0.027777777777777776,,0.0625,,,0.3333333333333333,,,,,,,,,,,,,,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,1.0,,1.0,0.6666666666666666,0.5073250000000001,,0.4275,,,,,,,27.183333333333337,0.16666666666666666,,,,,,,,,,,0.5,,,,,,,1.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,True,,
1629614,1610612754,Andrew Nembhard,Andrew Nembhard,1629614,IND,3775.0,63,-22.0,131,128,40.0,46,19,259,1.0,3.0,,,,2.0,3.0,6.0,2.0,7.0,1.0,4.0,15.0,,,2.0,3.0,6.0,16.0,4.0,16.0,12.0,36.0,173,,1.0,,,,,1.0,6.0,2.0,3.0,7.0,15.0,4.0,8.0,3.0,9.0,,15.0,4.0,,11.0,5.0,16.0,4.0,1.0,7.0,,37.0,,,2.0,,,2.0,,2.0,,,,3.0,,2.0,1.0,1.0,,4.0,2.0,2.0,5.0,,,1.0,11.0,,12.0,1.0,5.0,,1.0,,,,,15.0,40.0,,1.0,0.3333333333333333,0.3333333333333333,0.25,0.25,,0.6666666666666666,0.25,0.375,,0.16666666666666666,0.375,,0.4444444444444444,0.47297297297297297,,0.625,0.5,,,26.623376623376622,0.75,,,,0.07407407407407407,,0.04,,,,,,,0.05263157894736842,0.09375,0.3333333333333333,0.3333333333333333,,0.1875,0.5,0.5,0.3333333333333333,0.21875,0.2857142857142857,0.2857142857142857,0.5,0.03125,0.46875,0.26666666666666666,0.2857142857142857,0.25,,,,,,,0.2222222222222222,,0.3333333333333333,0.6666666666666666,0.59375,0.26666666666666666,0.496521875,0.3771,0.48175555555555555,0.1388888888888889,0.25,,,0.4166666666666667,11.631249999999998,26.46875,0.3053435114503817,,,,1.0,,,,,,,0.125,,,,,4.0,,,,1.0,,1.0,0.0625,,0.06666666666666667,,,,,,,,,,,1.0,,,,,,,True,,
1641767,1610612754,Ben Sheppard,Ben Sheppard,1641767,IND,9580.2,160,-73.0,336,334,130.0,115,50,670,7.0,12.0,1.0,1.0,2.0,4.0,3.0,6.0,1.0,3.0,6.0,4.0,17.0,,2.0,1.0,6.0,11.0,21.0,6.0,23.0,3.0,43.0,440,2.0,2.0,,2.0,2.0,6.0,3.0,6.0,1.0,7.0,1.0,10.0,16.0,6.0,15.0,3.0,2.0,17.0,4.0,2.0,5.0,6.0,11.0,4.0,2.0,2.0,,28.0,4.0,4.0,11.0,10.0,3.0,24.0,8.0,32.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,,,2.0,1.0,13.0,17.0,,,,6.0,1.0,4.0,,1.0,,1.0,1.0,1.0,1.0,,10.0,130.0,1.0,1.0,0.7272727272727273,0.8,0.8333333333333334,0.2608695652173913,,0.14285714285714285,0.2608695652173913,0.5238095238095238,1.0,0.5,0.45454545454545453,0.5,0.34615384615384615,0.4673913043478261,0.6,0.35714285714285715,0.5227272727272727,0.09523809523809523,0.08333333333333333,12.090680100755668,0.5,0.25,0.15873015873015872,0.041666666666666664,0.15714285714285714,0.04938271604938271,0.15789473684210525,0.04519774011299435,0.045454545454545456,0.04477611940298507,0.07142857142857142,0.041666666666666664,0.19230769230769232,0.16326530612244897,0.2727272727272727,0.5833333333333334,0.6363636363636364,0.5714285714285714,0.13636363636363635,0.5,0.6,1.0,0.06818181818181818,0.3333333333333333,0.3333333333333333,1.0,0.13636363636363635,0.38636363636363635,0.23529411764705882,0.23529411764705882,0.75,0.25,1.0,,0.5,,,0.3076923076923077,0.5,0.46153846153846156,0.16666666666666666,0.7954545454545454,0.23529411764705882,0.5442431818181819,0.51805,0.5206461538461539,0.022222222222222223,0.045454545454545456,,0.13953488372093023,0.23255813953488372,5.804761904761905,26.139130434782604,0.3869047619047619,,1.0,1.0,1.0,1.0,,,0.16666666666666666,0.03125,0.05,0.14285714285714285,0.041666666666666664,,,0.07692307692307693,3.0,,2.0,,1.0,,,0.043478260869565216,0.16666666666666666,,,0.3076923076923077,0.3333333333333333,0.4,1.0,,,,,,,,,,,,,True,,
204456,1610612754,T.J. McConnell,T.J. McConnell,204456,IND,1007.0,17,-37.0,36,36,10.0,17,4,72,,2.0,,,,1.0,4.0,6.0,,1.0,1.0,,2.0,,,,,4.0,9.0,1.0,3.0,,11.0,60,,,1.0,1.0,,3.0,,1.0,1.0,1.0,,3.0,6.0,2.0,3.0,,,2.0,,1.0,2.0,,2.0,,,,,4.0,,1.0,,,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,2.0,2.0,,,,2.0,2.0,,,,,,,,,,3.0,10.0,,,0.75,0.75,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.4444444444444444,,,0.4583333333333333,1.5,0.75,0.4583333333333333,1.5,0.75,0.25,0.1111111111111111,,30.0,,0.5,,0.0625,,,,0.038461538461538464,0.125,,,,,,0.16666666666666666,,,,0.5,0.6666666666666666,0.8,0.75,0.08333333333333333,,,,0.08333333333333333,0.16666666666666666,,,,,,,,,,0.5,,,,0.4166666666666667,,0.4711166666666667,0.57105,0.588275,,,,0.2727272727272727,0.2727272727272727,8.622222222222222,24.433333333333334,0.2777777777777778,1.0,1.0,,,,,,0.16666666666666666,,,,,,1.0,0.5,2.0,,1.0,1.0,1.0,,,0.3333333333333333,,0.5,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,True,,
