EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGA,SecondChanceFG3A,Arc3Assists,BlockedShortMidRange,SecondChanceCorner3Frequency,SecondChanceArc3FGA,PtsUnassisted3s,LostBallSteals,BadPassOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,RecoveredBlocks,Defensive 3 Seconds Violations,AtRimPctBlocked,LongMidRangePctBlocked,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,FTOffRebounds,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,Charge Fouls Drawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,on,3pt And 1 Free Throw Trips,Arc3PctBlocked,DefensiveGoaltends
1628374,1610612762,Lauri Markkanen,Lauri Markkanen,1628374,UTA,10454.300000000001,174,-64,379,374,160,179,42.0,753,17.0,23.0,3.0,7.0,3.0,5.0,6.0,15.0,4.0,10.0,5.0,11.0,3.0,4.0,8.0,31.0,3.0,12.0,27.0,48.0,13.0,42.0,28.0,121,464,3.0,7.0,1.0,7.0,9.0,16.0,6.0,16.0,13.0,49,42.0,12.0,39.0,4.0,31.0,8.0,3.0,5.0,3.0,8.0,3.0,2.0,2.0,1.0,19.0,9.0,4.0,7.0,7.0,2.0,16.0,13.0,29,3.0,6.0,6.0,5.0,4.0,2.0,2.0,1.0,7.0,2.0,8.0,12,3.0,24.0,1.0,31.0,3.0,2.0,10.0,1.0,4.0,1.0,1.0,1.0,47,157,1.0,4.0,0.7777777777777778,0.84,1.0,0.30952380952380953,0.375,0.30952380952380953,0.5625,0.42857142857142855,0.5625,0.5166666666666667,0.42857142857142855,0.5625,0.5833333333333334,0.4375,0.6282051282051282,0.4666666666666667,0.0625,0.2,25.526932084309134,0.7142857142857143,0.2857142857142857,0.07446808510638298,0.056338028169014086,0.08433734939759036,0.09278350515463918,0.07909604519774012,0.07738095238095238,0.0625,0.05,0.06666666666666667,0.08333333333333333,0.12,0.08333333333333333,0.08333333333333333,0.1,0.06521739130434782,0.25555555555555554,0.7391304347826086,0.7391304347826086,0.7647058823529411,0.16666666666666666,0.4,0.5,0.8333333333333334,0.1111111111111111,0.4,0.4,0.75,0.12222222222222222,0.45454545454545453,0.45454545454545453,1.0,0.34444444444444444,0.25806451612903225,0.25806451612903225,1.0,1.0,0.42857142857142855,0.3333333333333333,0.15625,0.6,0.125,0.75,0.375,0.25,0.7222222222222222,0.25806451612903225,0.5270622222222221,0.61785,0.509853125,0.11224489795918367,0.18181818181818182,0.023255813953488372,0.05785123966942149,0.4049586776859504,7.214583333333334,25.640476190476186,0.42216358839050133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1629004,1610612762,Svi Mykhailiuk,Svi Mykhailiuk,1629004,UTA,3692.4,62,-64,134,138,36,51,17.0,272,2.0,2.0,,,1.0,1.0,2.0,3.0,,,2.0,7.0,,2.0,,2.0,,1.0,4.0,5.0,2.0,9.0,1.0,15,177,,,,,2.0,2.0,,3.0,1.0,5,8.0,,6.0,,2.0,,,4.0,2.0,6.0,1.0,3.0,1.0,,14.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,6,,,,1.0,,1.0,1.0,1.0,2.0,,3.0,6,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,5,36,1.0,,1.0,1.0,1.0,0.2222222222222222,,0.2222222222222222,0.8,,1.0,0.5,,0.4,0.5357142857142857,,0.5,0.6428571428571429,,,10.457516339869281,0.5,0.25,0.02857142857142857,0.03333333333333333,0.08,0.023809523809523808,0.05,0.027777777777777776,0.14285714285714285,,,0.037037037037037035,,,0.041666666666666664,0.1,,0.14285714285714285,1.0,1.0,1.0,0.21428571428571427,0.6666666666666666,0.6666666666666666,1.0,,,,,0.5,0.2857142857142857,0.2857142857142857,1.0,0.14285714285714285,,,,,,,0.2,1.0,0.4,,0.2,,0.7857142857142857,,0.5308749999999999,0.54345,0.5354599999999999,0.07142857142857142,0.2,,,0.3333333333333333,5.220000000000001,23.766666666666666,0.26865671641791045,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1641718,1610612762,Keyonte George,Keyonte George,1641718,UTA,9645.5,161,-106,347,349,141,145,36.0,696,6.0,11.0,,1.0,2.0,4.0,16.0,34.0,7.0,14.0,4.0,7.0,,,10.0,35.0,3.0,14.0,29.0,59.0,14.0,42.0,30.0,130,465,1.0,2.0,,2.0,13.0,28.0,3.0,14.0,15.0,50,36.0,22.0,36.0,,35.0,10.0,11.0,12.0,3.0,15.0,1.0,5.0,7.0,,33.0,1.0,,6.0,9.0,2.0,17.0,1.0,18,,4.0,3.0,12.0,4.0,10.0,1.0,8.0,22.0,1.0,4.0,17,,19.0,,33.0,2.0,,13.0,1.0,3.0,1.0,,1.0,46,138,5.0,1.0,0.6206896551724138,0.6206896551724138,0.8571428571428571,0.3333333333333333,0.21428571428571427,0.3333333333333333,0.4915254237288136,0.5,0.4642857142857143,0.49504950495049505,0.3333333333333333,0.4166666666666667,0.5603448275862069,0.3333333333333333,0.5102040816326531,0.4158415841584158,0.1864406779661017,0.20588235294117646,35.56701030927835,0.5454545454545454,0.25,0.10465116279069768,,0.08695652173913043,0.010869565217391304,0.0967741935483871,0.006211180124223602,,,,0.014492753623188406,,0.10526315789473684,0.10909090909090909,0.07407407407407407,,0.10891089108910891,0.5454545454545454,0.75,0.8333333333333334,0.33663366336633666,0.47058823529411764,0.5925925925925926,0.5,0.13861386138613863,0.5,0.5384615384615384,0.7142857142857143,0.06930693069306931,0.5714285714285714,0.5714285714285714,1.0,0.3465346534653465,0.2857142857142857,0.2857142857142857,0.8,0.3333333333333333,,,0.09523809523809523,0.5,,,0.3333333333333333,0.21428571428571427,0.5247524752475248,0.2857142857142857,0.4841990099009901,0.5871999999999999,0.45825238095238097,0.12389380530973451,0.18571428571428572,0.023255813953488372,0.015384615384615385,0.38461538461538464,9.425423728813561,25.109523809523807,0.40634005763688763,,1.0,2.0,1.0,,1.0,6.0,1.0,1.0,2.0,10.0,1.0,3.0,1.0,1.0,1.0,0.2727272727272727,0.07142857142857142,0.08333333333333333,0.13333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,True,,,
1641729,1610612762,Brice Sensabaugh,Brice Sensabaugh,1641729,UTA,9209.2,153,-16,328,326,134,135,35.0,654,4.0,7.0,,,2.0,3.0,9.0,16.0,2.0,4.0,7.0,14.0,2.0,5.0,6.0,32.0,3.0,12.0,15.0,27.0,13.0,46.0,9.0,78,383,,1.0,1.0,1.0,6.0,11.0,5.0,17.0,3.0,30,22.0,8.0,39.0,,32.0,6.0,3.0,7.0,3.0,10.0,,5.0,1.0,1.0,23.0,5.0,3.0,9.0,6.0,,15.0,8.0,23,,9.0,6.0,3.0,2.0,4.0,,1.0,7.0,,8.0,13,1.0,9.0,,12.0,2.0,,6.0,,1.0,3.0,1.0,3.0,30,131,3.0,1.0,0.7333333333333333,0.7333333333333333,1.0,0.2826086956521739,0.29411764705882354,0.2826086956521739,0.5555555555555556,,0.5454545454545454,0.4726027397260274,,0.48214285714285715,0.5,0.125,0.5,0.6301369863013698,0.1111111111111111,0.0625,22.972972972972972,0.42857142857142855,,0.07894736842105263,0.046875,0.11538461538461539,0.05747126436781609,0.09740259740259741,0.052980132450331126,,0.058823529411764705,0.07692307692307693,0.04411764705882353,0.10526315789473684,0.05263157894736842,0.0851063829787234,0.12307692307692308,,0.0958904109589041,0.5714285714285714,0.8,1.0,0.2191780821917808,0.5625,0.6,0.6666666666666666,0.0547945205479452,0.5,0.5,0.5,0.1917808219178082,0.5,0.5,1.0,0.4383561643835616,0.1875,0.1875,1.0,,,,0.10714285714285714,0.6666666666666666,0.17857142857142858,0.4,0.42857142857142855,0.25,0.726027397260274,0.1875,0.5240671232876712,0.4656,0.5150982142857143,0.07792207792207792,0.1935483870967742,,0.01282051282051282,0.38461538461538464,8.492592592592594,25.421739130434784,0.40853658536585363,1.0,2.0,3.0,2.0,0.3333333333333333,1.0,,3.0,,,2.0,,1.0,,2.0,,0.2857142857142857,,0.1,0.07692307692307693,0.6666666666666666,0.3333333333333333,2.0,,,,,,,,,,,,,,,,,,True,,,
1642268,1610612762,Isaiah Collier,Isaiah Collier,1642268,UTA,16578.9,276,-111,600,600,247,260,67.0,1200,15.0,20.0,,1.0,7.0,9.0,13.0,31.0,,1.0,,2.0,,,4.0,10.0,2.0,6.0,28.0,52.0,4.0,12.0,30.0,98,752,2.0,4.0,2.0,6.0,12.0,19.0,2.0,6.0,13.0,43,18.0,38.0,9.0,,10.0,4.0,12.0,37.0,32.0,69.0,15.0,13.0,17.0,7.0,170.0,1.0,2.0,17.0,9.0,,26.0,3.0,29,1.0,7.0,4.0,18.0,13.0,13.0,1.0,5.0,31.0,1.0,13.0,26,,25.0,1.0,42.0,4.0,,17.0,,6.0,3.0,,5.0,43,244,3.0,6.0,0.32142857142857145,0.32142857142857145,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5384615384615384,0.5,0.631578947368421,0.53125,0.2857142857142857,0.6,0.5903614457831325,0.375,0.6515151515151515,0.1875,0.23076923076923078,0.2903225806451613,16.86390532544379,0.5806451612903226,,0.06666666666666667,0.017094017094017096,0.1349206349206349,0.006289308176100629,0.09961685823754789,0.010869565217391304,,0.029411764705882353,,,0.023809523809523808,0.030303030303030304,0.08139534883720931,0.1262135922330097,0.05263157894736842,0.3125,0.75,0.8823529411764706,0.4,0.484375,0.41935483870967744,0.5909090909090909,0.23076923076923078,0.015625,,,,0.03125,,,,0.15625,0.4,0.4,0.75,0.14285714285714285,,,0.36,0.7777777777777778,,,0.24,0.3333333333333333,0.5,0.4,0.49785703125,0.5163,0.488492,0.22077922077922077,0.26153846153846155,,0.061224489795918366,0.4387755102040816,5.551923076923078,25.34166666666667,0.4116666666666667,2.0,3.0,17.0,3.0,0.2857142857142857,1.0,3.0,3.0,5.0,,14.0,3.0,2.0,1.0,4.0,1.0,0.15,,0.0625,0.17391304347826086,0.8,0.14285714285714285,1.0,2.0,2.0,,,,,,,,,,,,,,,,True,,,
1642271,1610612762,Kyle Filipowski,Kyle Filipowski,1642271,UTA,8875.0,148,-60,322,322,141,150,37.0,644,7.0,10.0,3.0,4.0,3.0,5.0,6.0,11.0,,,2.0,10.0,,3.0,3.0,8.0,1.0,3.0,13.0,21.0,5.0,18.0,15.0,56,408,4.0,7.0,2.0,13.0,6.0,10.0,1.0,6.0,11.0,26,18.0,8.0,15.0,6.0,8.0,3.0,2.0,6.0,5.0,11.0,2.0,4.0,2.0,,27.0,5.0,7.0,19.0,16.0,,35.0,13.0,48,1.0,2.0,2.0,7.0,7.0,2.0,,,9.0,2.0,3.0,11,3.0,13.0,,22.0,1.0,,9.0,1.0,1.0,3.0,,3.0,26,141,3.0,,0.6923076923076923,0.9,1.0,0.2777777777777778,0.16666666666666666,0.2777777777777778,0.6190476190476191,0.5714285714285714,0.6,0.5256410256410257,0.6875,0.46875,0.5714285714285714,0.65,0.5652173913043478,0.46153846153846156,0.09523809523809523,0.18181818181818182,15.846994535519125,0.7777777777777778,,0.21333333333333335,0.11290322580645161,0.2676056338028169,0.056179775280898875,0.23972602739726026,0.07947019867549669,0.06666666666666667,0.13513513513513514,0.1,0.046875,0.08,0.2222222222222222,0.23404255319148937,0.23214285714285715,0.058823529411764705,0.2564102564102564,0.7,0.7,0.5714285714285714,0.28205128205128205,0.5454545454545454,0.6666666666666666,0.8333333333333334,,,,,0.2564102564102564,0.2,0.2222222222222222,1.0,0.20512820512820512,0.375,0.375,1.0,0.5,0.75,,0.3125,0.6,0.1875,,0.1875,0.3333333333333333,0.717948717948718,0.375,0.5325076923076922,0.49223999999999996,0.517975,0.19148936170212766,0.3103448275862069,,0.23214285714285715,0.4642857142857143,4.390476190476191,24.216666666666665,0.43788819875776397,,1.0,3.0,3.0,,1.0,,,,,4.0,,1.0,,2.0,,,,0.1,0.4,0.6666666666666666,0.125,,,,1.0,1.0,1.0,1.0,1.0,0.05555555555555555,0.1,0.1,1.0,1.0,,,,,,True,,,
1642846,1610612762,Ace Bailey,Ace Bailey,1642846,UTA,4229.2,70,-20,151,149,49,57,24.0,300,7.0,9.0,3.0,4.0,4.0,4.0,,2.0,2.0,6.0,3.0,7.0,1.0,2.0,2.0,9.0,1.0,2.0,9.0,17.0,5.0,16.0,2.0,35,183,3.0,4.0,,6.0,4.0,4.0,2.0,4.0,2.0,16,12.0,6.0,15.0,6.0,9.0,2.0,,1.0,5.0,6.0,1.0,,1.0,,17.0,2.0,3.0,3.0,1.0,1.0,5.0,5.0,10,,3.0,2.0,3.0,1.0,2.0,,2.0,5.0,,10.0,14,,2.0,,2.0,,,,,1.0,2.0,2.0,2.0,16,49,1.0,1.0,0.6666666666666666,1.0,1.0,0.3125,0.5,0.3125,0.5294117647058824,0.75,1.0,0.5,0.375,0.875,0.5147058823529411,0.375,0.8888888888888888,0.48484848484848486,,,21.787709497206702,0.6,0.16666666666666666,0.041666666666666664,0.08108108108108109,0.11538461538461539,0.046511627906976744,0.08,0.0625,0.18181818181818182,0.05,,0.06451612903225806,,,0.06666666666666667,0.13043478260869565,,0.2727272727272727,0.7777777777777778,0.7777777777777778,0.5714285714285714,0.06060606060606061,,,,0.18181818181818182,0.3333333333333333,0.3333333333333333,1.0,0.21212121212121213,0.42857142857142855,0.42857142857142855,1.0,0.2727272727272727,0.2222222222222222,0.2222222222222222,1.0,0.5,0.75,,0.5,1.0,0.25,0.5,0.25,0.5,0.7575757575757576,0.2222222222222222,0.5278393939393939,0.51216,0.5741375,,,,0.17142857142857143,0.45714285714285713,8.423529411764706,24.137500000000003,0.32450331125827814,2.0,4.0,4.0,,0.25,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,True,,,
201567,1610612762,Kevin Love,Kevin Love,201567,UTA,4874.3,81,-23,171,172,54,65,19.0,343,2.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,5.0,18.0,1.0,3.0,5.0,8.0,8.0,22.0,3.0,37,223,3.0,6.0,2.0,11.0,4.0,4.0,2.0,4.0,,14,4.0,6.0,24.0,4.0,18.0,5.0,,8.0,,8.0,,3.0,5.0,,16.0,3.0,6.0,10.0,8.0,2.0,20.0,9.0,29,1.0,3.0,2.0,4.0,4.0,1.0,,,5.0,,6.0,11,1.0,6.0,,4.0,,,2.0,,,4.0,2.0,5.0,14,54,1.0,,0.4,0.6666666666666666,1.0,0.36363636363636365,0.5,0.36363636363636365,0.625,0.5,1.0,0.5666666666666667,0.45,0.875,0.578125,0.5,0.875,0.7333333333333333,,,18.974358974358974,0.8,0.5,0.1702127659574468,0.2,0.24390243902439024,0.058823529411764705,0.20454545454545456,0.1111111111111111,0.2222222222222222,0.2,0.16666666666666666,0.05405405405405406,0.07142857142857142,,0.2222222222222222,0.2903225806451613,0.058823529411764705,0.13333333333333333,0.5,0.5,,0.1,0.6666666666666666,0.6666666666666666,0.5,0.03333333333333333,1.0,1.0,1.0,0.13333333333333333,0.75,0.75,1.0,0.6,0.2777777777777778,0.2777777777777778,1.0,0.4,0.5,,0.25,1.0,0.125,1.0,0.375,0.3333333333333333,0.8666666666666667,0.2777777777777778,0.5416366666666668,0.525025,0.5627249999999999,0.0625,0.2,,0.2972972972972973,0.3783783783783784,5.8625,25.55,0.3157894736842105,2.0,4.0,,2.0,0.2,2.0,,1.0,1.0,,3.0,,,1.0,3.0,,,,0.25,0.1,0.6,0.2,,1.0,1.0,,1.0,,,0.25,,,,,,1.0,1.0,0.5,1.0,,True,,,
203994,1610612762,Jusuf Nurkić,Jusuf Nurkić,203994,UTA,6545.1,109,-38,239,233,77,83,28.0,472,7.0,8.0,4.0,4.0,4.0,4.0,6.0,6.0,,,,,,,2.0,5.0,1.0,1.0,13.0,14.0,2.0,5.0,3.0,35,299,6.0,6.0,3.0,15.0,7.0,7.0,1.0,1.0,3.0,20,14.0,12.0,6.0,8.0,5.0,2.0,,9.0,6.0,15.0,2.0,4.0,2.0,3.0,36.0,5.0,2.0,10.0,11.0,2.0,23.0,7.0,30,,7.0,5.0,4.0,3.0,3.0,,1.0,7.0,1.0,8.0,15,3.0,7.0,1.0,5.0,1.0,,1.0,,2.0,2.0,1.0,2.0,20,74,1.0,2.0,0.5384615384615384,0.7777777777777778,1.0,0.4,1.0,0.4,0.9285714285714286,1.0,1.0,0.8421052631578947,1.0,1.0625,0.8333333333333334,0.9375,1.0,0.2631578947368421,,,10.486891385767791,0.5714285714285714,0.6666666666666666,0.21153846153846154,0.045454545454545456,0.21739130434782608,0.08196721311475409,0.21428571428571427,0.06666666666666667,,0.07142857142857142,,0.08695652173913043,0.06666666666666667,0.3333333333333333,0.15789473684210525,0.21951219512195122,,0.42105263157894735,0.875,0.875,0.42857142857142855,0.3157894736842105,1.0,1.0,0.6666666666666666,,,,,,,,,0.2631578947368421,0.4,0.4,1.0,0.6666666666666666,1.0,0.25,0.5,1.0,,,0.125,1.0,0.6842105263157895,0.4,0.501971052631579,0.4387,0.49163124999999996,0.05263157894736842,0.07142857142857142,,0.42857142857142855,0.5714285714285714,4.4071428571428575,26.040000000000003,0.32217573221757323,,,4.0,1.0,,,,2.0,2.0,,1.0,,1.0,2.0,2.0,,,,0.5,0.2,1.0,,,,,,,,,,,,,,,,,,,,True,,,
1642262,1610612762,Cody Williams,Cody Williams,1642262,UTA,4312.0,72,-21,166,166,101,85,16.0,332,3.0,3.0,1.0,1.0,2.0,2.0,2.0,6.0,,,,6.0,,5.0,,4.0,,3.0,5.0,9.0,,10.0,,10,210,1.0,2.0,,2.0,3.0,6.0,,8.0,,6,10.0,,,,4.0,,4.0,2.0,2.0,4.0,,2.0,,,10.0,,1.0,,,,,1.0,1,,3.0,2.0,1.0,1.0,,,,1.0,,3.0,9,,2.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,6,101,1.0,,1.0,1.0,,,,,0.5555555555555556,0.5,0.5,0.2631578947368421,0.5,0.21428571428571427,0.2631578947368421,0.5,0.21428571428571427,0.5263157894736842,0.4444444444444444,0.6666666666666666,11.049723756906078,1.0,,,0.045454545454545456,,,,0.016129032258064516,,0.0625,,,,,,,,0.15789473684210525,1.0,1.0,1.0,0.3157894736842105,0.3333333333333333,1.0,1.0,,,,,0.3157894736842105,,,,0.21052631578947367,,,,0.5,1.0,1.0,0.14285714285714285,1.0,0.35714285714285715,,0.21428571428571427,,0.6842105263157895,,0.5443289473684211,0.3624,0.5416214285714286,0.05263157894736842,0.1111111111111111,,0.2,0.6,4.444444444444445,23.990000000000002,0.608433734939759,,,2.0,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,
