EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PtsPutbacks,StepOutOfBoundsTurnovers,Loose Ball Fouls,OffLongMidRangeReboundPct,OffCorner3ReboundPct,Fg3aBlocked,Charge Fouls,Charge Fouls Drawn,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,OffensiveGoaltends,BlockedCorner3,DefensiveGoaltends,on
1627750,1610612743,Jamal Murray,Jamal Murray,1627750,DEN,58072.89999999999,968,271.0,2021,2001,546.0,453.0,221,4022,64.0,103.0,3.0,6.0,11.0,22.0,54.0,116.0,35.0,73.0,9.0,23.0,1.0,2.0,2.0,5.0,91.0,204.0,8.0,16.0,22.0,50.0,153.0,292.0,100.0,227.0,104.0,710.0,2385,7.0,14.0,9.0,18.0,3.0,44.0,37.0,68.0,24.0,55.0,35.0,181.0,102.0,204.0,171.0,129.0,204.0,91.0,19.0,111.0,73.0,184.0,53.0,20.0,51.0,49.0,11.0,441.0,3.0,5.0,1.0,59.0,45.0,4.0,108.0,9.0,117.0,3.0,30.0,23.0,7.0,39.0,8.0,32.0,20.0,3.0,7.0,6.0,59.0,3.0,10.0,26.0,40.0,2.0,88.0,2.0,7.0,120.0,10.0,1.0,16.0,41.0,3.0,11.0,8.0,2.0,2.0,3.0,2.0,3.0,10.0,6.0,176.0,537.0,4.0,7.0,0.3333333333333333,0.3333333333333333,0.57,0.44052863436123346,0.5,0.43636363636363634,0.44052863436123346,0.523972602739726,0.5,0.5441176470588235,0.5838150289017341,0.640625,0.5934959349593496,0.6172291296625222,0.671875,0.6285714285714286,0.4373795761078998,0.06506849315068493,0.05825242718446602,0.10344827586206896,0.0136986301369863,27.36471623405191,0.6610169491525424,0.09523809523809523,0.020833333333333332,0.10022271714922049,0.012437810945273632,0.12742980561555076,0.007228915662650603,0.11403508771929824,0.009791921664626682,0.02027027027027027,0.010752688172043012,0.00964630225080386,0.08943089430894309,0.09375,0.12745098039215685,0.1253731343283582,0.1328125,0.012552301255230125,0.6,0.19845857418111754,0.6213592233009708,0.6597938144329897,0.453125,0.22350674373795762,0.46551724137931033,0.5192307692307693,0.2777777777777778,0.14065510597302505,0.4794520547945205,0.4861111111111111,0.2,0.04431599229287091,0.391304347826087,0.391304347826087,0.6666666666666666,0.3930635838150289,0.44607843137254904,0.44607843137254904,0.5604395604395604,0.1875,0.5,0.3333333333333333,0.0625,0.5,1.0,0.5,0.5,0.5,0.17886178861788618,0.5,0.04065040650406504,0.4,0.4065040650406504,0.44,0.6358381502890174,0.44607843137254904,0.517972823984526,0.5361470588235295,0.49769999999999986,0.07971014492753623,0.12693498452012383,0.013100436681222707,0.061971830985915494,0.2549295774647887,8.52671232876712,25.896475770925115,0.2701632855022266,,,,,,,,,,,,,,,,True
1628971,1610612743,Bruce Brown,Bruce Brown,1628971,DEN,29669.5,494,61.0,1051,1048,458.0,391.0,122,2099,38.0,51.0,1.0,5.0,14.0,20.0,5.0,16.0,,2.0,8.0,23.0,1.0,1.0,4.0,12.0,6.0,17.0,,1.0,2.0,5.0,43.0,69.0,14.0,40.0,31.0,159.0,1241,2.0,7.0,1.0,2.0,9.0,16.0,18.0,29.0,6.0,17.0,17.0,71.0,70.0,16.0,42.0,,17.0,6.0,4.0,19.0,15.0,34.0,12.0,3.0,10.0,8.0,1.0,83.0,10.0,11.0,,16.0,27.0,5.0,48.0,21.0,69.0,1.0,16.0,7.0,9.0,13.0,2.0,9.0,4.0,1.0,4.0,,17.0,1.0,7.0,27.0,53.0,,28.0,1.0,,40.0,1.0,,,18.0,,2.0,4.0,,,1.0,,3.0,4.0,1.0,71.0,455.0,13.0,2.0,0.813953488372093,0.8536585365853658,1.0,0.35,0.5,0.35294117647058826,0.35,0.6231884057971014,0.2857142857142857,0.6206896551724138,0.5871559633027523,0.3888888888888889,0.5869565217391305,0.62109375,0.5333333333333333,0.6339285714285714,0.3669724770642202,0.057971014492753624,0.0392156862745098,0.125,,12.246621621621621,0.7647058823529411,0.21739130434782608,,0.11538461538461539,0.05045871559633028,0.06477732793522267,0.045454545454545456,0.0893970893970894,0.04794520547945205,0.034482758620689655,0.05154639175257732,0.04242424242424243,0.1,0.14,0.09259259259259259,0.04864864864864865,0.11290322580645161,0.020833333333333332,0.25,0.46788990825688076,0.7450980392156863,0.7755102040816326,0.868421052631579,0.14678899082568808,0.3125,0.35714285714285715,0.4,0.01834862385321101,,,,0.21100917431192662,0.34782608695652173,0.34782608695652173,1.0,0.1559633027522936,0.35294117647058826,0.35294117647058826,1.0,0.5555555555555556,0.2,,0.1111111111111111,1.0,1.0,0.1111111111111111,,,0.43478260869565216,0.7,0.2608695652173913,0.3333333333333333,0.10869565217391304,0.4,0.8348623853211009,0.35294117647058826,0.5876169724770641,0.51234,0.5727086956521739,0.14285714285714285,0.20930232558139536,,0.10062893081761007,0.44654088050314467,3.6260869565217395,24.6625,0.4357754519505233,4.0,1.0,2.0,0.08823529411764706,0.05454545454545454,,,,,,,,,,,True
1629618,1610612743,Jalen Pickett,Jalen Pickett,1629618,DEN,6466.299999999999,108,4.0,232,224,56.0,65.0,27,456,2.0,3.0,,,,1.0,,1.0,2.0,2.0,3.0,8.0,,1.0,1.0,2.0,4.0,13.0,2.0,3.0,1.0,3.0,4.0,6.0,7.0,21.0,,29.0,280,,,2.0,4.0,,6.0,,1.0,2.0,5.0,,6.0,8.0,,21.0,,13.0,4.0,1.0,6.0,7.0,13.0,6.0,1.0,3.0,3.0,,33.0,1.0,3.0,,4.0,5.0,,9.0,4.0,13.0,1.0,1.0,1.0,,4.0,,4.0,1.0,,,1.0,5.0,1.0,2.0,2.0,4.0,,,,,,,,,,,,3.0,,,2.0,,1.0,3.0,2.0,6.0,56.0,,,1.0,1.0,1.0,0.3333333333333333,0.5,0.4,0.3333333333333333,0.6666666666666666,,,0.5370370370370371,0.75,0.5,0.5370370370370371,0.75,0.5,0.7777777777777778,0.16666666666666666,,1.0,,12.307692307692307,0.8,,,0.0847457627118644,0.06382978723404255,0.1,0.017857142857142856,0.09090909090909091,0.038834951456310676,,0.045454545454545456,0.024390243902439025,0.13333333333333333,0.05714285714285714,0.1111111111111111,0.1,0.1,0.06666666666666667,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.6666666666666666,1.0,0.037037037037037035,,,,0.07407407407407407,1.0,1.0,1.0,0.2962962962962963,0.375,0.375,1.0,0.48148148148148145,0.3076923076923077,0.3076923076923077,1.0,,,,0.25,,,0.75,0.6666666666666666,1.0,0.16666666666666666,,0.3333333333333333,0.5,0.5,0.3333333333333333,0.8888888888888888,0.3076923076923077,0.5559111111111111,0.5256,0.547275,,,,0.20689655172413793,0.20689655172413793,9.033333333333333,24.766666666666662,0.2413793103448276,,,1.0,0.15384615384615385,,,,,,,,,,,,True
1629661,1610612743,Cameron Johnson,Cameron Johnson,1629661,DEN,43244.0,721,215.0,1507,1497,377.0,319.0,166,3004,39.0,59.0,6.0,10.0,7.0,10.0,7.0,23.0,7.0,14.0,17.0,38.0,1.0,1.0,7.0,14.0,29.0,70.0,3.0,7.0,7.0,13.0,53.0,96.0,46.0,108.0,33.0,277.0,1744,7.0,13.0,4.0,8.0,2.0,28.0,10.0,19.0,14.0,27.0,17.0,79.0,80.0,26.0,132.0,6.0,70.0,29.0,13.0,28.0,21.0,49.0,10.0,11.0,19.0,6.0,3.0,119.0,10.0,3.0,1.0,43.0,27.0,3.0,73.0,14.0,87.0,3.0,16.0,7.0,9.0,15.0,2.0,9.0,6.0,2.0,6.0,,21.0,,3.0,37.0,53.0,1.0,36.0,3.0,3.0,41.0,4.0,,,11.0,1.0,10.0,6.0,,,5.0,,1.0,6.0,5.0,77.0,372.0,3.0,6.0,0.7547169811320755,0.8163265306122449,0.9565217391304348,0.42592592592592593,0.5,0.5185185185185185,0.42592592592592593,0.5520833333333334,0.5384615384615384,0.5263157894736842,0.5980392156862745,0.6190476190476191,0.6739130434782609,0.6238738738738738,0.6363636363636364,0.7053571428571429,0.5294117647058824,0.13541666666666666,0.1694915254237288,0.13043478260869565,,14.336283185840708,0.7142857142857143,0.09375,0.02631578947368421,0.08231707317073171,0.01048951048951049,0.1122715404699739,0.03115264797507788,0.09845288326300984,0.0214168039538715,0.017699115044247787,0.00819672131147541,0.025,0.08571428571428572,0.07142857142857142,0.10144927536231885,0.12318840579710146,0.08411214953271028,0.03296703296703297,0.8333333333333334,0.28921568627450983,0.6610169491525424,0.7959183673469388,0.7435897435897436,0.11274509803921569,0.30434782608695654,0.35,1.0,0.06862745098039216,0.5,0.5,0.5714285714285714,0.18627450980392157,0.4473684210526316,0.4473684210526316,1.0,0.3431372549019608,0.4142857142857143,0.42028985507246375,0.9310344827586207,0.47619047619047616,0.6,0.3333333333333333,0.047619047619047616,1.0,1.0,0.3333333333333333,0.42857142857142855,1.0,0.21739130434782608,0.7,0.30434782608695654,0.5,0.2826086956521739,0.5384615384615384,0.8186274509803921,0.4142857142857143,0.5821404411764705,0.6053923076923076,0.5544923913043478,0.05660377358490566,0.10679611650485436,0.009174311926605505,0.10108303249097472,0.2851985559566787,5.654166666666665,25.16851851851852,0.25016589250165894,8.0,,1.0,,0.04938271604938271,1.0,1.0,2.0,1.0,0.009259259259259259,0.014285714285714285,,,,,True
203999,1610612743,Nikola Jokić,Nikola Jokić,203999,DEN,76246.19999999998,1271,338.0,2666,2656,811.0,658.0,299,5322,142.0,187.0,48.0,70.0,42.0,55.0,131.0,222.0,30.0,50.0,5.0,9.0,,,1.0,2.0,71.0,170.0,5.0,7.0,28.0,57.0,303.0,459.0,76.0,179.0,237.0,1071.0,3106,61.0,95.0,5.0,7.0,39.0,176.0,91.0,141.0,29.0,59.0,126.0,395.0,328.0,278.0,183.0,45.0,170.0,71.0,23.0,253.0,142.0,395.0,101.0,41.0,189.0,43.0,21.0,932.0,34.0,79.0,2.0,134.0,192.0,10.0,336.0,115.0,451.0,31.0,51.0,34.0,17.0,88.0,21.0,58.0,40.0,4.0,30.0,2.0,128.0,4.0,34.0,41.0,101.0,7.0,243.0,26.0,2.0,280.0,24.0,,3.0,103.0,4.0,41.0,29.0,,,13.0,2.0,14.0,29.0,15.0,388.0,802.0,6.0,36.0,0.5412541254125413,0.6259541984732825,0.8026315789473685,0.4245810055865922,0.7142857142857143,0.4915254237288136,0.4245810055865922,0.6601307189542484,0.6421052631578947,0.6453900709219859,0.6536050156739812,0.6715686274509803,0.6725,0.7007874015748031,0.7213114754098361,0.7340823970037453,0.28056426332288403,0.05010893246187364,0.0374331550802139,0.06306306306306306,0.04,29.574184963406523,0.6875,0.18867924528301888,0.031746031746031744,0.31735537190082647,0.14933837429111532,0.21303656597774245,0.06082289803220036,0.26418152350081037,0.10386029411764706,0.178743961352657,0.1589958158995816,0.05687203791469194,0.2849462365591398,0.33676975945017185,0.3203125,0.22559652928416485,0.17857142857142858,0.13656387665198239,0.5172413793103449,0.29310344827586204,0.7593582887700535,0.7888888888888889,0.528169014084507,0.34796238244514105,0.5900900900900901,0.6298076923076923,0.5801526717557252,0.07836990595611286,0.6,0.625,0.43333333333333335,0.014106583072100314,0.5555555555555556,0.625,1.0,0.2664576802507837,0.4176470588235294,0.4226190476190476,0.7887323943661971,0.6862745098039216,0.6857142857142857,0.1875,,,,0.06862745098039216,0.7142857142857143,1.0,0.275,0.7636363636363637,0.01,0.5,0.285,0.49122807017543857,0.5736677115987461,0.4176470588235294,0.5093995283018868,0.5671345679012343,0.4927525252525254,0.14840499306518723,0.19144981412639406,0.02185792349726776,0.16433239962651727,0.36881419234360413,6.2328976034858385,25.845810055865915,0.30420105026256566,82.0,,7.0,0.04819277108433735,0.072992700729927,3.0,1.0,1.0,8.0,0.01675977653631285,0.011764705882352941,0.1111111111111111,,,,True
1642461,1610612743,Spencer Jones,Spencer Jones,1642461,DEN,29422.1,490,116.0,1012,1018,232.0,203.0,103,2030,23.0,34.0,5.0,9.0,5.0,8.0,6.0,10.0,1.0,2.0,12.0,35.0,1.0,3.0,2.0,5.0,4.0,10.0,,,,1.0,30.0,46.0,16.0,45.0,14.0,122.0,1219,5.0,10.0,1.0,3.0,3.0,16.0,6.0,11.0,2.0,6.0,7.0,25.0,48.0,12.0,48.0,,10.0,4.0,5.0,12.0,10.0,22.0,7.0,3.0,5.0,6.0,1.0,54.0,9.0,20.0,,16.0,13.0,2.0,31.0,29.0,60.0,1.0,22.0,11.0,11.0,3.0,2.0,2.0,10.0,,1.0,,13.0,1.0,1.0,41.0,65.0,5.0,21.0,1.0,4.0,25.0,1.0,,,13.0,,,11.0,,,3.0,,8.0,11.0,6.0,25.0,228.0,5.0,,0.8,0.9230769230769231,1.0,0.35555555555555557,0.3333333333333333,0.3333333333333333,0.35555555555555557,0.6521739130434783,0.5,0.5454545454545454,0.5934065934065934,0.5,0.5294117647058824,0.5922330097087378,0.5714285714285714,0.5952380952380952,0.4945054945054945,0.10869565217391304,0.14705882352941177,,,10.220264317180616,0.23076923076923078,0.10526315789473684,,0.05371900826446281,0.0970873786407767,0.0730593607305936,0.04411764705882353,0.06290672451193059,0.07073170731707316,0.0975609756097561,0.10526315789473684,0.04081632653061224,0.07692307692307693,0.035398230088495575,0.058823529411764705,0.06134969325153374,0.10714285714285714,0.025,0.5454545454545454,0.37362637362637363,0.6764705882352942,0.7931034482758621,0.7391304347826086,0.10989010989010989,0.6,0.6,1.0,0.02197802197802198,0.5,0.5,1.0,0.38461538461538464,0.34285714285714286,0.34285714285714286,1.0,0.10989010989010989,0.4,0.4,1.0,0.6923076923076923,0.5555555555555556,0.2,0.23076923076923078,0.3333333333333333,1.0,,,,0.47058823529411764,0.625,0.29411764705882354,0.4,0.058823529411764705,,0.8681318681318682,0.4,0.5962846153846153,0.61192,0.5842176470588236,0.1262135922330097,0.22413793103448276,,0.13114754098360656,0.20491803278688525,3.3130434782608695,23.862222222222226,0.22924901185770752,8.0,,,0.06896551724137931,0.05263157894736842,,1.0,1.0,3.0,,,,1.0,,,True
202685,1610612743,Jonas Valančiūnas,Jonas Valančiūnas,202685,DEN,1900.1,32,8.0,67,68,28.0,18.0,8,135,1.0,4.0,,,,,2.0,5.0,,,,,,,,,,1.0,,,,,3.0,9.0,,1.0,3.0,9.0,75,,,,,1.0,1.0,1.0,2.0,,,,2.0,4.0,2.0,,,1.0,,3.0,,,,,,,,,,2.0,,,1.0,3.0,1.0,5.0,2.0,7.0,,1.0,1.0,,,,,,,,,,,,3.0,5.0,,7.0,1.0,,5.0,1.0,,,3.0,,,3.0,,,,,3.0,3.0,3.0,2.0,28.0,1.0,,0.6666666666666666,0.6666666666666666,,,,,,0.3333333333333333,,0.5,0.3,,0.5,0.375,0.5,0.5,0.1,0.3333333333333333,0.75,,,15.384615384615383,,0.5,,0.12,,0.08333333333333333,0.13333333333333333,0.10810810810810811,0.07142857142857142,,,0.09090909090909091,0.16666666666666666,0.18181818181818182,,,0.3333333333333333,,1.0,0.4,0.25,1.0,,0.5,0.4,0.4,1.0,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,0.5,,0.544195,,0.44175,0.25,0.2727272727272727,,0.1111111111111111,0.2222222222222222,5.311111111111111,24.4,0.417910447761194,,,1.0,,0.25,,,,,,,,,,,True
203501,1610612743,Tim Hardaway Jr.,Tim Hardaway Jr.,203501,DEN,37476.9,625,150.0,1323,1320,519.0,426.0,151,2643,21.0,29.0,1.0,1.0,7.0,10.0,13.0,17.0,12.0,19.0,10.0,25.0,,,4.0,10.0,46.0,115.0,8.0,16.0,16.0,38.0,46.0,65.0,56.0,140.0,45.0,305.0,1532,2.0,3.0,8.0,16.0,2.0,30.0,15.0,21.0,20.0,48.0,15.0,105.0,78.0,14.0,165.0,3.0,115.0,46.0,2.0,19.0,10.0,29.0,4.0,6.0,12.0,7.0,,68.0,3.0,2.0,,37.0,11.0,2.0,50.0,5.0,55.0,,14.0,9.0,5.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,9.0,,5.0,13.0,30.0,2.0,44.0,4.0,4.0,53.0,4.0,1.0,1.0,16.0,4.0,7.0,3.0,,,2.0,,1.0,3.0,3.0,105.0,513.0,4.0,6.0,0.8478260869565217,0.8863636363636364,0.9821428571428571,0.4,0.5,0.4166666666666667,0.4,0.7076923076923077,0.6666666666666666,0.7142857142857143,0.6341463414634146,0.7368421052631579,0.6521739130434783,0.6696035242290749,0.75,0.6818181818181818,0.6829268292682927,0.03076923076923077,0.06896551724137931,,,15.764863059452237,0.3333333333333333,0.08,,0.03618421052631579,0.0076045627376425855,0.12416107382550336,0.010344827586206896,0.07973421926910298,0.009041591320072333,0.017857142857142856,,0.01327433628318584,0.020833333333333332,0.04316546762589928,0.043478260869565216,0.1210762331838565,0.13333333333333333,,1.0,0.14146341463414633,0.7241379310344828,0.7777777777777778,0.8571428571428571,0.08292682926829269,0.7647058823529411,0.7647058823529411,0.8461538461538461,0.09268292682926829,0.631578947368421,0.631578947368421,0.8333333333333334,0.12195121951219512,0.4,0.4,1.0,0.5609756097560976,0.4,0.4,0.9782608695652174,0.05263157894736842,1.0,,,,,0.8421052631578947,0.5,1.0,0.14492753623188406,0.7,0.14492753623188406,0.4,0.5507246376811594,0.42105263157894735,0.824390243902439,0.4,0.5571578048780486,0.5205333333333333,0.5585094202898552,0.09090909090909091,0.2077922077922078,0.027972027972027972,0.09836065573770492,0.3442622950819672,7.812307692307691,25.42928571428572,0.3922902494331066,4.0,,1.0,,,,,4.0,,,,,,,,True
1631128,1610612743,Christian Braun,Christian Braun,1631128,DEN,23430.3,391,132.0,812,806,207.0,176.0,105,1618,40.0,59.0,5.0,8.0,9.0,14.0,7.0,13.0,2.0,5.0,2.0,6.0,,1.0,1.0,2.0,3.0,24.0,1.0,3.0,,7.0,49.0,77.0,5.0,30.0,29.0,142.0,905,6.0,10.0,1.0,4.0,5.0,20.0,11.0,19.0,1.0,9.0,16.0,41.0,78.0,20.0,15.0,,24.0,3.0,7.0,24.0,14.0,38.0,13.0,1.0,14.0,8.0,2.0,90.0,11.0,12.0,,24.0,6.0,1.0,31.0,23.0,54.0,4.0,10.0,3.0,7.0,8.0,2.0,5.0,7.0,2.0,3.0,,15.0,1.0,5.0,15.0,28.0,1.0,25.0,3.0,1.0,37.0,4.0,,,14.0,,7.0,2.0,1.0,1.0,,,2.0,3.0,1.0,41.0,206.0,1.0,7.0,0.7959183673469388,0.8863636363636364,1.0,0.16666666666666666,0.25,0.1111111111111111,0.16666666666666666,0.6363636363636364,0.6,0.5789473684210527,0.5280373831775701,0.5357142857142857,0.44642857142857145,0.5725806451612904,0.625,0.5540540540540541,0.2803738317757009,0.09090909090909091,0.1016949152542373,0.07692307692307693,,14.962325080731972,0.5333333333333333,0.07692307692307693,,0.03468208092485549,0.07692307692307693,0.11538461538461539,0.05759162303664921,0.07874015748031496,0.06628242074927954,0.08955223880597014,0.06153846153846154,0.06622516556291391,0.03636363636363636,0.047619047619047616,,0.12666666666666668,0.08620689655172414,0.08695652173913043,0.3333333333333333,0.5514018691588785,0.6779661016949152,0.7547169811320755,0.8,0.12149532710280374,0.5384615384615384,0.5833333333333334,0.8571428571428571,0.04672897196261682,0.4,0.4,0.5,0.056074766355140186,0.3333333333333333,0.3333333333333333,1.0,0.22429906542056074,0.125,0.125,1.0,0.5714285714285714,0.625,,0.07142857142857142,,,0.21428571428571427,0.3333333333333333,1.0,0.5,0.6428571428571429,0.07142857142857142,0.5,0.25,,0.8317757009345794,0.125,0.5873719626168225,0.565075,0.584769642857143,0.11965811965811966,0.16091954022988506,,0.14084507042253522,0.2887323943661972,3.836363636363636,25.606666666666666,0.25492610837438423,10.0,1.0,,0.08333333333333333,0.025,,1.0,,,,,,,,,True
1631212,1610612743,Peyton Watson,Peyton Watson,1631212,DEN,46307.59999999999,772,209.0,1626,1629,509.0,371.0,171,3255,72.0,110.0,9.0,18.0,24.0,34.0,14.0,40.0,2.0,4.0,23.0,45.0,3.0,5.0,4.0,10.0,12.0,40.0,,1.0,3.0,8.0,88.0,154.0,35.0,85.0,58.0,339.0,1940,10.0,21.0,3.0,6.0,4.0,33.0,29.0,50.0,7.0,18.0,25.0,104.0,142.0,34.0,105.0,,40.0,12.0,16.0,22.0,19.0,41.0,15.0,4.0,14.0,6.0,2.0,101.0,12.0,18.0,1.0,59.0,28.0,13.0,100.0,31.0,131.0,7.0,26.0,22.0,4.0,21.0,4.0,15.0,16.0,2.0,6.0,2.0,37.0,1.0,12.0,33.0,57.0,3.0,62.0,5.0,7.0,80.0,10.0,,,39.0,,6.0,25.0,4.0,3.0,11.0,2.0,12.0,29.0,21.0,102.0,502.0,2.0,3.0,0.8068181818181818,0.8554216867469879,1.0,0.4117647058823529,0.5,0.3888888888888889,0.4117647058823529,0.5714285714285714,0.47619047619047616,0.58,0.5878661087866108,0.5370370370370371,0.5808823529411765,0.6186131386861314,0.532258064516129,0.6265060240963856,0.35564853556485354,0.1038961038961039,0.10909090909090909,0.1,,16.976998904709745,0.5675675675675675,0.3939393939393939,0.02702702702702703,0.07407407407407407,0.054380664652567974,0.15526315789473685,0.038834951456310676,0.11477572559366754,0.046875,0.06923076923076923,0.05228758169934641,0.03125,0.008620689655172414,0.07103825136612021,0.17721518987341772,0.1366906474820144,0.20588235294117646,0.0707070707070707,0.7241379310344828,0.4602510460251046,0.6545454545454545,0.7346938775510204,0.8055555555555556,0.16736401673640167,0.35,0.3888888888888889,0.7857142857142857,0.016736401673640166,0.5,0.5,1.0,0.18828451882845187,0.5111111111111111,0.5111111111111111,1.0,0.16736401673640167,0.3,0.3,1.0,0.6666666666666666,0.5,0.3333333333333333,0.18518518518518517,0.6,1.0,0.037037037037037035,,,0.5,0.7058823529411765,0.14705882352941177,0.4,0.11764705882352941,0.375,0.8158995815899581,0.3,0.5975330543933054,0.6067236842105264,0.5836205882352941,0.1455223880597015,0.21311475409836064,,0.09734513274336283,0.30678466076696165,3.5525974025974025,24.45882352941176,0.3130381303813038,10.0,1.0,3.0,0.020833333333333332,0.058823529411764705,,4.0,,,,,,,1.0,3.0,True
