EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,FTDefRebounds,DefFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,StepOutOfBoundsTurnovers,Charge Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,OffLongMidRangeReboundPct,FTOffRebounds,OffFTReboundPct,OffensiveGoaltends,BlockedCorner3,Defensive 3 Seconds Violations,on,Clear Path Fouls,3pt And 1 Free Throw Trips,BlockedLongMidRange,Corner3PctBlocked
1626164,1610612756,Devin Booker,Devin Booker,1626164,PHX,27108.300000000003,452,65.0,918,921,334,354,158,1839,25.0,39.0,2.0,4.0,10.0,13.0,45.0,97.0,24.0,49.0,1.0,4.0,1.0,1.0,2.0,22.0,74.0,3.0,5.0,11.0,31.0,94.0,185.0,23.0,78.0,102.0,359.0,1004,3.0,11.0,3.0,6.0,6.0,21.0,33.0,63.0,12.0,33.0,43.0,145.0,62.0,126.0,42.0,27.0,4.0,74.0,22.0,17.0,29.0,41.0,70.0,23.0,18.0,15.0,10.0,4.0,181.0,6.0,4.0,27.0,25.0,52.0,10.0,62.0,2.0,12.0,10.0,2.0,32.0,4.0,17.0,12.0,1.0,15.0,2.0,44.0,4.0,12.0,14.0,37.0,4.0,4.0,85.0,118.0,14.0,7.0,49.0,1.0,11.0,7.0,6.0,1.0,7.0,3.0,1.0,144.0,333,7.0,10.0,0.32978723404255317,0.33695652173913043,0.6086956521739131,0.2948717948717949,0.5,0.36363636363636365,0.2948717948717949,0.5081081081081081,0.2727272727272727,0.5238095238095238,0.48859315589353614,0.4411764705882353,0.53125,0.567741935483871,0.525,0.614406779661017,0.2965779467680608,0.0918918918918919,0.20512820512820512,0.08247422680412371,0.02040816326530612,31.89189189189189,0.7272727272727273,0.11627906976744186,0.01702127659574468,0.1267605633802817,0.02575107296137339,0.12149532710280374,0.021367521367521368,0.025974025974025976,0.01652892561983471,0.01744186046511628,0.04918032786885246,0.08139534883720931,0.15555555555555556,0.10256410256410256,0.12666666666666668,0.12698412698412698,0.016,0.42857142857142855,0.1482889733840304,0.6410256410256411,0.8064516129032258,0.36,0.3688212927756654,0.4639175257731959,0.5056179775280899,0.24444444444444444,0.18631178707224336,0.4897959183673469,0.5,0.4583333333333333,0.015209125475285171,0.25,0.25,1.0,0.2813688212927757,0.2972972972972973,0.2972972972972973,0.5909090909090909,0.23529411764705882,0.5,0.058823529411764705,0.29411764705882354,0.6,1.0,0.13541666666666666,0.7692307692307693,0.020833333333333332,0.5,0.3229166666666667,0.3548387096774194,0.4448669201520912,0.2972972972972973,0.4989423076923078,0.5079555555555556,0.49178031914893616,0.16722408026755853,0.22272727272727272,0.012658227848101266,0.0584958217270195,0.403899721448468,10.145405405405405,27.294871794871796,0.3638344226579521,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1626220,1610612756,Royce O'Neale,Royce O'Neale,1626220,PHX,25866.700000000004,431,,870,863,219,234,125,1733,10.0,17.0,2.0,2.0,5.0,6.0,6.0,21.0,,3.0,8.0,11.0,1.0,4.0,5.0,20.0,75.0,1.0,8.0,3.0,15.0,16.0,41.0,28.0,86.0,8.0,124.0,988,2.0,5.0,2.0,9.0,2.0,12.0,5.0,10.0,7.0,20.0,3.0,34.0,18.0,14.0,72.0,12.0,4.0,75.0,20.0,3.0,25.0,19.0,44.0,15.0,4.0,15.0,8.0,2.0,107.0,6.0,3.0,23.0,31.0,59.0,9.0,68.0,,12.0,6.0,6.0,12.0,,9.0,4.0,,3.0,1.0,16.0,1.0,3.0,15.0,33.0,3.0,3.0,11.0,13.0,,1.0,2.0,,4.0,3.0,1.0,2.0,3.0,,1.0,34.0,215,3.0,3.0,0.5625,0.6428571428571429,0.8571428571428571,0.32558139534883723,0.2222222222222222,0.35,0.32558139534883723,0.3902439024390244,0.4,0.5,0.4566929133858268,0.35714285714285715,0.5166666666666667,0.462406015037594,0.4,0.5,0.6771653543307087,0.07317073170731707,0.11764705882352941,0.047619047619047616,,14.593535749265424,0.75,0.16145833333333334,0.013953488372093023,0.11004784688995216,0.027149321266968326,0.13466334164588528,0.020642201834862386,0.01694915254237288,0.01694915254237288,0.03278688524590164,,0.13725490196078433,0.14814814814814814,0.24242424242424243,0.09032258064516129,0.16666666666666666,,,0.13385826771653545,0.5882352941176471,0.6666666666666666,0.6,0.16535433070866143,0.2857142857142857,0.3,0.5,0.023622047244094488,,,,0.08661417322834646,0.7272727272727273,0.7272727272727273,1.0,0.5905511811023622,0.26666666666666666,0.26666666666666666,0.8,0.14285714285714285,1.0,0.07142857142857142,0.5714285714285714,0.125,1.0,0.2,0.8333333333333334,0.16666666666666666,0.8,0.5,0.2,0.8110236220472441,0.26666666666666666,0.522661111111111,0.53645,0.5194672413793103,0.015503875968992248,0.046511627906976744,,0.0967741935483871,0.27419354838709675,6.18048780487805,26.951162790697673,0.2517241379310345,1.0,5.0,0.17857142857142858,1.0,1.0,,,,,,,,,,,,,,,,,,True,,,,
1628415,1610612756,Dillon Brooks,Dillon Brooks,1628415,PHX,27984.2,466,47.0,944,968,249,328,138,1912,24.0,31.0,3.0,5.0,8.0,10.0,49.0,100.0,19.0,44.0,3.0,10.0,1.0,,2.0,30.0,84.0,5.0,13.0,4.0,18.0,92.0,175.0,33.0,94.0,59.0,342.0,1062,8.0,14.0,5.0,14.0,6.0,37.0,26.0,41.0,4.0,20.0,19.0,83.0,40.0,144.0,63.0,36.0,2.0,84.0,30.0,8.0,8.0,11.0,19.0,10.0,1.0,6.0,2.0,,49.0,9.0,3.0,25.0,17.0,45.0,12.0,57.0,1.0,18.0,7.0,11.0,12.0,3.0,5.0,16.0,3.0,7.0,3.0,28.0,6.0,5.0,20.0,54.0,6.0,3.0,68.0,69.0,7.0,,30.0,,8.0,,,,,,,83.0,245,7.0,5.0,0.21739130434782608,0.21978021978021978,0.6363636363636364,0.35106382978723405,0.35714285714285715,0.2,0.35106382978723405,0.5257142857142857,0.5714285714285714,0.6341463414634146,0.5260223048327137,0.5535714285714286,0.5245901639344263,0.57,0.5967741935483871,0.5763888888888888,0.34944237918215615,0.045714285714285714,0.03225806451612903,0.06,0.022727272727272728,29.683257918552034,0.42857142857142855,0.08133971291866028,0.012244897959183673,0.102880658436214,0.04186046511627907,0.09292035398230089,0.02608695652173913,0.014084507042253521,0.016,0.04519774011299435,0.02631578947368421,0.014925373134328358,0.08181818181818182,0.21875,0.125,0.04477611940298507,0.007407407407407408,,0.11524163568773234,0.7741935483870968,0.8,0.375,0.37174721189591076,0.49,0.5212765957446809,0.16326530612244897,0.16356877323420074,0.4318181818181818,0.4418604651162791,0.15789473684210525,0.03717472118959108,0.3,0.3,1.0,0.31226765799256506,0.35714285714285715,0.3614457831325301,0.6,0.17857142857142858,0.6,0.03571428571428571,0.4642857142857143,0.38461538461538464,0.8,0.16393442622950818,0.8,0.03278688524590164,,0.29508196721311475,0.2222222222222222,0.4646840148698885,0.35714285714285715,0.4955717472118959,0.4932,0.512605737704918,0.10273972602739725,0.15151515151515152,,0.10818713450292397,0.24269005847953215,10.157142857142857,26.487234042553194,0.263771186440678,,3.0,0.12,,,1.0,1.0,2.0,1.0,2.0,7.0,0.010638297872340425,0.011904761904761904,0.3333333333333333,,,,,,,,,True,,,,
1628960,1610612756,Grayson Allen,Grayson Allen,1628960,PHX,21263.5,354,83.0,707,713,194,204,113,1420,19.0,29.0,2.0,3.0,4.0,7.0,8.0,27.0,2.0,4.0,5.0,14.0,2.0,2.0,7.0,50.0,115.0,13.0,18.0,16.0,34.0,29.0,60.0,55.0,129.0,33.0,256.0,759,2.0,3.0,15.0,20.0,,49.0,8.0,14.0,18.0,41.0,9.0,79.0,20.0,38.0,126.0,39.0,2.0,115.0,50.0,5.0,29.0,20.0,49.0,12.0,8.0,14.0,14.0,1.0,118.0,6.0,6.0,17.0,9.0,28.0,12.0,40.0,2.0,17.0,12.0,5.0,12.0,3.0,9.0,11.0,2.0,3.0,,23.0,,5.0,16.0,33.0,3.0,1.0,43.0,43.0,2.0,2.0,17.0,1.0,3.0,2.0,,2.0,3.0,2.0,,79.0,191,1.0,3.0,0.3448275862068966,0.35714285714285715,0.7636363636363637,0.4263565891472868,0.75,0.43902439024390244,0.4263565891472868,0.48333333333333334,0.6666666666666666,0.5714285714285714,0.58994708994709,1.065217391304348,0.6363636363636364,0.6129807692307693,1.065217391304348,0.6475409836065574,0.6825396825396826,0.08333333333333333,0.034482758620689655,0.14814814814814814,,27.402135231316727,0.5217391304347826,0.06569343065693431,0.03314917127071823,0.09090909090909091,0.030456852791878174,0.08024691358024691,0.031746031746031744,0.017241379310344827,0.044444444444444446,0.03355704697986577,0.020833333333333332,0.07894736842105263,0.07692307692307693,,0.051094890510948905,0.2,0.02127659574468085,0.6666666666666666,0.15343915343915343,0.6551724137931034,0.6785714285714286,0.47368421052631576,0.14285714285714285,0.2962962962962963,0.34782608695652173,0.125,0.021164021164021163,0.5,0.5,,0.07407407407407407,0.35714285714285715,0.35714285714285715,1.0,0.6084656084656085,0.43478260869565216,0.4424778761061947,0.74,0.13043478260869565,0.6666666666666666,0.08695652173913043,0.782608695652174,0.7222222222222222,0.9230769230769231,0.12727272727272726,0.5714285714285714,0.12727272727272726,0.2857142857142857,0.6181818181818182,0.47058823529411764,0.8359788359788359,0.43478260869565216,0.5271688829787233,0.49735624999999994,0.5026824074074074,0.08780487804878048,0.22666666666666666,0.007692307692307693,0.19140625,0.30859375,5.301666666666666,26.913178294573637,0.2743988684582744,2.0,2.0,0.07692307692307693,1.0,1.0,2.0,1.0,1.0,,3.0,3.0,0.015503875968992248,0.017391304347826087,0.5,1.0,1.0,0.030303030303030304,,,,,,True,,,,
1630692,1610612756,Jordan Goodwin,Jordan Goodwin,1630692,PHX,64491.30000000002,1075,131.0,2160,2186,620,728,343,4346,63.0,105.0,30.0,50.0,17.0,29.0,19.0,65.0,6.0,19.0,23.0,72.0,12.0,7.0,22.0,52.0,139.0,6.0,20.0,19.0,41.0,88.0,189.0,75.0,211.0,27.0,428.0,2387,37.0,66.0,9.0,32.0,6.0,107.0,30.0,53.0,26.0,63.0,15.0,153.0,74.0,102.0,201.0,24.0,58.0,139.0,52.0,19.0,66.0,45.0,111.0,34.0,11.0,46.0,14.0,6.0,267.0,40.0,49.0,74.0,54.0,143.0,93.0,236.0,11.0,74.0,37.0,37.0,30.0,6.0,20.0,21.0,5.0,10.0,1.0,51.0,6.0,16.0,34.0,88.0,3.0,3.0,43.0,38.0,3.0,1.0,11.0,2.0,6.0,8.0,3.0,5.0,10.0,4.0,1.0,152.0,616,14.0,5.0,0.42045454545454547,0.6271186440677966,0.8933333333333333,0.35545023696682465,0.28125,0.4126984126984127,0.35545023696682465,0.4656084656084656,0.5606060606060606,0.5660377358490566,0.50125,0.5153061224489796,0.5948275862068966,0.5144230769230769,0.5297029702970297,0.6071428571428571,0.5275,0.10052910052910052,0.10476190476190476,0.12307692307692308,,18.185358255451714,0.5882352941176471,0.1134453781512605,0.09124767225325885,0.1436893203883495,0.07259528130671507,0.12916246215943492,0.0818014705882353,0.09467455621301775,0.10037174721189591,0.08235294117647059,0.03968253968253968,0.14285714285714285,0.09795918367346938,0.1,0.15425531914893617,0.11510791366906475,0.0514018691588785,0.4,0.2625,0.6,0.6702127659574468,0.3968253968253968,0.1625,0.2923076923076923,0.3333333333333333,0.3157894736842105,0.0475,0.3157894736842105,0.3157894736842105,1.0,0.18,0.3194444444444444,0.3194444444444444,1.0,0.3475,0.37410071942446044,0.37681159420289856,0.8461538461538461,0.5102040816326531,0.6,0.12244897959183673,0.20408163265306123,0.3,1.0,0.25,0.5862068965517241,0.1896551724137931,0.3181818181818182,0.35344827586206895,0.4634146341463415,0.79,0.37410071942446044,0.5528177499999998,0.561425,0.5508939655172415,0.03170731707317073,0.05583756345177665,0.009389671361502348,0.25,0.3574766355140187,5.63068783068783,25.386729857819912,0.28703703703703703,3.0,15.0,0.25,0.25,1.0,1.0,2.0,3.0,,7.0,11.0,0.004739336492890996,0.007194244604316547,0.16666666666666666,2.0,2.0,0.06060606060606061,4.0,0.07547169811320754,,,,True,,,,
1630208,1610612756,Nick Richards,Nick Richards,1630208,PHX,7908.0,132,-19.0,270,266,58,68,56,536,9.0,22.0,4.0,10.0,2.0,6.0,6.0,14.0,1.0,3.0,,,,,,,,,,,,16.0,39.0,,,5.0,37.0,312,6.0,13.0,,,1.0,13.0,2.0,7.0,,,3.0,7.0,22.0,10.0,,,8.0,,,9.0,2.0,1.0,3.0,1.0,,2.0,,,7.0,7.0,11.0,17.0,13.0,33.0,18.0,51.0,4.0,2.0,1.0,1.0,5.0,1.0,4.0,10.0,1.0,1.0,,15.0,4.0,2.0,9.0,23.0,3.0,6.0,9.0,12.0,1.0,1.0,5.0,,1.0,10.0,4.0,6.0,10.0,5.0,2.0,7.0,58,1.0,1.0,0.6875,0.9166666666666666,,,,,,0.41025641025641024,0.46153846153846156,0.2857142857142857,0.41025641025641024,0.46153846153846156,0.2857142857142857,0.4090909090909091,0.43333333333333335,0.3,,0.23076923076923078,0.2727272727272727,0.21428571428571427,,17.404129793510325,0.3333333333333333,0.25,0.12941176470588237,0.2698412698412698,0.10606060606060606,0.2608695652173913,0.11920529801324503,0.12,0.16,0.125,0.05555555555555555,0.2222222222222222,0.27586206896551724,0.2,0.2553191489361702,0.3125,0.2857142857142857,0.5,0.5641025641025641,0.4090909090909091,0.5625,0.6666666666666666,0.358974358974359,0.42857142857142855,0.5454545454545454,0.6666666666666666,0.07692307692307693,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,0.7692307692307693,0.4,,,,,0.8571428571428571,0.3333333333333333,,,,,0.5641025641025641,,0.5065923076923077,0.5040181818181818,0.49788571428571426,0.11627906976744186,0.11627906976744186,,0.35135135135135137,0.1891891891891892,5.523076923076923,,0.21481481481481482,,3.0,0.5,,,,,1.0,,2.0,,,,0.25,,,,,,1.0,,,True,,,,
1631109,1610612756,Mark Williams,Mark Williams,1631109,PHX,16308.0,272,5.0,541,548,123,190,85,1089,47.0,69.0,20.0,38.0,12.0,20.0,12.0,22.0,,1.0,,,,,,,,,,,,59.0,92.0,,,31.0,149.0,629,23.0,42.0,,,9.0,55.0,14.0,25.0,,,8.0,36.0,68.0,50.0,,,38.0,,,2.0,10.0,4.0,14.0,3.0,1.0,3.0,3.0,4.0,32.0,15.0,35.0,23.0,20.0,48.0,50.0,98.0,10.0,6.0,4.0,2.0,1.0,1.0,1.0,10.0,,,,11.0,1.0,3.0,12.0,26.0,4.0,7.0,33.0,38.0,8.0,,20.0,,3.0,9.0,3.0,6.0,10.0,4.0,,36.0,123,2.0,3.0,0.576271186440678,0.85,,,,,,0.6413043478260869,0.5476190476190477,0.56,0.6413043478260869,0.5476190476190477,0.56,0.6962616822429907,0.6111111111111112,0.6206896551724138,,0.021739130434782608,0.014492753623188406,0.045454545454545456,,18.18181818181818,0.09090909090909091,0.16393442622950818,0.23648648648648649,0.15436241610738255,0.11811023622047244,0.15867158671586715,0.18181818181818182,0.2765957446808511,0.2191780821917808,0.12745098039215685,0.08,0.13157894736842105,0.2,0.125,0.17857142857142858,0.08108108108108109,0.3225806451612903,0.4,0.75,0.6811594202898551,0.6911764705882353,0.5531914893617021,0.2391304347826087,0.5454545454545454,0.5714285714285714,0.6666666666666666,0.010869565217391304,,,,,,,,,,,,0.9047619047619048,0.5263157894736842,,,,,0.8,0.6,,,,,0.75,,0.6067119565217393,0.6052272727272726,0.6090760000000001,0.19230769230769232,0.19230769230769232,,0.3691275167785235,0.24161073825503357,2.983695652173913,,0.22735674676524953,,5.0,0.3125,,,,,,,3.0,1.0,,,0.1,1.0,,0.21428571428571427,,,1.0,1.0,4.0,True,,,,
1631221,1610612756,Collin Gillespie,Collin Gillespie,1631221,PHX,33405.799999999996,557,140.0,1119,1117,309,331,176,2236,9.0,19.0,,,2.0,6.0,20.0,41.0,12.0,25.0,12.0,24.0,4.0,4.0,8.0,59.0,129.0,7.0,12.0,15.0,27.0,41.0,85.0,71.0,153.0,30.0,325.0,1207,2.0,3.0,10.0,16.0,1.0,35.0,12.0,26.0,19.0,35.0,9.0,90.0,36.0,46.0,147.0,66.0,,129.0,59.0,10.0,55.0,42.0,97.0,26.0,16.0,32.0,21.0,2.0,236.0,9.0,7.0,34.0,28.0,62.0,16.0,78.0,3.0,24.0,17.0,7.0,27.0,4.0,14.0,6.0,1.0,13.0,1.0,33.0,2.0,11.0,17.0,35.0,1.0,,40.0,34.0,3.0,7.0,12.0,,3.0,2.0,1.0,1.0,2.0,1.0,,88.0,305,4.0,2.0,0.43902439024390244,0.43902439024390244,0.6901408450704225,0.46405228758169936,0.625,0.5428571428571428,0.46405228758169936,0.4823529411764706,0.6666666666666666,0.46153846153846156,0.6197478991596639,0.8947368421052632,0.6639344262295082,0.638,0.9210526315789473,0.6742424242424242,0.6428571428571429,0.11764705882352941,0.3157894736842105,0.0975609756097561,,21.32629992464205,0.8181818181818182,0.12173913043478261,0.02631578947368421,0.12927756653992395,0.03103448275862069,0.1257606490872211,0.02877697841726619,0.056818181818181816,0.015503875968992248,0.02654867256637168,0.046875,0.11688311688311688,0.11570247933884298,0.15625,0.1134020618556701,0.17391304347826086,0.02608695652173913,0.5,0.07983193277310924,0.47368421052631576,0.6923076923076923,0.5555555555555556,0.1722689075630252,0.4878048780487805,0.5405405405405406,0.45,0.10504201680672269,0.48,0.48,0.3333333333333333,0.10084033613445378,0.5,0.5,0.9166666666666666,0.542016806722689,0.4573643410852713,0.4573643410852713,0.6440677966101694,,,0.21052631578947367,0.631578947368421,0.5833333333333334,0.8571428571428571,0.09836065573770492,0.3333333333333333,0.13114754098360656,0.5,0.4426229508196721,0.5555555555555556,0.7226890756302521,0.4573643410852713,0.51751906779661,0.49440999999999996,0.4987098360655737,0.048582995951417005,0.1276595744680851,,0.1076923076923077,0.27692307692307694,10.224705882352943,26.571241830065357,0.2761394101876676,3.0,,,0.75,1.0,,,,2.0,1.0,9.0,,,,,,,,,,,,True,,,,
1642345,1610612756,Oso Ighodaro,Oso Ighodaro,1642345,PHX,37575.100000000006,626,150.0,1242,1259,377,385,186,2501,46.0,62.0,11.0,16.0,13.0,16.0,21.0,45.0,1.0,1.0,,,,,,,,,,,,68.0,108.0,,,16.0,152.0,1323,14.0,20.0,,,3.0,31.0,18.0,26.0,,,5.0,41.0,110.0,26.0,,,16.0,,,12.0,32.0,27.0,59.0,21.0,6.0,20.0,4.0,8.0,145.0,26.0,19.0,45.0,40.0,89.0,46.0,135.0,1.0,33.0,16.0,17.0,17.0,11.0,7.0,26.0,1.0,10.0,1.0,43.0,4.0,11.0,36.0,75.0,9.0,10.0,31.0,36.0,6.0,,18.0,,3.0,20.0,9.0,11.0,21.0,14.0,,41.0,377,14.0,3.0,0.8088235294117647,0.9166666666666666,,,,,,0.6296296296296297,0.7,0.6923076923076923,0.6296296296296297,0.7,0.6923076923076923,0.6178861788617886,0.6739130434782609,0.6612903225806451,,0.1111111111111111,0.06451612903225806,0.17777777777777778,,11.385459533607682,0.3953488372093023,0.1388888888888889,0.06462585034013606,0.1595744680851064,0.07878787878787878,0.14912280701754385,0.07211538461538461,0.06382978723404255,0.06896551724137931,0.07569721115537849,0.08860759493670886,0.12871287128712872,0.16216216216216217,0.07692307692307693,0.15736040609137056,0.16470588235294117,0.03571428571428571,0.6666666666666666,0.5740740740740741,0.7419354838709677,0.7931034482758621,0.7608695652173914,0.4166666666666667,0.4666666666666667,0.5675675675675675,0.9047619047619048,0.009259259259259259,1.0,1.0,1.0,,,,,,,,,0.8,0.6875,,,,,0.6153846153846154,0.8125,,,,,0.5740740740740741,,0.5738074074074074,0.5699583333333335,0.5698461538461539,0.15,0.15,,0.20394736842105263,0.26973684210526316,4.24537037037037,,0.3035426731078905,,4.0,0.11764705882352941,,,,,,,1.0,,,,0.18181818181818182,1.0,1.0,0.05454545454545454,1.0,0.034482758620689655,2.0,,3.0,True,,,,
1642346,1610612756,Ryan Dunn,Ryan Dunn,1642346,PHX,26724.899999999998,445,76.0,884,900,270,294,136,1784,31.0,50.0,10.0,19.0,6.0,12.0,5.0,12.0,1.0,3.0,17.0,36.0,4.0,2.0,7.0,3.0,15.0,1.0,3.0,2.0,4.0,37.0,65.0,20.0,51.0,10.0,144.0,977,11.0,20.0,2.0,7.0,2.0,30.0,7.0,13.0,4.0,11.0,4.0,30.0,52.0,22.0,60.0,,14.0,15.0,3.0,9.0,19.0,18.0,37.0,14.0,4.0,12.0,5.0,2.0,92.0,21.0,13.0,27.0,21.0,58.0,36.0,94.0,3.0,19.0,9.0,10.0,12.0,,8.0,12.0,2.0,4.0,3.0,24.0,6.0,10.0,27.0,51.0,,3.0,9.0,16.0,,,8.0,,,7.0,3.0,4.0,7.0,5.0,,30.0,270,5.0,,0.7027027027027027,0.8666666666666667,1.0,0.39215686274509803,0.2857142857142857,0.36363636363636365,0.39215686274509803,0.5692307692307692,0.55,0.5384615384615384,0.5775862068965517,0.5185185185185185,0.5416666666666666,0.5806451612903226,0.5357142857142857,0.5555555555555556,0.4396551724137931,0.13846153846153847,0.14,0.16666666666666666,,14.23076923076923,0.5,0.10606060606060606,0.06532663316582915,0.12980769230769232,0.09292035398230089,0.11822660098522167,0.08,0.04285714285714286,0.07446808510638298,0.08928571428571429,0.10344827586206896,0.04285714285714286,0.1188118811881188,0.2222222222222222,0.12666666666666668,0.13793103448275862,0.06521739130434782,0.7142857142857143,0.43103448275862066,0.62,0.7209302325581395,0.6451612903225806,0.10344827586206896,0.4166666666666667,0.5,1.0,0.02586206896551724,0.3333333333333333,0.3333333333333333,1.0,0.3103448275862069,0.4722222222222222,0.4722222222222222,1.0,0.12931034482758622,0.2,0.2,1.0,0.7037037037037037,0.5263157894736842,0.14814814814814814,0.1111111111111111,0.3333333333333333,1.0,0.5,0.5,0.2916666666666667,0.2857142857142857,0.16666666666666666,0.5,0.8706896551724138,0.2,0.5891146551724138,0.5549590909090909,0.6076750000000001,0.06451612903225806,0.1095890410958904,,0.20833333333333334,0.20833333333333334,3.7015384615384614,24.145098039215682,0.3054298642533937,1.0,10.0,0.35714285714285715,0.25,1.0,,,1.0,,,1.0,,,0.2,,,0.08571428571428572,2.0,0.08695652173913043,1.0,,,True,,,,
