EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,ThreePtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,LongMidRangeFGM,LongMidRangeFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2M,PenaltyFtPoints,SelfOReb,SecondChanceTurnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,SecondChanceFtPoints,PtsPutbacks,Offensive Fouls Drawn,Defensive 3 Seconds Violations,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,3pt And 1 Free Throw Trips,DefLongMidRangeReboundPct,on,Travels,Blocked3s,BlockedArc3,Charge Fouls,Clear Path Fouls,BlockedLongMidRange,Charge Fouls Drawn,DefensiveGoaltends
1626204,1610612739,Larry Nance Jr.,Larry Nance Jr.,1626204,CLE,1524.2,25,11,58,52,16,23.0,6,110,3.0,5.0,1.0,1.0,2.0,3.0,5,1.0,2,1.0,10,62,1.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,6.0,3.0,9,1.0,5.0,2.0,2.0,3.0,1.0,2.0,15,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.6,0.6428571428571429,0.625,0.2857142857142857,11.940298507462686,0.5,0.2222222222222222,0.13333333333333333,0.21428571428571427,0.07142857142857142,0.21739130434782608,0.10344827586206896,0.25,0.5,0.1111111111111111,0.5,0.21428571428571427,0.7142857142857143,0.6,0.6,0.6666666666666666,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,0.6303357142857143,0.6128,0.25,0.3333333333333333,1.52,24.200000000000003,0.27586206896551724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1628366,1610612739,Lonzo Ball,Lonzo Ball,1628366,CLE,5986.4,100,-7,233,220,114,106.0,32,453,1.0,3.0,,1.0,1.0,2.0,6,8.0,22,1.0,29,270,,2.0,2.0,18.0,15.0,25.0,8.0,60.0,2.0,3.0,5.0,3.0,2.0,10.0,5.0,15,5.0,10.0,,2.0,3.0,,,112,2.0,0.5,0.5,0.75,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.5,0.5,0.7857142857142857,13.80597014925373,0.5,0.06,0.06818181818181818,0.11904761904761904,0.027777777777777776,0.08695652173913043,0.04310344827586207,0.0625,,0.03508771929824561,0.045454545454545456,0.13513513513513514,0.10714285714285714,0.3333333333333333,0.5,1.0,0.03571428571428571,1.0,1.0,1.0,,0.8928571428571429,0.5559464285714286,0.57615,0.034482758620689655,,5.1000000000000005,25.890909090909087,0.4892703862660944,1.0,1.0,1.0,3.0,7.0,21.0,1.0,3.0,2.0,9.0,1.0,3.0,3.0,2.0,2.0,2.0,9.0,10.0,6.0,21.0,7.0,2.0,10.0,8.0,2.0,5.0,2.0,5.0,4.0,1.0,3.0,3.0,2.0,5.0,1.0,1.0,8.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,10.0,0.3333333333333333,0.2222222222222222,1.0,0.5,0.45454545454545453,0.5,0.45454545454545453,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.08333333333333333,0.07407407407407407,0.5,0.10714285714285714,0.3333333333333333,0.5,0.75,0.3333333333333333,0.3333333333333333,0.7142857142857143,1.0,0.3333333333333333,1.0,0.09090909090909091,1.0,0.8181818181818182,0.2222222222222222,0.3333333333333333,0.5647681818181818,0.043478260869565216,0.10344827586206896,0.3448275862068966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1628378,1610612739,Donovan Mitchell,Donovan Mitchell,1628378,CLE,8684.6,145,61,321,313,152,146.0,44,634,10.0,13.0,,2.0,5.0,29.0,47,17.0,43,29.0,138,350,4.0,16.0,42.0,18.0,9.0,25.0,6.0,66.0,4.0,,11.0,7.0,,18.0,4.0,22,2.0,6.0,1.0,25.0,33.0,3.0,11.0,149,1.0,0.27586206896551724,0.27586206896551724,0.35294117647058826,0.3953488372093023,0.3953488372093023,0.6170212765957447,0.6055555555555555,0.6538461538461539,0.4777777777777778,31.266846361185983,,0.09333333333333334,,0.171875,0.05,0.12949640287769784,0.02857142857142857,,,0.047619047619047616,0.15384615384615385,0.15517241379310345,0.14444444444444443,0.7692307692307693,0.7692307692307693,0.2,0.05555555555555555,0.4,0.4,0.5,,0.6222222222222222,0.5114122222222223,0.4357625,0.11224489795918367,0.2,9.253191489361702,25.925581395348836,0.4735202492211838,5.0,5.0,9.0,21.0,15.0,38.0,1.0,1.0,8.0,18.0,2.0,3.0,10.0,12.0,20.0,9.0,22.0,72.0,33.0,38.0,15.0,1.0,16.0,15.0,1.0,3.0,,6.0,4.0,2.0,6.0,2.0,4.0,6.0,2.0,2.0,12.0,6.0,1.0,,2.0,1.0,2.0,2.0,72.0,0.6666666666666666,0.4090909090909091,0.6,0.7142857142857143,0.6071428571428571,0.7142857142857143,0.6730769230769231,0.02127659574468085,,0.047619047619047616,0.5,,0.06666666666666667,1.0,0.23333333333333334,0.42857142857142855,0.45,0.4222222222222222,0.39473684210526316,0.39473684210526316,0.3333333333333333,0.14285714285714285,1.0,,0.11904761904761904,1.0,0.42857142857142855,0.4444444444444444,0.39473684210526316,0.5125988095238094,,0.07246376811594203,0.5217391304347826,10.0,13.0,1.0,2.0,1.0,4.0,2.0,21.0,1.0,2.0,1.0,2.0,6.0,1.0,6.0,0.5,0.058823529411764705,0.3333333333333333,0.023809523809523808,0.1111111111111111,0.14444444444444443,0.7692307692307693,0.7692307692307693,0.5,0.2857142857142857,0.5,0.09523809523809523,0.25,,,,,,,,,,,,,,True,,,,,,,,
1628386,1610612739,Jarrett Allen,Jarrett Allen,1628386,CLE,8213.1,137,41,305,294,134,126.0,35,599,20.0,31.0,8.0,,2.0,34.0,59,,3,15.0,83,329,12.0,60.0,8.0,,5.0,9.0,1.0,22.0,7.0,8.0,14.0,11.0,4.0,29.0,15.0,44,6.0,10.0,1.0,23.0,22.0,2.0,8.0,134,,0.8823529411764706,1.0,,,,0.576271186440678,0.5483870967741935,0.5763888888888888,0.04838709677419355,24.057971014492754,0.5714285714285714,0.16923076923076924,0.13114754098360656,0.2222222222222222,0.09859154929577464,0.1953125,0.11363636363636363,0.17647058823529413,,0.07547169811320754,0.15384615384615385,0.2037037037037037,0.5,0.6451612903225806,0.7692307692307693,0.85,0.03225806451612903,,,,0.6666666666666666,0.5483870967741935,0.5543008064516131,0.5411714285714285,0.11764705882352941,0.12307692307692308,4.769491525423728,25.3,0.43934426229508194,12.0,16.0,12.0,26.0,,1.0,,,,1.0,,,20.0,17.0,23.0,,1.0,45.0,,1.0,,7.0,4.0,3.0,1.0,3.0,1.0,7.0,3.0,4.0,6.0,3.0,,5.0,,6.0,11.0,4.0,2.0,,3.0,1.0,3.0,2.0,45.0,,,0.7391304347826086,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.703125,0.11864406779661017,0.16129032258064516,0.07692307692307693,0.5454545454545454,0.13157894736842105,0.2,0.6666666666666666,0.41935483870967744,0.46153846153846156,0.5,0.016129032258064516,,,,,,,0.6666666666666666,0.75,0.041666666666666664,,,0.5947604166666667,,0.24096385542168675,0.5421686746987951,2.0,2.0,,,,,8.0,11.0,1.0,1.0,1.0,,4.0,2.0,4.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.05,0.9166666666666666,0.03225806451612903,1.0,1.0,1.0,,,,,5.0,4.0,8.0,2.0,1.0,0.625,0.4,,,,,,,True,,,,,,,,
1630241,1610612739,Sam Merrill,Sam Merrill,1630241,CLE,13738.3,229,45,502,495,209,200.0,71,997,3.0,4.0,2.0,5.0,12.0,5.0,11,33.0,75,13.0,122,568,4.0,8.0,2.0,87.0,16.0,23.0,11.0,53.0,4.0,2.0,3.0,5.0,,8.0,6.0,14,14.0,28.0,1.0,19.0,13.0,,1.0,206,5.0,0.8,1.0,0.8787878787878788,0.44,0.44,0.45454545454545453,0.6337209302325582,0.657608695652174,0.872093023255814,16.95205479452055,,0.041666666666666664,0.019801980198019802,0.028846153846153848,0.028368794326241134,0.03571428571428571,0.024793388429752067,,,0.02608695652173913,0.023809523809523808,0.03225806451612903,0.046511627906976744,0.75,0.75,0.6666666666666666,0.13953488372093023,0.4166666666666667,0.4166666666666667,0.8,0.13333333333333333,0.9186046511627907,0.5399110465116279,0.5381954545454546,0.011494252873563218,0.08333333333333333,9.136363636363638,25.567999999999994,0.4163346613545817,2.0,2.0,1.0,3.0,28.0,63.0,4.0,10.0,9.0,23.0,5.0,11.0,19.0,4.0,5.0,9.0,30.0,45.0,12.0,63.0,28.0,,7.0,6.0,1.0,3.0,2.0,5.0,3.0,2.0,3.0,1.0,3.0,4.0,,,7.0,2.0,1.0,,2.0,1.0,2.0,,41.0,0.45454545454545453,0.3,0.8,0.6333333333333333,0.5,0.6333333333333333,0.5625,,,,0.42857142857142855,0.03278688524590164,0.05555555555555555,,0.03488372093023256,0.3333333333333333,0.3333333333333333,0.7325581395348837,0.4444444444444444,0.4444444444444444,0.8928571428571429,0.6666666666666666,0.4,1.0,0.05714285714285714,1.0,0.6571428571428571,0.391304347826087,0.4444444444444444,0.5328099999999999,,0.1557377049180328,0.36885245901639346,1.0,4.0,1.0,1.0,,7.0,2.0,10.0,1.0,,2.0,1.0,5.0,1.0,3.0,0.5,0.038461538461538464,,0.02127659574468085,1.0,0.046511627906976744,0.25,0.25,1.0,0.06666666666666667,1.0,0.2,,2.0,,2.0,6.0,,1.0,0.5,1.0,1.0,,,,,True,,,,,,,,
1629731,1610612739,Dean Wade,Dean Wade,1629731,CLE,5586.3,93,-13,201,211,98,80.0,30,412,1.0,2.0,,,3.0,2.0,5,4.0,11,2.0,18,236,,4.0,,9.0,,3.0,,9.0,,,5.0,3.0,,8.0,,8,8.0,14.0,,5.0,2.0,,1.0,97,3.0,1.0,1.0,0.75,0.36363636363636365,0.36363636363636365,0.4,0.5,0.5294117647058824,0.6875,7.3275862068965525,,0.06,,0.1111111111111111,,0.08421052631578947,,,,,0.13333333333333333,0.07317073170731707,0.125,0.5,1.0,1.0,0.1875,,,,,0.8125,0.542628125,,0.058823529411764705,0.16666666666666666,9.18,24.936363636363637,0.48756218905472637,1.0,1.0,,1.0,4.0,8.0,,1.0,3.0,6.0,,1.0,,1.0,1.0,3.0,7.0,13.0,3.0,8.0,4.0,1.0,3.0,3.0,,,,2.0,1.0,1.0,,,,,,,,,,,2.0,1.0,2.0,1.0,13.0,,0.42857142857142855,1.0,,0.6875,,0.7222222222222222,0.2,0.5,,,,0.030303030303030304,0.5,0.0625,,,0.5,0.5,0.5,0.75,1.0,,,0.125,1.0,0.75,0.5,0.5,0.5653687500000001,,,0.7222222222222222,1.0,2.0,,,,1.0,,2.0,,,3.0,,,1.0,,,,0.5,,,0.125,0.5,0.5,1.0,,,0.125,,,,,1.0,,,,,,,,,,True,,,,,,,,
1630596,1610612739,Evan Mobley,Evan Mobley,1630596,CLE,8946.5,149,33,318,325,112,118.0,43,643,11.0,17.0,6.0,,,22.0,40,8.0,23,13.0,81,371,7.0,24.0,20.0,18.0,7.0,19.0,2.0,50.0,3.0,4.0,16.0,17.0,1.0,34.0,10.0,44,8.0,11.0,,17.0,21.0,3.0,10.0,109,1.0,0.5454545454545454,0.631578947368421,0.75,0.34782608695652173,0.34782608695652173,0.55,0.5396825396825397,0.5625,0.36507936507936506,22.950819672131146,0.16666666666666666,0.2361111111111111,0.07017543859649122,0.22535211267605634,0.03571428571428571,0.23076923076923078,0.04964539007092199,0.10526315789473684,,0.04,0.3333333333333333,0.25,0.2698412698412698,0.6470588235294118,0.7857142857142857,0.6363636363636364,,,,,0.75,0.6349206349206349,0.5314642857142857,0.48419999999999996,0.14285714285714285,0.2127659574468085,6.5125,25.67391304347826,0.3522012578616352,4.0,6.0,10.0,20.0,8.0,23.0,,1.0,1.0,6.0,,1.0,10.0,5.0,8.0,1.0,6.0,21.0,6.0,23.0,8.0,3.0,12.0,9.0,3.0,5.0,,6.0,3.0,3.0,9.0,,2.0,3.0,3.0,7.0,12.0,2.0,,,6.0,3.0,6.0,5.0,21.0,,0.16666666666666666,0.625,0.5,0.4642857142857143,0.5555555555555556,0.5526315789473685,0.075,0.17647058823529413,,0.75,0.06451612903225806,0.1951219512195122,0.8333333333333334,0.31746031746031744,0.5,0.5,0.36507936507936506,0.34782608695652173,0.34782608695652173,0.75,0.125,,,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.16666666666666666,0.34782608695652173,0.577817857142857,,0.12345679012345678,0.25925925925925924,1.0,3.0,,,,,4.0,8.0,1.0,2.0,1.0,,2.0,3.0,2.0,0.5714285714285714,,,0.03333333333333333,0.5,0.047619047619047616,0.3333333333333333,0.3333333333333333,,,,,,4.0,2.0,6.0,,,0.6666666666666666,0.25,,,3.0,0.2727272727272727,,,True,,,,,,,,
1629631,1610612739,De'Andre Hunter,De'Andre Hunter,1629631,CLE,5261.1,88,8,189,190,54,68.0,29,379,3.0,3.0,1.0,2.0,7.0,12.0,17,4.0,16,12.0,48,226,2.0,10.0,14.0,9.0,5.0,13.0,1.0,34.0,3.0,,5.0,6.0,,11.0,3.0,14,2.0,9.0,2.0,16.0,16.0,1.0,3.0,53,5.0,0.4166666666666667,0.45454545454545453,0.75,0.25,0.25,0.7058823529411765,0.5454545454545454,0.6153846153846154,0.48484848484848486,19.90950226244344,,0.1276595744680851,,0.13157894736842105,0.05357142857142857,0.12941176470588237,0.03260869565217391,,,0.0425531914893617,0.0625,0.15625,0.09090909090909091,1.0,1.0,0.3333333333333333,0.21212121212121213,0.2857142857142857,0.2857142857142857,1.0,0.2,0.5757575757575758,0.5127333333333334,0.48226250000000004,0.16666666666666666,0.15789473684210525,6.958823529411765,25.112500000000004,0.2857142857142857,,,8.0,13.0,2.0,9.0,,2.0,,3.0,,3.0,7.0,3.0,5.0,1.0,6.0,16.0,3.0,9.0,2.0,3.0,8.0,6.0,2.0,3.0,1.0,1.0,1.0,,3.0,,2.0,2.0,2.0,1.0,5.0,1.0,,3.0,,,,,16.0,,0.16666666666666666,0.6,0.2,0.4090909090909091,0.4375,0.5714285714285714,0.17647058823529413,,0.23076923076923078,0.6,,0.14814814814814814,,0.3939393939393939,0.6153846153846154,0.8,0.2727272727272727,0.2222222222222222,0.2222222222222222,0.5,0.4,,,,,0.2727272727272727,,0.2222222222222222,0.4715727272727273,0.17647058823529413,0.14583333333333334,0.3333333333333333,1.0,1.0,,1.0,1.0,3.0,1.0,7.0,1.0,1.0,2.0,,3.0,,3.0,0.5,0.1111111111111111,,0.07142857142857142,0.5,0.030303030303030304,1.0,1.0,,0.2,,0.2727272727272727,0.3333333333333333,1.0,5.0,2.0,1.0,,1.0,,,,,,2.0,0.25,True,,,,,,,,
1629636,1610612739,Darius Garland,Darius Garland,1629636,CLE,1618.1999999999998,27,-17,61,59,34,34.0,4,120,1.0,1.0,,,,1.0,5,3.0,8,6.0,17,82,,,2.0,6.0,6.0,9.0,2.0,21.0,,2.0,1.0,,,1.0,2.0,3,1.0,3.0,1.0,5.0,6.0,,3.0,34,1.0,,,0.6666666666666666,0.375,0.375,0.2,0.4230769230769231,0.53125,0.6153846153846154,29.23076923076923,,,0.15384615384615385,0.07142857142857142,,0.041666666666666664,0.07692307692307693,,,,,,0.07692307692307693,1.0,1.0,,,,,,,0.6923076923076923,0.4765807692307693,,0.1875,0.375,8.8,27.8875,0.5573770491803278,1.0,1.0,,4.0,3.0,8.0,,,1.0,4.0,,,,1.0,4.0,1.0,4.0,9.0,3.0,8.0,3.0,,3.0,2.0,1.0,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,3.0,2.0,,,,,,,9.0,,0.25,0.25,,0.3125,,0.45,,,,0.6666666666666666,0.2,,,0.3076923076923077,,,0.6153846153846154,0.375,0.375,0.6666666666666666,,,,0.125,1.0,0.5,0.25,0.375,0.45978750000000007,,,0.5294117647058824,,,,,,,,4.0,2.0,,,,,,,,,1.0,0.2857142857142857,,,,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,
1641854,1610612739,Craig Porter Jr.,Craig Porter Jr.,1641854,CLE,2141.1000000000004,36,12,78,75,30,27.0,16,153,2.0,4.0,2.0,1.0,3.0,3.0,8,1.0,4,1.0,10,84,3.0,2.0,4.0,3.0,4.0,6.0,3.0,14.0,4.0,3.0,,2.0,,2.0,7.0,9,2.0,3.0,,1.0,2.0,,,30,,0.3333333333333333,0.5,1.0,0.25,0.25,0.375,0.375,0.38461538461538464,0.3333333333333333,17.52577319587629,,0.11764705882352941,0.125,,0.19047619047619047,0.06451612903225806,0.15555555555555556,0.14285714285714285,,0.21052631578947367,,,0.3333333333333333,0.5,0.5,,0.25,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.5500833333333334,0.6259,,,4.812500000000001,23.674999999999997,0.38461538461538464,,1.0,1.0,4.0,,1.0,,,,,,,4.0,,2.0,,2.0,1.0,,1.0,,,2.0,2.0,,,1.0,,,,4.0,,4.0,,,,4.0,1.0,,,1.0,1.0,1.0,,1.0,,,,0.6666666666666666,,0.6666666666666666,0.1,,,,1.0,0.13333333333333333,0.09090909090909091,,0.3333333333333333,0.25,0.25,0.08333333333333333,,,,,,,0.25,,,,,0.5387375,,0.4,0.1,,,,,,2.0,2.0,1.0,,,,,1.0,,1.0,0.6666666666666666,,,,1.0,,,,,,,0.5,,1.0,,2.0,,,0.5,,,,,,,1.0,True,,,,,,,,
