EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,Fg3aBlocked,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,OffRebounds,SelfOReb,BadPassSteals,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PtsUnassisted3s,LongMidRangeFGM,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,Offensive Fouls,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,BlockedShortMidRange,OffShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,BadPassOutOfBoundsTurnovers,Arc3PctBlocked,Charge Fouls,Charge Fouls Drawn,LongMidRangePctBlocked,Technical Free Throw Trips,Defensive 3 Seconds Violations,on,DefensiveGoaltends,OffensiveGoaltends,3pt And 1 Free Throw Trips,BlockedCorner3
1628988,1610612745,Aaron Holiday,Aaron Holiday,1628988,HOU,2355.2000000000003,39,-10.0,78,90,29.0,42,11,168,1.0,2.0,3.0,1.0,3.0,5.0,2.0,3.0,3.0,11.0,2.0,2.0,5.0,6.0,16.0,4.0,26.0,99,1.0,1.0,1.0,2.0,5.0,4.0,10.0,4.0,18.0,11.0,3.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,5.0,2.0,10.0,29.0,2.0,1.0,0.375,0.4,0.375,0.4,0.5238095238095238,0.6,0.5652173913043478,0.5,0.7142857142857143,0.7619047619047619,26.08695652173913,1.0,0.058823529411764705,0.05263157894736842,0.05555555555555555,0.25,0.05555555555555555,0.047619047619047616,0.14285714285714285,0.6666666666666666,0.6666666666666666,0.047619047619047616,0.23809523809523808,0.6,0.6,1.0,0.5238095238095238,0.2727272727272727,0.2727272727272727,1.0,0.6,0.6666666666666666,0.4,0.8095238095238095,0.2727272727272727,0.5150904761904762,0.4001,0.50301,0.038461538461538464,0.38461538461538464,8.600000000000001,25.7,0.3717948717948718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1629006,1610612745,Josh Okogie,Josh Okogie,1629006,HOU,23923.6,399,63.0,787,823,149.0,184,134,1610,30.0,5.0,14.0,,13.0,33.0,2.0,7.0,8.0,20.0,3.0,20.0,44.0,21.0,53.0,21.0,124.0,941,7.0,4.0,20.0,5.0,10.0,7.0,30.0,18.0,63.0,20.0,8.0,12.0,7.0,19.0,3.0,7.0,45.0,13.0,12.0,28.0,51.0,26.0,13.0,9.0,2.0,14.0,18.0,36.0,34.0,11.0,29.0,2.0,30.0,148.0,2.0,1.0,0.39622641509433965,0.5,0.39622641509433965,0.45454545454545453,0.5309278350515464,0.575,0.5585585585585585,0.5555555555555556,0.625,0.5463917525773195,13.048016701461378,0.6428571428571429,0.06091370558375635,0.07647058823529412,0.0681198910081744,0.05555555555555555,0.06923076923076923,0.30927835051546393,0.14432989690721648,0.35714285714285715,0.45454545454545453,,0.3402061855670103,0.3939393939393939,0.40625,1.0,0.20618556701030927,0.4,0.4,1.0,0.35,0.2857142857142857,0.15,0.8556701030927835,0.4,0.5828520618556701,0.56615,0.578045,0.16129032258064516,0.24193548387096775,3.2522727272727265,24.35471698113207,0.18932655654383734,15.0,4.0,5.0,3.0,7.0,5.0,2.0,4.0,3.0,5.0,2.0,9.0,4.0,10.0,22.0,8.0,8.0,1.0,4.0,4.0,1.0,14.0,7.0,2.0,3.0,23.0,3.0,13.0,7.0,5.0,2.0,1.0,7.0,4.0,2.0,2.0,1.0,13.0,3.0,3.0,3.0,2.0,2.0,0.55,0.6875,0.2222222222222222,0.7142857142857143,0.4,0.5,0.018867924528301886,0.18181818181818182,0.16666666666666666,0.21428571428571427,0.030303030303030304,0.13043478260869565,0.09523809523809523,0.029166666666666667,0.10218978102189781,0.05570291777188329,0.05263157894736842,0.05084745762711865,0.10204081632653061,0.10256410256410256,0.06451612903225806,0.06060606060606061,0.1,0.06521739130434782,0.6666666666666666,0.5,0.6,0.4666666666666667,0.8,0.3125,0.8,0.3125,0.25,0.5,1.0,0.35,0.42857142857142855,1.0,0.11926605504587157,0.23214285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1630256,1610612745,Jae'Sean Tate,Jae'Sean Tate,1630256,HOU,1129.2,19,-12.0,37,41,6.0,27,11,78,2.0,1.0,1.0,,,1.0,,,1.0,2.0,,3.0,3.0,1.0,3.0,,9.0,55,1.0,,5.0,,,,,4.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,,1.0,3.0,,,,,,3.0,3.0,,,,,,6.0,,,0.3333333333333333,,0.3333333333333333,1.0,0.75,,0.75,1.25,,0.5,11.76470588235294,,,0.14285714285714285,0.1,,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,1.0,,0.16666666666666666,,,,0.3333333333333333,0.5,0.5,,,,,0.8333333333333334,0.5,0.48691666666666666,0.3772,,0.5555555555555556,,3.7000000000000006,24.566666666666666,0.16216216216216217,2.0,,,,,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,,1.25,,,,,,,,,0.18181818181818182,0.11764705882352941,,,,0.5,,,,,,1.0,1.0,0.5,,,,,0.5,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1631095,1610612745,Jabari Smith Jr.,Jabari Smith Jr.,1631095,HOU,17062.1,284,63.0,565,589,93.0,91,87,1154,25.0,12.0,19.0,13.0,7.0,12.0,1.0,1.0,12.0,30.0,6.0,35.0,57.0,19.0,42.0,16.0,143.0,666,11.0,3.0,24.0,5.0,7.0,5.0,28.0,28.0,51.0,30.0,12.0,7.0,10.0,17.0,3.0,5.0,44.0,15.0,18.0,36.0,50.0,8.0,2.0,4.0,1.0,7.0,13.0,23.0,15.0,1.0,20.0,1.0,28.0,93.0,1.0,0.8947368421052632,0.4523809523809524,0.7142857142857143,0.4523809523809524,0.6140350877192983,0.6414141414141414,0.71875,0.6745283018867925,0.5714285714285714,0.7777777777777778,0.42424242424242425,16.79049034175334,0.5714285714285714,0.11464968152866242,0.13043478260869565,0.1213235294117647,0.21428571428571427,0.11627906976744186,0.25252525252525254,0.1919191919191919,0.631578947368421,0.75,0.13131313131313133,0.12121212121212122,0.5833333333333334,0.5833333333333334,1.0,0.30303030303030304,0.4,0.4,0.8333333333333334,0.0625,1.0,0.375,0.6767676767676768,0.4,0.5360358585858584,0.539925,0.51895625,0.16783216783216784,0.1958041958041958,7.487719298245614,25.35238095238095,0.16460176991150444,18.0,5.0,9.0,3.0,4.0,1.0,2.0,7.0,4.0,6.0,3.0,8.0,4.0,9.0,42.0,10.0,5.0,,7.0,2.0,,3.0,10.0,1.0,3.0,14.0,3.0,6.0,3.0,3.0,,,,1.0,,,5.0,10.0,8.0,5.0,9.0,4.0,1.0,0.6,0.7,0.375,0.5454545454545454,0.4444444444444444,0.5526315789473685,,0.08771929824561403,0.08,0.15789473684210525,,0.1875,0.0625,0.05952380952380952,0.03296703296703297,0.05019305019305019,0.07272727272727272,0.10526315789473684,0.030303030303030304,0.04,0.08695652173913043,0.0963855421686747,0.1724137931034483,0.075,0.4444444444444444,0.72,0.782608695652174,0.5555555555555556,0.5833333333333334,0.47368421052631576,0.5555555555555556,0.05263157894736842,0.3684210526315789,0.2857142857142857,1.0,0.25,0.75,0.6666666666666666,0.10476190476190476,0.16129032258064516,6.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.02666666666666667,0.38461538461538464,0.38461538461538464,0.8,1.0,1.0,0.023255813953488372,,,,,,,,,True,,,,
1631120,1610612745,JD Davison,JD Davison,1631120,HOU,460.9,8,-4.0,14,16,1.0,15,4,30,1.0,,,,,,,,,,,,1.0,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,9.523809523809524,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,0.4263,,,,,3.3,,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,
203991,1610612745,Clint Capela,Clint Capela,203991,HOU,4420.799999999999,74,16.0,146,139,18.0,37,30,285,18.0,2.0,5.0,,,,,,,,,15.0,23.0,,,4.0,34.0,169,12.0,2.0,16.0,,,,2.0,12.0,,,,2.0,2.0,4.0,,1.0,10.0,9.0,5.0,15.0,35.0,3.0,1.0,1.0,,3.0,7.0,8.0,3.0,,4.0,,2.0,18.0,,,,,,0.6521739130434783,0.6521739130434783,0.3333333333333333,0.68,0.6153846153846154,0.3333333333333333,,15.384615384615383,0.3333333333333333,0.15625,0.28125,0.21875,0.25,0.2916666666666667,0.782608695652174,0.21739130434782608,0.4,0.4,,,,,,,,,,,,,0.782608695652174,,0.5987130434782607,0.6453199999999999,0.5720666666666667,0.47058823529411764,0.058823529411764705,1.9173913043478261,,0.1232876712328767,13.0,7.0,11.0,1.0,2.0,,,,,7.0,,,1.0,3.0,18.0,10.0,,,2.0,,1.0,3.0,16.0,1.0,1.0,20.0,,2.0,1.0,2.0,,1.0,1.0,,,1.0,,2.0,4.0,3.0,4.0,3.0,,0.6,0.9,,0.5833333333333334,0.3333333333333333,0.5833333333333334,,,,,,0.5,0.25,0.32,0.11538461538461539,0.25,0.25,0.4117647058823529,0.1111111111111111,0.125,0.07692307692307693,0.2,0.25,,0.75,0.7222222222222222,0.7222222222222222,0.5384615384615384,1.0,0.9166666666666666,0.6363636363636364,,,,,0.6666666666666666,0.5,,0.08,0.08,,,,,1.0,,,,,1.0,0.29411764705882354,,,,,,,0.14285714285714285,,,,,,,,True,,,,
1642263,1610612745,Reed Sheppard,Reed Sheppard,1642263,HOU,8681.699999999999,145,43.0,284,286,54.0,55,58,570,7.0,3.0,9.0,11.0,,3.0,,,18.0,31.0,5.0,10.0,27.0,18.0,34.0,3.0,77.0,328,2.0,,8.0,1.0,5.0,,9.0,8.0,42.0,31.0,18.0,15.0,11.0,26.0,3.0,10.0,63.0,6.0,8.0,15.0,17.0,10.0,5.0,9.0,5.0,10.0,3.0,6.0,3.0,,4.0,,9.0,54.0,,0.7777777777777778,0.5294117647058824,0.2,0.5294117647058824,0.37037037037037035,0.6065573770491803,0.45,0.6111111111111112,0.5,0.45,0.5573770491803278,20.563380281690144,0.9,0.11428571428571428,0.09090909090909091,0.10294117647058823,,0.1,0.11475409836065574,0.14754098360655737,0.3333333333333333,0.375,0.18032786885245902,0.04918032786885246,,,,0.5081967213114754,0.5806451612903226,0.6,0.7777777777777778,,,0.5,0.6721311475409836,0.5806451612903226,0.5153131147540984,0.569225,0.45382999999999996,0.1038961038961039,0.11688311688311688,10.72962962962963,26.449999999999996,0.19014084507042253,5.0,,,1.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,6.0,3.0,5.0,12.0,,2.0,1.0,8.0,4.0,1.0,2.0,,,1.0,2.0,1.0,5.0,4.0,1.0,,,,1.0,,1.0,,2.0,3.0,1.0,5.0,1.0,,0.6,0.6,0.3333333333333333,0.5,0.6,0.5,0.029411764705882353,0.07407407407407407,0.14285714285714285,0.1111111111111111,,0.16666666666666666,,,0.0392156862745098,0.0136986301369863,,,0.05555555555555555,,0.20833333333333334,0.08571428571428572,0.0625,0.03333333333333333,0.2,0.7142857142857143,0.8333333333333334,0.4,0.6666666666666666,,,0.125,0.625,0.4,1.0,0.1,1.0,0.2,0.031746031746031744,0.06896551724137931,12.0,2.0,,,,,2.0,2.0,,2.0,,0.18181818181818182,0.18181818181818182,1.0,,,,,1.0,0.03225806451612903,,,,,,True,,,,
201145,1610612745,Jeff Green,Jeff Green,201145,HOU,572.0,10,-1.0,17,19,,13,6,36,1.0,1.0,2.0,,1.0,2.0,,,,1.0,,2.0,3.0,1.0,3.0,,7.0,23,1.0,,2.0,,,,,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,,0.3333333333333333,0.6666666666666666,0.5833333333333334,,0.5833333333333334,0.5,,0.5,23.076923076923077,,,,,,,0.16666666666666666,0.3333333333333333,0.5,0.5,,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,,,,,,,0.6666666666666666,,0.5196583333333333,0.52995,,0.2857142857142857,,7.366666666666667,23.933333333333334,,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,0.5,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,True,,,,
1630578,1610612745,Alperen Sengun,Alperen Sengun,1630578,HOU,17236.6,287,19.0,558,582,81.0,91,88,1140,48.0,19.0,48.0,18.0,2.0,2.0,,,11.0,22.0,4.0,60.0,114.0,13.0,24.0,36.0,195.0,692,30.0,3.0,40.0,,4.0,7.0,23.0,76.0,33.0,22.0,11.0,31.0,22.0,53.0,8.0,18.0,128.0,18.0,30.0,55.0,81.0,12.0,6.0,18.0,5.0,26.0,17.0,32.0,45.0,3.0,52.0,5.0,23.0,80.0,4.0,0.8461538461538461,0.5416666666666666,,0.5416666666666666,0.5263157894736842,0.5760869565217391,0.5,0.609375,0.625,0.5227272727272727,0.17391304347826086,27.63744427934621,0.6923076923076923,0.21897810218978103,0.15789473684210525,0.19123505976095617,0.18518518518518517,0.19318181818181818,0.34782608695652173,0.34782608695652173,0.3958333333333333,0.4222222222222222,0.13043478260869565,0.014492753623188406,1.0,1.0,1.0,0.15942028985507245,0.5,0.5,0.8181818181818182,,,0.25,0.5217391304347826,0.5,0.511879347826087,0.5430095238095238,0.526925,0.20512820512820512,0.11794871794871795,6.819298245614035,26.82083333333333,0.14516129032258066,33.0,11.0,18.0,6.0,6.0,,1.0,1.0,,17.0,1.0,1.0,8.0,12.0,44.0,18.0,9.0,,14.0,8.0,5.0,8.0,18.0,,7.0,26.0,6.0,6.0,13.0,8.0,2.0,,4.0,7.0,1.0,6.0,7.0,23.0,9.0,5.0,9.0,5.0,2.0,0.36666666666666664,0.43137254901960786,1.0,0.5666666666666667,0.6666666666666666,0.5967741935483871,,0.07894736842105263,0.10416666666666667,0.0625,,0.35,,0.1125,0.08080808080808081,0.10038610038610038,0.25,,0.07042253521126761,0.10714285714285714,0.17777777777777778,0.26153846153846155,0.038461538461538464,0.10714285714285714,0.5555555555555556,0.6875,0.7674418604651163,0.5151515151515151,0.21052631578947367,0.5806451612903226,0.6111111111111112,,0.03225806451612903,1.0,1.0,0.375,1.0,,0.15483870967741936,0.17692307692307693,6.0,8.0,,1.0,3.0,1.0,,,,4.0,0.06756756756756757,0.4444444444444444,0.47058823529411764,0.125,,,0.04,0.18181818181818182,,,2.0,1.0,0.05555555555555555,,,True,,,,
1641708,1610612745,Amen Thompson,Amen Thompson,1641708,HOU,17081.4,285,60.0,562,591,101.0,135,87,1153,53.0,12.0,28.0,11.0,3.0,6.0,,,2.0,7.0,,49.0,92.0,5.0,13.0,26.0,139.0,670,10.0,2.0,10.0,,,5.0,27.0,48.0,15.0,7.0,2.0,23.0,23.0,46.0,7.0,15.0,115.0,19.0,16.0,38.0,63.0,12.0,4.0,8.0,6.0,17.0,13.0,28.0,24.0,,33.0,3.0,26.0,100.0,1.0,1.0,0.38461538461538464,,0.38461538461538464,0.532608695652174,0.5380952380952381,0.6875,0.5791666666666667,0.4166666666666667,0.7105263157894737,0.12380952380952381,20.296296296296298,0.47058823529411764,0.1095890410958904,0.152,0.12915129151291513,0.19230769230769232,0.14736842105263157,0.5047619047619047,0.26666666666666666,0.42857142857142855,0.5454545454545454,0.10476190476190476,0.05714285714285714,0.5,0.5,1.0,0.06666666666666667,0.2857142857142857,0.2857142857142857,1.0,,,,0.6285714285714286,0.2857142857142857,0.5313204761904761,0.5367111111111111,0.45314999999999994,0.07194244604316546,0.19424460431654678,5.5423913043478255,25.153846153846153,0.1797153024911032,35.0,3.0,7.0,6.0,6.0,,,1.0,,4.0,,1.0,11.0,16.0,50.0,6.0,13.0,,16.0,4.0,4.0,7.0,18.0,,3.0,25.0,2.0,8.0,2.0,9.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,14.0,6.0,2.0,7.0,3.0,,0.5102040816326531,0.5434782608695652,,0.4,0.6875,0.36363636363636365,,0.14130434782608695,0.1320754716981132,0.21428571428571427,,0.15789473684210525,,0.11042944785276074,0.07142857142857142,0.09578544061302682,0.0784313725490196,0.10256410256410256,0.08695652173913043,0.034482758620689655,0.06976744186046512,0.1038961038961039,0.16666666666666666,0.05405405405405406,0.42857142857142855,0.660377358490566,0.7608695652173914,0.6285714285714286,0.16666666666666666,0.6363636363636364,0.42857142857142855,,0.09090909090909091,,,0.375,1.0,,0.11965811965811966,0.1346153846153846,,2.0,,1.0,,,1.0,1.0,1.0,3.0,0.136986301369863,0.18181818181818182,0.18181818181818182,0.5,,,,,5.0,,,,,,,True,,,,
