EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,Fg3aBlocked,StepOutOfBoundsTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,BlockedLongMidRange,BlockedShortMidRange,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,FTOffRebounds,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,OffFTReboundPct,ThreePtShootingFoulsDrawn,DefensiveGoaltends,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,Arc3PctBlocked,BlockedArc3,LongMidRangePctBlocked,OffensiveGoaltends,on,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips
1627734,1610612758,Domantas Sabonis,Domantas Sabonis,1627734,SAC,14990.0,250,-91,546,545,133.0,162.0,58,1091,37.0,56.0,8.0,13.0,11.0,17.0,10.0,25.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,10.0,2.0,2.0,49.0,83.0,4.0,14.0,25.0,135.0,685,9.0,15.0,2.0,7.0,25.0,12.0,18.0,2.0,4.0,7.0,37.0,76.0,22.0,12.0,16.0,10.0,3.0,6.0,27.0,5.0,32.0,4.0,1.0,13.0,4.0,10.0,69.0,8.0,20.0,22.0,37.0,9.0,68.0,28.0,96,5.0,11.0,4.0,7.0,5.0,2.0,2.0,14.0,3.0,1.0,19.0,1.0,7.0,12.0,31.0,1.0,3.0,8.0,24.0,3.0,36.0,2.0,16.0,3.0,2.0,2.0,2.0,2.0,37.0,132.0,4.0,3.0,0.7755102040816326,0.926829268292683,1.0,0.2857142857142857,0.5,0.2857142857142857,0.5903614457831325,0.6,0.6666666666666666,0.5670103092783505,0.5294117647058824,0.6818181818181818,0.5921052631578947,0.5952380952380952,0.6851851851851852,0.14432989690721648,0.07228915662650602,0.07142857142857142,0.08,21.69657422512235,0.2631578947368421,0.375,0.37,0.13793103448275862,0.19298245614035087,0.07339449541284404,0.2757009345794392,0.11023622047244094,0.24489795918367346,0.10606060606060606,0.03333333333333333,0.06944444444444445,0.08108108108108109,0.46153846153846156,0.42592592592592593,0.1,0.16049382716049382,0.2727272727272727,0.13157894736842105,1.0,0.5773195876288659,0.6607142857142857,0.7115384615384616,0.7567567567567568,0.25773195876288657,0.4,0.43478260869565216,0.8,0.020618556701030927,1.0,1.0,1.0,0.041237113402061855,0.25,0.25,1.0,0.10309278350515463,0.3,0.3,1.0,0.7647058823529411,0.6153846153846154,0.125,0.11764705882352941,0.7727272727272727,0.6470588235294118,0.09090909090909091,0.09090909090909091,1.0,0.7216494845360825,0.3,0.5536329896907216,0.558525,0.6408113636363636,0.14414414414414414,0.16494845360824742,0.18518518518518517,0.2740740740740741,3.955421686746989,25.49285714285714,0.24358974358974358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1628370,1610612758,Malik Monk,Malik Monk,1628370,SAC,20805.2,347,-9,739,733,203.0,234.0,88,1472,15.0,21.0,1.0,1.0,5.0,7.0,16.0,45.0,5.0,11.0,8.0,15.0,2.0,4.0,26.0,55.0,6.0,15.0,36.0,77.0,34.0,70.0,18.0,192.0,861,3.0,5.0,7.0,,18.0,12.0,24.0,7.0,19.0,7.0,52.0,40.0,32.0,96.0,2.0,55.0,26.0,6.0,22.0,5.0,27.0,4.0,1.0,9.0,9.0,4.0,59.0,2.0,3.0,12.0,11.0,,23.0,5.0,28,1.0,16.0,15.0,1.0,15.0,2.0,10.0,4.0,5.0,,19.0,1.0,6.0,17.0,28.0,,,1.0,21.0,,20.0,2.0,9.0,2.0,5.0,1.0,5.0,3.0,52.0,200.0,4.0,2.0,0.5555555555555556,0.5714285714285714,0.9411764705882353,0.4857142857142857,0.3684210526315789,0.4857142857142857,0.4675324675324675,0.6,0.5,0.5918367346938775,0.75,0.5232558139534884,0.6153846153846154,0.75,0.5531914893617021,0.47619047619047616,0.07792207792207792,0.047619047619047616,0.1111111111111111,20.95808383233533,0.7894736842105263,,0.06470588235294118,0.01507537688442211,0.0736196319018405,0.014925373134328358,0.06906906906906907,0.015015015015015015,,0.01818181818181818,0.0196078431372549,0.020202020202020204,,0.05555555555555555,0.053763440860215055,0.13043478260869565,0.07692307692307693,0.06521739130434782,0.014705882352941176,0.6,0.14285714285714285,0.7142857142857143,0.75,0.6,0.30612244897959184,0.35555555555555557,0.4,0.5,0.07482993197278912,0.45454545454545453,0.45454545454545453,0.6,0.10204081632653061,0.5333333333333333,0.5714285714285714,1.0,0.3741496598639456,0.4727272727272727,0.4727272727272727,0.9230769230769231,0.08333333333333333,1.0,,0.16666666666666666,0.16279069767441862,0.7142857142857143,0.09302325581395349,0.3488372093023256,0.4,0.6190476190476191,0.4727272727272727,0.5225768707482991,0.51141875,0.5120744186046512,0.05844155844155844,0.10714285714285714,0.09375,0.2708333333333333,7.824675324675323,25.99142857142857,0.2746955345060893,1.0,1.0,3.0,5.0,4.0,6.0,1.0,1.0,1.0,2.0,1.0,3.0,0.5714285714285714,0.014285714285714285,0.06666666666666667,0.5,1.0,0.4166666666666667,0.6,1.0,0.25,,,,,,,,,,,,,,True,,
1630173,1610612758,Precious Achiuwa,Precious Achiuwa,1630173,SAC,29767.4,496,-95,1015,1030,135.0,164.0,130,2045,38.0,56.0,15.0,25.0,5.0,9.0,18.0,50.0,,2.0,5.0,13.0,,1.0,6.0,14.0,,1.0,56.0,108.0,11.0,27.0,20.0,165.0,1220,16.0,33.0,1.0,4.0,39.0,6.0,12.0,,2.0,2.0,14.0,66.0,46.0,33.0,24.0,14.0,6.0,11.0,20.0,5.0,25.0,3.0,2.0,7.0,12.0,1.0,55.0,12.0,29.0,41.0,45.0,4.0,90.0,42.0,132,8.0,21.0,9.0,12.0,8.0,1.0,4.0,9.0,4.0,2.0,17.0,2.0,5.0,23.0,42.0,1.0,3.0,2.0,26.0,3.0,36.0,4.0,20.0,,12.0,7.0,13.0,5.0,14.0,135.0,1.0,,0.5892857142857143,0.75,1.0,0.4074074074074074,,0.4074074074074074,0.5185185185185185,0.48484848484848486,0.5,0.5370370370370371,0.5147058823529411,0.42857142857142855,0.5463576158940397,0.5131578947368421,0.4666666666666667,0.2,0.10185185185185185,0.03571428571428571,0.18,14.408233276157805,0.47058823529411764,0.2,0.1875,0.0926517571884984,0.1722689075630252,0.06936416184971098,0.1799163179916318,0.08436213991769548,0.07352941176470588,0.125,0.047058823529411764,0.072,0.0625,0.16363636363636364,0.2014388489208633,0.17391304347826086,0.1638418079096045,0.19672131147540983,0.14035087719298245,0.38461538461538464,0.4148148148148148,0.6785714285714286,0.7037037037037037,0.5263157894736842,0.37037037037037035,0.36,0.43902439024390244,0.7222222222222222,0.014814814814814815,,,,0.0962962962962963,0.38461538461538464,0.38461538461538464,1.0,0.1037037037037037,0.42857142857142855,0.42857142857142855,1.0,0.7352941176470589,0.6,0.13333333333333333,,0.6428571428571429,0.5555555555555556,0.07142857142857142,0.07142857142857142,,0.6148148148148148,0.42857142857142855,0.5505896296296297,0.5861464285714286,0.6269178571428572,0.13245033112582782,0.16129032258064516,0.23636363636363636,0.08484848484848485,4.10925925925926,25.033333333333335,0.1330049261083744,,,1.0,1.0,1.0,,,,,1.0,,5.0,1.0,,,,,0.029411764705882353,1.0,1.0,,1.0,2.0,1.0,1.0,0.045454545454545456,,,,,,,,,True,,
1642363,1610612758,Nique Clifford,Nique Clifford,1642363,SAC,14186.500000000002,236,-27,490,491,106.0,130.0,68,981,11.0,13.0,2.0,2.0,2.0,4.0,6.0,17.0,1.0,2.0,2.0,9.0,1.0,2.0,5.0,21.0,1.0,4.0,18.0,32.0,7.0,30.0,4.0,61.0,596,3.0,5.0,4.0,,6.0,4.0,8.0,2.0,6.0,1.0,15.0,24.0,12.0,21.0,,21.0,5.0,3.0,8.0,7.0,15.0,4.0,3.0,5.0,3.0,,37.0,4.0,4.0,12.0,14.0,1.0,27.0,8.0,35,,3.0,2.0,1.0,5.0,2.0,2.0,6.0,3.0,,11.0,1.0,1.0,9.0,19.0,,,2.0,9.0,,7.0,1.0,4.0,,2.0,1.0,2.0,1.0,15.0,105.0,1.0,,0.6666666666666666,0.6666666666666666,1.0,0.23333333333333334,0.3333333333333333,0.23333333333333334,0.5625,0.6,0.5,0.4596774193548387,0.3333333333333333,0.5,0.46923076923076923,0.3333333333333333,0.5,0.4838709677419355,0.09375,0.15384615384615385,0.058823529411764705,13.35676625659051,0.45454545454545453,0.09090909090909091,0.11965811965811966,0.030534351145038167,0.125,0.044444444444444446,0.12206572769953052,0.03619909502262444,0.02857142857142857,0.014492753623188406,0.07407407407407407,0.03896103896103896,0.07692307692307693,0.1,0.14084507042253522,0.0625,0.1791044776119403,,,0.5,0.20967741935483872,0.8461538461538461,1.0,0.7272727272727273,0.27419354838709675,0.35294117647058826,0.375,0.5,0.03225806451612903,0.5,0.5,1.0,0.14516129032258066,0.2222222222222222,0.2222222222222222,1.0,0.3387096774193548,0.23809523809523808,0.23809523809523808,1.0,0.2222222222222222,1.0,0.5,0.1111111111111111,0.2857142857142857,0.5,0.14285714285714285,0.2857142857142857,0.25,0.6935483870967742,0.23809523809523808,0.5170733870967743,0.46236000000000005,0.5074964285714285,0.06153846153846154,0.11428571428571428,0.09836065573770492,0.2459016393442623,6.725,25.62666666666667,0.2163265306122449,,1.0,,3.0,,,,1.0,4.0,,,1.0,,,,,,0.3333333333333333,,,0.5,,,,,,,,,,,,,,True,,
201566,1610612758,Russell Westbrook,Russell Westbrook,201566,SAC,80443.29999999997,1341,-298,2800,2805,548.0,682.0,328,5605,82.0,124.0,12.0,24.0,26.0,33.0,73.0,158.0,13.0,50.0,30.0,75.0,8.0,10.0,61.0,183.0,7.0,30.0,168.0,332.0,91.0,258.0,92.0,701.0,3425,16.0,39.0,23.0,8.0,76.0,40.0,64.0,11.0,40.0,36.0,149.0,86.0,250.0,222.0,12.0,183.0,61.0,27.0,228.0,81.0,309.0,57.0,24.0,103.0,104.0,21.0,699.0,18.0,47.0,112.0,76.0,21.0,209.0,65.0,274,9.0,64.0,37.0,27.0,105.0,29.0,74.0,49.0,31.0,4.0,154.0,6.0,27.0,42.0,113.0,1.0,11.0,3.0,100.0,4.0,133.0,8.0,60.0,6.0,7.0,3.0,8.0,5.0,147.0,541.0,14.0,4.0,0.25595238095238093,0.2654320987654321,0.8131868131868132,0.35271317829457366,0.275,0.35271317829457366,0.5060240963855421,0.41025641025641024,0.625,0.5161016949152543,0.5483870967741935,0.5432692307692307,0.5384024577572964,0.5588235294117647,0.5866141732283464,0.43728813559322033,0.08132530120481928,0.08064516129032258,0.10759493670886076,25.32242843661529,0.6818181818181818,0.2692307692307692,0.12297734627831715,0.05994897959183673,0.18152350081037277,0.03461538461538462,0.1522267206477733,0.04984662576687116,0.07692307692307693,0.05542168674698795,0.055,0.028645833333333332,0.051470588235294115,0.07272727272727272,0.12103746397694524,0.20754716981132076,0.18181818181818182,0.18064516129032257,0.029900332225913623,0.625,0.21016949152542372,0.6612903225806451,0.7192982456140351,0.34146341463414637,0.2677966101694915,0.4620253164556962,0.5177304964539007,0.1643835616438356,0.0847457627118644,0.26,0.26,0.23076923076923078,0.1271186440677966,0.4,0.40540540540540543,0.9,0.3101694915254237,0.3333333333333333,0.3333333333333333,0.7704918032786885,0.3870967741935484,0.5,0.16666666666666666,0.12903225806451613,0.3173076923076923,0.7878787878787878,0.09615384615384616,0.28846153846153844,0.23333333333333334,0.6474576271186441,0.3333333333333333,0.5240439830508472,0.5321651162790697,0.5235456730769232,0.09767441860465116,0.15625,0.10841654778887304,0.21255349500713266,7.124698795180722,25.375581395348842,0.1957142857142857,5.0,4.0,7.0,15.0,12.0,51.0,1.0,3.0,,2.0,,4.0,0.5217391304347826,0.003875968992248062,0.013333333333333334,0.625,1.0,0.24193548387096775,0.4666666666666667,1.0,0.4,,7.0,1.0,1.0,,3.0,1.0,0.011494252873563218,,,,,,True,,
203897,1610612758,Zach LaVine,Zach LaVine,203897,SAC,46829.0,780,-156,1625,1622,289.0,371.0,186,3247,47.0,67.0,1.0,2.0,11.0,14.0,25.0,52.0,18.0,47.0,16.0,40.0,8.0,11.0,47.0,122.0,6.0,17.0,90.0,166.0,63.0,162.0,67.0,436.0,2007,4.0,13.0,16.0,4.0,39.0,12.0,26.0,8.0,28.0,24.0,72.0,120.0,60.0,150.0,,122.0,47.0,13.0,31.0,26.0,57.0,15.0,11.0,13.0,14.0,4.0,140.0,3.0,1.0,38.0,20.0,,58.0,4.0,62,,16.0,10.0,6.0,31.0,6.0,16.0,22.0,15.0,2.0,53.0,4.0,10.0,37.0,62.0,1.0,2.0,,50.0,,78.0,4.0,33.0,4.0,8.0,4.0,8.0,6.0,72.0,287.0,9.0,4.0,0.6666666666666666,0.6666666666666666,0.7936507936507936,0.3888888888888889,0.2857142857142857,0.3888888888888889,0.5421686746987951,0.3076923076923077,0.46153846153846156,0.5625,0.603448275862069,0.4444444444444444,0.5991735537190083,0.6290322580645161,0.5378787878787878,0.49390243902439024,0.0783132530120482,0.04477611940298507,0.19230769230769232,22.645617855198694,0.5849056603773585,,0.055401662049861494,0.002325581395348837,0.10614525139664804,0.009708737864077669,0.08066759388038942,0.005412719891745603,,0.0044444444444444444,,0.009302325581395349,0.010638297872340425,0.020618556701030927,0.04568527918781726,0.13432835820895522,0.11851851851851852,0.06818181818181818,,0.75,0.20426829268292682,0.7014925373134329,0.734375,0.723404255319149,0.15853658536585366,0.4807692307692308,0.5952380952380952,0.72,0.14329268292682926,0.3829787234042553,0.3829787234042553,0.4444444444444444,0.12195121951219512,0.4,0.4,0.9375,0.3719512195121951,0.38524590163934425,0.3884297520661157,0.7446808510638298,0.06896551724137931,0.5,1.0,0.27586206896551724,0.25925925925925924,0.7857142857142857,0.2037037037037037,0.3148148148148148,0.35294117647058826,0.698170731707317,0.38524590163934425,0.5239179878048781,0.49930499999999994,0.5464731481481482,0.09749303621169916,0.16923076923076924,0.08944954128440367,0.1651376146788991,8.732530120481929,25.86913580246913,0.17784615384615385,5.0,2.0,4.0,8.0,9.0,39.0,1.0,6.0,,,,4.0,0.5625,0.006172839506172839,,0.625,1.0,0.27586206896551724,0.5,0.75,0.18181818181818182,,5.0,,,,2.0,,0.012195121951219513,2.0,0.00819672131147541,,,,True,,
1631165,1610612758,Keon Ellis,Keon Ellis,1631165,SAC,17282.100000000002,288,-60,615,607,162.0,162.0,71,1222,8.0,10.0,1.0,1.0,3.0,5.0,3.0,7.0,1.0,5.0,5.0,14.0,3.0,7.0,12.0,31.0,,5.0,12.0,22.0,17.0,45.0,6.0,81.0,727,1.0,2.0,8.0,3.0,14.0,5.0,7.0,3.0,12.0,5.0,24.0,16.0,8.0,48.0,2.0,31.0,12.0,,6.0,3.0,9.0,1.0,2.0,3.0,3.0,,21.0,3.0,3.0,5.0,8.0,,13.0,7.0,20,1.0,19.0,12.0,7.0,3.0,,1.0,1.0,2.0,,4.0,,,21.0,30.0,,1.0,,12.0,3.0,7.0,,1.0,1.0,5.0,1.0,7.0,5.0,24.0,158.0,1.0,,0.6666666666666666,0.7272727272727273,0.9411764705882353,0.37777777777777777,0.25,0.37777777777777777,0.5454545454545454,0.5,0.7142857142857143,0.5597014925373134,0.55,0.5,0.5785714285714286,0.6363636363636364,0.5714285714285714,0.6716417910447762,,,,10.541310541310542,0.75,,0.06557377049180328,0.017341040462427744,0.041666666666666664,0.025,0.05371900826446281,0.020477815699658702,0.023809523809523808,0.02247191011235955,,0.02197802197802198,0.034482758620689655,0.030303030303030304,0.07936507936507936,0.07692307692307693,0.0425531914893617,0.038461538461538464,0.02702702702702703,0.7142857142857143,0.14925373134328357,0.8,0.8,0.625,0.1044776119402985,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.07462686567164178,0.2,0.2,1.0,0.208955223880597,0.35714285714285715,0.35714285714285715,1.0,0.4626865671641791,0.3870967741935484,0.3870967741935484,0.9166666666666666,0.1,1.0,,0.3,0.2631578947368421,0.6,0.3684210526315789,0.2631578947368421,,0.8208955223880597,0.3870967741935484,0.5443126865671641,0.5386916666666667,0.5697736842105263,0.028985507246376812,0.043478260869565216,0.1728395061728395,0.2962962962962963,8.018181818181818,25.315555555555562,0.2634146341463415,1.0,3.0,2.0,5.0,3.0,3.0,,,,3.0,,4.0,0.375,,,0.3333333333333333,1.0,0.5,0.4,1.0,0.42857142857142855,1.0,1.0,2.0,,0.0625,1.0,,0.021739130434782608,,,2.0,,,True,,
201942,1610612758,DeMar DeRozan,DeMar DeRozan,201942,SAC,65963.59999999999,1099,-268,2301,2307,450.0,547.0,249,4608,29.0,44.0,3.0,4.0,5.0,8.0,96.0,167.0,77.0,172.0,12.0,28.0,4.0,7.0,9.0,36.0,1.0,5.0,202.0,383.0,21.0,64.0,153.0,620.0,2824,15.0,27.0,13.0,13.0,49.0,31.0,56.0,5.0,12.0,56.0,133.0,170.0,234.0,57.0,10.0,36.0,9.0,15.0,57.0,76.0,133.0,55.0,21.0,34.0,16.0,7.0,342.0,8.0,12.0,41.0,42.0,5.0,88.0,20.0,108,10.0,45.0,33.0,12.0,23.0,4.0,15.0,8.0,8.0,2.0,31.0,2.0,6.0,36.0,66.0,,6.0,1.0,124.0,3.0,171.0,19.0,73.0,12.0,9.0,2.0,9.0,2.0,125.0,443.0,7.0,8.0,0.4207920792079208,0.43147208121827413,0.9047619047619048,0.328125,0.4166666666666667,0.328125,0.5274151436031331,0.5555555555555556,0.5535714285714286,0.5223713646532439,0.45,0.5661764705882353,0.5904669260700389,0.5217391304347826,0.6956521739130435,0.14317673378076062,0.0391644908616188,0.11363636363636363,0.03592814371257485,21.05059868675164,0.7419354838709677,0.07692307692307693,0.08333333333333333,0.018575851393188854,0.08151093439363817,0.01927710843373494,0.08242303872889771,0.01885014137606032,0.030303030303030304,0.014577259475218658,0.017543859649122806,0.025974025974025976,,0.12121212121212122,0.06944444444444445,0.07142857142857142,0.08288770053475936,0.07751937984496124,0.04807692307692308,0.2222222222222222,0.09843400447427293,0.6590909090909091,0.7435897435897436,0.5172413793103449,0.37360178970917224,0.5748502994011976,0.5962732919254659,0.3541666666666667,0.38478747203579416,0.4476744186046512,0.4583333333333333,0.4675324675324675,0.06263982102908278,0.42857142857142855,0.42857142857142855,0.9166666666666666,0.08053691275167785,0.25,0.25,0.8888888888888888,0.1,0.75,0.3333333333333333,0.1,0.11764705882352941,0.625,0.10294117647058823,0.07352941176470588,0.2,0.24161073825503357,0.25,0.46238568232662197,0.4925655172413793,0.441708088235294,0.14741035856573706,0.16704805491990846,0.07903225806451612,0.21451612903225806,12.558746736292429,25.084375,0.19556714471968709,2.0,4.0,,9.0,2.0,6.0,,1.0,2.0,5.0,2.0,5.0,0.15384615384615385,,,0.5,1.0,0.225,,,0.5714285714285714,,,,,,1.0,,0.015384615384615385,15.0,,,0.023255813953488372,,True,,
1642269,1610612758,Devin Carter,Devin Carter,1642269,SAC,1525.2,25,5,55,52,5.0,22.0,6,107,2.0,3.0,1.0,1.0,,,,,,,,,,,,1.0,,,2.0,3.0,,1.0,2.0,6.0,61,1.0,1.0,,,2.0,,,,,,,2.0,2.0,,2.0,1.0,,1.0,3.0,1.0,4.0,,1.0,1.0,1.0,1.0,9.0,1.0,2.0,,1.0,,1.0,3.0,4,,1.0,1.0,,,,,1.0,,,1.0,,,2.0,6.0,1.0,,,1.0,,2.0,,1.0,,,,,,,5.0,1.0,,0.5,1.0,,,,,0.6666666666666666,1.0,,0.5,1.0,,0.6,1.0,,0.25,0.3333333333333333,0.3333333333333333,,9.67741935483871,,,0.07142857142857142,0.15384615384615385,,0.125,0.03571428571428571,0.14285714285714285,,,0.4,0.125,,,,1.0,,,,,0.75,0.6666666666666666,1.0,0.5,,,,,,,,,,,,,0.25,,,,1.0,1.0,,,,,,,,1.0,,0.5461499999999999,0.5316,,0.2,0.25,0.3333333333333333,,2.5666666666666664,24.0,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
203471,1610612758,Dennis Schröder,Dennis Schröder,203471,SAC,19043.800000000003,317,-105,670,680,164.0,232.0,80,1350,15.0,21.0,,1.0,2.0,2.0,10.0,29.0,6.0,18.0,2.0,7.0,1.0,,14.0,41.0,4.0,11.0,31.0,68.0,16.0,48.0,28.0,138.0,820,,3.0,8.0,4.0,22.0,4.0,14.0,4.0,11.0,9.0,29.0,16.0,46.0,39.0,,41.0,14.0,10.0,32.0,19.0,51.0,12.0,7.0,14.0,13.0,5.0,121.0,6.0,1.0,17.0,13.0,,30.0,7.0,37,1.0,11.0,7.0,4.0,10.0,3.0,7.0,8.0,3.0,2.0,18.0,3.0,5.0,14.0,26.0,2.0,2.0,,28.0,,32.0,2.0,11.0,3.0,2.0,,2.0,,25.0,160.0,1.0,1.0,0.25806451612903225,0.25806451612903225,0.8125,0.3333333333333333,0.36363636363636365,0.3333333333333333,0.45588235294117646,,0.2857142857142857,0.47413793103448276,0.8181818181818182,0.4,0.5307692307692308,0.8461538461538461,0.48333333333333334,0.41379310344827586,0.14705882352941177,0.14285714285714285,0.1724137931034483,19.499341238471672,0.5555555555555556,,0.1,0.005263157894736842,0.10429447852760736,0.04580152671755725,0.10238907849829351,0.021806853582554516,,,0.020833333333333332,0.043010752688172046,0.05263157894736842,0.0967741935483871,0.0958904109589041,0.11538461538461539,0.088,0.15789473684210525,0.017857142857142856,,0.1810344827586207,0.7142857142857143,0.8333333333333334,0.3333333333333333,0.25,0.3448275862068966,0.4166666666666667,0.2,0.15517241379310345,0.3333333333333333,0.375,0.16666666666666666,0.0603448275862069,0.2857142857142857,0.2857142857142857,1.0,0.35344827586206895,0.34146341463414637,0.358974358974359,0.7857142857142857,0.09090909090909091,,,0.09090909090909091,0.08,1.0,,0.44,0.36363636363636365,0.5948275862068966,0.34146341463414637,0.49348060344827577,0.52956875,0.45604800000000006,0.10236220472440945,0.14285714285714285,0.15942028985507245,0.21014492753623187,8.526470588235295,25.96875,0.24477611940298508,,,6.0,7.0,6.0,9.0,2.0,,,4.0,,2.0,0.75,0.041666666666666664,,,,0.6363636363636364,0.8571428571428571,0.8333333333333334,,,1.0,,,,2.0,,0.04,,0.04878048780487805,,0.1111111111111111,,True,,
