EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGA,Corner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,Corner3Assists,FTDefRebounds,LostBallSteals,PenaltyTurnovers,Offensive Fouls,Charge Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedAtRim,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffAtRimReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,2pt And 1 Free Throw Trips,AtRimPctBlocked,DefLongMidRangeReboundPct,LongMidRangeFGM,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,DefensiveGoaltends,LongMidRangePctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ThreePtShootingFoulsDrawnPct,SecondChanceTurnovers,Loose Ball Fouls Drawn,OffLongMidRangeReboundPct,SecondChanceFtPoints,FTOffRebounds,StepOutOfBoundsTurnovers,Technical Free Throw Trips,OffFTReboundPct,LongMidRangePctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,LongMidRangeAssists,Charge Fouls,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,on,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,Blocked3s,BlockedArc3,BlockedCorner3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,BlockedLongMidRange,Defensive 3 Seconds Violations
1628978,1610612750,Donte DiVincenzo,Donte DiVincenzo,1628978,MIN,5051.1,84,-8.0,170,170,4,21,21,340,2.0,4.0,1.0,2.0,4.0,1.0,9.0,20.0,1.0,2.0,6.0,9.0,24.0,31.0,185,2.0,2.0,4.0,27.0,20.0,9.0,1.0,4.0,2.0,6.0,2.0,2.0,2.0,14.0,3.0,1.0,2.0,5.0,7.0,4.0,11.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.375,0.375,0.3333333333333333,0.5166666666666667,0.5166666666666667,0.8,0.041666666666666664,0.05,17.171717171717173,0.75,0.09803921568627451,0.02040816326530612,0.05405405405405406,0.07142857142857142,0.07954545454545454,0.04395604395604396,0.038461538461538464,0.034482758620689655,0.15384615384615385,0.058823529411764705,0.15384615384615385,0.07142857142857142,0.1111111111111111,1.0,0.13333333333333333,0.5,0.5,1.0,0.06666666666666667,0.13333333333333333,0.6666666666666666,0.45,0.47368421052631576,1.0,0.25,0.25,0.25,0.9333333333333333,0.45,0.5566266666666666,0.4474,4.416666666666667,25.895833333333332,0.023529411764705882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1629675,1610612750,Naz Reid,Naz Reid,1629675,MIN,7181.1,120,-19.0,249,247,35,69,30,496,7.0,8.0,5.0,16.0,13.0,1.0,5.0,20.0,,13.0,25.0,9.0,33.0,55.0,272,6.0,1.0,14.0,27.0,20.0,5.0,,4.0,4.0,8.0,3.0,3.0,1.0,20.0,,5.0,6.0,13.0,23.0,5.0,28.0,3.0,7.0,3.0,3.0,1.0,1.0,3.0,2.0,6.0,10.0,19.0,3.0,7.0,9.0,5.0,9.0,6.0,35,0.5384615384615384,0.6363636363636364,1.0,0.2727272727272727,0.2727272727272727,0.52,0.45689655172413796,0.45081967213114754,0.5689655172413793,,,23.26388888888889,0.5,0.18055555555555555,0.07575757575757576,0.13636363636363635,,0.16379310344827586,0.04032258064516129,0.13333333333333333,,,0.23333333333333334,0.1935483870967742,0.03125,0.0967741935483871,0.6666666666666666,0.13793103448275862,0.875,0.875,0.5714285714285714,0.27586206896551724,0.22413793103448276,0.3448275862068966,0.25,0.25,1.0,0.7142857142857143,0.14285714285714285,,0.7068965517241379,0.25,0.5280429824561402,0.5492916666666666,6.244,25.657575757575763,0.14056224899598393,4.0,1.0,1.0,6.0,1.0,4.0,3.0,1.0,3.0,2.0,4.0,8.0,1.0,1.0,1.0,6.0,1.0,6.0,12.0,4.0,4.0,1.0,4.0,4.0,1.0,2.0,1.0,6.0,2.0,1.0,4.0,6.0,2.0,1.0,0.16666666666666666,0.6666666666666666,1.0,0.5714285714285714,0.35714285714285715,0.5714285714285714,0.375,0.16,0.25,0.5,0.045454545454545456,0.4166666666666667,0.375,0.5,0.5,0.017241379310344827,0.3076923076923077,0.3076923076923077,1.0,0.8,0.25,0.14285714285714285,1.0,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.5741071428571428,0.03333333333333333,0.07407407407407407,0.14545454545454545,0.10909090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1630162,1610612750,Anthony Edwards,Anthony Edwards,1630162,MIN,2340.0,39,-2.0,86,84,19,22,7,170,2.0,3.0,,3.0,,,2.0,9.0,1.0,4.0,6.0,2.0,9.0,20.0,80,,1.0,2.0,6.0,9.0,2.0,,1.0,2.0,3.0,1.0,1.0,,8.0,,,2.0,3.0,5.0,,5.0,,3.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,,,,4.0,,,,,19,0.25,0.25,1.0,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.4666666666666667,0.5555555555555556,0.6,,,23.404255319148938,0.75,0.14285714285714285,,0.13333333333333333,,0.1388888888888889,,,,,0.2,,0.18181818181818182,,,0.2,0.6666666666666666,1.0,0.5,0.2,,0.6,0.2222222222222222,0.2222222222222222,1.0,,,1.0,0.8,0.2222222222222222,0.5448033333333334,,4.2,26.077777777777783,0.22093023255813954,,,1.0,2.0,,,,,1.0,6.0,,,,1.0,,1.0,2.0,2.0,6.0,,1.0,1.0,,1.0,,,,7.0,4.0,,,2.0,,,,,,,,,0.3333333333333333,0.16666666666666666,,,,,0.6666666666666666,0.6666666666666666,,,,,,,,0.5,,,0.5,,0.5334,0.2222222222222222,0.4444444444444444,,0.1,1.0,0.3333333333333333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1642265,1610612750,Rob Dillingham,Rob Dillingham,1642265,MIN,10526.7,175,-27.0,369,371,79,137,42,740,13.0,24.0,,22.0,3.0,,4.0,14.0,2.0,24.0,62.0,5.0,17.0,72.0,410,2.0,2.0,18.0,12.0,14.0,4.0,,16.0,16.0,32.0,13.0,11.0,5.0,80.0,3.0,,7.0,9.0,16.0,3.0,19.0,,15.0,11.0,12.0,5.0,9.0,6.0,3.0,18.0,10.0,16.0,1.0,11.0,,,,,79,0.375,0.391304347826087,0.8,0.29411764705882354,0.29411764705882354,0.3870967741935484,0.3987341772151899,0.42857142857142855,0.21518987341772153,,,24.228028503562946,0.6666666666666666,0.09,,0.10294117647058823,0.036585365853658534,0.09523809523809523,0.01694915254237288,,0.03571428571428571,0.038461538461538464,0.07692307692307693,0.06818181818181818,0.12244897959183673,,,0.3037974683544304,0.5416666666666666,0.7222222222222222,0.46153846153846156,0.27848101265822783,0.0379746835443038,0.17721518987341772,0.2857142857142857,0.2857142857142857,0.75,,,0.5,0.5189873417721519,0.2857142857142857,0.524696835443038,0.52365,8.25,25.182352941176468,0.2140921409214092,,4.0,7.0,7.0,16.0,1.0,,,1.0,9.0,1.0,2.0,4.0,14.0,,1.0,1.0,9.0,30.0,2.0,9.0,3.0,,4.0,6.0,,,13.0,5.0,,,9.0,,,,0.5,0.2857142857142857,0.25,0.26666666666666666,0.25,0.3,0.14516129032258066,0.09090909090909091,,,0.05263157894736842,0.3181818181818182,0.35,0.42857142857142855,0.20253164556962025,0.3333333333333333,0.3333333333333333,1.0,,,0.4666666666666667,0.5714285714285714,,0.06666666666666667,,0.5427466666666667,0.07142857142857142,0.07575757575757576,0.027777777777777776,0.125,1.0,0.25,0.17647058823529413,4.0,3.0,1.0,1.0,1.0,1.0,0.0625,0.25,0.26666666666666666,0.05555555555555555,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
203497,1610612750,Rudy Gobert,Rudy Gobert,203497,MIN,5603.1,93,8.0,185,183,18,26,25,368,14.0,18.0,7.0,5.0,,,,,,16.0,23.0,,,35.0,182,7.0,,24.0,,,,,,4.0,4.0,3.0,,,12.0,3.0,7.0,6.0,8.0,17.0,10.0,27.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,,4.0,2.0,9.0,4.0,15.0,6.0,3.0,6.0,2.0,18,0.75,1.0,,,,0.6956521739130435,0.6956521739130435,0.6730769230769231,,,,14.018691588785046,0.5,0.13114754098360656,0.1346153846153846,0.16216216216216217,0.07317073170731707,0.14285714285714285,0.10752688172043011,0.034482758620689655,0.0967741935483871,,0.21052631578947367,0.10344827586206896,0.14285714285714285,0.16666666666666666,0.3333333333333333,0.782608695652174,0.7777777777777778,0.8235294117647058,0.7142857142857143,0.21739130434782608,,,,,,1.0,,,0.782608695652174,,0.6595347826086957,0.6031500000000001,2.039130434782609,,0.0972972972972973,5.0,2.0,2.0,2.0,,,,,,3.0,5.0,10.0,2.0,2.0,,,1.0,5.0,8.0,8.0,1.0,1.0,3.0,,,1.0,,7.0,3.0,1.0,3.0,5.0,1.0,1.0,,0.7142857142857143,1.0,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333334,0.043478260869565216,,0.42857142857142855,0.35714285714285715,0.2222222222222222,0.4,0.4,1.0,,,,,0.7142857142857143,0.2,1.0,1.0,,,,0.7619,0.12,0.12,0.2857142857142857,0.14285714285714285,1.0,0.05555555555555555,0.07692307692307693,,,,,,,,,,,2.0,4.0,0.1111111111111111,,,,,,,,,,,,,,,True,,,,,,,,,,,
203944,1610612750,Julius Randle,Julius Randle,203944,MIN,5056.0,84,-12.0,174,177,47,71,18,351,9.0,14.0,4.0,8.0,1.0,,5.0,11.0,1.0,13.0,23.0,5.0,12.0,56.0,211,4.0,1.0,8.0,12.0,11.0,5.0,,6.0,7.0,13.0,3.0,3.0,3.0,33.0,1.0,4.0,4.0,7.0,14.0,6.0,20.0,3.0,3.0,2.0,3.0,2.0,3.0,6.0,,9.0,3.0,8.0,,10.0,1.0,,1.0,1.0,47,0.3076923076923077,0.3333333333333333,0.8,0.4166666666666667,0.4166666666666667,0.5652173913043478,0.5857142857142857,0.6547619047619048,0.34285714285714286,,,25.5,0.3333333333333333,0.17073170731707318,0.1,0.12121212121212122,0.027777777777777776,0.14864864864864866,0.06578947368421052,0.11764705882352941,0.038461538461538464,,0.23529411764705882,0.0625,0.12,0.17647058823529413,1.0,0.4,0.6428571428571429,0.6428571428571429,0.2222222222222222,0.22857142857142856,0.02857142857142857,0.3142857142857143,0.45454545454545453,0.45454545454545453,0.8,0.8,,0.2,0.7428571428571429,0.45454545454545453,0.5746528571428572,0.59333,4.465217391304348,25.70833333333334,0.27011494252873564,1.0,3.0,4.0,3.0,1.0,,,1.0,3.0,15.0,1.0,4.0,4.0,6.0,1.0,3.0,10.0,21.0,18.0,2.0,,4.0,3.0,1.0,1.0,1.0,,16.0,8.0,,1.0,21.0,2.0,,0.3333333333333333,0.25,0.6666666666666666,0.2,0.6111111111111112,0.3333333333333333,0.75,,,0.5,0.058823529411764705,0.125,0.375,0.375,0.3333333333333333,0.02857142857142857,,,,0.25,,0.4444444444444444,0.75,,0.3333333333333333,0.3333333333333333,0.58245,0.19047619047619047,0.26666666666666666,0.07142857142857142,0.375,1.0,,0.25,1.0,3.0,2.0,,,,,1.0,1.0,,,,0.16666666666666666,2.0,1.0,1.0,1.0,0.16666666666666666,1.0,,,,,,,,,True,,,,,,,,,,,
1630183,1610612750,Jaden McDaniels,Jaden McDaniels,1630183,MIN,5530.0,92,7.0,189,185,37,43,18,374,4.0,9.0,6.0,15.0,5.0,,5.0,6.0,1.0,13.0,27.0,7.0,11.0,51.0,198,8.0,1.0,12.0,18.0,6.0,5.0,,7.0,2.0,9.0,2.0,4.0,2.0,20.0,1.0,6.0,5.0,7.0,13.0,7.0,20.0,7.0,1.0,1.0,3.0,4.0,1.0,6.0,2.0,9.0,6.0,13.0,2.0,4.0,3.0,1.0,3.0,2.0,37,0.46153846153846156,0.6666666666666666,0.8571428571428571,0.6363636363636364,0.6363636363636364,0.48148148148148145,0.618421052631579,0.6375,0.2894736842105263,,,23.22274881516588,0.3333333333333333,0.12727272727272726,0.12,0.1282051282051282,0.03333333333333333,0.1276595744680851,0.0875,0.07692307692307693,,0.1111111111111111,0.047619047619047616,0.2,0.16129032258064516,0.4666666666666667,0.6666666666666666,0.23684210526315788,0.4444444444444444,0.5,,0.39473684210526316,0.13157894736842105,0.15789473684210525,0.8333333333333334,0.8333333333333334,0.8,0.6666666666666666,,0.1111111111111111,0.5263157894736842,0.8333333333333334,0.5167934210526317,0.5427785714285714,6.544444444444444,24.44545454545454,0.19576719576719576,4.0,1.0,3.0,9.0,3.0,2.0,1.0,2.0,2.0,4.0,6.0,15.0,4.0,8.0,2.0,3.0,,14.0,14.0,8.0,3.0,,1.0,,2.0,1.0,,4.0,2.0,,2.0,14.0,3.0,,0.6666666666666666,0.75,0.5,0.8333333333333334,0.6363636363636364,0.8333333333333334,0.6363636363636364,0.1111111111111111,,0.16666666666666666,0.23529411764705882,,0.6,0.6,0.6666666666666666,0.07894736842105263,0.4,0.4,1.0,0.6666666666666666,,0.2727272727272727,0.3333333333333333,0.09090909090909091,0.18181818181818182,1.0,0.4788454545454545,0.05,0.06896551724137931,0.29411764705882354,0.27450980392156865,,0.1111111111111111,0.1111111111111111,,3.0,,,,,0.6666666666666666,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,True,,,,,,,,,,,
1630538,1610612750,Bones Hyland,Bones Hyland,1630538,MIN,2196.6000000000004,37,-6.0,88,90,28,62,9,178,6.0,6.0,1.0,,1.0,,,5.0,,6.0,6.0,1.0,6.0,15.0,101,1.0,,4.0,3.0,5.0,,,5.0,2.0,7.0,2.0,5.0,,16.0,2.0,,1.0,2.0,3.0,2.0,5.0,,3.0,2.0,,,,,,,,2.0,1.0,1.0,,,,,28,0.3333333333333333,0.4,1.0,0.16666666666666666,0.16666666666666666,1.0,0.625,0.625,0.5,,,12.244897959183673,,0.10526315789473684,,0.07692307692307693,0.08695652173913043,0.09375,0.045454545454545456,,,0.25,0.25,,0.1,,,0.5,1.0,1.0,0.3333333333333333,,0.08333333333333333,0.4166666666666667,,,,1.0,,,1.0,,0.6202166666666666,,1.7666666666666666,25.133333333333336,0.3181818181818182,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,2.0,1.0,1.0,,1.0,,2.0,8.0,2.0,,,,1.0,,,,,,,,2.0,2.0,,,1.0,1.0,1.0,0.5,1.0,0.5,,,,,,,,,,1.0,1.0,1.0,1.0,,0.5,1.0,,0.5,,0.66085,,,0.13333333333333333,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1630545,1610612750,Terrence Shannon Jr.,Terrence Shannon Jr.,1630545,MIN,2373.2,40,-27.0,84,86,45,60,10,170,2.0,3.0,1.0,,4.0,1.0,2.0,2.0,,2.0,4.0,3.0,6.0,16.0,109,1.0,1.0,4.0,6.0,2.0,2.0,,2.0,1.0,3.0,,2.0,,7.0,,,1.0,,2.0,,2.0,,1.0,1.0,,,,,,,2.0,5.0,1.0,3.0,,,,,45,1.0,1.0,0.6666666666666666,0.5,0.5,0.5,0.65,0.6666666666666666,0.6,,,12.631578947368421,,,,0.1,,0.030303030303030304,,,,,,,,,,0.3,0.6666666666666666,1.0,1.0,,0.4,0.2,1.0,1.0,0.5,0.5,0.5,,0.9,1.0,0.6009150000000001,0.5840000000000001,4.7749999999999995,24.183333333333334,0.5357142857142857,1.0,2.0,3.0,,1.0,1.0,2.0,,,3.0,1.0,2.0,2.0,3.0,,2.0,1.0,5.0,,,1.0,1.0,1.0,,,,1.0,4.0,2.0,,,5.0,1.0,,,1.0,0.6666666666666666,0.5,0.4,0.5,0.4166666666666667,0.25,,0.3333333333333333,,0.16666666666666666,,,,0.1,0.25,0.25,1.0,1.0,1.0,0.6,0.6666666666666666,0.4,,,0.68943,0.16666666666666666,0.3333333333333333,0.125,0.3125,,0.3333333333333333,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1631159,1610612750,Leonard Miller,Leonard Miller,1631159,MIN,1306.4,22,-12.0,55,56,18,42,4,111,2.0,2.0,,2.0,4.0,,,,,3.0,4.0,,4.0,6.0,67,,,4.0,,,,,3.0,,3.0,,2.0,1.0,6.0,1.0,,3.0,3.0,6.0,1.0,7.0,,2.0,1.0,,1.0,,1.0,,1.0,3.0,4.0,,1.0,,,,,18,0.6666666666666666,0.6666666666666666,,,,0.75,0.375,0.375,0.5,,,15.517241379310345,,0.3,,0.3333333333333333,0.07692307692307693,0.3157894736842105,0.04,,0.14285714285714285,,0.25,0.4,0.4,,,0.25,1.0,1.0,1.0,0.25,0.5,,,,,,,,0.75,,0.5685625,,4.775,23.325000000000003,0.32727272727272727,,2.0,2.0,1.0,,,2.0,,,,,,3.0,4.0,,2.0,,6.0,2.0,,,,,1.0,,,,,,,,6.0,1.0,,,,0.75,,0.5,,0.5,,,,,0.25,0.5,0.5,,,,,,,,0.3333333333333333,1.0,0.3333333333333333,,,0.5562333333333334,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
