EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,DefTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG3M,FTDefRebounds,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,ShortMidRangePctBlocked,DefFTReboundPct,DefAtRimReboundPct,SecondChanceArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffAtRimReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,Travels,PenaltyCorner3FGM,LostBallTurnovers,Charge Fouls,OffShortMidRangeReboundPct,OffArc3ReboundPct,PenaltyCorner3Accuracy,SecondChanceAtRimPctAssisted,DefLongMidRangeReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,PenaltyFtPoints,on,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,Fg3aBlocked,FTOffRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,RecoveredBlocks,DefensiveGoaltends,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,LongMidRangePctBlocked,BlockedArc3,Corner3PctBlocked,BlockedLongMidRange,OffensiveGoaltends,Clear Path Fouls
1629660,1610612763,Ty Jerome,Ty Jerome,1629660,MEM,595.0,10,1,22,21,43,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,5.0,22,2.0,2.0,3.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.35714285714285715,0.5,31.818181818181817,0.3333333333333333,0.25,0.5,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,0.5155333333333334,0.14285714285714285,0.25,4.266666666666667,25.733333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630590,1610612763,Scotty Pippen Jr.,Scotty Pippen Jr.,1630590,MEM,3597.0,60,-12,129,129,258,4.0,6.0,5.0,11.0,6.0,9.0,17.0,7.0,5.0,32.0,148,10.0,8.0,6.0,8.0,13.0,3.0,31.0,1.0,2.0,3.0,6.0,4.0,2.0,11.0,6.0,3.0,0.5555555555555556,0.5555555555555556,0.5294117647058824,0.5625,0.5925925925925926,0.2916666666666667,22.22222222222222,0.03125,0.03389830508474576,,0.25,0.6666666666666666,0.8,0.75,0.4583333333333333,0.45454545454545453,0.45454545454545453,0.25,0.5416666666666666,0.5041062500000001,0.1111111111111111,0.15,7.535294117647059,25.54285714285714,30.0,37.0,8.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,6.0,3.0,8.0,6.0,3.0,3.0,1.0,5.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,5.0,1.0,5.0,13.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,8.0,29.0,2.0,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.058823529411764705,0.16666666666666666,0.6,0.037037037037037035,0.027777777777777776,0.015384615384615385,0.125,0.06666666666666667,0.1111111111111111,0.4,0.041666666666666664,0.5,0.5,0.6666666666666666,0.1111111111111111,1.0,0.1111111111111111,0.2222222222222222,0.5,0.48641666666666666,0.25,0.23255813953488372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641707,1610612763,Taylor Hendricks,Taylor Hendricks,1641707,MEM,1349.0,22,-20,50,46,96,2.0,3.0,1.0,4.0,7.0,3.0,7.0,9.0,1.0,13.0,60,2.0,4.0,7.0,1.0,1.0,,2.0,1.0,8.0,8.0,2.0,,2.0,2.0,3.0,1.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.375,0.38235294117647056,0.5625,34.54545454545454,0.1111111111111111,0.2727272727272727,0.125,0.1875,0.6666666666666666,0.6666666666666666,,0.25,0.25,0.3333333333333333,0.4375,0.75,0.5636875,0.0625,0.14285714285714285,4.442857142857142,25.677777777777777,16.0,17.0,4.0,,1.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,4.0,5.0,6.0,,2.0,1.0,,,,1.0,,,5.0,,1.0,1.0,1.0,2.0,,2.0,4.0,,1.0,,,,,,,5.0,16.0,,1.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.35714285714285715,0.3125,0.14285714285714285,,0.5,0.38461538461538464,,,,0.3333333333333333,,1.0,0.125,0.2857142857142857,0.2857142857142857,1.0,0.14285714285714285,,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.5299785714285713,0.38461538461538464,0.32,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.25,1.0,0.42857142857142855,1.0,0.3333333333333333,0.5805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642377,1610612763,Jaylen Wells,Jaylen Wells,1642377,MEM,1468.0,24,11,51,51,102,1.0,3.0,1.0,1.0,2.0,3.0,5.0,5.0,4.0,16.0,54,4.0,2.0,2.0,,3.0,,9.0,1.0,1.0,2.0,,,,3.0,4.0,2.0,0.6666666666666666,1.0,0.6,0.6,0.6666666666666666,0.5,21.428571428571427,0.05263157894736842,0.03571428571428571,0.08333333333333333,0.3,0.3333333333333333,0.3333333333333333,,0.1,1.0,1.0,0.2,0.8,0.554905,0.16666666666666666,0.2857142857142857,5.779999999999999,24.619999999999997,2.0,1.0,4.0,,,3.0,,1.0,,2.0,,,,,6.0,,1.0,,3.0,2.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,2.0,,1.0,0.4,0.4,,,,,,,,,0.047619047619047616,,,,1.0,0.3,0.5,0.5,1.0,,,,,0.5,,,0.0392156862745098,1.0,,1.0,,,,,,,,,,0.5,,0.587225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.16666666666666666,0.2,0.2,0.1,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.125,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203937,1610612763,Kyle Anderson,Kyle Anderson,203937,MEM,701.3,12,-9,26,26,52,,,1.0,1.0,,1.0,1.0,,,2.0,30,2.0,,,,,,,2.0,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,6.8965517241379315,0.4,0.2222222222222222,0.25,,,,,1.0,1.0,1.0,,,0.4269,,,7.9,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,2.0,,,,,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641713,1610612763,GG Jackson,GG Jackson,1641713,MEM,2248.0,37,8,79,83,162,2.0,5.0,,1.0,3.0,2.0,6.0,4.0,3.0,16.0,88,2.0,2.0,3.0,,2.0,,6.0,4.0,5.0,9.0,1.0,1.0,,2.0,4.0,2.0,0.5,0.5,0.3333333333333333,0.65,0.6666666666666666,0.4,16.853932584269664,0.17391304347826086,0.13513513513513514,0.26666666666666666,0.5,0.4,0.4,0.5,0.1,,,0.3,0.9,0.5521149999999999,0.16666666666666666,0.25,2.9166666666666665,25.075,14.0,20.0,4.0,1.0,3.0,1.0,1.0,2.0,,3.0,1.0,3.0,1.0,5.0,9.0,,2.0,1.0,2.0,2.0,,,,2.0,1.0,4.0,2.0,,1.0,3.0,,,1.0,,,,,,,,,5.0,13.0,,1.0,0.75,0.75,0.3333333333333333,0.625,0.625,0.16666666666666666,,0.6666666666666666,0.07142857142857142,0.10526315789473684,0.12121212121212122,,0.1111111111111111,,,0.1,0.6666666666666666,0.6666666666666666,1.0,0.75,0.3333333333333333,0.25,,0.6666666666666666,0.5890375,0.3125,0.17721518987341772,,,,1.0,,,,,1.0,1.0,,,,,0.6561,,2.0,,,1.0,,2.0,,,2.0,1.0,,,,0.14285714285714285,0.125,0.25,,,,,1.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,0.16666666666666666,0.125,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642942,1610612763,Jahmai Mashack,Jahmai Mashack,1642942,MEM,861.0,14,7,28,31,59,4.0,4.0,1.0,1.0,1.0,5.0,5.0,2.0,,10.0,34,10.0,,1.0,,,,,2.0,4.0,4.0,2.0,,2.0,,,,1.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.2857142857142857,25.806451612903228,0.2222222222222222,0.23529411764705882,0.14285714285714285,0.5714285714285714,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,0.8571428571428571,0.5904999999999999,,,3.02,24.8,14.0,16.0,1.0,2.0,2.0,1.0,1.0,,,,2.0,2.0,1.0,4.0,,,,,,,,,,,2.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,4.0,14.0,1.0,,,,1.0,0.6666666666666666,0.6666666666666666,,,1.0,0.25,,,,,0.5,1.0,0.14285714285714285,,,,0.6666666666666666,1.0,0.3333333333333333,,,0.6505166666666667,0.4,0.5,,,,,,,,,,,,0.5,,,,1.0,1.0,,,,1.0,1.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,0.2,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203484,1610612763,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,203484,MEM,1403.0,23,-17,54,53,107,,,2.0,2.0,3.0,2.0,3.0,3.0,,4.0,62,4.0,,3.0,2.0,2.0,,4.0,1.0,2.0,2.0,2.0,2.0,,,,,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,10.344827586206897,0.125,0.10526315789473684,0.14285714285714285,,,,,0.3333333333333333,1.0,1.0,0.5,0.5,0.483975,,,11.266666666666666,27.266666666666666,21.0,29.0,2.0,,,,,,3.0,,1.0,1.0,3.0,2.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,2.0,20.0,,,,,1.0,0.25,0.25,,,,0.09090909090909091,,,,,,1.0,,,,,,,,0.75,,0.49516249999999995,0.5,0.3888888888888889,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641765,1610612763,Olivier-Maxence Prosper,Olivier-Maxence Prosper,1641765,MEM,2082.8,35,-8,76,75,151,4.0,6.0,,1.0,6.0,4.0,7.0,8.0,4.0,21.0,87,4.0,4.0,6.0,1.0,1.0,1.0,2.0,2.0,4.0,7.0,1.0,1.0,,2.0,4.0,2.0,0.5,0.5,0.5714285714285714,0.5666666666666667,0.6176470588235294,0.5333333333333333,20.0,0.11764705882352941,0.11428571428571428,0.1,0.4,0.6666666666666666,0.6666666666666666,0.5,0.06666666666666667,,,0.4,0.9333333333333333,0.5396566666666668,0.11764705882352941,0.2222222222222222,3.3285714285714287,25.275,18.0,24.0,5.0,1.0,1.0,2.0,,2.0,1.0,3.0,1.0,1.0,1.0,5.0,9.0,,2.0,,,,,,,1.0,2.0,3.0,,,,,,3.0,5.0,,,,,,,,,5.0,18.0,,1.0,0.375,0.375,1.0,1.25,1.25,,,,0.1111111111111111,0.047619047619047616,0.075,,0.1,0.14285714285714285,,0.13333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,,0.5,0.3333333333333333,0.504875,0.23809523809523808,0.23684210526315788,,1.0,,1.0,,,,,1.0,,,0.14285714285714285,,1.0,0.601,,1.0,,,1.0,,1.0,,,2.0,,,,,0.10526315789473684,0.14285714285714285,,,,,,0.5,0.5,1.0,1.0,,,,,,,0.09090909090909091,0.0625,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642285,1610612763,Cam Spencer,Cam Spencer,1642285,MEM,1151.2,19,-14,40,42,82,,1.0,,1.0,3.0,,3.0,3.0,,,48,,,3.0,3.0,5.0,1.0,12.0,1.0,2.0,2.0,,,,,,,,,,,,0.5,13.043478260869565,0.1,0.08333333333333333,0.1111111111111111,0.16666666666666666,,,,0.16666666666666666,,,0.5,0.6666666666666666,0.5050499999999999,,,10.299999999999999,26.333333333333332,18.0,25.0,3.0,,,,,,1.0,,,,1.0,,,,,,2.0,1.0,1.0,2.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,17.0,,,,,,,,,,,0.07142857142857142,,,,0.125,,,,,,,,,,1.0,,0.5487,,0.45,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
