EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,FTDefRebounds,DefRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,DefFTReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,FtPoints,PenaltyFtPoints,PtsUnassisted2s,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,ShootingFouls,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,on
1642860,1610612764,Will Riley,Will Riley,1642860,WAS,220.0,4.0,-2.0,7.0,7.0,7.0,7.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,28.57142857142857,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.61425,0.61425,1.0,3.5999999999999996,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1630264,1610612764,Anthony Gill,Anthony Gill,1630264,WAS,220.0,4.0,-2.0,7.0,7.0,7.0,7.0,14.0,,,,,1.0,1.0,1.0,4.0,8.0,1.0,1.0,4.0,,,,,4.0,7.0,,,1.0,1.0,1.0,1.0,1.0,1.0,42.857142857142854,,,,,,1.0,,,,0.4177,0.4177,1.0,7.5,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,True
1642358,1610612764,AJ Johnson,AJ Johnson,1642358,WAS,220.0,4.0,-2.0,7.0,7.0,7.0,7.0,14.0,,,,,1.0,,1.0,,8.0,,1.0,,,,1.0,1.0,,7.0,,,,,,,,,14.285714285714285,,,,,,1.0,,,,0.3632,0.3632,,6.6,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.3333333333333333,0.5,,,,True
1642848,1610612764,Tre Johnson,Tre Johnson,1642848,WAS,118.0,2.0,-4.0,4.0,4.0,4.0,4.0,8.0,,,,,,,,,6.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1630536,1610612764,Sharife Cooper,Sharife Cooper,1630536,WAS,220.0,4.0,-2.0,7.0,7.0,7.0,7.0,14.0,,,,,,,,,8.0,,,,,,,,,7.0,,,,,,,,,14.285714285714285,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,True
1641774,1610612764,Tristan Vukcevic,Tristan Vukcevic,1641774,WAS,102.0,2.0,2.0,3.0,3.0,3.0,3.0,6.0,,,,,,,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
