EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,ShortMidRangeAssists,SelfOReb,BadPassSteals,BadPassTurnovers,StepOutOfBoundsTurnovers,BlockingFouls,Offensive Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Arc3PctBlocked,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceTurnovers,DefensiveGoaltends,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,Loose Ball Fouls,LongMidRangePctBlocked,Blocked3s,BlockedCorner3,FTOffRebounds,OffFTReboundPct,on,Charge Fouls,BlockedArc3,Corner3PctBlocked,Clear Path Fouls,HeaveMakes
101138,1610612747,Brandon Bass,Brandon Bass,101138,LAL,14282.0,238,34.0,452,455,135,175,63,907,25.0,36.0,7.0,10.0,5.0,9.0,5.0,12,8.0,17.0,2.0,2.0,38.0,65,2.0,28,104,454,9.0,16.0,7.0,25.0,8.0,17.0,2.0,4.0,20,60.0,16.0,2.0,2.0,5.0,7.0,8.0,15.0,6.0,2.0,4.0,3.0,38.0,7.0,13.0,11.0,24.0,4.0,39,20.0,59,3.0,3.0,1.0,1.0,6.0,2.0,1.0,1.0,7.0,2.0,9.0,14,23,3.0,2.0,33,1.0,17,11.0,5.0,1.0,5.0,11.0,6.0,1.0,1.0,1.0,20,135,1.0,0.7894736842105263,0.8108108108108109,0.5846153846153846,0.5625,0.47058823529411764,0.5671641791044776,0.5625,0.42105263157894735,0.6265060240963856,0.625,0.45454545454545453,0.029850746268656716,0.07692307692307693,0.1111111111111111,0.08333333333333333,17.142857142857142,0.14285714285714285,0.21052631578947367,0.17142857142857143,0.08666666666666667,0.11956521739130435,0.08045977011494253,0.15086206896551724,0.08438818565400844,0.1111111111111111,0.10810810810810811,0.05084745762711865,0.07692307692307693,0.09090909090909091,0.09090909090909091,0.2,0.21568627450980393,0.11290322580645161,0.13333333333333333,0.5454545454545454,0.5373134328358209,0.6944444444444444,0.78125,0.84,0.1791044776119403,0.4166666666666667,0.45454545454545453,0.6,0.2537313432835821,0.47058823529411764,0.47058823529411764,0.75,0.029850746268656716,0.625,0.7,0.42857142857142855,0.47368421052631576,0.5555555555555556,0.10526315789473684,0.5671641791044776,0.5811212121212123,0.6355,0.5847277777777777,0.20481927710843373,0.20987654320987653,0.2403846153846154,0.19230769230769232,6.763076923076922,35.35,0.29867256637168144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
101150,1610612747,Lou Williams,Lou Williams,101150,LAL,12711.0,212,24.0,407,413,140,150,53,820,7.0,15.0,1.0,1.0,3.0,5.0,8.0,17,10.0,19.0,30.0,15.0,25.0,51,39.0,50,142,417,1.0,3.0,8.0,16.0,7.0,15.0,18.0,16.0,48,12.0,38.0,2.0,30.0,4.0,19.0,4.0,23.0,2.0,2.0,12.0,4.0,50.0,1.0,6.0,6.0,5.0,2.0,13,7.0,20,5.0,3.0,8.0,,3.0,,3.0,1.0,11.0,3.0,4.0,11,37,,1.0,61,4.0,21,,,,,,,,,,48,140,1.0,0.24,0.25,0.49019607843137253,0.3333333333333333,0.4666666666666667,0.5111111111111111,0.6666666666666666,0.48484848484848486,0.6096491228070176,0.8888888888888888,0.5714285714285714,0.43333333333333335,0.0784313725490196,0.2,0.058823529411764705,26.76659528907923,0.7272727272727273,0.14285714285714285,0.04201680672268908,0.0425531914893617,0.07317073170731707,0.01818181818181818,0.05472636815920398,0.03571428571428571,0.06976744186046512,0.05555555555555555,,0.02564102564102564,,0.06896551724137931,0.0425531914893617,0.023255813953488372,0.07692307692307693,0.06666666666666667,,0.16666666666666666,0.4666666666666667,0.5833333333333334,0.42857142857142855,0.18888888888888888,0.47058823529411764,0.5,,0.2111111111111111,0.5263157894736842,0.5263157894736842,0.3,0.3333333333333333,0.16666666666666666,1.0,,0.15151515151515152,0.6,0.45454545454545453,0.6,0.48894388888888896,0.484925,0.48534848484848486,0.24778761061946902,0.3088235294117647,0.11267605633802817,0.3380281690140845,10.303921568627453,25.0,0.343980343980344,4.0,9.0,2.0,2.0,2.0,3.0,10.0,1.0,4.0,14.0,2.0,3.0,6.0,30.0,12.0,10.0,1.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,1.0,2.0,0.7142857142857143,0.358974358974359,0.6666666666666666,0.3333333333333333,0.358974358974359,0.02564102564102564,0.03333333333333333,0.045454545454545456,0.1,0.4444444444444444,0.4444444444444444,0.5,0.3333333333333333,0.3448275862068966,0.8,0.3333333333333333,1.0,0.16666666666666666,0.09090909090909091,0.6666666666666666,0.26666666666666666,0.3333333333333333,0.15555555555555556,,,,,,,,,,,,,,True,,,,,
1626156,1610612747,D'Angelo Russell,D'Angelo Russell,1626156,LAL,16793.0,280,-95.0,545,552,118,162,68,1097,13.0,26.0,1.0,1.0,4.0,8.0,7.0,16,6.0,30.0,34.0,9.0,26.0,72,44.0,15,100,583,3.0,4.0,,15.0,9.0,18.0,10.0,6.0,24,18.0,34.0,,34.0,4.0,21.0,4.0,25.0,3.0,1.0,12.0,7.0,54.0,3.0,2.0,13.0,21.0,1.0,35,5.0,40,10.0,2.0,15.0,5.0,11.0,1.0,4.0,,26.0,4.0,7.0,15,23,,2.0,19,1.0,10,3.0,1.0,1.0,1.0,3.0,1.0,,,,24,118,2.0,0.34615384615384615,0.34615384615384615,0.3611111111111111,0.75,0.5,0.36637931034482757,0.8333333333333334,0.32142857142857145,0.4,0.8333333333333334,0.3870967741935484,0.3793103448275862,0.05555555555555555,0.15384615384615385,,24.19871794871795,0.5769230769230769,0.05,0.11731843575418995,0.00975609756097561,0.11926605504587157,0.02912621359223301,0.11805555555555555,0.016233766233766232,0.012987012987012988,0.0196078431372549,,0.01282051282051282,0.08,0.11764705882352941,0.12962962962962962,0.10526315789473684,0.1125,0.13793103448275862,0.3333333333333333,0.22413793103448276,0.5,0.5909090909090909,0.46153846153846156,0.13793103448275862,0.4375,0.4375,,0.25862068965517243,0.2,0.2,0.5,0.29310344827586204,0.1111111111111111,1.0,,0.2857142857142857,0.5,0.32142857142857145,0.603448275862069,0.4937875,0.5361071428571428,0.4598482142857142,0.08,0.12345679012345678,0.15,0.24,10.036111111111113,24.952272727272724,0.21651376146788992,3.0,10.0,1.0,1.0,,1.0,8.0,4.0,,11.0,3.0,5.0,,27.0,6.0,8.0,1.0,2.0,,8.0,11.0,1.0,,3.0,,1.0,,,,,,0.8181818181818182,0.25,0.6,,0.25,0.022727272727272728,0.029411764705882353,,0.08620689655172414,0.3,0.3,1.0,0.23529411764705882,0.24242424242424243,0.75,0.1111111111111111,1.0,0.4444444444444444,0.03571428571428571,,,0.23529411764705882,,2.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,True,,,,,
1626204,1610612747,Larry Nance Jr.,Larry Nance Jr.,1626204,LAL,13620.0,227,-21.0,428,421,125,136,63,849,13.0,25.0,6.0,12.0,3.0,5.0,5.0,9,4.0,16.0,1.0,1.0,22.0,50,4.0,5,49,445,7.0,14.0,,14.0,4.0,13.0,3.0,1.0,9,28.0,16.0,6.0,,4.0,6.0,1.0,7.0,1.0,,2.0,2.0,15.0,5.0,15.0,12.0,23.0,3.0,38,20.0,58,8.0,2.0,3.0,1.0,4.0,,2.0,1.0,7.0,2.0,10.0,20,7,,,7,1.0,2,6.0,4.0,,2.0,6.0,1.0,,,,9,125,2.0,0.6363636363636364,0.7368421052631579,0.44,0.5,0.3076923076923077,0.4074074074074074,0.4375,0.25,0.4298245614035088,0.4375,0.2647058823529412,0.07407407407407407,0.08,0.12,,12.54980079681275,0.42857142857142855,0.25,0.18110236220472442,0.0967741935483871,0.14285714285714285,0.06097560975609756,0.16587677725118483,0.08438818565400844,0.10526315789473684,0.10256410256410256,0.0847457627118644,0.06451612903225806,0.05,0.15625,0.16666666666666666,0.2127659574468085,0.13793103448275862,0.15384615384615385,0.16666666666666666,0.46296296296296297,0.52,0.5909090909090909,0.5384615384615384,0.16666666666666666,0.5555555555555556,0.5555555555555556,0.6,0.2962962962962963,0.25,0.26666666666666666,1.0,0.018518518518518517,0.75,0.5,0.16666666666666666,0.3125,0.6,0.0625,0.5370370370370371,0.5179103773584904,0.5862999999999999,0.46860666666666667,0.03636363636363636,0.0392156862745098,0.2857142857142857,0.1836734693877551,7.676000000000001,32.5,0.29205607476635514,,3.0,,2.0,,2.0,,,,,,2.0,,,,,,2.0,4.0,6.0,1.0,,1.0,2.0,,,,,,2.0,1.0,,,,,,,,0.14814814814814814,0.05555555555555555,,,,,,,0.125,,,0.125,,,,,,1.0,,,,,1.0,1.0,0.0625,,,,,True,,,,,
1897,1610612747,Metta World Peace,Metta World Peace,1897,LAL,35390.0,590,-66.0,1133,1147,301,375,155,2280,16.0,51.0,2.0,10.0,3.0,11.0,5.0,19,8.0,23.0,50.0,11.0,29.0,93,84.0,40,176,1195,3.0,16.0,8.0,26.0,3.0,19.0,21.0,18.0,36,24.0,34.0,,50.0,15.0,21.0,6.0,27.0,4.0,2.0,9.0,8.0,60.0,4.0,15.0,33.0,34.0,3.0,70,19.0,89,22.0,16.0,7.0,2.0,8.0,1.0,2.0,1.0,15.0,3.0,23.0,67,41,5.0,3.0,57,2.0,21,9.0,6.0,1.0,2.0,11.0,6.0,,,,36,301,13.0,0.41379310344827586,0.41379310344827586,0.3118279569892473,0.1875,0.15789473684210525,0.384180790960452,0.34615384615384615,0.225,0.43137254901960786,0.41935483870967744,0.3333333333333333,0.4745762711864407,0.16129032258064516,0.19607843137254902,0.21052631578947367,16.692073170731707,0.4666666666666667,0.06976744186046512,0.09686609686609686,0.03571428571428571,0.15,0.02072538860103627,0.11733800350262696,0.03099510603588907,0.032679738562091505,0.04032258064516129,0.03496503496503497,0.028169014084507043,,0.04310344827586207,0.06956521739130435,0.175,0.17419354838709677,0.09230769230769231,0.5454545454545454,0.288135593220339,0.3137254901960784,0.3902439024390244,0.375,0.10734463276836158,0.2631578947368421,0.3333333333333333,,0.12994350282485875,0.34782608695652173,0.36363636363636365,0.75,0.2824858757062147,0.38461538461538464,0.2,,0.275,0.2727272727272727,0.275,0.7627118644067796,0.5144403954802259,0.5503611111111111,0.4969362500000001,0.1116751269035533,0.1875,0.14772727272727273,0.20454545454545456,7.293548387096774,24.544047619047618,0.265666372462489,11.0,34.0,2.0,4.0,2.0,10.0,15.0,6.0,2.0,26.0,4.0,10.0,4.0,72.0,6.0,15.0,,4.0,3.0,6.0,5.0,1.0,1.0,3.0,,,,,1.0,7.0,7.0,0.9230769230769231,0.30952380952380953,0.4,0.19047619047619047,0.30952380952380953,,,0.02857142857142857,0.192090395480226,0.3235294117647059,0.3235294117647059,1.0,0.3,0.3,0.8666666666666667,0.15384615384615385,0.5,0.23076923076923078,0.25,0.2,0.18181818181818182,0.3,0.011764705882352941,2.0,2.0,,1.0,0.3333333333333333,1.0,,3.0,0.043478260869565216,2.0,2.0,,,True,,,,,
201156,1610612747,Nick Young,Nick Young,201156,LAL,7246.0,121,-23.0,226,227,79,102,39,453,3.0,4.0,,,1.0,2.0,,5,3.0,18.0,26.0,7.0,6.0,27,31.0,4,49,232,1.0,3.0,,5.0,1.0,10.0,10.0,,17,6.0,6.0,,26.0,1.0,3.0,,3.0,,,2.0,1.0,6.0,1.0,3.0,1.0,11.0,,12,4.0,16,3.0,3.0,3.0,1.0,1.0,,1.0,,4.0,1.0,3.0,4,4,1.0,,7,,1,1.0,,,1.0,1.0,,,,,17,79,1.0,0.5,0.5,0.2222222222222222,0.3333333333333333,0.1,0.3879310344827586,0.5,0.425,0.4083333333333333,0.5,0.425,0.5344827586206896,0.037037037037037035,,0.2,23.188405797101453,0.75,,0.1527777777777778,0.03225806451612903,0.02702702702702703,0.02127659574468085,0.11009174311926606,0.02857142857142857,0.06451612903225806,0.043478260869565216,,0.02631578947368421,,0.13636363636363635,0.15384615384615385,0.16666666666666666,,0.1111111111111111,,0.06896551724137931,0.75,0.75,0.3333333333333333,0.08620689655172414,,,,0.3103448275862069,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.4482758620689655,,,,0.1,0.5,0.35,0.603448275862069,0.4734431034482758,0.46443750000000006,0.45054,0.03333333333333333,0.03571428571428571,0.10204081632653061,0.3469387755102041,14.596296296296295,25.441935483870967,0.3495575221238938,3.0,5.0,1.0,1.0,3.0,3.0,8.0,1.0,2.0,11.0,1.0,2.0,5.0,21.0,12.0,8.0,,,,,2.0,,1.0,,,,,2.0,1.0,,,0.6363636363636364,0.3548387096774194,0.5,0.5,0.3548387096774194,,,,0.08620689655172414,0.6,0.6,0.6666666666666666,0.3076923076923077,0.3076923076923077,0.625,0.2,1.0,0.2,0.15,1.0,0.2857142857142857,0.3076923076923077,0.03125,,1.0,,,,,,,,,,,,True,,,,,
203903,1610612747,Jordan Clarkson,Jordan Clarkson,203903,LAL,19410.0,324,-26.0,635,640,141,206,86,1275,18.0,40.0,,2.0,3.0,7.0,17.0,39,9.0,26.0,48.0,15.0,44.0,105,57.0,18,157,666,2.0,5.0,,13.0,8.0,20.0,15.0,12.0,40,30.0,58.0,2.0,47.0,14.0,14.0,9.0,23.0,5.0,4.0,9.0,4.0,55.0,1.0,9.0,18.0,19.0,,37,10.0,47,8.0,5.0,7.0,1.0,7.0,2.0,4.0,3.0,14.0,1.0,9.0,18,23,1.0,1.0,20,3.0,7,,,,,,,,,,40,141,3.0,0.3409090909090909,0.3488372093023256,0.41904761904761906,0.4,0.4,0.42901234567901236,0.5909090909090909,0.4,0.4588235294117647,0.5909090909090909,0.4878048780487805,0.35185185185185186,0.13333333333333333,0.25,0.07692307692307693,25.2400548696845,0.5,,0.0979381443298969,0.03862660944206009,0.14754098360655737,0.008695652173913044,0.11708860759493671,0.028735632183908046,0.034482758620689655,0.04285714285714286,0.039473684210526314,0.012048192771084338,,0.057971014492753624,0.08064516129032258,0.15873015873015872,0.16049382716049382,0.12195121951219512,,0.24691358024691357,0.45,0.6,0.5555555555555556,0.24074074074074073,0.4358974358974359,0.4722222222222222,0.17647058823529413,0.16049382716049382,0.34615384615384615,0.36,0.2222222222222222,0.2962962962962963,0.18181818181818182,,,0.2,0.42857142857142855,0.42857142857142855,0.5987654320987654,0.4955890624999998,0.48777499999999996,0.4786073529411765,0.04216867469879518,0.06422018348623854,0.08280254777070063,0.25477707006369427,7.8238095238095235,25.452631578947376,0.2220472440944882,2.0,9.0,,2.0,,,15.0,4.0,4.0,17.0,3.0,6.0,4.0,36.0,15.0,15.0,1.0,1.0,4.0,3.0,3.0,,1.0,,,3.0,,1.0,,4.0,4.0,0.7058823529411765,0.2982456140350877,0.5,0.26666666666666666,0.30357142857142855,0.017543859649122806,0.020833333333333332,0.04819277108433735,0.05555555555555555,0.2222222222222222,0.2222222222222222,1.0,0.3125,0.3191489361702128,0.6666666666666666,0.18181818181818182,,0.36363636363636365,,,0.26666666666666666,0.3191489361702128,,3.0,1.0,1.0,,0.75,0.6666666666666666,1.0,3.0,0.038461538461538464,,,,,True,,,,,
203944,1610612747,Julius Randle,Julius Randle,203944,LAL,15347.0,256,-74.0,493,504,95,174,63,997,26.0,54.0,10.0,21.0,5.0,10.0,9.0,23,5.0,18.0,4.0,1.0,40.0,95,6.0,18,98,546,13.0,26.0,4.0,30.0,9.0,18.0,1.0,7.0,25,28.0,52.0,12.0,4.0,12.0,12.0,18.0,30.0,15.0,3.0,7.0,3.0,78.0,7.0,19.0,19.0,41.0,12.0,72,26.0,98,5.0,4.0,8.0,4.0,8.0,,3.0,2.0,16.0,3.0,10.0,20,16,2.0,,23,3.0,10,4.0,4.0,,,4.0,2.0,,1.0,,25,95,5.0,0.35,0.4117647058823529,0.42105263157894735,0.5,0.5,0.39603960396039606,0.48148148148148145,0.47368421052631576,0.44144144144144143,0.5357142857142857,0.5208333333333334,0.0594059405940594,0.12631578947368421,0.14814814814814814,0.17391304347826086,22.319859402460455,0.5,0.5714285714285714,0.2679738562091503,0.09895833333333333,0.20430107526881722,0.0875,0.24390243902439024,0.09558823529411764,0.16901408450704225,0.0847457627118644,0.03225806451612903,0.05263157894736842,0.17391304347826086,0.25806451612903225,0.3333333333333333,0.22448979591836735,0.23880597014925373,0.11538461538461539,0.5,0.5346534653465347,0.48148148148148145,0.5652173913043478,0.3076923076923077,0.22772277227722773,0.391304347826087,0.47368421052631576,0.1111111111111111,0.1782178217821782,0.2777777777777778,0.2777777777777778,1.0,0.039603960396039604,0.7777777777777778,0.47619047619047616,,0.5263157894736842,0.5,0.05263157894736842,0.594059405940594,0.5050836633663367,0.5152333333333333,0.5403236842105263,0.09259259259259259,0.09803921568627451,0.30612244897959184,0.25510204081632654,6.2252631578947355,25.216666666666665,0.1926977687626775,,2.0,,,,,,1.0,,,,1.0,,,,,,2.0,6.0,1.0,5.0,,,1.0,,1.0,,,,3.0,3.0,,,,,,,,0.12244897959183673,0.019801980198019802,,,,,,,,,0.037037037037037035,,,,,,,1.0,,,,,,3.0,,,,,,True,,,,,
204028,1610612747,Tarik Black,Tarik Black,204028,LAL,7160.0,119,-24.0,231,232,65,82,27,463,13.0,20.0,3.0,6.0,2.0,4.0,2.0,6,,,,,15.0,26,,10,40,248,4.0,7.0,5.0,13.0,2.0,6.0,,2.0,6,22.0,8.0,4.0,,2.0,4.0,1.0,5.0,1.0,,3.0,1.0,11.0,4.0,8.0,8.0,11.0,3.0,22,12.0,34,2.0,1.0,3.0,,3.0,,2.0,1.0,6.0,3.0,8.0,16,11,3.0,1.0,16,,5,3.0,,1.0,2.0,3.0,2.0,,,,6,65,1.0,0.7333333333333333,0.8461538461538461,0.5769230769230769,0.5714285714285714,0.3333333333333333,0.5769230769230769,0.5714285714285714,0.3333333333333333,0.5882352941176471,0.5909090909090909,0.3333333333333333,,0.07692307692307693,0.1,,15.384615384615383,0.5,0.42857142857142855,0.1506849315068493,0.10666666666666667,0.17777777777777778,0.10256410256410256,0.16101694915254236,0.10526315789473684,0.07142857142857142,0.16,0.09090909090909091,0.0967741935483871,0.125,0.12,0.23333333333333334,0.05555555555555555,0.14705882352941177,0.2727272727272727,0.6666666666666666,0.7692307692307693,0.65,0.7222222222222222,0.7692307692307693,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.5,,,,,,0.8571428571428571,0.5,0.3333333333333333,0.6666666666666666,0.5,,0.7692307692307693,0.6086423076923076,0.52615,0.5666333333333333,0.16129032258064516,0.16129032258064516,0.325,0.15,2.3884615384615384,,0.2813852813852814,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,2.0,,,,,,3.0,2.0,,,,,,,,0.2222222222222222,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,True,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,2412.0,40,,79,82,20,30,12,161,1.0,2.0,,,1.0,2.0,2.0,6,2.0,8.0,7.0,3.0,5.0,16,8.0,8,27,88,,,2.0,2.0,1.0,4.0,3.0,,5,2.0,8.0,,7.0,1.0,,2.0,2.0,2.0,,,,6.0,,,4.0,,,4,,4,1.0,1.0,,2.0,2.0,,,,2.0,,,2,6,,,9,,3,,,,,,,,,,5,20,2.0,0.2,0.2,0.3125,,0.25,0.3958333333333333,,0.35714285714285715,0.48214285714285715,1.0,0.35714285714285715,0.3333333333333333,0.0625,,0.16666666666666666,32.608695652173914,,,,,0.25,,0.11428571428571428,,,,,,,,,,0.2222222222222222,0.2857142857142857,,0.08333333333333333,0.5,0.5,,0.25,0.3333333333333333,0.4,,0.3333333333333333,0.25,0.25,0.5,0.2916666666666667,,,,0.2857142857142857,0.5,0.42857142857142855,0.4166666666666667,0.44883333333333336,,0.48045714285714286,0.14285714285714285,0.15789473684210525,0.07407407407407407,0.18518518518518517,13.44375,25.0,0.25316455696202533,,1.0,,,,,3.0,,1.0,3.0,,,1.0,6.0,3.0,3.0,1.0,,,,,,,,,,,,1.0,,,0.6666666666666666,0.375,,0.3333333333333333,0.375,0.125,0.14285714285714285,,0.041666666666666664,,,,0.42857142857142855,0.5,0.6666666666666666,,,,,,0.3333333333333333,0.42857142857142855,0.1111111111111111,,,,,,,,,,,,,,True,,,,,
