EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,BlockingFouls,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,PenaltyCorner3FGM,FTOffRebounds,Arc3PctBlocked,OffFTReboundPct,PenaltyCorner3Accuracy,HeaveAttempts,StepOutOfBoundsTurnovers,Charge Fouls,Clear Path Fouls,SecondChanceCorner3PctAssisted,OffensiveGoaltends,Blocked3s,BlockedCorner3,BlockedArc3,HeaveMakes,on
101138,1610612747,Brandon Bass,Brandon Bass,101138,LAL,45373.0,756,-38,1499,1494,424,464,180,2993,76,108,16.0,24.0,22.0,29,14.0,38,10.0,33,100,179,62,262,1635,19.0,32,8.0,46,28,44,16,72,150,50,16.0,19,26,15,41,11,4.0,12,7.0,7,97,17,36,41,47,11.0,99,53,152,5.0,19,13,6.0,7,2.0,5,12,1.0,2.0,2.0,19,1.0,6.0,45,73,6.0,4.0,57,1.0,3.0,2.0,74,6.0,36,4.0,37,21,2.0,14.0,37,20.0,1.0,3.0,4.0,71,421,5.0,3.0,0.75,0.8152173913043478,0.5586592178770949,0.59375,0.6363636363636364,0.5586592178770949,0.59375,0.6363636363636364,0.6150234741784038,0.6571428571428571,0.6545454545454545,0.10614525139664804,0.1388888888888889,0.10526315789473684,13.599062133645957,0.3684210526315789,0.22,0.10930232558139535,0.07708779443254818,0.1752136752136752,0.06028368794326241,0.13253012048192772,0.07076101468624833,0.1125,0.10526315789473684,0.022988505747126436,0.06511627906976744,0.04477611940298507,0.10714285714285714,0.11382113821138211,0.1079136690647482,0.1807909604519774,0.15789473684210525,0.0847457627118644,0.5405405405405406,0.6033519553072626,0.7037037037037037,0.8172043010752689,0.7763157894736842,0.2122905027932961,0.3684210526315789,0.4117647058823529,0.6428571428571429,0.18435754189944134,0.30303030303030304,0.30303030303030304,0.7,0.75,0.6666666666666666,0.3125,0.6590909090909091,0.7586206896551724,0.6033519553072626,0.5819446927374301,0.5773083333333334,0.6073454545454545,0.1722488038277512,0.1722488038277512,0.17557251908396945,0.2748091603053435,5.5407821229050285,0.2828552368245497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
101150,1610612747,Lou Williams,Lou Williams,101150,LAL,34329.0,572,-174,1150,1146,256,344,137,2296,17,37,1.0,1.0,5.0,8,13.0,31,17.0,37,47,105,105,289,1328,3.0,4,12.0,27,11,21,29,69,30,64,4.0,12,26,13,39,9,4.0,22,,4,91,4,7,9,19,1.0,29,11,40,2.0,17,14,3.0,22,2.0,14,7,1.0,8.0,3.0,29,2.0,9.0,25,36,1.0,,76,,,2.0,123,2.0,36,2.0,7,5,,2.0,7,2.0,,,,69,256,3.0,3.0,0.3191489361702128,0.3333333333333333,0.44761904761904764,0.75,0.5238095238095238,0.4791666666666667,0.9375,0.5,0.5905349794238683,1.0384615384615385,0.6538461538461539,0.11428571428571428,0.21621621621621623,0.06451612903225806,20.93918398768283,0.7586206896551724,0.027777777777777776,0.05757575757575758,0.01977401129943503,0.05521472392638037,0.01834862385321101,0.056795131845841784,0.019230769230769232,0.018867924528301886,0.034482758620689655,0.007575757575757576,0.011627906976744186,0.043478260869565216,0.04,0.04040404040404041,0.09433962264150944,0.046875,0.08571428571428572,0.02040816326530612,0.2857142857142857,0.19270833333333334,0.4594594594594595,0.5862068965517241,0.29411764705882354,0.16145833333333334,0.41935483870967744,0.4482758620689655,0.07692307692307693,0.19270833333333334,0.4594594594594595,0.4857142857142857,0.5294117647058824,0.125,1.0,,0.2,0.625,0.6458333333333334,0.50646953125,0.5316916666666667,0.5030437500000001,0.2157676348547718,0.2589928057553957,0.09342560553633218,0.23875432525951557,9.327619047619045,0.22260869565217392,10.0,24.0,1.0,1.0,3.0,20.0,63.0,2.0,3.0,6.0,16.0,30.0,87.0,3.0,4.0,6.0,19.0,60.0,30.0,63.0,20.0,3.0,1.0,2.0,1.0,3.0,16.0,0.6666666666666666,0.3448275862068966,0.75,0.3157894736842105,0.3448275862068966,0.453125,0.034482758620689655,0.05405405405405406,0.125,0.125,0.4166666666666667,0.47619047619047616,0.8,0.328125,0.31746031746031744,0.31746031746031744,0.6,0.125,1.0,0.375,0.6666666666666666,0.5,0.075,0.4,0.375,0.31746031746031744,0.1568627450980392,24.863218390804597,,,,,,,,,,,,,,,,True
1626148,1610612747,Anthony Brown,Anthony Brown,1626148,LAL,18218.0,304,-31,608,607,181,148,70,1215,4,9,,3.0,,1,4.0,7,3.0,8,11,24,5,57,646,2.0,6,,7,2,3,3,16,18,4,,5,6,4,10,2,2.0,3,2.0,1,24,3,1,10,12,3.0,25,5,30,2.0,8,7,1.0,6,1.0,4,2,,2.0,1.0,8,1.0,2.0,10,17,,,8,,2.0,,6,,1,2.0,2,1,,1.0,2,1.0,,,,16,181,,2.0,0.8181818181818182,0.8181818181818182,0.4583333333333333,0.3333333333333333,0.6666666666666666,0.38235294117647056,0.3181818181818182,0.325,0.4014084507042254,0.3181818181818182,0.36363636363636365,0.20833333333333334,0.2222222222222222,0.42857142857142855,11.482558139534884,0.75,0.17647058823529413,0.0670391061452514,0.005208333333333333,0.11235955056179775,0.028846153846153848,0.08208955223880597,0.013513513513513514,,0.014925373134328358,,0.024096385542168676,0.047619047619047616,0.06666666666666667,0.08928571428571429,0.041666666666666664,0.12987012987012986,,0.05263157894736842,0.5,0.1323529411764706,0.4444444444444444,0.5714285714285714,0.75,0.10294117647058823,0.5714285714285714,1.0,1.0,0.11764705882352941,0.375,0.375,0.6666666666666666,0.2727272727272727,,,0.05,,0.7794117647058824,0.5252125000000001,0.4810714285714286,0.5417825,0.014492753623188406,0.04,0.12280701754385964,0.2807017543859649,9.766666666666666,0.29769736842105265,1.0,11.0,,1.0,7.0,9.0,33.0,1.0,4.0,2.0,10.0,10.0,44.0,1.0,5.0,3.0,17.0,30.0,,33.0,9.0,1.0,1.0,,,,,1.0,0.22727272727272727,0.2,0.17647058823529413,0.22727272727272727,0.6470588235294118,0.022727272727272728,,,0.16176470588235295,0.09090909090909091,0.09090909090909091,1.0,0.4852941176470588,0.2727272727272727,0.28125,1.0,0.09090909090909091,,0.36363636363636365,0.25,1.0,0.35,0.5,0.2,0.2727272727272727,,24.76590909090909,1.0,1.0,0.030303030303030304,0.05,0.14285714285714285,,,,,,,,,,,True
1626156,1610612747,D'Angelo Russell,D'Angelo Russell,1626156,LAL,135544.0,2259,-546,4496,4490,970,1185,535,8986,113,198,11.0,28.0,31.0,51,78.0,178,71.0,210,262,586,140,1054,5042,18.0,52,14.0,92,61,141,54,272,142,382,10.0,45,189,77,266,61,16.0,106,35.0,48,609,11,33,85,134,8.0,227,47,274,16.0,93,64,29.0,122,34.0,81,74,10.0,41.0,3.0,196,10.0,40.0,66,142,3.0,11.0,174,,3.0,10.0,190,19.0,85,14.0,13,7,2.0,4.0,13,7.0,1.0,,,270,967,16.0,11.0,0.27099236641221375,0.27626459143968873,0.447098976109215,0.34615384615384615,0.4326241134751773,0.4780334728033473,0.4588235294117647,0.459915611814346,0.507218479307026,0.4946236559139785,0.5074626865671642,0.07679180887372014,0.14646464646464646,0.07865168539325842,24.162913647934207,0.6224489795918368,0.05333333333333334,0.10182370820668693,0.021596858638743454,0.11643835616438356,0.01397712833545108,0.10703812316715543,0.01900647948164147,0.029106029106029108,0.02531645569620253,0.012216404886561954,0.012441679626749611,0.020833333333333332,0.06786427145708583,0.11224489795918367,0.13238770685579196,0.1213768115942029,0.10112359550561797,0.03180914512922465,0.5384615384615384,0.20711297071129708,0.5707070707070707,0.6686390532544378,0.35398230088495575,0.18619246861924685,0.43820224719101125,0.47560975609756095,0.19230769230769232,0.2196652719665272,0.3380952380952381,0.34134615384615385,0.22535211267605634,0.32941176470588235,0.39285714285714285,0.2727272727272727,0.21518987341772153,0.6078431372549019,0.5941422594142259,0.49454894291754753,0.5201833333333332,0.48633165938864625,0.08682926829268292,0.1303680981595092,0.0872865275142315,0.25806451612903225,9.683617747440275,0.2157473309608541,19.0,55.0,1.0,4.0,12.0,111.0,315.0,13.0,29.0,30.0,84.0,130.0,370.0,14.0,33.0,32.0,96.0,270.0,120.0,309.0,111.0,5.0,3.0,8.0,1.0,1.0,4.0,0.6923076923076923,0.35135135135135137,0.42424242424242425,0.3333333333333333,0.35714285714285715,0.38702928870292885,0.013513513513513514,0.009523809523809525,,0.05753138075313807,0.34545454545454546,0.34545454545454546,0.8947368421052632,0.3294979079497908,0.3523809523809524,0.3580645161290323,0.6576576576576577,0.047058823529411764,0.25,0.3411764705882353,0.4482758620689655,0.7692307692307693,0.05063291139240506,0.35443037974683544,0.35714285714285715,0.3592233009708738,0.010723860589812333,25.519999999999992,2.0,3.0,0.015873015873015872,0.027522935779816515,0.16666666666666666,6.0,5.0,2.0,1.0,1.0,,,,,,True
1626204,1610612747,Larry Nance Jr.,Larry Nance Jr.,1626204,LAL,26315.0,439,-24,884,870,217,277,108,1754,27,49,6.0,19.0,5.0,10,5.0,15,7.0,20,39,84,10,88,945,6.0,21,,12,8,17,1,17,60,18,8.0,6,13,8,21,6,2.0,8,2.0,3,50,15,24,19,35,9.0,63,40,103,4.0,20,16,4.0,10,2.0,5,9,,5.0,2.0,19,3.0,2.0,20,47,4.0,4.0,18,1.0,2.0,,15,1.0,6,2.0,8,6,,2.0,8,3.0,,,1.0,17,217,6.0,1.0,0.7692307692307693,0.8571428571428571,0.4642857142857143,0.2857142857142857,0.47058823529411764,0.4482758620689655,0.2608695652173913,0.42105263157894735,0.46808510638297873,0.2608695652173913,0.425,0.07142857142857142,0.08163265306122448,0.13333333333333333,11.045364891518737,0.5263157894736842,0.23076923076923078,0.13565891472868216,0.0898876404494382,0.14615384615384616,0.09375,0.13917525773195877,0.09133489461358314,0.08163265306122448,0.06493506493506493,0.11956521739130435,0.07462686567164178,0.19230769230769232,0.07446808510638298,0.1375,0.20238095238095238,0.15217391304347827,0.13157894736842105,0.1,0.375,0.5632183908045977,0.5510204081632653,0.6,0.7407407407407407,0.1724137931034483,0.3333333333333333,0.38461538461538464,0.8,0.22988505747126436,0.35,0.35,0.8571428571428571,0.8260869565217391,0.3157894736842105,,0.5263157894736842,0.5,0.5977011494252874,0.5579331395348834,0.5914970588235293,0.5387055555555555,0.06521739130434782,0.06741573033707865,0.13636363636363635,0.19318181818181818,6.259523809523811,0.24547511312217193,,1.0,,1.0,1.0,,2.0,,1.0,,1.0,,3.0,,2.0,,2.0,,,1.0,,,2.0,,,,,,,,,,0.034482758620689655,,,,0.011494252873563218,,,,0.022988505747126436,,,,0.043478260869565216,,0.043478260869565216,,,0.05263157894736842,0.05263157894736842,,,,36.199999999999996,,1.0,,0.045454545454545456,,1.0,,,,,,,,,,True
203135,1610612747,Robert Sacre,Robert Sacre,203135,LAL,11775.0,196,-24,391,389,87,151,64,780,10,22,4.0,7.0,1.0,4,5.0,15,4.0,7,19,44,12,50,431,5.0,8,6.0,16,2,8,5,9,26,12,8.0,6,3,5,8,4,1.0,1,1.0,1,21,8,12,4,16,5.0,25,21,46,,2,1,1.0,1,,1,5,1.0,,,6,,2.0,22,29,3.0,2.0,14,1.0,1.0,,20,,7,3.0,5,5,,,5,2.0,,1.0,,9,87,2.0,3.0,0.6842105263157895,0.8666666666666667,0.4318181818181818,0.625,0.25,0.4318181818181818,0.625,0.25,0.46296296296296297,0.6153846153846154,0.34615384615384615,0.13636363636363635,0.22727272727272727,0.06666666666666667,13.043478260869566,0.16666666666666666,0.29411764705882354,0.1523809523809524,0.08823529411764706,0.06666666666666667,0.11764705882352941,0.12121212121212122,0.09803921568627451,0.05357142857142857,0.0975609756097561,0.1282051282051282,0.07692307692307693,0.25,0.15384615384615385,0.21428571428571427,0.10526315789473684,0.0851063829787234,,,0.4,0.5,0.45454545454545453,0.5882352941176471,0.7,0.3409090909090909,0.3333333333333333,0.35714285714285715,0.6,0.1590909090909091,0.5714285714285714,0.5714285714285714,0.75,0.875,0.5714285714285714,0.25,0.5,0.25,0.5,0.4776363636363637,0.5094,0.5118,0.13725490196078433,0.13725490196078433,0.32,0.18,6.609090909090909,0.22250639386189258,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.06666666666666667,,,,,,,1.0,,,,,True
203527,1610612747,Ryan Kelly,Ryan Kelly,203527,LAL,10803.0,180,-41,359,362,75,107,39,721,9,18,2.0,3.0,2.0,4,7.0,16,3.0,12,19,46,11,55,384,5.0,8,3.0,13,5,10,3,13,28,10,4.0,5,6,1,7,1,,4,1.0,1,15,3,5,13,23,4.0,40,8,48,,5,4,1.0,2,1.0,2,5,2.0,,,7,,1.0,10,16,2.0,2.0,16,,,2.0,18,2.0,9,1.0,2,1,,1.0,2,2.0,,,,13,75,,,0.7368421052631579,0.8235294117647058,0.41304347826086957,0.625,0.5,0.3793103448275862,0.625,0.4166666666666667,0.4166666666666667,0.7222222222222222,0.5,0.10869565217391304,0.1111111111111111,0.1875,18.204488778054863,0.2857142857142857,0.4,0.19166666666666668,0.044642857142857144,0.23214285714285715,0.05,0.20454545454545456,0.046511627906976744,0.05263157894736842,0.024390243902439025,0.06060606060606061,0.06666666666666667,,0.23076923076923078,0.1891891891891892,0.1590909090909091,0.26,,,1.0,0.3103448275862069,0.5,0.5625,0.6666666666666666,0.27586206896551724,0.4375,0.5384615384615384,1.0,0.20689655172413793,0.25,0.25,0.3333333333333333,0.375,0.6666666666666666,,0.3333333333333333,0.5,0.5172413793103449,0.4885947368421053,0.43448333333333333,0.45418181818181824,0.13846153846153847,0.16981132075471697,0.23636363636363636,0.23636363636363636,8.780434782608694,0.20891364902506965,1.0,2.0,,,,1.0,10.0,,,,2.0,2.0,12.0,,,,2.0,6.0,,9.0,1.0,1.0,,,,,,1.0,0.16666666666666666,,,0.18181818181818182,0.20689655172413793,0.08333333333333333,,0.5,0.034482758620689655,0.5,1.0,1.0,0.1724137931034483,0.1,0.1,1.0,,,,,,,0.16666666666666666,,0.1111111111111111,,27.53333333333333,,,,,,1.0,,,,,,,,,,True
203944,1610612747,Julius Randle,Julius Randle,203944,LAL,97032.0,1617,-475,3219,3222,690,842,391,6441,177,318,48.0,82.0,42.0,75,50.0,128,25.0,112,252,558,142,664,3674,57.0,101,24.0,147,61,114,39,164,224,280,68.0,49,52,53,105,40,13.0,28,8.0,16,263,27,90,150,252,48.0,450,118,568,31.0,41,29,12.0,50,10.0,26,46,8.0,24.0,6.0,96,6.0,21.0,66,151,19.0,7.0,151,2.0,10.0,3.0,194,26.0,101,9.0,20,18,,2.0,20,12.0,1.0,2.0,2.0,163,687,18.0,7.0,0.4444444444444444,0.5137614678899083,0.45161290322580644,0.5643564356435643,0.5350877192982456,0.4469178082191781,0.5801886792452831,0.5122950819672131,0.49700598802395207,0.6176470588235294,0.5578231292517006,0.08781362007168458,0.11006289308176101,0.109375,20.845839017735337,0.5208333333333334,0.47058823529411764,0.2754098360655738,0.07894736842105263,0.2803738317757009,0.04900181488203267,0.2772413793103448,0.06918982850384388,0.13352272727272727,0.07479224376731301,0.03747072599531616,0.044444444444444446,0.06930693069306931,0.27298850574712646,0.2898550724637681,0.2646048109965636,0.28992628992628994,0.25,0.11272727272727273,0.6,0.5445205479452054,0.5566037735849056,0.6254416961130742,0.4350282485875706,0.2191780821917808,0.390625,0.43859649122807015,0.32,0.1917808219178082,0.22321428571428573,0.22321428571428573,0.76,0.7735849056603774,0.5853658536585366,0.14583333333333334,0.6147540983606558,0.56,0.589041095890411,0.5126265410958903,0.521572159090909,0.5374795081967212,0.15326251896813353,0.15955766192733017,0.2213855421686747,0.2469879518072289,6.342114695340501,0.21435228331780057,,3.0,,,,6.0,23.0,3.0,5.0,1.0,8.0,6.0,26.0,3.0,5.0,1.0,8.0,12.0,6.0,23.0,6.0,1.0,5.0,8.0,,,,0.6666666666666666,0.23076923076923078,0.6,0.125,0.23076923076923078,0.04452054794520548,0.038461538461538464,,,0.005136986301369863,,,,0.039383561643835614,0.2608695652173913,0.2727272727272727,0.6666666666666666,,,0.04716981132075472,0.6,0.3333333333333333,,0.06557377049180328,0.125,0.2608695652173913,,25.292307692307695,,1.0,0.043478260869565216,0.012658227848101266,,,,10.0,,,2.0,,,,,True
1897,1610612747,Metta World Peace,Metta World Peace,1897,LAL,16793.0,280,-95,545,552,118,162,68,1097,6,24,,4.0,2.0,6,,7,4.0,10,10,41,10,69,583,,8,,3,2,8,7,14,10,10,,7,6,3,9,2,1.0,5,,1,21,2,7,20,14,1.0,35,9,44,,10,5,5.0,2,2.0,1,5,,1.0,1.0,7,1.0,,12,27,,1.0,15,,2.0,1.0,18,,6,3.0,6,4,,2.0,7,4.0,,,,14,118,4.0,3.0,0.5,0.5,0.24390243902439024,,0.25,0.35119047619047616,0.16666666666666666,0.21875,0.3709677419354839,0.15,0.30434782608695654,0.17073170731707318,0.20833333333333334,0.2857142857142857,16.025641025641026,0.2857142857142857,0.05,0.0782122905027933,0.03414634146341464,0.1834862385321101,0.019417475728155338,0.11805555555555555,0.02922077922077922,0.03896103896103896,0.0196078431372549,0.03896103896103896,0.02564102564102564,,0.029411764705882353,0.037037037037037035,0.17543859649122806,0.225,0.06896551724137931,,0.5714285714285714,0.2857142857142857,0.25,0.3157894736842105,0.3333333333333333,0.08333333333333333,,,,0.11904761904761904,0.4,0.4,0.75,0.4444444444444444,,,0.375,0.3333333333333333,0.7976190476190477,0.5327214285714286,0.54766,0.542015625,0.06666666666666667,0.1276595744680851,0.043478260869565216,0.2028985507246377,6.897560975609755,0.21651376146788992,6.0,17.0,1.0,1.0,5.0,7.0,26.0,,,,3.0,13.0,43.0,1.0,1.0,1.0,8.0,36.0,3.0,26.0,7.0,,,,,,,0.9230769230769231,0.3023255813953488,1.0,0.125,0.3023255813953488,0.5119047619047619,,,,0.20238095238095238,0.35294117647058826,0.35294117647058826,1.0,0.30952380952380953,0.2692307692307692,0.2692307692307692,0.8571428571428571,0.1111111111111111,1.0,,,,0.3125,0.1875,,0.2692307692307692,,24.618604651162794,1.0,,,,0.2,,1.0,,,1.0,,1.0,1.0,,,True
201156,1610612747,Nick Young,Nick Young,201156,LAL,32592.0,543,-157,1046,1046,253,292,127,2092,1,7,,1.0,,2,4.0,12,18.0,46,23,65,30,181,1194,2.0,6,5.0,18,2,14,13,41,22,24,,5,14,6,20,5,1.0,10,1.0,3,46,4,4,14,25,2.0,41,8,49,,11,6,5.0,2,1.0,2,7,3.0,,1.0,9,4.0,3.0,12,27,1.0,1.0,21,1.0,1.0,1.0,32,,5,2.0,5,5,,,5,2.0,,,,41,250,2.0,2.0,0.4782608695652174,0.4782608695652174,0.35384615384615387,0.3333333333333333,0.14285714285714285,0.41032608695652173,0.38235294117647056,0.3783783783783784,0.45408163265306123,0.47368421052631576,0.47619047619047616,0.07692307692307693,0.42857142857142855,,17.197986577181208,0.2222222222222222,0.04878048780487805,0.08250825082508251,0.012269938650306749,0.09271523178807947,0.01904761904761905,0.08590308370044053,0.014925373134328358,0.01680672268907563,0.023255813953488372,,0.017241379310344827,0.027777777777777776,0.05084745762711865,0.11235955056179775,0.09375,0.10344827586206896,0.05714285714285714,,0.4,0.03804347826086957,0.14285714285714285,0.25,,0.06521739130434782,0.3333333333333333,0.3333333333333333,0.5,0.25,0.391304347826087,0.4090909090909091,0.5,0.058823529411764705,,,0.05405405405405406,,0.6847826086956522,0.4957634615384615,0.5305909090909091,0.4873027027027028,0.05154639175257732,0.07142857142857142,0.09944751381215469,0.2265193370165746,14.695384615384615,0.2418738049713193,10.0,32.0,,2.0,4.0,25.0,87.0,3.0,9.0,6.0,19.0,35.0,119.0,3.0,11.0,8.0,23.0,96.0,9.0,87.0,25.0,1.0,,,,3.0,5.0,0.9142857142857143,0.29411764705882354,0.2727272727272727,0.34782608695652173,0.29411764705882354,0.6467391304347826,0.008403361344537815,0.043478260869565216,,0.17391304347826086,0.3125,0.3125,1.0,0.47282608695652173,0.28735632183908044,0.29069767441860467,0.88,0.11764705882352941,,0.5294117647058824,0.3333333333333333,0.6666666666666666,0.10810810810810811,0.5135135135135135,0.3157894736842105,0.28735632183908044,0.04032258064516129,24.81848739495798,2.0,,0.011494252873563218,,0.5,,1.0,,,,,,,,,True
