EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceArc3FGA,SecondChanceFG3A,PtsPutbacks,Travels,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,BlockedAtRim,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,OffLongMidRangeReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceTurnovers,Offensive Fouls,Technical Free Throw Trips,PenaltyAtRimFGM,SecondChanceFtPoints,BlockingFoulsDrawn,Blocked3s,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Charge Fouls,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,SecondChanceCorner3Frequency,FTOffRebounds,OffFTReboundPct,on,SecondChanceCorner3FGM,Fg3aBlocked,Charge Fouls Drawn,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,3pt And 1 Free Throw Trips,Arc3PctBlocked,BlockedArc3
101109,1610612742,Raymond Felton,Raymond Felton,101109,DAL,13832.0,231.0,-33,444.0,446,89.0,101.0,49.0,890,8.0,15.0,1.0,1.0,2.0,3.0,13.0,5.0,17.0,4.0,6.0,1.0,6.0,20.0,1.0,3.0,16.0,45.0,10.0,26.0,9.0,71.0,473,1.0,2.0,2.0,4.0,13.0,1.0,4.0,2.0,13.0,6.0,26.0,24.0,6.0,20.0,6.0,3.0,19.0,14.0,33.0,9.0,5.0,14.0,1.0,4.0,80.0,1.0,1.0,4.0,16.0,3.0,23.0,2.0,25.0,1.0,14.0,10.0,4.0,9.0,1.0,8.0,2.0,1.0,1.0,11.0,2.0,4.0,1.0,11.0,1.0,16.0,3.0,10.0,2.0,6.0,1.0,1.0,1.0,13.0,89.0,2.0,0.1875,0.1875,0.8,0.38461538461538464,0.25,0.38461538461538464,0.35555555555555557,0.5,0.3076923076923077,0.43661971830985913,0.5,0.3235294117647059,0.47333333333333333,0.5,0.3611111111111111,0.36619718309859156,0.06666666666666667,0.06666666666666667,0.15384615384615385,17.2,0.8181818181818182,0.23076923076923078,0.10884353741496598,0.006993006993006993,0.05263157894736842,0.012048192771084338,0.08968609865470852,0.008849557522123894,0.01694915254237288,0.0625,0.12244897959183673,0.041666666666666664,0.16,0.04,0.07692307692307693,0.023809523809523808,0.2112676056338028,0.5333333333333333,0.5714285714285714,0.125,0.18309859154929578,0.23076923076923078,0.2727272727272727,0.23943661971830985,0.29411764705882354,0.29411764705882354,0.4,0.08450704225352113,0.6666666666666666,0.6666666666666666,1.0,0.28169014084507044,0.3,0.3,0.6666666666666666,0.5,1.0,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.3333333333333333,0.5774647887323944,0.3,0.4795021126760564,0.3899,0.43196470588235286,0.08,0.12244897959183673,0.028169014084507043,0.18309859154929578,9.906666666666668,24.611538461538462,0.20045045045045046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
101111,1610612742,Charlie Villanueva,Charlie Villanueva,101111,DAL,5436.0,91.0,-31,184.0,180,62.0,43.0,23.0,364,8.0,13.0,1.0,3.0,2.0,,4.0,,2.0,,1.0,1.0,3.0,18.0,1.0,4.0,8.0,19.0,3.0,19.0,4.0,29.0,196,1.0,4.0,2.0,,3.0,1.0,5.0,2.0,5.0,14.0,2.0,9.0,,18.0,3.0,2.0,1.0,1.0,2.0,,1.0,1.0,,,5.0,1.0,2.0,5.0,8.0,1.0,14.0,3.0,17.0,,1.0,,1.0,2.0,1.0,2.0,3.0,1.0,,5.0,1.0,6.0,1.0,9.0,1.0,2.0,,4.0,,1.0,2.0,1.0,2.0,5.0,61.0,,0.875,1.0,1.0,0.15789473684210525,0.2,0.15789473684210525,0.42105263157894735,0.25,,0.32894736842105265,0.16666666666666666,0.1875,0.3625,0.16666666666666666,0.2777777777777778,0.5,0.10526315789473684,0.15384615384615385,,21.428571428571427,0.4,0.14285714285714285,0.14035087719298245,0.03508771929824561,0.15625,0.024390243902439025,0.14606741573033707,0.030612244897959183,0.043478260869565216,,0.15384615384615385,0.0625,0.2,0.16666666666666666,0.14285714285714285,,0.34210526315789475,0.6153846153846154,0.7272727272727273,0.875,0.10526315789473684,,,0.05263157894736842,,,,0.02631578947368421,,,,0.47368421052631576,0.16666666666666666,0.16666666666666666,1.0,0.5,0.3333333333333333,0.25,0.125,0.5,0.25,0.8421052631578947,0.16666666666666666,0.5600736842105265,0.5528,0.52405,0.02564102564102564,0.05,0.06896551724137931,0.1724137931034483,4.4684210526315775,25.368421052631575,0.33695652173913043,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.058823529411764705,0.029411764705882353,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
101114,1610612742,Deron Williams,Deron Williams,101114,DAL,5193.0,87.0,-41,159.0,164,42.0,30.0,18.0,323,1.0,4.0,,,1.0,2.0,3.0,3.0,4.0,1.0,3.0,,3.0,7.0,1.0,1.0,6.0,11.0,4.0,10.0,5.0,29.0,183,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,8.0,4.0,8.0,9.0,3.0,7.0,3.0,,11.0,5.0,16.0,5.0,,6.0,2.0,3.0,37.0,,,2.0,7.0,1.0,10.0,,10.0,,1.0,,1.0,3.0,1.0,2.0,4.0,1.0,1.0,7.0,3.0,3.0,,5.0,,2.0,,7.0,,2.0,,,,8.0,42.0,,0.3333333333333333,0.3333333333333333,0.75,0.4,1.0,0.4,0.5454545454545454,1.0,0.6666666666666666,0.5714285714285714,1.0,0.875,0.5652173913043478,1.0,0.875,0.47619047619047616,,,,16.75977653631285,0.42857142857142855,0.5,0.12727272727272726,,0.07142857142857142,,0.10843373493975904,,,,0.05,0.13333333333333333,0.2,0.08333333333333333,,,0.19047619047619047,0.25,0.25,,0.14285714285714285,0.6666666666666666,0.6666666666666666,0.19047619047619047,0.75,0.75,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.6666666666666666,,,0.25,,0.25,1.0,0.6666666666666666,0.42857142857142855,0.5022714285714285,0.3767,0.46527499999999994,0.08695652173913043,0.15384615384615385,0.06896551724137931,0.27586206896551724,10.418181818181818,24.749999999999996,0.2641509433962264,,,,,,,,,,,,,,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
201580,1610612742,JaVale McGee,JaVale McGee,201580,DAL,22185.0,370.0,-54,714.0,715,174.0,169.0,81.0,1429,64.0,95.0,17.0,31.0,15.0,7.0,24.0,6.0,14.0,,,,,1.0,,1.0,77.0,133.0,,1.0,18.0,172.0,770,17.0,33.0,36.0,13.0,26.0,,1.0,7.0,33.0,108.0,46.0,,,1.0,,10.0,3.0,,3.0,,,1.0,,2.0,6.0,11.0,42.0,29.0,44.0,7.0,80.0,53.0,133.0,6.0,5.0,2.0,3.0,4.0,3.0,2.0,17.0,3.0,2.0,21.0,6.0,26.0,3.0,49.0,4.0,38.0,5.0,36.0,2.0,15.0,25.0,5.0,26.0,33.0,173.0,3.0,0.7012987012987013,0.8709677419354839,,,,,0.5789473684210527,0.5151515151515151,0.5,0.5746268656716418,0.5151515151515151,0.48148148148148145,0.5695364238410596,0.4864864864864865,0.4852941176470588,0.007462686567164179,0.07518796992481203,0.08421052631578947,0.08333333333333333,21.39303482587065,0.19047619047619047,0.3888888888888889,0.18803418803418803,0.18502202643171806,0.23387096774193547,0.08148148148148149,0.20391061452513967,0.1464088397790055,0.21978021978021978,0.14814814814814814,0.189873417721519,0.18666666666666668,0.1875,0.27058823529411763,0.15384615384615385,0.1276595744680851,0.7089552238805971,0.6736842105263158,0.735632183908046,0.6875,0.1791044776119403,0.2916666666666667,0.3181818181818182,0.1044776119402985,0.42857142857142855,0.42857142857142855,1.0,,,,,0.007462686567164179,,,,0.9393939393939394,0.5483870967741935,0.5555555555555556,,0.037037037037037035,,0.7164179104477612,,0.6314164179104476,0.6343433333333334,0.570262962962963,0.10204081632653061,0.10273972602739725,0.20930232558139536,0.19186046511627908,3.7751879699248128,24.6,0.24369747899159663,,,30.0,3.0,4.0,4.0,18.0,15.0,3.0,0.13333333333333333,0.06481481481481481,0.5769230769230769,,1.0,5.0,,10.0,2.0,1.0,1.0,1.0,2.0,7.0,2.0,1.0,1.0,0.18421052631578946,0.5714285714285714,0.058823529411764705,0.6666666666666666,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
202083,1610612742,Wesley Matthews,Wesley Matthews,202083,DAL,8370.0,140.0,-58,262.0,268,72.0,77.0,27.0,530,2.0,9.0,1.0,2.0,1.0,4.0,6.0,3.0,5.0,3.0,7.0,3.0,7.0,18.0,1.0,5.0,9.0,20.0,10.0,25.0,5.0,53.0,317,1.0,2.0,6.0,3.0,4.0,2.0,8.0,1.0,13.0,8.0,10.0,30.0,,17.0,7.0,3.0,2.0,2.0,4.0,2.0,,1.0,1.0,,10.0,,1.0,6.0,4.0,,10.0,1.0,11.0,,4.0,2.0,2.0,3.0,,1.0,1.0,1.0,2.0,4.0,,3.0,1.0,6.0,,5.0,1.0,6.0,,3.0,,,,13.0,72.0,1.0,0.4444444444444444,0.4444444444444444,1.0,0.4,0.25,0.4166666666666667,0.45,0.5,0.75,0.5333333333333333,0.8333333333333334,0.5,0.5520833333333334,0.75,0.5,0.5555555555555556,0.15,0.3333333333333333,,17.74744027303754,0.75,,0.05555555555555555,0.011904761904761904,0.14285714285714285,,0.08771929824561403,0.007407407407407408,0.030303030303030304,,0.15,0.041666666666666664,,0.15625,0.1,,0.2,0.2222222222222222,0.3333333333333333,0.5,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.1111111111111111,0.6,0.6,0.6666666666666666,0.15555555555555556,0.42857142857142855,0.42857142857142855,1.0,0.4,0.3888888888888889,0.3888888888888889,1.0,0.6666666666666666,0.5,0.08333333333333333,0.25,0.4166666666666667,0.2,0.7555555555555555,0.4117647058823529,0.5017761363636364,0.4679,0.5158818181818181,0.0625,0.13043478260869565,0.11320754716981132,0.24528301886792453,7.5550000000000015,25.416,0.2748091603053435,1.0,1.0,,,,,,,,,,,0.3333333333333333,,,,,1.0,1.0,,,,,,,,,0.25,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,True,,,,,,,,,,,,,,
202718,1610612742,Chandler Parsons,Chandler Parsons,202718,DAL,12805.0,213.0,-43,409.0,409,86.0,80.0,42.0,818,20.0,32.0,,4.0,5.0,2.0,10.0,3.0,9.0,3.0,4.0,1.0,6.0,20.0,3.0,4.0,25.0,51.0,9.0,24.0,9.0,86.0,467,2.0,6.0,5.0,5.0,11.0,4.0,5.0,4.0,26.0,22.0,28.0,21.0,6.0,19.0,6.0,8.0,16.0,8.0,24.0,5.0,3.0,11.0,1.0,4.0,56.0,,2.0,9.0,18.0,1.0,28.0,2.0,30.0,,2.0,,2.0,12.0,,3.0,1.0,,9.0,13.0,5.0,5.0,,10.0,,16.0,3.0,14.0,2.0,6.0,2.0,1.0,2.0,26.0,86.0,,0.44,0.44,0.7777777777777778,0.375,0.8,0.391304347826087,0.49019607843137253,0.3333333333333333,0.45454545454545453,0.5133333333333333,0.25,0.6875,0.5308641975308642,0.2777777777777778,0.6842105263157895,0.32,0.1568627450980392,0.21875,0.1,20.704845814977972,0.9230769230769231,0.125,0.12413793103448276,0.016260162601626018,0.14285714285714285,,0.12980769230769232,0.010256410256410256,0.02,,0.058823529411764705,0.125,0.1956521739130435,0.125,0.17391304347826086,,0.4266666666666667,0.625,0.8,0.55,0.13333333333333333,0.2,0.2222222222222222,0.12,0.3333333333333333,0.3333333333333333,,0.05333333333333334,0.75,0.75,1.0,0.26666666666666666,0.3,0.3,0.6666666666666666,0.5,,0.3125,0.0625,0.25,0.75,0.7466666666666667,0.3157894736842105,0.5313412162162162,0.48745,0.490959375,0.0759493670886076,0.10909090909090909,0.05813953488372093,0.3023255813953488,5.249019607843137,25.924999999999997,0.21026894865525672,2.0,2.0,,,,2.0,1.0,,2.0,0.034482758620689655,,,0.25,,1.0,,3.0,1.0,,,,,,,,,,,,0.6,1.0,,,1.0,,,,1.0,,,,,,,True,,,,,,,,,,,,,,
203098,1610612742,John Jenkins,John Jenkins,203098,DAL,1577.0,26.0,1,58.0,57,25.0,24.0,4.0,115,2.0,3.0,,,1.0,1.0,3.0,3.0,7.0,1.0,3.0,,,2.0,,,6.0,13.0,1.0,5.0,1.0,16.0,52,,,,5.0,8.0,,,1.0,11.0,4.0,8.0,3.0,,2.0,,,1.0,,1.0,,,,,1.0,2.0,,,1.0,1.0,,2.0,,2.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,1.0,,2.0,,4.0,,1.0,1.0,1.0,,,,11.0,25.0,,0.3333333333333333,0.3333333333333333,1.0,0.2,,0.2,0.46153846153846156,,0.625,0.4166666666666667,,0.625,0.4444444444444444,,0.6875,0.2777777777777778,,,,30.64516129032258,1.0,,0.05263157894736842,,0.1,,0.06896551724137931,,,,0.09090909090909091,,,,0.25,,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.42857142857142855,0.42857142857142855,,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.1111111111111111,,,,,,0.125,,,,0.4444444444444444,,0.4867194444444444,,0.4726,0.05555555555555555,0.07692307692307693,,0.6875,12.207692307692309,24.38,0.43103448275862066,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1626147,1610612742,Justin Anderson,Justin Anderson,1626147,DAL,4488.0,75.0,4,148.0,146,48.0,50.0,23.0,294,2.0,5.0,,1.0,2.0,,4.0,2.0,3.0,,2.0,,1.0,10.0,,7.0,4.0,12.0,1.0,12.0,9.0,20.0,144,,1.0,,1.0,5.0,,7.0,3.0,5.0,,8.0,3.0,,10.0,1.0,2.0,2.0,1.0,3.0,1.0,,1.0,,1.0,7.0,1.0,,1.0,6.0,1.0,8.0,1.0,9.0,,4.0,2.0,2.0,2.0,,1.0,1.0,,1.0,3.0,1.0,4.0,,5.0,,8.0,,13.0,1.0,6.0,2.0,,2.0,5.0,47.0,,,,1.0,0.08333333333333333,,0.08333333333333333,0.3333333333333333,,0.2,0.22916666666666666,,0.08333333333333333,0.3333333333333333,,0.17857142857142858,0.5,0.16666666666666666,0.2,0.25,18.96551724137931,0.6666666666666666,0.16666666666666666,0.13953488372093023,,0.045454545454545456,0.02857142857142857,0.1076923076923077,0.011904761904761904,,,0.07142857142857142,0.07692307692307693,0.25,,0.1111111111111111,,0.20833333333333334,0.4,0.5,,0.16666666666666666,,,0.125,0.6666666666666666,0.6666666666666666,,0.08333333333333333,,,,0.4166666666666667,0.1,0.1,1.0,0.5,,0.16666666666666666,,0.5833333333333334,,0.7083333333333334,0.1,0.5055291666666667,0.4107,0.48724166666666674,0.20689655172413793,0.35294117647058826,,0.25,7.5249999999999995,25.041666666666668,0.32432432432432434,1.0,1.0,,1.0,,1.0,2.0,2.0,1.0,,0.03571428571428571,1.0,0.5,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,12011.0,200.0,13,387.0,379,46.0,50.0,45.0,766,13.0,23.0,,1.0,2.0,5.0,18.0,6.0,9.0,,2.0,,6.0,21.0,2.0,4.0,24.0,50.0,6.0,23.0,6.0,72.0,402,2.0,3.0,4.0,4.0,6.0,2.0,4.0,,14.0,16.0,32.0,12.0,6.0,21.0,6.0,3.0,26.0,16.0,42.0,12.0,4.0,21.0,,5.0,100.0,,2.0,3.0,13.0,,16.0,2.0,18.0,,4.0,1.0,3.0,10.0,2.0,9.0,6.0,,1.0,16.0,,4.0,1.0,16.0,,15.0,2.0,8.0,1.0,3.0,,,,14.0,46.0,2.0,0.3333333333333333,0.34782608695652173,0.6666666666666666,0.2608695652173913,0.5,0.2608695652173913,0.48,0.6666666666666666,0.6666666666666666,0.4520547945205479,0.5,0.7,0.47368421052631576,0.5,0.7,0.3150684931506849,0.06,0.08695652173913043,0.05555555555555555,21.10091743119266,0.625,,0.09774436090225563,0.015748031496062992,0.043478260869565216,,0.07920792079207921,0.01020408163265306,0.02040816326530612,,0.07317073170731707,0.10204081632653061,0.11627906976744186,0.022727272727272728,0.08,,0.3150684931506849,0.5652173913043478,0.6190476190476191,0.38461538461538464,0.2465753424657534,0.2777777777777778,0.29411764705882354,0.1232876712328767,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0273972602739726,,,,0.2876712328767123,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.25,,0.2,,0.4,0.5,0.6301369863013698,0.2857142857142857,0.47278958333333343,0.448225,0.3990388888888889,0.04,0.057692307692307696,0.05555555555555555,0.19444444444444445,7.195999999999999,25.495652173913047,0.11886304909560723,1.0,1.0,2.0,2.0,,1.0,,,,0.02702702702702703,,,0.25,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,0.2,,0.5,,,,,,,,,1.0,,,,,,True,,,,,,,,,,,,,,
2734,1610612742,Devin Harris,Devin Harris,2734,DAL,8675.0,145.0,-15,279.0,276,82.0,59.0,29.0,555,8.0,16.0,1.0,3.0,4.0,2.0,6.0,3.0,5.0,6.0,10.0,3.0,2.0,10.0,,6.0,13.0,27.0,8.0,20.0,15.0,65.0,297,2.0,4.0,4.0,4.0,7.0,1.0,9.0,7.0,18.0,8.0,18.0,21.0,3.0,8.0,2.0,4.0,21.0,1.0,22.0,,1.0,17.0,2.0,2.0,45.0,1.0,3.0,7.0,2.0,,9.0,4.0,13.0,1.0,10.0,6.0,4.0,2.0,3.0,2.0,5.0,,,7.0,4.0,5.0,1.0,12.0,,11.0,,17.0,,5.0,,,,18.0,82.0,1.0,0.3076923076923077,0.3333333333333333,0.875,0.4,0.1111111111111111,0.4444444444444444,0.48148148148148145,0.5,0.5714285714285714,0.5319148936170213,0.3333333333333333,0.34375,0.5818181818181818,0.3333333333333333,0.45,0.425531914893617,0.14814814814814814,0.1875,0.16666666666666666,19.935691318327976,0.2857142857142857,,0.021739130434782608,0.03571428571428571,0.14285714285714285,0.02040816326530612,0.06382978723404255,0.03007518796992481,0.09090909090909091,0.1111111111111111,,0.03333333333333333,0.02857142857142857,0.11428571428571428,0.21428571428571427,0.05263157894736842,0.3404255319148936,0.5,0.6153846153846154,0.375,0.1276595744680851,0.3333333333333333,0.4,0.10638297872340426,0.6,0.6,0.3333333333333333,0.2127659574468085,0.6,0.6,1.0,0.2127659574468085,0.2,0.2,0.5,0.5,0.3333333333333333,0.25,0.1875,0.375,,0.7659574468085106,0.25,0.52545,0.53454,0.5146571428571428,0.09615384615384616,0.15625,0.06153846153846154,0.27692307692307694,6.422222222222222,27.235000000000003,0.2939068100358423,1.0,2.0,2.0,1.0,,3.0,,,3.0,,,,0.16666666666666666,1.0,,1.0,2.0,,1.0,,,,,,,,,,,0.5,1.0,,,2.0,,,,0.3333333333333333,,1.0,1.0,0.16666666666666666,,,True,,,,,,,,,,,,,,
