EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,Usage,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,LongMidRangeFrequency,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,SelfOReb,Steals,BadPassSteals,PenaltyPointsExcludingTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,PtsUnassisted3s,LiveBallTurnovers,BadPassTurnovers,Turnovers,LiveBallTurnoverPct,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,BlockingFouls,on,PenaltyAtRimFGM,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFtPoints,HeaveAttempts,Corner3Assists,LongMidRangeAssists,FTOffRebounds,FTDefRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Clear Path Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,Corner3PctBlocked,OffensiveGoaltends,3SecondViolations,HeaveMakes
1627293,1610612746,Alex Stepheson,Alex Stepheson,1627293,LAC,692.0,12.0,4.0,25,25,6.0,14.0,3.0,50,1.0,1.0,1.0,1.0,1.0,1.0,2.0,19,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,6.896551724137932,0.1111111111111111,0.25,0.0833333333333333,0.0769230769230769,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.6175,0.6175,0.5,0.5,1.0,0.7,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200755,1610612746,JJ Redick,JJ Redick,200755,LAC,25.0,,-3.0,1,1,,1.0,,2,,,,,,1.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,0.4314,,,,,18.5,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201145,1610612746,Jeff Green,Jeff Green,201145,LAC,635.0,11.0,4.0,23,23,4.0,14.0,3.0,46,1.0,1.0,,,2.0,3.0,8.0,19,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,4.0,,0.6666666666666666,,0.7,,0.6666666666666666,,22.22222222222222,,,,,,,,0.2,1.0,1.0,,,0.6,0.3841,0.531,0.1666666666666666,0.25,,7.366666666666667,0.1739130434782608,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,1.0,1.0,0.2,0.2,1.0,1.0,1.0,1.0,1.0,23.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203143,1610612746,Pablo Prigioni,Pablo Prigioni,203143,LAC,692.0,12.0,4.0,25,25,6.0,14.0,3.0,50,,1.0,,,,1.0,10.0,19,,,3.0,,,2.0,1.0,3.0,2.0,5.0,,1.0,,1.0,2.0,1.0,,,,,6.0,,,,1.125,1.5,1.0,1.5,17.24137931034483,0.2222222222222222,0.25,0.25,0.1538461538461538,0.5,,,0.25,,,,,1.0,0.4590125,,0.2,0.5,0.3,2.1,0.24,,,,,,,3.0,3.0,3.0,3.0,1.0,1.0,,9.0,3.0,3.0,,,1.0,1.0,1.0,0.75,,,,,,,0.75,1.0,1.0,1.0,,1.0,28.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,2.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.2,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.4376666666666666,0.6,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,1610612746,Jamal Crawford,Jamal Crawford,2037,LAC,56.0,1.0,-2.0,2,1,,1.0,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202325,1610612746,Wesley Johnson,Wesley Johnson,202325,LAC,554.0,9.0,11.0,19,20,5.0,11.0,2.0,39,,,,,,,,12,,,,,,,,2.0,1.0,3.0,,,,,,,,,,,5.0,,,,,,,,4.545454545454546,,,0.1818181818181818,0.125,,,,,,,,,1.0,0.6807,0.6807,,,,,0.2631578947368421,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,27.1,,,1.0,,1.0,,,,1.0,,,2.0,2.0,2.0,,,6.0,2.0,1.0,1.0,1.0,,,,,,0.2857142857142857,,0.25,0.3333333333333333,,1.0,1.0,,,,1.0,,0.6807,,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203912,1610612746,CJ Wilcox,CJ Wilcox,203912,LAC,466.0,8.0,10.0,16,18,3.0,11.0,2.0,34,,1.0,,,,3.0,3.0,12,,,,,,,,,,,,1.0,,1.0,,,,,,,3.0,,,,0.2142857142857142,,0.2142857142857142,,42.10526315789474,,,,,,,,0.1428571428571428,,,,,0.7142857142857143,0.4306428571428571,,,,,11.1,0.1875,1.0,0.1428571428571428,,1.0,,,1.0,4.0,1.0,4.0,,,,,4.0,1.0,,,,0.25,0.25,0.5714285714285714,,0.1428571428571428,,,,,0.5714285714285714,0.25,0.25,,,0.25,26.125,,,,1.0,2.0,,,1.0,2.0,3.0,,1.0,1.0,1.0,,,3.0,,,2.0,2.0,3.0,,0.5,0.75,0.75,,,,,,,,,,,1.0,0.5,0.366675,1.0,,,,3.0,1.0,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202332,1610612746,Cole Aldrich,Cole Aldrich,202332,LAC,170.0,3.0,-4.0,7,6,3.0,2.0,1.0,13,,1.0,,,,2.0,,4,,,,,,,1.0,3.0,,3.0,,,,,,,,,,,3.0,,,,,,,,25.0,,1.0,1.0,,,,,0.5,,,,,0.5,0.549,,,,,3.65,0.4285714285714285,,,,1.0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203085,1610612746,Austin Rivers,Austin Rivers,203085,LAC,170.0,3.0,-4.0,7,6,3.0,2.0,1.0,13,,,,,,1.0,,4,,,,,,,,,,,1.0,1.0,,,,,,,,,3.0,,,,,,,,12.5,,,,,,,,,,,,,,0.3703,,,,,18.1,0.4285714285714285,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3703,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101108,1610612746,Chris Paul,Chris Paul,101108,LAC,145220.0,2420.0,553.0,4865,4831,1398.0,1356.0,461.0,9696,94.0,156.0,10.0,14.0,393.0,785.0,1446.0,4989,26.0,53.0,103.0,696.0,6.0,25.0,88.0,271.0,39.0,310.0,54.0,185.0,12.0,295.0,328.0,65.0,13.0,5.0,13.0,5.0,1372.0,32.0,0.5006369426751592,0.490566037735849,0.5170556552962298,0.5120481927710844,0.5638977635782748,0.5543478260869565,26.83243644460939,0.0190985485103132,0.1222222222222222,0.1115303983228511,0.018018018018018,0.0175438596491228,0.1280148423005566,0.3846153846153846,0.1400359066427289,0.6025641025641025,0.6714285714285714,0.1686746987951807,0.7142857142857143,0.4353680430879713,0.4593449549549552,0.46625,0.058169375534645,0.077658303464755,0.0712309820193637,12.140127388535038,0.2873586844809866,412.0,0.3698384201077199,118.0,217.0,39.0,4.0,108.0,290.0,122.0,329.0,294.0,30.0,90.0,123.0,287.0,108.0,0.1145038167938931,0.1153846153846153,0.3360655737704918,0.3708206686930091,0.3742331288343558,0.2953321364452423,0.2340425531914893,0.1947935368043088,0.543778801843318,0.5566037735849056,0.0847457627118644,0.0350089766606822,0.2603231597845601,0.3724137931034483,0.3724137931034483,0.2962962962962963,0.0481927710843373,0.3763066202090592,25.96322188449848,48.0,9.0,26.0,30.0,84.0,11.0,228.0,34.0,97.0,521.0,504.0,234.0,738.0,174.0,295.0,41.0,1710.0,178.0,11.0,152.0,85.0,508.0,0.3666666666666666,0.3505154639175257,0.4984615384615384,0.5976744186046512,0.1069069069069069,0.0273224043715847,0.0866290018832391,0.1407766990291262,0.1049723756906077,0.0197486535008976,0.3132530120481928,0.3461538461538461,0.5555555555555556,0.1476923076923077,0.2584615384615384,0.3571428571428571,0.4454264797507787,0.3603042876901798,13.0,0.01625,0.011608623548922,243.0,121.0,93.0,194.0,0.6237113402061856,29.0,0.0369426751592356,0.1025641025641025,3.0,False,29.0,181.0,14.0,2.0,4.0,13.0,18.0,111.0,197.0,3.0,60.0,168.0,1.0,5.0,67.0,38.0,73.0,6.0,28.0,4.0,6.0,6.0,45.0,4.0,1.0,10.0,4.0,5.0,15.0,15.0,13.0,36.0,3.0,83.0,8.0,72.0,0.4868421052631579,0.0230414746543778,0.0194174757281553,0.0349650349650349,0.0048076923076923,0.0151975683890577,0.0304568527918781,0.0872093023255814,0.4393203883495146,0.448019801980198,0.0718232044198895,0.358974358974359,0.358974358974359,0.6428571428571429,0.1,0.5,0.5,0.6041666666666666,0.04,0.3076923076923077,0.0090361445783132,,,,,,,,,,,,,,
