EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG2A,SecondChanceFG3A,PtsAssisted2s,PtsAssisted3s,OffThreePtRebounds,FTOffRebounds,LostBallSteals,LostBallTurnovers,Charge Fouls Drawn,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,AtRimPctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,AtRimPctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,ShortMidRangeFGM,LongMidRangeFGM,ShootingFouls,Clear Path Fouls,Offensive Fouls,Technical Free Throw Trips,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,FTDefRebounds,BadPassOutOfBoundsTurnovers,BlockingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LongMidRangePctBlocked,DefFTReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,SecondChancePointsPct,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,OffArc3ReboundPct,BlocksRecoveredPct,BlockedAtRim,ShortMidRangePctAssisted,SecondChanceCorner3FGM,SecondChanceFG3M,ShortMidRangeAssists,LongMidRangeAssists,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,on,Fg3aBlocked,Travels,Charge Fouls,Loose Ball Fouls,Offensive Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,SelfOReb,StepOutOfBoundsTurnovers,BlockingFouls,Corner3PctBlocked,SelfORebPct,HeaveMakes,HeaveAttempts,Loose Ball Fouls Drawn,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,BlockedCorner3,OffensiveGoaltends,3SecondViolations
1626153,1610612761,Delon Wright,Delon Wright,1626153,TOR,1622.0,27,-3.0,56,59,49,34,9,115,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,6.0,2.0,3.0,1.0,9.0,50,1.0,6.0,2.0,2.0,1.0,9.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,2.0,3.0,2.0,5.0,2.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,9.0,49,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.5,0.4090909090909091,0.45,0.3333333333333333,0.16666666666666666,0.5,20.0,0.5,0.11764705882352941,0.08,0.23076923076923078,0.16666666666666666,0.0625,0.14285714285714285,0.125,0.125,0.2,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,1.0,1.0,0.375,0.3333333333333333,0.25,1.0,0.6666666666666666,1.0,0.50355,0.48965624999999996,0.1,0.14285714285714285,1.0,5.683333333333334,24.666666666666668,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1626181,1610612761,Norman Powell,Norman Powell,1626181,TOR,2049.0,34,6.0,72,74,63,29,14,146,4.0,9.0,4.0,8.0,1.0,6.0,1.0,1.0,3.0,1.0,3.0,4.0,16.0,1.0,4.0,2.0,13.0,69,4.0,15.0,1.0,4.0,2.0,13.0,6.0,,3.0,1.0,1.0,,4.0,4.0,3.0,1.0,,12.0,2.0,3.0,1.0,4.0,4.0,8.0,4.0,1.0,1.0,,,,1.0,1.0,2.0,3.0,3.0,2.0,,13.0,63,2.0,,0.25,0.25,0.25,0.25,0.26666666666666666,0.275,0.2894736842105263,0.30952380952380953,0.325,0.2,0.0625,,25.0,1.0,0.0625,0.06451612903225806,0.23076923076923078,0.13793103448275862,0.07142857142857142,,,,0.2,0.25,0.45,0.4444444444444444,0.5,0.05,0.3,0.05,0.15,0.3333333333333333,0.3333333333333333,0.42105263157894735,0.5,0.15789473684210525,0.3333333333333333,0.65,0.3333333333333333,0.5338025,0.5307763157894737,0.09523809523809523,0.11764705882352941,1.0,8.1375,24.925,0.875,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.25,0.25,1.0,0.1111111111111111,0.3333333333333333,0.09090909090909091,0.16666666666666666,0.2,0.25,1.0,0.4,0.05263157894736842,0.36013333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
201942,1610612761,DeMar DeRozan,DeMar DeRozan,201942,TOR,1893.0,32,-36.0,66,63,24,21,8,129,1.0,1.0,1.0,1.0,2.0,4.0,,,1.0,,1.0,4.0,7.0,,1.0,10.0,18.0,88,3.0,4.0,,1.0,1.0,7.0,6.0,,1.0,,,1.0,1.0,2.0,1.0,,1.0,5.0,,,,,,,1.0,,3.0,,1.0,,4.0,1.0,5.0,5.0,10.0,5.0,,7.0,24,1.0,,,,,0.5714285714285714,0.75,0.5,0.6,0.7083333333333334,0.7,0.125,,,21.05263157894737,0.75,,,,,,,,,,,0.125,1.0,1.0,0.25,0.5,,0.125,,,0.2,1.0,0.2,,0.25,,0.40637499999999993,0.41658,0.4166666666666667,0.45454545454545453,0.3888888888888889,11.72857142857143,32.7,0.36363636363636365,,,1.0,,2.0,,,,1.0,3.0,,1.0,0.25,0.25,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
203461,1610612761,Anthony Bennett,Anthony Bennett,203461,TOR,5054.0,84,-30.0,176,176,99,64,25,352,5.0,9.0,3.0,5.0,2.0,2.0,4.0,1.0,10.0,1.0,5.0,5.0,13.0,3.0,14.0,9.0,28.0,201,3.0,8.0,3.0,8.0,6.0,21.0,8.0,,10.0,1.0,2.0,,,,,,,,5.0,7.0,9.0,17.0,6.0,23.0,5.0,1.0,1.0,,3.0,,4.0,1.0,8.0,5.0,10.0,3.0,2.0,21.0,99,,1.0,0.21428571428571427,0.375,0.21428571428571427,0.38461538461538464,0.375,0.35185185185185186,0.46875,0.421875,0.5263157894736842,0.5185185185185185,0.15384615384615385,,17.073170731707318,0.25,0.20930232558139536,0.08196721311475409,0.35,0.25396825396825395,0.06593406593406594,0.1,0.10526315789473684,0.2,0.1875,0.1875,0.3333333333333333,0.5555555555555556,0.625,0.07407407407407407,0.07407407407407407,0.14814814814814814,0.37037037037037035,0.1,0.1,0.3125,0.6,0.3125,0.2,0.8518518518518519,0.1,0.5329148148148148,0.510328125,0.1,0.1875,0.75,4.292307692307692,25.37142857142857,0.5625,3.0,,5.0,1.0,2.0,9.0,1.0,,4.0,1.0,,,0.2,0.5,1.0,0.1111111111111111,,0.03333333333333333,0.045454545454545456,0.08333333333333333,0.2,1.0,,0.1875,0.62673,,,6.0,,1.0,1.0,,,,,,3.0,5.0,2.0,1.0,2.0,3.0,2.0,8.0,6.0,1.0,2.0,1.0,0.6,0.5,0.5714285714285714,0.5,0.5,0.25,1.0,0.5,0.5,1.0,0.8333333333333334,0.6,0.16666666666666666,0.6666666666666666,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
203512,1610612761,Lucas Nogueira,Lucas Nogueira,203512,TOR,1402.0,23,5.0,47,48,44,23,9,95,1.0,2.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,9.0,48,,1.0,1.0,1.0,2.0,5.0,,,1.0,1.0,,,,,,,,,2.0,,,,3.0,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,3.0,3.0,6.0,2.0,1.0,5.0,44,1.0,,1.0,1.0,1.0,0.5,,0.8333333333333334,0.75,0.75,0.625,0.3333333333333333,,,12.499999999999998,,,0.1,,,0.12,0.16666666666666666,,,,,0.6666666666666666,0.5,0.5,,,,0.3333333333333333,1.0,1.0,0.5,,0.5,1.0,1.0,1.0,0.6054,0.55025,0.4,0.5,0.5555555555555556,0.5,25.8,0.9361702127659575,,,1.0,,2.0,3.0,1.0,,,,,,1.0,1.0,1.0,,,0.2,0.125,,1.0,1.0,,,0.6082,,,1.0,,,,,,,,,,1.0,,,,,2.0,2.0,,,,,,,0.5,,,,,,,,1.0,,,,0.2222222222222222,1.0,1.0,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
201949,1610612761,James Johnson,James Johnson,201949,TOR,556.0,9,6.0,21,20,15,8,6,41,,,,,,,1.0,,,,,,,,1.0,2.0,2.0,14,,,,1.0,2.0,2.0,,,,,,,1.0,1.0,1.0,,,3.0,,,2.0,2.0,,2.0,,,2.0,1.0,,,2.0,1.0,,1.0,2.0,,1.0,2.0,15,,1.0,,,,,,,,0.5,0.5,1.0,,,13.793103448275863,1.0,0.5,,,0.2857142857142857,,,,,0.5,,,,,,,1.0,,,,,,,,1.0,,0.54195,0.54195,,,1.0,,23.3,0.7142857142857143,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
202687,1610612761,Bismack Biyombo,Bismack Biyombo,202687,TOR,2256.0,38,-29.0,79,74,30,17,9,153,4.0,6.0,3.0,3.0,,1.0,,,,,,4.0,7.0,,,3.0,11.0,94,3.0,3.0,,,3.0,9.0,6.0,,,,3.0,2.0,,2.0,,,2.0,4.0,2.0,,4.0,5.0,6.0,11.0,1.0,,1.0,,,,1.0,,4.0,3.0,4.0,2.0,,9.0,30,,,,,,0.5714285714285714,1.0,0.5714285714285714,1.0,0.6111111111111112,0.9,,0.42857142857142855,,11.235955056179774,1.0,0.16,0.07407407407407407,,0.125,0.14634146341463414,0.1,0.1111111111111111,,0.25,,0.8571428571428571,0.6666666666666666,1.0,,0.14285714285714285,,,,,1.0,1.0,,,0.8571428571428571,,0.5552,0.5889,0.2222222222222222,0.2222222222222222,0.8181818181818182,3.9714285714285715,,0.379746835443038,,,2.0,,2.0,,4.0,,1.0,1.0,,,0.25,0.3333333333333333,,0.3333333333333333,,0.2857142857142857,,0.25,0.25,,,,0.4899,,,2.0,,,,,,,,,2.0,2.0,,,,2.0,1.0,5.0,2.0,1.0,,,1.0,1.0,0.8333333333333334,1.0,1.0,0.25,,,,,1.0,1.0,,,0.45454545454545453,5.0,1.0,5.0,4.0,0.3333333333333333,0.8,4.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
202335,1610612761,Patrick Patterson,Patrick Patterson,202335,TOR,1269.0,21,-11.0,44,42,21,5,6,86,,1.0,,,3.0,,2.0,,,,,2.0,4.0,,2.0,,4.0,63,1.0,1.0,,,,2.0,,,,,,,,,,,,,1.0,,4.0,4.0,1.0,5.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,2.0,21,,,,,,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,,,14.0,1.0,0.2857142857142857,0.08333333333333333,,0.25,0.05,,,,,,0.16666666666666666,,,0.5,,0.3333333333333333,,,,,,,,0.5,,0.47527500000000006,0.3892,,,0.5,6.175,23.8,0.4772727272727273,,,1.0,,4.0,,,,1.0,,,,1.0,1.0,,,,,0.3333333333333333,,,,,,0.5204,2.0,,1.0,,,,0.6666666666666666,0.6666666666666666,,,,,1.0,,,,,,,,,,,,,,,,0.8,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
202685,1610612761,Jonas Valanciunas,Jonas Valanciunas,202685,TOR,696.0,12,-10.0,22,27,13,13,1,49,,1.0,,1.0,3.0,,,,,,,3.0,4.0,,,1.0,7.0,33,1.0,2.0,,,,2.0,2.0,,,,,,,,,,,,,1.0,3.0,4.0,,4.0,,,1.0,,,,1.0,,1.0,1.0,2.0,1.0,,2.0,13,,,,,,0.75,0.5,0.75,0.5,0.7,0.5,,,,26.08695652173913,1.0,0.42857142857142855,,0.3333333333333333,0.4,,,,0.3333333333333333,0.5,0.5,0.25,,,0.75,,,,,,0.5,,,,0.25,,0.40697500000000003,0.4147,0.2,0.2,0.2857142857142857,6.25,,0.5909090909090909,,,1.0,,4.0,,,,,1.0,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,3.0,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,0.2857142857142857,1.0,,1.0,,,,1.0,0.6666666666666666,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
202709,1610612761,Cory Joseph,Cory Joseph,202709,TOR,3576.0,60,,124,124,66,37,13,248,5.0,7.0,1.0,1.0,9.0,3.0,2.0,1.0,2.0,1.0,2.0,10.0,19.0,2.0,4.0,6.0,32.0,142,2.0,6.0,2.0,4.0,4.0,14.0,16.0,,2.0,1.0,1.0,7.0,2.0,9.0,1.0,1.0,4.0,20.0,1.0,1.0,4.0,5.0,2.0,7.0,1.0,,2.0,1.0,,,2.0,,4.0,7.0,6.0,4.0,,14.0,66,,,0.5,0.5,0.5,0.5263157894736842,0.3333333333333333,0.5652173913043478,0.5,0.64,0.5833333333333334,0.17391304347826086,0.05263157894736842,0.1111111111111111,19.28571428571429,1.0,0.13333333333333333,0.02631578947368421,0.09090909090909091,0.12195121951219512,0.03571428571428571,,0.09090909090909091,0.2,0.16666666666666666,0.1111111111111111,0.30434782608695654,0.7142857142857143,0.7142857142857143,0.391304347826087,0.13043478260869565,0.08695652173913043,0.08695652173913043,0.5,0.5,0.1,1.0,0.2,0.5,0.4782608695652174,0.5,0.45775869565217386,0.46237500000000004,0.16,0.19047619047619047,0.4375,7.2368421052631575,24.4,0.532258064516129,2.0,,,1.0,4.0,6.0,1.0,,1.0,1.0,,2.0,0.2,0.2,1.0,,,0.05555555555555555,,,0.4,1.0,,0.2,0.69195,3.0,2.0,3.0,,,,0.3333333333333333,0.375,0.6666666666666666,0.6666666666666666,,,,1.0,1.0,1.0,,,3.0,,,,1.0,,1.5,1.5,,,,,0.5,0.5,1.0,,,1.0,0.5,0.09375,,,,,0.1111111111111111,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
