EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,FoulsDrawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,Blocked2s,BlockedAtRim,Blocks,DefensiveGoaltends,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,DefShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Frequency,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsUnassisted3s,ShortMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,Loose Ball Fouls,Charge Fouls Drawn,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,OffThreePtRebounds,SelfOReb,Charge Fouls,BlockedShortMidRange,RecoveredBlocks,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,Fg3aBlocked,LostBallSteals,StepOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,OffArc3ReboundPct,PtsPutbacks,BadPassOutOfBoundsTurnovers,Offensive Fouls,OffensiveGoaltends,SecondChanceFtPoints,HeaveAttempts,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,on,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyFG3M,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3SecondViolations,Defensive 3 Seconds Violations,PenaltyFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,Corner3PctBlocked,FTOffRebounds,Blocked3s,BlockedArc3,OffFTReboundPct
1863,1610612745,Earl Boykins,Earl Boykins,1863,HOU,6640.0,111,-13,206,205,34,60,23.0,411,1.0,1,1.0,1.0,3.0,5.0,6.0,21.0,1.0,1.0,2.0,8.0,10,27,2.0,9.0,13.0,39,205,1.0,3.0,5.0,1.0,10.0,16.0,6.0,14,6.0,8.0,2.0,2.0,13.0,4.0,17.0,3.0,1.0,4.0,9.0,38.0,6.0,5.0,11.0,11.0,1.0,1.0,6.0,4.0,1.0,2.0,1.0,7.0,2.0,2.0,2,1.0,5,10.0,15.0,1.0,3.0,4.0,14.0,32,1.0,3.0,0.3,0.3,1.0,0.2222222222222222,0.2222222222222222,0.37037037037037035,0.6,0.3611111111111111,0.5,0.45348837209302323,0.7272727272727273,0.25,0.07407407407407407,0.2,0.047619047619047616,21.459227467811157,0.8571428571428571,0.05319148936170213,0.18181818181818182,0.08661417322834646,0.12903225806451613,0.03225806451612903,0.23809523809523808,0.08333333333333333,0.027777777777777776,1.0,1.0,0.1388888888888889,0.6,0.75,0.3333333333333333,0.5833333333333334,0.2857142857142857,0.3,0.3333333333333333,0.027777777777777776,0.2222222222222222,0.25,0.25,1.0,0.16666666666666666,1.0,0.16666666666666666,0.2777777777777778,0.25,0.4409569444444444,0.4518,0.47147500000000003,0.07692307692307693,0.1,0.41025641025641024,16.07037037037037,25.011111111111113,0.1650485436893204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
201584,1610612745,Courtney Lee,Courtney Lee,201584,HOU,3595.0,60,5,115,112,19,39,10.0,227,1.0,4,,1.0,3.0,3.0,3.0,6.0,3.0,,1.0,4.0,7,13,3.0,7.0,5.0,28,114,1.0,2.0,4.0,1.0,3.0,7.0,4.0,10,9.0,4.0,1.0,2.0,,1.0,1.0,1.0,,,,3.0,2.0,3.0,5.0,5.0,1.0,1.0,2.0,2.0,,,,2.0,1.0,,5,,7,3.0,6.0,,2.0,1.0,5.0,17,,,0.2857142857142857,0.2857142857142857,1.0,0.42857142857142855,0.42857142857142855,0.5384615384615384,0.5,0.575,0.4,0.6086956521739131,0.5,0.35,0.15384615384615385,,,19.841269841269842,1.0,0.05357142857142857,0.1,0.06578947368421052,,0.05555555555555555,0.058823529411764705,0.3333333333333333,0.2,0.25,0.5,0.15,1.0,1.0,0.3333333333333333,0.3,0.5,0.5,0.3333333333333333,0.15,0.2,0.25,0.25,1.0,0.2,,,0.55,0.25,0.4887975,0.49197500000000005,0.3885,0.09090909090909091,0.13333333333333333,0.25,11.461538461538462,24.571428571428573,0.16521739130434782,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8333333333333334,0.8333333333333334,0.5,0.10526315789473684,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,0.2,0.17857142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
201609,1610612745,Goran Dragic,Goran Dragic,201609,HOU,338.0,6,2,10,11,1,7,,21,1.0,1,,,1.0,1.0,,1.0,,,,,2,3,,,,4,10,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,1,,,,,,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,,30.0,,,,,,,,,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,,,,,,,0.3333333333333333,,0.5409,,,,,,9.466666666666667,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
201978,1610612745,Chase Budinger,Chase Budinger,201978,HOU,5699.0,95,-3,177,175,26,46,19.0,352,5.0,7,,,,3.0,2.0,5.0,5.0,,6.0,11.0,7,15,7.0,16.0,2.0,37,169,4.0,,,,,,8.0,6,18.0,11.0,6.0,3.0,7.0,3.0,10.0,2.0,1.0,3.0,2.0,23.0,7.0,6.0,14.0,16.0,2.0,2.0,2.0,1.0,,1.0,,2.0,,,4,,7,7.0,4.0,,2.0,,,24,,,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.4375,0.4375,0.4666666666666667,,0.5645161290322581,,0.5606060606060606,,0.5161290322580645,0.2,0.3333333333333333,0.2,17.587939698492463,1.0,0.07317073170731707,0.2413793103448276,0.11711711711711711,0.07142857142857142,0.037037037037037035,0.2777777777777778,0.18181818181818182,0.22580645161290322,0.7142857142857143,0.8333333333333334,0.0967741935483871,,,,0.16129032258064516,0.4,0.5,,0.16129032258064516,0.3548387096774194,0.5454545454545454,0.5454545454545454,0.8333333333333334,,,,0.7419354838709677,0.5454545454545454,0.555651612903226,0.5894,,0.06060606060606061,0.11764705882352941,,8.866666666666667,24.475,0.14689265536723164,1.0,,,,3.0,,,6.0,,,,,,0.75,0.75,0.75,0.14285714285714285,0.1111111111111111,0.2,0.2,1.0,,,,,0.16216216216216217,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,0.14285714285714285,0.030303030303030304,0.022988505747126436,0.07692307692307693,0.030303030303030304,0.8,0.75,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2449,1610612745,Luis Scola,Luis Scola,2449,HOU,2637.0,44,-7,85,84,6,26,7.0,169,1.0,4,,,1.0,4.0,5.0,8.0,,,,,7,16,,,4.0,18,86,,,1.0,,,,10.0,4,,,,2.0,2.0,3.0,5.0,2.0,1.0,1.0,,13.0,1.0,7.0,10.0,13.0,1.0,1.0,4.0,2.0,1.0,2.0,,5.0,,,2,,6,4.0,4.0,,2.0,,,6,,,0.7142857142857143,0.7142857142857143,,,,0.4375,,0.4375,,0.5,,,0.125,,,24.731182795698924,0.8,0.21212121212121213,0.06666666666666667,0.16666666666666666,0.08333333333333333,0.15384615384615385,0.1,,0.25,0.25,0.5,0.25,0.25,0.25,,0.5,0.625,0.625,1.0,,,,,,,,,0.25,,0.46663125,,0.3631,0.1111111111111111,0.1111111111111111,,11.71875,,0.07058823529411765,,,,,,,,,3.0,2.0,3.0,,,,,,0.5,0.5,,,,,,,,,,,,1.0,2.0,2.0,3.0,,,0.6666666666666666,0.08,0.08333333333333333,,0.07692307692307693,,,,,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.25,0.2,0.14285714285714285,0.3333333333333333,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
202718,1610612745,Chandler Parsons,Chandler Parsons,202718,HOU,2819.0,47,-4,93,92,28,38,10.0,185,2.0,2,,,,1.0,1.0,2.0,1.0,,,3.0,3,5,,4.0,4.0,10,88,,1.0,1.0,3.0,2.0,4.0,2.0,4,,3.0,,,3.0,,3.0,,,1.0,2.0,6.0,1.0,7.0,9.0,12.0,2.0,,4.0,3.0,1.0,1.0,,5.0,1.0,,2,,4,5.0,6.0,,2.0,1.0,4.0,26,,1.0,0.3333333333333333,0.3333333333333333,,,,0.6,1.0,0.3333333333333333,0.25,0.4166666666666667,0.3333333333333333,0.4444444444444444,,,,16.037735849056602,0.8,0.1794871794871795,0.07142857142857142,0.1509433962264151,0.18181818181818182,0.3076923076923077,,0.16666666666666666,0.2222222222222222,1.0,1.0,0.1111111111111111,,,,0.2222222222222222,0.5,0.5,,0.1111111111111111,0.3333333333333333,,,,,,,0.6666666666666666,,0.4314,,0.3499875,0.18181818181818182,0.2857142857142857,0.4,10.38,27.075,0.3010752688172043,,,,3.0,,,,,1.0,1.0,1.0,,,,,,,0.06666666666666667,,,,,,,0.75,,,,,,1.0,1.0,3.0,,,0.25,0.034482758620689655,0.07142857142857142,0.2,,0.5,,,,2.0,,,,,0.15384615384615385,,0.16666666666666666,,,1.0,2.0,1.0,0.25,0.3333333333333333,0.14285714285714285,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
202335,1610612745,Patrick Patterson,Patrick Patterson,202335,HOU,4714.0,79,-9,146,144,24,31,17.0,290,4.0,5,1.0,1.0,6.0,14.0,5.0,13.0,,,,,15,32,,,3.0,33,143,5.0,1.0,2.0,,,2.0,22.0,8,,,,,1.0,,1.0,,,,1.0,2.0,4.0,8.0,13.0,18.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,,1.0,3,,3,4.0,4.0,,2.0,,2.0,22,,,0.7333333333333333,0.7857142857142857,,,,0.46875,0.5,0.46875,0.5,0.4852941176470588,0.5,,,,,22.89156626506024,0.5,0.11428571428571428,0.18181818181818182,0.13043478260869565,,0.21739130434782608,0.11764705882352941,0.4,0.15625,0.8,0.8,0.4375,0.42857142857142855,0.42857142857142855,0.5,0.40625,0.38461538461538464,0.38461538461538464,1.0,,,,,,0.5,1.0,,0.15625,,0.42427499999999996,0.46259999999999996,0.40059999999999996,0.058823529411764705,0.058823529411764705,0.06060606060606061,11.028125,,0.1643835616438356,,,,,4.0,,,8.0,3.0,2.0,3.0,,,0.8,0.8,0.8,,0.12,,,,,,,,0.24242424242424243,1.0,1.0,,,4.0,1.0,5.0,,,0.14285714285714285,0.06349206349206349,0.06493506493506493,0.1,0.09090909090909091,0.75,0.2,1.0,,1.0,,,1.0,2.0,0.07142857142857142,,0.16666666666666666,,0.6666666666666666,,1.0,,,,,2.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2223,1610612745,Samuel Dalembert,Samuel Dalembert,2223,HOU,2869.0,48,-22,83,86,8,19,10.0,169,2.0,6,,,2.0,4.0,2.0,6.0,,,,,6,16,,,,12,93,3.0,1.0,1.0,,,2.0,8.0,4,,,,3.0,2.0,,2.0,,,1.0,1.0,4.0,1.0,5.0,7.0,10.0,,,2.0,2.0,2.0,,,4.0,1.0,1.0,3,,6,,,,,,2.0,8,,,0.6666666666666666,0.6666666666666666,,,,0.375,1.0,0.375,1.0,0.375,1.0,,0.1875,0.25,,21.05263157894737,0.5,0.10416666666666667,0.1,0.10344827586206896,,0.07142857142857142,,0.14285714285714285,0.375,0.3333333333333333,0.5,0.25,0.5,0.6666666666666666,0.5,0.375,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,0.375,,0.47401250000000006,0.5630333333333333,0.4249,,,0.16666666666666666,9.025,,0.0963855421686747,,,,,,,,,2.0,1.0,2.0,1.0,,,,,0.3333333333333333,0.23529411764705882,,,,,,,,,,2.0,,,3.0,1.0,3.0,1.0,,0.3333333333333333,0.08571428571428572,0.07142857142857142,0.14285714285714285,,1.0,0.6666666666666666,,,,,,1.0,2.0,,0.2222222222222222,,,1.0,,,,,,,,,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
948,1610612745,Marcus Camby,Marcus Camby,948,HOU,2168.0,36,2,68,66,14,31,11.0,134,2.0,3,,,,1.0,1.0,1.0,,,,1.0,3,5,,1.0,1.0,7,65,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2,,,,1.0,3.0,,3.0,,,,,6.0,2.0,7.0,9.0,13.0,2.0,,2.0,2.0,,,,2.0,1.0,,1,,3,2.0,3.0,,1.0,1.0,3.0,14,1.0,1.0,0.6666666666666666,1.0,,,,0.6,1.0,0.5,0.5,0.5,0.5,0.16666666666666666,0.2,1.0,,11.25,1.0,0.28,0.18181818181818182,0.25,0.3333333333333333,0.25,0.16666666666666666,0.2,0.5,0.6666666666666666,0.6666666666666666,0.16666666666666666,,,,0.16666666666666666,1.0,1.0,1.0,,0.16666666666666666,,,,,,,0.6666666666666666,,0.53782,0.6043499999999999,0.4166,0.16666666666666666,0.2,0.42857142857142855,5.0,71.8,0.20588235294117646,,,,1.0,1.0,,,3.0,4.0,2.0,4.0,,,0.5,0.5,0.5,,0.2727272727272727,,,,,,,0.5,0.42857142857142855,1.0,2.0,,3.0,3.0,,4.0,2.0,,,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.07692307692307693,0.5,1.0,0.5,,1.0,,,2.0,4.0,0.1111111111111111,0.125,,,1.0,,2.0,,,,0.14285714285714285,2.0,,,,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
202694,1610612745,Marcus Morris,Marcus Morris,202694,HOU,1721.0,29,-16,47,50,10,3,8.0,97,,2,,,,2.0,2.0,5.0,3.0,1.0,,,2,9,,3.0,,4,52,1.0,2.0,3.0,1.0,,4.0,,4,,,,1.0,1.0,,1.0,,,1.0,,2.0,1.0,4.0,5.0,6.0,,,,,1.0,,,1.0,,,1,,3,,,,,,4.0,10,,,,,,,,0.2222222222222222,0.6666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.5,0.25,0.1111111111111111,,,22.80701754385965,,0.2,0.1111111111111111,0.1724137931034483,,0.42857142857142855,,0.16666666666666666,0.16666666666666666,,,0.16666666666666666,,,,0.4166666666666667,0.4,0.4,,0.25,,,,,,,0.25,0.4166666666666667,,0.4723375,0.48825,0.3884625,,,1.0,11.455555555555556,23.566666666666666,0.2127659574468085,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,0.5,0.2,,,,0.5,,,,,,,,,1.0,,1.0,,,,0.041666666666666664,0.034482758620689655,,0.09090909090909091,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
