EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,FtPoints,SecondChanceFG2A,PtsAssisted2s,Fg2aBlocked,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsPutbacks,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,SelfOReb,Steals,BadPassSteals,ShootingFouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,LongMidRangeFGM,LongMidRangeFGA,PenaltyCorner3FGA,TwoPtAssists,ShortMidRangeAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Charge Fouls,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyCorner3Frequency,PtsAssisted3s,AtRimAssists,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Arc3PctAssisted,Defensive 3 Seconds Violations,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceArc3FGA,LongMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,Loose Ball Fouls,LiveBallTurnoverPct,SecondChanceArc3Frequency,LostBallTurnovers,SecondChanceTurnovers,BlockedShortMidRange,on,BlockingFouls,3SecondViolations,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,Fg3aBlocked,Corner3Assists,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedLongMidRange,DefensiveGoaltends,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,BlockedCorner3,Corner3PctBlocked,OffensiveGoaltends,Clear Path Fouls
1536,1610612759,Stephen Jackson,Stephen Jackson,1536,SAS,244.0,4,-3,9,9,9,9.0,2,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,14,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,5.0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.25,1.25,0.5,16.666666666666668,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.43365,0.43365,1.0,6.8,25.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201168,1610612759,Tiago Splitter,Tiago Splitter,201168,SAS,488.0,8,-6,16,18,2,4.0,4,34,,3.0,,,,,1.0,5.0,,,4.0,20,,1.0,,,,,,,,1.0,,2,1.0,,,,0.2,,0.2,,0.3333333333333333,,,28.571428571428573,0.6,,,,,,,,0.4,,0.49666,0.3887,,5.76,,0.125,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,0.4,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.2857142857142857,0.15384615384615385,0.6666666666666666,1.0,0.25,0.4,0.5,1.0,1.0,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201182,1610612759,Derrick Byars,Derrick Byars,201182,SAS,2212.0,37,-8,75,73,31,20.0,17,148,,1.0,,4.0,,2.0,3.0,5.0,,6.0,10.0,81,2.0,3.0,,2.0,6.0,2.0,,4.0,,2.0,6.0,31,,,,,0.6,0.6666666666666666,0.2727272727272727,0.4,0.38461538461538464,0.5,0.5454545454545454,13.402061855670103,0.09090909090909091,,,0.36363636363636365,,,0.4,,0.9090909090909091,,0.5625590909090908,0.5514100000000001,0.6,2.2399999999999998,25.099999999999998,0.41333333333333333,3.0,4.0,4.0,3.0,4.0,,2.0,4.0,,5.0,6.0,11.0,2.0,4.0,,0.6666666666666666,1.0,,,,,0.14814814814814814,0.10526315789473684,0.16129032258064516,0.09615384615384616,0.07142857142857142,0.3333333333333333,0.06666666666666667,0.36363636363636365,0.75,0.75,0.6666666666666666,,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.3333333333333333,0.25,0.4,1.0,0.09090909090909091,0.25,0.18181818181818182,0.14285714285714285,0.2,0.16666666666666666,0.3333333333333333,0.125,0.18181818181818182,0.5,0.5,0.25,0.4,1.0,0.457,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202709,1610612759,Cory Joseph,Cory Joseph,202709,SAS,1769.0,29,-13,58,58,23,13.0,11,116,,1.0,,2.0,,,1.0,8.0,,3.0,2.0,65,,3.0,,1.0,,,,2.0,,1.0,,23,,,,,0.125,,0.09090909090909091,,0.08333333333333333,,0.2727272727272727,19.444444444444446,0.09090909090909091,,,0.18181818181818182,,,,,0.45454545454545453,,0.48915454545454545,0.5408,,13.024999999999999,24.96666666666667,0.39655172413793105,,2.0,,3.0,2.0,,1.0,2.0,,2.0,1.0,3.0,3.0,2.0,,1.0,1.0,,,,,0.1,0.058823529411764705,0.09090909090909091,0.02631578947368421,0.08333333333333333,,0.08333333333333333,0.18181818181818182,,,,,,,1.0,,1.0,1.0,,,,,,,,,2.0,,4.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,0.25,,,0.09090909090909091,0.3333333333333333,,,0.25,,0.3703,,1.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.45454545454545453,0.2,0.2,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2588,1610612759,Matt Bonner,Matt Bonner,2588,SAS,742.0,12,-10,27,26,10,11.0,3,53,1.0,2.0,1.0,2.0,,,1.0,2.0,1.0,3.0,5.0,33,,,,1.0,,,,2.0,1.0,1.0,,10,,0.3333333333333333,,0.3333333333333333,0.5,,0.5,,0.5,,0.6,16.129032258064516,0.4,0.5,0.5,0.4,0.5,0.5,,,0.6,0.5,0.47678000000000004,0.46605,,7.300000000000001,24.833333333333332,0.37037037037037035,,,,1.0,2.0,,,2.0,,2.0,1.0,3.0,1.0,,,1.0,1.0,,,,,0.25,,0.25,0.0625,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,1.0,,,,,,,,,2.0,,4.0,1.0,,,,,,1.0,,,,,,,0.125,,,0.5,,,,,0.2,,,,,,0.4262,,,,1.0,2.0,1.0,,,,,,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201971,1610612759,DeJuan Blair,DeJuan Blair,201971,SAS,1597.0,27,-2,53,50,23,11.0,12,103,7.0,10.0,,,,,9.0,16.0,,,20.0,57,5.0,9.0,,,12.0,2.0,,,,2.0,12.0,23,,,,,0.5625,0.5555555555555556,0.5625,0.5555555555555556,0.5882352941176471,0.6,,24.637681159420293,0.625,0.7,0.7,,,,,,0.25,,0.46829374999999995,0.4235888888888889,0.6,8.287500000000001,,0.4339622641509434,1.0,4.0,2.0,3.0,16.0,,1.0,6.0,1.0,8.0,4.0,12.0,1.0,2.0,,0.8888888888888888,1.0,,,,1.0,0.3157894736842105,0.07692307692307693,0.3181818181818182,0.1111111111111111,,0.4,0.3,0.25,0.25,0.25,,,,1.0,3.0,,1.0,,,1.0,,2.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,,1.0,1.0,,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,,0.13043478260869565,0.3333333333333333,0.1111111111111111,,0.25,0.25,,0.14285714285714285,,1.0,0.3333333333333333,,0.1111111111111111,,0.5042500000000001,0.2,1.0,2.0,,,,,,,,,,0.125,0.5,0.5,1.0,,,,,,,,,,1.0,,1.0,0.2222222222222222,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201988,1610612759,Patty Mills,Patty Mills,201988,SAS,1974.0,33,-2,67,63,23,18.0,16,130,1.0,5.0,2.0,6.0,,1.0,5.0,11.0,2.0,6.0,20.0,67,1.0,4.0,,1.0,4.0,10.0,3.0,6.0,2.0,1.0,4.0,23,1.0,0.3333333333333333,,0.3333333333333333,0.45454545454545453,0.25,0.47058823529411764,0.2,0.5263157894736842,0.3333333333333333,0.35294117647058826,23.863636363636363,0.29411764705882354,0.2,0.2,0.35294117647058826,0.3333333333333333,0.3333333333333333,0.2,,0.5294117647058824,0.3333333333333333,0.5059588235294117,0.47207999999999994,0.2,9.427272727272726,26.200000000000003,0.34328358208955223,1.0,3.0,4.0,2.0,,,,1.0,,2.0,2.0,4.0,3.0,4.0,,,,,,,,0.041666666666666664,,0.07407407407407407,0.0425531914893617,,,0.07692307692307693,0.17647058823529413,0.3333333333333333,0.3333333333333333,,,,,,,1.0,,,2.0,1.0,,4.0,2.0,,,8.0,,16.0,2.0,,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,,0.06666666666666667,0.3333333333333333,0.1,,,,0.3333333333333333,0.1,,,,,0.2,,0.4318166666666667,0.2,3.0,3.0,,8.0,4.0,,1.0,1.0,3.0,,,0.17647058823529413,1.0,1.0,,,3.0,3.0,,,,,0.5,,,0.5,,0.07142857142857142,,1.0,1.0,2.0,2.0,1.0,0.6666666666666666,0.3333333333333333,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202341,1610612759,James Anderson,James Anderson,202341,SAS,1699.0,28,7,58,54,29,14.0,16,112,,2.0,,3.0,,2.0,3.0,9.0,,4.0,7.0,55,1.0,2.0,,3.0,2.0,2.0,,3.0,,1.0,2.0,29,,,,,0.3333333333333333,0.5,0.23076923076923078,0.2,0.25,0.2,0.3076923076923077,20.253164556962023,0.15384615384615385,,,0.23076923076923078,,,0.4,,0.6923076923076923,,0.5259846153846154,0.59745,0.2857142857142857,8.044444444444444,25.424999999999997,0.5,3.0,5.0,1.0,1.0,4.0,1.0,2.0,1.0,,1.0,5.0,6.0,1.0,2.0,1.0,0.6666666666666666,1.0,0.1111111111111111,0.2,,,0.043478260869565216,0.14285714285714285,0.038461538461538464,0.11904761904761904,0.2,,0.07692307692307693,0.38461538461538464,0.6,0.75,0.6666666666666666,0.07142857142857142,0.1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,,2.0,,3.0,,6.0,3.0,,,,1.0,1.0,1.0,,,1.0,0.3333333333333333,0.3333333333333333,,0.10714285714285714,,0.2222222222222222,,,,,,0.07692307692307693,0.3333333333333333,1.0,0.3333333333333333,0.4,0.5,0.5813250000000001,0.2857142857142857,,2.0,1.0,3.0,1.0,,,,2.0,,,0.15384615384615385,,,,0.2,,1.0,1.0,,1.0,1.0,,1.0,,,,0.07692307692307693,,1.0,1.0,2.0,1.0,,1.0,0.3333333333333333,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,1610612759,Boris Diaw,Boris Diaw,2564,SAS,335.0,6,-3,12,14,5,,4,26,,,,,,,,,,,,13,,,,,,,,,,,,5,,,,,,,,,,,,6.25,,,,,,,,,,,,,,,,0.4166666666666667,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,0.4,,0.25,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101113,1610612759,Ike Diogu,Ike Diogu,101113,SAS,852.0,14,11,28,28,3,16.0,4,56,,1.0,,,,,,2.0,,,2.0,28,,,,,,,,,,1.0,,3,,,,,,,,,0.3333333333333333,,,12.5,0.5,,,,,,,,0.5,,0.42515000000000003,,,4.05,,0.10714285714285714,,1.0,2.0,,,1.0,,1.0,,1.0,,1.0,1.0,2.0,1.0,,,0.5,,1.0,,0.14285714285714285,,0.08333333333333333,,,,,0.5,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
