EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Offensive Fouls Drawn,3SecondViolations,HeaveAttempts,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,Corner3PctBlocked,FTOffRebounds,OffensiveGoaltends,Defensive 3 Seconds Violations,OffFTReboundPct,SecondChanceAtRimPctAssisted,HeaveMakes,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on,BlockedCorner3,Clear Path Fouls
101122,1610612754,Danny Granger,Danny Granger,101122,IND,35399.0,590,-6.0,1095,1113,464,493,165,2208,28.0,54.0,4.0,9.0,13.0,22.0,24.0,57.0,22.0,70.0,6.0,14.0,3.0,1.0,3.0,29.0,80.0,3.0,10.0,20.0,42.0,74.0,181,35.0,94.0,78.0,331,1177,9.0,19.0,3.0,13.0,17.0,44.0,36.0,82,21.0,45.0,37.0,172.0,36.0,112.0,102.0,3.0,8.0,80.0,29.0,24.0,2.0,21.0,11.0,32.0,9.0,2.0,8.0,3.0,10.0,75.0,6.0,11.0,10,42,10.0,62,17.0,79,4.0,20.0,13.0,7.0,18.0,2.0,10.0,18.0,1.0,8.0,2.0,3.0,36.0,1.0,16.0,15.0,2.0,44,2.0,3.0,5.0,52.0,2.0,2.0,4.0,89.0,2.0,1.0,8.0,29.0,3.0,9.0,10.0,8.0,2.0,10.0,5.0,170.0,463,12.0,8.0,0.24324324324324326,0.2571428571428571,0.9714285714285714,0.3723404255319149,0.23076923076923078,0.4666666666666667,0.3723404255319149,0.4088397790055249,0.47368421052631576,0.43902439024390244,0.46,0.421875,0.531496062992126,0.5159744408945687,0.55,0.5793103448275863,0.3418181818181818,0.02127659574468085,0.13259668508287292,0.24074074074074073,0.12280701754385964,0.05714285714285714,0.025,26.97063369397218,0.5,0.2,0.11444141689373297,0.026570048309178744,0.06756756756756757,0.046875,0.10097087378640776,0.03136531365313653,0.04,0.02962962962962963,0.012987012987012988,0.049019607843137254,0.038461538461538464,0.11206896551724138,0.06666666666666667,0.1506849315068493,0.0660377358490566,0.07142857142857142,0.029850746268656716,0.5,0.19636363636363635,0.5185185185185185,0.6829268292682927,0.2857142857142857,0.20727272727272728,0.42105263157894735,0.48,0.08333333333333333,0.2545454545454545,0.3142857142857143,0.3333333333333333,0.36363636363636365,0.05090909090909091,0.42857142857142855,0.42857142857142855,1.0,0.2909090909090909,0.3625,0.3717948717948718,0.9655172413793104,0.28125,0.4444444444444444,0.09375,0.3125,0.3,1.0,0.1732283464566929,0.5909090909090909,0.023622047244094488,0.3333333333333333,0.33070866141732286,0.47619047619047616,0.5381818181818182,0.3625,0.4863443430656936,0.5303791666666667,0.4681226190476191,0.10526315789473684,0.13942307692307693,0.03125,0.13293051359516617,0.5196374622356495,10.393370165745855,25.389361702127655,0.4237442922374429,,,,,,,,,,,,,,,,,,True,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,7129.0,119,18.0,220,221,69,66,31,441,7.0,12.0,5.0,10.0,2.0,4.0,,1.0,1.0,3.0,,,,,,1.0,1.0,,,1.0,1.0,8.0,16,1.0,1.0,3.0,22,206,6.0,12.0,,,,12.0,2.0,4,1.0,1.0,,7.0,6.0,10.0,3.0,,6.0,1.0,1.0,1.0,,3.0,1.0,4.0,,1.0,1.0,1.0,1.0,9.0,2.0,14.0,4,13,2.0,19,16.0,35,,6.0,3.0,3.0,3.0,3.0,3.0,4.0,,,,,7.0,,4.0,12.0,1.0,23,,1.0,,5.0,,1.0,,5.0,1.0,,,3.0,,,1.0,,1.0,1.0,1.0,7.0,69,2.0,,0.375,0.6,1.0,1.0,,1.0,1.0,0.5,0.5,0.5,0.5588235294117647,0.5,0.7,0.5789473684210527,0.5,0.7,0.058823529411764705,,0.0625,0.08333333333333333,,,,10.077519379844961,0.42857142857142855,0.4,0.18309859154929578,0.175,0.14814814814814814,0.08,0.17346938775510204,0.1523809523809524,0.125,0.30434782608695654,0.12121212121212122,0.09523809523809523,,0.15384615384615385,0.29411764705882354,0.14634146341463414,0.13043478260869565,0.25,,1.0,0.7058823529411765,0.5833333333333334,0.6363636363636364,0.2857142857142857,0.058823529411764705,,,,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,,,,,0.058823529411764705,1.0,1.0,1.0,0.8333333333333334,0.5,,,,,0.8,0.5,,,0.2,1.0,0.7647058823529411,1.0,0.5434264705882351,0.5750749999999999,0.50505,0.15789473684210525,0.16666666666666666,,0.5454545454545454,0.3181818181818182,4.5625,26.9,0.31363636363636366,1.0,1.0,,,,,,,,,,,,,,,,True,,
201588,1610612754,George Hill,George Hill,201588,IND,48294.0,805,-21.0,1472,1485,477,465,212,2957,33.0,53.0,4.0,10.0,10.0,15.0,18.0,38.0,25.0,61.0,11.0,28.0,1.0,4.0,11.0,26.0,69.0,3.0,9.0,6.0,23.0,76.0,152,37.0,97.0,57.0,320,1558,6.0,18.0,3.0,10.0,3.0,24.0,23.0,44,10.0,34.0,18.0,94.0,44.0,108.0,66.0,45.0,4.0,67.0,26.0,6.0,1.0,66.0,23.0,89.0,12.0,11.0,33.0,5.0,28.0,201.0,4.0,13.0,22,56,3.0,81,17.0,98,4.0,29.0,21.0,8.0,23.0,4.0,14.0,13.0,2.0,9.0,2.0,1.0,36.0,3.0,14.0,37.0,2.0,69,,3.0,3.0,67.0,1.0,1.0,3.0,69.0,4.0,,4.0,25.0,1.0,8.0,8.0,2.0,5.0,10.0,3.0,94.0,476,8.0,8.0,0.2894736842105263,0.2972972972972973,0.5945945945945946,0.38144329896907214,0.3,0.29411764705882354,0.3894736842105263,0.5,0.3333333333333333,0.5227272727272727,0.5281124497991968,0.375,0.48717948717948717,0.5663082437275986,0.39655172413793105,0.5284090909090909,0.3895582329317269,0.010309278350515464,0.039473684210526314,0.09433962264150944,0.02631578947368421,,,18.239722061378114,0.6388888888888888,0.05,0.10748560460652591,0.022727272727272728,0.11458333333333333,0.024539877300613498,0.1093969144460028,0.02312925170068027,0.011764705882352941,0.031746031746031744,0.023474178403755867,0.017543859649122806,0.04081632653061224,0.11612903225806452,0.1038961038961039,0.10377358490566038,0.10071942446043165,0.1509433962264151,0.032520325203252036,0.3,0.21285140562248997,0.6226415094339622,0.6875,0.42424242424242425,0.15261044176706828,0.47368421052631576,0.4864864864864865,0.16666666666666666,0.24497991967871485,0.4098360655737705,0.4098360655737705,0.2,0.11244979919678715,0.39285714285714285,0.4074074074074074,0.9090909090909091,0.27710843373493976,0.37681159420289856,0.37681159420289856,0.46153846153846156,0.35714285714285715,0.4,0.03571428571428571,0.32142857142857145,0.3333333333333333,0.3333333333333333,0.19230769230769232,0.6666666666666666,0.14102564102564102,0.36363636363636365,0.2948717948717949,0.2608695652173913,0.6024096385542169,0.3880597014925373,0.5088726720647773,0.512564,0.5079907894736843,0.0959409594095941,0.14450867052023122,0.01020408163265306,0.075,0.29375,10.12236842105263,25.589690721649482,0.32404891304347827,6.0,,2.0,2.0,2.0,1.0,1.0,0.03571428571428571,,,,,,,,,,True,,
201946,1610612754,Tyler Hansbrough,Tyler Hansbrough,201946,IND,86495.0,1442,-24.0,2682,2687,868,911,373,5369,91.0,161.0,30.0,46.0,27.0,46.0,32.0,117.0,71.0,200.0,,,,,,,1.0,,,,1.0,194.0,478,,1.0,226.0,614,2811,42.0,77.0,,,60.0,144.0,56.0,127,,1.0,87.0,199.0,234.0,154.0,,,36.0,,,48.0,,14.0,16.0,30.0,13.0,3.0,7.0,7.0,,76.0,14.0,93.0,46,99,32.0,177,113.0,290,15.0,54.0,21.0,33.0,24.0,2.0,10.0,41.0,3.0,14.0,1.0,18.0,65.0,5.0,16.0,62.0,10.0,159,4.0,21.0,8.0,217.0,7.0,21.0,4.0,278.0,30.0,,,127.0,,27.0,9.0,4.0,5.0,9.0,6.0,199.0,865,25.0,23.0,0.6030927835051546,0.6647727272727273,,,,,,0.40585774058577406,0.5454545454545454,0.4409448818897638,0.40501043841336115,0.5454545454545454,0.4375,0.5091210613598673,0.6666666666666666,0.5653409090909091,0.0020876826722338203,,0.100418410041841,0.17391304347826086,0.15384615384615385,0.01,,21.369161868202173,0.36923076923076925,0.3047619047619048,0.10927152317880795,0.08942307692307692,0.13256484149855907,0.04861111111111111,0.11572226656025539,0.08057228915662651,0.1423948220064725,0.08875739644970414,0.04834605597964377,0.06310679611650485,0.012195121951219513,0.09747292418772563,0.125,0.10761154855643044,0.11196911196911197,0.19318181818181818,0.06493506493506493,0.6666666666666666,0.33611691022964507,0.5652173913043478,0.6842105263157895,0.46153846153846156,0.24425887265135698,0.27350427350427353,0.32323232323232326,0.375,0.4175365344467641,0.355,0.35858585858585856,0.8873239436619719,,,,,0.0020876826722338203,,,,0.5974025974025974,0.6521739130434783,,,,,0.359375,0.5869565217391305,,,0.0078125,,0.33820459290187893,,0.4641853556485355,0.521721917808219,0.47140000000000015,0.2204861111111111,0.22086956521739132,,0.23452768729641693,0.3241042345276873,9.674058577405859,51.2,0.32363907531692765,5.0,1.0,1.0,,,,,,6.0,2.0,2.0,0.058823529411764705,0.16666666666666666,,,,,True,,
201954,1610612754,Darren Collison,Darren Collison,201954,IND,33410.0,557,-59.0,1028,1050,376,406,139,2078,22.0,38.0,2.0,4.0,13.0,19.0,11.0,30.0,27.0,63.0,3.0,8.0,2.0,1.0,3.0,5.0,18.0,,1.0,1.0,9.0,60.0,131,8.0,26.0,35.0,179,1139,6.0,14.0,,3.0,3.0,15.0,23.0,46,2.0,12.0,16.0,68.0,18.0,102.0,12.0,12.0,,17.0,5.0,16.0,,61.0,27.0,88.0,16.0,11.0,21.0,11.0,29.0,203.0,1.0,9.0,8,36,2.0,46,10.0,56,2.0,14.0,8.0,6.0,29.0,6.0,22.0,12.0,3.0,7.0,,,41.0,1.0,15.0,19.0,,35,1.0,,1.0,39.0,2.0,,3.0,45.0,2.0,,5.0,15.0,,6.0,,,,,,68.0,373,2.0,5.0,0.15,0.15,0.5,0.3076923076923077,,0.16666666666666666,0.32,0.4580152671755725,0.42857142857142855,0.5,0.4585987261146497,0.35294117647058826,0.4482758620689655,0.5,0.3888888888888889,0.5075757575757576,0.16560509554140126,,0.12213740458015267,0.34210526315789475,0.06666666666666667,0.015873015873015872,,18.128654970760234,0.7073170731707317,0.0392156862745098,0.1005586592178771,0.02158273381294964,0.056338028169014086,0.00980392156862745,0.088,0.019267822736030827,0.017094017094017096,0.016,0.02857142857142857,0.01282051282051282,,0.06140350877192982,0.0851063829787234,0.14,0.046296296296296294,0.08823529411764706,0.02857142857142857,,0.24203821656050956,0.5789473684210527,0.88,0.22727272727272727,0.1910828025477707,0.36666666666666664,0.39285714285714285,0.18181818181818182,0.4012738853503185,0.42857142857142855,0.43548387096774194,0.07407407407407407,0.050955414012738856,0.375,0.375,1.0,0.11464968152866242,0.2777777777777778,0.2777777777777778,0.2,0.23529411764705882,0.5,0.11764705882352941,0.058823529411764705,,,0.3275862068965517,0.6842105263157895,0.05172413793103448,0.3333333333333333,0.15517241379310345,0.1111111111111111,0.40764331210191085,0.29411764705882354,0.47943205128205124,0.4789642857142858,0.48405087719298256,0.08823529411764706,0.10416666666666667,,0.08379888268156424,0.37988826815642457,11.58702290076336,26.11923076923078,0.3657587548638132,,,1.0,,,,,,,,,,0.5,,,,,True,,
201985,1610612754,AJ Price,AJ Price,201985,IND,26848.0,447,41.0,849,834,272,284,114,1683,7.0,14.0,1.0,1.0,1.0,4.0,6.0,20.0,12.0,34.0,4.0,8.0,,2.0,2.0,16.0,63.0,2.0,7.0,4.0,21.0,25.0,68,20.0,71.0,22.0,132,824,1.0,3.0,2.0,7.0,1.0,9.0,4.0,10,6.0,23.0,12.0,38.0,12.0,38.0,48.0,12.0,2.0,61.0,16.0,2.0,1.0,44.0,23.0,67.0,16.0,7.0,24.0,7.0,13.0,157.0,3.0,7.0,11,27,,38,10.0,48,6.0,16.0,11.0,5.0,16.0,3.0,12.0,9.0,1.0,4.0,1.0,1.0,25.0,1.0,8.0,14.0,2.0,23,,,2.0,23.0,,1.0,1.0,29.0,1.0,,1.0,9.0,1.0,4.0,2.0,2.0,,2.0,1.0,38.0,272,1.0,4.0,0.24,0.25,0.8,0.28169014084507044,0.2857142857142857,0.2608695652173913,0.2898550724637681,0.36764705882352944,0.3333333333333333,0.4,0.39568345323741005,0.4,0.3939393939393939,0.4309210526315789,0.4090909090909091,0.45121951219512196,0.5107913669064749,0.014084507042253521,0.029411764705882353,0.07142857142857142,0.05,,0.015873015873015872,18.06122448979592,0.64,,0.0996309963099631,0.02258064516129032,0.11224489795918367,0.02857142857142857,0.10298102981029811,0.024096385542168676,0.011363636363636364,0.02631578947368421,0.027777777777777776,0.02702702702702703,0.03225806451612903,0.024096385542168676,0.13157894736842105,0.13392857142857142,0.14666666666666667,,0.07142857142857142,0.5,0.10071942446043165,0.5,0.5384615384615384,0.14285714285714285,0.14388489208633093,0.3,0.3157894736842105,0.16666666666666666,0.2446043165467626,0.35294117647058826,0.35294117647058826,0.3333333333333333,0.05755395683453238,0.5,0.5,1.0,0.45323741007194246,0.25396825396825395,0.25806451612903225,0.75,0.1,1.0,,0.7,0.2857142857142857,1.0,0.12121212121212122,0.25,0.06060606060606061,1.0,0.6363636363636364,0.19047619047619047,0.6115107913669064,0.26229508196721313,0.4872240875912409,0.5788,0.44983548387096783,0.06756756756756757,0.11842105263157894,0.013888888888888888,0.06818181818181818,0.2878787878787879,11.688235294117648,26.56478873239437,0.32037691401649,1.0,,2.0,,,,,,,,,,,,,,,True,,
202331,1610612754,Paul George,Paul George,202331,IND,27794.0,463,-7.0,861,867,274,318,105,1728,28.0,43.0,4.0,7.0,13.0,21.0,9.0,20.0,13.0,31.0,4.0,14.0,2.0,,4.0,21.0,53.0,3.0,4.0,6.0,21.0,50.0,94,25.0,67.0,41.0,216,886,5.0,10.0,3.0,6.0,4.0,23.0,18.0,31,6.0,25.0,20.0,74.0,36.0,64.0,69.0,6.0,4.0,50.0,20.0,9.0,,24.0,4.0,28.0,3.0,1.0,11.0,5.0,8.0,60.0,3.0,7.0,21,33,7.0,61,10.0,71,3.0,28.0,21.0,7.0,11.0,3.0,7.0,13.0,4.0,4.0,1.0,1.0,24.0,,6.0,24.0,2.0,44,2.0,1.0,2.0,50.0,,3.0,2.0,55.0,5.0,,,24.0,,6.0,10.0,6.0,2.0,10.0,4.0,70.0,271,6.0,4.0,0.36,0.375,0.92,0.373134328358209,0.5,0.24,0.36923076923076925,0.5319148936170213,0.5,0.5806451612903226,0.5434782608695652,0.59375,0.48214285714285715,0.5806451612903226,0.6388888888888888,0.5522388059701493,0.4161490683229814,,0.09574468085106383,0.11627906976744186,0.2,,,21.19071644803229,0.4583333333333333,0.22580645161290322,0.11785714285714285,0.022151898734177215,0.16153846153846155,0.029411764705882353,0.13170731707317074,0.023923444976076555,0.043010752688172046,0.020202020202020204,0.008064516129032258,0.014084507042253521,0.06451612903225806,0.01282051282051282,0.1527777777777778,0.16153846153846155,0.20212765957446807,0.05555555555555555,0.04,0.4,0.2670807453416149,0.6511627906976745,0.7368421052631579,0.4642857142857143,0.12422360248447205,0.45,0.5625,,0.19254658385093168,0.41935483870967744,0.41935483870967744,0.38461538461538464,0.08695652173913043,0.2857142857142857,0.2857142857142857,0.75,0.32919254658385094,0.39622641509433965,0.39622641509433965,0.9523809523809523,0.4375,0.5714285714285714,0.125,0.25,0.75,1.0,0.375,0.6190476190476191,0.07142857142857142,,0.375,0.2857142857142857,0.6832298136645962,0.4,0.5180229559748428,0.5378538461538462,0.5334425925925925,0.13333333333333333,0.21238938053097345,,0.10648148148148148,0.3425925925925926,8.98936170212766,25.941791044776117,0.31823461091753774,3.0,,2.0,,,2.0,1.0,,,,,,,1.0,,,,True,,
202362,1610612754,Lance Stephenson,Lance Stephenson,202362,IND,19390.0,323,21.0,612,601,198,231,85,1213,17.0,32.0,3.0,4.0,4.0,11.0,4.0,12.0,8.0,21.0,,4.0,,,2.0,2.0,17.0,,2.0,,7.0,29.0,65,2.0,21.0,6.0,70,617,3.0,6.0,,2.0,1.0,7.0,5.0,17,,9.0,3.0,13.0,14.0,44.0,3.0,3.0,6.0,15.0,2.0,3.0,1.0,30.0,9.0,39.0,7.0,2.0,15.0,6.0,9.0,87.0,,8.0,13,20,,33,9.0,42,,18.0,10.0,8.0,11.0,3.0,6.0,13.0,1.0,5.0,,4.0,24.0,4.0,5.0,6.0,,22,3.0,,,12.0,,,1.0,12.0,,,,6.0,,,3.0,2.0,,3.0,2.0,13.0,198,1.0,,0.2413793103448276,0.2692307692307692,0.5,0.09523809523809523,,,0.10526315789473684,0.4461538461538462,0.5,0.29411764705882354,0.37209302325581395,0.375,0.19230769230769232,0.3804347826086957,0.3888888888888889,0.22413793103448276,0.2441860465116279,0.047619047619047616,0.046153846153846156,0.0625,0.08333333333333333,,,16.223776223776223,0.4583333333333333,,0.09900990099009901,0.03292181069958848,0.18309859154929578,,0.12087912087912088,0.026936026936026935,0.02857142857142857,0.037037037037037035,0.03260869565217391,,,0.015625,0.13725490196078433,0.13793103448275862,0.19642857142857142,0.13333333333333333,,0.6666666666666666,0.37209302325581395,0.53125,0.5666666666666667,0.29411764705882354,0.13953488372093023,0.3333333333333333,0.36363636363636365,0.25,0.2441860465116279,0.38095238095238093,0.38095238095238093,0.125,0.046511627906976744,,,,0.19767441860465115,0.11764705882352941,0.11764705882352941,0.5,0.5,0.75,,0.25,,,0.4230769230769231,0.36363636363636365,0.07692307692307693,,0.2692307692307692,,0.6162790697674418,0.13333333333333333,0.507010119047619,0.5196142857142857,0.472076,0.06521739130434782,0.08450704225352113,,0.1,0.18571428571428572,8.72923076923077,27.804761904761904,0.3235294117647059,2.0,,2.0,,,1.0,,0.25,1.0,,,0.04,,,,,,True,,
2563,1610612754,Dahntay Jones,Dahntay Jones,2563,IND,47538.0,792,-30.0,1475,1462,359,373,192,2937,44.0,75.0,8.0,10.0,9.0,17.0,10.0,37.0,9.0,43.0,19.0,48.0,,3.0,8.0,6.0,12.0,,1.0,,1.0,63.0,155,25.0,60.0,67.0,268,1537,11.0,18.0,,1.0,8.0,30.0,12.0,39,3.0,9.0,25.0,58.0,52.0,74.0,75.0,,12.0,11.0,6.0,22.0,,36.0,12.0,48.0,6.0,6.0,17.0,5.0,14.0,108.0,2.0,19.0,23,43,7.0,73,22.0,95,4.0,20.0,13.0,7.0,10.0,5.0,9.0,25.0,2.0,1.0,2.0,4.0,35.0,4.0,12.0,35.0,2.0,92,1.0,8.0,6.0,59.0,5.0,1.0,3.0,81.0,7.0,,9.0,36.0,1.0,2.0,7.0,3.0,4.0,7.0,6.0,58.0,359,9.0,2.0,0.4126984126984127,0.45614035087719296,1.0,0.4166666666666667,,0.3333333333333333,0.423728813559322,0.4064516129032258,0.6111111111111112,0.3076923076923077,0.46744186046511627,0.5789473684210527,0.34375,0.5303643724696356,0.625,0.47540983606557374,0.27906976744186046,,0.14193548387096774,0.21333333333333335,0.16216216216216217,,,16.58823529411765,0.2857142857142857,0.14285714285714285,0.08634538152610442,0.03315881326352531,0.12432432432432433,0.013513513513513514,0.09663250366032211,0.02912621359223301,0.03636363636363636,0.03723404255319149,0.02727272727272727,0.020618556701030927,,0.060810810810810814,0.08208955223880597,0.10648148148148148,0.11971830985915492,0.13953488372093023,0.039603960396039604,0.8571428571428571,0.3488372093023256,0.5866666666666667,0.7457627118644068,0.38636363636363635,0.17209302325581396,0.2702702702702703,0.3225806451612903,0.3,0.2,0.20930232558139536,0.20930232558139536,0.6666666666666666,0.22325581395348837,0.3958333333333333,0.3958333333333333,1.0,0.05581395348837209,0.5,0.5,1.0,0.5263157894736842,0.8,,0.05263157894736842,,,0.3541666666666667,0.5294117647058824,0.16666666666666666,0.375,0.020833333333333332,,0.627906976744186,0.5454545454545454,0.5326789719626168,0.5253666666666668,0.5208095744680853,0.1510204081632653,0.1956521739130435,0.01639344262295082,0.11194029850746269,0.21641791044776118,8.043870967741938,24.491666666666667,0.24338983050847457,3.0,1.0,1.0,,,,,,1.0,3.0,2.0,0.017543859649122806,,,,,,True,,
200811,1610612754,Lou Amundson,Lou Amundson,200811,IND,36900.0,615,-13.0,1159,1150,350,364,178,2309,51.0,102.0,23.0,47.0,9.0,23.0,14.0,52.0,5.0,14.0,,,,,,,,,,,,70.0,168,,,23.0,163,1185,26.0,57.0,,,6.0,58.0,14.0,43,,,8.0,36.0,82.0,58.0,,,44.0,,,24.0,,8.0,1.0,9.0,,1.0,7.0,,1.0,19.0,13.0,63.0,25,67,8.0,100,79.0,179,10.0,23.0,12.0,11.0,15.0,6.0,7.0,22.0,1.0,8.0,,5.0,37.0,6.0,11.0,58.0,3.0,105,3.0,13.0,2.0,52.0,3.0,10.0,1.0,55.0,5.0,,,26.0,,4.0,39.0,27.0,9.0,39.0,19.0,36.0,350,10.0,4.0,0.5857142857142857,0.8541666666666666,,,,,,0.4166666666666667,0.45614035087719296,0.32558139534883723,0.4166666666666667,0.45614035087719296,0.32558139534883723,0.422279792746114,0.453125,0.33962264150943394,,,0.14285714285714285,0.13725490196078433,0.17307692307692307,0.07142857142857142,,16.76384839650146,0.40540540540540543,0.1951219512195122,0.17091836734693877,0.1337579617834395,0.176056338028169,0.12037037037037036,0.17228464419475656,0.13126079447322972,0.16556291390728478,0.17142857142857143,0.07777777777777778,0.075,0.25,0.17886178861788618,0.16363636363636364,0.16981132075471697,0.18446601941747573,0.15384615384615385,0.136986301369863,0.48717948717948717,0.6071428571428571,0.5,0.5795454545454546,0.5294117647058824,0.30952380952380953,0.2692307692307692,0.32558139534883723,0.7142857142857143,0.08333333333333333,0.35714285714285715,0.38461538461538464,0.8,,,,,,,,,0.8245614035087719,0.48936170212765956,,,,,0.5348837209302325,0.391304347826087,,,,,0.6071428571428571,,0.5198750000000001,0.5598942307692307,0.4977906976744185,0.13756613756613756,0.13756613756613756,,0.3558282208588957,0.22085889570552147,4.745238095238097,,0.30198446937014667,4.0,1.0,,,,3.0,1.0,,3.0,2.0,,0.057692307692307696,0.043478260869565216,,,,,True,,
