EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,HeaveMakes,StepOutOfBoundsTurnovers,Charge Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedLongMidRange,LongMidRangePctBlocked,Fg3aBlocked,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Arc3PctBlocked,DefensiveGoaltends,OffensiveGoaltends,Clear Path Fouls,BlockedCorner3,on
1733,1610612743,Al Harrington,Al Harrington,1733,DEN,46324.0,772,29.0,1519,1527,398,381,198,3046,90.0,162.0,14.0,25.0,19.0,37.0,11.0,34.0,21.0,46.0,16.0,37.0,2.0,4.0,6.0,13.0,37.0,104.0,1.0,6.0,10.0,32.0,122.0,242.0,53.0,141.0,45.0,448.0,1624,19.0,35.0,3.0,10.0,5.0,52.0,24.0,58.0,16.0,45.0,14.0,110.0,132.0,112.0,156.0,3.0,16.0,1.0,103.0,37.0,27.0,24,12.0,36,5.0,7.0,19.0,4.0,1.0,84,7.0,23.0,4.0,38.0,80.0,13.0,131.0,34.0,165.0,7.0,25.0,13.0,12.0,26.0,4.0,16.0,24.0,2.0,10.0,2.0,50.0,6.0,10.0,34.0,3.0,77.0,4.0,3.0,8.0,61.0,2.0,9.0,2.0,65.0,11.0,34.0,4.0,4.0,3.0,1.0,4.0,3.0,3.0,1.0,110.0,393,2.0,4.0,0.5409836065573771,0.5789473684210527,0.9811320754716981,0.375886524822695,0.3,0.35555555555555557,0.37857142857142856,0.5041322314049587,0.5428571428571428,0.41379310344827586,0.5261096605744126,0.5222222222222223,0.46601941747572817,0.5463414634146342,0.5306122448979592,0.4954954954954955,0.3681462140992167,0.1115702479338843,0.13580246913580246,0.14705882352941177,26.2407301768397,0.52,0.28888888888888886,0.07142857142857142,0.1694915254237288,0.05021834061135371,0.17674418604651163,0.03139013452914798,0.1717612809315866,0.04405286343612335,0.056,0.04201680672268908,0.0449438202247191,0.03355704697986577,0.02702702702702703,0.19631901840490798,0.13157894736842105,0.16923076923076924,0.17088607594936708,0.19298245614035087,0.04,0.75,0.42297650130548303,0.5555555555555556,0.6428571428571429,0.5444444444444444,0.08877284595300261,0.3235294117647059,0.3793103448275862,0.36363636363636365,0.12010443864229765,0.45652173913043476,0.45652173913043476,0.6190476190476191,0.09660574412532637,0.43243243243243246,0.43243243243243246,1.0,0.27154046997389036,0.3557692307692308,0.3557692307692308,0.972972972972973,0.5555555555555556,0.56,0.21428571428571427,0.08888888888888889,0.5,1.0,0.13333333333333333,0.16666666666666666,1.0,0.3592233009708738,0.5135135135135135,0.1262135922330097,0.46153846153846156,0.3106796116504854,0.3125,0.7911227154046997,0.3592233009708738,0.5491753926701571,0.5428411764705882,0.528213725490196,0.08374384236453201,0.12830188679245283,0.11607142857142858,0.24553571428571427,5.803719008264464,25.091489361702124,0.26201448321263987,,,,,,,,,,,,,,,,,,,,True
1889,1610612743,Andre Miller,Andre Miller,1889,DEN,44428.0,740,-20.0,1437,1457,421,392,180,2894,57.0,99.0,10.0,18.0,8.0,23.0,18.0,61.0,16.0,44.0,,4.0,,1.0,,,4.0,29.0,1.0,1.0,2.0,10.0,91.0,204.0,4.0,33.0,64.0,258.0,1589,11.0,26.0,1.0,2.0,5.0,30.0,19.0,51.0,2.0,10.0,23.0,67.0,42.0,140.0,12.0,,12.0,8.0,20.0,3.0,23.0,172,47.0,219,30.0,17.0,139.0,13.0,20.0,485,5.0,20.0,1.0,24.0,42.0,,66.0,26.0,92.0,7.0,29.0,16.0,13.0,60.0,11.0,48.0,26.0,4.0,12.0,5.0,86.0,5.0,23.0,18.0,5.0,56.0,2.0,,2.0,67.0,4.0,2.0,1.0,77.0,7.0,32.0,8.0,2.0,1.0,,3.0,2.0,1.0,2.0,67.0,421,3.0,6.0,0.23076923076923078,0.24705882352941178,1.0,0.12121212121212122,0.5,0.2,0.12,0.44607843137254904,0.4230769230769231,0.37254901960784315,0.4092827004219409,0.44642857142857145,0.36065573770491804,0.4685185185185185,0.4838709677419355,0.4583333333333333,0.13924050632911392,0.11274509803921569,0.1414141414141414,0.11475409836065574,21.528198908429353,0.6976744186046512,,0.02,0.09130434782608696,0.04739336492890995,0.11483253588516747,0.026737967914438502,0.09865470852017937,0.041050903119868636,0.03773584905660377,0.05405405405405406,0.06060606060606061,0.025423728813559324,0.028985507246376812,0.05844155844155844,0.059322033898305086,0.13829787234042554,0.1,0.15254237288135594,0.06422018348623854,0.6666666666666666,0.4177215189873418,0.5757575757575758,0.6705882352941176,0.3157894736842105,0.25738396624472576,0.29508196721311475,0.3333333333333333,0.05555555555555555,0.18565400843881857,0.36363636363636365,0.38095238095238093,0.125,0.016877637130801686,,,,0.12236286919831224,0.13793103448275862,0.13793103448275862,1.0,0.6428571428571429,0.5555555555555556,,0.03571428571428571,,,0.03571428571428571,1.0,1.0,0.3770491803278688,0.34782608695652173,,,0.16393442622950818,0.2,0.5569620253164557,0.15,0.49983908296943236,0.5164913043478261,0.47497068965517236,0.12213740458015267,0.13973799126637554,0.11627906976744186,0.2596899224806202,7.232352941176471,34.372727272727275,0.2929714683368128,1.0,1.0,3.0,5.0,1.0,1.0,1.0,0.045454545454545456,,,,,,,,,,,,True
201147,1610612743,Corey Brewer,Corey Brewer,201147,DEN,77234.0,1287,19.0,2551,2580,751,686,334,5131,131.0,220.0,10.0,30.0,37.0,65.0,20.0,67.0,17.0,49.0,25.0,89.0,1.0,5.0,13.0,24.0,8.0,38.0,,5.0,2.0,10.0,168.0,336.0,33.0,127.0,90.0,525.0,2738,13.0,45.0,1.0,10.0,6.0,35.0,46.0,93.0,15.0,34.0,33.0,170.0,250.0,86.0,99.0,,16.0,1.0,37.0,8.0,36.0,70,18.0,88,12.0,6.0,56.0,3.0,11.0,194,17.0,23.0,3.0,29.0,71.0,7.0,107.0,43.0,150.0,3.0,72.0,48.0,24.0,34.0,7.0,23.0,22.0,5.0,11.0,2.0,56.0,4.0,21.0,37.0,3.0,113.0,2.0,1.0,4.0,106.0,4.0,19.0,3.0,130.0,10.0,55.0,9.0,14.0,9.0,4.0,17.0,12.0,,,167.0,745,21.0,7.0,0.7440476190476191,0.78125,1.0,0.25984251968503935,0.1,0.4411764705882353,0.2619047619047619,0.5,0.28888888888888886,0.4946236559139785,0.46976241900647947,0.2636363636363636,0.5393700787401575,0.5038387715930902,0.2966101694915254,0.5743243243243243,0.27429805615550756,0.10714285714285714,0.10909090909090909,0.13432835820895522,19.592529711375214,0.6071428571428571,0.0958904109589041,0.030927835051546393,0.08875,0.02904040404040404,0.07923497267759563,0.05105105105105105,0.08576329331046312,0.035555555555555556,0.02806122448979592,0.022935779816513763,0.038461538461538464,0.06572769953051644,0.025,0.07357859531772576,0.10606060606060606,0.0924092409240924,0.07692307692307693,0.08490566037735849,0.013574660633484163,0.7058823529411765,0.47516198704103674,0.5954545454545455,0.6683673469387755,0.7709923664122137,0.1447084233261339,0.29850746268656714,0.3448275862068966,0.7,0.10583153347732181,0.3469387755102041,0.3695652173913043,0.5882352941176471,0.19222462203023757,0.2808988764044944,0.2840909090909091,1.0,0.08207343412526998,0.21052631578947367,0.21052631578947367,1.0,0.5454545454545454,0.3333333333333333,0.1,0.09090909090909091,0.2,1.0,0.09090909090909091,,,0.5118110236220472,0.5692307692307692,0.1889763779527559,0.5416666666666666,0.07874015748031496,0.2,0.7494600431965442,0.21621621621621623,0.5787004357298475,0.5396652777777777,0.5824423387096773,0.115234375,0.14435695538057744,0.06666666666666667,0.3238095238095238,5.2440476190476195,24.500787401574804,0.29439435515484125,,1.0,2.0,,3.0,3.0,1.0,0.061224489795918366,1.0,4.0,0.007874015748031496,0.011235955056179775,0.030534351145038167,,,,,,,True
201163,1610612743,Wilson Chandler,Wilson Chandler,201163,DEN,3078.0,51,-19.0,109,110,15,22,10,219,4.0,8.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,8.0,,,,,,,1.0,7.0,,1.0,,1.0,9.0,19.0,1.0,7.0,2.0,23.0,136,1.0,2.0,,1.0,,2.0,3.0,6.0,,1.0,,6.0,4.0,14.0,,3.0,2.0,1.0,6.0,1.0,1.0,4,1.0,5,1.0,,4.0,,,11,,1.0,,3.0,5.0,,8.0,1.0,9.0,1.0,2.0,1.0,1.0,2.0,,2.0,1.0,,,,3.0,,,2.0,,4.0,,,1.0,2.0,,,,3.0,1.0,2.0,,1.0,1.0,,1.0,1.0,,1.0,6.0,15,,,0.2222222222222222,0.25,,0.14285714285714285,,,0.16666666666666666,0.47368421052631576,0.5,0.5,0.40384615384615385,0.3333333333333333,0.42857142857142855,0.42592592592592593,0.3333333333333333,0.42857142857142855,0.2692307692307692,0.05263157894736842,0.125,,25.210084033613448,0.6666666666666666,,,0.14705882352941177,0.02564102564102564,0.15789473684210525,,0.1509433962264151,0.019230769230769232,0.045454545454545456,,,,,0.16666666666666666,,0.15384615384615385,0.15384615384615385,0.16666666666666666,0.07142857142857142,1.0,0.3076923076923077,0.5,0.5714285714285714,0.25,0.11538461538461539,0.3333333333333333,0.3333333333333333,,0.3076923076923077,0.5,0.5,0.25,,,,,0.2692307692307692,0.14285714285714285,0.14285714285714285,,0.3333333333333333,1.0,,,,,0.3333333333333333,,,0.14285714285714285,1.0,,,0.14285714285714285,,0.5769230769230769,0.16666666666666666,0.52676,0.5348166666666667,0.4375,0.07407407407407407,0.1,0.08695652173913043,0.2608695652173913,9.478947368421053,28.52857142857143,0.13761467889908258,,,,,,,,,,,,,,,,,,,,True
201167,1610612743,Arron Afflalo,Arron Afflalo,201167,DEN,40443.0,674,16.0,1328,1351,341,315,166,2679,48.0,74.0,3.0,6.0,14.0,20.0,13.0,36.0,24.0,47.0,18.0,35.0,2.0,4.0,8.0,9.0,10.0,34.0,,1.0,3.0,9.0,85.0,157.0,28.0,69.0,68.0,322.0,1416,9.0,16.0,2.0,5.0,6.0,30.0,20.0,34.0,11.0,18.0,18.0,91.0,120.0,50.0,78.0,6.0,4.0,,34.0,10.0,18.0,37,18.0,55,11.0,7.0,27.0,5.0,5.0,128,2.0,12.0,1.0,22.0,26.0,6.0,54.0,15.0,69.0,2.0,11.0,6.0,5.0,13.0,3.0,8.0,18.0,2.0,5.0,2.0,31.0,2.0,6.0,22.0,,51.0,1.0,2.0,7.0,48.0,1.0,1.0,4.0,85.0,4.0,27.0,6.0,4.0,4.0,,4.0,1.0,,,89.0,335,4.0,4.0,0.7058823529411765,0.7228915662650602,0.9285714285714286,0.4057971014492754,0.4,0.6111111111111112,0.4057971014492754,0.5414012738853503,0.5625,0.5882352941176471,0.5619469026548672,0.5714285714285714,0.7019230769230769,0.6061776061776062,0.6,0.7459016393442623,0.3053097345132743,0.11464968152866242,0.17567567567567569,0.1388888888888889,18.979057591623036,0.41935483870967744,0.13333333333333333,0.019230769230769232,0.06295399515738499,0.02926829268292683,0.12087912087912088,0.0111731843575419,0.08067226890756303,0.023769100169779286,0.035897435897435895,0.02564102564102564,0.02040816326530612,0.01834862385321101,,0.046052631578947366,0.0392156862745098,0.09433962264150944,0.1044776119402985,0.16666666666666666,0.022222222222222223,0.25,0.3274336283185841,0.6486486486486487,0.7868852459016393,0.6875,0.1592920353982301,0.3611111111111111,0.41935483870967744,0.5384615384615384,0.2079646017699115,0.5106382978723404,0.5106382978723404,0.8333333333333334,0.15486725663716813,0.5142857142857142,0.5294117647058824,0.9444444444444444,0.1504424778761062,0.29411764705882354,0.3225806451612903,0.9,0.2857142857142857,0.5,0.3333333333333333,0.19047619047619047,0.5,1.0,0.047619047619047616,,,0.38461538461538464,0.7,0.17307692307692307,0.8888888888888888,0.17307692307692307,0.3333333333333333,0.6327433628318584,0.29411764705882354,0.540304646017699,0.45408125000000005,0.5521874999999998,0.12648221343873517,0.15,0.09316770186335403,0.2826086956521739,7.843312101910827,24.218840579710143,0.2567771084337349,,2.0,,10.0,,,,,4.0,5.0,0.057971014492753624,0.02857142857142857,0.0684931506849315,1.0,0.08823529411764706,,,,,True
201580,1610612743,JaVale McGee,JaVale McGee,201580,DEN,15595.0,260,5.0,503,507,111,124,53,1010,50.0,73.0,6.0,13.0,8.0,11.0,9.0,15.0,,2.0,,,,,,,,,,,,,59.0,90.0,,,8.0,126.0,544,7.0,14.0,,,1.0,15.0,10.0,13.0,,,2.0,22.0,86.0,32.0,,,6.0,,,,9.0,1,2.0,3,1.0,1.0,,1.0,,8,7.0,13.0,1.0,19.0,29.0,6.0,54.0,21.0,75.0,1.0,6.0,4.0,2.0,7.0,,3.0,8.0,1.0,4.0,2.0,15.0,4.0,3.0,18.0,,29.0,,2.0,2.0,22.0,3.0,,,26.0,2.0,12.0,2.0,23.0,18.0,5.0,23.0,13.0,1.0,1.0,22.0,111,4.0,2.0,0.7288135593220338,0.7678571428571429,,,,,,0.6555555555555556,0.5,0.7692307692307693,0.6555555555555556,0.5,0.7692307692307693,0.6176470588235294,0.5,0.6875,,0.1,0.1095890410958904,0.06666666666666667,20.70796460176991,0.4666666666666667,0.35294117647058826,0.05263157894736842,0.17159763313609466,0.09352517985611511,0.23170731707317074,0.14,0.19123505976095617,0.10582010582010581,0.07017543859649122,0.13043478260869565,0.08333333333333333,0.1,0.2,0.11940298507462686,0.17647058823529413,0.22058823529411764,0.265625,0.1111111111111111,0.045454545454545456,0.5652173913043478,0.8111111111111111,0.684931506849315,0.7692307692307693,0.8,0.16666666666666666,0.6,0.6428571428571429,0.3333333333333333,0.022222222222222223,,,,,,,,,,,,0.9285714285714286,0.46153846153846156,0.5,,,,,,,0.8461538461538461,0.7272727272727273,,,,,0.8111111111111111,,0.60206,0.584690909090909,0.6040307692307693,0.12,0.12,0.11904761904761904,0.1746031746031746,2.5855555555555556,,0.220675944333996,,,,,,,,,,,,,,,,6.0,1.0,,,True
201585,1610612743,Kosta Koufos,Kosta Koufos,201585,DEN,17791.0,297,19.0,589,599,205,166,75,1188,37.0,54.0,17.0,24.0,17.0,24.0,5.0,15.0,,1.0,,,,,,,,,,,,,42.0,70.0,,,12.0,96.0,620,17.0,24.0,,,2.0,36.0,18.0,31.0,,,6.0,42.0,48.0,36.0,,,28.0,,,,8.0,6,,6,,,1.0,1.0,4.0,12,5.0,21.0,5.0,17.0,31.0,9.0,57.0,31.0,88.0,,12.0,10.0,2.0,6.0,1.0,3.0,12.0,3.0,3.0,2.0,18.0,2.0,7.0,22.0,1.0,37.0,1.0,5.0,1.0,14.0,2.0,1.0,1.0,14.0,1.0,7.0,1.0,8.0,8.0,,8.0,6.0,1.0,1.0,42.0,205,2.0,1.0,0.5714285714285714,0.8571428571428571,,,,,,0.6,0.7083333333333334,0.5806451612903226,0.6,0.7083333333333334,0.5806451612903226,0.6233766233766234,0.72,0.6176470588235294,,0.11428571428571428,0.1111111111111111,0.13333333333333333,14.157973174366617,0.3333333333333333,0.47368421052631576,0.2,0.1791907514450867,0.12280701754385964,0.18888888888888888,0.06756756756756757,0.18250950570342206,0.10612244897959183,0.16470588235294117,0.09433962264150944,0.06060606060606061,0.0784313725490196,0.043478260869565216,0.18461538461538463,0.2391304347826087,0.12903225806451613,0.15714285714285714,0.3,,0.75,0.7714285714285715,0.6851851851851852,0.7708333333333334,0.5135135135135135,0.21428571428571427,0.3333333333333333,0.38461538461538464,1.0,0.014285714285714285,,,,,,,,,,,,1.0,0.7083333333333334,0.11764705882352941,,,,,,,0.7741935483870968,0.7083333333333334,,,,,0.7714285714285715,,0.5723128571428571,0.6022272727272727,0.5877967741935485,0.09210526315789473,0.09210526315789473,0.375,0.4375,2.987142857142857,,0.34804753820033957,,,,,,,,,,,,,,,,1.0,,,,True
202702,1610612743,Kenneth Faried,Kenneth Faried,202702,DEN,26361.0,439,-24.0,867,880,222,236,136,1747,67.0,101.0,18.0,29.0,14.0,24.0,9.0,26.0,1.0,5.0,,,,,,,,,,,,,77.0,132.0,,,32.0,186.0,966,19.0,33.0,,,12.0,50.0,14.0,27.0,,,17.0,45.0,100.0,54.0,,,28.0,,,,21.0,10,4.0,14,3.0,1.0,6.0,3.0,1.0,32,14.0,47.0,2.0,25.0,48.0,10.0,83.0,63.0,146.0,2.0,15.0,11.0,4.0,10.0,3.0,6.0,12.0,1.0,4.0,1.0,22.0,5.0,10.0,27.0,5.0,49.0,,6.0,7.0,44.0,5.0,3.0,,49.0,5.0,24.0,3.0,26.0,23.0,3.0,26.0,18.0,,,45.0,216,4.0,3.0,0.6493506493506493,0.7936507936507936,,,,,,0.5833333333333334,0.5757575757575758,0.5185185185185185,0.5833333333333334,0.5757575757575758,0.5185185185185185,0.6038961038961039,0.5952380952380952,0.625,,0.1590909090909091,0.16831683168316833,0.15384615384615385,17.120622568093385,0.45454545454545453,0.4,0.07142857142857142,0.17582417582417584,0.1525974025974026,0.1953125,0.1308411214953271,0.18204488778054864,0.14698795180722893,0.1925925925925926,0.1595744680851064,0.0759493670886076,0.10606060606060606,0.17073170731707318,0.12844036697247707,0.2077922077922078,0.20689655172413793,0.20481927710843373,0.17777777777777778,0.058823529411764705,0.6923076923076923,0.7651515151515151,0.6633663366336634,0.7976190476190477,0.6268656716417911,0.19696969696969696,0.34615384615384615,0.4090909090909091,0.7777777777777778,0.03787878787878788,0.2,0.2,1.0,,,,,,,,,0.8787878787878788,0.6206896551724138,,,,,,,,0.8888888888888888,0.5833333333333334,,,,,0.7651515151515151,,0.5753628787878787,0.564883870967742,0.5852666666666666,0.15894039735099338,0.15894039735099338,0.26881720430107525,0.24193548387096775,3.1734848484848484,,0.2560553633217993,,,,,,,,,,,,,,,,4.0,,,,True
201164,1610612743,Rudy Fernandez,Rudy Fernandez,201164,DEN,14790.0,246,1.0,504,509,192,123,59,1013,8.0,11.0,1.0,1.0,4.0,5.0,5.0,8.0,7.0,16.0,6.0,11.0,,2.0,2.0,6.0,8.0,31.0,1.0,4.0,3.0,14.0,20.0,35.0,14.0,42.0,13.0,95.0,524,3.0,4.0,1.0,6.0,4.0,13.0,5.0,9.0,5.0,20.0,4.0,29.0,22.0,18.0,39.0,3.0,2.0,,31.0,8.0,,26,6.0,32,2.0,4.0,24.0,,2.0,70,3.0,2.0,,5.0,16.0,1.0,22.0,5.0,27.0,1.0,8.0,5.0,3.0,14.0,2.0,11.0,6.0,,3.0,3.0,20.0,2.0,8.0,8.0,3.0,14.0,,,,20.0,,3.0,2.0,19.0,3.0,7.0,2.0,,,,,,,,29.0,192,1.0,2.0,0.55,0.5789473684210527,0.9285714285714286,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.5714285714285714,0.75,0.5555555555555556,0.5324675324675324,0.45,0.43103448275862066,0.5595238095238095,0.5909090909090909,0.4393939393939394,0.5454545454545454,,,,18.21366024518389,0.7,0.1,,0.10256410256410256,0.014705882352941176,0.08333333333333333,0.043478260869565216,0.09722222222222222,0.024390243902439025,0.0136986301369863,0.03125,,0.058823529411764705,,0.0967741935483871,0.05714285714285714,0.13559322033898305,0.05263157894736842,0.13636363636363635,0.023809523809523808,,0.14285714285714285,0.7272727272727273,0.7272727272727273,0.625,0.1038961038961039,0.625,0.625,0.4,0.2077922077922078,0.4375,0.4375,0.5714285714285714,0.14285714285714285,0.5454545454545454,0.5454545454545454,1.0,0.4025974025974026,0.25806451612903225,0.25806451612903225,0.875,0.1,1.0,,0.2,,,0.4,0.25,1.0,0.1724137931034483,0.8,0.20689655172413793,0.3333333333333333,0.4827586206896552,0.21428571428571427,0.6883116883116883,0.25806451612903225,0.5234045454545456,0.4921875,0.5378396551724138,0.0975609756097561,0.1794871794871795,0.1368421052631579,0.30526315789473685,11.39142857142857,24.976190476190474,0.38095238095238093,,1.0,,1.0,,,,,,1.0,,,0.023255813953488372,,,,,,,True
201568,1610612743,Danilo Gallinari,Danilo Gallinari,201568,DEN,12541.0,209,39.0,408,417,162,117,49,825,13.0,23.0,,1.0,6.0,9.0,4.0,8.0,8.0,15.0,,3.0,,,,,5.0,23.0,1.0,2.0,4.0,14.0,25.0,46.0,5.0,26.0,28.0,93.0,398,1.0,2.0,1.0,2.0,2.0,7.0,9.0,18.0,4.0,14.0,16.0,46.0,22.0,28.0,12.0,3.0,,2.0,21.0,5.0,5.0,13,4.0,17,,4.0,10.0,2.0,1.0,38,2.0,1.0,1.0,10.0,19.0,1.0,30.0,4.0,34.0,,10.0,8.0,2.0,7.0,,2.0,3.0,,5.0,2.0,10.0,2.0,3.0,8.0,2.0,13.0,,1.0,,31.0,1.0,3.0,4.0,33.0,5.0,15.0,4.0,7.0,3.0,3.0,7.0,3.0,1.0,,46.0,161,1.0,4.0,0.44,0.44,0.8,0.19230769230769232,0.5,0.2857142857142857,0.20833333333333334,0.5434782608695652,0.5,0.5,0.4513888888888889,0.625,0.46875,0.5406976744186046,0.7,0.575,0.3611111111111111,0.10869565217391304,0.21739130434782608,,20.600858369098713,0.7,0.1,0.05,0.1484375,0.008333333333333333,0.16666666666666666,0.03773584905660377,0.15425531914893617,0.017341040462427744,0.015384615384615385,,,,0.09523809523809523,0.1,0.06666666666666667,0.22413793103448276,0.20454545454545456,0.0625,,0.42857142857142855,0.3194444444444444,0.5652173913043478,0.7222222222222222,0.46153846153846156,0.1111111111111111,0.5,0.5,0.25,0.20833333333333334,0.5333333333333333,0.5333333333333333,0.5,0.041666666666666664,,,,0.3194444444444444,0.21739130434782608,0.21739130434782608,0.8,0.25,,,,,,0.5,0.5,1.0,0.28125,0.6666666666666666,,,0.4375,0.2857142857142857,0.6805555555555556,0.23809523809523808,0.5213928571428571,0.534825,0.49546833333333334,0.18292682926829268,0.26785714285714285,0.07526881720430108,0.4946236559139785,8.217391304347826,27.46153846153847,0.39705882352941174,,,,,,,1.0,,,,,,,,,,,1.0,,True
