EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,OffShortMidRangeReboundPct,Charge Fouls Drawn,FTOffRebounds,BlockingFouls,OffFTReboundPct,OffCorner3ReboundPct,BlockedLongMidRange,on,Corner3PctBlocked,SecondChanceAtRimPctAssisted,Clear Path Fouls,Blocked3s,BlockedArc3,BlockedCorner3
101144,1610612753,Von Wafer,Von Wafer,101144,ORL,28137.0,469,-48,864,872,230,171,91,1736,38.0,64,3.0,4.0,13.0,19.0,9.0,18.0,10.0,36.0,4.0,11.0,1.0,2.0,1.0,4.0,10.0,28.0,1.0,2.0,7.0,57.0,118,14.0,39.0,38.0,194,911,6.0,9.0,1.0,3.0,4.0,19.0,15.0,32.0,3.0,11.0,15.0,54.0,24.0,90.0,39.0,3.0,4.0,1.0,27.0,10.0,8.0,24.0,5.0,29.0,4.0,1.0,16.0,5.0,3.0,63.0,1.0,5.0,18.0,18.0,3.0,39.0,6.0,45.0,1.0,10,8.0,2.0,21.0,2.0,6.0,14.0,3.0,15.0,5.0,35,4.0,12.0,12.0,26,1.0,1.0,2.0,34.0,1.0,1.0,54.0,4.0,4.0,20.0,7.0,3.0,2.0,1.0,3.0,1.0,1.0,54.0,230,1.0,6.0,0.21052631578947367,0.21818181818181817,0.9285714285714286,0.358974358974359,0.3333333333333333,0.2727272727272727,0.3684210526315789,0.4830508474576271,0.6666666666666666,0.46875,0.4968152866242038,0.625,0.45348837209302323,0.5305555555555556,0.6785714285714286,0.5,0.2484076433121019,0.06779661016949153,0.078125,0.1111111111111111,0.027777777777777776,22.16494845360825,0.6,0.1,0.0636042402826855,0.018726591760299626,0.1651376146788991,0.0078125,0.09183673469387756,0.015189873417721518,0.043010752688172046,0.009708737864077669,0.009009009009009009,0.043478260869565216,0.06097560975609756,0.08256880733944955,0.19540229885057472,0.045454545454545456,0.013513513513513514,0.3333333333333333,0.40764331210191085,0.59375,0.6440677966101694,0.21052631578947367,0.11464968152866242,0.5,0.5625,0.2222222222222222,0.22929936305732485,0.2777777777777778,0.2857142857142857,0.2,0.07006369426751592,0.36363636363636365,0.36363636363636365,1.0,0.17834394904458598,0.35714285714285715,0.35714285714285715,0.9,0.3333333333333333,0.75,0.16666666666666666,0.5,1.0,0.08333333333333333,0.4418604651162791,0.6842105263157895,0.09302325581395349,0.25,0.16279069767441862,0.2857142857142857,0.6560509554140127,0.37037037037037035,0.515534935897436,0.5276333333333333,0.5306678571428571,0.11560693641618497,0.14925373134328357,0.0979381443298969,0.27835051546391754,7.920338983050848,25.40769230769231,0.2662037037037037,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1716,1610612753,Larry Hughes,Larry Hughes,1716,ORL,3382.0,56,-31,105,106,24,23,9,211,1.0,2,,,,,,1.0,3.0,7.0,,1.0,,,,,,2.0,1.0,,,4.0,10,,3.0,,8,108,,,,1.0,,,,1.0,,,,,6.0,2.0,,,,,2.0,,,3.0,1.0,4.0,,1.0,1.0,,2.0,9.0,,,,,,,,,,1,1.0,,4.0,1.0,3.0,2.0,,1.0,,6,,1.0,1.0,4,,,,,,,,,,,,,,,,,,,24,,,0.75,0.75,,,,,,0.4,,,0.3076923076923077,,,0.3076923076923077,,,0.23076923076923078,,,,,16.521739130434785,0.6666666666666666,,,,,,,,,,,,,,,,,,0.15384615384615385,0.5,0.5,,0.07692307692307693,,,,0.5384615384615384,0.42857142857142855,0.42857142857142855,1.0,0.07692307692307693,,,,0.15384615384615385,,,,,,,,,1.0,,,,,,,0.38461538461538464,,0.4745499999999999,0.6477,0.4093,,,,,14.41,25.066666666666666,0.22857142857142856,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,True,,,,,,
200755,1610612753,JJ Redick,JJ Redick,200755,ORL,8120.0,135,-22,262,261,79,45,23,523,1.0,3,,,1.0,1.0,1.0,2.0,1.0,10.0,1.0,2.0,,,1.0,1.0,5.0,13.0,,1.0,3.0,3.0,15,6.0,15.0,15.0,39,300,,1.0,,,2.0,2.0,1.0,4.0,2.0,4.0,3.0,11.0,2.0,4.0,9.0,9.0,,,13.0,5.0,,9.0,5.0,14.0,3.0,2.0,4.0,1.0,4.0,33.0,,,4.0,3.0,1.0,8.0,,8.0,,5,5.0,,2.0,,,3.0,1.0,2.0,1.0,5,,,2.0,5,,,,10.0,1.0,,16.0,,2.0,5.0,,1.0,1.0,,1.0,1.0,,11.0,79,1.0,,0.3333333333333333,0.3333333333333333,0.5,0.4,,0.5,0.4,0.2,,0.25,0.4,,0.5,0.5138888888888888,0.5,0.55,0.5,,,,,14.236111111111112,0.4,0.07692307692307693,0.04285714285714286,,0.12121212121212122,,0.06796116504854369,,,,,,0.0625,0.07692307692307693,0.07692307692307693,0.2857142857142857,,1.0,0.1,0.3333333333333333,0.3333333333333333,,0.06666666666666667,0.5,0.5,,0.3333333333333333,0.1,0.1,1.0,0.06666666666666667,0.5,0.5,1.0,0.43333333333333335,0.38461538461538464,0.38461538461538464,0.4,,,,,,,0.125,1.0,0.125,1.0,0.375,0.3333333333333333,0.6,0.38461538461538464,0.5051666666666667,0.4212,0.4974625,0.19444444444444445,0.25,0.05128205128205128,0.28205128205128205,13.706666666666667,25.186666666666664,0.3015267175572519,,,,1.0,1.0,1.0,2.0,0.125,,,,,,,,,,,,,,True,,,,,,
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,5991.0,100,-37,186,187,34,28,19,373,4.0,4,,,2.0,2.0,,1.0,4.0,11.0,1.0,2.0,,,,,4.0,16.0,1.0,1.0,2.0,8.0,16,5.0,18.0,13.0,44,222,,,1.0,1.0,,3.0,2.0,3.0,1.0,2.0,5.0,12.0,,16.0,12.0,3.0,,,16.0,4.0,,3.0,3.0,6.0,2.0,1.0,3.0,,,15.0,,1.0,2.0,6.0,1.0,9.0,1.0,10.0,,3,2.0,1.0,6.0,2.0,5.0,3.0,1.0,1.0,,9,1.0,1.0,2.0,8,,,,10.0,,,16.0,,,7.0,1.0,1.0,,1.0,1.0,1.0,,12.0,34,1.0,2.0,,,0.8,0.2777777777777778,1.0,0.5,0.2777777777777778,0.5,,0.6666666666666666,0.45588235294117646,1.5,0.7,0.5238095238095238,1.5,0.75,0.5294117647058824,,,,,24.637681159420293,0.6666666666666666,0.16666666666666666,0.10526315789473684,0.023255813953488372,0.11764705882352941,,0.10810810810810811,0.013333333333333334,0.06666666666666667,,,,0.13333333333333333,0.23529411764705882,0.15384615384615385,,,1.0,0.11764705882352941,1.0,1.0,,0.029411764705882353,,,,0.3235294117647059,0.36363636363636365,0.36363636363636365,,0.058823529411764705,0.5,0.5,1.0,0.47058823529411764,0.25,0.25,0.75,,,,,,1.0,0.4,1.0,,,0.4,0.5,0.6470588235294118,0.25,0.5093470588235293,0.55935,0.51439,0.17073170731707318,0.30434782608695654,0.06818181818181818,0.2727272727272727,14.225000000000003,25.372222222222224,0.1827956989247312,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,True,,,,,,
2730,1610612753,Dwight Howard,Dwight Howard,2730,ORL,11317.0,189,5,345,342,101,71,36,687,22.0,33,8.0,9.0,4.0,7.0,12.0,21.0,,,,,,,,,,2.0,,,2.0,34.0,54,,2.0,35.0,103,353,8.0,9.0,,,4.0,20.0,9.0,14.0,,2.0,16.0,34.0,28.0,40.0,,,14.0,2.0,,,2.0,3.0,9.0,12.0,8.0,1.0,,3.0,,33.0,6.0,10.0,17.0,34.0,5.0,56.0,16.0,72.0,2.0,7,5.0,2.0,4.0,2.0,1.0,9.0,,3.0,,13,5.0,4.0,6.0,14,1.0,,3.0,46.0,,,57.0,5.0,,23.0,8.0,8.0,3.0,5.0,8.0,5.0,1.0,34.0,101,,7.0,0.4117647058823529,0.5185185185185185,,,,,,0.6296296296296297,0.8888888888888888,0.6428571428571429,0.6071428571428571,0.8888888888888888,0.5625,0.6280487804878049,0.9090909090909091,0.6538461538461539,0.03571428571428571,0.037037037037037035,0.030303030303030304,0.047619047619047616,,24.675324675324674,0.3076923076923077,0.3333333333333333,0.3148148148148148,0.10989010989010989,0.37777777777777777,0.11764705882352941,0.3333333333333333,0.11267605633802817,0.17142857142857143,0.08571428571428572,0.13953488372093023,0.3333333333333333,0.2962962962962963,0.3125,0.4,0.3,0.1111111111111111,0.625,0.5892857142857143,0.6666666666666666,0.6875,0.45454545454545453,0.375,0.5714285714285714,0.6,0.3333333333333333,,,,,,,,,0.03571428571428571,,,,1.0,0.8888888888888888,,,,,0.4375,0.5714285714285714,,,0.125,,0.625,,0.4860814814814815,0.6007857142857144,0.46346428571428566,0.3108108108108108,0.3194444444444444,0.1941747572815534,0.3300970873786408,3.512962962962963,74.5,0.2927536231884058,,,,,2.0,,,,,,,2.0,2.0,1.0,0.047619047619047616,,,,,,,True,,,,,,
201175,1610612753,Glen Davis,Glen Davis,201175,ORL,13736.0,229,-38,412,419,115,61,48,831,20.0,31,4.0,6.0,3.0,7.0,10.0,27.0,11.0,33.0,,,,,,,1.0,4.0,,1.0,3.0,41.0,91,1.0,4.0,24.0,109,441,5.0,13.0,,,7.0,17.0,8.0,22.0,1.0,3.0,2.0,21.0,46.0,36.0,3.0,,8.0,1.0,3.0,1.0,4.0,5.0,1.0,6.0,,1.0,5.0,,,13.0,3.0,13.0,7.0,27.0,4.0,38.0,16.0,54.0,2.0,3,2.0,1.0,5.0,,3.0,9.0,2.0,2.0,1.0,14,,5.0,6.0,18,,2.0,5.0,26.0,2.0,,29.0,6.0,,16.0,2.0,4.0,3.0,1.0,4.0,1.0,1.0,21.0,115,,1.0,0.5609756097560976,0.6216216216216216,1.0,0.25,,0.3333333333333333,0.3333333333333333,0.45054945054945056,0.38461538461538464,0.36363636363636365,0.4473684210526316,0.38461538461538464,0.38,0.5093457943925234,0.5,0.3888888888888889,0.042105263157894736,0.04395604395604396,0.06451612903225806,0.037037037037037035,0.030303030303030304,25.586353944562898,0.35714285714285715,0.26666666666666666,0.18120805369127516,0.0962962962962963,0.14,0.04918032786885246,0.1708542713567839,0.08163265306122448,0.16326530612244897,0.02,0.058823529411764705,0.13636363636363635,0.0975609756097561,0.265625,0.175,,0.041666666666666664,0.25,0.3263157894736842,0.6451612903225806,0.6896551724137931,0.5,0.28421052631578947,0.37037037037037035,0.38461538461538464,0.4,0.3473684210526316,0.3333333333333333,0.34375,0.8181818181818182,,,,,0.042105263157894736,0.25,0.25,1.0,0.46153846153846156,0.6666666666666666,,,,,0.28,0.42857142857142855,,,0.12,0.3333333333333333,0.3684210526315789,0.3333333333333333,0.45604893617021264,0.5242600000000001,0.4291375,0.1523809523809524,0.15841584158415842,0.1559633027522936,0.1926605504587156,9.346153846153845,33.650000000000006,0.279126213592233,,,,,2.0,,,,,,,2.0,,1.0,0.1111111111111111,2.0,,,,,,True,,,,,,
201583,1610612753,Ryan Anderson,Ryan Anderson,201583,ORL,10677.0,178,43,341,339,71,59,44,680,11.0,21,6.0,10.0,4.0,7.0,4.0,8.0,2.0,5.0,5.0,7.0,1.0,1.0,1.0,1.0,12.0,37.0,,2.0,8.0,17.0,34,17.0,44.0,11.0,96,341,6.0,11.0,1.0,1.0,4.0,19.0,4.0,8.0,3.0,9.0,2.0,19.0,14.0,20.0,51.0,,10.0,,37.0,12.0,6.0,3.0,2.0,5.0,2.0,,,1.0,2.0,12.0,8.0,15.0,2.0,23.0,5.0,30.0,24.0,54.0,3.0,4,2.0,2.0,2.0,,1.0,1.0,,1.0,,3,2.0,,8.0,18,,,1.0,11.0,2.0,,11.0,1.0,,6.0,,2.0,2.0,,2.0,2.0,,19.0,71,1.0,,0.4117647058823529,0.5833333333333334,1.0,0.38636363636363635,1.0,0.3333333333333333,0.38636363636363635,0.5,0.5454545454545454,0.5,0.5448717948717948,0.625,0.5,0.5783132530120482,0.6785714285714286,0.5277777777777778,0.5641025641025641,0.17647058823529413,0.19047619047619047,0.25,,21.82741116751269,0.6666666666666666,0.38461538461538464,0.23232323232323232,0.15,0.045454545454545456,0.11428571428571428,0.17482517482517482,0.13529411764705881,0.2,0.12121212121212122,0.11475409836065574,0.29411764705882354,0.22580645161290322,0.17647058823529413,0.02702702702702703,0.14285714285714285,0.08108108108108109,1.0,0.2692307692307692,0.5238095238095238,0.6470588235294118,0.36363636363636365,0.10256410256410256,0.5,0.6666666666666666,0.25,0.0641025641025641,0.4,0.4,1.0,0.08974358974358974,0.7142857142857143,0.7142857142857143,1.0,0.47435897435897434,0.32432432432432434,0.32432432432432434,1.0,0.8333333333333334,0.6,0.08333333333333333,1.0,1.0,,0.4117647058823529,0.5714285714285714,0.058823529411764705,1.0,0.47058823529411764,0.25,0.8333333333333334,0.32432432432432434,0.5362711538461539,0.642045,0.5039794117647058,0.07228915662650602,0.15384615384615385,0.19791666666666666,0.19791666666666666,5.435294117647058,25.25,0.20821114369501467,,,,,1.0,,,,,,,,,,0.125,2.0,1.0,3.0,0.125,0.1111111111111111,,True,,,,,,
2047,1610612753,Quentin Richardson,Quentin Richardson,2047,ORL,8775.0,146,22,259,266,63,38,27,525,4.0,5,,,,,2.0,6.0,2.0,6.0,2.0,3.0,,,1.0,1.0,6.0,17.0,1.0,1.0,5.0,8.0,17,8.0,20.0,1.0,41,241,,1.0,,1.0,,,1.0,1.0,2.0,6.0,,8.0,4.0,12.0,24.0,,,,17.0,6.0,1.0,3.0,3.0,6.0,2.0,1.0,2.0,,1.0,15.0,,3.0,5.0,20.0,3.0,28.0,3.0,31.0,,3,3.0,,,,,2.0,1.0,,,2,1.0,,4.0,14,,,1.0,4.0,2.0,,1.0,,1.0,,,1.0,,1.0,1.0,,,8.0,63,2.0,,0.25,0.25,1.0,0.4,,0.3333333333333333,0.4,0.47058823529411764,,1.0,0.5405405405405406,,0.5714285714285714,0.5405405405405406,,0.5714285714285714,0.5405405405405406,0.058823529411764705,,0.16666666666666666,,13.448275862068966,,0.375,0.18518518518518517,0.036585365853658534,0.15151515151515152,,0.1773049645390071,0.02564102564102564,0.06666666666666667,0.030303030303030304,,0.08333333333333333,0.2857142857142857,0.16326530612244897,0.14285714285714285,0.2,,,0.13513513513513514,0.8,0.8,0.5,0.16216216216216217,0.3333333333333333,0.4,,0.16216216216216217,0.3333333333333333,0.3333333333333333,,0.08108108108108109,0.6666666666666666,0.6666666666666666,1.0,0.4594594594594595,0.35294117647058826,0.35294117647058826,1.0,,,,,,0.5,,,0.14285714285714285,1.0,0.7142857142857143,0.2,0.6756756756756757,0.35294117647058826,0.513960810810811,0.441275,0.45623571428571424,,,,0.1951219512195122,9.723529411764705,25.005000000000003,0.24324324324324326,,,,,,,,,,,,,,,,1.0,,,,,,True,,,,,,
2768,1610612753,Chris Duhon,Chris Duhon,2768,ORL,14780.0,246,-13,434,446,104,86,41,880,4.0,9,1.0,1.0,2.0,4.0,2.0,5.0,1.0,2.0,1.0,3.0,,1.0,1.0,1.0,9.0,25.0,2.0,1.0,4.0,7.0,16,10.0,28.0,5.0,49,473,1.0,1.0,,3.0,1.0,3.0,2.0,5.0,2.0,5.0,2.0,12.0,2.0,12.0,21.0,9.0,,,25.0,9.0,3.0,23.0,13.0,36.0,10.0,3.0,12.0,4.0,7.0,85.0,1.0,1.0,2.0,12.0,1.0,15.0,2.0,17.0,,6,2.0,4.0,8.0,2.0,5.0,5.0,,3.0,3.0,13,,1.0,5.0,13,,,,10.0,3.0,,8.0,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,,12.0,104,2.0,2.0,0.14285714285714285,0.14285714285714285,0.7,0.35714285714285715,,0.4,0.35714285714285715,0.4375,1.0,0.4,0.5,0.25,0.5,0.5212765957446809,0.375,0.5,0.6363636363636364,0.1875,0.2222222222222222,0.2,,12.396694214876034,0.6153846153846154,0.058823529411764705,0.0759493670886076,0.0078125,0.0392156862745098,0.014285714285714285,0.06698564593301436,0.010101010101010102,0.024390243902439025,,0.016666666666666666,0.023255813953488372,0.12727272727272726,0.06666666666666667,0.045454545454545456,,,1.0,0.20454545454545456,0.4444444444444444,0.5714285714285714,,0.11363636363636363,0.4,0.5,0.5,0.045454545454545456,0.5,0.5,,0.06818181818181818,0.3333333333333333,0.3333333333333333,1.0,0.5681818181818182,0.36,0.36,0.6666666666666666,0.25,1.0,0.25,,,0.5,0.4,0.5,0.1,1.0,0.4,0.25,0.8409090909090909,0.36,0.497596590909091,0.329925,0.534645,0.044444444444444446,0.0625,0.061224489795918366,0.24489795918367346,5.7749999999999995,25.842857142857145,0.23963133640552994,,,,,,,1.0,0.034482758620689655,,,,,,,,,,1.0,,,,True,,,,,,
201947,1610612753,Earl Clark,Earl Clark,201947,ORL,10787.0,180,-55,323,329,81,63,31,652,9.0,17,1.0,2.0,1.0,4.0,4.0,11.0,5.0,18.0,,,,,,,,,,,,18.0,46,,,7.0,43,351,3.0,5.0,,,2.0,8.0,3.0,9.0,,,,6.0,28.0,8.0,,,4.0,,,,4.0,1.0,3.0,4.0,3.0,,,,1.0,11.0,5.0,5.0,12.0,17.0,,29.0,10.0,39.0,,5,4.0,1.0,6.0,,2.0,1.0,,4.0,,7,2.0,2.0,12.0,14,1.0,,,6.0,1.0,,8.0,,,4.0,,11.0,8.0,2.0,11.0,5.0,,6.0,81,,,0.7777777777777778,0.875,,,,,,0.391304347826087,0.6,0.3333333333333333,0.391304347826087,0.6,0.3333333333333333,0.43,0.6666666666666666,0.3333333333333333,,0.08695652173913043,0.17647058823529413,0.09090909090909091,,15.74585635359116,0.8571428571428571,,0.13934426229508196,0.0423728813559322,0.2857142857142857,0.13513513513513514,0.17682926829268292,0.06451612903225806,,0.038461538461538464,0.12121212121212122,0.10869565217391304,0.058823529411764705,0.23809523809523808,0.2647058823529412,0.375,,0.45454545454545453,0.3695652173913043,0.5294117647058824,0.6428571428571429,0.6666666666666666,0.2391304347826087,0.36363636363636365,0.4,0.75,0.391304347826087,0.2777777777777778,0.2777777777777778,1.0,,,,,,,,,0.4,0.5,,,,,0.4444444444444444,0.25,,,,,0.3695652173913043,,0.49269565217391315,0.43183333333333335,0.5558666666666667,0.08,0.08,0.18604651162790697,0.13953488372093023,9.854347826086958,,0.25077399380804954,,,,,,,,,,,,1.0,,,0.09090909090909091,,,,,0.25,1.0,True,,,,,,
