EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefCorner3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,LongMidRangeAssists,SelfOReb,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,OffShortMidRangeReboundPct,SelfORebPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted3s,ThreePtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceFtPoints,OffThreePtRebounds,LostBallTurnovers,Charge Fouls,Blocked3s,BlockedArc3,OffThreePtReboundPct,OffArc3ReboundPct,Corner3FGM,SecondChanceArc3FGA,SecondChanceFG3A,Technical Free Throw Trips,Corner3Accuracy,UnblockedCorner3Accuracy,SecondChanceArc3Frequency,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,StepOutOfBoundsTurnovers,PenaltyFg3Pct,Corner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,Corner3Assists,Loose Ball Fouls,ShortMidRangePctBlocked,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,ShortMidRangeAssists,FTOffRebounds,LostBallOutOfBoundsTurnovers,Travels,BlockingFouls,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffFTReboundPct,OffAtRimReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,PenaltyCorner3FGM,Fg3aBlocked,BlockingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,Charge Fouls Drawn,3pt And 1 Free Throw Trips,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedCorner3,Arc3PctBlocked,HeaveMakes,OffensiveGoaltends,3SecondViolations,Clear Path Fouls
101142,1610612764,Ronny Turiaf,Ronny Turiaf,101142,WAS,3494.0,58,15.0,114,112,38,31.0,7.0,226,3.0,3.0,3.0,3.0,6.0,107.0,6.0,4.0,1.0,5.0,1.0,4.0,11.0,1.0,1.0,8.0,2.0,11.0,1.0,12.0,6.0,5.0,1.0,2.0,2.0,2.0,4.0,6.0,1.0,1.0,2.0,7.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,38,1.0,1.0,1.0,1.0,1.0,7.43801652892562,0.3333333333333333,0.6666666666666666,0.2424242424242424,0.032258064516129,0.0625,0.1836734693877551,0.0256410256410256,0.0769230769230769,0.1,0.4285714285714285,0.25,0.2,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.6484666666666666,1.3,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101154,1610612764,Andray Blatche,Andray Blatche,101154,WAS,1911.0,32,13.0,63,63,17,17.0,2.0,126,3.0,6.0,5.0,12.0,11.0,57.0,10.0,1.0,,1.0,,1.0,2.0,,2.0,2.0,,4.0,,4.0,,,,1.0,,1.0,,1.0,,,,1.0,,2.0,,2.0,,2.0,2.0,2.0,17,1.0,1.0,0.4166666666666667,0.4166666666666667,0.4230769230769231,21.538461538461537,1.0,,0.1428571428571428,,0.1538461538461538,0.1481481481481481,,,,,0.25,0.3333333333333333,1.0,0.5,0.5,0.6,1.0,0.5,0.4659166666666667,10.091666666666669,0.2698412698412698,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.75,0.0833333333333333,0.1666666666666666,0.1,0.0833333333333333,0.4166666666666667,0.4,0.4,1.0,1.0,1.0,0.6971,0.0833333333333333,0.0833333333333333,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,1610612764,Rashard Lewis,Rashard Lewis,1740,WAS,1828.0,30,1.0,59,61,26,20.0,5.0,120,1.0,1.0,2.0,4.0,14.0,62.0,2.0,1.0,1.0,2.0,1.0,,5.0,2.0,3.0,3.0,,6.0,2.0,8.0,,,,1.0,,1.0,,1.0,1.0,1.0,2.0,2.0,,5.0,,1.0,1.0,,1.0,,26,0.5,0.5,0.5,0.5,0.6363636363636364,18.75,1.0,,0.1666666666666666,0.1111111111111111,0.4285714285714285,0.24,0.0909090909090909,0.1666666666666666,,,0.4285714285714285,,,0.1428571428571428,1.0,1.0,,0.5714285714285714,0.5075416666666667,9.075,0.4406779661016949,,,2.0,1.0,1.0,7.0,,1.0,7.0,7.0,,,8.0,,3.0,1.0,7.0,,1.0,,,0.5833333333333334,,,0.5,0.2857142857142857,0.1428571428571428,1.0,1.0,1.0,,,0.503025,0.3,0.4285714285714285,0.5,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.2,0.25,0.1428571428571428,0.2857142857142857,0.5,0.5,1.0,0.5,0.5,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201156,1610612764,Nick Young,Nick Young,201156,WAS,2358.0,39,9.0,78,79,28,21.0,3.0,157,2.0,4.0,12.0,17.0,37.0,73.0,6.0,1.0,2.0,3.0,2.0,1.0,8.0,,,2.0,,2.0,,2.0,,,,,,,,,,,1.0,3.0,,6.0,,,,,,,28,0.25,0.25,0.7058823529411765,0.75,0.8409090909090909,27.160493827160494,,,0.0869565217391304,,,0.0588235294117647,,,0.2857142857142857,,,,,0.2,0.5,0.5,,0.35,0.4564499999999999,12.211764705882354,0.358974358974359,,2.0,4.0,7.0,9.0,7.0,3.0,7.0,1.0,7.0,,,7.0,2.0,3.0,,7.0,,,0.4285714285714285,0.4285714285714285,0.5,,,,0.2,0.45,0.7777777777777778,0.7777777777777778,0.4285714285714285,0.2857142857142857,,0.4135714285714286,0.1818181818181818,0.1666666666666666,0.1891891891891892,,,2.0,3.0,2.0,3.0,,18.0,3.0,3.0,2.0,,,0.5,0.6666666666666666,0.6666666666666666,0.15,,,,0.15,0.6666666666666666,0.6666666666666666,0.5,,0.6666666666666666,25.166666666666668,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.75,0.75,0.3969,0.25,0.054054054054054,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202322,1610612764,John Wall,John Wall,202322,WAS,2479.0,41,7.0,85,81,38,23.0,7.0,166,5.0,9.0,8.0,20.0,26.0,80.0,2.0,5.0,,5.0,,1.0,10.0,1.0,3.0,3.0,,6.0,2.0,8.0,4.0,,4.0,4.0,2.0,3.0,3.0,7.0,,5.0,,1.0,,12.0,1.0,1.0,1.0,,2.0,,38,0.125,0.125,0.4,0.4,0.4814814814814814,36.95652173913043,0.5714285714285714,,0.1304347826086956,0.0384615384615384,0.25,0.1714285714285714,0.0625,,,0.3333333333333333,0.0909090909090909,0.3333333333333333,,0.45,0.5555555555555556,0.5555555555555556,0.2,0.45,0.5100899999999999,8.905000000000001,0.4470588235294118,1.0,3.0,3.0,3.0,8.0,10.0,1.0,7.0,7.0,9.0,,1.0,16.0,2.0,7.0,2.0,9.0,,2.0,0.1428571428571428,0.1428571428571428,0.4090909090909091,,,0.2222222222222222,0.15,0.4,0.375,0.375,,0.4285714285714285,0.3333333333333333,0.4459714285714286,0.28,0.28,0.3461538461538461,,,,,,,,14.0,,,,4.0,1.0,,,,,0.1428571428571428,0.1,,,,,,,,,,,1.0,2.0,,,,,0.5,,,0.2822,,0.0769230769230769,2.0,1.0,1.0,1.0,1.0,1.0,0.1666666666666666,0.2,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202348,1610612764,Jordan Crawford,Jordan Crawford,202348,WAS,1155.0,19,5.0,39,37,13,20.0,4.0,76,,1.0,2.0,6.0,13.0,39.0,2.0,1.0,,1.0,,,2.0,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,13,0.5,0.5,0.3333333333333333,0.4545454545454545,0.5,30.232558139534884,1.0,,,,,,,,,,,,,0.0909090909090909,,,,0.5454545454545454,0.4952999999999999,13.65,0.3333333333333333,,,1.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,,3.0,,1.0,,3.0,,,0.5,0.5,0.5,0.1666666666666666,1.0,,0.0909090909090909,0.3636363636363636,0.5,0.5,0.5,,,0.3827,0.0833333333333333,0.1428571428571428,0.2307692307692307,1.0,,1.0,4.0,2.0,5.0,,2.0,3.0,4.0,1.0,1.0,,0.5,0.4,0.4,0.4545454545454545,,,0.0909090909090909,0.3636363636363636,0.25,0.25,1.0,,0.25,25.880000000000003,,,,,3.0,,,,,,,0.52815,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202698,1610612764,Chris Singleton,Chris Singleton,202698,WAS,2151.0,36,5.0,70,68,21,15.0,3.0,138,,,,,6.0,67.0,,,,,,,,,3.0,1.0,1.0,5.0,,5.0,2.0,1.0,1.0,,,,1.0,1.0,,1.0,2.0,3.0,,1.0,,,,,,,21,,,,0.75,0.75,6.849315068493151,,0.5,0.05,,0.3,0.1333333333333333,,,0.125,,,0.25,,,,,,1.0,0.5275500000000001,,0.3,,,,,,,,,,3.0,,1.0,,,,,3.0,,,,0.5,0.5,,,0.3333333333333333,,,,,,,,0.4996,,,0.5,1.0,,1.0,3.0,2.0,4.0,3.0,,6.0,3.0,1.0,,,1.0,0.5,0.5,1.0,,,0.25,0.75,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,24.725,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,3.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202714,1610612764,Shelvin Mack,Shelvin Mack,202714,WAS,780.0,13,9.0,21,23,1,2.0,,44,1.0,1.0,1.0,3.0,5.0,18.0,,2.0,1.0,3.0,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.3333333333333333,0.5,0.5,23.80952380952381,,,,,,,,,,,,,,0.2,1.0,1.0,,0.6,0.44047,13.3,0.0476190476190476,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,1.0,2.0,1.0,2.0,,2.0,3.0,2.0,1.0,2.0,,1.0,0.5,0.5,0.4,,,,0.4,0.5,0.5,1.0,,0.5,27.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,1610612764,Roger Mason Jr.,Roger Mason Jr.,2427,WAS,319.0,5,3.0,10,8,1,,1.0,18,,,1.0,1.0,2.0,6.0,2.0,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1,1.0,1.0,1.0,0.5,0.5,18.181818181818183,,,,,,,,,,,,,,,,,,0.5,0.49915,22.9,0.1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,0.5,,,,0.5,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202344,1610612764,Trevor Booker,Trevor Booker,202344,WAS,995.0,17,8.0,31,28,7,6.0,3.0,59,,,,1.0,2.0,26.0,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,4.0,,2.0,,,,,,,7,,,,,0.5,5.88235294117647,,,,0.1111111111111111,,,0.0909090909090909,,,,,,,,,,,,0.3138,8.5,0.2258064516129032,,,1.0,,,2.0,,1.0,,,1.0,,2.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,,0.3138,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
