EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Fg3aBlocked,LostBallOutOfBoundsTurnovers,Charge Fouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Corner3PctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,Corner3Assists,ShortMidRangeAssists,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,Arc3PctBlocked,3SecondViolations,on,3pt And 1 Free Throw Trips
1737,1610612760,Nazr Mohammed,Nazr Mohammed,1737,OKC,35788.0,596,72,1114,1111,239,208,123.0,2225,41.0,77.0,15.0,28.0,9.0,18.0,13.0,36.0,16.0,37.0,1.0,1.0,70.0,150.0,1.0,13.0,153.0,1188,18.0,35.0,4.0,40.0,16.0,29.0,1.0,4.0,36.0,102.0,38.0,26.0,1.0,16.0,10.0,2.0,12.0,2.0,7.0,3.0,26.0,14.0,38.0,1.0,17.0,67.0,7.0,91.0,53.0,144,4.0,18.0,8.0,10.0,7.0,3.0,3.0,13.0,4.0,1.0,3.0,20.0,4.0,6.0,49.0,3.0,88.0,9.0,3.0,24.0,2.0,7.0,1.0,23.0,1.0,10.0,2.0,33.0,25.0,8.0,33.0,17.0,1.0,1.0,36.0,239,5.0,2.0,0.7285714285714285,0.8947368421052632,0.4666666666666667,0.5142857142857142,0.5517241379310345,0.46357615894039733,0.5142857142857142,0.5333333333333333,0.4722222222222222,0.5263157894736842,0.5625,0.006622516556291391,0.10666666666666667,0.15584415584415584,0.1111111111111111,14.54836131095124,0.35,0.1590909090909091,0.034482758620689655,0.16262135922330098,0.13333333333333333,0.136,0.08235294117647059,0.1564245810055866,0.11428571428571428,0.15841584158415842,0.1411764705882353,0.10101010101010101,0.07086614173228346,0.11627906976744186,0.1557377049180328,0.20930232558139536,0.13043478260869565,0.07692307692307693,0.29411764705882354,0.06153846153846154,0.5151515151515151,0.5099337748344371,0.5324675324675324,0.6307692307692307,0.6097560975609756,0.23841059602649006,0.3611111111111111,0.40625,0.8461538461538461,0.24503311258278146,0.43243243243243246,0.43243243243243246,0.9375,0.006622516556291391,0.8,0.5357142857142857,0.06666666666666667,0.6,0.5,0.03333333333333333,0.5165562913907285,0.5091106666666666,0.5382290322580646,0.5495896551724138,0.0625,0.06289308176100629,0.26143790849673204,0.23529411764705882,7.043333333333333,41.0,0.21454219030520646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
200757,1610612760,Thabo Sefolosha,Thabo Sefolosha,200757,OKC,10761.0,179,43,371,371,172,179,37.0,742,5.0,7.0,,,,1.0,,1.0,1.0,3.0,7.0,2.0,6.0,11.0,18.0,6.0,33.0,355,,,,,,2.0,8.0,2.0,11.0,10.0,2.0,,7.0,2.0,3.0,2.0,5.0,2.0,2.0,1.0,12.0,2.0,1.0,,3.0,13.0,1.0,17.0,3.0,20,,8.0,5.0,3.0,1.0,,1.0,4.0,,,,5.0,1.0,2.0,7.0,,17.0,,2.0,4.0,,1.0,,6.0,,3.0,,3.0,2.0,1.0,3.0,,,,11.0,164,2.0,,0.8333333333333334,0.8333333333333334,0.5454545454545454,,,0.46551724137931033,,0.45,0.515625,,0.5,0.6206896551724138,0.18181818181818182,0.2857142857142857,,8.980582524271844,0.2,0.0625,,0.1111111111111111,0.010416666666666666,0.06,0.03571428571428571,0.09580838323353294,0.019736842105263157,,,0.029411764705882353,0.045454545454545456,,0.0975609756097561,0.08823529411764706,0.14285714285714285,0.09090909090909091,,,,0.2413793103448276,0.7142857142857143,1.0,0.8,0.034482758620689655,,,,0.10344827586206896,0.3333333333333333,0.3333333333333333,1.0,0.2413793103448276,,,,0.1,,0.2,0.8620689655172413,0.5822551724137931,0.609525,0.549775,0.09375,0.21428571428571427,,0.3333333333333333,6.218181818181819,23.694444444444443,0.4636118598382749,4.0,11.0,2.0,2.0,6.0,1.0,1.0,5.0,2.0,3.0,15.0,1.0,1.0,1.0,1.0,1.0,0.2777777777777778,0.375,0.2777777777777778,0.05555555555555555,0.09090909090909091,0.3793103448275862,0.36363636363636365,0.4,1.0,0.14285714285714285,0.14285714285714285,1.0,1.0,0.6,0.3333333333333333,0.5,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
201142,1610612760,Kevin Durant,Kevin Durant,201142,OKC,85227.0,1420,295,2786,2771,1117,1049,361.0,5557,114.0,160.0,13.0,20.0,43.0,62.0,87.0,179.0,81.0,178.0,209.0,86.0,282.0,517.0,225.0,257.0,1085.0,2944,30.0,52.0,13.0,100.0,101.0,210.0,93.0,155.0,483.0,212.0,352.0,18.0,208.0,29.0,72.0,47.0,119.0,34.0,43.0,16.0,285.0,1.0,28.0,1.0,76.0,176.0,30.0,282.0,30.0,312,10.0,43.0,27.0,16.0,77.0,11.0,32.0,49.0,45.0,2.0,4.0,126.0,8.0,52.0,42.0,2.0,86.0,3.0,10.0,181.0,,8.0,1.0,304.0,26.0,108.0,42.0,44.0,19.0,13.0,56.0,33.0,,,473.0,1104,7.0,36.0,0.375886524822695,0.3882783882783883,0.5454545454545454,0.5769230769230769,0.48095238095238096,0.5579514824797843,0.6126760563380281,0.5412541254125413,0.6113033448673587,0.6447368421052632,0.6210526315789474,0.3032345013477089,0.05609284332688588,0.0875,0.0670391061452514,30.924945499844284,0.6111111111111112,0.32608695652173914,0.010752688172043012,0.17759838546922302,0.03444034440344403,0.1994750656167979,0.002638522427440633,0.1836734693877551,0.024328859060402684,0.03484320557491289,0.05263157894736842,0.017921146953405017,,0.015873015873015872,0.11647727272727272,0.17834394904458598,0.24307692307692308,0.21052631578947367,0.17391304347826086,0.029850746268656716,0.5892857142857143,0.215633423180593,0.7125,0.7808219178082192,0.42105263157894735,0.24123989218328842,0.4860335195530726,0.5209580838323353,0.21839080459770116,0.2398921832884097,0.4550561797752809,0.46285714285714286,0.48148148148148145,0.2816711590296496,0.28169014084507044,0.65,0.23076923076923078,0.20462046204620463,0.6935483870967742,0.2838283828382838,0.5188679245283019,0.497136842105263,0.501278813559322,0.48426208609271515,0.1321212121212121,0.18030050083472454,0.09216589861751152,0.44516129032258067,9.605609284332687,25.244000000000007,0.4009332376166547,9.0,16.0,1.0,4.0,7.0,79.0,38.0,88.0,19.0,42.0,213.0,79.0,,6.0,10.0,0.8068181818181818,0.39111111111111113,0.45161290322580644,0.39285714285714285,,,0.0215633423180593,0.5625,0.5625,1.0,0.37799043062200954,0.37799043062200954,0.7848101265822784,0.014084507042253521,0.0231023102310231,0.5714285714285714,0.4418604651162791,0.3798076923076923,1.0,8.0,18.0,9.0,51.0,1.0,13.0,13.0,5.0,29.0,1.0,12.0,9.0,3.0,12.0,0.47368421052631576,0.016853932584269662,1.0,1.0,0.2535211267605634,0.4444444444444444,1.0,0.004424778761061947,,,,True,
201566,1610612760,Russell Westbrook,Russell Westbrook,201566,OKC,73835.0,1231,288,2426,2400,938,915,325.0,4826,150.0,235.0,21.0,32.0,52.0,89.0,69.0,155.0,72.0,179.0,100.0,38.0,291.0,569.0,105.0,204.0,891.0,2545,30.0,63.0,12.0,75.0,100.0,203.0,40.0,91.0,330.0,144.0,438.0,24.0,98.0,43.0,114.0,69.0,183.0,54.0,68.0,32.0,435.0,13.0,46.0,3.0,31.0,68.0,5.0,104.0,62.0,166,9.0,54.0,37.0,17.0,65.0,12.0,38.0,62.0,27.0,7.0,3.0,127.0,9.0,57.0,16.0,2.0,81.0,3.0,6.0,177.0,1.0,3.0,5.0,246.0,23.0,103.0,29.0,7.0,7.0,,8.0,4.0,,1.0,319.0,925,13.0,22.0,0.24742268041237114,0.25806451612903225,0.5114235500878734,0.47619047619047616,0.49261083743842365,0.5096439169139466,0.4632352941176471,0.49176954732510286,0.567515923566879,0.5,0.5574324324324325,0.15578635014836795,0.07557117750439367,0.11914893617021277,0.0967741935483871,32.420902950586566,0.5118110236220472,0.06493506493506493,0.034482758620689655,0.07861271676300578,0.06301369863013699,0.096875,0.041401273885350316,0.08354430379746836,0.05651340996168582,0.05533596837944664,0.0776255707762557,0.05813953488372093,0.041353383458646614,0.041666666666666664,0.04807692307692308,0.08303249097472924,0.10869565217391304,0.10526315789473684,0.07608695652173914,0.030100334448160536,0.5,0.3486646884272997,0.6382978723404256,0.7246376811594203,0.34,0.22997032640949555,0.44516129032258067,0.4928571428571429,0.13043478260869565,0.2655786350148368,0.4022346368715084,0.4022346368715084,0.16666666666666666,0.14836795252225518,0.47058823529411764,0.65625,0.3333333333333333,0.3662551440329218,0.5842696629213483,0.15637860082304528,0.5044510385756676,0.5135553571428573,0.5033823529411765,0.5120172199170124,0.1388888888888889,0.15870570107858242,0.08417508417508418,0.37037037037037035,8.616168717047454,25.856190476190474,0.3866446826051113,2.0,5.0,,,2.0,33.0,13.0,35.0,5.0,13.0,51.0,33.0,,18.0,12.0,0.4857142857142857,0.3333333333333333,0.325,0.33980582524271846,,,0.00741839762611276,0.4,0.4,0.5,0.33,0.33,0.48484848484848486,,0.00823045267489712,,0.34210526315789475,0.336734693877551,,1.0,5.0,1.0,54.0,2.0,15.0,14.0,3.0,,2.0,1.0,1.0,,,0.2,,,,0.07352941176470588,0.2,,0.018691588785046728,,,,True,
201935,1610612760,James Harden,James Harden,201935,OKC,116762.0,1946,367,3748,3740,1239,1198,455.0,7488,154.0,229.0,14.0,20.0,33.0,49.0,17.0,49.0,24.0,59.0,255.0,74.0,195.0,337.0,292.0,312.0,1044.0,3946,16.0,27.0,19.0,84.0,41.0,75.0,85.0,73.0,248.0,110.0,280.0,8.0,253.0,48.0,151.0,78.0,229.0,48.0,88.0,46.0,536.0,4.0,26.0,,61.0,142.0,19.0,222.0,30.0,252,7.0,62.0,31.0,31.0,76.0,15.0,49.0,61.0,27.0,,8.0,137.0,7.0,35.0,50.0,5.0,150.0,3.0,14.0,262.0,2.0,2.0,7.0,369.0,29.0,156.0,21.0,11.0,5.0,3.0,15.0,8.0,,,248.0,1226,26.0,15.0,0.28205128205128205,0.2879581151832461,0.5786350148367952,0.5925925925925926,0.5466666666666666,0.5818759936406995,0.6018518518518519,0.546875,0.6567258883248731,0.6666666666666666,0.6169154228855721,0.4642289348171701,0.142433234421365,0.13537117903930132,0.2653061224489796,21.560383088063535,0.5547445255474452,0.1557377049180328,,0.1049519586104952,0.02478551000953289,0.12474437627811862,0.007366482504604052,0.11020629750271443,0.018844221105527637,0.03825136612021858,0.00949367088607595,0.02452316076294278,0.0091324200913242,,0.05217391304347826,0.09839816933638444,0.16447368421052633,0.11695906432748537,0.14285714285714285,0.02702702702702703,0.5333333333333333,0.3640699523052464,0.6724890829694323,0.7777777777777778,0.2987012987012987,0.07790143084260731,0.3469387755102041,0.4722222222222222,0.11764705882352941,0.09379968203497616,0.4067796610169492,0.43636363636363634,0.2916666666666667,0.40540540540540543,0.37037037037037035,0.7,0.07142857142857142,0.30625,0.673469387755102,0.4625,0.8282988871224165,0.5664735247208932,0.5573294117647059,0.541517405063291,0.21773142112125163,0.33620689655172414,0.08045977011494253,0.23754789272030652,5.117507418397624,24.97431506849315,0.3305763073639274,17.0,37.0,3.0,4.0,11.0,97.0,27.0,114.0,27.0,31.0,294.0,97.0,2.0,10.0,10.0,0.8596491228070176,0.3904109589041096,0.36470588235294116,0.3931034482758621,0.00684931506849315,,0.058823529411764705,0.4594594594594595,0.4594594594594595,1.0,0.3803921568627451,0.383399209486166,0.8350515463917526,0.05555555555555555,0.06875,0.36363636363636365,0.36486486486486486,0.383399209486166,1.0,10.0,24.0,11.0,48.0,2.0,30.0,17.0,15.0,11.0,11.0,4.0,4.0,,3.0,0.4074074074074074,0.06779661016949153,0.3333333333333333,1.0,0.4444444444444444,0.4166666666666667,0.9,0.036303630363036306,1.0,0.00784313725490196,,True,
202704,1610612760,Reggie Jackson,Reggie Jackson,202704,OKC,24566.0,409,38,768,787,158,164,73.0,1555,15.0,33.0,1.0,4.0,3.0,5.0,6.0,19.0,8.0,22.0,38.0,14.0,29.0,74.0,51.0,16.0,113.0,801,1.0,5.0,2.0,4.0,7.0,16.0,19.0,6.0,32.0,12.0,46.0,,36.0,6.0,31.0,22.0,53.0,13.0,18.0,9.0,128.0,4.0,6.0,,10.0,21.0,,31.0,10.0,41,2.0,19.0,12.0,7.0,15.0,6.0,9.0,15.0,6.0,,3.0,30.0,3.0,9.0,12.0,,27.0,1.0,2.0,21.0,,,3.0,17.0,1.0,7.0,2.0,1.0,1.0,,1.0,1.0,,,32.0,158,4.0,2.0,0.20689655172413793,0.20689655172413793,0.3918918918918919,0.2,0.4375,0.388,0.09090909090909091,0.37142857142857144,0.424812030075188,0.16666666666666666,0.42105263157894735,0.408,0.08108108108108109,0.15151515151515152,0.05263157894736842,19.10902696365768,0.5,,,0.07446808510638298,0.03428571428571429,0.09803921568627451,0.028985507246376812,0.08072916666666667,0.03194888178913738,0.04225352112676056,0.058823529411764705,,0.0297029702970297,0.02702702702702703,0.034482758620689655,0.06382978723404255,0.1188118811881188,0.1095890410958904,0.06896551724137931,0.028169014084507043,1.0,0.264,0.45454545454545453,0.5357142857142857,0.06666666666666667,0.152,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.176,0.36363636363636365,0.36363636363636365,0.375,0.304,0.36363636363636365,0.25,,0.14285714285714285,0.6,0.4,0.672,0.5181861788617886,0.5564416666666666,0.48388676470588243,0.05343511450381679,0.0875,0.035398230088495575,0.2831858407079646,8.218918918918918,25.48039215686274,0.20572916666666666,2.0,13.0,1.0,,5.0,11.0,4.0,13.0,6.0,4.0,27.0,11.0,2.0,,1.0,0.6923076923076923,0.2549019607843137,0.21052631578947367,0.2653061224489796,0.0392156862745098,,0.104,0.15384615384615385,0.15384615384615385,1.0,0.2894736842105263,0.3055555555555556,0.6363636363636364,0.09090909090909091,0.14285714285714285,,0.2857142857142857,0.3055555555555556,,,5.0,,12.0,2.0,9.0,4.0,4.0,,,,,,,,,,,0.45454545454545453,,,,,0.05263157894736842,,True,
2555,1610612760,Nick Collison,Nick Collison,2555,OKC,69279.0,1155,237,2167,2176,529,471,255.0,4343,81.0,120.0,27.0,39.0,16.0,27.0,5.0,19.0,16.0,32.0,,,102.0,171.0,,39.0,243.0,2279,30.0,45.0,7.0,67.0,19.0,38.0,,11.0,49.0,142.0,62.0,44.0,,18.0,37.0,35.0,72.0,30.0,26.0,7.0,179.0,32.0,62.0,4.0,21.0,102.0,16.0,139.0,98.0,237,6.0,32.0,19.0,13.0,18.0,5.0,13.0,39.0,5.0,1.0,7.0,57.0,10.0,9.0,74.0,5.0,133.0,11.0,9.0,70.0,20.0,9.0,4.0,56.0,6.0,27.0,5.0,23.0,13.0,9.0,23.0,12.0,1.0,1.0,49.0,528,10.0,5.0,0.696078431372549,0.8875,0.5964912280701754,0.6666666666666666,0.5,0.5964912280701754,0.6666666666666666,0.5,0.616751269035533,0.67,0.5444444444444444,,0.10526315789473684,0.11666666666666667,0.21052631578947367,10.308441558441558,0.3157894736842105,0.22857142857142856,0.07017543859649122,0.12734082397003746,0.10526315789473684,0.07446808510638298,0.09329446064139942,0.11357340720221606,0.10085836909871244,0.12173913043478261,0.12727272727272726,0.06701030927835051,0.10294117647058823,0.056338028169014086,0.17083333333333334,0.1276595744680851,0.08960573476702509,0.09183673469387756,0.03488372093023256,0.12,0.5217391304347826,0.7017543859649122,0.675,0.7641509433962265,0.6666666666666666,0.1111111111111111,0.2631578947368421,0.3333333333333333,0.2,0.1871345029239766,0.5,0.5,1.0,,0.8666666666666667,0.6923076923076923,0.14814814814814814,0.7105263157894737,0.5925925925925926,,0.7017543859649122,0.5608426900584793,0.5804149999999999,0.5629842105263158,0.140625,0.140625,0.2757201646090535,0.20164609053497942,5.453801169590643,,0.244116289801569,,,,,,,,,,,,,,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,1.0,,,,,,1.0,,,,,,,,,1.0,,3.0,True,
965,1610612760,Derek Fisher,Derek Fisher,965,OKC,17956.0,299,71,550,550,166,128,59.0,1100,6.0,13.0,3.0,4.0,2.0,3.0,1.0,8.0,6.0,30.0,14.0,2.0,13.0,51.0,28.0,7.0,57.0,579,5.0,8.0,1.0,14.0,4.0,14.0,9.0,,17.0,14.0,12.0,4.0,14.0,3.0,14.0,3.0,17.0,3.0,5.0,9.0,37.0,1.0,1.0,,6.0,12.0,1.0,19.0,2.0,21,1.0,7.0,3.0,4.0,7.0,2.0,6.0,2.0,1.0,,,9.0,1.0,3.0,7.0,,22.0,1.0,,10.0,1.0,,3.0,8.0,1.0,3.0,,,,,,,,,17.0,164,3.0,,0.5384615384615384,0.6363636363636364,0.2549019607843137,0.625,0.2857142857142857,0.31645569620253167,0.5909090909090909,0.3695652173913043,0.3475609756097561,0.6363636363636364,0.3695652173913043,0.35443037974683544,0.058823529411764705,0.15384615384615385,,14.772727272727272,0.7777777777777778,0.058823529411764705,,0.059113300492610835,0.00684931506849315,0.07894736842105263,0.01282051282051282,0.06451612903225806,0.008928571428571428,,0.02857142857142857,,,0.05555555555555555,0.08064516129032258,0.06666666666666667,0.037037037037037035,0.038461538461538464,0.16666666666666666,0.019230769230769232,,0.16455696202531644,0.46153846153846156,0.5454545454545454,0.16666666666666666,0.10126582278481013,0.125,0.125,1.0,0.379746835443038,0.2,0.20689655172413793,0.8333333333333334,0.17721518987341772,0.36363636363636365,0.75,0.3333333333333333,0.13043478260869565,0.6666666666666666,0.08695652173913043,0.5189873417721519,0.4917588607594937,0.524225,0.4791108695652174,0.04878048780487805,0.05660377358490566,0.24561403508771928,0.2982456140350877,13.425490196078432,23.975,0.3018181818181818,7.0,14.0,3.0,3.0,7.0,1.0,,8.0,3.0,3.0,24.0,1.0,,,,1.0,0.2857142857142857,0.3333333333333333,0.2857142857142857,,,0.17721518987341772,0.5,0.5,1.0,0.07142857142857142,0.07142857142857142,1.0,0.2727272727272727,0.30434782608695654,0.42857142857142855,,0.07142857142857142,1.0,,,1.0,,,,,,,1.0,,,,,0.3333333333333333,0.03333333333333333,0.3333333333333333,1.0,,,,0.034482758620689655,,,,True,
201161,1610612760,Daequan Cook,Daequan Cook,201161,OKC,32552.0,543,158,1026,1031,264,265,107.0,2057,2.0,2.0,,,1.0,1.0,2.0,4.0,11.0,22.0,71.0,9.0,15.0,28.0,134.0,8.0,197.0,1042,1.0,3.0,1.0,12.0,4.0,5.0,22.0,6.0,44.0,22.0,8.0,,70.0,1.0,6.0,2.0,8.0,1.0,4.0,2.0,18.0,3.0,,,22.0,40.0,2.0,64.0,3.0,67,1.0,15.0,8.0,7.0,3.0,,3.0,3.0,,2.0,,6.0,1.0,,26.0,1.0,39.0,1.0,,12.0,,,5.0,13.0,,2.0,3.0,4.0,1.0,1.0,5.0,3.0,,,44.0,261,2.0,3.0,0.7333333333333333,0.7333333333333333,0.5357142857142857,0.3333333333333333,0.8,0.5833333333333334,0.55,0.7037037037037037,0.5863095238095238,0.5454545454545454,0.7096774193548387,0.8271604938271605,0.03571428571428571,,0.25,15.196506550218341,0.5,0.05714285714285714,,0.11142061281337047,,0.176,0.016666666666666666,0.128099173553719,0.006993006993006993,,,,0.022900763358778626,,0.12,0.10434782608695652,0.1092436974789916,0.18478260869565216,0.15151515151515152,0.01098901098901099,0.6,0.012345679012345678,1.0,1.0,0.5,0.024691358024691357,0.5,0.6666666666666666,0.5,0.13580246913580246,0.5,0.5,0.8181818181818182,0.4382716049382716,,,,0.037037037037037035,1.0,0.3333333333333333,0.8395061728395061,0.551222049689441,0.48045,0.5202423076923076,0.01818181818181818,0.06666666666666667,0.06091370558375635,0.2233502538071066,16.68928571428572,24.338805970149256,0.2573099415204678,25.0,63.0,4.0,7.0,13.0,28.0,3.0,53.0,7.0,10.0,156.0,28.0,1.0,,1.0,0.9811320754716981,0.39552238805970147,0.45454545454545453,0.39849624060150374,0.007462686567164179,,0.3888888888888889,0.3968253968253968,0.3968253968253968,1.0,0.39436619718309857,0.4,0.9642857142857143,0.4,0.48148148148148145,0.5384615384615384,0.3333333333333333,0.4,2.0,1.0,3.0,3.0,3.0,1.0,1.0,,,,1.0,1.0,1.0,,2.0,0.42857142857142855,,0.5,1.0,0.3,0.3333333333333333,,0.007407407407407408,,0.014084507042253521,,True,
201586,1610612760,Serge Ibaka,Serge Ibaka,201586,OKC,43960.0,733,152,1412,1413,506,540,206.0,2825,64.0,92.0,31.0,52.0,24.0,35.0,9.0,22.0,27.0,62.0,,,100.0,176.0,1.0,38.0,238.0,1502,36.0,61.0,23.0,95.0,30.0,57.0,,23.0,83.0,130.0,70.0,54.0,,17.0,10.0,4.0,14.0,4.0,10.0,,32.0,27.0,65.0,3.0,37.0,85.0,5.0,127.0,95.0,222,6.0,10.0,5.0,5.0,9.0,2.0,5.0,20.0,4.0,1.0,2.0,29.0,11.0,11.0,50.0,2.0,91.0,9.0,5.0,43.0,,7.0,1.0,60.0,4.0,27.0,5.0,103.0,77.0,23.0,103.0,48.0,7.0,1.0,83.0,505,14.0,5.0,0.65,0.8904109589041096,0.5681818181818182,0.5901639344262295,0.5263157894736842,0.5649717514124294,0.5901639344262295,0.5263157894736842,0.5804878048780487,0.625,0.5684931506849316,0.005649717514124294,0.09659090909090909,0.16304347826086957,0.09090909090909091,14.11338962605549,0.3103448275862069,0.13157894736842105,0.05555555555555555,0.15828677839851024,0.1497695852534562,0.18877551020408162,0.1534090909090909,0.1664392905866303,0.15081967213114755,0.176056338028169,0.16666666666666666,0.11038961038961038,0.13548387096774195,0.2857142857142857,0.13636363636363635,0.15483870967741936,0.19135802469135801,0.19083969465648856,0.18461538461538463,0.1016949152542373,0.46601941747572817,0.519774011299435,0.6956521739130435,0.8311688311688312,0.515625,0.12429378531073447,0.4090909090909091,0.45,0.5555555555555556,0.3502824858757062,0.43548387096774194,0.43548387096774194,1.0,,0.8524590163934426,0.5961538461538461,0.0967741935483871,0.6140350877192983,0.6857142857142857,,0.5254237288135594,0.5281327683615819,0.54815,0.5389087719298246,0.135,0.135678391959799,0.39915966386554624,0.3487394957983193,7.991477272727272,23.2,0.358356940509915,,1.0,,,,,,,,,,,,2.0,1.0,,,,,,,0.005649717514124294,,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,1.0,,3.0,True,
