EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTOffRebounds,Loose Ball Fouls,Offensive Fouls Drawn,OffFTReboundPct,OffShortMidRangeReboundPct,Offensive Fouls,Charge Fouls Drawn,OffAtRimReboundPct,SecondChanceAtRimFGM,SecondChanceTurnovers,AtRimPctBlocked,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,HeaveAttempts,Fg3aBlocked,StepOutOfBoundsTurnovers,Technical Free Throw Trips,PenaltyFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,LostBallOutOfBoundsTurnovers,Charge Fouls,PenaltyCorner3FGA,Corner3Assists,BlockingFouls,PenaltyCorner3Frequency,SecondChanceFtPoints,OffCorner3ReboundPct,on,PenaltyCorner3FGM,SecondChanceArc3FGM,Travels,BlockingFoulsDrawn,BlockedLongMidRange,3SecondViolations,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,DefensiveGoaltends,BlockedCorner3,OffensiveGoaltends,Clear Path Fouls,HeaveMakes
101114,1610612751,Deron Williams,Deron Williams,101114,NJN,6449.0,107,-52,211,211,18.0,37,18.0,422,5.0,9.0,1.0,1.0,1.0,4.0,10.0,5.0,12.0,2.0,5.0,1.0,3.0,6.0,17.0,1.0,14.0,31.0,8.0,22.0,11.0,63.0,253.0,1.0,4.0,1.0,4.0,5.0,1.0,1.0,1.0,3.0,8.0,20.0,15.0,9.0,2.0,17.0,6.0,2.0,27.0,1.0,28.0,1.0,13.0,9.0,5.0,57.0,2.0,1.0,5.0,7.0,1.0,13.0,3.0,16.0,3.0,6.0,5.0,1.0,6.0,4.0,4.0,4.0,2.0,10.0,1.0,1.0,2.0,9.0,1.0,14.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,18.0,1.0,1.0,0.2857142857142857,0.3076923076923077,0.625,0.36363636363636365,0.25,0.36363636363636365,0.45161290322580644,0.25,1.0,0.49056603773584906,0.3125,1.0,0.5431034482758621,0.3125,0.75,0.41509433962264153,0.06451612903225806,0.2,28.936170212765955,0.6,0.14285714285714285,0.09722222222222222,0.015625,0.15151515151515152,0.05263157894736842,0.11428571428571428,0.029411764705882353,0.05555555555555555,0.07142857142857142,0.037037037037037035,0.05263157894736842,0.19230769230769232,0.13636363636363635,0.18181818181818182,0.10344827586206896,1.0,0.16981132075471697,0.5555555555555556,0.5555555555555556,0.4,0.18867924528301888,0.4,0.5,0.22641509433962265,0.4166666666666667,0.4166666666666667,0.4,0.09433962264150944,0.4,0.4,0.5,0.32075471698113206,0.35294117647058826,0.35294117647058826,0.6666666666666666,0.125,0.375,0.3333333333333333,0.125,1.0,1.0,0.5849056603773585,0.35294117647058826,0.5179443396226415,0.5158,0.66,0.12280701754385964,0.14705882352941177,0.08695652173913043,0.07936507936507936,0.047619047619047616,10.196774193548386,25.068181818181817,0.08530805687203792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
101123,1610612751,Gerald Green,Gerald Green,101123,NJN,1786.0,30,13,65,64,9.0,20,5.0,129,4.0,4.0,,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,,,,1.0,,6.0,8.0,,2.0,,12.0,61.0,1.0,1.0,,,2.0,2.0,2.0,,4.0,8.0,4.0,,,2.0,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,2.0,3.0,,2.0,2.0,,,,,,,,,3.0,6.0,1.0,,,,,,,,,,,,,4.0,9.0,1.0,,0.6666666666666666,0.8,,,,,0.75,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.2,,,13.513513513513514,,0.3333333333333333,,0.047619047619047616,,,,0.034482758620689655,,,,,,,,,,0.4,1.0,1.0,0.75,0.2,0.5,0.5,0.2,0.5,0.5,1.0,0.1,,,,0.1,,,,,,,,0.5,1.0,0.6,,0.58125,0.4873,0.6970500000000001,,,,0.16666666666666666,0.3333333333333333,7.0375000000000005,27.0,0.13846153846153847,1.0,1.0,1.0,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
200749,1610612751,Shelden Williams,Shelden Williams,200749,NJN,2098.0,35,3,68,65,3.0,1,8.0,133,3.0,7.0,3.0,,,,,,,,,,,,,,3.0,7.0,,,,6.0,69.0,,3.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,4.0,,9.0,2.0,11.0,4.0,15.0,,3.0,2.0,1.0,,,,1.0,,1.0,,4.0,8.0,2.0,,,,,,,,,,,,,,3.0,,,1.0,1.0,,,,,0.42857142857142855,,,0.42857142857142855,,,0.42857142857142855,,,,,,10.126582278481012,,0.6666666666666666,0.45,0.16666666666666666,,,0.2571428571428571,0.1111111111111111,,,0.5,0.3333333333333333,0.4444444444444444,,,,,1.0,0.42857142857142855,0.42857142857142855,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,0.6044571428571429,0.5714666666666667,,,,,,,1.957142857142857,,0.04411764705882353,,,,,0.1,1.0,2.0,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
201572,1610612751,Brook Lopez,Brook Lopez,201572,NJN,8159.0,136,-27,267,264,24.0,48,28.0,531,20.0,30.0,7.0,1.0,1.0,15.0,35.0,3.0,12.0,,,,,,,,38.0,77.0,,,20.0,96.0,289.0,6.0,8.0,,,12.0,3.0,5.0,6.0,12.0,42.0,34.0,,,10.0,,,8.0,3.0,3.0,6.0,3.0,2.0,,1.0,15.0,2.0,6.0,2.0,7.0,1.0,10.0,8.0,18.0,2.0,1.0,1.0,,5.0,,3.0,1.0,2.0,6.0,,3.0,8.0,23.0,,32.0,6.0,,19.0,,,4.0,3.0,1.0,4.0,1.0,12.0,24.0,,,0.5526315789473685,0.6363636363636364,,,,,0.4935064935064935,0.75,0.6,0.4935064935064935,0.75,0.6,0.5333333333333333,0.75,0.6666666666666666,,0.1038961038961039,0.17142857142857143,31.683168316831686,0.8333333333333334,0.1,0.08139534883720931,0.06818181818181818,0.047619047619047616,0.045454545454545456,0.0703125,0.06060606060606061,,0.0625,0.12903225806451613,0.045454545454545456,0.06060606060606061,0.07692307692307693,,0.06451612903225806,0.25,0.38961038961038963,0.6666666666666666,0.7142857142857143,0.45,0.45454545454545453,0.42857142857142855,0.5172413793103449,0.15584415584415584,0.25,0.25,1.0,,,,,,,,,0.875,,,,0.2,1.0,0.38961038961038963,,0.46022207792207787,0.5245,0.45619999999999994,0.2111111111111111,0.2111111111111111,,0.125,0.125,7.512987012987013,,0.0898876404494382,,2.0,,,0.06060606060606061,,,0.13333333333333333,6.0,1.0,0.06666666666666667,0.6,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
201627,1610612751,Anthony Morrow,Anthony Morrow,201627,NJN,3517.0,59,25,115,111,15.0,35,15.0,226,2.0,2.0,,,,,1.0,3.0,4.0,1.0,3.0,1.0,1.0,3.0,9.0,,5.0,7.0,4.0,12.0,1.0,23.0,103.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,,5.0,4.0,6.0,12.0,,2.0,8.0,3.0,,1.0,,1.0,,1.0,,,2.0,1.0,,,3.0,,3.0,1.0,4.0,,2.0,2.0,,2.0,,,1.0,2.0,3.0,1.0,,4.0,,,1.0,,,,,,,,,,,5.0,15.0,1.0,,0.4,0.5,1.0,0.3333333333333333,1.0,0.36363636363636365,0.7142857142857143,1.0,1.0,0.5789473684210527,1.25,0.5,0.5789473684210527,1.25,0.5,0.631578947368421,,,16.541353383458645,0.6666666666666666,,0.07894736842105263,,,0.041666666666666664,0.05454545454545454,0.016666666666666666,,0.05263157894736842,0.06666666666666667,0.16666666666666666,0.058823529411764705,,,,,0.10526315789473684,1.0,1.0,0.5,0.05263157894736842,,,0.21052631578947367,0.75,0.75,0.3333333333333333,0.15789473684210525,0.3333333333333333,0.5,1.0,0.47368421052631576,0.3333333333333333,0.375,1.0,,0.5,1.0,,,,0.7368421052631579,0.375,0.5140972222222222,0.1931,0.3795875,,,,0.21739130434782608,0.21739130434782608,12.828571428571431,27.366666666666664,0.13043478260869565,,1.0,,,,,,,,,,,,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,0.25,0.16666666666666666,0.3333333333333333,0.1111111111111111,1.0,0.8,0.25,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
202705,1610612751,MarShon Brooks,MarShon Brooks,202705,NJN,6764.0,113,-39,219,214,13.0,27,24.0,433,2.0,5.0,,,,3.0,5.0,5.0,5.0,,1.0,,,2.0,7.0,,10.0,15.0,2.0,8.0,5.0,31.0,249.0,2.0,2.0,,,4.0,,1.0,,,8.0,12.0,,6.0,,7.0,2.0,,7.0,1.0,8.0,1.0,4.0,2.0,1.0,17.0,1.0,2.0,1.0,7.0,1.0,9.0,4.0,13.0,,4.0,3.0,1.0,4.0,,3.0,3.0,1.0,7.0,,6.0,8.0,8.0,,8.0,,,4.0,,,1.0,1.0,,1.0,1.0,,13.0,1.0,,0.4,0.4,,0.25,,0.25,0.6666666666666666,1.0,,0.5652173913043478,1.0,,0.5740740740740741,1.0,,0.34782608695652173,,,13.709677419354838,0.5714285714285714,0.125,0.10144927536231885,0.02857142857142857,0.029411764705882353,0.02702702702702703,0.07766990291262135,0.028037383177570093,,0.03571428571428571,0.07692307692307693,0.05,0.17391304347826086,0.047619047619047616,,,1.0,0.21739130434782608,0.4,0.4,0.5,0.21739130434782608,0.6,0.6,0.21739130434782608,1.0,1.0,0.2,0.043478260869565216,,,,0.30434782608695654,0.2857142857142857,0.2857142857142857,,,,,,,,0.5652173913043478,0.2857142857142857,0.5079413043478261,0.4145,0.4435,0.14814814814814814,0.21052631578947367,,0.12903225806451613,,10.06,24.75,0.0593607305936073,1.0,,1.0,0.1111111111111111,0.08,,,,,2.0,,0.6666666666666666,,,1.0,,1.0,,,,,,,,,,0.5,,2.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,
200770,1610612751,Jordan Farmar,Jordan Farmar,200770,NJN,746.0,12,8,25,25,7.0,8,3.0,50,1.0,1.0,,,,,,,1.0,,1.0,,,1.0,2.0,,1.0,2.0,1.0,3.0,,5.0,21.0,,,,,,,,,,,2.0,,3.0,,2.0,1.0,,,1.0,1.0,,,,,3.0,,,,,,,,,,1.0,,1.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,7.0,,,,,,0.3333333333333333,,0.3333333333333333,0.5,,,0.5,,,0.5,,,0.6,,,17.24137931034483,,,,,,,,,,,,,,,,,,0.2,1.0,1.0,,,,,0.2,,,,0.2,,,,0.4,0.5,0.5,,,,,,,,0.8,0.5,0.5509499999999999,,0.5916,,,,,,8.65,25.666666666666668,0.28,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,
2743,1610612751,Kris Humphries,Kris Humphries,2743,NJN,4282.0,71,-55,140,141,14.0,36,11.0,281,6.0,10.0,1.0,,1.0,,2.0,1.0,4.0,,,,,,,,7.0,16.0,,,5.0,19.0,172.0,,1.0,,,1.0,,1.0,1.0,1.0,14.0,,,,,,,1.0,1.0,,1.0,,1.0,,,2.0,1.0,2.0,4.0,9.0,3.0,16.0,3.0,19.0,,2.0,2.0,,8.0,,5.0,3.0,3.0,11.0,,2.0,6.0,5.0,1.0,6.0,,,2.0,,1.0,1.0,1.0,,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,,,,,0.4375,,,0.4375,,,0.5,0.25,0.25,,0.0625,,19.607843137254903,0.7272727272727273,0.75,0.17307692307692307,0.046511627906976744,0.26666666666666666,0.045454545454545456,0.19402985074626866,0.046153846153846156,,,0.15,0.2857142857142857,0.1111111111111111,0.3333333333333333,0.16666666666666666,,1.0,0.625,0.6,0.6666666666666666,1.0,0.125,,,0.25,0.25,0.25,1.0,,,,,,,,,1.0,,,,1.0,,0.625,,0.5511625,0.7674,0.7674,0.1111111111111111,0.1111111111111111,,0.05263157894736842,0.05263157894736842,6.3374999999999995,,0.1,,1.0,,,0.06666666666666667,1.0,,0.06666666666666667,,2.0,0.1,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,0.125,True,,,,,,,,,,,,,,,,,,,
2052,1610612751,DeShawn Stevenson,DeShawn Stevenson,2052,NJN,4630.0,77,-44,150,149,6.0,7,13.0,299,,1.0,,,,,,1.0,2.0,,4.0,,,1.0,8.0,,1.0,3.0,1.0,12.0,,5.0,175.0,1.0,1.0,,,2.0,,1.0,,,,2.0,3.0,,,8.0,1.0,,1.0,3.0,4.0,2.0,,,1.0,11.0,,,3.0,8.0,,11.0,,11.0,,1.0,1.0,,1.0,,,,1.0,1.0,,4.0,7.0,1.0,,,,,,,,,,,,,,6.0,,,,,1.0,0.08333333333333333,,0.08333333333333333,0.3333333333333333,1.0,,0.16666666666666666,1.0,,0.16666666666666666,1.0,,0.8,,,9.696969696969697,1.0,,0.1702127659574468,,0.0967741935483871,,0.14102564102564102,,,,,0.1875,0.35714285714285715,0.047619047619047616,0.2,,,0.06666666666666667,,,,,,,0.13333333333333333,0.5,0.5,,0.26666666666666666,,,,0.5333333333333333,0.125,0.125,1.0,,,,,,,0.8666666666666667,0.125,0.5515733333333334,0.4274,0.498175,,,,0.4,,13.533333333333333,24.34166666666667,0.04,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,0.5,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,
101130,1610612751,Johan Petro,Johan Petro,101130,NJN,1046.0,17,17,35,34,6.0,10,7.0,69,,2.0,2.0,,,,,,2.0,,,,,,,,,4.0,,,,,26.0,,2.0,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,4.0,,2.0,4.0,3.0,1.0,8.0,2.0,10.0,1.0,2.0,,2.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,11.11111111111111,1.0,1.0,0.42857142857142855,0.11764705882352941,0.6666666666666666,,0.5384615384615384,0.09523809523809523,,,,0.5,0.4,1.0,0.5,0.25,,0.5,,,,,,,0.5,,,,,,,,,,,,1.0,,,,,,0.5,,0.48877500000000007,0.5792,,,,,,,8.325,,0.17142857142857143,,,,,0.16666666666666666,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
