EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,AtRimAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,PenaltyTurnovers,BlockingFouls,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedLongMidRange,BlockedShortMidRange,3SecondViolations,Defensive 3 Seconds Violations,AtRimPctBlocked,LongMidRangePctBlocked,OffCorner3ReboundPct,LongMidRangeFrequency,SecondChanceAtRimPctAssisted,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,StepOutOfBoundsTurnovers,Charge Fouls,Clear Path Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,Fg3aBlocked,FTOffRebounds,3pt And 1 Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,BlockingFoulsDrawn,HeaveMakes,OffensiveGoaltends,on
101142,1610612748,Ronny Turiaf,Ronny Turiaf,101142,MIA,7595.0,127,3,224,230,57,61,36.0,454,6.0,8.0,2.0,4.0,1.0,3.0,3.0,7.0,1.0,1.0,9.0,15.0,1.0,6.0,24.0,231,3.0,5.0,3.0,9.0,1.0,4.0,1.0,3.0,5.0,10.0,8.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,12.0,10.0,12,1.0,23,14.0,37,1.0,4.0,1.0,3.0,4.0,1.0,3.0,4.0,2.0,9.0,14.0,3.0,9.0,1.0,1.0,1.0,10.0,4.0,1.0,7.0,7.0,7.0,4.0,1.0,5.0,56,1.0,1.0,0.5555555555555556,0.625,0.6,0.6,0.25,0.5625,0.6,0.2,0.5714285714285714,0.6428571428571429,0.35714285714285715,0.0625,0.06666666666666667,0.14285714285714285,9.363295880149813,1.0,0.14285714285714285,0.1643835616438356,0.13953488372093023,0.3448275862068966,0.06451612903225806,0.21568627450980393,0.11965811965811966,0.12903225806451613,0.12,0.16666666666666666,0.1,0.1,0.25,0.17391304347826086,0.3888888888888889,0.2727272727272727,0.2,0.5714285714285714,0.5,0.75,0.75,0.6666666666666666,0.4375,0.42857142857142855,0.5,0.3333333333333333,0.0625,0.8,0.5,0.6,0.3333333333333333,0.2,0.5625,0.5107,0.537925,0.557825,0.2,0.21052631578947367,0.375,0.20833333333333334,4.793333333333334,72.2,0.2544642857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
201202,1610612748,Joel Anthony,Joel Anthony,201202,MIA,26373.0,440,39,795,807,196,158,97.0,1602,22.0,28.0,9.0,10.0,6.0,8.0,11.0,20.0,,,33.0,49.0,,21.0,87.0,834,10.0,13.0,4.0,24.0,8.0,12.0,,8.0,24.0,46.0,20.0,16.0,,6.0,2.0,2.0,,,4.0,13.0,18.0,9.0,29,3.0,41,31.0,72,1.0,10.0,6.0,4.0,5.0,1.0,4.0,17.0,5.0,20.0,33.0,1.0,31.0,3.0,6.0,3.0,31.0,14.0,2.0,22.0,16.0,22.0,18.0,,24.0,196,2.0,2.0,0.696969696969697,0.92,0.673469387755102,0.7692307692307693,0.6666666666666666,0.673469387755102,0.7692307692307693,0.6666666666666666,0.6796875,0.7058823529411765,0.6666666666666666,,0.12244897959183673,,8.86214442013129,0.29411764705882354,0.15,0.10661764705882353,0.07114624505928854,0.08823529411764706,0.11016949152542373,0.10160427807486631,0.08355795148247978,0.11842105263157894,0.07894736842105263,0.0297029702970297,0.09090909090909091,0.08860759493670886,0.17333333333333334,0.07627118644067797,0.07792207792207792,0.12,0.1,0.8181818181818182,0.5714285714285714,0.7857142857142857,0.9565217391304348,0.5909090909090909,0.40816326530612246,0.55,0.55,0.9090909090909091,,0.7692307692307693,0.9,0.6666666666666666,0.75,,0.5714285714285714,0.549361224489796,0.5841125,0.5773333333333334,0.22580645161290322,0.22580645161290322,0.27586206896551724,0.27586206896551724,4.310204081632653,,0.24654088050314465,1.0,2.0,1.0,12.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,5.0,4.0,2.0,0.17857142857142858,1.0,0.14634146341463414,0.02040816326530612,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
201596,1610612748,Mario Chalmers,Mario Chalmers,201596,MIA,39557.0,659,99,1249,1217,383,341,148.0,2466,27.0,47.0,3.0,5.0,6.0,9.0,11.0,27.0,83.0,25.0,47.0,103.0,112.0,43.0,245.0,1216,3.0,12.0,6.0,18.0,12.0,22.0,33.0,14.0,77.0,20.0,74.0,2.0,1.0,6.0,61.0,78.0,13.0,17.0,173.0,2.0,4.0,16.0,40,1.0,57,6.0,63,1.0,28.0,18.0,10.0,25.0,17.0,8.0,51.0,3.0,21.0,67.0,,49.0,,,6.0,53.0,13.0,11.0,5.0,5.0,6.0,4.0,,77.0,383,10.0,6.0,0.2127659574468085,0.21739130434782608,0.4563106796116505,0.25,0.5454545454545454,0.4697674418604651,0.2727272727272727,0.5727272727272728,0.5084745762711864,0.3541666666666667,0.6031746031746031,0.5209302325581395,0.05825242718446602,0.037037037037037035,20.141342756183747,0.49019607843137253,0.02857142857142857,0.09925558312655088,0.010050251256281407,0.09876543209876543,0.01092896174863388,0.09911504424778761,0.010327022375215147,0.02727272727272727,,0.006369426751592357,0.016,0.06451612903225806,0.0967741935483871,0.12903225806451613,0.11206896551724138,0.06521739130434782,0.008333333333333333,0.6666666666666666,0.2186046511627907,0.574468085106383,0.627906976744186,0.2222222222222222,0.12558139534883722,0.4074074074074074,0.4230769230769231,0.09090909090909091,0.386046511627907,0.22727272727272727,0.6,0.16363636363636364,0.6666666666666666,0.45454545454545453,0.7395348837209302,0.5277333333333333,0.5050055555555555,0.4977415094339623,0.06222222222222222,0.11607142857142858,0.07346938775510205,0.3142857142857143,8.27864077669903,25.070535714285718,0.3066453162530024,29.0,31.0,6.0,26.0,2.0,2.0,17.0,2.0,9.0,4.0,,,,,0.0851063829787234,0.034482758620689655,,0.13488372093023257,0.3333333333333333,9.0,12.0,29.0,2.0,5.0,8.0,24.0,2.0,8.0,8.0,36.0,2.0,10.0,13.0,90.0,18.0,82.0,24.0,17.0,11.0,6.0,3.0,2.0,1.0,6.0,1.0,1.0,1.0,0.8333333333333334,0.32142857142857145,0.2,0.3939393939393939,0.32432432432432434,0.3103448275862069,0.32142857142857145,0.3333333333333333,0.13488372093023257,0.41379310344827586,0.41379310344827586,0.9166666666666666,0.2891566265060241,0.2891566265060241,0.7916666666666666,0.09090909090909091,0.36363636363636365,0.25,1.0,0.14545454545454545,0.625,0.32,0.2926829268292683,0.008849557522123894,,,,,,,,,,,,,,,True
2203,1610612748,Shane Battier,Shane Battier,2203,MIA,89926.0,1499,129,2801,2800,777,804,356.0,5601,24.0,46.0,9.0,18.0,5.0,11.0,21.0,51.0,79.0,24.0,51.0,109.0,183.0,23.0,311.0,2819,10.0,26.0,5.0,52.0,9.0,23.0,58.0,15.0,93.0,70.0,32.0,10.0,,8.0,64.0,82.0,10.0,21.0,182.0,17.0,38.0,33.0,56,11.0,100,56.0,156,4.0,64.0,41.0,23.0,23.0,22.0,1.0,37.0,3.0,54.0,105.0,10.0,64.0,9.0,5.0,18.0,37.0,5.0,13.0,33.0,24.0,33.0,15.0,,93.0,776,12.0,12.0,0.6862745098039216,0.7608695652173914,0.46788990825688076,0.38461538461538464,0.391304347826087,0.4931506849315068,0.4519230769230769,0.48148148148148145,0.5016129032258064,0.45614035087719296,0.5,0.6267123287671232,0.07339449541284404,0.058823529411764705,10.793157076205288,0.6216216216216216,0.1111111111111111,0.06133625410733844,0.04021164021164021,0.0873015873015873,0.047619047619047616,0.06893880712625872,0.042242703533026116,0.029801324503311258,0.03202846975088968,0.055248618784530384,0.04424778761061947,0.05802047781569966,0.05925925925925926,0.06571428571428571,0.08571428571428572,0.09183673469387756,0.025,0.45454545454545453,0.15753424657534246,0.5217391304347826,0.5853658536585366,0.7083333333333334,0.17465753424657535,0.4117647058823529,0.4375,0.6666666666666666,0.2705479452054795,0.34615384615384615,0.5,0.13580246913580246,0.45454545454545453,0.2962962962962963,0.7842465753424658,0.5376455479452056,0.543018918918919,0.5383672839506173,0.020202020202020204,0.043859649122807015,0.16720257234726688,0.2990353697749196,6.701834862385323,24.156830601092896,0.2774009282399143,12.0,33.0,7.0,14.0,,3.0,4.0,4.0,2.0,,,9.0,1.0,,0.10869565217391304,,0.05343511450381679,0.0410958904109589,0.2222222222222222,6.0,41.0,104.0,10.0,12.0,34.0,21.0,4.0,16.0,8.0,62.0,9.0,26.0,20.0,183.0,3.0,79.0,21.0,18.0,10.0,8.0,,,,,1.0,,,0.9838709677419355,0.33879781420765026,0.34615384615384615,0.3448275862068966,0.33879781420765026,0.5,0.5,0.6666666666666666,0.3561643835616438,0.3942307692307692,0.4019607843137255,0.975609756097561,0.26582278481012656,0.2727272727272727,1.0,0.19230769230769232,0.3076923076923077,0.25,1.0,0.41975308641975306,0.35294117647058826,0.3333333333333333,0.26582278481012656,0.00546448087431694,5.0,4.0,1.0,1.0,0.02185792349726776,0.019230769230769232,0.02531645569620253,0.011764705882352941,0.5,0.8,,,,,True
2544,1610612748,LeBron James,LeBron James,2544,MIA,56676.0,945,189,1803,1791,697,703,225.0,3594,129.0,180.0,26.0,38.0,47.0,67.0,47.0,107.0,66.0,42.0,251.0,466.0,77.0,187.0,773.0,1790,36.0,57.0,13.0,94.0,89.0,181.0,46.0,97.0,314.0,142.0,360.0,30.0,1.0,14.0,98.0,151.0,17.0,36.0,355.0,16.0,33.0,53.0,91,21.0,165,51.0,216,10.0,46.0,35.0,11.0,53.0,35.0,18.0,81.0,4.0,24.0,46.0,2.0,182.0,2.0,2.0,8.0,243.0,95.0,34.0,24.0,17.0,26.0,15.0,2.0,313.0,696,5.0,27.0,0.28286852589641437,0.3008474576271186,0.5386266094420601,0.631578947368421,0.49171270718232046,0.5395948434622467,0.6328125,0.4779735682819383,0.5913978494623656,0.6458333333333334,0.5491228070175439,0.141804788213628,0.030042918454935622,0.037383177570093455,35.554474708171206,0.654320987654321,0.30434782608695654,0.1657559198542805,0.05892857142857143,0.21285140562248997,0.06451612903225806,0.18045112781954886,0.06064356435643564,0.10227272727272728,0.054878048780487805,0.02727272727272727,0.08176100628930817,0.08875739644970414,0.1712707182320442,0.22613065326633167,0.20218579234972678,0.24242424242424243,0.0423728813559322,0.5769230769230769,0.3314917127071823,0.7166666666666667,0.7543859649122807,0.4108527131782946,0.19705340699815838,0.4392523364485981,0.4563106796116505,0.14893617021276595,0.12154696132596685,0.59375,0.6842105263157895,0.29515418502202645,0.7014925373134329,0.18502202643171806,0.4732965009208103,0.49070674676524945,0.5185990384615387,0.4749475555555554,0.1539708265802269,0.17592592592592593,0.12160413971539456,0.40620957309184996,9.796781115879824,25.766233766233768,0.3865779256794232,179.0,45.0,8.0,28.0,5.0,7.0,33.0,,5.0,21.0,1.0,6.0,,,0.05,0.00558659217877095,0.033707865168539325,0.3296500920810313,0.15384615384615385,75.0,4.0,11.0,1.0,1.0,4.0,24.0,2.0,6.0,12.0,28.0,3.0,7.0,13.0,45.0,39.0,65.0,24.0,53.0,28.0,25.0,1.0,2.0,,6.0,,2.0,1.0,0.5357142857142857,0.36363636363636365,0.42857142857142855,0.2826086956521739,0.3684210526315789,0.41899441340782123,0.42134831460674155,0.14666666666666667,0.020257826887661142,0.36363636363636365,0.36363636363636365,1.0,0.36363636363636365,0.36363636363636365,0.4583333333333333,0.015625,0.09375,0.3333333333333333,1.0,0.01762114537444934,0.25,0.2857142857142857,0.36923076923076925,,1.0,,2.0,,,,,0.03076923076923077,1.0,1.0,1.0,,,,True
2592,1610612748,James Jones,James Jones,2592,MIA,10027.0,167,-2,327,311,127,96,31.0,638,,,,,,,,,11.0,5.0,3.0,9.0,29.0,9.0,39.0,320,1.0,2.0,,2.0,,1.0,11.0,9.0,21.0,4.0,2.0,,,,,,,,,1.0,1.0,2.0,9,,11,2.0,13,,1.0,1.0,,1.0,1.0,,1.0,,2.0,10.0,1.0,8.0,,1.0,1.0,10.0,1.0,3.0,5.0,4.0,5.0,5.0,,21.0,127,1.0,3.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,,0.39473684210526316,0.3333333333333333,0.5,0.4523809523809524,0.3333333333333333,0.625,0.7631578947368421,,,11.78082191780822,1.0,,0.09,0.010638297872340425,0.046511627906976744,0.017543859649122806,0.07692307692307693,0.013245033112582781,,,0.024390243902439025,0.03333333333333333,0.05714285714285714,0.045454545454545456,0.13953488372093023,0.0625,,,1.0,,,,,,,,,0.2894736842105263,,,,,0.4166666666666667,0.7631578947368421,0.5255013157894738,0.41903333333333337,0.5062333333333333,0.02564102564102564,0.1,0.05128205128205128,0.5384615384615384,18.933333333333334,24.134482758620692,0.38837920489296635,9.0,,,,,,1.0,,,,,1.0,,1.0,,,,0.23684210526315788,,3.0,4.0,18.0,1.0,2.0,6.0,4.0,,,2.0,8.0,,1.0,4.0,24.0,,11.0,4.0,,,,,,,2.0,,,,1.0,0.27586206896551724,,0.36363636363636365,0.27586206896551724,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.47368421052631576,0.2222222222222222,0.2222222222222222,1.0,0.36363636363636365,0.36363636363636365,1.0,0.3333333333333333,,,,0.5,0.3333333333333333,0.4,0.36363636363636365,,,,,,,,,,,,,,,,True
202227,1610612748,Terrel Harris,Terrel Harris,202227,MIA,7130.0,119,-4,226,226,37,61,32.0,452,7.0,15.0,1.0,3.0,,1.0,,,9.0,2.0,7.0,16.0,16.0,2.0,22.0,229,1.0,3.0,,2.0,,1.0,3.0,,6.0,10.0,4.0,,,2.0,7.0,8.0,1.0,1.0,17.0,1.0,6.0,5.0,6,,11,7.0,18,1.0,4.0,4.0,,5.0,4.0,1.0,8.0,,5.0,11.0,,4.0,2.0,1.0,,2.0,1.0,,1.0,1.0,1.0,1.0,,6.0,37,,,0.7142857142857143,0.7142857142857143,0.4375,0.3333333333333333,,0.3125,0.25,0.75,0.3333333333333333,0.25,0.75,0.5,0.125,,15.355805243445694,0.625,,0.10344827586206896,0.08108108108108109,0.1724137931034483,0.03225806451612903,0.12643678160919541,0.06666666666666667,0.07142857142857142,0.10526315789473684,0.07407407407407407,0.05263157894736842,,0.1111111111111111,0.21739130434782608,0.12,0.5,0.05263157894736842,1.0,0.46875,0.4666666666666667,0.5384615384615384,0.7142857142857143,,,,,0.28125,0.75,0.3333333333333333,0.25,,0.5,0.96875,0.6035593749999999,0.6452666666666667,0.5401,0.030303030303030304,0.058823529411764705,0.09090909090909091,0.2727272727272727,2.61875,24.50625,0.16371681415929204,1.0,5.0,1.0,3.0,1.0,,2.0,,1.0,,,,,,0.13333333333333333,,,0.03125,1.0,,1.0,7.0,,1.0,1.0,1.0,,1.0,1.0,2.0,,1.0,2.0,6.0,,9.0,1.0,1.0,1.0,,,,,,,,,1.0,0.125,,0.6666666666666666,0.125,,,,0.21875,0.14285714285714285,0.16666666666666666,1.0,0.1111111111111111,0.1111111111111111,1.0,,0.25,,,0.25,1.0,0.5,0.1111111111111111,,,1.0,,,0.0625,0.14285714285714285,,,,,,,,,True
2034,1610612748,Mike Miller,Mike Miller,2034,MIA,24215.0,404,36,747,745,185,183,96.0,1492,8.0,20.0,3.0,7.0,1.0,2.0,2.0,4.0,47.0,10.0,26.0,61.0,64.0,2.0,147.0,756,5.0,10.0,,19.0,4.0,9.0,12.0,,26.0,40.0,12.0,4.0,,3.0,17.0,20.0,5.0,7.0,43.0,,11.0,14.0,46,1.0,61,11.0,72,,8.0,7.0,1.0,14.0,8.0,6.0,23.0,3.0,15.0,31.0,,10.0,,1.0,1.0,5.0,2.0,,2.0,2.0,2.0,,,26.0,185,1.0,,0.7692307692307693,0.8333333333333334,0.4262295081967213,0.5,0.4444444444444444,0.58,0.5588235294117647,0.6190476190476191,0.5787401574803149,0.5588235294117647,0.6190476190476191,0.512,0.04918032786885246,0.25,17.482517482517483,0.6086956521739131,0.045454545454545456,0.19574468085106383,0.044897959183673466,0.13333333333333333,,0.17647058823529413,0.03216374269005848,0.012195121951219513,0.04285714285714286,0.07526881720430108,,0.1746031746031746,0.20481927710843373,0.20224719101123595,0.14285714285714285,0.09523809523809523,,,0.16,0.4,0.4444444444444444,0.75,0.032,0.5,0.6666666666666666,1.0,0.376,0.4117647058823529,0.42857142857142855,0.09523809523809523,0.5,0.47619047619047616,0.672,0.5142221774193548,0.5536374999999999,0.4938274999999999,0.015748031496062992,0.031746031746031744,0.1292517006802721,0.17687074829931973,12.59016393442623,24.843749999999996,0.24765729585006693,37.0,5.0,5.0,9.0,2.0,,3.0,1.0,,,,,1.0,,0.1,,,0.296,0.3333333333333333,16.0,10.0,17.0,,1.0,2.0,21.0,3.0,7.0,5.0,31.0,3.0,7.0,6.0,84.0,9.0,47.0,21.0,3.0,,3.0,1.0,,1.0,1.0,,,,0.9032258064516129,0.484375,0.42857142857142855,0.5,0.484375,0.43243243243243246,0.43243243243243246,0.75,0.136,0.5882352941176471,0.5882352941176471,1.0,0.44680851063829785,0.44680851063829785,0.8571428571428571,,0.4117647058823529,0.42857142857142855,0.6666666666666666,0.09523809523809523,0.5,0.5,0.44680851063829785,,,,,,,,,,,,,,,,True
2547,1610612748,Chris Bosh,Chris Bosh,2547,MIA,44854.0,748,93,1390,1394,261,312,178.0,2784,76.0,112.0,20.0,32.0,12.0,17.0,31.0,78.0,7.0,4.0,148.0,289.0,13.0,99.0,407.0,1399,28.0,47.0,10.0,66.0,16.0,32.0,5.0,18.0,56.0,158.0,138.0,30.0,,17.0,25.0,41.0,4.0,7.0,98.0,12.0,30.0,28.0,74,15.0,117,45.0,162,4.0,20.0,18.0,2.0,17.0,8.0,9.0,43.0,1.0,26.0,56.0,3.0,88.0,,3.0,1.0,122.0,61.0,7.0,11.0,6.0,11.0,9.0,,56.0,260,3.0,4.0,0.5337837837837838,0.5939849624060151,0.5121107266435986,0.5957446808510638,0.5,0.5099337748344371,0.5957446808510638,0.5135135135135135,0.5732394366197183,0.6226415094339622,0.5957446808510638,0.04304635761589404,0.058823529411764705,0.05128205128205128,24.952978056426332,0.3953488372093023,0.3488372093023256,0.15982721382289417,0.061601642710472276,0.14432989690721648,0.07894736842105263,0.1552511415525114,0.06572769953051644,0.1056338028169014,0.06040268456375839,0.030612244897959183,0.08602150537634409,0.12582781456953643,0.15151515151515152,0.19444444444444445,0.16312056737588654,0.09433962264150944,0.03007518796992481,0.8181818181818182,0.3708609271523179,0.6785714285714286,0.7676767676767676,0.4473684210526316,0.2582781456953642,0.3974358974358974,0.4189189189189189,0.3870967741935484,0.023178807947019868,0.6808510638297872,0.625,0.4594594594594595,0.7058823529411765,0.10810810810810811,0.4139072847682119,0.49522516556291396,0.5596868421052632,0.517564864864865,0.1752873563218391,0.18208955223880596,0.16216216216216217,0.1375921375921376,9.268858131487887,24.507692307692306,0.18776978417266188,99.0,14.0,6.0,26.0,4.0,5.0,5.0,1.0,4.0,15.0,1.0,4.0,,3.0,0.11607142857142858,,0.06779661016949153,0.32781456953642385,0.2,41.0,2.0,6.0,,,1.0,2.0,,,2.0,4.0,,,2.0,12.0,,7.0,2.0,16.0,8.0,8.0,,5.0,,1.0,,,,1.0,0.3076923076923077,,0.4,0.3076923076923077,0.41414141414141414,0.41414141414141414,0.8048780487804879,0.019867549668874173,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.2857142857142857,1.0,,,,,0.02702702702702703,,0.5,0.2857142857142857,,,,3.0,,,,,0.06818181818181818,,,,5.0,,,True
2617,1610612748,Udonis Haslem,Udonis Haslem,2617,MIA,56383.0,940,20,1734,1760,471,512,225.0,3494,41.0,85.0,19.0,38.0,12.0,22.0,6.0,24.0,,,89.0,208.0,,54.0,232.0,1749,22.0,47.0,7.0,51.0,24.0,49.0,,22.0,70.0,130.0,48.0,34.0,,25.0,16.0,26.0,1.0,2.0,62.0,13.0,55.0,51.0,142,23.0,216,68.0,284,5.0,22.0,14.0,8.0,16.0,10.0,6.0,33.0,2.0,33.0,74.0,6.0,70.0,9.0,11.0,5.0,65.0,23.0,9.0,13.0,7.0,13.0,7.0,,70.0,471,7.0,8.0,0.7303370786516854,0.9027777777777778,0.42788461538461536,0.46808510638297873,0.4897959183673469,0.42788461538461536,0.46808510638297873,0.4897959183673469,0.48326359832635984,0.49038461538461536,0.5645161290322581,,0.1201923076923077,0.16666666666666666,13.572854291417165,0.48484848484848486,0.3709677419354839,0.24108658743633277,0.0875796178343949,0.204,0.06372549019607843,0.2300357568533969,0.08173076923076923,0.15196078431372548,0.07865168539325842,0.04065040650406504,0.06557377049180328,0.265,0.22857142857142856,0.22897196261682243,0.20540540540540542,0.2,0.054945054945054944,0.5384615384615384,0.40865384615384615,0.4823529411764706,0.6212121212121212,0.4878048780487805,0.11538461538461539,0.25,0.3,0.5,,0.8085106382978723,0.5,0.4489795918367347,0.5454545454545454,,0.40865384615384615,0.48588798076923073,0.5555512195121952,0.4876367346938775,0.1,0.1,0.21982758620689655,0.3017241379310345,9.703365384615385,,0.27162629757785467,99.0,13.0,7.0,17.0,,1.0,11.0,2.0,5.0,1.0,,6.0,,2.0,0.2235294117647059,0.020202020202020204,0.06097560975609756,0.47596153846153844,0.10526315789473684,42.0,,,,,,,,,,,,,,,,,,10.0,6.0,4.0,,4.0,,2.0,,,,,,,,,0.42424242424242425,0.4329896907216495,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,True
