EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,SecondChanceTurnovers,ThreePtShootingFoulsDrawn,BlockedLongMidRange,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,StepOutOfBoundsTurnovers,Technical Free Throw Trips,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3FGM,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,BlockingFoulsDrawn,on,HeaveAttempts,Fg3aBlocked,Charge Fouls,Clear Path Fouls,OffensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,DefensiveGoaltends,HeaveMakes,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,Corner3PctBlocked
101106,1610612749,Andrew Bogut,Andrew Bogut,101106,MIL,21823.0,364.0,19.0,694.0,691,115.0,132.0,78.0,1385,38.0,56.0,6.0,11.0,8.0,10.0,18.0,68.0,5.0,11.0,1.0,1.0,61.0,135.0,1.0,14.0,136.0,666.0,8.0,18.0,2.0,18.0,11.0,20.0,1.0,5.0,27.0,72.0,50.0,10.0,1.0,4.0,23.0,8.0,31.0,6.0,2.0,15.0,3.0,5.0,70.0,5.0,17.0,24.0,52.0,2.0,78.0,22.0,100.0,4.0,12.0,8.0,4.0,8.0,6.0,5.0,16.0,5.0,3.0,2.0,24.0,6.0,17.0,1.0,36.0,5.0,2.0,45.0,1.0,3.0,10.0,23.0,3.0,11.0,2.0,24.0,21.0,3.0,24.0,17.0,1.0,3.0,27.0,113.0,4.0,1.0,0.5901639344262295,0.6428571428571429,0.45185185185185184,0.4444444444444444,0.55,0.4485294117647059,0.4444444444444444,0.5238095238095238,0.4657534246575342,0.47368421052631576,0.5869565217391305,0.007352941176470588,0.02962962962962963,0.05357142857142857,0.014705882352941176,21.683673469387756,0.3333333333333333,0.15384615384615385,0.1984732824427481,0.06854838709677419,0.2857142857142857,0.05102040816326531,0.21965317919075145,0.06358381502890173,0.10810810810810811,0.052083333333333336,0.05128205128205128,0.04054054054054054,0.08333333333333333,0.21176470588235294,0.17204301075268819,0.21428571428571427,0.3,0.25,0.05714285714285714,0.7083333333333334,0.4117647058823529,0.6785714285714286,0.7169811320754716,0.7105263157894737,0.5,0.2647058823529412,0.26865671641791045,0.3333333333333333,0.08088235294117647,0.45454545454545453,0.45454545454545453,0.6,0.007352941176470588,0.6111111111111112,0.5454545454545454,0.16666666666666666,0.47619047619047616,0.8,0.047619047619047616,0.41911764705882354,0.48403713235294127,0.55881875,0.5025547619047618,0.0763888888888889,0.07692307692307693,0.1323529411764706,0.19852941176470587,5.889629629629629,26.3,0.16570605187319884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
101141,1610612749,Ersan Ilyasova,Ersan Ilyasova,101141,MIL,9906.0,165.0,1.0,320.0,320,49.0,80.0,36.0,640,8.0,15.0,3.0,5.0,1.0,1.0,2.0,7.0,7.0,13.0,8.0,2.0,17.0,35.0,9.0,5.0,51.0,323.0,4.0,7.0,2.0,10.0,5.0,6.0,2.0,,13.0,22.0,12.0,6.0,8.0,5.0,5.0,3.0,8.0,,3.0,3.0,1.0,1.0,19.0,6.0,5.0,8.0,23.0,3.0,34.0,11.0,45.0,1.0,8.0,5.0,3.0,7.0,,5.0,4.0,1.0,2.0,1.0,11.0,1.0,6.0,,11.0,1.0,2.0,11.0,,1.0,2.0,7.0,1.0,4.0,,4.0,3.0,1.0,4.0,2.0,,,13.0,49.0,1.0,,0.6470588235294118,0.7857142857142857,0.4857142857142857,0.5714285714285714,0.8333333333333334,0.5227272727272727,0.5714285714285714,0.8125,0.5425531914893617,0.625,0.8125,0.20454545454545456,0.14285714285714285,0.26666666666666666,0.14285714285714285,15.977961432506888,0.6363636363636364,0.5,0.18548387096774194,0.045454545454545456,0.22857142857142856,0.13333333333333333,0.1949685534591195,0.07096774193548387,0.03225806451612903,0.02040816326530612,0.1,0.08823529411764706,0.2727272727272727,0.23076923076923078,0.20930232558139536,0.11904761904761904,0.2222222222222222,0.25,0.05555555555555555,0.5,0.3409090909090909,0.5333333333333333,0.7272727272727273,0.5,0.1590909090909091,0.2857142857142857,0.3333333333333333,0.5,0.29545454545454547,0.5384615384615384,0.5384615384615384,0.8571428571428571,0.18181818181818182,0.7142857142857143,0.6,,0.125,1.0,0.25,0.5454545454545454,0.5124545454545454,0.550825,0.48976875000000003,0.0851063829787234,0.10526315789473684,0.19607843137254902,0.2549019607843137,8.717142857142857,25.288888888888884,0.153125,1.0,1.0,3.0,1.0,4.0,1.0,12.0,3.0,1.0,0.4444444444444444,0.5,0.4444444444444444,0.022727272727272728,1.0,1.0,1.0,0.375,0.375,1.0,0.5,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1536,1610612749,Stephen Jackson,Stephen Jackson,1536,MIL,12931.0,216.0,2.0,409.0,404,69.0,87.0,42.0,813,12.0,20.0,2.0,4.0,4.0,4.0,4.0,10.0,6.0,18.0,25.0,9.0,22.0,48.0,29.0,14.0,91.0,408.0,2.0,4.0,,7.0,4.0,6.0,9.0,2.0,28.0,30.0,14.0,,25.0,3.0,20.0,5.0,25.0,3.0,2.0,16.0,3.0,1.0,55.0,,6.0,3.0,14.0,4.0,21.0,6.0,27.0,2.0,11.0,6.0,5.0,12.0,3.0,8.0,7.0,1.0,4.0,,19.0,4.0,9.0,,22.0,2.0,3.0,18.0,,,3.0,14.0,1.0,5.0,1.0,3.0,2.0,,3.0,2.0,,,28.0,67.0,3.0,1.0,0.6818181818181818,0.6818181818181818,0.4583333333333333,0.5,0.6666666666666666,0.5,0.4375,0.8666666666666667,0.5481927710843374,0.4375,0.875,0.37662337662337664,0.0625,0.05,0.1,22.31947483588621,0.631578947368421,0.4,0.0915032679738562,0.043478260869565216,0.06818181818181818,,0.08629441624365482,0.030612244897959183,0.07142857142857142,0.06,,,,0.04081632653061224,0.08163265306122448,0.14545454545454545,0.06666666666666667,0.07142857142857142,0.04878048780487805,0.6666666666666666,0.2597402597402597,0.6,0.631578947368421,0.6666666666666666,0.12987012987012986,0.4,0.4444444444444444,0.25,0.23376623376623376,0.3333333333333333,0.35294117647058826,1.0,0.3246753246753247,0.5,0.5,1.0,0.26666666666666666,1.0,0.6,0.6363636363636364,0.5259915584415585,0.55994,0.5578733333333333,0.07317073170731707,0.09615384615384616,0.07692307692307693,0.3076923076923077,9.437499999999998,25.255172413793108,0.1687041564792176,1.0,4.0,10.0,6.0,11.0,6.0,24.0,10.0,0.7272727272727273,0.3793103448275862,0.6666666666666666,0.3793103448275862,0.05194805194805195,0.25,0.25,1.0,0.4,0.4,0.7,0.6666666666666666,0.4,1.0,4.0,1.0,4.0,9.0,2.0,1.0,1.0,0.25,0.05555555555555555,0.5,0.25,1.0,0.03333333333333333,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
201943,1610612749,Brandon Jennings,Brandon Jennings,201943,MIL,19187.0,320.0,5.0,612.0,612,108.0,127.0,68.0,1224,27.0,45.0,2.0,3.0,2.0,4.0,10.0,28.0,9.0,26.0,41.0,6.0,46.0,99.0,49.0,28.0,162.0,589.0,4.0,11.0,,17.0,5.0,19.0,7.0,14.0,33.0,34.0,58.0,,41.0,13.0,42.0,8.0,50.0,5.0,3.0,19.0,12.0,11.0,108.0,1.0,5.0,3.0,14.0,,17.0,6.0,23.0,1.0,8.0,2.0,6.0,11.0,3.0,7.0,11.0,1.0,4.0,3.0,22.0,2.0,3.0,,12.0,,1.0,19.0,,,,32.0,1.0,10.0,3.0,4.0,,2.0,4.0,3.0,,,29.0,106.0,4.0,,0.3695652173913043,0.3695652173913043,0.46464646464646464,0.36363636363636365,0.2631578947368421,0.4527027027027027,0.4722222222222222,0.36538461538461536,0.4875,0.4722222222222222,0.4838709677419355,0.3310810810810811,0.13131313131313133,0.15555555555555556,0.21428571428571427,26.231884057971012,0.5,,0.05982905982905983,0.022935779816513763,0.04285714285714286,0.011111111111111112,0.05592105263157895,0.01948051948051948,0.015384615384615385,0.03488372093023256,0.014925373134328358,0.014705882352941176,,0.013333333333333334,0.07407407407407407,0.08974358974358974,0.04,0.05,0.0136986301369863,0.75,0.30405405405405406,0.6,0.7105263157894737,0.5185185185185185,0.1891891891891892,0.35714285714285715,0.45454545454545453,0.3,0.17567567567567569,0.34615384615384615,0.34615384615384615,,0.27702702702702703,0.16666666666666666,0.6666666666666666,0.5,0.15384615384615385,0.5,0.23076923076923078,0.6351351351351351,0.5364571428571429,0.5162961538461539,0.4640538461538461,0.06369426751592357,0.09259259259259259,0.10493827160493827,0.2037037037037037,7.897979797979798,25.287755102040823,0.17647058823529413,2.0,8.0,12.0,3.0,14.0,3.0,21.0,12.0,0.5,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.05405405405405406,0.25,0.25,1.0,0.2926829268292683,0.2926829268292683,0.4166666666666667,0.5,0.2926829268292683,2.0,4.0,3.0,7.0,21.0,1.0,,2.0,0.42857142857142855,,0.2222222222222222,0.5,0.5,,1.0,3.0,1.0,1.0,7.0,0.16666666666666666,0.3333333333333333,1.0,0.038461538461538464,,,,,,True,,,,,,,,,,,,,,
202699,1610612749,Tobias Harris,Tobias Harris,202699,MIL,2165.0,36.0,8.0,66.0,63,17.0,7.0,12.0,129,6.0,8.0,,1.0,1.0,2.0,,2.0,,,,,6.0,10.0,1.0,2.0,14.0,59.0,,1.0,1.0,1.0,1.0,3.0,,,2.0,10.0,2.0,,,1.0,,,,,,,,,,,5.0,,1.0,,1.0,5.0,6.0,,,,,1.0,,,1.0,,1.0,,2.0,,1.0,,4.0,,1.0,4.0,,,,4.0,,2.0,,1.0,1.0,,1.0,,,,2.0,17.0,1.0,,0.8333333333333334,0.8333333333333334,0.6,,0.3333333333333333,0.5454545454545454,,0.3333333333333333,0.5384615384615384,0.25,0.3333333333333333,0.09090909090909091,0.1,0.125,,18.75,0.5,,0.041666666666666664,0.22727272727272727,,,0.02631578947368421,0.16129032258064516,0.2,0.25,0.25,,,0.1,,,,,,,0.7272727272727273,0.75,0.8571428571428571,0.8333333333333334,0.18181818181818182,,,,,,,,,1.0,,,0.6666666666666666,0.5,,0.8181818181818182,0.5859818181818182,0.6422,0.5323333333333333,0.15384615384615385,0.16666666666666666,0.07142857142857142,0.14285714285714285,2.3899999999999997,23.9,0.25757575757575757,,1.0,,,,,,,,,,,0.09090909090909091,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2399,1610612749,Mike Dunleavy,Mike Dunleavy,2399,MIL,5389.0,90.0,10.0,180.0,177,37.0,24.0,24.0,357,2.0,5.0,,1.0,1.0,1.0,1.0,2.0,2.0,5.0,10.0,5.0,5.0,12.0,15.0,10.0,32.0,151.0,,2.0,4.0,4.0,1.0,1.0,6.0,3.0,11.0,8.0,2.0,,10.0,,6.0,2.0,8.0,2.0,,4.0,1.0,1.0,18.0,,3.0,3.0,7.0,,10.0,3.0,13.0,,4.0,4.0,,2.0,1.0,2.0,3.0,,,1.0,5.0,1.0,2.0,,4.0,,1.0,10.0,,2.0,1.0,13.0,2.0,5.0,1.0,,,,,,,,11.0,37.0,,1.0,0.8,0.8,0.4166666666666667,,1.0,0.4074074074074074,,0.5714285714285714,0.5,0.3333333333333333,0.6111111111111112,0.5555555555555556,,,,17.788461538461537,0.4,,0.09859154929577464,0.04225352112676056,0.1111111111111111,,0.10204081632653061,0.02912621359223301,0.047619047619047616,0.06896551724137931,,,,0.058823529411764705,0.13043478260869565,0.0967741935483871,0.13043478260869565,,,,0.18518518518518517,0.4,0.4,0.5,0.07407407407407407,0.5,0.5,1.0,0.18518518518518517,0.4,0.4,1.0,0.37037037037037035,0.25,,,0.14285714285714285,1.0,0.7142857142857143,0.7407407407407407,0.5480592592592592,0.5383,0.5686,0.1935483870967742,0.3333333333333333,0.125,0.34375,10.174999999999999,25.18,0.20555555555555555,3.0,5.0,1.0,1.0,4.0,2.0,12.0,1.0,1.0,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.18518518518518517,0.6,0.6,1.0,0.1,0.1,1.0,0.2,0.1,,2.0,,2.0,,,1.0,,,,0.5,,,0.0625,,,1.0,,,,,,0.14285714285714285,1.0,1.0,,,,True,,,,,,,,,,,,,,
2568,1610612749,Carlos Delfino,Carlos Delfino,2568,MIL,13488.0,225.0,14.0,426.0,423,45.0,76.0,37.0,849,8.0,14.0,,1.0,,,1.0,2.0,2.0,13.0,21.0,3.0,11.0,29.0,34.0,3.0,64.0,409.0,,2.0,,6.0,,,5.0,,3.0,10.0,12.0,,21.0,3.0,13.0,,13.0,,,9.0,1.0,3.0,26.0,1.0,1.0,8.0,20.0,,28.0,3.0,31.0,,9.0,6.0,3.0,4.0,2.0,4.0,3.0,,,,7.0,,5.0,1.0,17.0,1.0,1.0,10.0,,,3.0,4.0,,2.0,,4.0,2.0,1.0,4.0,2.0,,,3.0,43.0,5.0,,0.45454545454545453,0.45454545454545453,0.3793103448275862,,,0.48412698412698413,0.5,0.3,0.49230769230769234,0.5,0.3,0.5396825396825397,0.10344827586206896,0.14285714285714285,0.5,15.286624203821656,0.5714285714285714,,0.125,0.006622516556291391,0.17391304347826086,0.019230769230769232,0.13592233009708737,0.009852216748768473,,0.01818181818181818,,0.02702702702702703,,0.0847457627118644,0.1,0.21951219512195122,0.2222222222222222,0.10526315789473684,,0.5,0.2222222222222222,0.5714285714285714,0.6666666666666666,0.5,0.031746031746031744,0.5,1.0,,0.20634920634920634,0.15384615384615385,0.15384615384615385,0.5,0.3333333333333333,0.16666666666666666,,,,,0.6,0.7619047619047619,0.5299801587301587,0.5553,0.48294000000000004,0.03076923076923077,0.06451612903225806,0.09375,0.046875,9.6,24.80588235294118,0.1056338028169014,5.0,13.0,8.0,1.0,13.0,1.0,33.0,8.0,0.8461538461538461,0.38235294117647056,0.2,0.38235294117647056,0.20634920634920634,0.38461538461538464,0.38461538461538464,1.0,0.38095238095238093,0.38095238095238093,0.75,0.3333333333333333,0.38095238095238093,2.0,3.0,2.0,4.0,6.0,,,1.0,0.5,,0.5,0.6666666666666666,1.0,,,1.0,2.0,,,0.16666666666666666,,,0.4,,,1.0,0.14285714285714285,,True,,,,,,,,,,,,,,
2733,1610612749,Shaun Livingston,Shaun Livingston,2733,MIL,8479.0,141.0,10.0,262.0,268,48.0,52.0,30.0,530,9.0,11.0,3.0,3.0,2.0,2.0,12.0,18.0,1.0,7.0,,,22.0,36.0,,6.0,50.0,260.0,4.0,4.0,,8.0,4.0,6.0,,1.0,9.0,32.0,12.0,2.0,,,13.0,5.0,18.0,4.0,1.0,8.0,2.0,3.0,41.0,2.0,1.0,1.0,5.0,1.0,7.0,3.0,10.0,1.0,4.0,4.0,,4.0,2.0,4.0,6.0,1.0,,1.0,10.0,4.0,5.0,,11.0,1.0,2.0,10.0,,,1.0,8.0,2.0,5.0,,1.0,1.0,,1.0,1.0,,,9.0,48.0,,,0.7272727272727273,0.7619047619047619,0.6111111111111112,1.0,0.6666666666666666,0.6111111111111112,1.0,0.6666666666666666,0.6410256410256411,1.0,0.75,,,,,16.666666666666668,0.4,0.25,0.04672897196261682,0.010869565217391304,0.03125,0.05263157894736842,0.04316546762589928,0.023076923076923078,0.041666666666666664,,,0.037037037037037035,0.09090909090909091,0.1,0.022727272727272728,0.030303030303030304,0.04,,0.07142857142857142,1.0,0.3055555555555556,0.8181818181818182,0.8181818181818182,0.8888888888888888,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.19444444444444445,0.14285714285714285,0.14285714285714285,,,0.75,1.0,0.6666666666666666,0.3333333333333333,1.0,,0.3055555555555556,0.46507222222222233,0.6328,0.4712166666666667,0.1282051282051282,0.1282051282051282,0.16,0.18,7.927777777777779,,0.183206106870229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,
2757,1610612749,Beno Udrih,Beno Udrih,2757,MIL,3878.0,65.0,12.0,125.0,121,21.0,12.0,16.0,246,2.0,4.0,,1.0,,,3.0,4.0,4.0,6.0,6.0,2.0,9.0,14.0,8.0,4.0,28.0,116.0,,2.0,,3.0,,1.0,2.0,,3.0,16.0,2.0,,6.0,1.0,5.0,1.0,6.0,1.0,,3.0,2.0,,13.0,,3.0,2.0,2.0,,4.0,3.0,7.0,,,,,6.0,,3.0,,,3.0,,6.0,,2.0,,3.0,,,3.0,,,1.0,4.0,,2.0,,,,,,,,,3.0,21.0,,,0.8888888888888888,0.8888888888888888,0.6428571428571429,,,0.5454545454545454,0.5,0.5,0.5833333333333334,0.5,0.5,0.36363636363636365,0.07142857142857142,0.25,,20.833333333333336,1.0,,0.05128205128205128,0.06382978723404255,0.1111111111111111,,0.07017543859649122,0.046875,0.21428571428571427,,,,,0.058823529411764705,0.07142857142857142,,0.07142857142857142,0.25,,,0.18181818181818182,0.5,0.6666666666666666,0.5,0.18181818181818182,0.75,0.75,1.0,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,0.2727272727272727,0.3333333333333333,,,,,0.6666666666666666,0.5454545454545454,0.4813749999999999,0.40176666666666666,0.3745,0.08333333333333333,0.125,0.10714285714285714,0.10714285714285714,11.0,25.125,0.168,,2.0,2.0,1.0,2.0,1.0,6.0,2.0,1.0,0.25,0.5,0.25,0.09090909090909091,,,,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,,1.0,,,1.0,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
201601,1610612749,Luc Mbah a Moute,Luc Mbah a Moute,201601,MIL,3932.0,66.0,7.0,124.0,124,32.0,28.0,16.0,248,7.0,10.0,1.0,1.0,2.0,2.0,,,1.0,7.0,,,8.0,17.0,,2.0,18.0,98.0,1.0,2.0,,2.0,2.0,2.0,,2.0,6.0,14.0,2.0,2.0,,2.0,,1.0,1.0,,1.0,,,,3.0,,5.0,4.0,8.0,1.0,13.0,5.0,18.0,,2.0,,2.0,2.0,,,2.0,1.0,2.0,,4.0,2.0,1.0,,8.0,2.0,,1.0,,,,2.0,,,1.0,2.0,1.0,,2.0,1.0,,,6.0,32.0,2.0,1.0,0.875,1.0,0.47058823529411764,0.5,1.0,0.47058823529411764,0.5,1.0,0.5,0.5,1.0,,0.11764705882352941,0.2,,15.714285714285715,0.5,0.25,0.1568627450980392,0.10869565217391304,0.16,,0.15789473684210525,0.07692307692307693,0.3,0.11764705882352941,,,,0.10526315789473684,0.26666666666666666,0.11764705882352941,0.15789473684210525,0.16666666666666666,,0.5,0.5882352941176471,0.7,0.875,0.8571428571428571,,,,,0.4117647058823529,0.14285714285714285,0.14285714285714285,1.0,,0.5,1.0,,1.0,1.0,,0.5882352941176471,0.5340588235294118,0.52875,0.58465,,,0.1111111111111111,0.3333333333333333,8.370588235294118,,0.25806451612903225,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,
