EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Turnovers,OffensiveGoaltends,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG3A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,DefTwoPtRebounds,BadPassSteals,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyOffPossPct,NonShootingPenaltyNonTakeFouls,DefLongMidRangeReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,FtPoints,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Offensive Fouls,PtsPutbacks,SelfOReb,SecondChanceTurnovers,OffShortMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,Charge Fouls,BlockedLongMidRange,StepOutOfBoundsTurnovers,on,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,HeaveAttempts,Fg3aBlocked,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,DefensiveGoaltends,LostBallOutOfBoundsTurnovers,Defensive 3 Seconds Violations
1627884,1610612741,Derrick Jones Jr.,Derrick Jones Jr.,1627884,CHI,1266.0,21,4.0,43,42,7.0,3.0,85,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,5.0,35,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.6,0.5,0.5,16.3265306122449,0.1111111111111111,0.09090909090909091,0.07692307692307693,0.047619047619047616,0.09090909090909091,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.4,0.5,1.0,1.0,0.6,0.3333333333333333,0.3333333333333333,1.0,1.0,0.59385,1.6,23.066666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1627936,1610612741,Alex Caruso,Alex Caruso,1627936,CHI,6806.0,113,-22.0,231,230,35.0,17.0,461,2.0,3.0,3.0,9.0,2.0,5.0,7.0,18.0,25.0,249,4.0,15.0,1.0,4.0,17.0,1.0,38.0,1.0,1.0,5.0,9.0,2.0,11.0,5.0,2.0,1.0,1.0,,1.0,,1.0,1.0,0.7142857142857143,0.3888888888888889,0.3888888888888889,0.4,0.5434782608695652,0.5434782608695652,0.782608695652174,0.2,0.3333333333333333,9.523809523809524,0.015151515151515152,0.09090909090909091,0.01694915254237288,0.08571428571428572,0.016,,0.023809523809523808,0.08695652173913043,0.13043478260869565,0.6666666666666666,1.0,1.0,0.391304347826087,0.3333333333333333,0.3333333333333333,1.0,0.9130434782608695,0.5655782608695652,4.94,24.522222222222222,20.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,9.0,4.0,13.0,3.0,7.0,1.0,5.0,4.0,3.0,1.0,5.0,11.0,1.0,8.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,20.0,1.0,0.3333333333333333,0.3333333333333333,0.08,0.03571428571428571,0.06666666666666667,0.15,0.1111111111111111,0.5,0.043478260869565216,0.043478260869565216,0.391304347826087,0.4444444444444444,0.4444444444444444,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.4444444444444444,0.7251,0.5541,0.08,0.08658008658008658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1629632,1610612741,Coby White,Coby White,1629632,CHI,915.0,15,-6.0,30,33,3.0,2.0,63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,28,2.0,3.0,,1.0,2.0,,5.0,,,2.0,3.0,,3.0,,,,,,,,1.0,1.0,1.0,0.25,0.25,1.0,0.5,0.5,0.8,,,14.285714285714286,,0.2222222222222222,,0.1875,,,,0.3333333333333333,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.60022,1.1,26.2,2.0,,,,,,,,3.0,,,,,,,,,3.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,2.0,,,,0.14285714285714285,,,,,,,,0.6,,,,,,,,,,,,,,,0.06666666666666667,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
201942,1610612741,DeMar DeRozan,DeMar DeRozan,201942,CHI,6088.0,101,-19.0,208,202,25.0,17.0,410,6.0,6.0,,1.0,25.0,50.0,,5.0,64.0,226,8.0,,4.0,7.0,9.0,1.0,25.0,1.0,,7.0,17.0,1.0,18.0,6.0,,1.0,1.0,,5.0,,0.16,0.16,,,,0.5,0.45454545454545453,0.5245901639344263,0.09090909090909091,0.08,,28.820960698689955,,0.15217391304347827,0.019230769230769232,0.17391304347826086,0.008695652173913044,,,0.175,0.10909090909090909,1.0,1.0,,0.01818181818181818,,,,0.2,0.46331,13.874,25.54,18.0,1.0,1.0,13.0,31.0,,,,4.0,1.0,,1.0,4.0,1.0,4.0,,,4.0,,2.0,6.0,1.0,1.0,,9.0,6.0,,3.0,4.0,,17.0,1.0,2.0,1.0,,1.0,2.0,1.0,18.0,0.25,0.2,0.3333333333333333,0.1956521739130435,,0.07142857142857142,0.29411764705882354,,0.5,0.23636363636363636,0.5636363636363636,0.07272727272727272,,,,0.2,1.0,,,0.2,,,,0.44165000000000004,0.46617999999999993,0.0625,0.08653846153846154,,0.2,1.0,1.0,3.0,16.0,14.0,2.0,2.0,5.0,4.0,8.0,42.0,1.0,4.0,2.0,2.0,1.0,14.0,2.0,7.0,1.0,1.0,1.0,8.0,1.0,0.4,0.4,0.5714285714285714,0.15384615384615385,0.06451612903225806,0.8,0.125,0.0625,0.23076923076923078,0.2727272727272727,0.5161290322580645,0.5517241379310345,0.25,0.2,1.0,0.11666666666666667,0.12727272727272726,0.125,,,,,,,,,,,True,,,,,,,,,,,,,,,,
202684,1610612741,Tristan Thompson,Tristan Thompson,202684,CHI,362.0,6,-8.0,13,14,,,27,,,,,,1.0,,,,17,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,15.384615384615383,,,,,,,,,,,,,,,,,,0.3673,8.1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,
202696,1610612741,Nikola Vucevic,Nikola Vucevic,202696,CHI,6327.0,105,-16.0,214,213,35.0,17.0,427,6.0,14.0,,2.0,18.0,34.0,8.0,26.0,63.0,230,30.0,24.0,1.0,2.0,8.0,,18.0,5.0,5.0,11.0,26.0,10.0,36.0,2.0,,,4.0,1.0,5.0,,0.8333333333333334,0.8823529411764706,1.0,0.3076923076923077,0.3076923076923077,0.5294117647058824,0.5,0.5163934426229508,0.43333333333333335,0.029411764705882353,,28.085106382978722,0.08196721311475409,0.22,0.08928571428571429,0.2553191489361702,0.08547008547008547,0.23529411764705882,0.10256410256410256,0.23809523809523808,0.23333333333333334,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.03333333333333333,,,,0.6666666666666666,0.5166566666666667,8.244117647058822,26.184615384615384,20.0,1.0,6.0,9.0,11.0,,,8.0,24.0,,3.0,1.0,7.0,,3.0,3.0,,24.0,8.0,6.0,2.0,3.0,,3.0,13.0,2.0,,2.0,5.0,,5.0,2.0,,3.0,2.0,1.0,3.0,1.0,20.0,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.29545454545454547,,0.2857142857142857,0.25,0.125,0.3333333333333333,0.15,0.18333333333333332,0.4,0.3333333333333333,0.3333333333333333,1.0,0.8571428571428571,0.16666666666666666,,,,,0.6,0.3333333333333333,0.5282,0.52362,0.047619047619047616,0.09345794392523364,,0.35714285714285715,1.0,1.0,7.0,5.0,3.0,1.0,2.0,2.0,2.0,6.0,6.0,2.0,1.0,,1.0,,3.0,1.0,2.0,,,,6.0,,1.0,0.4,0.5,0.1111111111111111,,0.2,0.2,0.058823529411764705,0.7777777777777778,0.875,0.45454545454545453,0.45454545454545453,1.0,0.2,1.0,0.03278688524590164,0.05714285714285714,0.09523809523809523,3.0,2.0,4.0,1.0,0.0625,0.12121212121212122,0.8571428571428571,,,,True,,,,,,,,,,,,,,,,
203897,1610612741,Zach LaVine,Zach LaVine,203897,CHI,6247.0,104,-19.0,212,212,35.0,14.0,424,5.0,10.0,1.0,2.0,10.0,25.0,8.0,20.0,48.0,230,10.0,24.0,3.0,5.0,17.0,1.0,39.0,,,9.0,14.0,,14.0,2.0,1.0,1.0,4.0,2.0,8.0,,0.5,0.5,1.0,0.4,0.4,0.4,0.4888888888888889,0.5106382978723404,0.4444444444444444,0.12,0.2,24.229074889867842,,0.17307692307692307,,0.1326530612244898,,,,0.13953488372093023,0.2222222222222222,0.5,0.625,0.4,0.044444444444444446,0.5,0.5,1.0,0.6666666666666666,0.5095822222222223,9.388,26.77,20.0,1.0,1.0,6.0,9.0,,,7.0,18.0,,1.0,1.0,1.0,,2.0,1.0,,18.0,7.0,12.0,4.0,3.0,4.0,5.0,4.0,1.0,1.0,3.0,7.0,2.0,5.0,,,1.0,,,1.0,1.0,20.0,1.0,1.0,1.0,0.08695652173913043,,0.07142857142857142,0.1,0.3333333333333333,1.0,0.13333333333333333,0.2,0.4,0.3888888888888889,0.3888888888888889,1.0,1.0,1.0,,,,,0.3333333333333333,0.3888888888888889,,0.6113166666666667,0.041666666666666664,0.09433962264150944,1.0,0.08333333333333333,1.0,2.0,1.0,4.0,4.0,,1.0,2.0,4.0,6.0,10.0,1.0,4.0,2.0,2.0,,4.0,,1.0,1.0,,,6.0,1.0,0.5,0.3333333333333333,0.6,0.16666666666666666,,0.5,0.1,,0.16666666666666666,0.2,0.4444444444444444,0.4444444444444444,0.5,0.6666666666666666,0.5,0.021739130434782608,0.038461538461538464,0.125,,,,,,,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,
1629750,1610612741,Javonte Green,Javonte Green,1629750,CHI,1025.0,17,9.0,36,37,5.0,3.0,73,1.0,2.0,,,1.0,2.0,,,2.0,33,2.0,,1.0,,,,,,1.0,2.0,4.0,1.0,5.0,,,,,,,,1.0,1.0,,,,0.5,0.5,0.5,,0.5,0.5,5.128205128205128,0.1111111111111111,0.16666666666666666,,0.2,0.07692307692307693,,,0.25,1.0,0.5,1.0,1.0,,,,,1.0,0.5640000000000001,2.2,,4.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,,,,0.25,0.3333333333333333,,0.3333333333333333,,,,,,,,,1.0,,,,,,,,0.587,,,0.1111111111111111,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1630245,1610612741,Ayo Dosunmu,Ayo Dosunmu,1630245,CHI,362.0,6,,12,13,7.0,1.0,25,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1630172,1610612741,Patrick Williams,Patrick Williams,1630172,CHI,4632.0,77,-33.0,156,154,23.0,11.0,310,4.0,6.0,,5.0,6.0,11.0,,8.0,15.0,183,12.0,,2.0,3.0,4.0,2.0,11.0,1.0,1.0,4.0,10.0,2.0,12.0,3.0,,1.0,2.0,,2.0,,1.0,1.0,,,,0.5454545454545454,0.3157894736842105,0.35714285714285715,0.42105263157894735,0.18181818181818182,0.3333333333333333,13.690476190476192,0.020833333333333332,0.11764705882352941,0.023255813953488372,0.1323529411764706,0.02197802197802198,,0.03333333333333333,0.12903225806451613,0.3157894736842105,0.6666666666666666,1.0,1.0,0.2631578947368421,,,,0.7368421052631579,0.5603578947368422,7.763636363636365,24.0125,16.0,,,1.0,4.0,,,,3.0,2.0,2.0,,,2.0,,2.0,,3.0,,1.0,1.0,1.0,,,5.0,3.0,,6.0,7.0,1.0,3.0,,,1.0,,1.0,1.0,1.0,16.0,,,,0.14705882352941177,,0.2,0.07142857142857142,,1.0,0.05263157894736842,0.21052631578947367,0.15789473684210525,,,,,,,,1.0,,1.0,,0.54795,0.523125,,0.10256410256410256,,0.2,,,,2.0,3.0,,,,,,,1.0,,,,1.0,4.0,,2.0,,,,,,,,,,,,0.125,,,,0.5,0.5,1.0,,,0.09523809523809523,0.15384615384615385,,,,,,0.058823529411764705,,,,,1.0,True,,,,,,,,,,,,,,,,
