EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,SelfOReb,BadPassSteals,ShootingFouls,2pt And 1 Free Throw Trips,RecoveredBlocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceArc3FGM,PenaltyArc3FGM,PtsUnassisted3s,Fg3aBlocked,FTDefRebounds,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,LongMidRangeFGM,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls Drawn,Corner3PctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Charge Fouls,Technical Free Throw Trips,BlockedCorner3,LongMidRangePctAssisted,OffAtRimReboundPct,OffLongMidRangeReboundPct,Offensive Fouls,FTOffRebounds,OffFTReboundPct,OffCorner3ReboundPct,on,HeaveAttempts,Travels,BlockedLongMidRange,OffensiveGoaltends,LongMidRangePctBlocked,Defensive 3 Seconds Violations,DefensiveGoaltends,3SecondViolations
1628389,1610612748,Bam Adebayo,Bam Adebayo,1628389,MIA,4129.0,69,8,127,129,33,25,15,256,5.0,7.0,2.0,3.0,1.0,1.0,4.0,9.0,3.0,9.0,19.0,9.0,27.0,127,2.0,4.0,1.0,5.0,2.0,5.0,1.0,5.0,8.0,10.0,2.0,2.0,7.0,6.0,13.0,4.0,2.0,3.0,2.0,2.0,32.0,2.0,2.0,10.0,6.0,16.0,4.0,20.0,3.0,3.0,6.0,1.0,1.0,1.0,5.0,7.0,2.0,5.0,2.0,9.0,1.0,12.0,5.0,1.0,3.0,2.0,1.0,3.0,5.0,33,1.0,1.0,0.4444444444444444,0.5,0.47368421052631576,0.5,0.4,0.47368421052631576,0.5,0.4,0.54,0.5,0.4166666666666667,0.10526315789473684,0.14285714285714285,0.1111111111111111,22.37762237762238,0.8571428571428571,0.16216216216216217,0.08,0.3125,0.05714285714285714,0.2318840579710145,0.06666666666666667,0.11764705882352941,0.06451612903225806,0.13333333333333333,0.5,0.2631578947368421,0.38461538461538464,0.3684210526315789,0.7142857142857143,0.8333333333333334,0.8,0.47368421052631576,0.4444444444444444,0.5,0.15789473684210525,0.75,0.6666666666666666,0.5,0.2,1.0,0.3684210526315789,0.49324736842105255,0.42865000000000003,0.44496,0.20833333333333334,0.20833333333333334,0.18518518518518517,0.18518518518518517,7.536842105263157,0.25984251968503935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1628997,1610612748,Caleb Martin,Caleb Martin,1628997,MIA,5299.0,88,12,169,170,46,41,18,339,8.0,14.0,3.0,4.0,3.0,4.0,4.0,7.0,2.0,12.0,23.0,1.0,37.0,178,3.0,4.0,,9.0,5.0,8.0,1.0,14.0,8.0,16.0,4.0,3.0,,4.0,4.0,3.0,1.0,,,,12.0,3.0,1.0,5.0,6.0,11.0,4.0,15.0,6.0,3.0,3.0,2.0,,,1.0,3.0,2.0,2.0,,8.0,1.0,5.0,4.0,,1.0,1.0,,1.0,14.0,46,1.0,,0.3333333333333333,0.4,0.5217391304347826,0.75,0.625,0.5142857142857142,0.5625,0.5416666666666666,0.5138888888888888,0.5625,0.5833333333333334,0.13043478260869565,0.21428571428571427,,20.74468085106383,1.0,0.125,0.02702702702702703,0.11363636363636363,0.075,0.11956521739130435,0.05194805194805195,0.058823529411764705,0.09375,0.05,0.08333333333333333,0.11764705882352941,0.1,0.4,0.5714285714285714,0.7272727272727273,0.375,0.2,0.5714285714285714,0.5714285714285714,0.05714285714285714,0.5,0.75,,0.3333333333333333,0.75,0.7428571428571429,0.5470500000000001,0.52702,0.5716125,0.1111111111111111,0.16666666666666666,0.24324324324324326,0.3783783783783784,5.530434782608696,0.27218934911242604,2.0,5.0,1.0,1.0,1.0,3.0,2.0,7.0,3.0,1.0,4.0,12.0,1.0,4.0,1.0,4.0,12.0,7.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,0.3333333333333333,0.25,0.25,0.3333333333333333,0.34285714285714286,0.25,0.13333333333333333,1.0,0.25,0.14285714285714285,0.4,0.4,1.0,0.2,0.2857142857142857,0.2857142857142857,1.0,0.125,1.0,1.0,0.375,0.25,0.3333333333333333,0.08333333333333333,0.2857142857142857,24.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1629130,1610612748,Duncan Robinson,Duncan Robinson,1629130,MIA,9560.0,159,6,308,308,104,90,35,616,6.0,9.0,,,4.0,5.0,1.0,1.0,,7.0,10.0,5.0,73.0,343,,,,12.0,4.0,5.0,1.0,18.0,14.0,,,2.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,,12.0,2.0,,10.0,10.0,21.0,2.0,23.0,4.0,2.0,1.0,,2.0,,1.0,3.0,1.0,22.0,1.0,8.0,,6.0,1.0,,,,,1.0,18.0,104,4.0,,1.0,1.0,0.7,,0.8,0.5964912280701754,1.2,0.53125,0.6186440677966102,1.2,0.5294117647058824,0.2,0.2222222222222222,,17.86743515850144,0.3333333333333333,0.14285714285714285,,0.1282051282051282,0.02564102564102564,0.13513513513513514,0.014285714285714285,,0.03278688524590164,0.1724137931034483,0.11764705882352941,0.12727272727272726,0.13043478260869565,0.15789473684210525,0.6666666666666666,0.8571428571428571,1.0,0.017543859649122806,1.0,1.0,,,,,0.3125,0.8,0.9824561403508771,0.5411052631578948,0.476475,0.5805125,0.05084745762711865,0.09090909090909091,0.1643835616438356,0.2465753424657534,2.37,0.33766233766233766,2.0,5.0,,1.0,1.0,3.0,16.0,42.0,4.0,8.0,18.0,47.0,4.0,5.0,3.0,11.0,51.0,42.0,16.0,,2.0,11.0,,1.0,0.9444444444444444,0.3829787234042553,0.8,0.2727272727272727,0.3829787234042553,0.8245614035087719,0.125,,1.0,1.0,0.08771929824561403,0.4,0.4,0.5,0.7368421052631579,0.38095238095238093,0.3902439024390244,1.0,0.2,,,0.8,0.1875,0.3333333333333333,0.5,0.38095238095238093,26.048936170212766,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.02127659574468085,0.023809523809523808,0.1111111111111111,1.0,1.0,0.25,0.041666666666666664,,,,,,,,,,,,,,,,,,True,,,,,,,,
1629216,1610612748,Gabe Vincent,Gabe Vincent,1629216,MIA,6191.0,103,28,198,198,59,68,23,396,4.0,4.0,,,,,,3.0,5.0,8.0,12.0,8.0,42.0,198,,,,3.0,3.0,5.0,3.0,18.0,4.0,12.0,,1.0,11.0,5.0,16.0,5.0,,10.0,1.0,,37.0,1.0,,5.0,6.0,11.0,1.0,12.0,3.0,2.0,2.0,2.0,3.0,2.0,,5.0,,9.0,,10.0,1.0,9.0,1.0,,1.0,1.0,,1.0,18.0,59,1.0,,0.25,0.25,0.6666666666666666,,0.6,0.4722222222222222,0.75,0.5357142857142857,0.5384615384615384,0.75,0.6,0.08333333333333333,,0.3333333333333333,19.555555555555557,0.4,0.11538461538461539,,0.09259259259259259,0.018867924528301886,0.10377358490566038,0.010869565217391304,,0.023809523809523808,,0.21428571428571427,0.10256410256410256,0.06666666666666667,0.1111111111111111,1.0,1.0,0.5,0.08333333333333333,,,0.1388888888888889,,,,,,0.7777777777777778,0.5043263888888888,0.5478,0.48530357142857145,0.10256410256410256,0.07692307692307693,0.07142857142857142,0.42857142857142855,9.791666666666666,0.29797979797979796,2.0,6.0,,,2.0,3.0,4.0,18.0,2.0,6.0,6.0,24.0,1.0,2.0,3.0,9.0,12.0,18.0,4.0,,1.0,4.0,,1.0,0.6666666666666666,0.25,0.5,0.3333333333333333,0.25,0.6666666666666666,0.17647058823529413,,1.0,,0.16666666666666666,0.3333333333333333,0.4,1.0,0.5,0.2222222222222222,0.2222222222222222,0.5,,,,1.0,0.21428571428571427,0.6666666666666666,0.42857142857142855,0.2222222222222222,25.6125,1.0,1.0,6.0,1.0,,,1.0,1.0,3.0,,,0.041666666666666664,,,0.5,1.0,0.16666666666666666,0.11538461538461539,4.0,1.0,1.0,1.0,0.16666666666666666,0.8,0.8,,,,,,,,,,,True,,,,,,,,
1629639,1610612748,Tyler Herro,Tyler Herro,1629639,MIA,4710.0,78,-22,150,146,43,40,17,296,5.0,5.0,,,,,4.0,5.0,11.0,15.0,21.0,2.0,35.0,182,1.0,1.0,,2.0,1.0,2.0,1.0,3.0,12.0,18.0,,,10.0,3.0,13.0,2.0,1.0,8.0,2.0,,29.0,,,3.0,1.0,7.0,,7.0,,,8.0,6.0,1.0,,2.0,9.0,3.0,6.0,1.0,3.0,,3.0,1.0,,,,,1.0,3.0,43,2.0,,0.4,0.4,0.7142857142857143,1.0,0.5,0.5689655172413793,1.0,0.2,0.5666666666666667,1.0,0.25,,,,23.353293413173652,0.8888888888888888,0.02857142857142857,,0.09090909090909091,,0.058823529411764705,,,,,,0.15789473684210525,,0.1724137931034483,1.0,1.0,0.4,0.1724137931034483,0.8,0.8,0.3793103448275862,,,,,,0.4482758620689655,0.47676551724137933,,0.4539099999999999,0.03333333333333333,0.045454545454545456,0.05714285714285714,0.08571428571428572,12.061904761904762,0.2866666666666667,1.0,4.0,,,,2.0,,4.0,,1.0,1.0,8.0,,,,3.0,3.0,4.0,,,,2.0,,1.0,1.0,0.125,,,0.125,0.27586206896551724,0.09090909090909091,,1.0,0.25,0.13793103448275862,0.25,0.25,1.0,0.13793103448275862,,,,,,,,0.4,,0.2,,24.375,,,,1.0,3.0,,,,,1.0,,0.125,0.25,0.6,,,,,6.0,,,,,0.5454545454545454,0.5454545454545454,1.0,1.0,1.0,0.5,,,,,,,True,,,,,,,,
202710,1610612748,Jimmy Butler,Jimmy Butler,202710,MIA,4648.0,77,-16,149,151,57,56,21,300,9.0,12.0,,,4.0,6.0,4.0,9.0,5.0,14.0,26.0,9.0,40.0,179,1.0,2.0,2.0,4.0,6.0,12.0,2.0,14.0,16.0,12.0,,1.0,4.0,8.0,12.0,3.0,5.0,4.0,,,32.0,6.0,3.0,3.0,5.0,10.0,9.0,19.0,3.0,2.0,2.0,,1.0,,2.0,3.0,1.0,6.0,1.0,8.0,,13.0,7.0,1.0,,,,,14.0,57,3.0,,0.5714285714285714,0.5714285714285714,0.5384615384615384,0.5,0.5,0.5535714285714286,0.3333333333333333,0.46153846153846156,0.5882352941176471,0.4,0.4666666666666667,0.038461538461538464,0.08333333333333333,,20.809248554913296,0.6666666666666666,0.20833333333333334,0.09375,0.08108108108108109,0.15,0.13114754098360656,0.125,0.06666666666666667,0.1935483870967742,0.3333333333333333,0.25,0.047619047619047616,0.125,0.42857142857142855,0.75,0.8181818181818182,0.7777777777777778,0.32142857142857145,0.4444444444444444,0.4444444444444444,0.17857142857142858,,,,0.46153846153846156,0.6666666666666666,0.5,0.5142928571428572,0.4618,0.5291423076923076,0.21212121212121213,0.22580645161290322,0.1,0.35,7.115384615384617,0.3825503355704698,,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,,1.0,0.5,,,0.5,0.07142857142857142,,0.2,,0.25,,,,,0.07142857142857142,0.5,0.5,1.0,,,,0.3333333333333333,,,0.07692307692307693,0.5,25.85,,,,,2.0,,,,,,,,,0.2857142857142857,,,,,1.0,1.0,1.0,,,0.2,0.2,,,,,0.09090909090909091,0.16666666666666666,,,,,True,,,,,,,,
203506,1610612748,Victor Oladipo,Victor Oladipo,203506,MIA,3860.0,64,-12,130,133,56,32,13,263,,2.0,,,,1.0,4.0,10.0,2.0,5.0,14.0,15.0,37.0,154,,,,,2.0,6.0,9.0,16.0,4.0,6.0,,1.0,4.0,4.0,8.0,4.0,,2.0,2.0,,20.0,,,9.0,1.0,10.0,,10.0,2.0,2.0,4.0,1.0,1.0,,3.0,5.0,2.0,4.0,,10.0,,18.0,9.0,,,,,,16.0,56,,,0.4,0.4,0.35714285714285715,,0.3333333333333333,0.44,,0.35,0.5441176470588235,,0.5,0.07142857142857142,,0.1,26.71232876712329,0.8,0.037037037037037035,,0.2727272727272727,,0.16666666666666666,,,,0.1111111111111111,,0.19230769230769232,0.5714285714285714,0.08,,,,0.4,0.4,0.4444444444444444,0.08,,,,0.1,,0.52,0.475402,0.40297499999999997,0.46156500000000006,0.2647058823529412,0.391304347826087,,0.43243243243243246,9.735714285714286,0.4307692307692308,,1.0,,,,,4.0,10.0,3.0,4.0,4.0,11.0,,3.0,1.0,4.0,9.0,10.0,4.0,,,2.0,,,0.75,0.36363636363636365,,0.25,0.36363636363636365,0.44,,,,0.5,0.04,,,,0.4,0.4,0.4,0.75,,,,1.0,,,0.4,0.4,26.00909090909091,,1.0,3.0,,,,,,,,,,,,,,0.25,,1.0,1.0,,,,0.5,0.5,,,,,,,,,,,True,,,,,,,,
200768,1610612748,Kyle Lowry,Kyle Lowry,200768,MIA,1569.0,26,4,48,50,15,12,5,98,,1.0,,,,,,,1.0,,2.0,,6.0,65,,,,,,1.0,,3.0,,,,,1.0,2.0,3.0,1.0,1.0,1.0,,,8.0,,,,,,,,,,,,2.0,,,2.0,,5.0,,2.0,,,,,,,,,3.0,15,,,,,,,,0.375,,0.375,0.375,,0.375,,,,18.867924528301884,,,,,,,,,,,,,,0.125,,,,,,,0.125,,,,,,0.875,0.5133875,,0.5184625,,,,0.5,10.5,0.3125,1.0,1.0,,,,,1.0,5.0,,3.0,2.0,6.0,,,1.0,3.0,6.0,5.0,1.0,,,3.0,,,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.75,,,,,0.125,1.0,1.0,1.0,0.625,0.2,0.2,1.0,,,,,,,0.75,0.2,25.75,,1.0,,,,,1.0,,,,,,,,,,0.3333333333333333,,,1.0,,,,,,,,,,,,1.0,,,,True,,,,,,,,
200782,1610612748,P.J. Tucker,P.J. Tucker,200782,MIA,1618.0,27,3,50,49,23,16,6,99,,,,,,,,1.0,,,1.0,,9.0,62,,,,,,,,,,,,,2.0,1.0,3.0,1.0,,,1.0,1.0,7.0,,2.0,,2.0,4.0,2.0,6.0,,,,,,,,,,3.0,,1.0,1.0,,,,,,,,,23,,,,,,,,0.9,,,0.9,,,,,,8.474576271186441,,0.2857142857142857,0.2,,,0.10526315789473684,0.08,0.25,,,0.25,,,,,,,0.2,,,,,,,,,0.8,0.56489,,0.59925,,,,,11.5,0.46,3.0,4.0,,,,1.0,,,,,3.0,4.0,,,,1.0,9.0,,,,,2.0,,,1.0,0.75,,,0.75,0.8,0.5,,,,0.8,0.75,1.0,1.0,,,,,,,,,1.0,,,,23.4,,,,1.0,2.0,,,,,,,0.25,,0.6666666666666666,,,,,,,,,0.25,,,,,,,0.25,,,,,,True,,,,,,,,
1629622,1610612748,Max Strus,Max Strus,1629622,MIA,31.0,1,-2,2,1,2,1,1,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2,,,,,,,,,,,,,,,,,33.333333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.54765,,0.54765,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
