EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DeadBallTurnovers,Offensive Fouls,NonShootingPenaltyNonTakeFouls,PenaltyCorner3FGM,PenaltyCorner3FGA,FtPoints,PenaltyFtPoints,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeFGA,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeFGM,Fg3aBlocked,Charge Fouls,Offensive Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3FGA,SecondChanceFG3A,Clear Path Fouls,Technical Free Throw Trips,SecondChanceArc3Frequency,OffensiveGoaltends,Blocked3s,BlockedArc3,SecondChanceFtPoints,on,Corner3PctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,ShortMidRangePctBlocked,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers
1626153,1610612737,Delon Wright,Delon Wright,1626153,ATL,2949.0,49,-14,100,100,39,47,6.0,200,4.0,7.0,3.0,5.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,9.0,2.0,5.0,16.0,123,3.0,5.0,6.0,2.0,4.0,1.0,2.0,7.0,2.0,8.0,6.0,4.0,3.0,1.0,1.0,5.0,3.0,8.0,2.0,1.0,4.0,1.0,19.0,2.0,4.0,4.0,3.0,1.0,8.0,6.0,14.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,39,0.2,0.3333333333333333,1.0,0.4,0.5,0.4,0.5555555555555556,0.6,0.5,0.5714285714285714,0.6,0.5833333333333334,0.5714285714285714,0.6,0.5833333333333334,0.35714285714285715,0.1111111111111111,0.14285714285714285,14.814814814814813,1.0,0.3333333333333333,0.13043478260869565,0.21052631578947367,0.19047619047619047,0.125,0.1590909090909091,0.17142857142857143,0.2,0.2857142857142857,0.1111111111111111,0.14285714285714285,0.09090909090909091,0.14285714285714285,0.2,0.09090909090909091,0.3,0.16666666666666666,0.5,0.5714285714285714,0.6666666666666666,0.25,0.14285714285714285,0.5,0.5,0.14285714285714285,0.5,0.5,1.0,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6,0.6666666666666666,0.5,0.3333333333333333,0.5,0.8571428571428571,0.3333333333333333,0.5448071428571428,0.58865,0.6011000000000001,0.375,0.4375,2.3333333333333335,25.6,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1627789,1610612737,Timothe Luwawu-Cabarrot,Timothe Luwawu-Cabarrot,1627789,ATL,647.0,11,-1,22,22,7,11,,44,,,,,,,,,1.0,2.0,,,,,,,1.0,2.0,3.0,26,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,1.0,1.0,4.0,,7,,,1.0,0.5,,0.5,,,,0.75,,,0.75,,,1.0,,,13.636363636363637,,1.0,0.14285714285714285,,,,0.125,,,,,,0.3333333333333333,,,,,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,,,,,1.0,,0.576375,,,,,,23.2,0.3181818181818182,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1628381,1610612737,John Collins,John Collins,1628381,ATL,7296.0,122,-66,238,239,46,83,16.0,477,10.0,14.0,4.0,4.0,1.0,1.0,5.0,14.0,3.0,6.0,1.0,5.0,,,15.0,28.0,4.0,11.0,47.0,298,4.0,4.0,8.0,2.0,4.0,2.0,3.0,12.0,22.0,8.0,12.0,4.0,5.0,1.0,,1.0,5.0,6.0,2.0,3.0,,,17.0,1.0,1.0,9.0,10.0,2.0,21.0,2.0,23.0,,2.0,1.0,1.0,1.0,1.0,,5.0,6.0,12.0,12.0,46,0.7333333333333333,0.8461538461538461,1.0,0.36363636363636365,0.6666666666666666,0.36363636363636365,0.5357142857142857,1.0,0.5,0.5384615384615384,1.0,0.7142857142857143,0.5595238095238095,1.0,0.75,0.28205128205128205,,,18.217054263565892,0.2,0.5,0.18518518518518517,0.02040816326530612,0.14754098360655737,0.01818181818181818,0.16521739130434782,0.019230769230769232,,0.045454545454545456,0.02564102564102564,,0.18181818181818182,0.2,0.16666666666666666,0.15384615384615385,0.13636363636363635,,0.358974358974359,0.7142857142857143,0.7142857142857143,0.7,0.358974358974359,0.35714285714285715,0.35714285714285715,0.15384615384615385,0.5,0.5,1.0,0.1282051282051282,0.2,0.2,1.0,1.0,1.0,0.14285714285714285,1.0,,,0.6410256410256411,0.2,0.5239807692307692,0.6432,0.48449285714285717,0.1702127659574468,0.2553191489361702,4.832142857142857,24.136363636363637,0.19327731092436976,4.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,18.0,1.0,3.0,10.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,0.8,0.25,0.42857142857142855,0.6666666666666666,0.14634146341463414,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1628989,1610612737,Kevin Huerter,Kevin Huerter,1628989,ATL,5248.0,87,-52,167,167,9,46,14.0,334,1.0,2.0,,,,,3.0,4.0,2.0,5.0,4.0,13.0,,1.0,4.0,9.0,6.0,18.0,27.0,208,,,,,1.0,,1.0,1.0,6.0,2.0,9.0,,13.0,4.0,1.0,8.0,3.0,11.0,,3.0,1.0,3.0,25.0,,,5.0,1.0,,6.0,,6.0,,2.0,2.0,,4.0,2.0,2.0,7.0,3.0,8.0,1.0,9,0.75,0.75,0.5,0.3333333333333333,,0.3333333333333333,0.4444444444444444,,,0.48148148148148145,,,0.48214285714285715,,0.16666666666666666,0.6666666666666666,0.1111111111111111,0.5,18.91891891891892,0.5714285714285714,,0.029411764705882353,,0.1,,0.07142857142857142,,,,,,0.08333333333333333,,,0.11764705882352941,0.0625,,0.07407407407407407,0.5,1.0,1.0,0.14814814814814814,0.75,0.75,0.18518518518518517,0.4,0.4,0.5,0.48148148148148145,0.3076923076923077,0.3076923076923077,0.5,,,,,0.5,,0.7407407407407407,0.3076923076923077,0.527837037037037,,0.4477,,0.037037037037037035,11.0,25.733333333333334,0.05389221556886228,3.0,,2.0,,,1.0,1.0,4.0,2.0,,,,,2.0,,1.0,2.0,,,1.0,2.0,1.0,2.0,1.0,0.6666666666666666,,,,,,3.0,9.0,1.0,1.0,1.0,0.5,0.1111111111111111,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1629631,1610612737,De'Andre Hunter,De'Andre Hunter,1629631,ATL,5423.0,90,-61,176,176,23,52,11.0,352,4.0,5.0,,,,,4.0,8.0,6.0,9.0,1.0,4.0,,,12.0,19.0,7.0,13.0,51.0,222,,1.0,,1.0,2.0,,,2.0,16.0,8.0,21.0,,4.0,1.0,,1.0,1.0,2.0,,1.0,,,5.0,,1.0,4.0,1.0,,5.0,1.0,6.0,,1.0,1.0,,5.0,1.0,4.0,8.0,6.0,11.0,2.0,23,0.6666666666666666,0.6666666666666666,1.0,0.5384615384615384,,0.5384615384615384,0.631578947368421,,0.5,0.703125,,0.5,0.7083333333333334,,0.3333333333333333,0.40625,,,23.52941176470588,0.625,,0.020833333333333332,0.029411764705882353,0.09090909090909091,,0.05434782608695652,0.012987012987012988,,,,,,0.05263157894736842,,0.12903225806451613,,,0.15625,0.8,0.8,0.75,0.25,0.5,0.5,0.28125,0.6666666666666666,0.6666666666666666,1.0,0.125,0.25,0.3333333333333333,1.0,,,,,,,0.5625,0.25,0.5302546874999999,0.4541,0.4557,,0.0392156862745098,9.342105263157896,24.184615384615384,0.13068181818181818,3.0,,1.0,,,6.0,,1.0,1.0,,,1.0,,12.0,,1.0,8.0,,3.0,1.0,,,,1.0,0.5,,,,0.08571428571428572,0.13636363636363635,6.0,,,,,,0.1875,4.0,1.0,1.0,2.0,0.07692307692307693,0.25,0.1,0.6666666666666666,0.6666666666666666,0.75,,,,,,,,,,True,,,,,,,,,,,,,,,,
1629027,1610612737,Trae Young,Trae Young,1629027,ATL,6505.0,108,-64,212,213,44,75,15.0,425,2.0,4.0,,,1.0,3.0,4.0,7.0,1.0,1.0,3.0,17.0,1.0,5.0,9.0,16.0,4.0,18.0,37.0,266,,1.0,,2.0,4.0,1.0,5.0,12.0,4.0,14.0,6.0,,17.0,3.0,1.0,9.0,9.0,18.0,4.0,5.0,5.0,1.0,45.0,1.0,1.0,8.0,3.0,,11.0,2.0,13.0,1.0,2.0,2.0,,13.0,8.0,5.0,22.0,2.0,10.0,12.0,44,0.2222222222222222,0.2222222222222222,0.5,0.2222222222222222,0.2,0.2222222222222222,0.5625,,0.5,0.4411764705882353,,0.3888888888888889,0.47368421052631576,,0.5,0.5294117647058824,0.0625,0.25,25.974025974025974,0.5909090909090909,,0.061224489795918366,0.022222222222222223,0.14035087719298245,0.02,0.10377358490566038,0.021052631578947368,,0.047619047619047616,0.02631578947368421,,,0.05263157894736842,0.18181818181818182,0.16216216216216217,0.1,0.05,0.11764705882352941,0.5,0.6666666666666666,,0.20588235294117646,0.5714285714285714,0.5714285714285714,0.029411764705882353,1.0,1.0,1.0,0.5,0.17647058823529413,0.17647058823529413,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.2,0.6470588235294118,0.17647058823529413,0.5102235294117647,0.4396,0.6050944444444445,,0.32432432432432434,9.737499999999999,29.105555555555554,0.20754716981132076,9.0,,,,,7.0,5.0,3.0,2.0,1.0,,4.0,,11.0,,2.0,10.0,1.0,2.0,3.0,,,,3.0,0.5,,,,0.05714285714285714,0.11764705882352941,5.0,6.0,2.0,,,,0.14705882352941177,3.0,,2.0,,,,,0.6,0.6,,1.0,1.0,1.0,1.0,0.5,,,,,True,,,,,,,,,,,,,,,,
201568,1610612737,Danilo Gallinari,Danilo Gallinari,201568,ATL,3395.0,57,-25,113,113,28,45,8.0,226,1.0,1.0,,,,,2.0,3.0,1.0,2.0,,4.0,,1.0,5.0,11.0,1.0,6.0,17.0,138,,1.0,,,,1.0,2.0,7.0,8.0,2.0,3.0,,4.0,,,2.0,1.0,3.0,1.0,,1.0,,7.0,,,5.0,2.0,,7.0,,7.0,,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,7.0,28,0.8,0.8,1.0,0.16666666666666666,0.5,0.16666666666666666,0.45454545454545453,,,0.38235294117647056,,0.75,0.4473684210526316,,0.875,0.35294117647058826,,,16.935483870967744,1.0,,0.1111111111111111,,0.1724137931034483,,0.14893617021276595,,,,,,,0.2857142857142857,,0.23529411764705882,0.08333333333333333,,0.058823529411764705,1.0,1.0,,0.17647058823529413,0.6666666666666666,0.6666666666666666,0.11764705882352941,0.5,0.5,1.0,0.23529411764705882,,,,,,,,0.5,,0.4117647058823529,,0.4864235294117647,0.4276,0.5484,,0.4117647058823529,14.263636363636362,25.7,0.24778761061946902,,,,1.0,1.0,4.0,4.0,1.0,,,,1.0,,3.0,,,4.0,,1.0,1.0,,,,1.0,1.0,,0.5,1.0,0.05555555555555555,0.08333333333333333,7.0,,,,,,0.4117647058823529,2.0,,,,,,,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,,,0.5,,,,,True,,,,,,,,,,,,,,,,
203991,1610612737,Clint Capela,Clint Capela,203991,ATL,2178.0,36,-23,66,69,7,19,6.0,135,1.0,3.0,,1.0,,,1.0,2.0,,,,,,,2.0,5.0,,,4.0,85,1.0,2.0,2.0,,1.0,,,,2.0,2.0,,2.0,,,,,,,,,,,,2.0,1.0,3.0,7.0,,10.0,3.0,13.0,,1.0,,1.0,,,,1.0,,2.0,,7,0.5,1.0,,,,,0.4,0.5,,0.4,0.5,,0.4,0.5,,,,,8.333333333333334,,,0.3333333333333333,0.0625,0.14285714285714285,0.13333333333333333,0.23809523809523808,0.0967741935483871,,0.1111111111111111,0.18181818181818182,,0.3333333333333333,0.375,0.25,0.15384615384615385,0.125,,0.6,0.3333333333333333,0.3333333333333333,1.0,0.4,0.5,0.5,,,,,,,,,0.5,,,,,,0.6,,0.5821999999999999,0.5906,0.417,0.5,,3.7600000000000002,,0.10606060606060606,1.0,,,,,,,,,,,,1.0,3.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,
203992,1610612737,Bogdan Bogdanovic,Bogdan Bogdanovic,203992,ATL,2603.0,43,-15,87,89,25,33,3.0,176,1.0,2.0,1.0,1.0,,,1.0,2.0,1.0,6.0,4.0,7.0,1.0,1.0,4.0,6.0,5.0,13.0,29.0,114,1.0,1.0,2.0,,,1.0,3.0,7.0,,8.0,12.0,2.0,7.0,4.0,,4.0,2.0,6.0,1.0,1.0,2.0,,14.0,,1.0,1.0,4.0,,5.0,1.0,6.0,1.0,1.0,1.0,,,,,1.0,4.0,6.0,7.0,25,,,0.8,0.38461538461538464,0.3333333333333333,0.38461538461538464,0.6666666666666666,1.0,,0.6052631578947368,0.5,0.5,0.6590909090909091,0.5,0.7,0.6842105263157895,,,25.0,,,0.25,0.0625,0.05555555555555555,,0.14705882352941177,0.030303030303030304,,0.14285714285714285,,,0.375,0.3333333333333333,,,0.14285714285714285,0.1111111111111111,0.10526315789473684,0.5,0.5,,0.10526315789473684,0.5,0.5,0.3157894736842105,0.16666666666666666,0.16666666666666666,,0.3684210526315789,0.5714285714285714,0.5714285714285714,1.0,0.5,1.0,,,0.3333333333333333,1.0,0.7894736842105263,0.5714285714285714,0.5201605263157895,0.586125,0.5066,0.06896551724137931,0.2413793103448276,10.35,25.199999999999996,0.28735632183908044,1.0,,,,2.0,6.0,4.0,2.0,1.0,,,1.0,1.0,5.0,,,6.0,,1.0,2.0,,,1.0,2.0,,,0.6666666666666666,,0.05,0.14285714285714285,2.0,3.0,,,,,0.10526315789473684,2.0,,,,,,,1.0,1.0,,1.0,1.0,,,0.5,,1.0,1.0,,True,,,,,,,,,,,,,,,,
1630168,1610612737,Onyeka Okongwu,Onyeka Okongwu,1630168,ATL,236.0,4,-9,9,7,2,4,1.0,16,,1.0,,,,,,1.0,,,,,,,,2.0,,,1.0,10,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,3.0,,2,,,,,,,,,,,,,0.16666666666666666,0.5,,,0.5,1.0,27.272727272727273,,,,0.25,,,,0.25,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,0.5,,0.39745,,,1.0,,5.1,,0.2222222222222222,,,,,,1.0,,,,,,,2.0,1.0,,,2.0,,1.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,
