EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefThreePtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3FGM,PenaltyArc3FGA,PenaltyFG3A,ThreePtAssists,Arc3Assists,LongMidRangeAssists,FTDefRebounds,Steals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,Offensive Fouls,LiveBallTurnoverPct,DefFTReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Frequency,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FtPoints,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,HeaveAttempts,Corner3Assists,BadPassTurnovers,SecondChanceTurnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyFtPoints,PtsPutbacks,BadPassSteals,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,NonShootingFoulsDrawn,SecondChanceShotQualityAvg,OffTwoPtRebounds,OffTwoPtReboundPct,OffLongMidRangeReboundPct,AtRimAssists,SelfOReb,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,LongMidRangePctAssisted,Fg2aBlocked,Loose Ball Fouls Drawn,FG2APctBlocked,ShortMidRangePctBlocked,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefCorner3ReboundPct,BlocksRecoveredPct,on,PenaltyCorner3FGA,2pt And 1 Free Throw Trips,OffensiveGoaltends,AtRimPctBlocked,PenaltyCorner3Frequency,SecondChanceCorner3FGA,PtsUnassisted3s,Loose Ball Fouls,Charge Fouls Drawn,BlockedAtRim,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,Fg3aBlocked,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,Arc3PctBlocked,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctBlocked,Charge Fouls,BlockedLongMidRange,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,DefensiveGoaltends
1627884,1610612741,Derrick Jones Jr.,Derrick Jones Jr.,1627884,CHI,722.0,12,-2.0,25,25,13.0,13.0,4,50,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2,1.0,4.0,7,28,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,13.0,0.5,0.5,1.0,0.25,0.25,1.0,1.0,1.0,0.5833333333333334,1.0,1.0,0.5833333333333334,1.0,1.0,0.6666666666666666,20.689655172413794,0.16666666666666666,0.1,0.1,0.0625,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.5,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6305166666666667,0.9084,0.2857142857142857,0.2857142857142857,1.3,24.4,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628396,1610612741,Tony Bradley,Tony Bradley,1628396,CHI,467.0,8,10.0,18,19,13.0,5.0,2,37,3.0,3.0,,,2.0,2.0,,,,5.0,5,,,10,12,,,,3.0,3.0,6.0,8.0,2.0,,,,,3.0,4.0,,4.0,,,6.0,13.0,0.8,0.8,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,25.0,0.3333333333333333,,0.3076923076923077,,,0.25,0.6,1.0,1.0,1.0,,,,,,,,0.6666666666666666,1.0,0.6,,0.66164,0.6775666666666668,,0.6,5.3,,0.7222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.2,1.0,1.0,1.0,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628972,1610612741,Troy Brown Jr.,Troy Brown Jr.,1628972,CHI,2193.0,37,-1.0,76,77,23.0,20.0,8,153,2.0,2.0,,,1.0,1.0,4.0,,7.0,3.0,6,2.0,11.0,12,73,,,,2.0,4.0,4.0,2.0,4.0,6.0,7.0,,1.0,4.0,7.0,1.0,8.0,1.0,2.0,4.0,23.0,0.3333333333333333,0.3333333333333333,1.0,0.18181818181818182,0.18181818181818182,0.5,,0.5,0.35294117647058826,,0.25,0.35294117647058826,,0.25,0.6470588235294118,23.80952380952381,0.19047619047619047,0.043478260869565216,0.15789473684210525,0.02564102564102564,,0.2857142857142857,0.11764705882352941,1.0,1.0,,0.23529411764705882,0.4117647058823529,,,,,,0.125,1.0,0.7647058823529411,,0.515621875,0.47900714285714285,,0.3333333333333333,12.466666666666667,26.254545454545454,0.3026315789473684,1.0,1.0,,3.0,1.0,3.0,,8.0,2.0,0.11764705882352941,0.16666666666666666,0.125,0.16666666666666666,0.058823529411764705,1.0,1.0,1.0,0.17647058823529413,,,2.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,0.3333333333333333,0.5,0.16666666666666666,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629632,1610612741,Coby White,Coby White,1629632,CHI,1723.0,29,-12.0,60,61,14.0,19.0,6,121,,,,,,,,3.0,10.0,1.0,2,3.0,10.0,12,62,,,3.0,,1.0,3.0,,2.0,9.0,9.0,3.0,,,3.0,,3.0,,,3.0,14.0,,,1.0,0.3,0.3333333333333333,0.5,,,0.4583333333333333,1.5,0.3,0.46153846153846156,1.5,0.3,0.8333333333333334,22.727272727272727,,,0.10714285714285714,,,,,,,,,0.8333333333333334,0.3,0.3,1.0,,,,,0.8333333333333334,0.3333333333333333,0.5033909090909091,0.47736999999999996,0.25,0.25,16.5,29.65,0.23333333333333334,,,1.0,2.0,,3.0,,9.0,3.0,0.21428571428571427,,,0.3,,,,,0.16666666666666666,0.5,0.5,,4.0,4.0,3.0,1.0,,,,,2.0,,1.0,,2.0,,1.0,,,,,,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,0.07692307692307693,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630172,1610612741,Patrick Williams,Patrick Williams,1630172,CHI,1353.0,23,-7.0,49,51,11.0,14.0,4,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5,2.0,3.0,12,49,1.0,2.0,2.0,1.0,1.0,3.0,,4.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,11.0,,,1.0,0.6666666666666666,0.6666666666666666,0.4,0.5,1.0,0.625,0.5,1.0,0.6,0.5,0.75,0.375,20.754716981132074,0.08333333333333333,0.07142857142857142,0.07692307692307693,0.043478260869565216,0.08333333333333333,0.25,0.125,1.0,1.0,,0.125,0.25,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.47046249999999995,0.5786,0.16666666666666666,0.25,9.66,25.599999999999998,0.22448979591836735,1.0,3.0,,1.0,,,,,1.0,0.07142857142857142,,,0.09090909090909091,0.375,0.3333333333333333,0.3333333333333333,,0.125,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,2.0,,,,,,,,,4.0,4.0,1.0,,,,,,,0.1111111111111111,0.16666666666666666,1.0,2.0,1.0,1.0,1.0,1.0,0.3275,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629750,1610612741,Javonte Green,Javonte Green,1629750,CHI,748.0,12,9.0,25,25,16.0,6.0,3,50,,1.0,,1.0,,1.0,,,1.0,,1,,1.0,1,17,,1.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,2.0,,2.0,1.0,16.0,,,,,,,,,,,,0.16666666666666666,,0.25,0.5,10.714285714285714,0.1111111111111111,,0.07692307692307693,0.07692307692307693,,,0.5,,,,,0.5,,,,1.0,,1.0,,1.0,,0.585425,0.6313,,1.0,,27.4,0.64,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,2.0,1.0,,,,,,,0.3333333333333333,0.5,1.0,,2.0,,,,0.6313,1.0,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630245,1610612741,Ayo Dosunmu,Ayo Dosunmu,1630245,CHI,1247.0,21,-2.0,43,43,13.0,3.0,5,86,,2.0,,1.0,,,1.0,,2.0,3.0,8,,3.0,6,36,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,,2.0,,1.0,,2.0,3.0,5.0,1.0,1.0,2.0,13.0,0.3333333333333333,0.5,,,,0.375,0.5,0.5,0.2727272727272727,0.5,0.3333333333333333,0.2727272727272727,0.5,0.3333333333333333,0.2727272727272727,27.083333333333336,,0.1111111111111111,0.047619047619047616,0.13636363636363635,0.14285714285714285,,0.18181818181818182,,,,0.09090909090909091,0.18181818181818182,,,,0.5,,,,0.45454545454545453,,0.4777272727272728,0.4413833333333333,0.3333333333333333,0.3333333333333333,12.674999999999999,24.5,0.3023255813953488,1.0,1.0,2.0,5.0,5.0,5.0,2.0,10.0,1.0,0.1111111111111111,,,0.14285714285714285,0.09090909090909091,1.0,1.0,,0.45454545454545453,0.4,0.4,,1.0,1.0,,,,1.0,,,2.0,,,,2.0,,1.0,0.5,,,,,0.3333333333333333,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,2.0,,,,,0.5109,2.0,0.15384615384615385,,3.0,1.0,0.3333333333333333,0.3333333333333333,0.125,0.5,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
201942,1610612741,DeMar DeRozan,DeMar DeRozan,201942,CHI,1057.0,18,3.0,36,36,6.0,13.0,3,72,,,,,,,,,,3.0,5,,,6,40,,,,,,,,6.0,,,,,1.0,2.0,,2.0,1.0,2.0,,6.0,,,,,,0.6,,,0.6,,,0.6,,,,15.384615384615383,0.1,,0.1111111111111111,,,,,,,,,,,,,,,,,,,0.43246,,,,14.080000000000002,,0.16666666666666666,1.0,1.0,2.0,4.0,2.0,4.0,,10.0,1.0,0.125,,0.25,0.2,0.2,1.0,1.0,,0.8,0.5,0.5,,,,2.0,1.0,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
202684,1610612741,Tristan Thompson,Tristan Thompson,202684,CHI,570.0,10,-3.0,18,18,,,3,36,,,,,,,,,,1.0,2,,,2,16,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,0.5,,,0.5,,,0.5,,,,13.636363636363637,,,,,,,,,,,,,,,,,,,,,,0.38815,,,,4.1,,,1.0,2.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,0.5,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
202696,1610612741,Nikola Vucevic,Nikola Vucevic,202696,CHI,885.0,15,,30,30,6.0,7.0,2,60,2.0,2.0,,,,,,,1.0,2.0,2,,1.0,4,32,,,,,,,2.0,2.0,,1.0,,,5.0,7.0,,7.0,2.0,3.0,,6.0,0.5,0.5,,,,1.0,,,0.6666666666666666,,,0.6666666666666666,,,0.3333333333333333,9.67741935483871,0.7142857142857143,,0.5384615384615384,,,1.0,0.6666666666666666,1.0,1.0,0.5,,0.3333333333333333,,,,,,,,1.0,,0.5089833333333333,,,,2.8,25.1,0.2,,,,,,1.0,,3.0,2.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
