EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,Fg2aBlocked,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,HeaveAttempts,ThreePtAssists,Arc3Assists,Corner3Assists,FTOffRebounds,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,OffFTReboundPct,OffArc3ReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,LongMidRangePctBlocked,DefCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,Fg3aBlocked,3pt And 1 Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,on,StepOutOfBoundsTurnovers,DefensiveGoaltends,Clear Path Fouls,BlockedCorner3,Corner3PctBlocked
101120,1610612742,Antoine Wright,Antoine Wright,101120,DAL,1609.0,27.0,15.0,55,58,28.0,26,7,113,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,8.0,2.0,2.0,1.0,15.0,48.0,2.0,2.0,1.0,1.0,1.0,8.0,4.0,4.0,6.0,1.0,1.0,3.0,3.0,3.0,6.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,8.0,28.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.7,1.1666666666666667,0.6818181818181818,1.0,0.2,20.967741935483872,0.5,0.10526315789473684,0.0625,0.16666666666666666,0.12,0.05,0.25,0.25,0.16666666666666666,0.25,0.4,0.5,0.5,0.5,0.2,0.2,1.0,1.0,0.5,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6,1.0,0.4911,0.5311833333333333,0.09090909090909091,0.1111111111111111,0.5333333333333333,6.425,23.9,0.509090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
101138,1610612742,Brandon Bass,Brandon Bass,101138,DAL,13224.0,220.0,-12.0,422,422,188.0,208,50,844,11.0,18.0,6.0,8.0,24.0,14.0,29.0,,,,,,,36.0,71.0,,,24.0,96.0,444.0,11.0,22.0,,,11.0,33.0,46.0,26.0,,,,6.0,6.0,3.0,12.0,15.0,6.0,18.0,32.0,16.0,48.0,,2.0,2.0,,8.0,5.0,4.0,1.0,12.0,2.0,16.0,25.0,21.0,1.0,1.0,27.0,14.0,33.0,188.0,0.6388888888888888,0.71875,,,,,0.5070422535211268,0.5,0.5070422535211268,0.5,0.5783132530120482,0.6111111111111112,,19.791666666666668,0.6666666666666666,0.13533834586466165,0.08928571428571429,0.16216216216216217,0.1411764705882353,0.07766990291262135,0.10869565217391304,0.1346153846153846,0.23076923076923078,,0.2535211267605634,0.6111111111111112,0.7333333333333333,0.5454545454545454,0.3380281690140845,0.4084507042253521,0.4827586206896552,0.4827586206896552,0.6428571428571429,,,,,,,,,0.36363636363636365,0.75,,,0.2535211267605634,,0.4209253521126762,0.42903636363636366,0.17073170731707318,0.17073170731707318,0.34375,9.807042253521127,,0.44549763033175355,4.0,7.0,11.0,7.0,12.0,6.0,20.0,8.0,4.0,2.0,1.0,1.0,8.0,3.0,8.0,3.0,1.0,3.0,1.0,7.0,4.0,3.0,7.0,4.0,2.0,2.0,1.0,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.056338028169014086,0.16666666666666666,0.041666666666666664,0.32,0.02631578947368421,0.09433962264150944,0.07246376811594203,0.07692307692307693,0.14285714285714285,0.1282051282051282,0.5714285714285714,0.4583333333333333,0.4782608695652174,0.7272727272727273,0.5833333333333334,0.5714285714285714,0.46112499999999995,0.20833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,16048.0,267.0,65.0,507,495,150.0,161,65,1002,13.0,21.0,5.0,12.0,39.0,23.0,49.0,1.0,3.0,4.0,10.0,2.0,5.0,51.0,109.0,5.0,13.0,49.0,166.0,516.0,17.0,37.0,2.0,5.0,20.0,60.0,36.0,66.0,15.0,9.0,4.0,24.0,30.0,4.0,66.0,9.0,10.0,38.0,59.0,13.0,72.0,3.0,3.0,2.0,1.0,2.0,2.0,9.0,4.0,11.0,1.0,9.0,16.0,43.0,3.0,2.0,54.0,23.0,60.0,150.0,0.35294117647058826,0.36,1.0,0.38461538461538464,0.4,0.4166666666666667,0.46788990825688076,0.4594594594594595,0.47950819672131145,0.47619047619047616,0.5612244897959183,0.5769230769230769,0.10655737704918032,26.837606837606838,0.18181818181818182,0.2122905027932961,0.05142857142857143,0.17857142857142858,0.20425531914893616,0.05,,0.1746031746031746,0.24390243902439024,0.047619047619047616,0.1721311475409836,0.6190476190476191,0.6190476190476191,0.15384615384615385,0.319672131147541,0.4016393442622951,0.46938775510204084,0.46938775510204084,0.4782608695652174,0.02459016393442623,0.3333333333333333,0.3333333333333333,1.0,0.08196721311475409,0.4,0.4,1.0,0.2857142857142857,0.4166666666666667,0.11904761904761904,0.4,0.2786885245901639,0.4444444444444444,0.4380297520661156,0.44535,0.1619718309859155,0.17829457364341086,0.3614457831325301,11.614678899082568,27.576923076923073,0.2958579881656805,4.0,8.0,15.0,14.0,24.0,4.0,32.0,2.0,1.0,16.0,4.0,3.0,11.0,,3.0,2.0,3.0,3.0,5.0,2.0,2.0,,2.0,2.0,,2.0,4.0,0.5833333333333334,0.5833333333333334,0.6153846153846154,0.009174311926605505,,0.02564102564102564,0.4782608695652174,0.046153846153846156,0.1320754716981132,0.03389830508474576,0.05,0.22,0.24242424242424243,1.0,0.38461538461538464,0.39473684210526316,0.3333333333333333,0.3333333333333333,0.5,0.46197142857142853,0.1927710843373494,1.0,6.0,5.0,1.0,1.0,2.0,2.0,0.0625,0.044444444444444446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,12651.0,211.0,82.0,411,388,147.0,167,47,799,6.0,11.0,1.0,1.0,13.0,21.0,45.0,7.0,14.0,8.0,19.0,3.0,5.0,31.0,69.0,15.0,33.0,13.0,120.0,383.0,12.0,24.0,6.0,8.0,3.0,45.0,28.0,34.0,42.0,19.0,8.0,21.0,23.0,9.0,48.0,3.0,3.0,13.0,16.0,3.0,19.0,2.0,12.0,8.0,4.0,4.0,4.0,2.0,,6.0,,4.0,13.0,12.0,1.0,2.0,15.0,7.0,45.0,147.0,0.45161290322580644,0.4666666666666667,0.9333333333333333,0.45454545454545453,0.75,0.45454545454545453,0.4492753623188406,0.5,0.5245098039215687,0.65625,0.5509259259259259,0.6617647058823529,0.3235294117647059,24.0,0.6666666666666666,0.10077519379844961,0.019736842105263157,0.07142857142857142,0.0935672514619883,0.015384615384615385,,0.18,0.06666666666666667,0.04081632653061224,0.10784313725490197,0.5454545454545454,0.6666666666666666,0.3333333333333333,0.12745098039215685,0.4411764705882353,0.4666666666666667,0.4883720930232558,0.5238095238095238,0.13725490196078433,0.5,0.5,1.0,0.18627450980392157,0.42105263157894735,0.42105263157894735,0.875,0.03125,1.0,0.15625,0.6,0.43137254901960786,0.42105263157894735,0.4635843137254902,0.4171703125,0.06542056074766354,0.0945945945945946,0.375,13.213043478260868,24.46363636363636,0.35766423357664234,1.0,2.0,4.0,2.0,5.0,,4.0,2.0,5.0,8.0,4.0,,,,2.0,1.0,1.0,2.0,1.0,,,,,,,2.0,1.0,0.4,0.4,0.4,0.07246376811594203,0.18181818181818182,0.07692307692307693,,,0.038461538461538464,0.017543859649122806,,0.058823529411764705,0.044444444444444446,,0.3076923076923077,0.3333333333333333,0.25,0.4,0.5,0.41952500000000004,0.03333333333333333,,2.0,1.0,1.0,,,1.0,,,3.0,3.0,3.0,1.0,0.044444444444444446,0.08333333333333333,0.09375,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,27589.0,460.0,54.0,876,868,308.0,354,105,1744,42.0,84.0,14.0,30.0,13.0,6.0,19.0,2.0,6.0,19.0,48.0,6.0,16.0,50.0,116.0,21.0,54.0,28.0,191.0,876.0,17.0,43.0,7.0,18.0,12.0,67.0,24.0,76.0,42.0,45.0,19.0,39.0,58.0,15.0,135.0,2.0,14.0,28.0,43.0,4.0,47.0,1.0,14.0,2.0,12.0,19.0,11.0,16.0,2.0,35.0,1.0,22.0,48.0,45.0,1.0,12.0,35.0,16.0,67.0,308.0,0.24,0.24,0.6666666666666666,0.3888888888888889,0.3888888888888889,0.4117647058823529,0.43103448275862066,0.3953488372093023,0.47941176470588237,0.45081967213114754,0.5162162162162162,0.49264705882352944,0.3176470588235294,21.934197407776672,0.5428571428571428,0.09364548494983277,0.006211180124223602,0.15384615384615385,0.1076923076923077,0.009456264775413711,,0.1271186440677966,0.11940298507462686,0.012195121951219513,0.49411764705882355,0.5,0.5915492957746479,0.2619047619047619,0.07647058823529412,0.11176470588235295,0.3157894736842105,0.3157894736842105,0.16666666666666666,0.03529411764705882,0.3333333333333333,0.3333333333333333,1.0,0.2823529411764706,0.3958333333333333,0.3958333333333333,0.631578947368421,0.4918032786885246,0.4666666666666667,0.26229508196721313,0.375,0.8117647058823529,0.4222222222222222,0.522965868263473,0.5123844827586207,0.08839779005524862,0.12598425196850394,0.3507853403141361,4.199137931034483,26.631481481481483,0.3515981735159817,2.0,5.0,2.0,4.0,11.0,,14.0,,13.0,11.0,13.0,2.0,1.0,8.0,15.0,,4.0,5.0,4.0,1.0,,1.0,1.0,,,8.0,4.0,0.36363636363636365,0.4666666666666667,0.4666666666666667,0.11206896551724138,0.15476190476190477,,0.023255813953488372,0.019801980198019802,0.01,0.00819672131147541,0.03125,0.07407407407407407,0.07,,0.15384615384615385,0.15384615384615385,,0.3333333333333333,0.4,0.4578590909090909,0.07329842931937172,3.0,19.0,11.0,8.0,,5.0,,,0.014492753623188406,1.0,2.0,21.0,3.0,,0.25,0.03278688524590164,0.5,1.0,1.0,1.0,3.0,2.0,4.0,0.5,0.06666666666666667,1.0,1.0,0.2,0.3333333333333333,1.0,,,,,,,,,,,,,True,,,,,
2048,1610612742,Jamaal Magloire,Jamaal Magloire,2048,DAL,537.0,9.0,2.0,20,21,17.0,5,1,41,2.0,2.0,1.0,1.0,3.0,,,,,,,,,3.0,5.0,,,3.0,9.0,18.0,2.0,4.0,,,2.0,6.0,2.0,4.0,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,,,1.0,,2.0,,3.0,,,3.0,3.0,,,5.0,2.0,6.0,17.0,0.3333333333333333,0.3333333333333333,,,,,0.6,0.5,0.6,0.5,0.6428571428571429,0.5,,47.61904761904762,0.3333333333333333,,0.2,0.25,0.1111111111111111,0.16666666666666666,,,0.25,,0.4,1.0,1.0,0.5,0.6,,,,,,,,,,,,,0.25,1.0,,,0.4,,0.50478,0.44955,0.3333333333333333,0.3333333333333333,0.6666666666666666,3.9,,0.85,1.0,1.0,1.0,1.0,1.0,,2.0,,1.0,,,,,1.0,3.0,,2.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,0.2,,0.3333333333333333,,,,1.0,,,,,0.3333333333333333,0.5,,1.0,1.0,0.5832,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
2124,1610612742,Malik Allen,Malik Allen,2124,DAL,1421.0,24.0,14.0,49,49,19.0,30,6,98,,,,,,2.0,3.0,,,,,,,2.0,3.0,,,4.0,8.0,41.0,1.0,1.0,,,,2.0,2.0,2.0,,,,4.0,5.0,1.0,11.0,,,3.0,4.0,,4.0,,,,,,,1.0,,1.0,,4.0,5.0,3.0,,1.0,4.0,2.0,2.0,19.0,0.5,0.5,,,,,0.6666666666666666,1.0,0.6666666666666666,1.0,0.8,1.0,,10.909090909090908,,0.16666666666666666,,,0.13043478260869565,,,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,,,,0.4062666666666667,0.3884,0.4,0.4,0.25,20.1,,0.3877551020408163,,,,,,,,,,3.0,,,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,0.5,,,,,0.25,0.4,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
436,1610612742,Juwan Howard,Juwan Howard,436,DAL,5202.0,87.0,-16.0,170,167,65.0,90,16,337,2.0,9.0,1.0,1.0,4.0,4.0,7.0,,,,,,,6.0,20.0,,,2.0,14.0,181.0,4.0,8.0,,,2.0,10.0,12.0,,,,,4.0,6.0,2.0,14.0,4.0,2.0,10.0,14.0,5.0,19.0,,,,,2.0,1.0,1.0,,3.0,1.0,11.0,15.0,1.0,,,2.0,1.0,10.0,65.0,1.0,1.0,,,,,0.3,0.5,0.3,0.5,0.3333333333333333,0.5555555555555556,,12.903225806451612,0.6666666666666666,0.18518518518518517,0.06779661016949153,0.2,0.1875,0.05333333333333334,0.0625,0.2222222222222222,0.2,,0.45,0.2222222222222222,0.2857142857142857,1.0,0.2,0.35,0.5714285714285714,0.6666666666666666,1.0,,,,,,,,,0.125,1.0,,,0.45,,0.44554,0.35433749999999997,0.047619047619047616,0.047619047619047616,0.7142857142857143,8.33,,0.38235294117647056,,3.0,,1.0,4.0,,2.0,,3.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,0.25,0.25,0.25,0.15,0.2222222222222222,,0.2222222222222222,,0.1,0.043478260869565216,,0.15384615384615385,0.14285714285714285,,,,,0.75,,0.510375,0.14285714285714285,,2.0,2.0,,1.0,,,0.16666666666666666,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
956,1610612742,Erick Dampier,Erick Dampier,956,DAL,7030.0,117.0,54.0,217,218,46.0,81,29,435,10.0,18.0,,2.0,4.0,,,,,,,,,13.0,22.0,,,9.0,35.0,200.0,,3.0,,,7.0,7.0,16.0,10.0,,,,2.0,3.0,2.0,7.0,16.0,2.0,22.0,28.0,20.0,48.0,2.0,,,,2.0,2.0,2.0,1.0,4.0,,10.0,13.0,12.0,4.0,,16.0,5.0,7.0,46.0,0.6153846153846154,0.8,,,,,0.5909090909090909,,0.5909090909090909,,0.603448275862069,0.4375,,12.890625,0.5,0.2558139534883721,0.2077922077922078,0.07692307692307693,0.21428571428571427,0.18867924528301888,0.28,0.1794871794871795,0.1111111111111111,0.25,0.8181818181818182,0.5555555555555556,0.5882352941176471,0.7,0.18181818181818182,,,,,,,,,,,,,0.6666666666666666,,,,0.8181818181818182,,0.5471954545454546,0.5030666666666667,0.2,0.2,0.2,1.5681818181818181,,0.2119815668202765,4.0,11.0,3.0,4.0,11.0,3.0,11.0,6.0,1.0,,,4.0,4.0,,,1.0,1.0,2.0,4.0,5.0,4.0,1.0,5.0,4.0,,1.0,4.0,0.36363636363636365,0.36363636363636365,0.4230769230769231,0.045454545454545456,0.05555555555555555,,0.36363636363636365,0.13793103448275862,0.19230769230769232,0.15384615384615385,0.2222222222222222,0.3157894736842105,0.32142857142857145,0.8,0.75,0.75,0.3333333333333333,1.0,0.36363636363636365,0.5562499999999999,0.3142857142857143,,1.0,1.0,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,1.0,0.25,,,,,,,,,,,True,,,,,
224,1610612742,Eddie Jones,Eddie Jones,224,DAL,8752.0,146.0,23.0,277,277,88.0,86,37,554,6.0,6.0,3.0,3.0,3.0,,2.0,,7.0,1.0,10.0,,2.0,7.0,11.0,1.0,17.0,2.0,19.0,279.0,3.0,4.0,,5.0,2.0,8.0,14.0,,3.0,9.0,1.0,5.0,8.0,2.0,19.0,1.0,3.0,7.0,13.0,1.0,14.0,,5.0,4.0,1.0,2.0,2.0,1.0,,3.0,,3.0,12.0,2.0,,1.0,2.0,,8.0,88.0,1.0,1.0,1.0,0.058823529411764705,,0.0625,0.6363636363636364,0.75,0.30357142857142855,0.3333333333333333,0.3275862068965517,0.4,0.6071428571428571,9.907120743034056,0.6666666666666666,0.06862745098039216,0.010526315789473684,0.0967741935483871,0.07518796992481203,0.007462686567164179,,0.125,0.08,,0.21428571428571427,1.0,1.0,1.0,0.10714285714285714,0.07142857142857142,,,,0.25,,,,0.35714285714285715,0.1,0.1,1.0,0.3333333333333333,1.0,0.2222222222222222,,0.8214285714285714,0.1111111111111111,0.5497148148148149,0.5681812500000001,,,0.42105263157894735,6.245454545454546,26.294117647058822,0.3176895306859206,,,1.0,,1.0,,,,1.0,2.0,1.0,,3.0,,,,,,1.0,,,,2.0,,,3.0,1.0,,,,0.09090909090909091,,0.3333333333333333,0.2727272727272727,,,0.03125,,,0.03333333333333333,,0.3333333333333333,0.5,1.0,,,0.506875,,1.0,3.0,1.0,2.0,,,,,,,3.0,,,,0.16666666666666666,0.3333333333333333,,,1.0,,,,1.0,,0.5,,,,,,,,2.0,2.0,,,,,,,,,True,,,,,
